GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AJXHE001,AJXHE002,AJXHE003,AJXHE004,AJXHE005,AJXHE006,AJXHE007,AJXHE008,AJXHE009,AJXHE010,AJXHE011,AJXHE012,AJXHE013,AJXHE014,AJXHE015,AJXHE016,AJXHE017,AJXHE018,AJXHE019,AJXHE020,AJXHE021,AJXHE022,AJXHE023,AJXHE024,AJXHE025,AJXHE026,AJXHE027,AJXHE028,AJXHE029,AJXHE030,AJXHE031,AJXHE032,AJXHE033,AJXHE034,AJXHE035,AJXHE036,AJXHE037,AJXHE038,NAME_M,AJXHM001,AJXHM002,AJXHM003,AJXHM004,AJXHM005,AJXHM006,AJXHM007,AJXHM008,AJXHM009,AJXHM010,AJXHM011,AJXHM012,AJXHM013,AJXHM014,AJXHM015,AJXHM016,AJXHM017,AJXHM018,AJXHM019,AJXHM020,AJXHM021,AJXHM022,AJXHM023,AJXHM024,AJXHM025,AJXHM026,AJXHM027,AJXHM028,AJXHM029,AJXHM030,AJXHM031,AJXHM032,AJXHM033,AJXHM034,AJXHM035,AJXHM036,AJXHM037,AJXHM038
"G240","2014-2018",,,"Maryland","24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maryland",6003435,5862883,4930966,1466554,742448,724106,1053335,1793080,1688821,37941,66318,149052,80727,84441,23640,23910,109967,146260,19033,26076,54049,2915,44187,931917,725964,317576,244273,73303,408388,347278,61110,205953,23798,75170,70539,575,35871,140552,"Maryland",0,0,7922,6220,4826,5090,6614,5607,5974,1715,1959,2954,3011,2382,1242,1022,3631,2928,1607,1605,1534,436,1884,7922,4501,3535,2790,1651,3313,3061,1710,5055,2113,3096,1939,283,2069,0
"G250","2014-2018",,,"Massachusetts","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Massachusetts",6830193,6579553,5320205,1651808,822332,829476,1222705,1908034,1816026,41291,50717,107809,72049,87175,24027,24167,79159,143272,15046,26022,59835,4748,37621,1259348,950106,421167,311453,109714,528939,432053,96886,309242,31336,135965,109728,1067,31146,250640,"Massachusetts",0,0,9443,5930,5836,4298,8191,5432,5618,1704,1850,2695,2489,3146,1275,1159,3086,3575,1427,1606,2076,706,1698,9443,5256,4207,3504,2316,3699,3180,2030,5474,2330,3724,2263,361,1655,0
"G260","2014-2018",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Michigan",9957488,9728101,7969637,2514380,1310117,1204263,1851443,2864512,2669987,71799,122726,192582,95335,87312,19788,28945,96235,219105,16128,24944,107651,6880,63502,1758464,1395129,663427,524425,139002,731702,622005,109697,363335,27123,132912,145368,1359,56573,229387,"Michigan",0,0,8125,7888,6727,5754,9195,8259,8515,2030,2466,3378,3041,3012,881,1225,3650,3948,1040,1466,2150,702,2154,8125,5365,3886,3548,2238,4945,4756,1836,6022,1907,3994,2459,361,2235,0
"G270","2014-2018",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Minnesota",5527358,5394498,4392756,1395514,737225,658289,1103428,1564879,1471748,38490,54641,64242,46520,35792,9945,12526,43454,116456,9527,16539,59686,3883,26821,1001742,772287,368893,282531,86362,403394,332665,70729,229455,16736,93477,91448,545,27249,132860,"Minnesota",0,0,6868,6100,5119,3764,6037,5577,5962,1427,1723,2206,2242,1524,841,671,2481,2624,825,1126,1529,443,1179,6868,4306,3321,2913,1741,3004,2563,1546,4576,1624,3614,1463,141,1506,0
"G280","2014-2018",,,"Mississippi","28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mississippi",2988762,2892341,2454767,740268,343261,397007,491864,912371,847116,20121,45134,122210,35764,28771,5469,12134,47312,58604,5118,6693,27274,2353,17166,437574,365308,170560,142457,28103,194748,175369,19379,72266,8008,25983,25506,333,12436,96421,"Mississippi",0,0,5030,4546,3982,3587,4601,5514,5517,1227,1987,3237,1743,1674,680,1095,2344,2097,739,893,1232,579,1191,5030,3706,2667,2522,1302,2735,2705,931,2746,1238,1860,1189,151,1072,0
"G290","2014-2018",,,"Missouri","29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Missouri",6090062,5915004,4842419,1540575,799109,741466,1152272,1697910,1568993,46932,81985,127074,52283,49162,12493,19163,56663,134824,9695,19470,61852,6287,37520,1072585,855696,395393,310397,84996,460303,392507,67796,216889,17491,77687,85797,856,35058,175058,"Missouri",0,0,7722,6545,5209,4529,7239,6642,7206,1948,2530,2746,2372,2124,941,1027,2415,3448,995,1257,1973,738,1620,7722,5386,3529,3102,2184,4208,3970,1791,4848,1815,3294,1844,293,2008,0
"G300","2014-2018",,,"Montana","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montana",1041732,1012863,802393,260229,135063,125166,208902,265584,243818,9403,12363,19571,7379,6554,1595,3210,8158,21211,2118,4175,8821,1498,4599,210470,163011,81742,63412,18330,81269,66621,14648,47459,3610,18901,19060,145,5743,28869,"Montana",0,0,3814,2518,2106,2144,1927,2421,2401,860,906,1159,675,566,287,366,764,1099,405,727,561,323,448,3814,2369,1681,1437,1073,1567,1533,759,2088,598,1438,984,89,806,0
"G310","2014-2018",,,"Nebraska","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nebraska",1904760,1852809,1514168,484034,256547,227487,379238,539041,501697,15285,22059,27388,15471,10448,2364,3916,13723,38545,2846,5779,19364,1923,8633,338641,270029,132431,103856,28575,137598,115809,21789,68612,6478,27122,26229,285,8498,51951,"Nebraska",0,0,3294,2568,2508,1888,2759,3041,3215,1021,1066,1430,1053,863,395,401,1105,1614,525,650,885,363,773,3294,2257,1624,1559,956,1775,1651,886,2134,836,1533,970,143,801,0
"G320","2014-2018",,,"Nevada","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nevada",2922849,2885149,2361405,683185,364760,318425,476907,846656,785931,17632,43093,63577,54591,65491,14714,15619,54938,85727,9146,16005,38016,1916,20644,523744,392745,207301,157348,49953,185444,150301,35143,130999,17942,48324,45099,411,19223,37700,"Nevada",0,0,5856,3919,3828,3802,4332,4064,4844,1335,2182,2385,2105,2680,1225,970,2511,2710,1084,1247,1439,401,1280,5856,3477,2794,2630,1396,2287,1949,1199,3449,1668,2278,1142,248,1219,0
"G330","2014-2018",,,"New Hampshire","33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Hampshire",1343622,1301042,1067483,348905,184403,164502,277460,349355,325084,8493,15778,20068,7373,13033,4080,4795,10283,32131,3521,4619,14927,507,8557,233559,179173,85460,62610,22850,93713,74816,18897,54386,4009,15450,27032,135,7760,42580,"New Hampshire",0,0,3509,2183,2159,1962,2446,2467,2496,736,1061,1262,668,1009,471,475,828,1543,563,657,888,230,749,3509,2057,1632,1477,1091,1590,1450,913,2236,516,1327,1047,94,821,0
