HEROP_ID,GEOID,TotPop,TotUnits,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age45_54,Age55_59,Age60_64,AgeOv65,Age15_24P,Und45P,Ovr65P,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,NoHsP,ChildrenP,PovP,UnempP,VacantP
050US46077,46077,6679,3029,3515,500,902,527,414,2284,747,405,428,1413,14.09,55.19,21.16,99.63,0.04,0.03,0.04,0.22,0,0.06,37.71,26.22,20.11,3.17,16.61
050US46079,46079,10724,4306,6072,819,1425,1079,1191,4510,1001,527,564,1878,21.17,62.98,17.51,99.27,0.05,0.24,0.33,0.13,0,0.22,33.06,25.87,14.99,4.42,8.55
050US46081,46081,18339,7511,10934,1490,2494,2065,2115,8597,1653,880,831,2394,22.79,68.6,13.05,97.52,0.15,1.07,1.8,0.15,0.01,0.37,24.94,27.32,14.26,8.34,10.29
050US46083,46083,13942,5338,7467,1291,2253,1206,998,5737,1259,656,626,2120,15.81,66.57,15.21,99.37,0.01,0.19,0.29,0.23,0,0.09,33.34,31.24,11.02,3.46,10.36
050US46085,46085,3864,1539,2029,417,706,351,306,1540,383,181,168,469,17,68.92,12.14,76.55,0.03,0.39,23.37,0.03,0,0.03,36.04,35.35,28.51,6.31,18.71
050US46087,46087,6444,2552,3305,496,1021,611,392,2303,681,349,411,1183,15.56,59.28,18.36,99.75,0.06,0.16,0.03,0.03,0,0.12,37.05,30.35,19.04,3.69,11.36
050US46089,46089,4027,1690,2176,249,547,354,211,1351,507,286,275,812,14.03,53.32,20.16,99.83,0,0.05,0,0.02,0,0.15,60.99,25.8,27.24,1.73,10
050US46091,46091,5404,2233,2805,378,821,520,300,2016,573,281,317,1018,15.17,59.49,18.84,94.65,0,0.06,5.31,0,0,0.04,44.7,29.26,22.83,3.96,11.91
050US46093,46093,20717,7056,12112,2129,3615,2103,2099,10309,1617,705,637,1705,20.28,77.49,8.23,94.46,2.55,1.39,1.38,0.55,0.09,0.97,25.18,33.31,10.55,5.42,9.81
050US46095,46095,2249,857,1152,240,435,228,200,928,216,99,71,260,19.03,71.28,11.56,60.65,0,0.36,38.77,0.27,0,0.31,45.29,37.22,38.89,15.17,20.07
050US46097,46097,3739,1633,1897,293,510,307,220,1197,405,253,259,822,14.09,53.49,21.98,99.81,0,0.05,0.19,0,0,0,42.18,27.28,32.5,2.26,15.37
