HEROP_ID,STATEFP,TotPop,TotUnits,ChildrenP,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age45_49,Age50_54,Age55_59,Age60_64,AgeOv65,Age15_24P,Und45P,Ovr65P,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,NoHsP,DisbP,PovP,UnempP,VacantP
040US44,44,1042697,439837,23.65,644547,63570,142536,75095,71488,455540,74996,66013,49667,38780,151594,14.06,63.46,14.54,84.97,4.48,8.69,0.49,2.26,0.05,7.79,22.09,34.56,11.93,5.63,7.14
040US45,45,4012012,1753670,25.17,2517038,264679,575722,295377,281714,1763046,287778,262543,206762,166149,485333,14.38,64.89,12.1,67.19,29.54,2.37,0.34,0.9,0.04,2.03,23.66,39.47,14.11,5.86,12.53
040US46,46,754844,323208,26.85,444064,51069,113949,62463,52802,321664,53865,43817,33611,28738,108131,15.27,64.47,14.32,88.68,0.62,1.44,8.25,0.58,0.03,1.87,15.43,27.97,13.18,4.4,10.2
040US47,47,5689283,2439443,24.58,3587451,374880,790968,395184,386345,2499957,412704,374212,293942,239309,703311,13.74,64.43,12.36,80.21,16.4,2.18,0.27,1,0.04,2.13,24.08,40.97,13.48,5.48,8.47
040US48,48,20847260,8157575,28.23,12890004,1624201,3284526,1635827,1539080,9658002,1415913,1194731,896350,701514,2072024,15.23,69.87,9.94,70.97,11.53,31.98,0.57,2.7,0.07,14.23,24.35,33.26,15.37,6.07,9.37
040US49,49,2233169,768594,32.18,1324249,209378,385321,216278,225152,1068030,131665,106045,80053,62455,190222,19.77,74.46,8.52,89.24,0.79,9.03,1.33,1.66,0.68,6.98,12.27,25.16,9.4,4.97,8.76
040US50,50,608827,294382,24.23,383794,33989,86498,45770,37852,260078,50107,43725,32603,24317,77510,13.73,62.51,12.73,96.78,0.5,0.9,0.4,0.86,0.02,1.46,13.58,29.51,9.44,4.23,18.26
040US51,51,7073990,2904192,24.55,4545126,461695,990245,483726,480374,3200368,525866,472708,358196,272992,791920,13.63,65.77,11.19,72.33,19.65,4.66,0.3,3.69,0.06,4.04,18.53,31.06,9.59,4.24,7.06
040US53,53,5894121,2451075,25.68,3718130,394306,860745,427968,390185,2634370,454223,391749,285505,211075,662148,13.88,65.99,11.23,81.81,3.23,7.49,1.58,5.47,0.41,7.91,12.92,32.16,10.62,6.25,7.33
040US54,54,1808344,844623,22.25,1129056,101805,227332,125578,120109,747030,141229,129237,98916,85900,276895,13.59,59.51,15.31,95.05,3.16,0.68,0.2,0.52,0.02,1.07,24.79,48.16,17.9,7.34,12.8
040US55,55,5363675,2321144,25.52,3292366,342340,782558,407195,357292,2346177,397693,334613,252742,204999,702553,14.25,64.71,13.1,88.93,5.68,3.6,0.88,1.65,0.03,2.86,14.91,27.51,8.66,4.68,10.19
040US56,56,493782,223854,26.1,307216,30940,72503,41903,33455,213977,40701,33378,24935,19655,57693,15.26,64.28,11.68,92.08,0.75,6.41,2.25,0.56,0.06,4.35,12.14,28.49,11.42,5.29,13.51
