HEROP_ID,GEOID,TotPop,TotUnits,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age45_49,Age50_54,Age55_59,Age60_64,AgeOv65,Age15_24P,Und45P,Ovr65P,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,NoHsP,ChildrenP,PovP,UnempP,VacantP
040US41,41,2842321,1193567,1726867,201421,411140,189955,189142,1305492,167377,129217,116011,120338,391324,13.34,67.48,13.77,92.77,1.62,3.97,1.35,2.26,0.18,1.81,18.52,25.48,12.42,6.2,7.56
040US42,42,11881643,4938140,7257727,797058,1543462,818058,863007,5338388,656083,557762,552378,607406,1829106,14.15,64.63,15.39,88.54,9.17,1.95,0.12,1.14,0.01,1.01,25.33,23.52,11.13,5.96,8.95
040US44,44,998372,414572,623942,66635,122502,70517,84634,474658,53092,42822,41870,46907,149887,15.54,66.49,15.01,91.41,3.87,4.57,0.41,1.8,0.03,2.48,28.03,22.49,9.61,6.64,8.83
040US45,45,3486703,1424155,2169561,256337,509795,277634,282967,1675244,196103,159507,148762,144020,396935,16.08,70.02,11.38,69.03,29.82,0.88,0.24,0.61,0.03,0.26,31.71,26.39,15.37,5.57,11.66
040US46,46,696004,292436,395211,54504,114232,50571,47268,302468,33527,29142,29218,30582,102331,14.06,67.7,14.7,91.6,0.47,0.75,7.27,0.42,0.03,0.22,22.93,28.51,15.86,4.16,11.42
040US47,47,4877185,2026067,3041763,333415,676466,366566,367812,2287687,286553,239657,220952,213637,618818,15.06,67.61,12.69,83,15.95,0.67,0.21,0.63,0.02,0.19,32.94,24.94,15.7,6.41,8.51
040US48,48,16986404,7008999,10434032,1390045,2690508,1311683,1334404,8271249,906578,722047,661586,627827,1716566,15.58,72.72,10.11,75.21,11.9,25.55,0.39,1.84,0.04,10.62,27.86,28.47,18.1,7.11,13.38
040US49,49,1722850,598388,945448,169633,367520,152455,137822,789847,77148,61333,54930,52481,149958,16.85,77.02,8.7,93.79,0.67,4.91,1.41,1.49,0.44,2.19,14.86,36.42,11.35,5.33,10.21
040US50,50,562758,271214,353512,41261,79779,41699,43510,272898,32650,24739,22787,22481,66163,15.14,70,11.76,98.64,0.35,0.65,0.3,0.56,0.02,0.14,19.21,25.43,9.86,5.85,22.33
040US51,51,6187358,2496334,4018150,443155,822891,438556,519866,3090867,371998,291335,257207,245436,664469,15.49,70.42,10.74,77.44,18.8,2.59,0.25,2.52,0.05,0.94,24.84,24.32,10.25,4.48,8.19
040US53,53,4866692,2032378,3030017,366780,708755,322711,351680,2333342,284674,216869,191602,189382,575288,13.86,70.05,11.82,88.54,3.08,4.41,1.67,4.03,0.31,2.37,16.18,25.92,10.92,5.72,7.87
040US54,54,1793477,781295,1081003,106659,254687,142055,120167,795029,101371,89947,85265,91622,268897,14.62,64.48,14.99,96.21,3.14,0.47,0.14,0.41,0.01,0.1,34.01,24.73,19.66,9.58,11.87
040US55,55,4891769,2055774,2951566,360730,729890,347289,363399,2257520,260504,218378,204647,208879,651221,14.53,68.44,13.31,92.25,5,1.9,0.81,1.08,0.02,0.85,21.4,26.35,10.7,5.2,11.37
040US56,56,453588,203411,270868,34780,79534,34807,27790,211092,25266,20231,17893,17597,47195,13.8,71.74,10.4,94.15,0.79,5.68,2.09,0.58,0.04,2.34,16.96,29.88,11.86,5.93,17
