"","GEOID","total_18_39"
"360","01747",1178
"361","01748",3450
"362","01749",4799
"363","01752",11933
"364","01754",2565
"365","01756",1185
"366","01757",7879
"367","01760",9114
"368","01770",612
"369","01772",1787
"370","01773",509
"371","01775",1461
"372","01776",2670
"373","01778",2602
"374","01801",12017
"375","01803",7366
"376","01810",7770
"377","01821",9717
"378","01824",6344
"379","01826",8916
"380","01827",622
"381","01830",8075
"382","01832",7085
"383","01833",1989
"384","01834",1639
"385","01835",3883
"386","01840",1692
"387","01841",16712
"388","01843",9258
"389","01844",14536
"390","01845",8088
"391","01850",6335
"392","01851",10633
"393","01852",11518
"394","01854",12925
"395","01860",1168
"396","01862",3112
"397","01863",2045
"398","01864",3579
"399","01867",5699
"400","01876",7578
"401","01879",3466
"402","01880",6434
"403","01886",4701
"404","01887",6386
"405","01890",4100
"406","01901",574
"407","01902",17377
"408","01904",5246
"409","01905",8641
"410","01906",6964
"411","01907",3131
"412","01908",695
"413","01913",4149
"414","01915",13013
"415","01921",1267
"416","01922",666
"417","01923",6457
"418","01929",658
"419","01930",6880
"420","01937",82
"421","01938",2769
"422","01940",3016
"423","01944",690
"424","01945",2909
"425","01949",2766
"426","01950",3156
"427","01951",515
"428","01952",2208
"429","01960",13820
"430","01966",1184
"431","01969",1371
"432","01970",16172
"433","01982",1877
"434","01983",979
"435","01984",2190
"436","01985",864
"437","02019",4505
"438","02021",5792
"439","02025",1193
"440","02026",6984
"441","02030",992
"442","02032",970
"443","02035",4513
"444","02038",8012
"445","02043",3732
"446","02045",1956
"447","02047",0
"448","02048",6267
"449","02050",5857
"450","02052",2226
"451","02053",3006
"452","02054",1787
"453","02056",2592
"454","02061",2084
"455","02062",8551
"456","02066",2944
"457","02067",3275
"458","02071",637
"459","02072",7359
"460","02081",4081
"461","02090",2715
"462","02093",2622
"463","02108",1814
"464","02109",2137
"465","02110",496
"466","02111",3775
"467","02113",5169
"468","02114",7656
"469","02115",21766
"470","02116",10990
"471","02118",12609
"472","02119",10027
"473","02120",9601
"474","02121",10132
"475","02122",9806
"476","02124",19170
"477","02125",15207
"478","02126",9359
"479","02127",19793
"480","02128",19122
"481","02129",7621
"482","02130",17664
"483","02131",11031
"484","02132",7092
"485","02134",14565
"486","02135",26800
"487","02136",10200
"488","02138",22346
"489","02139",22312
"490","02140",9599
"491","02141",7833
"492","02142",2241
"493","02143",15581
"494","02144",15364
"495","02145",12096
"496","02148",23484
"497","02149",15166
"498","02150",14766
"499","02151",16453
"500","02152",4713
"501","02155",25736
"502","02163",2255
"503","02169",20324
"504","02170",6816
"505","02171",6463
"506","02176",8379
"507","02180",5846
"508","02184",9347
"509","02186",7452
"510","02188",4947
"511","02189",4527
"512","02190",4308
"513","02191",2039
"514","02199",453
"515","02203",0
"516","02210",1711
"517","02215",22129
"518","02301",19688
"519","02302",9966
"520","02322",1347
"521","02324",10526
"522","02330",2590
"523","02332",2444
"524","02333",3755
"525","02338",2037
"526","02339",3126
"527","02341",2815
"528","02343",2771
"529","02346",6307
"530","02347",2485
"531","02351",4938
"532","02356",3241
"533","02357",1018
"534","02359",4516
"535","02360",13595
"536","02364",2969
"537","02366",65
"538","02367",744
"539","02368",10029
"540","02370",5034
"541","02375",2455
"542","02379",1775
"543","02382",4331
"544","02420",2251
"545","02421",2763
"546","02445",7332
"547","02446",14054
"548","02451",6852
"549","02452",7526
"550","02453",13502
"551","02457",1690
"552","02458",3257
"553","02459",4591
"554","02460",2401
"555","02461",1486
"556","02462",271
"557","02464",843
"558","02465",2299
"559","02466",3082
"560","02467",10146
"561","02468",857
"562","02472",13155
"563","02474",8033
"564","02476",3915
"565","02478",5937
"566","02481",4112
"567","02482",2222
"568","02492",3726
"569","02493",2182
"570","02494",2027
"571","02532",2818
"572","02534",273
"573","02535",279
"574","02536",4291
"575","02537",1381
"576","02538",1202
"577","02539",1118
"578","02540",1251
"579","02542",506
"580","02543",137
"581","02553",0
"582","02554",3168
"583","02556",527
"584","02557",1015
"585","02558",212
"586","02559",757
"587","02561",110
"588","02562",753
"589","02563",1893
"590","02564",42
"591","02568",1125
"592","02571",2510
"593","02575",335
"594","02576",1049
"595","02584",0
"596","02601",4599
"597","02630",415
"598","02631",1367
"599","02632",2000
"600","02633",827
"601","02635",678
"602","02637",15
"603","02638",437
"604","02639",722
"605","02641",10
"606","02642",872
"607","02643",0
"608","02644",1164
"609","02645",1870
"610","02646",222
"611","02647",0
"612","02648",1428
"613","02649",2986
"614","02650",75
"615","02651",0
"616","02652",47
"617","02653",719
"618","02655",574
"619","02657",442
"620","02659",126
"621","02660",1152
"622","02663",0
"623","02664",1933
"624","02666",42
"625","02667",625
"626","02668",368
"627","02669",10
"628","02670",187
"629","02671",161
"630","02672",58
"631","02673",2346
"632","02675",1072
"633","02702",1024
"634","02703",11804
"635","02713",7
"636","02715",889
"637","02717",1107
"638","02718",1767
"639","02719",3740
"640","02720",9434
"641","02721",7465
"642","02723",4283
"643","02724",5656
"644","02725",553
"645","02726",3594
"646","02738",728
"647","02739",1272
"648","02740",13177
"649","02743",2598
"650","02744",3817
"651","02745",6740
"652","02746",5254
"653","02747",8957
"654","02748",2328
"655","02760",7149
"656","02762",2136
"657","02763",573
"658","02764",1219
"659","02766",6033
"660","02767",3674
"661","02769",2953
"662","02770",938
"663","02771",3186
"664","02777",4022
"665","02779",1570
"666","02780",14328
"667","02790",3288
"668","02791",21
"669","02802",237
"670","02804",522
"671","02806",2679
"672","02807",69
"673","02808",720
"674","02809",7808
"675","02812",127
"676","02813",1828
"677","02814",1771
"678","02815",9
"679","02816",8569
"680","02817",1202
"681","02818",3234
"682","02822",1790
"683","02825",1096
"684","02826",21
"685","02827",442
"686","02828",1585
"687","02830",1508
"688","02831",802
"689","02832",1057
"690","02833",279
"691","02835",797
"692","02836",37
"693","02837",482
"694","02838",982
"695","02839",431
"696","02840",8831
"697","02841",1572
"698","02842",4212
"699","02852",4838
"700","02857",2023
"701","02858",303
"702","02859",1926
"703","02860",15590
"704","02861",7725
"705","02863",6912
"706","02864",8551
"707","02865",4151
"708","02871",3340
"709","02872",119
"710","02873",40
"711","02874",1223
"712","02875",116
"713","02876",113
"714","02878",3472
"715","02879",4785
"716","02881",6063
"717","02882",4739
"718","02885",2521
"719","02886",7394
"720","02888",5820
"721","02889",7194
"722","02891",5245
"723","02892",1234
"724","02893",9477
"725","02894",179
"726","02895",13158
"727","02896",2459
"728","02898",470
"729","02903",6026
"730","02904",8751
"731","02905",9112
"732","02906",13989
"733","02907",11482
"734","02908",15090
"735","02909",15238
"736","02910",6851
"737","02911",5543
"738","02912",1344
"739","02914",6874
"740","02915",4970
"741","02916",2281
"742","02917",5024
"743","02919",7680
"744","02920",11227
"745","02921",3187
"746","03031",2109
"747","03032",1302
"748","03033",1199
"749","03034",824
"750","03036",1260
"751","03037",1079
"752","03038",9369
"753","03042",1957
"754","03043",339
"755","03044",1034
"756","03045",3480
"757","03046",604
"758","03047",351
"759","03048",806
"760","03049",904
"761","03051",6777
"762","03052",2123
"763","03053",6083
"764","03054",6878
"765","03055",3646
"766","03057",579
"767","03060",10382
"768","03062",7391
"769","03063",5321
"770","03064",4482
"771","03070",1472
"772","03071",1528
"773","03076",2891
"774","03077",2597
"775","03079",8072
"776","03082",293
"777","03084",260
"778","03086",901
"779","03087",2815
"780","03101",1185
"781","03102",12560
"782","03103",12919
"783","03104",11622
"784","03106",4408
"785","03109",3140
"786","03110",4602
"787","03215",46
"788","03216",692
"789","03217",680
"790","03218",217
"791","03220",1625
"792","03221",425
"793","03222",1469
"794","03223",990
"795","03224",506
"796","03225",964
"797","03226",207
"798","03227",157
"799","03229",1189
"800","03230",279
"801","03231",66
"802","03233",0
"803","03234",1142
"804","03235",2149
"805","03237",637
"806","03238",28
"807","03240",291
"808","03241",161
"809","03242",1806
"810","03243",220
"811","03244",1692
"812","03245",437
"813","03246",4259
"814","03249",1423
"815","03251",323
"816","03253",1244
"817","03254",768
"818","03255",316
"819","03256",402
"820","03257",1534
"821","03258",563
"822","03259",57
"823","03260",144
"824","03261",1006
"825","03262",246
"826","03263",1173
"827","03264",3051
"828","03266",493
"829","03268",237
"830","03269",587
"831","03273",108
"832","03275",3139
"833","03276",2147
"834","03278",714
"835","03279",242
"836","03280",150
"837","03281",2283
"838","03282",208
"839","03284",143
"840","03285",570
"841","03287",326
"842","03290",1031
"843","03291",22
"844","03293",16
"845","03301",10258
"846","03303",4532
"847","03304",1527
"848","03307",1434
"849","03431",9482
"850","03440",752
"851","03441",39
"852","03442",437
"853","03443",178
"854","03444",271
"855","03445",157
"856","03446",1731
"857","03447",481
"858","03448",153
"859","03449",279
"860","03450",111
"861","03451",847
"862","03452",1189
"863","03455",581
"864","03456",149
"865","03457",172
"866","03458",1388
"867","03461",2290
"868","03462",209
"869","03464",254
"870","03465",512
"871","03466",280
"872","03467",312
"873","03470",1305
"874","03561",1493
"875","03570",3250
"876","03574",471
"877","03575",41
"878","03576",546
"879","03579",40
"880","03580",237
"881","03581",527
"882","03582",599
"883","03583",139
"884","03584",860
"885","03585",631
"886","03586",46
"887","03588",318
"888","03590",152
"889","03592",137
"890","03593",103
"891","03595",159
"892","03597",87
"893","03598",652
"894","03601",58
"895","03602",551
"896","03603",1327
"897","03604",0
"898","03605",199
"899","03607",85
"900","03608",635
"901","03609",188
"902","03740",117
"903","03741",1087
"904","03743",3833
"905","03745",245
"906","03746",22
"907","03748",1369
"908","03750",188
"909","03751",130
"910","03752",163
"911","03753",456
"912","03754",188
"913","03755",5646
"914","03765",13
"915","03766",3357
"916","03768",341
"917","03770",183
"918","03771",221
"919","03773",1869
"920","03774",467
"921","03777",340
"922","03779",184
"923","03780",153
"924","03781",428
"925","03782",762
"926","03784",1262
"927","03785",478
"928","03801",7555
"929","03809",700
"930","03810",197
"931","03811",1347
"932","03812",33
"933","03813",551
"934","03814",449
"935","03816",385
"936","03817",44
"937","03818",980
"938","03819",1091
"939","03820",11130
"940","03823",432
"941","03824",11678
"942","03825",2406
"943","03826",640
"944","03827",562
"945","03830",623
"946","03832",73
"947","03833",4703
"948","03835",1905
"949","03836",161
"950","03837",230
"951","03838",149
"952","03839",1067
"953","03840",862
"954","03841",1494
"955","03842",3074
"956","03844",417
"957","03845",281
"958","03846",207
"959","03847",106
"960","03848",1488
"961","03849",278
"962","03850",0
"963","03851",1068
"964","03852",123
"965","03853",99
"966","03854",70
"967","03855",536
"968","03856",264
"969","03857",3473
"970","03858",1281
"971","03860",947
"972","03861",709
"973","03862",866
"974","03864",301
"975","03865",2347
"976","03867",5951
"977","03868",1332
"978","03869",621
"979","03870",875
"980","03871",0
"981","03872",707
"982","03873",1470
"983","03874",1606
"984","03875",156
"985","03878",3576
"986","03882",364
"987","03883",18
"988","03884",947
"989","03885",1595
"990","03886",366
"991","03887",557
"992","03890",8
"993","03894",754
"994","03901",1799
"995","03902",536
"996","03903",1138
"997","03904",2353
"998","03905",391
"999","03906",977
"1000","03907",164
"1001","03908",1758
"1002","03909",1821
"1003","03910",18
"1004","03911",0
"1005","04001",641
"1006","04002",1722
"1007","04003",41
"1008","04005",8136
"1009","04006",106
"1010","04008",602
"1011","04009",1555
"1012","04010",224
"1013","04011",5880
"1014","04015",1047
"1015","04017",55
"1016","04019",0
"1017","04020",247
"1018","04021",1399
"1019","04022",267
"1020","04024",147
"1021","04027",1646
"1022","04029",398
"1023","04030",838
"1024","04032",1763
"1025","04037",776
"1026","04038",5465
"1027","04039",2019
"1028","04040",590
"1029","04041",447
"1030","04042",823
"1031","04043",1941
"1032","04046",1564
"1033","04047",522
"1034","04048",744
"1035","04049",820
"1036","04050",42
"1037","04051",212
"1038","04055",889
"1039","04056",109
"1040","04057",41
"1041","04061",733
"1042","04062",5079
"1043","04063",68
"1044","04064",1681
"1045","04066",153
"1046","04068",398
"1047","04069",348
"1048","04071",1093
"1049","04072",5223
"1050","04073",4500
"1051","04074",3779
"1052","04076",562
"1053","04079",629
"1054","04083",1256
"1055","04084",2427
"1056","04085",729
"1057","04086",2366
"1058","04087",514
"1059","04088",270
"1060","04090",2077
"1061","04091",227
"1062","04092",5660
"1063","04093",2100
"1064","04095",172
"1065","04096",1423
"1066","04097",821
"1067","04101",8216
"1068","04102",6957
"1069","04103",10660
"1070","04105",2031
"1071","04106",7780
"1072","04107",1447
"1073","04108",138
"1074","04109",11
"1075","04110",190
"1076","04210",6579
"1077","04216",29
"1078","04217",564
"1079","04219",379
"1080","04220",876
"1081","04221",222
"1082","04222",854
"1083","04224",539
"1084","04226",36
"1085","04227",17
"1086","04228",0
"1087","04231",39
"1088","04234",0
"1089","04236",1121
"1090","04237",31
"1091","04238",543
"1092","04239",1127
"1093","04240",11303
"1094","04250",1012
"1095","04252",1313
"1096","04253",533
"1097","04254",772
"1098","04255",108
"1099","04256",665
"1100","04257",548
"1101","04258",510
"1102","04259",666
"1103","04260",1506
"1104","04261",75
"1105","04263",470
"1106","04265",248
"1107","04267",7
"1108","04268",1227
"1109","04270",1596
"1110","04271",0
"1111","04274",1344
"1112","04275",31
"1113","04276",1153
"1114","04280",1430
"1115","04281",1373
"1116","04282",1430
"1117","04284",153
"1118","04285",60
"1119","04286",24
"1120","04287",556
"1121","04289",524
"1122","04290",311
"1123","04292",222
"1124","04294",693
"1125","04330",6593
"1126","04342",399
"1127","04343",0
"1128","04344",609
"1129","04345",2982
"1130","04346",608
"1131","04347",738
"1132","04348",657
"1133","04349",214
"1134","04350",909
"1135","04351",628
"1136","04352",306
"1137","04353",527
"1138","04354",263
"1139","04355",606
"1140","04357",777
"1141","04358",945
"1142","04359",28
"1143","04360",113
"1144","04363",693
"1145","04364",1217
"1146","04401",14465
"1147","04406",82
"1148","04408",7
"1149","04410",260
"1150","04411",354
"1151","04412",2377
"1152","04413",21
"1153","04414",193
"1154","04415",88
"1155","04416",1349
"1156","04417",48
"1157","04418",420
"1158","04419",812
"1159","04421",707
"1160","04422",286
"1161","04424",131
"1162","04426",1016
"1163","04427",663
"1164","04428",581
"1165","04429",1027
"1166","04430",348
"1167","04431",0
"1168","04434",207
"1169","04435",185
"1170","04438",332
"1171","04441",269
"1172","04442",0
"1173","04443",454
"1174","04444",1985
"1175","04448",405
"1176","04449",353
"1177","04450",318
"1178","04451",37
"1179","04453",166
"1180","04454",0
"1181","04455",150
"1182","04456",771
"1183","04457",1561
"1184","04459",177
"1185","04460",239
"1186","04461",1108
"1187","04462",941
"1188","04463",764
"1189","04464",81
"1190","04468",3006
"1191","04469",2541
"1192","04471",67
"1193","04472",424
"1194","04473",4137
"1195","04474",600
"1196","04475",113
"1197","04476",156
"1198","04478",22
"1199","04479",224
"1200","04481",113
"1201","04485",52
"1202","04487",160
"1203","04488",319
"1204","04489",22
"1205","04490",44
"1206","04491",18
"1207","04492",25
"1208","04493",415
"1209","04495",94
"1210","04496",862
"1211","04497",5
"1212","04530",2663
"1213","04535",150
"1214","04537",258
"1215","04538",272
"1216","04539",170
"1217","04541",0
"1218","04543",487
"1219","04544",39
"1220","04547",222
"1221","04548",115
"1222","04551",154
"1223","04553",442
"1224","04554",141
"1225","04555",362
"1226","04556",190
"1227","04558",17
"1228","04562",258
"1229","04563",323
"1230","04564",86
"1231","04568",47
"1232","04570",0
"1233","04571",204
"1234","04572",1222
"1235","04573",115
"1236","04574",282
"1237","04575",5
"1238","04576",57
"1239","04578",1055
"1240","04579",589
"1241","04605",3435
"1242","04606",231
"1243","04607",240
"1244","04609",1633
"1245","04611",107
"1246","04612",71
"1247","04613",9
"1248","04614",553
"1249","04616",140
"1250","04617",85
"1251","04619",567
"1252","04622",235
"1253","04623",266
"1254","04624",8
"1255","04625",6
"1256","04626",115
"1257","04627",290
"1258","04628",214
"1259","04629",0
"1260","04630",362
"1261","04631",251
"1262","04634",376
"1263","04635",4
"1264","04637",18
"1265","04640",542
"1266","04642",10
"1267","04643",201
"1268","04644",0
"1269","04645",10
"1270","04646",13
"1271","04648",168
"1272","04649",305
"1273","04650",33
"1274","04652",253
"1275","04653",170
"1276","04654",859
"1277","04655",334
"1278","04657",61
"1279","04658",346
"1280","04660",155
"1281","04662",55
"1282","04664",289
"1283","04666",192
"1284","04667",330
"1285","04668",443
"1286","04669",36
"1287","04671",97
"1288","04673",7
"1289","04674",92
"1290","04675",71
"1291","04676",249
"1292","04677",58
"1293","04679",351
"1294","04680",222
"1295","04681",204
"1296","04683",0
"1297","04684",278
"1298","04685",91
"1299","04686",37
"1300","04691",100
"1301","04693",89
"1302","04694",500
"1303","04730",2401
"1304","04732",307
"1305","04733",24
"1306","04734",159
"1307","04735",127
"1308","04736",1969
"1309","04739",141
"1310","04740",284
"1311","04741",0
"1312","04742",682
"1313","04743",1311
"1314","04745",161
"1315","04746",60
"1316","04747",242
"1317","04750",629
"1318","04756",539
"1319","04757",745
"1320","04758",358
"1321","04760",135
"1322","04761",104
"1323","04762",72
"1324","04763",168
"1325","04764",2
"1326","04765",179
"1327","04766",98
"1328","04768",29
"1329","04769",2628
"1330","04772",121
"1331","04773",122
"1332","04774",75
"1333","04776",220
"1334","04777",74
"1335","04779",16
"1336","04780",157
"1337","04781",155
"1338","04783",104
"1339","04785",464
"1340","04786",443
"1341","04787",83
"1342","04841",2111
"1343","04843",818
"1344","04847",299
"1345","04848",120
"1346","04849",720
"1347","04851",19
"1348","04852",8
"1349","04853",110
"1350","04854",285
"1351","04855",0
"1352","04856",584
"1353","04858",226
"1354","04859",162
"1355","04860",183
"1356","04861",683
"1357","04862",962
"1358","04863",216
"1359","04864",1437
"1360","04901",7547
"1361","04910",612
"1362","04911",485
"1363","04912",156
"1364","04915",2224
"1365","04917",638
"1366","04918",91
"1367","04920",279
"1368","04921",354
"1369","04922",213
"1370","04923",60
"1371","04924",718
"1372","04925",15
"1373","04926",12
"1374","04927",705
"1375","04928",478
"1376","04929",155
"1377","04930",733
"1378","04932",247
"1379","04933",5
"1380","04936",38
"1381","04937",1591
"1382","04938",3339
"1383","04939",214
"1384","04940",0
"1385","04941",340
"1386","04942",243
"1387","04943",391
"1388","04944",0
"1389","04945",225
"1390","04947",244
"1391","04949",143
"1392","04950",1310
"1393","04951",213
"1394","04952",481
"1395","04953",717
"1396","04955",404
"1397","04956",233
"1398","04957",861
"1399","04958",387
"1400","04961",161
"1401","04962",62
"1402","04963",1684
"1403","04964",29
"1404","04965",476
"1405","04966",317
"1406","04967",1066
"1407","04969",210
"1408","04970",198
"1409","04971",450
"1410","04973",369
"1411","04974",479
"1412","04975",0
"1413","04976",2201
"1414","04978",160
"1415","04979",203
"1416","04981",481
"1417","04982",145
"1418","04983",353
"1419","04984",168
"1420","04985",23
"1421","04986",367
"1422","04987",237
"1423","04988",1189
"1424","04989",1165
"1425","04992",0
"1426","05001",2381
"1427","05031",54
"1428","05032",564
"1429","05033",715
"1430","05034",45
"1431","05035",162
"1432","05036",210
"1433","05037",136
"1434","05038",289
"1435","05039",246
"1436","05040",149
"1437","05041",108
"1438","05042",104
"1439","05043",201
"1440","05045",384
"1441","05046",347
"1442","05048",675
"1443","05050",59
"1444","05051",358
"1445","05052",32
"1446","05053",46
"1447","05055",747
"1448","05056",84
"1449","05058",25
"1450","05059",116
"1451","05060",1125
"1452","05061",674
"1453","05062",155
"1454","05065",176
"1455","05067",28
"1456","05068",795
"1457","05069",82
"1458","05070",45
"1459","05071",0
"1460","05072",101
"1461","05075",206
"1462","05076",106
"1463","05077",305
"1464","05079",155
"1465","05081",126
"1466","05083",100
"1467","05084",40
"1468","05086",140
"1469","05089",1211
"1470","05091",692
"1471","05101",1100
"1472","05141",42
"1473","05142",181
"1474","05143",924
"1475","05146",90
"1476","05148",169
"1477","05149",446
"1478","05150",136
"1479","05151",400
"1480","05152",33
"1481","05153",86
"1482","05154",142
"1483","05155",180
"1484","05156",2297
"1485","05158",165
"1486","05161",121
"1487","05201",3975
"1488","05250",742
"1489","05251",234
"1490","05252",44
"1491","05253",75
"1492","05254",14
"1493","05255",758
"1494","05257",1145
"1495","05260",150
"1496","05261",516
"1497","05262",482
"1498","05301",4342
"1499","05340",45
"1500","05341",109
"1501","05342",104
"1502","05343",134
"1503","05345",481
"1504","05346",1442
"1505","05350",167
"1506","05352",198
"1507","05353",141
"1508","05354",525
"1509","05355",139
"1510","05356",190
"1511","05358",31
"1512","05359",78
"1513","05360",39
"1514","05361",210
"1515","05362",0
"1516","05363",408
"1517","05401",16704
"1518","05403",5896
"1519","05404",3415
"1520","05405",4309
"1521","05408",2158
"1522","05439",1475
"1523","05440",426
"1524","05441",223
"1525","05442",77
"1526","05443",1547
"1527","05444",485
"1528","05445",657
"1529","05446",4709
"1530","05447",16
"1531","05448",217
"1532","05450",1349
"1533","05452",5949
"1534","05454",1599
"1535","05455",227
"1536","05456",385
"1537","05457",292
"1538","05458",561
"1539","05459",477
"1540","05461",1124
"1541","05462",486
"1542","05463",86
"1543","05464",1043
"1544","05465",1435
"1545","05468",3719
"1546","05471",141
"1547","05472",422
"1548","05473",277
"1549","05474",197
"1550","05476",850
"1551","05477",1417
"1552","05478",4387
"1553","05481",0
"1554","05482",1275
"1555","05483",441
"1556","05485",75
"1557","05486",323
"1558","05487",443
"1559","05488",1955
"1560","05489",638
"1561","05491",1492
"1562","05492",180
"1563","05494",434
"1564","05495",2652
"1565","05602",2711
"1566","05640",18
"1567","05641",3863
"1568","05647",214
"1569","05648",94
"1570","05649",32
"1571","05650",219
"1572","05651",294
"1573","05652",191
"1574","05653",125
"1575","05654",292
"1576","05655",644
"1577","05656",1628
"1578","05657",8
"1579","05658",310
"1580","05660",339
"1581","05661",1660
