origin,count within 60,count within 30,minutes
2865,34,7,26.9
2871,4,0,44.46
2873,1,0,37.38
2874,1,1,0.0
2875,3,0,47.42
2876,3,0,33.45
2878,7,1,28.46
2879,2,2,0.0
2881,2,2,23.04
2882,3,2,22.83
2885,6,0,43.05
2886,13,4,0.0
2888,28,1,26.07
2889,13,3,25.49
2891,6,5,0.0
2892,5,0,38.76
2893,8,5,0.0
2894,1,0,55.77
2895,3,3,0.0
2896,3,3,24.79
2898,1,1,0.0
2903,31,27,0.0
2904,31,18,0.0
2905,33,18,10.58
2906,35,25,0.0
2907,34,18,0.0
2908,32,23,0.0
2909,31,24,0.0
2910,34,12,0.0
2911,31,11,0.0
2912,31,25,7.09
2914,31,10,0.0
2915,19,4,0.0
2916,35,12,14.84
2917,25,1,27.32
2919,31,6,0.0
2920,34,11,0.0
2921,20,2,26.95
3031,2,0,39.49
3032,6,0,48.44
3036,1,0,49.75
3038,2,1,0.0
3045,6,0,43.65
3048,2,0,49.93
3049,4,0,49.71
3051,6,4,0.0
3052,5,0,34.73
3053,5,1,0.0
3054,2,2,0.0
3060,5,5,0.0
3062,5,4,0.0
3063,7,3,29.64
3064,7,4,17.21
3071,2,0,42.27
3076,10,0,44.19
3079,10,1,0.0
3087,4,0,43.02
3101,6,6,0.0
3102,6,6,11.87
3103,7,6,0.0
3104,6,6,0.0
3106,6,0,30.12
3109,8,6,18.21
3110,8,0,33.87
3217,1,0,45.09
3222,1,1,0.0
3223,1,0,43.67
3243,1,0,58.83
3244,1,0,54.45
3245,1,0,34.47
3264,1,1,0.0
3275,6,0,50.76
3284,1,0,48.23
3301,6,6,0.0
3303,6,0,54.03
3304,6,0,39.1
3431,1,1,0.0
3440,1,1,0.0
3442,1,0,30.94
3444,1,1,0.0
3445,1,0,51.42
3446,1,0,51.16
3448,1,0,58.27
3449,2,0,41.2
3450,1,0,36.77
3451,3,0,56.3
3452,1,0,46.68
3455,1,0,49.96
3458,1,0,45.62
3462,1,0,57.79
3466,3,0,51.27
3570,1,1,0.0
3576,1,1,0.0
3597,1,0,53.27
3603,1,0,41.68
3745,1,0,41.8
3748,1,0,58.07
3750,1,0,39.56
3751,1,0,48.38
3753,1,1,0.0
3755,3,0,42.46
3765,1,0,57.8
3766,3,1,0.0
3770,1,0,58.23
3779,1,0,38.93
3784,3,0,35.05
3801,4,4,0.0
3811,4,0,40.29
3816,2,0,52.22
3820,4,0,35.61
3826,3,0,53.98
3839,4,0,52.15
3840,4,0,33.03
3841,2,0,55.93
3853,2,0,48.14
3854,4,4,22.96
3858,3,0,40.67
3865,3,3,26.5
3867,4,0,43.76
3868,4,0,55.22
3869,4,4,25.88
