origin,count within 30,minutes
5461,1,24.18
5468,1,23.26
5478,1,0.0
5481,1,18.79
5482,1,13.38
5483,1,22.2
5485,1,18.54
5486,1,28.32
5488,1,13.66
5494,1,29.69
5495,1,10.92
5602,1,13.42
5641,1,0.0
5649,1,8.87
5651,1,11.51
5654,1,12.45
5658,1,26.74
5663,1,24.6
5664,1,26.22
5667,1,18.39
5675,1,17.33
5676,1,27.34
5678,1,10.39
5679,1,11.8
5701,1,0.0
5732,1,26.73
5733,1,27.86
5735,1,20.33
5736,1,9.49
5738,1,27.44
5742,1,28.24
5744,1,28.76
5751,1,19.31
5759,1,10.21
5763,1,15.21
5765,1,14.66
5773,1,21.33
5777,1,16.57
5819,1,0.0
5821,1,20.3
5822,1,25.55
5824,1,13.94
5825,1,11.33
5828,1,12.26
5829,1,14.08
5830,1,17.91
5832,1,27.46
5839,1,29.12
5845,1,21.13
5850,1,16.3
5851,1,18.94
5853,1,22.67
5855,1,0.0
5857,1,11.67
5859,1,27.2
5860,1,24.59
5866,1,23.05
5868,1,25.26
5872,1,22.08
5873,1,21.52
6001,9,21.24
6002,11,9.97
6010,15,0.0
6013,3,18.38
6016,14,15.01
6018,2,5.95
6019,8,23.66
6020,10,19.65
6021,2,25.08
6022,4,26.24
6023,15,9.12
6024,2,0.0
6026,9,18.74
6029,12,13.8
6031,2,15.56
6032,10,14.84
6033,11,12.72
6035,10,20.8
6037,14,8.36
6039,1,20.26
6040,9,0.0
6042,12,6.36
6043,9,12.19
6051,14,0.0
6052,16,3.69
6053,14,4.81
6057,1,14.53
6058,2,10.6
6059,1,22.0
6060,3,30.0
6061,4,19.25
6062,14,8.23
6063,1,17.19
6065,1,26.25
6066,12,14.06
6067,13,14.71
6068,1,15.76
6070,7,22.74
6071,7,0.0
6073,10,21.7
6074,13,12.04
6076,3,16.95
6078,17,9.96
6081,9,14.86
6082,17,0.0
6084,10,22.14
6085,11,11.95
6088,14,13.24
6089,9,19.14
6090,3,28.14
6091,1,25.32
6092,6,27.91
6093,12,19.09
6095,13,8.58
6096,14,13.07
6098,2,13.07
6103,15,2.27
6105,15,4.08
6106,15,0.0
6107,13,9.06
6108,14,7.3
6109,13,9.94
6110,13,6.73
6111,13,8.02
6112,15,0.0
