origin,count within 30,minutes
3264,3,0.0
3266,5,18.96
3268,2,17.8
3269,5,17.77
3275,4,27.9
3276,5,7.73
3279,1,0.0
3282,1,11.91
3285,3,25.6
3290,3,21.15
3291,5,25.28
3293,3,26.68
3301,8,24.97
3303,2,25.42
3304,8,24.41
3447,1,28.32
3461,1,27.72
3465,1,28.97
3561,5,0.0
3570,3,0.0
3574,4,12.0
3575,1,25.1
3576,2,0.0
3580,3,0.0
3581,1,0.0
3583,1,22.06
3584,1,18.09
3585,3,22.34
3586,3,11.08
3588,3,20.09
3592,1,28.59
3593,3,21.49
3595,4,13.93
3597,2,8.92
3598,3,0.0
3601,1,25.34
3602,2,21.61
3603,9,0.0
3604,2,12.79
3607,2,27.67
3608,2,14.96
3609,10,4.47
3740,5,17.38
3743,7,15.79
3765,11,18.36
3768,6,25.63
3771,3,25.07
3774,10,14.79
3777,6,23.98
3779,7,13.1
3780,9,19.96
3785,3,0.0
3801,6,0.0
3810,3,24.36
3811,22,13.14
3813,1,23.8
3817,1,19.37
3818,1,0.0
3819,7,20.22
3820,9,0.0
3823,8,8.76
3824,8,12.3
3825,5,17.48
3826,22,15.1
3827,7,13.17
3832,1,19.13
3833,4,0.0
3835,4,14.14
3837,3,29.82
3839,5,8.13
3840,7,11.55
3841,21,19.93
3842,10,21.82
3844,10,17.87
3845,1,23.63
3847,1,20.69
3848,7,15.28
3849,1,11.86
3851,2,24.52
3852,4,23.51
3854,4,12.2
3855,2,26.62
3856,7,13.1
3857,8,0.0
3858,21,11.77
3860,1,13.88
3861,11,9.61
3862,6,16.52
3865,22,7.5
3867,6,0.0
3868,7,7.29
3869,8,9.86
3870,3,15.55
3871,5,18.43
3873,5,22.82
3874,9,20.05
3875,1,20.72
3878,8,0.0
3884,2,29.63
3885,7,13.41
3886,1,24.66
3887,2,27.67
3890,1,25.77
3901,5,11.6
3902,3,27.4
3903,5,15.68
3904,4,11.84
3905,3,22.12
3906,5,0.0
3907,4,27.2
3908,6,18.94
3909,4,14.89
3910,3,22.6
3911,3,18.96
4001,2,17.97
4002,4,0.0
4005,26,0.0
4006,1,16.05
4008,1,20.45
4010,4,18.64
4015,1,22.48
4020,3,25.03
4021,22,19.96
4022,1,27.04
4024,1,29.1
4027,6,16.73
4030,3,28.19
4032,22,24.1
4037,1,20.21
4038,22,12.89
4039,37,18.05
4041,1,0.0
4042,1,27.13
4043,2,14.46
4046,1,16.12
4047,2,24.94
4055,1,26.33
4062,22,16.23
4063,24,9.42
4064,24,9.87
4068,2,0.0
4071,1,26.56
4072,24,5.0
4073,4,11.43
4074,23,11.28
4076,2,16.99
4083,7,0.0
4084,1,29.61
4087,3,21.98
4090,5,16.84
4091,1,21.02
4092,23,0.0
4093,23,20.83
4095,2,26.9
4096,22,16.06
4097,21,26.33
4101,23,0.0
4102,23,0.0
4103,23,0.0
4105,22,15.83
4106,23,0.0
4107,22,7.38
4108,1,0.0
4110,22,15.74
4210,16,0.0
4217,1,0.0
4219,1,21.77
4220,1,20.48
4221,2,23.28
4222,14,23.79
4227,1,17.68
4228,2,12.63
4231,1,27.77
4234,1,23.2
4236,17,12.48
4237,1,24.54
4238,9,22.15
4239,1,13.21
4240,17,0.0
4250,14,15.96
4252,14,21.83
4253,3,12.97
4254,2,0.0
4255,1,24.78
4256,15,9.74
4258,16,17.87
4259,2,0.0
4260,26,16.84
4261,1,23.78
4263,11,0.0
4265,20,10.89
4267,1,28.71
4268,1,25.9
4270,8,15.81
4274,15,0.0
4280,16,12.53
4281,1,25.49
4282,16,0.0
4284,4,18.64
4286,1,7.08
4287,1,29.85
4289,1,26.47
4294,1,24.31
4330,6,0.0
4342,1,13.26
4343,7,14.55
4344,5,13.3
4345,6,16.95
4346,6,14.88
4347,6,8.86
4348,1,15.0
4349,1,14.26
4350,1,22.26
4351,7,12.23
4353,5,0.0
4354,4,29.99
4355,6,24.82
4357,1,0.0
4358,5,15.32
4359,6,20.21
4363,6,17.93
4364,7,17.26
4401,27,0.0
4411,8,16.68
4412,28,0.0
4413,1,27.07
4414,4,0.0
4415,4,8.7
4416,5,0.0
4417,1,23.33
4419,25,22.62
4424,1,0.0
4426,3,24.64
4427,18,26.35
4428,22,18.92
4429,24,14.58
4430,7,0.0
4431,6,21.84
4434,7,14.31
4435,1,28.18
4438,1,20.7
4443,1,26.44
4444,24,0.0
4448,6,9.94
4449,20,26.12
4450,22,18.48
4453,3,22.45
4455,4,0.0
4456,22,19.59
4457,7,0.0
4460,12,0.0
4461,26,9.07
4462,7,0.0
4463,4,0.0
4468,26,0.0
4469,26,6.47
4471,7,28.5
4472,6,16.87
4473,26,0.0
4474,25,16.15
4475,4,14.65
