origin,count within 30,minutes
2806,18,7.06
2808,2,13.58
2809,12,18.39
2812,1,28.14
2813,2,19.46
2814,12,11.5
2815,3,26.38
2816,10,13.32
2817,2,22.14
2818,12,12.23
2822,1,27.56
2825,4,28.78
2826,10,12.55
2828,18,8.23
2830,7,8.56
2831,9,19.0
2832,2,21.81
2833,1,18.35
2835,3,12.3
2836,2,21.47
2837,1,27.13
2838,20,5.86
2839,7,10.74
2840,2,0.0
2841,2,8.51
2842,3,8.17
2852,5,20.31
2857,16,15.81
2858,9,9.59
2859,7,0.0
2860,18,0.0
2861,19,8.63
2863,18,8.7
2864,17,12.55
2865,18,10.01
2871,6,18.13
2873,1,26.15
2874,4,13.67
2875,2,25.11
2876,14,12.64
2878,6,10.64
2879,2,0.0
2881,3,11.32
2882,4,7.97
2885,17,10.7
2886,13,0.0
2888,15,6.57
2889,13,7.78
2891,3,0.0
2892,1,25.08
2893,13,7.61
2894,2,20.86
2895,17,0.0
2896,13,0.0
2898,2,25.27
2903,20,0.0
2904,19,5.72
2905,20,0.0
2906,21,0.0
2907,20,0.0
2908,20,0.0
2909,20,4.66
2910,16,5.77
2911,18,0.0
2912,21,3.26
2914,21,7.58
2915,19,0.0
2916,22,6.92
2917,18,8.21
2919,18,8.5
2920,16,0.0
2921,13,10.69
3031,5,11.3
3032,6,17.47
3033,2,15.82
3034,4,19.48
3036,2,17.85
3038,7,0.0
3042,2,19.03
3043,2,10.26
3044,5,20.2
3045,4,13.68
3046,3,25.34
3047,2,0.0
3048,3,25.77
3049,4,13.99
3051,8,10.96
3052,8,21.9
3053,8,17.13
3054,7,19.68
3055,3,0.0
3057,2,11.69
3060,6,0.0
3062,6,8.94
3063,8,0.0
3064,9,7.48
3070,5,23.45
3071,1,21.38
3076,13,14.75
3077,5,23.7
3079,15,0.0
3082,3,19.85
3084,3,13.57
3086,3,11.39
3087,15,14.95
3101,8,4.86
3102,7,0.0
3103,8,0.0
3104,7,0.0
3106,6,12.09
3109,5,8.94
3110,6,11.64
3216,2,22.12
3217,1,16.38
3220,2,15.82
3221,1,28.52
3223,1,12.58
3224,3,23.86
3226,2,23.5
3229,2,20.46
3230,1,26.49
3231,2,16.12
3233,1,9.08
3234,2,21.49
3235,4,0.0
3237,2,21.86
3241,1,29.04
3242,2,28.84
3243,1,21.67
3244,1,28.7
3245,1,13.35
3246,2,0.0
3249,2,8.78
3253,1,15.97
3255,1,24.61
3256,3,22.22
3257,1,0.0
3258,2,15.4
3260,1,12.94
3263,2,26.7
3264,1,0.0
3266,1,18.96
3268,4,17.8
3269,2,17.77
3273,1,19.66
3275,4,16.99
3276,4,7.73
3278,1,22.88
3284,2,13.64
3285,1,25.6
3287,1,18.01
3290,1,29.46
3291,2,25.28
3293,1,26.68
3301,6,0.0
3303,3,12.72
3304,6,11.85
3307,2,17.28
3431,1,0.0
3440,2,21.11
3441,2,25.09
3442,2,14.45
3443,3,22.04
3444,1,18.08
3445,1,18.48
3446,1,16.34
3447,2,23.09
3448,1,14.5
3449,2,11.91
3450,2,23.18
3451,2,19.51
3452,2,12.57
3455,2,14.36
3456,1,26.65
3457,1,21.05
3458,3,0.0
3461,2,21.99
3462,3,17.4
3464,1,29.04
3465,2,14.39
3466,3,16.15
3467,3,21.53
3470,1,28.57
3561,2,0.0
3570,1,0.0
3574,1,12.0
3576,1,0.0
3580,1,16.2
3582,1,20.94
3583,1,15.97
3584,1,0.0
3585,1,22.34
3586,1,17.51
3588,1,20.09
3593,1,21.49
3595,2,24.79
3597,1,16.66
3598,2,18.16
3602,1,28.42
3603,2,14.01
3609,1,21.72
3740,2,17.83
3741,1,28.7
3743,3,0.0
3745,2,18.51
3746,3,19.24
3748,2,20.91
3750,3,17.82
3751,2,10.53
3753,3,19.71
3754,2,20.04
3755,4,11.4
3765,1,23.98
3766,4,0.0
3768,3,25.08
3770,3,18.74
3771,1,25.07
3773,2,16.66
3774,1,14.79
3780,1,28.1
3782,2,16.4
3784,4,0.0
3785,1,0.0
3801,5,0.0
3809,1,25.26
3810,2,24.36
3811,12,9.64
3812,1,21.89
3813,1,23.84
3814,1,23.3
3816,1,18.87
3818,1,13.89
3819,8,13.27
3820,5,0.0
3823,4,8.76
3824,5,12.3
3825,2,17.48
3826,10,9.84
3827,7,12.0
3832,1,26.68
3833,3,0.0
3835,2,14.14
3837,1,29.82
3838,1,19.84
3839,2,8.13
3840,6,11.55
3841,9,0.0
3842,7,19.7
3844,8,15.23
3845,1,12.03
3846,1,24.58
3847,1,9.09
3848,8,15.28
3849,1,23.11
3850,1,21.62
3851,1,24.52
3852,1,29.02
3853,1,13.51
3854,4,12.2
3855,1,26.62
3856,3,17.41
3857,4,21.24
3858,11,11.77
3860,1,0.0
3861,5,16.61
3862,6,16.52
3864,1,15.76
3865,11,7.5
3867,2,0.0
3868,2,7.29
3869,5,9.86
3870,3,15.55
3871,3,18.43
3872,1,23.73
3873,4,18.21
3874,10,9.67
3878,4,13.38
3884,1,29.63
