origin,count within 30,minutes
2702,99,12.53
2703,211,0.0
2715,63,14.13
2717,80,7.27
2718,93,11.75
2719,74,0.0
2720,140,0.0
2721,156,0.0
2723,162,4.63
2724,167,0.0
2725,203,0.0
2726,113,0.0
2738,48,9.1
2739,70,6.63
2740,75,0.0
2743,67,8.8
2744,70,0.0
2745,88,0.0
2746,79,0.0
2747,71,0.0
2748,59,0.0
2760,199,0.0
2762,182,0.0
2763,201,0.0
2764,136,11.23
2766,177,0.0
2767,105,0.0
2769,204,0.0
2770,22,19.58
2771,229,0.0
2777,232,0.0
2779,71,13.6
2780,136,0.0
2790,74,0.0
2791,67,14.06
2802,187,4.77
2804,27,11.19
2806,196,0.0
2807,1,0.0
2808,38,12.37
2809,92,0.0
2812,17,14.51
2813,27,0.0
2814,101,0.0
2815,57,13.73
2816,115,0.0
2817,49,16.82
2818,136,0.0
2822,43,20.75
2825,55,12.97
2826,84,12.55
2827,16,18.88
2828,200,0.0
2830,76,8.56
2831,95,12.38
2832,63,6.7
2833,24,16.11
2835,38,0.0
2836,34,11.27
2837,21,23.47
2838,225,5.86
2839,76,9.54
2840,23,0.0
2841,26,8.51
2842,31,0.0
2852,86,0.0
2857,186,0.0
2858,82,9.46
2859,51,0.0
2860,216,0.0
2861,237,0.0
2863,218,0.0
2864,195,0.0
2865,225,0.0
2871,57,0.0
2873,30,10.88
2874,51,11.45
2875,27,14.92
2876,142,12.64
2878,83,0.0
2879,33,0.0
2881,29,0.0
2882,33,0.0
2885,176,0.0
2886,171,0.0
2888,190,0.0
2889,158,0.0
2891,45,0.0
2892,25,16.04
2893,163,0.0
2894,27,16.04
2895,194,0.0
2896,129,0.0
2898,50,0.0
2903,248,0.0
2904,237,0.0
2905,231,0.0
2906,249,0.0
2907,236,0.0
2908,244,0.0
2909,240,0.0
2910,206,0.0
2911,204,0.0
2912,251,3.26
2914,245,0.0
2915,215,0.0
2916,243,0.0
2917,182,0.0
2919,214,0.0
2920,197,0.0
2921,166,0.0
3031,46,0.0
3032,59,17.37
3033,34,13.26
3034,43,15.1
3036,29,16.76
3037,7,21.65
3038,69,0.0
3042,37,0.0
3043,5,19.96
3044,28,14.21
3045,38,0.0
3046,29,18.54
3047,6,14.0
3048,19,18.75
3049,48,0.0
3051,100,0.0
3052,74,13.41
3053,87,0.0
3054,65,0.0
3055,36,0.0
3057,25,11.69
3060,83,0.0
3062,74,0.0
3063,81,0.0
3064,96,0.0
3070,33,15.68
3071,8,19.49
3076,121,0.0
3077,47,0.0
3079,144,0.0
3082,9,21.09
3084,12,13.57
3086,20,11.39
3087,131,0.0
3101,93,0.0
3102,85,0.0
3103,92,0.0
3104,78,0.0
3106,65,0.0
3109,56,0.0
3110,65,0.0
3215,1,0.0
3216,10,22.12
3217,8,16.38
3218,8,7.87
3220,20,0.0
3221,6,18.62
3222,1,0.0
3223,8,12.58
3224,30,21.1
3225,4,18.07
3226,20,8.46
3227,2,26.18
3229,30,0.0
3230,3,21.94
3231,7,16.12
3233,5,9.08
3234,32,0.0
3235,42,0.0
3237,20,15.8
3241,7,24.99
3242,27,0.0
3243,6,19.98
3244,5,0.0
3245,8,13.35
3246,20,0.0
3249,20,0.0
3251,1,0.0
3253,15,0.0
3255,4,23.93
3256,26,13.67
3257,5,0.0
3258,30,0.0
3260,6,12.07
3261,9,0.0
3262,1,10.99
3263,28,0.0
3264,6,0.0
3266,7,18.96
3268,32,17.8
3269,20,15.53
3273,4,17.98
3275,48,0.0
3276,42,0.0
3278,5,0.0
3280,5,23.61
3281,5,21.0
3284,7,13.64
3285,8,25.5
3287,2,18.01
3290,18,15.7
3291,29,9.06
3293,7,15.25
3301,62,0.0
3303,32,0.0
3304,58,11.85
3307,30,15.97
3431,11,0.0
3440,6,18.65
3441,8,11.34
3442,6,17.98
3443,14,22.04
3444,5,18.08
3445,6,18.48
3446,7,16.34
3447,20,15.5
3448,6,14.5
3449,6,11.91
3450,9,23.18
3451,8,0.0
3452,9,0.0
3455,15,14.36
3456,6,26.65
3457,6,21.05
3458,10,0.0
3461,16,0.0
3462,13,17.4
3464,9,25.87
3465,19,14.39
3466,14,16.15
3467,13,21.53
3470,8,0.0
3561,12,0.0
3570,1,0.0
3574,9,12.0
3576,1,0.0
3580,9,16.2
3581,1,0.0
3582,1,20.94
3583,1,15.97
3584,1,0.0
3585,9,0.0
3586,9,17.51
3588,1,20.09
3593,1,21.49
3595,9,24.79
3597,1,16.66
3598,9,18.16
3602,9,21.61
3603,9,14.01
3604,3,12.79
3605,2,21.63
3607,3,27.67
3608,4,0.0
3609,7,4.47
3740,12,15.84
3741,3,25.42
3743,10,0.0
3745,5,18.51
3746,7,19.24
3748,8,0.0
3750,10,17.55
3751,7,10.53
3752,2,16.77
3753,11,19.71
3754,8,5.59
3755,11,0.0
3765,5,18.36
3766,12,0.0
3768,12,20.69
3770,11,18.74
3771,4,25.07
3773,8,0.0
3774,5,14.79
3777,2,23.98
3779,2,13.1
3780,4,26.39
3782,8,10.15
3784,11,0.0
3785,3,0.0
3801,44,0.0
3809,5,0.0
3810,18,12.88
3811,91,10.78
3812,6,21.89
3813,7,14.97
3814,4,10.99
3816,4,18.87
3817,2,24.76
3818,7,13.89
3819,51,6.5
3820,43,0.0
3823,44,8.76
3824,45,0.0
3825,29,17.4
3826,76,0.0
3827,51,12.0
3830,2,25.34
3832,6,26.68
3833,36,0.0
3835,22,0.0
3836,2,23.7
3837,10,21.29
3838,6,19.84
3839,27,8.13
3840,47,0.0
3841,66,9.91
3842,44,0.0
3844,52,8.06
3845,6,12.03
3846,6,24.58
3847,7,9.09
3848,57,0.0
3849,7,23.11
3850,4,21.62
3851,9,20.44
3852,10,23.51
3853,4,13.51
3854,26,12.2
3855,10,12.06
3856,35,12.64
3857,38,0.0
3858,76,11.77
3860,7,0.0
3861,47,0.0
3862,42,0.0
3864,4,0.0
3865,87,0.0
3867,26,0.0
3868,29,0.0
3869,40,9.86
3870,26,0.0
3871,27,8.81
3872,5,18.81
3873,28,11.56
3874,61,0.0
3875,2,30.0
3878,37,0.0
3882,2,24.44
3883,4,27.06
3884,8,19.88
3885,40,0.0
3886,2,28.0
3887,12,13.87
3890,4,17.2
3894,5,0.0
3901,25,0.0
3902,19,12.52
3903,33,9.88
3904,38,0.0
3905,13,12.5
3906,25,16.98
3907,19,13.07
3908,29,0.0
3909,41,0.0
3910,16,7.72
3911,17,4.07
4001,7,17.97
4002,25,17.44
4005,62,0.0
4006,19,16.05
4008,18,20.52
4009,4,0.0
4010,3,18.86
4011,21,0.0
4015,10,10.97
4020,2,0.0
4021,43,12.03
4022,4,22.98
4024,4,21.51
4027,22,10.83
4029,2,19.5
4030,5,0.0
4032,56,0.0
4037,9,0.0
4038,57,0.0
4039,74,0.0
4040,4,13.34
4041,2,27.58
4042,18,17.26
4043,35,0.0
4046,19,0.0
4047,2,28.94
4048,3,18.7
4049,4,22.94
4051,3,18.87
4055,10,0.0
4056,1,27.58
4057,4,7.78
4061,1,13.56
4062,54,0.0
4063,60,5.68
4064,60,0.0
4066,15,24.98
4068,2,25.07
4069,22,14.39
4071,8,20.05
4072,65,0.0
4073,15,0.0
4074,62,0.0
4076,7,16.99
4079,15,20.41
4083,24,0.0
4084,19,0.0
4085,10,18.08
4086,21,0.0
4087,8,18.43
4088,3,19.22
4090,37,0.0
4091,2,18.57
4092,69,0.0
4093,61,0.0
4095,1,26.9
4096,61,0.0
4097,38,11.52
4101,71,0.0
4102,71,0.0
4103,71,0.0
4105,50,0.0
4106,71,0.0
4107,57,0.0
4110,60,6.54
4210,28,0.0
4217,1,0.0
4219,1,21.77
4220,3,20.48
4221,8,23.28
4222,34,13.5
4224,3,24.37
4227,7,15.1
4228,3,12.63
4231,1,27.77
4234,7,15.61
4236,25,0.0
4237,3,24.54
4238,14,16.53
4239,7,0.0
4240,26,0.0
4250,34,10.06
4252,39,0.0
4253,5,12.97
4254,5,0.0
4255,1,24.78
4256,25,0.0
4257,3,0.0
4258,24,15.0
4259,5,17.54
4260,39,9.68
4261,1,23.78
4263,18,15.52
4265,37,10.87
4267,2,28.71
4268,4,0.0
4270,13,0.0
4271,4,14.31
4274,25,9.72
4275,3,20.25
4276,3,0.0
4280,37,12.53
4281,4,9.42
4282,22,0.0
4284,6,15.57
4286,1,7.08
4287,11,19.73
4289,4,17.98
4290,3,23.1
4294,7,17.87
4330,35,0.0
4342,11,19.23
4343,23,3.47
4344,22,10.24
4345,19,0.0
4346,21,0.0
4347,22,8.86
4348,2,21.72
4349,6,14.26
4350,4,24.04
4351,24,0.0
4353,18,18.83
4354,15,19.99
4355,17,12.59
4357,4,25.51
4358,28,0.0
4359,19,10.29
4360,4,19.79
4363,21,14.67
4364,21,0.0
4401,30,0.0
4406,5,16.61
4410,1,22.67
4411,8,16.68
4412,29,0.0
4414,1,22.83
4415,1,20.3
4416,2,0.0
4419,31,22.62
4422,4,12.45
