GEOID,ZIPCODE,areaSqMi,totPopE,alcTotal,alcDens,alcPerCap
"02120","02120",0.620648648648649,"14928",2,3.22243511583348,0.000133976420150054
"02121","02121",1.74530965250965,"29919",4,2.29185691733741,0.000133694307964838
"02122","02122",2.03496833976834,"25059",11,5.40548950321863,0.000438964044854144
"02124","02124",2.99547837837838,"55821",5,1.66918247051637,8.95720248651941e-05
"02125","02125",2.13230579150579,"34358",7,3.28283120924074,0.000203737120903429
"02126","02126",2.07952200772201,"29591",7,3.36615817192917,0.000236558413030989
"02127","02127",2.02306602316602,"36898",11,5.43729165239274,0.00029811913924874
"02128","02128",4.85093629343629,"46927",10,2.06145770529512,0.000213096937797004
"02129","02129",1.3510583011583,"19414",4,2.96064203637303,0.000206036880601628
"02130","02130",3.33407876447876,"40377",7,2.09953048337607,0.000173366025212373
"02131","02131",2.58682857142857,"33771",9,3.47916367532224,0.000266500843919339
"02132","02132",4.55940540540541,"28487",4,0.877307377680826,0.000140414926106645
"02134","02134",1.32631814671815,"19424",5,3.76983456976144,0.000257413509060956
"02135","02135",2.63408378378378,"44760",5,1.89819322786219,0.000111706881143878
"02136","02136",4.590761003861,"34223",6,1.30697285154984,0.000175320690763522
"02138","02138",2.74040849420849,"38835",9,3.28418190901844,0.000231749710312862
"02139","02139",1.55776640926641,"38272",8,5.13555816354225,0.000209030100334448
"02140","02140",1.15455907335907,"21338",1,0.866131515549569,4.68647483363014e-05
"02141","02141",0.643781081081081,"14052",2,3.10664612361933,0.000142328494164532
"02142","02142",0.277950965250965,"3294",1,3.59775688887099,0.000303582270795386
"02143","02143",1.5440250965251,"26151",8,5.18126293283988,0.000305915643761233
"02144","02144",1.08231158301158,"25277",7,6.46763844153101,0.00027693159789532
"02145","02145",1.3959833976834,"26868",5,3.58170448753,0.000186094982879262
"02148","02148",5.04515019305019,"61354",8,1.58568123720483,0.000130390846562571
"02149","02149",3.42308223938224,"45596",9,2.6292093997789,0.000197385735590841
"02150","02150",2.21117567567568,"39842",5,2.26124050431775,0.000125495708046785
"02151","02151",5.87301274131274,"53976",6,1.02162216638728,0.000111160515784793
"02152","02152",1.97241196911197,"18535",5,2.53496737917846,0.000269759913676828
"02155","02155",8.1946806949807,"59793",10,1.22030380099191,0.000167243657284297
"02163","02163",0.0991227799227799,"2401",0,0,0
"02169","02169",8.97072123552124,"56584",13,1.44915884227057,0.000229746924925774
"02170","02170",2.0828694980695,"19367",2,0.960213782886395,0.000103268446326225
"02171","02171",2.45257258687259,"18170",2,0.815470257926316,0.000110071546505228
"02176","02176",4.68241930501931,"28116",1,0.213564812302916,3.55669369753877e-05
"02180","02180",6.01497876447876,"22144",4,0.665006504033207,0.000180635838150289
"02184","02184",13.7622521235521,"37207",9,0.653962732204113,0.000241889966941705
"02186","02186",13.0158799227799,"27568",2,0.153658455046107,7.25478816018572e-05
"02188","02188",3.71974362934363,"15287",5,1.34417865805507,0.000327075292732387
"02189","02189",3.80643976833977,"15603",4,1.05085072756705,0.000256360956226367
"02190","02190",7.11001312741313,"17196",3,0.421940149228881,0.000174459176552687
"02191","02191",2.02374787644788,"8298",2,0.988265397718633,0.000241021932995903
"02199","02199",0.0572297297297297,"1149",0,0,0
"02203","02203",0.0317262548262548,"25",0,0,0
"02210","02210",0.960921621621622,"3196",3,3.12200280698991,0.000938673341677096
"02215","02215",0.765014285714286,"25619",4,5.22866052921514,0.0001561341192084
"02301","02301",12.4432602316602,"62929",15,1.20547185550572,0.000238363870393618
"02302","02302",8.88553281853282,"32497",5,0.562712456541869,0.000153860356340585
"02322","02322",4.2916250965251,"4482",2,0.466023931498441,0.000446229361892012
"02324","02324",27.2463694980695,"27397",6,0.220212825067396,0.000219002080519765
"02330","02330",37.3075359073359,"11661",3,0.0804127082381257,0.000257267815796244
"02332","02332",23.7134305019305,"15703",4,0.168680781959167,0.000254728395847927
"02333","02333",17.2313872586873,"14386",2,0.116067265506536,0.000139024051160851
"02338","02338",15.9709142857143,"7824",1,0.0626138229853555,0.000127811860940695
"02339","02339",15.5374602316602,"14397",3,0.193081749222243,0.000208376745155241
"02341","02341",15.0203903474903,"10668",1,0.0665761659228172,9.37382827146607e-05
"02343","02343",7.00994633204633,"10728",4,0.570617778015474,0.000372856077554064
"02346","02346",68.8379189189189,"24463",2,0.0290537545499554,8.17561214895965e-05
"02347","02347",29.789572972973,"11335",4,0.134275170833401,0.00035288928098809
"02351","02351",9.67065096525097,"16330",4,0.413622621100998,0.000244947948560931
"02356","02356",13.7104517374517,"12962",4,0.29174822803785,0.000308594352723345
"02357","02357",0.481158687258687,"1126",0,0,0
"02359","02359",21.7754216216216,"18304",5,0.229616679156987,0.000273164335664336
"02360","02360",95.4811826254826,"59133",13,0.136152482013042,0.000219843403852333
