STATEFP,COUNTYFP,pcp_total,sp_total
8,8083,23,11
8,8085,30,55
8,8087,19,23
8,8089,16,7
8,8091,7,4
8,8093,3,2
8,8095,3,0
8,8097,12,36
8,8099,4,6
8,8101,138,273
8,8103,7,3
8,8105,7,2
8,8107,22,42
8,8109,6,3
8,8111,0,0
8,8113,3,1
8,8115,3,0
8,8117,10,19
8,8119,12,8
8,8121,0,0
8,8123,113,146
8,8125,5,2
9,9001,828,1683
9,9003,800,1839
9,9005,108,183
9,9007,126,205
9,9009,790,1895
9,9011,186,361
9,9013,76,85
9,9015,77,86
10,10001,87,173
10,10003,515,892
10,10005,133,240
11,11001,1069,2607
12,12001,336,785
12,12003,19,18
12,12005,95,234
12,12007,19,8
12,12009,401,754
12,12011,1265,2780
12,12013,5,2
12,12015,118,233
12,12017,79,159
12,12019,119,204
12,12021,217,509
12,12023,46,84
12,12027,11,12
12,12029,3,1
12,12031,795,1656
12,12033,239,584
12,12035,51,100
12,12037,5,2
12,12039,15,13
12,12041,10,2
12,12043,4,3
12,12045,9,4
12,12047,2,1
12,12049,9,9
12,12051,9,4
12,12053,113,163
12,12055,60,123
12,12057,960,2092
12,12059,8,3
12,12061,99,257
12,12063,20,25
12,12065,3,1
12,12067,2,0
12,12069,196,377
12,12071,399,833
12,12073,220,333
12,12075,14,8
12,12077,0,0
12,12079,8,12
12,12081,176,364
12,12083,180,347
12,12085,98,210
12,12086,2109,3701
12,12087,55,113
12,12089,28,35
12,12091,156,281
12,12093,23,33
12,12095,829,1617
12,12097,149,232
12,12099,1056,2361
12,12101,320,444
12,12103,841,1560
12,12105,315,548
12,12107,35,44
12,12109,130,188
12,12111,128,253
12,12113,93,107
12,12115,294,727
12,12117,301,376
12,12119,43,69
12,12121,10,2
12,12123,9,8
12,12125,5,10
12,12127,334,534
12,12129,5,0
12,12131,25,52
12,12133,8,5
13,13001,9,9
13,13003,0,0
13,13005,5,4
13,13007,1,0
13,13009,36,51
13,13011,4,4
13,13013,31,13
13,13015,46,73
13,13017,9,7
13,13019,5,2
13,13021,168,375
13,13023,7,1
13,13025,1,0
13,13027,3,5
13,13029,16,21
13,13031,31,64
13,13033,7,3
13,13035,9,3
13,13037,1,1
13,13039,20,24
13,13043,5,1
13,13045,67,117
13,13047,35,48
13,13049,5,1
13,13051,237,486
13,13053,30,26
13,13055,6,3
13,13057,89,148
13,13059,98,282
13,13061,1,0
13,13063,112,190
13,13065,3,0
13,13067,395,736
13,13069,23,33
13,13071,24,28
13,13073,84,118
13,13075,7,4
13,13077,54,83
13,13079,1,0
13,13081,18,13
13,13083,5,2
13,13085,13,2
13,13087,11,22
13,13089,646,1415
13,13091,9,11
13,13093,0,0
13,13095,95,185
13,13097,50,88
13,13099,3,1
13,13101,0,0
13,13103,17,11
13,13105,10,6
13,13107,12,8
13,13109,5,5
13,13111,16,12
13,13113,99,153
13,13115,110,189
13,13117,85,131
13,13119,10,4
13,13121,956,2279
13,13123,17,10
13,13125,1,0
13,13127,55,156
13,13129,36,32
13,13131,18,9
13,13133,15,21
13,13135,472,647
13,13137,21,10
13,13139,122,252
13,13141,3,0
13,13143,12,10
13,13145,10,6
13,13147,14,7
13,13149,2,0
13,13151,85,138
13,13153,76,122
13,13155,5,0
13,13157,20,8
13,13159,4,1
13,13161,10,2
13,13163,10,1
13,13165,2,0
13,13167,5,1
13,13169,1,7
13,13171,8,1
13,13173,5,1
13,13175,59,80
13,13177,3,6
13,13179,36,46
13,13181,1,1
13,13183,0,1
13,13185,60,125
13,13187,14,21
13,13189,12,5
13,13191,2,0
13,13193,2,2
13,13195,7,0
13,13197,1,0
13,13199,4,5
13,13201,5,1
13,13205,10,1
13,13207,12,5
13,13209,0,0
13,13211,10,1
13,13213,11,2
13,13215,185,320
13,13217,31,36
13,13219,27,33
13,13221,4,0
13,13223,25,58
13,13225,12,8
13,13227,16,33
13,13229,5,1
13,13231,2,0
13,13233,17,6
13,13235,9,3
13,13237,6,5
13,13239,0,0
13,13241,9,9
13,13243,2,0
13,13245,245,694
13,13247,70,82
13,13249,1,0
13,13251,2,4
13,13253,9,6
13,13255,36,56
13,13257,17,24
13,13259,4,0
13,13261,17,24
13,13263,0,0
13,13265,0,0
13,13267,8,15
13,13269,0,0
13,13271,4,0
13,13273,1,1
13,13275,33,88
13,13277,42,63
13,13279,19,36
13,13281,11,4
13,13283,1,0
13,13285,35,76
13,13287,4,0
13,13289,0,1
13,13291,18,17
13,13293,23,24
13,13295,14,4
13,13297,35,46
13,13299,36,71
13,13301,2,0
13,13303,14,10
13,13305,16,19
13,13307,0,0
13,13309,0,0
13,13311,8,2
13,13313,62,108
13,13315,2,0
13,13317,7,4
13,13319,4,0
13,13321,10,5
15,15001,139,171
15,15003,952,1692
15,15005,0,0
15,15007,64,79
15,15009,141,173
16,16001,330,692
16,16003,0,0
16,16005,58,95
16,16007,3,4
16,16009,5,5
16,16011,21,19
16,16013,15,24
16,16015,2,2
16,16017,24,43
16,16019,56,134
16,16021,8,2
16,16023,1,1
16,16025,0,0
16,16027,78,113
16,16029,4,4
16,16031,16,17
16,16033,0,0
16,16035,8,6
16,16037,0,0
16,16039,20,16
16,16041,4,3
16,16043,1,0
16,16045,9,0
16,16047,5,1
16,16049,12,3
16,16051,4,1
16,16053,12,5
16,16055,100,238
16,16057,23,16
16,16059,4,6
16,16061,1,0
16,16063,0,0
16,16065,21,30
16,16067,7,2
16,16069,37,62
16,16071,0,0
16,16073,0,0
16,16075,11,10
16,16077,5,1
16,16079,9,1
16,16081,5,5
16,16083,49,102
16,16085,12,10
16,16087,5,4
17,17001,61,109
17,17003,2,0
17,17005,11,10
17,17007,28,8
17,17009,3,1
17,17011,15,31
17,17013,1,0
17,17015,3,0
17,17017,2,2
17,17019,167,289
17,17021,21,14
17,17023,5,0
17,17025,10,3
17,17027,17,11
17,17029,35,49
17,17031,5065,8875
17,17033,11,9
17,17035,1,0
17,17037,53,109
17,17039,8,5
17,17041,3,3
17,17043,889,1800
17,17045,8,8
17,17047,2,1
17,17049,23,51
17,17051,3,3
17,17053,14,7
17,17055,14,11
17,17057,17,16
17,17059,0,0
17,17061,6,2
17,17063,25,46
17,17065,2,2
17,17067,6,5
17,17069,2,0
17,17071,1,0
17,17073,18,19
17,17075,12,24
17,17077,68,79
17,17079,4,1
17,17081,32,57
17,17083,7,12
17,17085,13,9
17,17087,4,1
17,17089,289,480
17,17091,57,163
17,17093,36,23
17,17095,36,67
17,17097,591,957
17,17099,56,81
17,17101,8,6
17,17103,26,37
17,17105,26,20
17,17107,9,11
17,17109,21,16
17,17111,175,241
17,17113,121,207
17,17115,91,138
17,17117,15,19
17,17119,161,196
17,17121,20,43
17,17123,2,2
17,17125,7,4
17,17127,3,3
17,17129,4,1
17,17131,6,1
17,17133,9,6
17,17135,15,8
17,17137,18,32
17,17139,4,0
17,17141,27,8
17,17143,208,435
17,17145,12,12
17,17147,7,1
17,17149,6,6
17,17151,0,0
17,17153,0,0
17,17155,0,0
17,17157,23,28
17,17159,12,14
17,17161,96,161
17,17163,182,245
17,17165,23,18
17,17167,200,507
17,17169,1,2
17,17171,3,0
17,17173,9,6
17,17175,2,0
17,17177,26,48
17,17179,68,59
17,17181,17,5
17,17183,51,87
17,17185,8,5
17,17187,13,6
17,17189,2,3
17,17191,2,6
17,17193,10,1
17,17195,38,36
17,17197,321,475
17,17199,54,96
17,17201,233,459
17,17203,15,9
18,18001,14,8
18,18003,225,530
18,18005,61,101
18,18007,1,1
18,18009,4,1
18,18011,40,53
18,18013,3,1
18,18015,5,0
18,18017,15,31
18,18019,61,139
18,18021,11,6
18,18023,13,16
18,18025,1,0
18,18027,11,13
18,18029,31,42
18,18031,13,11
18,18033,25,14
18,18035,93,145
18,18037,31,52
18,18039,99,209
18,18041,11,18
18,18043,53,108
18,18045,4,3
18,18047,10,16
18,18049,13,5
18,18051,16,15
18,18053,45,60
18,18055,8,5
18,18057,250,450
18,18059,42,48
18,18061,16,20
18,18063,108,169
18,18065,27,27
18,18067,51,104
18,18069,18,28
18,18071,21,38
18,18073,20,9
18,18075,11,8
18,18077,22,29
18,18079,17,8
18,18081,95,113
18,18083,32,53
18,18085,35,48
18,18087,12,10
18,18089,336,666
18,18091,67,153
18,18093,25,51
18,18095,86,142
18,18097,883,2165
18,18099,30,26
18,18101,3,0
18,18103,14,25
18,18105,95,184
18,18107,21,26
18,18109,30,68
18,18111,1,1
18,18113,12,13
18,18115,1,0
18,18117,9,4
18,18119,4,1
18,18121,7,2
18,18123,11,7
18,18125,5,1
18,18127,75,117
18,18129,6,0
18,18131,9,3
18,18133,15,16
18,18135,9,10
18,18137,10,11
18,18139,11,8
18,18141,230,365
18,18143,10,7
18,18145,18,27
18,18147,5,0
18,18149,10,10
18,18151,15,5
18,18153,9,3
18,18155,1,1
18,18157,127,268
18,18159,10,10
18,18161,1,0
18,18163,206,382
18,18165,5,2
18,18167,97,190
18,18169,15,12
18,18171,4,3
18,18173,50,76
18,18175,9,12
18,18177,49,96
18,18179,23,19
18,18181,11,8
18,18183,15,8
19,19001,4,3
19,19003,3,2
19,19005,11,5
19,19007,10,5
19,19009,2,2
19,19011,8,9
19,19013,126,174
19,19015,14,9
19,19017,19,16
19,19019,6,4
19,19021,14,5
19,19023,8,0
19,19025,5,3
19,19027,26,18
19,19029,7,7
19,19031,7,0
19,19033,64,83
19,19035,7,5
19,19037,2,0
19,19039,7,1
19,19041,13,27
19,19043,2,4
19,19045,33,43
19,19047,11,6
19,19049,40,72
19,19051,3,1
19,19053,4,0
19,19055,16,2
19,19057,30,59
19,19059,13,4
19,19061,84,135
19,19063,6,3
19,19065,12,5
19,19067,5,8
19,19069,3,1
19,19071,4,2
19,19073,9,0
19,19075,6,0
19,19077,5,2
19,19079,9,13
19,19081,5,0
19,19083,11,7
19,19085,6,2
19,19087,13,10
19,19089,6,1
19,19091,2,4
19,19093,6,0
19,19095,9,0
19,19097,8,2
19,19099,20,12
19,19101,11,5
19,19103,200,589
19,19105,9,9
19,19107,1,1
19,19109,8,2
19,19111,24,24
19,19113,145,256
19,19115,1,0
19,19117,4,1
19,19119,3,2
19,19121,9,1
19,19123,15,8
19,19125,29,13
19,19127,27,26
19,19129,10,3
19,19131,4,1
19,19133,6,5
19,19135,4,0
19,19137,6,5
19,19139,22,24
19,19141,8,5
19,19143,2,0
19,19145,11,11
19,19147,6,0
19,19149,9,3
19,19151,4,0
19,19153,449,695
19,19155,48,68
19,19157,16,13
19,19159,5,1
19,19161,3,1
19,19163,112,247
19,19165,7,3
19,19167,28,7
19,19169,59,82
19,19171,4,0
19,19173,1,0
19,19175,13,5
19,19177,5,2
19,19179,27,39
19,19181,15,2
19,19183,15,7
19,19185,8,3
19,19187,26,34
19,19189,5,1
19,19191,16,22
19,19193,66,117
19,19195,1,0
19,19197,9,5
20,20001,6,2
20,20003,4,3
20,20005,9,13
20,20007,5,0
20,20009,23,16
20,20011,3,11
20,20013,9,4
20,20015,31,18
20,20017,0,0
20,20019,1,0
20,20021,5,6
20,20023,2,0
20,20025,4,0
20,20027,7,4
20,20029,7,6
20,20031,6,2
20,20033,0,0
20,20035,19,12
20,20037,31,39
20,20039,1,4
20,20041,10,0
20,20043,2,0
20,20045,78,104
20,20047,1,1
20,20049,0,0
20,20051,20,53
20,20053,2,1
20,20055,18,25
20,20057,21,22
20,20059,14,10
20,20061,28,20
20,20063,4,0
20,20065,1,1
20,20067,3,3
20,20069,1,0
20,20071,1,1
20,20073,5,0
20,20075,0,1
20,20077,3,1
20,20079,31,37
20,20081,2,0
20,20083,1,0
20,20085,8,0
20,20087,6,1
20,20089,0,0
20,20091,476,957
20,20093,3,1
20,20095,3,0
20,20097,1,0
20,20099,17,23
20,20101,1,0
20,20103,49,61
20,20105,1,0
20,20107,1,1
20,20109,4,0
20,20111,24,15
20,20113,19,5
20,20115,2,2
20,20117,5,8
20,20119,1,0
20,20121,8,8
20,20123,2,1
20,20125,19,20
20,20127,5,3
20,20129,3,2
20,20131,9,0
20,20133,9,3
20,20135,3,0
20,20137,3,2
20,20139,4,1
20,20141,4,1
20,20143,4,0
20,20145,5,7
20,20147,3,1
20,20149,12,1
20,20151,10,3
20,20153,3,0
20,20155,43,75
20,20157,4,0
20,20159,6,0
20,20161,46,74
20,20163,3,0
20,20165,1,0
20,20167,4,1
20,20169,42,84
20,20171,3,0
20,20173,402,645
20,20175,16,20
20,20177,161,304
20,20179,0,0
20,20181,2,2
20,20183,2,2
20,20185,1,0
20,20187,0,0
20,20189,1,0
20,20191,11,2
20,20193,7,1
20,20195,7,0
20,20197,2,0
20,20199,0,0
20,20201,3,0
20,20203,1,0
20,20205,7,7
20,20207,1,0
20,20209,120,393
21,21001,7,4
21,21003,4,11
21,21005,7,2
21,21007,1,0
21,21009,27,45
21,21011,2,1
21,21013,14,18
21,21015,80,84
21,21017,19,8
21,21019,60,160
21,21021,30,67
21,21023,1,1
21,21025,13,13
21,21027,7,0
21,21029,18,31
21,21031,0,0
21,21033,11,2
21,21035,16,40
21,21037,64,53
21,21039,1,0
21,21041,7,5
21,21043,7,5
21,21045,4,0
21,21047,38,100
21,21049,13,33
21,21051,14,6
21,21053,4,4
21,21055,3,3
21,21057,5,1
21,21059,49,134
21,21061,0,0
21,21063,1,0
21,21065,6,4
21,21067,341,968
21,21069,7,8
21,21071,33,25
21,21073,34,49
21,21075,5,6
21,21077,1,0
21,21079,5,1
21,21081,11,3
21,21083,17,19
21,21085,17,21
21,21087,6,5
21,21089,26,37
21,21091,0,0
21,21093,79,153
21,21095,14,25
21,21097,10,12
21,21099,7,3
21,21101,21,46
21,21103,5,1
21,21105,2,0
21,21107,54,68
21,21109,4,1
21,21111,689,1660
21,21113,21,12
21,21115,13,18
21,21117,116,265
21,21119,3,0
21,21121,13,9
21,21123,3,1
21,21125,30,51
21,21127,9,8
21,21129,1,0
21,21131,3,1
21,21133,15,12
21,21135,3,2
21,21137,9,5
21,21139,3,2
21,21141,11,10
21,21143,1,0
21,21145,56,167
21,21147,4,1
21,21149,1,0
21,21151,47,57
21,21153,4,0
21,21155,9,14
21,21157,10,5
21,21159,2,0
21,21161,16,27
21,21163,6,0
21,21165,2,0
21,21167,12,9
21,21169,2,2
21,21171,4,12
21,21173,17,16
21,21175,6,0
21,21177,13,17
21,21179,18,44
21,21181,2,4
21,21183,6,13
21,21185,33,43
21,21187,5,0
21,21189,1,0
21,21191,3,3
21,21193,43,48
21,21195,56,98
21,21197,3,2
21,21199,45,81
21,21201,0,0
21,21203,8,2
21,21205,30,40
21,21207,10,5
21,21209,22,27
21,21211,16,17
21,21213,8,7
21,21215,1,0
21,21217,20,22
21,21219,2,0
21,21221,3,5
21,21223,2,1
21,21225,5,6
21,21227,83,168
21,21229,6,3
21,21231,19,7
21,21233,3,0
21,21235,24,35
21,21237,2,0
21,21239,13,18
22,22001,26,17
22,22003,9,5
22,22005,53,48
22,22007,5,3
22,22009,21,10
22,22011,19,17
22,22013,2,0
22,22015,45,75
22,22017,290,729
22,22019,117,214
22,22021,5,2
22,22023,1,1
22,22025,4,0
22,22027,7,3
22,22029,7,4
22,22031,4,3
22,22033,367,872
22,22035,6,0
22,22037,7,2
22,22039,22,16
22,22041,6,3
22,22043,1,0
22,22045,44,63
22,22047,12,12
22,22049,3,2
22,22051,368,1024
22,22053,23,12
22,22055,215,445
22,22057,36,92
22,22059,5,4
22,22061,40,55
22,22063,23,9
22,22065,5,1
22,22067,13,17
22,22069,17,18
22,22071,317,912
22,22073,126,201
22,22075,5,7
22,22077,3,2
22,22079,127,215
22,22081,5,0
22,22083,12,12
22,22085,4,3
22,22087,6,9
22,22089,14,11
22,22091,5,0
22,22093,8,1
22,22095,20,30
22,22097,57,81
22,22099,12,6
22,22101,27,40
22,22103,166,441
22,22105,59,94
22,22107,0,0
22,22109,52,118
22,22111,1,2
22,22113,20,16
22,22115,21,30
22,22117,20,37
22,22119,21,19
22,22121,2,2
22,22123,5,0
22,22125,12,5
22,22127,3,5
23,23001,103,196
23,23003,77,84
23,23005,415,710
23,23007,36,31
23,23009,64,55
23,23011,158,192
23,23013,37,63
23,23015,41,32
23,23017,34,29
23,23019,189,319
23,23021,13,17
23,23023,22,16
23,23025,51,35
23,23027,22,38
23,23029,21,24
23,23031,151,198
24,24001,47,120
24,24003,430,645
24,24005,823,1540
24,24009,51,80
24,24011,14,1
24,24013,112,162
24,24015,47,94
24,24017,88,107
24,24019,19,45
24,24021,138,268
24,24023,16,16
24,24025,167,208
24,24027,251,440
24,24029,12,26
24,24031,1249,2811
24,24033,516,778
24,24035,26,45
24,24037,46,65
24,24039,11,12
24,24041,41,105
24,24043,101,185
24,24045,69,189
24,24047,37,46
24,24510,880,2500
25,25001,202,303
25,25003,133,251
25,25005,327,596
25,25007,16,13
25,25009,600,917
25,25011,49,77
25,25013,444,859
25,25015,180,200
25,25017,1484,2823
25,25019,5,4
25,25021,657,1296
25,25023,337,496
25,25025,1562,4622
25,25027,852,1274
26,26001,3,0
26,26003,5,0
26,26005,52,52
26,26007,27,51
26,26009,11,3
26,26011,10,3
26,26013,8,0
26,26015,17,18
26,26017,73,114
26,26019,7,4
26,26021,119,154
26,26023,21,27
26,26025,97,150
26,26027,17,11
26,26029,27,17
26,26031,16,22
26,26033,28,23
26,26035,11,6
26,26037,21,32
26,26039,15,20
26,26041,29,27
26,26043,31,52
26,26045,48,34
26,26047,44,107
26,26049,392,447
26,26051,9,7
26,26053,16,15
26,26055,134,228
26,26057,26,38
26,26059,17,15
26,26061,32,39
26,26063,24,28
26,26065,309,512
26,26067,21,16
26,26069,14,21
26,26071,6,8
26,26073,40,54
26,26075,99,164
26,26077,248,449
26,26079,9,23
26,26081,535,1015
26,26083,0,1
26,26085,2,2
26,26087,38,48
26,26089,8,6
26,26091,42,75
26,26093,94,82
26,26095,8,3
26,26097,8,2
26,26099,657,902
26,26101,12,22
26,26103,80,143
26,26105,18,30
26,26107,19,23
26,26109,3,1
26,26111,65,100
26,26113,2,0
26,26115,52,71
26,26117,35,35
26,26119,5,2
26,26121,137,175
26,26123,24,35
26,26125,1350,2569
26,26127,12,4
26,26129,17,17
26,26131,4,2
26,26133,11,6
26,26135,0,0
26,26137,16,24
26,26139,116,174
26,26141,7,0
26,26143,7,6
26,26145,181,303
26,26147,88,158
26,26149,27,60
26,26151,17,21
26,26153,6,1
26,26155,32,32
26,26157,25,27
26,26159,45,32
26,26161,521,1446
26,26163,1440,2444
26,26165,35,29
27,27001,17,3
27,27003,205,307
27,27005,29,16
27,27007,42,41
27,27009,2,2
27,27011,8,1
27,27013,60,103
27,27015,26,20
27,27017,30,9
27,27019,90,63
27,27021,17,2
27,27023,9,3
27,27025,46,41
27,27027,11,6
27,27029,6,1
27,27031,4,1
27,27033,8,3
27,27035,65,82
27,27037,260,236
27,27039,3,0
27,27041,31,34
27,27043,5,3
27,27045,2,0
27,27047,21,25
27,27049,40,26
27,27051,1,0
27,27053,1375,2743
27,27055,11,4
27,27057,15,6
27,27059,30,20
27,27061,42,21
27,27063,5,6
27,27065,12,2
27,27067,49,49
27,27069,0,0
27,27071,8,2
27,27073,3,2
27,27075,8,1
27,27077,2,0
27,27079,10,0
27,27081,3,1
27,27083,16,16
27,27085,36,23
27,27087,2,0
27,27089,1,0
27,27091,18,21
27,27093,12,4
27,27095,30,4
27,27097,16,11
27,27099,24,23
27,27101,4,1
27,27103,26,9
27,27105,12,18
27,27107,1,1
27,27109,365,1426
27,27111,47,35
27,27113,11,13
27,27115,13,5
27,27117,4,3
27,27119,22,5
27,27121,9,1
27,27123,526,830
27,27125,1,0
27,27127,11,2
27,27129,9,1
27,27131,49,27
27,27133,11,6
27,27135,12,2
27,27137,254,390
27,27139,68,54
27,27141,29,10
27,27143,5,0
27,27145,173,266
27,27147,38,21
27,27149,8,6
27,27151,4,0
27,27153,9,1
27,27155,1,0
27,27157,9,4
27,27159,24,10
27,27161,6,0
27,27163,200,217
27,27165,9,3
27,27167,3,1
27,27169,28,29
27,27171,64,55
27,27173,11,2
28,28001,22,26
28,28003,15,45
28,28005,2,0
28,28007,9,3
28,28009,0,1
28,28011,18,20
28,28013,5,0
28,28015,1,0
28,28017,10,1
28,28019,2,1
28,28021,4,1
28,28023,4,3
28,28025,8,10
28,28027,19,23
28,28029,12,2
28,28031,7,1
28,28033,55,129
28,28035,79,173
28,28037,5,0
28,28039,9,19
28,28041,0,0
28,28043,17,22
28,28045,14,14
28,28047,137,332
28,28049,253,728
28,28051,6,3
28,28053,5,2
28,28055,0,2
28,28057,6,0
28,28059,71,162
28,28061,3,0
28,28063,3,1
28,28065,2,0
28,28067,39,58
28,28069,2,1
28,28071,32,58
28,28073,37,99
28,28075,78,158
28,28077,9,4
28,28079,3,2
28,28081,70,161
28,28083,20,40
28,28085,13,24
28,28087,28,75
28,28089,58,84
28,28091,8,7
28,28093,3,3
28,28095,26,36
28,28097,7,0
28,28099,18,4
28,28101,12,3
28,28103,3,2
28,28105,17,32
28,28107,10,11
28,28109,19,14
28,28111,2,0
28,28113,25,58
28,28115,9,4
28,28117,13,6
28,28119,1,1
28,28121,88,201
28,28123,10,4
28,28125,3,1
28,28127,15,2
28,28129,3,4
28,28131,5,1
28,28133,9,3
28,28135,3,3
28,28137,11,4
28,28139,6,7
28,28141,12,2
28,28143,4,0
28,28145,17,14
28,28147,7,6
28,28149,30,44
28,28151,27,45
28,28153,7,7
28,28155,6,2
28,28157,4,4
28,28159,6,2
28,28161,2,2
28,28163,6,5
29,29001,35,35
29,29003,4,15
29,29005,2,0
29,29007,24,22
29,29009,27,8
29,29011,3,4
29,29013,4,0
29,29015,6,0
29,29017,0,0
29,29019,182,523
29,29021,58,129
29,29023,52,64
29,29025,0,0
29,29027,18,13
29,29029,26,47
29,29031,72,212
29,29033,4,4
29,29035,1,0
29,29037,31,70
29,29039,6,8
29,29041,1,0
29,29043,26,4
29,29045,3,0
29,29047,155,296
29,29049,14,4
29,29051,65,154
29,29053,4,1
29,29055,10,9
29,29057,3,0
29,29059,2,0
29,29061,1,1
29,29063,2,2
29,29065,7,1
29,29067,2,2
29,29069,18,15
29,29071,57,84
29,29073,11,1
29,29075,6,3
29,29077,291,596
29,29079,7,5
29,29081,5,1
29,29083,15,18
29,29085,0,1
29,29087,2,0
29,29089,3,1
29,29091,32,40
29,29093,2,2
29,29095,551,1110
29,29097,54,131
29,29099,54,54
29,29101,30,25
29,29103,2,0
29,29105,26,17
29,29107,11,6
29,29109,27,16
29,29111,3,0
29,29113,12,8
29,29115,8,4
29,29117,9,6
