GEOID10,ZCTA5CE10,AFFGEOID10,minDistZ_mi
"19977","19977",8600000US19977,9.61780279193689
"20202","20202",8600000US20202,4.53594924008316
"34681","34681",8600000US34681,2.78705021901888
"32097","32097",8600000US32097,3.24558924490354
"30513","30513",8600000US30513,25.3304131694208
"31318","31318",8600000US31318,15.4451363919986
"31780","31780",8600000US31780,10.5730381627958
"30326","30326",8600000US30326,1.9803482359861
"30293","30293",8600000US30293,8.88374814763477
"96786","96786",8600000US96786,4.5144574801403
"83244","83244",8600000US83244,35.4188075485702
"83544","83544",8600000US83544,7.29536933300526
"83218","83218",8600000US83218,17.1279662094039
"83467","83467",8600000US83467,15.8907770466854
"62089","62089",8600000US62089,1.61360832533149
"61243","61243",8600000US61243,16.9913797954075
"62987","62987",8600000US62987,13.366229208775
"60171","60171",8600000US60171,1.40136833358431
"60643","60643",8600000US60643,1.67802139309547
"62865","62865",8600000US62865,10.9061597341895
"61936","61936",8600000US61936,14.1011486195752
"61039","61039",8600000US61039,13.6621268843927
"47457","47457",8600000US47457,19.0697515227183
"47337","47337",8600000US47337,8.07581866004464
"46183","46183",8600000US46183,3.2059856080187
"46068","46068",8600000US46068,6.37748260223895
"47836","47836",8600000US47836,11.719592537567
"47683","47683",8600000US47683,16.2780381131883
"47969","47969",8600000US47969,8.95156246372616
"52060","52060",8600000US52060,3.48348812413846
"51244","51244",8600000US51244,7.8585156318003
"50603","50603",8600000US50603,18.1693147419529
"52647","52647",8600000US52647,15.3839831757039
"51036","51036",8600000US51036,9.88755509266402
"66216","66216",8600000US66216,5.60554098742419
"66728","66728",8600000US66728,7.86061543990765
"67520","67520",8600000US67520,27.0474537245506
"40380","40380",8600000US40380,6.06684091874651
"42431","42431",8600000US42431,1.32932428512296
"41260","41260",8600000US41260,3.45859315762707
"40404","40404",8600000US40404,11.8368079520503
"42210","42210",8600000US42210,2.1269556280475
"42411","42411",8600000US42411,10.9163353431054
"40049","40049",8600000US40049,13.2877389362068
"70549","70549",8600000US70549,16.4089188419847
"70582","70582",8600000US70582,12.4290445618477
"95441","95441",8600000US95441,20.848498442536
"94574","94574",8600000US94574,4.96030441912209
"90621","90621",8600000US90621,0.580679585281308
"95485","95485",8600000US95485,10.0178569977725
"93664","93664",8600000US93664,35.7554269114317
"37338","37338",8600000US37338,16.3985212461428
"37374","37374",8600000US37374,11.5210550878591
"76597","76597",8600000US76597,30.8985307735617
"37132","37132",8600000US37132,1.25307982747923
"37246","37246",8600000US37246,0.654156891315465
"75752","75752",8600000US75752,3.14811232043426
"78076","78076",8600000US78076,8.0046015928858
"79781","79781",8600000US79781,53.6588798547905
"78653","78653",8600000US78653,10.6322598905055
"77880","77880",8600000US77880,25.3000637728766
"75779","75779",8600000US75779,13.8931264636124
"78014","78014",8600000US78014,42.0172837501102
"76305","76305",8600000US76305,10.5302476956399
"75652","75652",8600000US75652,7.66305174846368
"77575","77575",8600000US77575,3.47776804069112
"76801","76801",8600000US76801,32.7678575627238
"78058","78058",8600000US78058,70.5715703481861
"76877","76877",8600000US76877,23.0815575088264
"78881","78881",8600000US78881,21.2689786346437
"75844","75844",8600000US75844,17.181387942648
"77954","77954",8600000US77954,26.4491679240988
"78620","78620",8600000US78620,23.2670478619501
"79731","79731",8600000US79731,28.7284540698652
"76148","76148",8600000US76148,3.82849399434949
"75929","75929",8600000US75929,23.0879329005246
"75831","75831",8600000US75831,24.0203195490517
"79081","79081",8600000US79081,32.1041512710162
"76676","76676",8600000US76676,17.2803921128915
"24153","24153",8600000US24153,6.51779040381266
"84648","84648",8600000US84648,33.9048173873703
"84751","84751",8600000US84751,33.5337915508628
"05056","05056",8600000US05056,13.4754492723096
"05079","05079",8600000US05079,14.3163286996865
"05405","05405",8600000US05405,0.596740889237771
"22514","22514",8600000US22514,11.9975693448321
"24483","24483",8600000US24483,13.5914656082717
"24013","24013",8600000US24013,1.83299611281076
"22845","22845",8600000US22845,22.1773099167971
"17885","17885",8600000US17885,26.8968758817199
"98045","98045",8600000US98045,14.8035395371659
"99203","99203",8600000US99203,1.54111668762811
"26562","26562",8600000US26562,24.8038226161216
"26763","26763",8600000US26763,12.1556507775981
"15027","15027",8600000US15027,6.99433505300525
"54143","54143",8600000US54143,4.30642057685163
"97838","97838",8600000US97838,6.55509150664768
"36766","36766",8600000US36766,14.3631337659534
"35650","35650",8600000US35650,3.01809588179015
"36784","36784",8600000US36784,20.0678248912668
"35579","35579",8600000US35579,18.4631986378738
"36268","36268",8600000US36268,12.3862337176472
"99833","99833",8600000US99833,71.5195920211723
"99701","99701",8600000US99701,317.749787314828
"99654","99654",8600000US99654,28.4983149090773
"86520","86520",8600000US86520,43.6387123809543
"86326","86326",8600000US86326,2.47885354496374
"85924","85924",8600000US85924,20.8454750737976
"29670","29670",8600000US29670,8.26234877177753
"57346","57346",8600000US57346,47.5569669482892
"37324","37324",8600000US37324,9.29777682161642
"57236","57236",8600000US57236,34.7639572600218
"37377","37377",8600000US37377,11.9513908769021
"37315","37315",8600000US37315,5.15533634618223
"37725","37725",8600000US37725,11.2852792626533
"38029","38029",8600000US38029,4.46350639093078
"38047","38047",8600000US38047,7.57508095505096
"37770","37770",8600000US37770,6.43514307760405
"70772","70772",8600000US70772,21.7858516713941
"70128","70128",8600000US70128,1.63924895040694
"70648","70648",8600000US70648,2.05010006453622
"04450","04450",8600000US04450,10.892053252499
"04472","04472",8600000US04472,12.9243712494982
"33432","33432",8600000US33432,4.26464552630693
"83823","83823",8600000US83823,33.3684891654656
"46327","46327",8600000US46327,0.789489159157387
"61112","61112",8600000US61112,3.78193465154018
