"GEOID","year","totPopE","whiteP","blackP","amIndP","asianP","pacIsP","otherP","hispP","noHSP","a15_24P","und45P","ovr65P","disbP"
"00909",2018,4989,53,11.02,1.62,0,0,34.36,99.12,NA,12.61,55.78,18.56,NA
"00911",2018,7242,67.88,10.16,2.73,0.58,0,18.64,91.49,NA,11.1,46.05,24.15,NA
"00912",2018,5455,45.21,20.05,0,2.24,0.26,32.25,98.22,NA,15.49,49.07,22.82,NA
"00913",2018,8406,46.23,11.05,1.12,0,0,41.6,98.85,NA,18.37,71.83,9.31,NA
"00915",2018,26131,35.61,14.42,1.53,0.72,0,47.73,98.93,NA,15.07,56.68,16.91,NA
"00917",2018,18212,74.49,12.4,0.32,0.28,0.2,12.31,98.82,NA,11.83,48.11,23.54,NA
"00918",2018,16063,84.16,5.76,0,0,0,10.08,99.33,NA,12.82,52.49,23.25,NA
"00920",2018,16809,62.65,21.72,0.17,0.19,0,15.27,98.92,NA,11.68,49.19,23.51,NA
"00921",2018,33394,59.83,20.68,0.08,0,0.04,19.37,98.93,NA,12.94,56.19,19.32,NA
"00923",2018,24028,72.86,14.35,0.41,0.19,0,12.19,99.14,NA,14.6,54.58,19.11,NA
"00924",2018,49508,66.31,16.26,0.41,0.16,0,16.87,98.17,NA,14.73,56.57,19.84,NA
"00925",2018,6924,58.16,17.59,0.14,1.66,0,22.44,95.78,NA,31.38,60.85,17.04,NA
"00926",2018,96530,80.24,8.94,0.12,0.36,0,10.34,98.68,NA,13.05,51.79,21.37,NA
"00927",2018,13351,83.76,5,0.21,1.72,0,9.3,96.43,NA,13.21,49.07,24.44,NA
"00934",2018,79,24.05,75.95,0,0,0,0,32.91,NA,24.05,56.96,18.99,NA
"00936",2018,812,93.6,2.34,0,0,0,4.06,97.66,NA,4.93,21.55,59.98,NA
"00949",2018,73891,68.92,10.07,0.03,0.01,0,20.97,98.9,NA,14.13,56.58,18.27,NA
"00950",2018,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00951",2018,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00952",2018,8156,58.59,18.53,0,0,0,22.88,99.96,NA,11.55,53.47,18.34,NA
"00953",2018,71891,81.47,7.52,0.34,0.45,0.01,10.21,98.98,NA,15.18,60.12,12.77,NA
"00956",2018,65355,69.81,7.75,0.17,0.13,0,22.13,99.14,NA,12.77,54.38,20.95,NA
"00957",2018,38915,67.24,5.35,0.12,0.06,0.03,27.2,99.36,NA,13.76,53.33,21.48,NA
"00959",2018,47459,67.54,8.8,0.08,0.19,0,23.39,99.03,NA,14.45,55.04,18.96,NA
"00960",2018,2221,53.17,14.18,0,0,0,32.64,98.29,NA,19.95,81.9,2.43,NA
"00961",2018,30784,61.06,8.83,0.23,0.34,0,29.54,99.12,NA,13.93,52.2,20.85,NA
"00962",2018,19593,65.24,10.73,0,0.34,0,23.69,98.88,NA,14.33,58.54,16.75,NA
"00965",2018,7314,60.31,8.71,0.33,0.22,0,30.43,99.44,NA,12.14,49.67,20.71,NA
"00966",2018,15710,80.38,4.37,0.47,0.14,0,14.63,98.84,NA,11.75,50.62,23.19,NA
"00968",2018,3554,86.69,2.39,0,1.07,0,9.85,98.31,NA,1.46,35,33.79,NA
"00969",2018,42525,81.44,5.28,0.13,0.02,0,13.13,97.76,NA,13.39,54.27,19.16,NA
"00971",2018,26640,72.47,8.46,0.28,0,0,18.8,99.31,NA,12.37,52.27,19.19,NA
