"GEOID","year","totWrkE","eduP","hghRskP","hltCrP","retailP"
"01337",2018,1300,0.15,35.62,0.69,1.23
"01338",2018,73,0,47.95,0,0
"01339",2018,623,1.77,28.41,0.8,0.48
"01340",2018,942,1.06,23.25,1.59,1.8
"01341",2018,1054,0.66,43.45,0.57,3.42
"01342",2018,708,0,34.89,0,2.97
"01343",2018,17,0,23.53,0,0
"01344",2018,699,2.15,24.46,0.57,1.29
"01346",2018,217,0,35.48,0.92,0.92
"01347",2018,137,0,21.9,0,0
"01349",2018,745,1.61,35.17,0,2.42
"01350",2018,40,0,40,0,0
"01351",2018,1227,2.69,39.2,3.26,2.12
"01354",2018,1016,0.69,34.35,0.39,0.59
"01355",2018,469,0.85,37.95,0.64,0
"01360",2018,1633,0.86,44.46,0.43,0.98
"01364",2018,3605,1.03,19.83,0.75,1.53
"01366",2018,666,0.45,34.68,0.45,2.85
"01367",2018,270,0,33.33,0.74,1.48
"01368",2018,621,0.64,33.82,2.58,0.48
"01370",2018,2029,1.28,37.26,0.84,2.66
"01373",2018,2471,0.69,41.52,1.01,3.28
"01375",2018,2368,3.25,30.53,2.45,3.46
"01376",2018,2409,0.79,23.08,0,0.29
"01378",2018,388,0.52,35.05,2.06,1.03
"01379",2018,408,1.96,42.89,1.47,0
"01420",2018,19371,1.66,27.42,1.6,1.87
"01430",2018,3497,0,43.72,1.23,1.26
"01431",2018,1722,1.22,30.14,3.08,2.56
"01432",2018,4676,0.6,53.68,1.22,5.77
"01434",2018,299,2.34,49.5,0,0
"01436",2018,1746,0,32.07,4.75,1.37
"01438",2018,260,0,44.62,0,0
"01440",2018,9799,1.81,30.2,1.28,1.79
"01450",2018,5720,1.96,68.83,0.16,4.79
"01451",2018,2338,0.56,72.03,0.98,4.19
"01452",2018,2690,0.71,39.33,0.74,1.34
"01453",2018,21356,1.56,32.52,1.01,2.69
"01460",2018,5251,1.9,64.6,0.74,5.56
"01462",2018,5913,0.46,52.75,1.67,3.91
"01463",2018,6460,1.35,54.02,1.24,3.54
"01464",2018,3120,0.45,48.72,0.19,3.3
"01467",2018,187,0,70.05,0,5.88
"01468",2018,2409,1,53.42,0.54,1.83
"01469",2018,4115,1.09,40.29,1.36,3.86
"01473",2018,4135,2.01,45.01,0.94,3.34
"01474",2018,963,2.6,34.06,1.04,4.67
"01475",2018,5693,1,27.35,2.16,0.58
"01501",2018,8655,0.35,43.96,1.54,2.96
"01503",2018,1667,0.84,55.25,0,2.64
"01504",2018,5589,1.49,41.64,1.02,2.25
"01505",2018,2531,1.42,48.68,0,4.7
"01506",2018,1804,2,36.03,1.94,1.44
"01507",2018,7093,0.61,45.51,0.65,2.37
"01510",2018,7823,0.54,32.46,1.98,3.17
"01515",2018,1267,2.45,41.28,0.55,0.32
"01516",2018,5048,0,44.87,0.48,3.25
"01518",2018,1865,1.34,55.12,0,0.75
"01519",2018,3670,0.65,49.67,0.3,6.98
"01520",2018,8536,1.03,56.37,1.24,2.92
"01521",2018,1338,2.84,41.55,0,3.14
"01522",2018,1582,0,50.95,0.44,1.96
"01523",2018,3507,0,56.83,1.06,3.31
"01524",2018,3953,0.08,32.38,0.86,2.63
"01525",2018,179,0,0,0,0
"01527",2018,7498,0.6,39.84,1.55,1.89
"01529",2018,1768,0.57,34.22,1.47,1.58
"01531",2018,641,0.47,38.07,0.31,1.4
