originGEOID,minDisBup,minDisMet,minDisNalV
60517,3.778266567917166,3.778266567917166,0.3577787087190178
60518,18.822705397423714,18.822705397423714,16.922988089426966
60519,3.7507355089692616,3.253613005549674,0.17927612332191903
60520,12.792054872217262,17.469343052713068,12.450988685758904
60521,4.177145593262484,4.177145593262484,1.326958393188277
60523,3.690109007881685,3.690109007881685,1.6055963702968472
60525,4.963333829395616,4.963333829395616,2.2506646981400613
60526,2.2940296785529517,2.4615330720290336,0.476796367323828
60527,4.992346702667033,4.992346702667033,1.8142251719824265
60530,21.11655229980205,33.04784986639439,11.668996165763792
60531,17.931288259529946,19.84109263363224,17.41016381670492
60532,3.511355952768779,3.9996822628063864,2.829391710300742
60534,3.1925806464439903,3.1925806464439903,2.100160435968737
60536,6.764649468600658,17.54555097218099,6.312163382614393
60537,10.355305883843297,20.53971375935938,9.91027517005494
60538,5.056553469833611,4.870631707458062,2.4380201987508165
60539,2.8159036547620606,3.802524073783565,1.688915332370141
60540,1.873087626419598,2.889683252879002,0.6137399833624527
60541,9.941284211184607,20.60371820850966,9.621038719684659
60542,2.074097447365597,3.178428711927767,1.9065816829007263
60543,6.194805219414671,6.044606473745547,2.316720128967515
60544,6.997987800546164,6.833436449825651,2.7199231548594636
60545,3.8810802140262157,13.566024568536347,3.3807134324888426
60546,1.6380815182236332,1.6380815182236332,1.1441631127923015
60548,9.50606174970681,19.20247374338253,8.984983488804584
60549,11.99502063158705,11.99502063158705,10.726565212251893
60550,20.006236207745825,29.302902936318084,15.327037849254832
60551,15.506927706194748,15.732392074498483,14.678720441237648
60552,12.143810420682463,21.784138486346162,11.622495528389639
60553,21.905781322164056,30.25352774973875,7.748847707858538
60554,5.726022692233007,6.6170752708747305,3.7052054921686004
60555,2.0182149916988403,2.0182149916988403,2.0182149916988403
60556,17.82214905860966,24.000712446449747,13.76315871963832
60557,8.710826177861701,8.710826177861701,7.514503251264217
60558,4.3407832489514435,4.788661136380211,1.4714707133053408
60559,1.7836535225602037,1.7836535225602037,1.4711856225630018
60560,0.9703295467525928,11.094125092901852,0.9703295467525928
60561,3.7815735696159254,3.7815735696159254,0.5795514324057394
60563,0.7295300656014077,0.7295300656014077,0.7295300656014077
60564,6.34165949919743,6.703629567850681,0.581925269600436
60565,4.356400935463017,5.369560080766472,1.6199014514214376
60585,9.645907147553482,9.287270059481148,0.42537323689594453
60586,4.619310258413513,4.886820281365949,1.3493695233398535
60601,0.8031241367883709,0.8824818396252,0.12986241278978974
60602,0.44747496422529026,0.7789378884694272,0.023529849784791498
60603,0.39393554894642613,0.865995440523843,0.12963905416921898
60604,0.5686759478912108,1.118265535339079,0.3660573521124434
60605,1.0827533238536247,1.658722818804945,0.15559236706193227
60606,0.23061562481946246,0.6034303150282877,0.0798795402724947
60607,0.9594663372370426,0.9593872218459039,0.6011373449358365
60608,1.2185449557323915,1.3536366971201677,0.9687126278230053
60609,0.3941577350264816,1.3295952104489368,1.9749309700925965
60610,0.45215679107629125,0.5738782721634417,0.3027209030157762
60611,0.4066878568311405,0.6635215739962879,0.26717397806708776
60612,0.6960940080745199,0.8730700016722021,0.6960940080745199
60613,0.6228411299302322,0.6228411299302322,0.153603145216791
60614,0.9864877509418792,1.984013299123676,0.697686108123498
60615,0.535834716709695,0.8994942515730241,0.7031764470469241
60616,0.4809023735054351,0.23700214095790909,0.23700214095790909
60617,1.4479250263447325,2.37395674379209,0.8208508017261934
60618,1.4115306170248658,1.4115306170248658,0.8667302621896623
60619,2.593296882524048,0.8482668832751286,1.1270988050913453
60620,1.7460170113916111,0.46553713553620313,1.7460170113916111
60621,0.3614271020279981,0.19150260100597147,0.3614271020279981
60622,0.3062482473438152,1.402790691801144,0.3062482473438152
60623,0.34609410698412035,0.5218242367675628,0.34609410698412035
60624,0.1038586814788554,0.40323324209593653,0.1038586814788554
60625,0.46259868375925073,1.7880506790645274,0.46259868375925073
60626,0.13223217584025135,1.1818780004106462,0.13223217584025135
60628,1.892447256807003,0.510406484175465,0.47654376872892373
60629,1.0734947766623717,2.2625089789399193,1.8917416559200022
60630,1.9074215709954954,4.307521285895593,1.2568057069008562
60631,3.976534768883299,4.3359095281754705,1.2075197952695034
60632,0.7572754737650479,2.51555700436397,0.7572754737650479
60633,1.6667674016367175,3.823995025014269,1.6667674016367175
60634,2.197370644104631,4.592629990176291,2.197370644104631
60636,1.1278096445274353,1.1758313519943075,1.387644999284146
60637,0.8431950543594469,1.0992937196102275,0.2751031556938756
60638,2.320800566554977,4.821659256911374,0.40352818920324346
60639,0.33346720867881013,2.0687306413061775,0.33346720867881013
60640,0.6716454166008626,0.5488879226817294,0.6716454166008626
60641,1.6254560987639366,3.1191830310464987,0.7291420500271636
60642,0.8670452672701197,0.9302277862264149,0.725049671975658
60643,1.5810100357050711,2.215025489671739,1.5810100357050711
60644,0.32632176211098746,1.2693755747363724,0.32632176211098746
60645,0.4549340679207621,0.8604125732892152,0.4549340679207621
60646,2.679435728498944,3.2814850458426585,2.0210687068355253
60647,0.7286263313373799,1.4694941237224703,0.29832533872082245
60649,1.405500334927128,2.029753638368379,0.8779585794371941
60651,0.5120390712623623,0.8933796297912034,0.5120390712623623
60652,1.8899619682920479,1.4240444273372082,1.4240444273372082
60653,0.6006020781962894,1.2121491884630613,0.6699100179946275
60654,0.05359128618160821,0.05359128618160821,0.26059134192153244
60655,2.0023595308535036,3.7570482104261886,0.932763891632694
60656,4.747661976525341,5.702773142059821,0.5943318079998013
60657,0.14474848397316828,1.5893265747124634,0.14474848397316828
60659,1.610404382778864,2.065877540715739,0.9317084796122507
60660,0.37018837239645364,1.836318315336042,0.37018837239645364
60661,0.4433148285178611,0.8401760556493414,0.3619607623716303
60706,4.000276107207203,5.637658766594973,0.754489762965782
60707,2.4220798937531294,3.1156704929869616,2.4220798937531294
60712,1.9621280741462472,2.3915093777720564,1.9621280741462472
60714,3.494240983241069,3.494240983241069,1.7001656043956928
60803,2.2750863276455178,3.544504072887242,1.4554702206262509
60804,1.2743252303479473,1.032346067932547,1.3633031373891693
