STATEFP,COUNTYFP,NAME,areaSqMi,alcTotal,alcDens
"05","005",Baxter,554.223283397683,1051,1.89634761202527
"56","005",Campbell,4802.0431972973,1051,0.218865169849269
"49","005",Cache,1164.72544594595,1051,0.902358580434737
"09","005",Litchfield,920.508475675676,1051,1.14176026378089
"15","005",Kalawao,11.9913525096525,1051,87.6464935172235
"51","005",Alleghany,446.56711042471,1051,2.35350964158655
"12","005",Bay,758.527291119691,1051,1.38557967828498
"17","005",Bond,380.337186100386,1051,2.76333747634816
"36","005",Bronx,42.0497853281853,1051,24.9941822959921
"23","005",Cumberland,835.690975675676,1051,1.25764191620023
"45","005",Allendale,408.088742857143,1051,2.57542022022381
"53","005",Benton,1699.97755328185,1051,0.61824345737449
"08","005",Arapahoe,797.927581853282,1051,1.31716213839723
"50","005",Caledonia,649.016107722008,1051,1.61937429209411
"47","005",Benton,394.304390733591,1051,2.66545345347194
"29","005",Atchison,547.28286949807,1051,1.92039630431683
"26","005",Allegan,825.245174131274,1051,1.27356091613183
"37","005",Alleghany,234.401928571429,1051,4.48375150496994
"46","005",Beadle,1258.70302393822,1051,0.834986474181683
"30","005",Blaine,4227.10287374517,1051,0.248633646114419
"25","005",Bristol,553.103058301158,1051,1.90018837217809
"13","005",Bacon,284.083425096525,1051,3.69961746146539
"10","005",Sussex,936.117243629344,1051,1.12272261530538
"54","005",Boone,501.5318003861,1051,2.09557997955642
"48","005",Angelina,797.778250965251,1051,1.31740868935493
"16","005",Bannock,1112.48011312741,1051,0.944735989073477
"44","005",Newport,102.43702007722,1051,10.259962650297
"18","005",Bartholomew,406.911597297297,1051,2.58287059641635
"28","005",Amite,730.09685984556,1051,1.43953502309587
"35","006",Cibola,4539.96338918919,2,0.000440532186837125
"13","007",Baker,341.955746332046,538,1.57330299540453
"17","007",Boone,280.761154054054,538,1.91621950626553
"23","007",Franklin,1697.01138687259,538,0.317027925776902
"54","007",Braxton,510.80965019305,538,1.0532299062805
"05","007",Benton,847.554113899614,538,0.634767728900106
"49","007",Carbon,1479.17672471042,538,0.36371583666267
"19","007",Appanoose,497.289135521235,538,1.08186558195383
"42","007",Beaver,434.712126254826,538,1.2376006269598
"40","007",Beaver,1814.67922972973,538,0.296471128994036
"01","007",Bibb,622.458486872587,538,0.864314667317124
"44","007",Providence,409.484062548263,538,1.31384844785404
"12","007",Bradford,293.962206563707,538,1.83016723914612
"34","007",Camden,221.349498455598,538,2.43054537622058
"39","007",Ashtabula,702.069504247104,538,0.766305895278771
"21","007",Ballard,246.867742857143,538,2.17930456921352
"33","007",Coos,1794.55899150579,538,0.299795104282736
"28","007",Attala,734.953395366795,538,0.732019204743586
"22","007",Assumption,338.621616216216,538,1.58879402328668
"55","007",Bayfield,1477.87415482625,538,0.364036408812663
"32","007",Elko,17169.1222579151,538,0.0313353234905168
"41","007",Clatsop,828.139175675676,538,0.649649256794364
"15","007",Kauai,619.881206563707,538,0.86790822871109
"29","007",Audrain,692.235056370656,538,0.777192653057329
"50","007",Chittenden,536.583077992278,538,1.00264063863703
"53","007",Chelan,2921.15392432432,538,0.184173793623163
"45","007",Anderson,713.848476833977,538,0.753661340549621
"06","007",Butte,1636.46262007722,538,0.328757891197425
"48","007",Aransas,252.048122779923,538,2.13451302103034
"51","007",Amelia,355.267766023166,538,1.51435072768442
"27","007",Beltrami,2504.69314401544,538,0.214796771127618
"38","007",Billings,1148.83469073359,538,0.468300621786115
"31","007",Banner,746.207215830116,538,0.720979358798486
"25","007",Dukes,103.204847104247,538,5.21293345317945
"30","007",Broadwater,1192.3536042471,538,0.451208431864231
"09","007",Middlesex,369.302607722008,538,1.45679989458666
"56","007",Carbon,7897.766396139,538,0.0681205258569073
"46","007",Bennett,1184.63624903475,538,0.454147845330891
"36","007",Broome,705.812782625483,538,0.762241791652947
"16","007",Bear Lake,975.723226640927,538,0.551385869794394
"18","007",Benton,406.415618532819,538,1.32376802334076
"26","007",Alpena,571.862488030888,538,0.94078561063257
"04","007",Gila,4757.97402586873,538,0.113073336902416
"08","007",Archuleta,1350.08061389961,538,0.398494722804755
"47","007",Bledsoe,406.423086872587,538,1.32374369807555
"37","007",Anson,531.45874015444,538,1.01230812356884
"35","007",Colfax,3757.95758996139,538,0.143162871618657
"20","007",Barber,1134.06692779923,538,0.474398809110891
"13","009",Baldwin,258.697893436293,764,2.9532517248276
"29","009",Barry,778.250438610039,764,0.981689135138183
"45","009",Bamberg,393.364906177606,764,1.94221697970955
"15","009",Maui,1161.52465714286,764,0.657756161525923
"41","009",Columbia,658.111248648649,764,1.16089795086892
"55","009",Brown,530.090029343629,764,1.44126461111899
"53","009",Clallam,1738.67264942085,764,0.439415665884252
"46","009",Bon Homme,563.546820463321,764,1.3556992467314
"28","009",Benton,406.614442471042,764,1.87892981704507
"32","009",Esmeralda,3581.8726034749,764,0.213296251591644
"38","009",Bottineau,1668.41563243243,764,0.457919468715443
"24","009",Calvert,213.190010810811,764,3.58365758833789
"27","009",Benton,408.294731660232,764,1.87119730125681
"33","009",Grafton,1708.5906007722,764,0.447152173056968
"48","009",Archer,903.284794980695,764,0.845801904610083
"01","009",Blount,644.827764864865,764,1.1848125059567
"49","009",Daggett,696.982979150579,764,1.09615302360912
"56","009",Converse,4254.94361583012,764,0.179555845853658
"40","009",Beckham,901.812809266409,764,0.847182466416157
"06","009",Calaveras,1020.01127413127,764,0.74901132896858
