"GEOID","year","totPopE","whiteP","blackP","amIndP","asianP","pacIsP","otherP","hispP","noHSP","a15_24P","und45P","ovr65P","disbP"
"26087",2018,88202,95.78,1.24,0.35,0.55,0.03,2.06,4.64,9.27,12.52,51.26,17.03,14.3
"26089",2018,21639,92.77,0.43,3,0.67,0.01,3.11,4.33,4.8,9.86,40.29,28.93,12.5
"26091",2018,98474,92.83,2.68,0.5,0.29,0.02,3.69,7.9,9.23,13.48,54.14,17.78,15.7
"26093",2018,188482,96.34,0.59,0.28,0.92,0.07,1.8,2.37,4.61,12.82,52.44,15.9,10.4
"26095",2018,6364,79.6,7.62,5.67,0.27,0.03,6.8,3.11,12.02,11.38,50.35,20.77,22
"26097",2018,10817,74.54,2.77,16.84,0.72,0.13,4.99,1.71,9.76,10.36,41.78,26.6,17.8
"26099",2018,868704,81.49,11.43,0.29,3.89,0.04,2.87,2.56,10.34,12.41,55.11,16.23,14
"26101",2018,24444,91.31,2.78,1.58,0.47,0.06,3.81,3.02,9.4,11.41,45.05,24.42,18.3
"26103",2018,66939,93.26,1.69,0.83,0.98,0.05,3.19,1.5,4.68,18.54,55.96,17.78,14.3
"26105",2018,28884,95.03,0.96,0.77,0.64,0,2.6,4.55,7.62,11.14,48.61,22.38,16.4
"26107",2018,43264,93.16,2.89,0.38,0.77,0.02,2.78,2.21,10.55,22.87,57.99,17.7,15.4
"26109",2018,23234,94.4,0.28,2.32,0.4,0,2.6,1.74,7.59,11.04,45.82,22.89,18.3
"26111",2018,83389,93.42,1.4,0.46,2.29,0.08,2.36,2.65,5.72,12.65,54.12,17.56,13.6
"26113",2018,15006,96.23,0.45,0.63,0.16,0,2.53,2.84,11.2,11.56,51.79,19.9,18.7
"26115",2018,149699,94.36,2.37,0.3,0.62,0.01,2.34,3.51,8.79,12.34,53.31,16.89,13.7
"26117",2018,63209,94.5,2.2,0.5,0.4,0.06,2.33,3.48,12.11,12.19,54.92,16.64,17.8
"26119",2018,9261,96.73,0.35,0.89,0.08,0.01,1.95,1.27,13.19,8.27,36.15,30.69,24.2
"26121",2018,173043,80.77,13.71,0.76,0.56,0.01,4.19,5.58,9.16,12.74,56.84,15.97,15.6
"26123",2018,48142,92.82,1.36,0.87,0.33,0,4.61,5.8,13.23,11.83,52.57,18.41,18.7
"26125",2018,1250843,75.23,13.68,0.26,7.21,0.03,3.59,4,6.13,12.3,55.22,15.9,11.7
"26127",2018,26417,94.6,1.09,1.09,0.24,0,2.98,14.81,14.09,12.5,52.05,20.03,17.3
