STATEFP,TRACTCE,areaSqMi,alcTotal,alcDens
"41","000100",1334.61862818533,244,0.182823763168783
"19","000100",17.5540494208494,244,13.8999266864428
"39","000100",0.793501544401544,244,307.497826212832
"08","000100",261.283223166023,244,0.933852533826708
"26","000100",68.3718648648649,244,3.56871939184721
"08","000100",541.571614285714,244,0.450540599920132
"46","000100",861.133795752896,244,0.283347374360878
"30","000100",4676.53793822394,244,0.0521753492055849
"45","000100",0.594469498069498,244,410.44999077728
"16","000100",1.59350308880309,244,153.121761554459
"01","000100",2.91489536679537,244,83.7079789482301
"31","000100",0.412206563706564,244,591.93623169401
"06","000100",1.49077915057915,244,163.672801504642
"35","000100",0.867020077220077,244,281.423702185002
"45","000100",50.0888382239382,244,4.87134476765302
"06","000100",332.202825096525,244,0.734491044527099
"13","000100",39.4144907335907,244,6.19061658437344
"26","000100",0.951376447876448,244,256.470507068604
