GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AJ02E001,AJ02E002,AJ02E003,AJ02E004,AJ02E005,AJ02E006,AJ02E007,AJ02E008,AJ02E009,AJ02E010,AJ02E011,AJ02E012,AJ02E013,AJ02E014,AJ02E015,AJ02E016,AJ02E017,AJ02E018,AJ02E019,AJ02E020,AJ02E021,AJ02E022,AJ02E023,AJ02E024,AJ02E025,AJ02E026,AJ02E027,AJ02E028,AJ02E029,AJ02E030,AJ02E031,AJ02E032,AJ02E033,AJ02E034,AJ02E035,AJ02E036,AJ02E037,AJ02E038,AJ02E039,NAME_M,AJ02M001,AJ02M002,AJ02M003,AJ02M004,AJ02M005,AJ02M006,AJ02M007,AJ02M008,AJ02M009,AJ02M010,AJ02M011,AJ02M012,AJ02M013,AJ02M014,AJ02M015,AJ02M016,AJ02M017,AJ02M018,AJ02M019,AJ02M020,AJ02M021,AJ02M022,AJ02M023,AJ02M024,AJ02M025,AJ02M026,AJ02M027,AJ02M028,AJ02M029,AJ02M030,AJ02M031,AJ02M032,AJ02M033,AJ02M034,AJ02M035,AJ02M036,AJ02M037,AJ02M038,AJ02M039
"G420","2014-2018",,,"Pennsylvania","42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pennsylvania",10110773,782682,9328091,4889179,731001,4158178,1451239,42790,1408449,1597174,140269,1456905,872688,118797,753891,578208,216280,361928,389870,212865,177005,5221594,51681,5169913,1408791,7219,1401572,1626644,20497,1606147,924376,11242,913134,657811,5882,651929,603972,6841,597131,"Pennsylvania",470,4091,4203,561,3734,3871,797,1548,1753,790,1996,2007,401,1674,1739,457,1818,1817,346,1782,1807,487,1562,1649,613,536,769,591,911,990,379,628,779,439,384,576,329,498,566
"G440","2014-2018",,,"Rhode Island","44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rhode Island",844196,57524,786672,403235,53827,349408,127486,3368,124118,131171,9684,121487,69932,8589,61343,45208,16268,28940,29438,15918,13520,440961,3697,437264,127425,765,126660,137859,1296,136563,76113,681,75432,51592,402,51190,47972,553,47419,"Rhode Island",323,1511,1557,394,1426,1465,390,404,603,297,701,749,185,579,568,170,552,581,142,647,623,245,397,461,258,226,301,240,269,363,203,170,254,205,116,271,185,143,244
"G450","2014-2018",,,"South Carolina","45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"South Carolina",3828471,366862,3461609,1821981,333011,1488970,545203,26125,519078,602097,76850,525247,306800,62771,244029,237117,97311,139806,130764,69954,60810,2006490,33851,1972639,553218,7096,546122,643660,14266,629394,348410,7643,340767,273550,3093,270457,187652,1753,185899,"South Carolina",1197,3619,3954,1161,3161,3531,1126,1202,1644,768,1939,1971,379,1512,1504,416,1483,1463,335,1105,1145,753,1301,1583,865,722,1056,574,891,993,410,648,754,451,373,640,320,249,441
"G460","2014-2018",,,"South Dakota","46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"South Dakota",648498,59243,589255,323780,54342,269438,101231,4319,96912,102584,12098,90486,57259,9518,47741,38050,15346,22704,24656,13061,11595,324718,4901,319817,95136,984,94152,98066,1948,96118,57414,1055,56359,38532,514,38018,35570,400,35170,"South Dakota",493,1362,1387,620,1265,1371,612,423,775,445,718,784,320,499,528,199,558,554,176,528,574,509,458,678,501,223,562,431,252,468,277,260,369,217,113,251,188,112,206
"G470","2014-2018",,,"Tennessee","47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tennessee",5131650,435040,4696610,2460886,396626,2064260,745455,31113,714342,843889,90222,753667,410840,75860,334980,292289,112290,179999,168413,87141,81272,2670764,38414,2632350,754567,6525,748042,878676,16196,862480,453010,9098,443912,333438,3953,329485,251073,2642,248431,"Tennessee",1242,4840,4840,1315,4235,4236,1189,1367,1796,957,2293,2450,654,1763,1760,522,1727,1804,438,1360,1350,1025,1443,1891,966,638,1188,809,949,1306,599,609,845,578,396,629,395,306,510
"G480","2014-2018",,,"Texas","48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Texas",20502823,1474232,19028591,10054034,1320730,8733304,3457194,148863,3308331,3607303,347294,3260009,1504163,234977,1269186,935735,330329,605406,549639,259267,290372,10448789,153502,10295287,3346012,34416,3311596,3650320,66209,3584111,1600017,31012,1569005,1064980,13264,1051716,787460,8601,778859,"Texas",2356,9622,9241,2230,8986,8920,2133,3455,3795,1709,5061,4829,930,3286,3522,884,3050,3089,717,2749,2830,1464,2877,3350,1674,1468,2529,1170,1898,2012,838,1202,1445,951,857,1227,826,557,1028
"G490","2014-2018",,,"Utah","49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Utah",2122361,123339,1999022,1057228,114865,942363,401881,10519,391362,365209,24634,340575,142043,19421,122622,90970,30460,60510,57125,29831,27294,1065133,8474,1056659,389566,1958,387608,356603,3346,353257,146790,1603,145187,99574,981,98593,72600,586,72014,"Utah",607,2204,2279,607,2020,2119,597,757,958,401,1112,1198,272,852,892,239,876,895,157,660,662,359,715,809,432,365,484,380,378,584,349,237,433,304,192,341,266,138,293
"G500","2014-2018",,,"Vermont","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vermont",506083,38625,467458,246440,35353,211087,70964,1542,69422,76797,6714,70083,46832,6651,40181,33067,10804,22263,18780,9642,9138,259643,3272,256371,68527,353,68174,79767,1124,78643,49646,1009,48637,35189,414,34775,26514,372,26142,"Vermont",214,893,904,292,832,877,360,221,436,351,416,521,159,354,405,147,452,490,98,379,379,301,277,380,256,140,281,308,200,363,227,171,256,200,90,242,111,86,144
"G510","2014-2018",,,"Virginia","51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Virginia",6431839,684480,5747359,3090034,592608,2497426,948474,57334,891140,1080985,171930,909055,516765,116614,400151,341516,137701,203815,202294,109029,93265,3341805,91872,3249933,959377,19971,939406,1137200,42474,1094726,558792,19224,539568,391224,6442,384782,295212,3761,291451,"Virginia",2334,4850,5580,2192,4034,4548,2224,1938,2650,1687,2570,3058,637,2112,2133,664,1628,1623,561,1298,1326,1294,1939,2390,1550,1001,1855,1140,1266,1729,683,870,1170,589,464,698,603,407,771
"G530","2014-2018",,,"Washington","53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington",5612627,537713,5074914,2767574,484329,2283245,869484,42623,826861,949436,117074,832362,459628,92687,366941,310431,131428,179003,178595,100517,78078,2845053,53384,2791669,837649,10294,827355,940977,20364,920613,481954,12503,469451,340056,5965,334091,244417,4258,240159,"Washington",1380,4231,4539,1367,3912,4224,1300,1419,1866,698,2400,2474,402,1797,1803,428,1520,1597,383,1323,1428,810,1465,1633,843,712,1103,517,980,1091,451,801,914,452,467,680,375,395,521
"G540","2014-2018",,,"West Virginia","54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"West Virginia",1454623,134508,1320115,711949,126042,585907,193815,7462,186353,232933,27106,205827,129480,21630,107850,97438,39370,58068,58283,30474,27809,742674,8466,734208,185471,1197,184274,232103,3374,228729,136102,1794,134308,105274,1239,104035,83724,862,82862,"West Virginia",611,1920,2031,780,1803,1846,493,743,893,563,1026,1136,369,890,862,331,921,930,266,797,785,691,621,883,546,245,569,595,422,725,435,245,472,382,278,409,240,190,290
"G550","2014-2018",,,"Wisconsin","55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wisconsin",4486478,342796,4143682,2210333,317923,1892410,655440,20799,634641,738681,60425,678256,398452,55445,343007,255003,95601,159402,162757,85653,77104,2276145,24873,2251272,631461,3824,627637,731993,10327,721666,405756,5980,399776,272365,2204,270161,234570,2538,232032,"Wisconsin",510,2985,2897,584,2841,2716,667,843,1008,567,1407,1454,392,1282,1347,339,1219,1221,275,1011,959,421,844,938,559,374,647,537,512,742,333,430,515,350,266,462,301,285,430
"G560","2014-2018",,,"Wyoming","56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wyoming",441280,45389,395891,223576,41873,181703,69403,3947,65456,71840,10083,61757,40613,7786,32827,26537,11952,14585,15183,8105,7078,217704,3516,214188,63658,598,63060,67965,1251,66714,40024,969,39055,26339,391,25948,19718,307,19411,"Wyoming",525,1341,1480,736,1276,1509,668,556,835,490,744,950,274,507,537,182,497,512,148,412,406,495,426,567,472,194,526,401,238,422,294,225,320,188,118,197,179,114,207
"G720","2014-2018",,,"Puerto Rico","72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Puerto Rico",2697413,80428,2616985,1260192,76327,1183865,374620,3987,370633,409393,11495,397898,197450,13623,183827,162222,20761,141461,116507,26461,90046,1437221,4101,1433120,381294,546,380748,460137,1673,458464,233896,730,233166,197378,491,196887,164516,661,163855,"Puerto Rico",290,2011,2025,299,1902,1909,391,499,613,356,968,989,29,760,761,0,856,858,0,923,922,127,413,445,207,205,288,172,336,407,29,206,206,0,119,119,0,143,144
