ID,address,city,state,zip,Longitude,Latitude,Match Score
74,Public Health Seattle and King County 2124 4th Avenue,Seattle,WA,98112,-122.34228783396176,47.61439944040706,93.73
75,"Headlands ATS 215 South Hickory Street, STE 114",Escondido,CA,92025,-117.07539307748695,33.123382303455514,99.56
76,Scot DePue 833 North Park Road,Wyomissing,PA,19610,-75.95821423267857,40.34640698244166,97.86
77,"KCRCMD, Inc. 254 Tudor",Lee’s summit,MO,64086,-94.37487237824818,38.93057479007676,95.73
78,"Catalyst Health Solutions, LLC 926 West Oakland Avenue, Suite 222",Johnson City,TN,37615,-82.40182040371086,36.351193285710735,95.92
79,Phoenix House Health and Recovery Solutions 37 Elmwood Avenue,Burlington,VT,5401,-73.21365290936723,44.48153471782874,94.49
80,5505 John Eskew Drive ,Alexandria,LA,71303,-92.4990041999255,31.2950854909735,100
81,8626 Dorchester Rd Suite 101 Suite 117,North Charleston,SC,29420,-80.1192350499886,32.921354464684434,100
82,Harbor Crest Behavioral Health 1006 North H Street,Aberdeen,WA,98520,-123.8212197478026,46.9808995150872,95.34
83,101 Chesapeake Blvd Suite B ,Elkton,MD,21921,-75.78717722361328,39.6054977875228,100
84,West Boynton Medical Center 6611  W. Boynton Beach Boulevard,Boynton,FL,33437,-80.14945877112895,26.52842935861609,94.23
85,853 Lakeside Drive ,Jenkins,KY,41537,-82.63447909624865,37.170400981722565,100
86,"UNC Hospitals 1101 Weaver Dairy Road, Suite 102",Chapel Hill,NC,27514,-79.0531869693907,35.963922536915035,99.57
87,5940 marzilli st # F1 ,Canton,OH,44718,-81.46112318218742,40.836169924976055,99.55
88,"Medical Plaza A 617 23rd Street, Suite 8B",Ashland,KY,41101,-82.63296454336168,38.47121967397222,97.23
89,Cheshire Medical Center - Doorway 24 Railroad St,Keene,NH,3431,-72.27655061074097,42.932615662266215,94.51
90,1507 South Hiawasee Road Suite 107,Orlando,FL,32835,-81.47092657232218,28.523476821614185,97.9
91,Gateway Foundation Drug and Alcohol Program 600 West Lincoln,Caseyville,IL,62232,-90.03602299999994,38.63334900000007,92.45
92,4867 Urbana Road Lower Level,Springfield,OH,45066,-83.80228328695644,39.99519987497266,96.43
93,Summit Group 3298 Summit Boulevard,Pensacola,FL,32503,-87.18061070292288,30.45923591147146,97.61
94,"First Team Institute, LLC 232 Manor Avenue",Millersville,PA,17551,-76.35440375999578,40.011362049475146,96.11
95,1063 Lower Main St Ste C212 ,Wailuku,HI,96793,-156.48959330255065,20.898824600588778,100
96,Arnot Medical Services 15 Community Drive,Addison,NY,14801,-77.22209899999996,42.110689000000036,97.6
97,Fond du Lac Psychiatry 1020 South Main Street,Fond du Lac,WI,54935,-88.44982983006625,43.7504491553411,96.48
98,"Physician Medicine & Rehabilitation 805 East Washington Street, Suite 100",Medina,OH,44138,-81.84842418965344,41.138245920249474,99.04
99,404 East High Street ,Royersford,PA,19464,-75.64412018081366,40.24486035119962,97.06
