"GEOID","rcaUrbP","rcaSubrbP","rcaRuralP"
"04023",0,0.8,0.2
"04025",0.43,0.29,0.29
"04027",0.73,0.2,0.07
"05001",0,0,1
"05003",0,0,1
"05005",0,0.44,0.56
"05007",0.78,0.2,0.02
"05009",0,0.43,0.57
"05011",0,0,1
"05013",0,0,1
"05015",0,0,1
"05017",0,0,1
"05019",0,0.6,0.4
"05021",0,0,1
"05023",0,0,1
"05025",0,1,0
"05027",0,0.4,0.6
"05029",0,0.17,0.83
"05031",0.76,0.18,0.06
"05033",0.64,0.36,0
"05035",0.8,0.2,0
"05037",0,0.17,0.83
"05039",0,0,1
"05041",0,0,1
"05043",0,0,1
"05045",0.64,0.36,0
"05047",0,0.67,0.33
"05049",0,0,1
"05051",0.75,0.15,0.1
"05053",0,0.75,0.25
"05055",0,0.56,0.44
"05057",0,0,1
"05059",0,0.86,0.14
"05061",0,0,1
"05063",0,0.5,0.5
"05065",0,0,1
"05067",0,0,1
"05069",0.75,0.17,0.08
"05071",0,0,1
"05073",0,0,1
"05075",0,0.17,0.83
"05077",0,0,1
"05079",0,0.75,0.25
"05081",0,0,1
"05083",0,0.17,0.83
"05085",0.5,0.31,0.19
"05087",0,1,0
"05089",0,0,1
"05091",0.75,0.25,0
"05093",0,0.42,0.58
"05095",0,0,1
"05097",0,0,1
"05099",0,0,1
"05101",0,0,1
"05103",0,0.5,0.5
"05105",0,0.67,0.33
"05107",0,0.67,0.33
"05109",0,0,1
"05111",0,0.71,0.29
"05113",0,0,1
"05115",0,0.45,0.55
"05117",0,0.33,0.67
"05119",0.91,0.08,0.01
"05121",0,0,1
"05123",0,0.67,0.33
"05125",0.71,0.24,0.05
"05127",0,0.33,0.67
"05129",0,0,1
"05131",0.77,0.23,0
"05133",0,0,1
"05135",0,0,1
"05137",0,0,1
"05139",0,0.5,0.5
"05141",0,0.2,0.8
"05143",0.78,0.22,0
"05145",0,0.62,0.38
"05147",0,0,1
"05149",0,0.33,0.67
"06001",0.95,0.04,0
"06003",0,0,1
"06005",0,0,1
"06007",0.45,0.43,0.12
"06009",0,0,1
"06011",0,0,1
"06013",0.98,0,0.02
"06015",0,0.62,0.38
"06017",0.33,0.6,0.07
"06019",0.75,0.18,0.08
"06021",0,0.17,0.83
"06023",0,0.65,0.35
"06025",0.55,0.35,0.1
"06027",0,0,1
"06029",0.68,0.2,0.13
"06031",0.56,0.3,0.15
"06033",0,0.8,0.2
"06035",0,0.44,0.56
"06037",0.96,0.03,0.01
"06039",0.48,0.22,0.3
"06041",0.89,0.04,0.07
"06043",0,0,1
"06045",0,0.48,0.52
"06047",0.69,0.16,0.14
"06049",0,0,1
"06051",0,0,1
"06053",0.8,0.16,0.04
"06055",0.72,0.03,0.25
"06057",0,0.5,0.5
"06059",1,0,0
"06061",0.68,0.24,0.08
"06063",0,0.14,0.86
"06065",0.93,0.05,0.02
"06067",0.95,0.04,0
"06069",0,0.73,0.27
"06071",0.85,0.09,0.06
"06073",0.97,0.03,0.01
"06075",0.99,0,0.01
"06077",0.92,0.01,0.06
"06079",0.69,0.19,0.13
"06081",0.95,0.03,0.02
"06083",0.89,0.07,0.04
"06085",0.94,0.06,0
"06087",0.91,0.08,0.02
"06089",0.69,0.27,0.04
"06091",0,0,1
"06093",0,0,1
"06095",0.93,0.04,0.03
"06097",0.76,0.2,0.04
"06099",0.87,0.1,0.03
"06101",0.71,0.24,0.05
"06103",0,0.45,0.55
"06105",0,0,1
"06107",0.69,0.19,0.12
"06109",0,0.64,0.36
"06111",0.91,0.05,0.04
"06113",0.93,0.02,0.05
"06115",0.57,0.36,0.07
"08001",0.97,0.02,0.01
"08003",0,0,1
"08005",0.99,0.01,0
"08007",0,0,1
"08009",0,0,1
"08011",0,0,1
"08013",0.91,0.06,0.03
"08014",0.83,0,0.17
"08015",0,0,1
"08017",0,0,1
"08019",0,0.67,0.33
"08021",0,0,1
"08023",0,0,1
"08025",0,0,1
"08027",0,0,1
"08029",0,0,1
"08031",0.99,0,0.01
"08033",0,0,1
"08035",0.87,0.13,0
"08037",0,0.36,0.64
"08039",0,0.86,0.14
"08041",0.92,0.06,0.02
"08043",0,0.64,0.36
"08045",0,0.45,0.55
"08047",0,1,0
"08049",0,0,1
"08051",0,0,1
"08053",0,0,1
"08055",0,0,1
"08057",0,0,1
"08059",0.9,0.09,0.01
"08061",0,0,1
"08063",0,0,1
"08065",0,0,1
"08067",0,0.4,0.6
"08069",0.88,0.07,0.05
"08071",0,0,1
"08073",0,0,1
"08075",0,0.67,0.33
"08077",0.86,0.1,0.03
"08079",0,0,1
"08081",0,0.75,0.25
"08083",0,0,1
"08085",0,0.5,0.5
"08087",0,0.5,0.5
"08089",0,0,1
"08091",0,0,1
"08093",0,0.4,0.6
"08095",0,0,1
"08097",0,0,1
"08099",0,0,1
"08101",0.91,0.07,0.02
"08103",0,0,1
"08105",0,0,1
"08107",0,0.5,0.5
"08109",0,0,1
"08111",0,0,1
"08113",0,0,1
"08115",0,0,1
"08117",0,0.6,0.4
"08119",0,0.67,0.33
"08121",0,0,1
"08123",0.61,0.19,0.19
"08125",0,0,1
"09001",0.98,0.01,0
"09003",0.98,0.02,0
"09005",0.31,0.41,0.27
"09007",0.78,0.19,0.03
"09009",0.99,0,0.01
"09011",0.77,0.2,0.03
"09013",0.59,0.41,0
"09015",0.28,0.52,0.2
"10001",0.7,0.27,0.03
"10003",0.93,0.05,0.02
"10005",0.15,0.46,0.39
"11001",1,0,0
"12001",0.79,0.21,0
"12003",0,1,0
"12005",0.89,0.09,0.02
"12007",0,0.75,0.25
"12009",0.95,0.04,0.02
"12011",0.99,0,0
"12013",0,0.67,0.33
"12015",0.95,0.03,0.03
"12017",0.71,0.14,0.14
"12019",0.77,0.2,0.03
"12021",0.91,0.08,0.01
"12023",0,0.58,0.42
"12027",0.11,0.33,0.56
"12029",0,0.5,0.5
"12031",0.98,0.02,0.01
"12033",0.94,0.04,0.01
"12035",0.86,0.1,0.05
"12037",0,0.17,0.83
"12039",0,1,0
"12041",0,0.8,0.2
"12043",0,0,1
"12045",0,0.25,0.75
"12047",0,0.33,0.67
"12049",0,0.67,0.33
"12051",0,0.57,0.43
"12053",0.78,0.16,0.07
"12055",0.63,0.22,0.15
"12057",0.95,0.03,0.02
"12059",0,0,1
"12061",0.9,0.03,0.06
"12063",0,0.09,0.91
"12065",0,0.75,0.25
"12067",0,0,1
"12069",0.88,0.11,0.02
"12071",0.91,0.05,0.04
"12073",0.9,0.1,0
"12075",0,0.5,0.5
"12077",0,1,0
"12079",0,0.6,0.4
"12081",0.95,0.04,0.01
"12083",0.65,0.29,0.06
"12085",0.89,0.06,0.06
"12086",0.99,0,0.01
"12087",0,0.55,0.45
"12089",0,0.92,0.08
"12091",0.77,0.14,0.09
"12093",0,0.67,0.33
"12095",0.99,0,0
"12097",0.8,0.2,0
"12099",0.95,0.03,0.02
"12101",0.95,0.04,0.01
"12103",0.99,0,0.01
"12105",0.81,0.15,0.04
"12107",0,0.47,0.53
"12109",0.83,0.12,0.05
"12111",0.93,0.02,0.04
"12113",0.85,0.12,0.04
"12115",0.98,0.01,0.01
"12117",0.99,0.01,0
"12119",0.37,0.16,0.47
"12121",0,0.14,0.86
"12123",0,0,1
"12125",0,0.33,0.67
"12127",0.95,0.03,0.03
"12129",0,0.8,0.2
"12131",0.17,0.42,0.42
"12133",0,0.57,0.43
"13001",0,0,1
"13003",0,0,1
"13005",0,0,1
"13007",0,1,0
"13009",0,0.78,0.22
"13011",0,0.25,0.75
"13013",0.33,0.67,0
"13015",0.73,0.27,0
"13017",0,0.6,0.4
"13019",0,0.83,0.17
"13021",0.93,0.07,0
"13023",0,0.67,0.33
"13025",0,0.67,0.33
"13027",0,0.8,0.2
"13029",0.29,0.57,0.14
"13031",0,0.83,0.17
"13033",0,0.83,0.17
"13035",0,1,0
"13037",0,1,0
"13039",0,0.82,0.18
"13043",0,0,1
"13045",0.24,0.53,0.24
"13047",0.73,0.27,0
"13049",0,1,0
"13051",0.96,0.01,0.03
"13053",0.6,0.2,0.2
"13055",0,0.83,0.17
"13057",0.88,0.12,0
"13059",1,0,0
"13061",0,0,1
"13063",0.98,0,0.02
"13065",0,0,1
"13067",1,0,0
"13069",0,0.56,0.44
"13071",0,0.6,0.4
"13073",0.85,0.15,0
"13075",0,0.75,0.25
"13077",0.65,0.35,0
"13079",0,0.67,0.33
"13081",0,0.83,0.17
"13083",0.25,0.75,0
"13085",0.33,0.67,0
"13087",0,0.71,0.29
"13089",0.99,0,0.01
"13091",0,0.17,0.83
"13093",0,0.33,0.67
"13095",0.89,0.11,0
"13097",0.9,0.1,0
"13099",0,0.4,0.6
"13101",0,0.5,0.5
"13103",0,1,0
"13105",0,0.4,0.6
"13107",0,0,1
"13109",0,0,1
"13111",0,0,1
"13113",0.9,0.1,0
"13115",0.7,0.3,0
"13117",0.98,0.02,0
"13119",0,0.2,0.8
"13121",0.99,0,0.01
"13123",0,0.2,0.8
"13125",0,0,1
"13127",0.69,0.25,0.06
"13129",0,0.56,0.44
"13131",0,0.17,0.83
"13133",0,0.29,0.71
"13135",1,0,0
"13137",0,0.75,0.25
"13139",0.83,0.17,0
"13141",0,0,1
"13143",0,0.6,0.4
"13145",0,1,0
"13147",0,0,1
"13149",0,0.33,0.67
"13151",1,0,0
"13153",0.96,0.04,0
"13155",0,0,1
"13157",0.18,0.45,0.36
"13159",0,1,0
"13161",0,0,1
"13163",0,0,1
"13165",0,0.5,0.5
"13167",0,0,1
"13169",0.17,0.83,0
"13171",0,1,0
"13173",0,1,0
"13175",0,0.54,0.46
"13177",0.6,0.4,0
"13179",0.73,0.2,0.07
"13181",0,1,0
"13183",0,0.67,0.33
"13185",0.84,0.16,0
"13187",0,0.5,0.5
"13189",0,0.2,0.8
"13191",0,0.6,0.4
"13193",0,0.5,0.5
"13195",0,1,0
"13197",0,1,0
"13199",0,0.5,0.5
"13201",0,0,1
"13205",0,0.2,0.8
"13207",0,0.8,0.2
"13209",0,0,1
"13211",0,0.8,0.2
"13213",0.25,0.75,0
"13215",1,0,0
"13217",0.69,0.31,0
"13219",0.5,0.5,0
"13221",0,1,0
"13223",0.89,0.11,0
"13225",0.17,0.83,0
"13227",0,0.67,0.33
"13229",0,0,1
"13231",0,1,0
"13233",0,0.86,0.14
"13235",0,1,0
"13237",0,0.2,0.8
"13239",0,0,1
"13241",0,0,1
"13243",0,0.5,0.5
"13245",0.96,0.04,0
"13247",1,0,0
"13249",0,0,1
"13251",0,0.2,0.8
"13253",0,0.33,0.67
"13255",0.67,0.33,0
"13257",0,0.6,0.4
"13259",0,0.5,0.5
"13261",0,0.62,0.38
"13263",0,1,0
"13265",0,0,1
"13267",0,0.2,0.8
"13269",0,0.67,0.33
"13271",0,0,1
"13273",0,1,0
"13275",0,0.55,0.45
"13277",0,0.44,0.56
"13279",0,0.67,0.33
"13281",0,0,1
"13283",0,0,1
"13285",0,0.71,0.29
"13287",0,0,1
"13289",0,1,0
"13291",0,0,1
"13293",0,0.57,0.43
"13295",0.54,0.31,0.15
"13297",0.53,0.4,0.07
"13299",0,0.89,0.11
"13301",0,0,1
"13303",0,0,1
"13305",0,0.5,0.5
"13307",0,1,0
"13309",0,0,1
"13311",0,0.8,0.2
"13313",0.78,0.22,0
"13315",0,0,1
"13317",0,0,1
"13319",0,0.33,0.67
"13321",0,0.8,0.2
"15001",0,0.34,0.66
"15003",0.82,0.15,0.02
"15005",0,0,1
"15007",0,0.35,0.65
"15009",0.26,0.5,0.24
"16001",0.95,0.05,0
"16003",0,0,1
"16005",0.82,0.18,0
"16007",0,0,1
"16009",0,0,1
"16011",0,0.75,0.25
"16013",0,0.5,0.5
"16015",0,1,0
"16017",0,0.33,0.67
"16019",0.9,0.1,0
"16021",0,0,1
"16023",0,0,1
"16025",0,0,1
"16027",0.83,0.14,0.03
"16029",0,0,1
"16031",0,0.5,0.5
"16033",0,0,1
"16035",0,0,1
"16037",0,0,1
"16039",0,0.6,0.4
"16041",0,0,1
"16043",0,0,1
"16045",0,1,0
"16047",0,0,1
"16049",0,0,1
"16051",0,0.75,0.25
"16053",0,0.6,0.4
"16055",0.72,0.24,0.04
"16057",0,0.71,0.29
"16059",0,0,1
"16061",0,0.33,0.67
"16063",0,0,1
"16065",0,0.67,0.33
"16067",0,0.4,0.6
"16069",0.8,0.2,0
"16071",0,0,1
"16073",0,0.67,0.33
"16075",0,0.75,0.25
"16077",0,0.5,0.5
"16079",0,0,1
"16081",0,0,1
"16083",0,0.57,0.43
"16085",0,0,1
"16087",0,0,1
"17001",0,0.72,0.28
"17003",0,0.5,0.5
"17005",0,0.25,0.75
"17007",0.86,0.14,0
"17009",0,0,1
"17011",0,0.2,0.8
"17013",0,0.5,0.5
"17015",0,0,1
"17017",0,0.2,0.8
"17019",0.77,0.23,0
"17021",0,0.5,0.5
"17023",0,0.25,0.75
"17025",0,0,1
"17027",0,0.38,0.62
"17029",0,0.75,0.25
"17031",1,0,0
"17033",0,0,1
"17035",0,0,1
"17037",0.71,0.29,0
"17039",0,0.6,0.4
"17041",0,0.4,0.6
"17043",1,0,0
"17045",0,0,1
"17047",0,0,1
"17049",0,0.5,0.5
"17051",0,0,1
"17053",0,0,1
"17055",0,0.08,0.92
"17057",0,0.5,0.5
"17059",0,0,1
"17061",0,0,1
"17063",0.2,0.7,0.1
"17065",0,0,1
"17067",0,0.14,0.86
"17069",0,0,1
"17071",0,0,1
"17073",0.08,0.54,0.38
"17075",0,0.33,0.67
"17077",0.5,0.43,0.07
"17079",0,0,1
"17081",0,0.64,0.36
"17083",0,0.67,0.33
"17085",0.17,0,0.83
"17087",0,0.75,0.25
"17089",0.98,0.02,0
"17091",0.72,0.21,0.07
"17093",1,0,0
"17095",0,0.75,0.25
"17097",0.72,0.27,0.01
"17099",0,0.71,0.29
"17101",0,0,1
"17103",0,0.44,0.56
"17105",0,0.4,0.6
"17107",0,0.62,0.38
"17109",0,0.6,0.4
"17111",0.54,0.42,0.04
"17113",0.78,0.22,0
"17115",0.88,0.12,0
"17117",0,0.62,0.38
"17119",0.87,0.13,0
"17121",0,0.33,0.67
"17123",0,0.4,0.6
"17125",0,0.17,0.83
"17127",0,0,1
"17129",0,1,0
"17131",0,0.5,0.5
"17133",0.33,0.67,0
"17135",0,0.12,0.88
"17137",0,0.7,0.3
"17139",0,0.5,0.5
"17141",0,0.64,0.36
"17143",0.9,0.1,0
"17145",0,0,1
"17147",0,0.75,0.25
"17149",0,0,1
"17151",0,0,1
"17153",0,0,1
"17155",0,0,1
"17157",0,0,1
"17159",0,0,1
"17161",0.95,0.05,0
"17163",0.92,0.08,0
"17165",0,0,1
"17167",0.91,0.09,0
"17169",0,0,1
"17171",0,0,1
"17173",0,0.33,0.67
"17175",0,1,0
"17177",0,0.54,0.46
"17179",0.83,0.13,0.03
"17181",0,0.2,0.8
"17183",0.71,0.25,0.04
"17185",0,0,1
"17187",0,0,1
"17189",0,0.25,0.75
"17191",0,0,1
"17193",0,0,1
"17195",0,0.56,0.44
"17197",0.92,0.07,0.01
"17199",0.8,0.2,0
"17201",0.97,0.03,0
"17203",0.11,0.56,0.33
"18001",0,0.29,0.71
"18003",0.91,0.09,0
"18005",0.67,0.33,0
"18007",0,0.33,0.67
"18009",0,0,1
"18011",0.4,0.6,0
"18013",0,0.75,0.25
"18015",0,0.71,0.29
"18017",0,0.55,0.45
"18019",0.77,0.23,0
"18021",0.33,0.67,0
"18023",0,0.62,0.38
"18025",0,0.33,0.67
"18027",0,0.43,0.57
"18029",0.2,0.7,0.1
"18031",0,0.5,0.5
"18033",0,0.78,0.22
"18035",0.9,0.1,0
"18037",0,0.43,0.57
"18039",0.83,0.08,0.08
"18041",0,0.57,0.43
"18043",0.9,0.1,0
"18045",0,0.2,0.8
"18047",0,0.2,0.8
"18049",0,0,1
"18051",0,0.43,0.57
"18053",0,0.75,0.25
"18055",0,0.44,0.56
"18057",1,0,0
"18059",0.8,0.2,0
"18061",0,0.67,0.33
"18063",0.86,0.14,0
"18065",0,0.77,0.23
"18067",0.85,0.15,0
"18069",0,0.67,0.33
"18071",0,0.6,0.4
"18073",0,0.62,0.38
"18075",0,0,1
"18077",0,0.71,0.29
"18079",0,0.67,0.33
"18081",0.95,0.05,0
"18083",0,0.6,0.4
"18085",0,0.32,0.68
"18087",0,0,1
"18089",0.97,0.03,0.01
"18091",0.72,0.24,0.03
"18093",0,0.6,0.4
"18095",0.76,0.16,0.08
"18097",1,0,0
"18099",0,0.25,0.75
"18101",0,0,1
"18103",0,0.7,0.3
"18105",0.81,0.19,0
"18107",0,0.56,0.44
"18109",0.38,0.62,0
"18111",0,0.5,0.5
"18113",0,0.3,0.7
"18115",0,0.5,0.5
"18117",0,0.17,0.83
"18119",0,0.6,0.4
"18121",0,0.5,0.5
"18123",0,0,1
"18125",0,0,1
"18127",0.79,0.15,0.06
"18129",0,0.43,0.57
"18131",0,0,1
"18133",0,0.71,0.29
"18135",0.12,0.12,0.75
"18137",0,0.17,0.83
"18139",0,0.2,0.8
"18141",0.92,0.07,0.01
"18143",0,0.6,0.4
"18145",0,0.8,0.2
"18147",0,0.4,0.6
"18149",0,0,1
"18151",0,0.33,0.67
"18153",0,0.4,0.6
"18155",0,0,1
"18157",0.92,0.08,0
"18159",0,0.5,0.5
"18161",0,0,1
"18163",0.96,0.04,0
"18165",0,0.8,0.2
"18167",0.89,0.11,0
"18169",0,0.38,0.62
"18171",0,0,1
"18173",0.64,0.36,0
"18175",0,0.33,0.67
"18177",0,0.59,0.41
"18179",0,0.29,0.71
"18181",0,0.38,0.62
"18183",0,0.57,0.43
"19001",0,0,1
"19003",0,0,1
"19005",0,0,1
"19007",0,0,1
"19009",0,0,1
"19011",0,0.57,0.43
"19013",0.92,0.08,0
"19015",0,0.71,0.29
"19017",0,0.25,0.75
"19019",0,0.17,0.83
"19021",0,0.33,0.67
"19023",0,0.4,0.6
"19025",0,0,1
"19027",0,0,1
"19029",0,0,1
"19031",0,0.4,0.6
"19033",0,0.55,0.45
"19035",0,0,1
"19037",0,0,1
"19039",0,0.33,0.67
"19041",0,0.5,0.5
"19043",0,0,1
"19045",0,0.67,0.33
"19047",0,0,1
"19049",0.4,0.47,0.13
"19051",0,0,1
"19053",0,0,1
"19055",0,0,1
"19057",0,0.73,0.27
"19059",0,0.8,0.2
"19061",0.73,0.19,0.08
"19063",0,0,1
"19065",0,0,1
"19067",0,0,1
"19069",0,0,1
"19071",0,0.33,0.67
"19073",0,0,1
"19075",0,0.5,0.5
"19077",0,0.33,0.67
"19079",0,0.2,0.8
"19081",0,0,1
"19083",0,0,1
"19085",0,0.8,0.2
"19087",0,0,1
"19089",0,0,1
"19091",0,0,1
"19093",0,0,1
"19095",0,0.25,0.75
"19097",0,0.17,0.83
"19099",0,0.67,0.33
"19101",0,0.5,0.5
"19103",0.88,0.12,0
"19105",0,0.4,0.6
"19107",0,0,1
"19109",0,0,1
"19111",0,0.64,0.36
"19113",0.89,0.11,0
"19115",0,0,1
"19117",0,0,1
"19119",0,0,1
"19121",0,1,0
"19123",0,0.57,0.43
"19125",0,0.12,0.88
"19127",0,0.6,0.4
"19129",0,1,0
"19131",0,0,1
"19133",0,0,1
"19135",0,0,1
"19137",0,0,1
"19139",0,0.8,0.2
"19141",0,0,1
"19143",0,0,1
"19145",0,0,1
"19147",0,0,1
"19149",0,0.33,0.67
"19151",0,0,1
"19153",0.96,0.03,0.01
"19155",0.77,0.17,0.07
"19157",0,0,1
"19159",0,0,1
"19161",0,0,1
"19163",0.89,0.11,0
"19165",0,0,1
"19167",0,0,1
"19169",0.7,0.3,0
"19171",0,0.33,0.67
"19173",0,0,1
"19175",0,0,1
"19177",0,0,1
"19179",0,0.73,0.27
"19181",0.25,0.75,0
"19183",0,0.2,0.8
"19185",0,0,1
"19187",0,0.67,0.33
"19189",0,0,1
"19191",0,0,1
"19193",0.85,0.08,0.08
"19195",0,0,1
"19197",0,0,1
"20001",0,0,1
"20003",0,0,1
"20005",0,0.75,0.25
"20007",0,0,1
"20009",0,0.62,0.38
"20011",0,0,1
"20013",0,0,1
"20015",0.15,0.77,0.08
"20017",0,0,1
"20019",0,0,1
"20021",0,0.33,0.67
"20023",0,0,1
"20025",0,0,1
"20027",0,0,1
"20029",0,0,1
"20031",0,0,1
"20033",0,0,1
"20035",0,0.82,0.18
"20037",0,0.73,0.27
"20039",0,0,1
"20041",0,0,1
"20043",0.33,0.33,0.33
"20045",0.77,0.18,0.05
"20047",0,0,1
"20049",0,0,1
"20051",0,0.67,0.33
"20053",0,0,1
"20055",0,0.83,0.17
"20057",0,0.71,0.29
"20059",0,0.8,0.2
"20061",0,1,0
"20063",0,0,1
"20065",0,0,1
"20067",0,0,1
"20069",0,0,1
"20071",0,0,1
"20073",0,0.33,0.67
"20075",0,0,1
"20077",0,0,1
"20079",0,1,0
"20081",0,0,1
"20083",0,0,1
"20085",0,0.67,0.33
"20087",0,0.75,0.25
"20089",0,0,1
"20091",0.95,0.04,0.01
"20093",0,0,1
"20095",0,0.33,0.67
"20097",0,0,1
"20099",0,0.5,0.5
"20101",0,0,1
"20103",0,0.88,0.12
"20105",0,0,1
"20107",0,1,0
"20109",0,0,1
"20111",0,0.62,0.38
"20113",0,0.43,0.57
"20115",0,0,1
"20117",0,0,1
"20119",0,0,1
"20121",0,1,0
"20123",0,0,1
"20125",0,0.38,0.62
"20127",0,0,1
"20129",0,0,1
"20131",0,0,1
"20133",0,0,1
"20135",0,0,1
"20137",0,0,1
"20139",0,0.6,0.4
"20141",0,0,1
"20143",0,0,1
"20145",0,0,1
"20147",0,0,1
"20149",0,0.25,0.75
"20151",0,0,1
"20153",0,0,1
"20155",0,0.71,0.29
"20157",0,0,1
"20159",0,0,1
"20161",0.79,0.14,0.07
"20163",0,0,1
"20165",0,0,1
"20167",0,0,1
"20169",0,0.83,0.17
"20171",0,0,1
"20173",0.96,0.04,0
"20175",0,0.8,0.2
"20177",0.93,0.07,0
"20179",0,0,1
"20181",0,0,1
"20183",0,0,1
"20185",0,0,1
"20187",0,0,1
"20189",0,0,1
"20191",0,0.5,0.5
"20193",0,0,1
"20195",0,0,1
"20197",0,0.5,0.5
"20199",0,0,1
"20201",0,0,1
"20203",0,0,1
"20205",0,0,1
"20207",0,0,1
"20209",0.94,0.01,0.04
"21001",0,0,1
"21003",0,0.17,0.83
"21005",0,0.2,0.8
"21007",0,0,1
"21009",0,0.3,0.7
"21011",0,0,1
"21013",0,0.56,0.44
"21015",0.82,0.14,0.05
"21017",0,0.5,0.5
"21019",0.85,0.15,0
"21021",0,0.86,0.14
"21023",0,1,0
"21025",0,0.14,0.86
"21027",0,0.17,0.83
"21029",0.72,0.22,0.06
"21031",0,0.8,0.2
"21033",0,0,1
"21035",0,0.56,0.44
"21037",0.92,0.08,0
"21039",0,0,1
"21041",0,0,1
"21043",0,0.71,0.29
"21045",0,0,1
"21047",0.21,0.42,0.37
"21049",0,0.8,0.2
"21051",0,0,1
"21053",0,0,1
"21055",0,0,1
"21057",0,0,1
"21059",0.78,0.22,0
"21061",0,0.5,0.5
"21063",0,0.5,0.5
"21065",0,0,1
"21067",0.95,0.05,0
"21069",0,0,1
"21071",0,0,1
"21073",0,0.82,0.18
"21075",0,0,1
"21077",0,1,0
"21079",0,0,1
"21081",0,1,0
"21083",0,0.33,0.67
"21085",0,0,1
"21087",0,0,1
"21089",0.67,0.22,0.11
"21091",0,0.67,0.33
"21093",0.77,0.23,0
"21095",0,0,1
"21097",0,0,1
"21099",0,0,1
"21101",0.73,0.27,0
"21103",0,1,0
"21105",0,0,1
"21107",0,0.58,0.42
"21109",0,0,1
"21111",0.99,0.01,0.01
"21113",0,0.89,0.11
"21115",0,0,1
"21117",0.93,0.07,0
"21119",0,0,1
"21121",0,0.12,0.88
"21123",0,0.25,0.75
"21125",0,0.46,0.54
"21127",0,0.6,0.4
"21129",0,0,1
"21131",0,0,1
"21133",0,0,1
"21135",0,0,1
"21137",0,0,1
"21139",0,0,1
"21141",0,0.17,0.83
"21143",0,0,1
"21145",0,0.82,0.18
"21147",0,0,1
"21149",0,0.67,0.33
"21151",0,0.74,0.26
"21153",0,0.25,0.75
"21155",0,0,1
"21157",0,0,1
"21159",0,0,1
"21161",0,0.6,0.4
"21163",0.25,0.75,0
"21165",0,0,1
"21167",0,0,1
"21169",0,0,1
"21171",0,0,1
"21173",0,0.5,0.5
"21175",0,0,1
"21177",0,0,1
"21179",0,0.44,0.56
"21181",0,0,1
"21183",0,0.43,0.57
"21185",0.93,0.07,0
"21187",0,0.33,0.67
"21189",0,0,1
"21191",0,1,0
"21193",0,0.12,0.88
"21195",0,0,1
"21197",0,0,1
"21199",0,0.57,0.43
"21201",0,0,1
"21203",0,0,1
"21205",0,0,1
"21207",0,0,1
"21209",0,0.86,0.14
"21211",0,0.78,0.22
"21213",0,0,1
"21215",0,1,0
"21217",0,0.6,0.4
"21219",0,0.25,0.75
"21221",0,0,1
