"GEOID","GiniCoeff","MedInc"
"13183",0.381,26502
"13185",0.531,23026
"13187",0.4582,22732
"13189",0.4714,21122
"13191",0.4562,26313
"13193",0.4729,19313
"13195",0.4277,26950
"13197",0.4385,22461
"13199",0.4608,21189
"13201",0.4555,25614
"13205",0.4672,21831
"13207",0.5408,27435
"13209",0.5234,21240
"13211",0.4544,28216
"13213",0.4054,24792
"13215",0.4916,24290
"13217",0.4384,26373
"13219",0.4529,38611
"13221",0.4137,22992
"13223",0.3858,32767
"13225",0.4707,23475
"13227",0.4275,29426
"13229",0.456,22659
"13231",0.4545,30463
"13233",0.4879,23891
"13235",0.4597,21401
"13237",0.4768,26625
"13239",0.458,18863
"13241",0.5261,22329
"13243",0.5508,16728
"13245",0.4761,21768
"13247",0.4209,30297
"13249",0.4679,26844
"13251",0.4697,22040
"13253",0.5647,22596
"13255",0.4503,22431
"13257",0.4629,21236
"13259",0.5029,17778
"13261",0.4792,21300
"13263",0.4579,20572
"13265",0.4814,19401
"13267",0.4679,20279
"13269",0.463,21700
"13271",0.4343,18596
"13273",0.4633,18234
"13275",0.5078,23580
"13277",0.4615,23678
"13279",0.5548,21907
"13281",0.4485,19661
"13283",0.5227,22446
"13285",0.4681,23716
"13287",0.4823,22267
"13289",0.4918,21314
"13291",0.4698,23695
"13293",0.4835,22193
"13295",0.4598,22243
"13297",0.4277,29483
"13299",0.4574,23640
"13301",0.5242,20460
"13303",0.462,20589
"13305",0.4679,21843
"13307",0.4813,21575
"13309",0.4435,17936
"13311",0.426,25633
"13313",0.4651,25250
"13315",0.4481,21508
"13317",0.507,19551
"13319",0.4885,22048
"13321",0.4406,23821
"15001",0.4742,29208
"15003",0.4318,35569
"15005",0.3589,48750
"15007",0.4206,32950
"15009",0.443,33485
"16001",0.4659,31633
"16003",0.4228,25054
"16005",0.4473,23419
"16007",0.3919,23125
"16009",0.4253,23080
"16011",0.3951,23526
"16013",0.4853,30829
"16015",0.4139,27595
"16017",0.4564,24336
"16019",0.4539,25881
"16021",0.4811,25568
"16023",0.4672,25054
"16025",0.5543,22250
"16027",0.41,23839
"16029",0.41,26852
"16031",0.4133,25277
"16033",0.3549,21111
"16035",0.4285,23756
"16037",0.4582,18668
"16039",0.4138,25658
"16041",0.3703,23481
"16043",0.3859,24671
"16045",0.4184,21102
"16047",0.4027,24955
"16049",0.4223,21402
"16051",0.3723,25895
"16053",0.4154,23619
"16055",0.442,27268
"16057",0.4688,21946
"16059",0.4017,22316
"16061",0.4586,23365
"16063",0.395,24797
"16065",0.4899,12016
"16067",0.4496,25230
"16069",0.4138,27061
"16071",0.3647,22450
"16073",0.4761,22902
"16075",0.4321,25581
"16077",0.3881,26404
"16079",0.4508,21982
"16081",0.4239,32254
"16083",0.4312,25185
"16085",0.4714,25923
"16087",0.4448,21481
"17001",0.4548,29030
"17003",0.4596,20817
"17005",0.4132,26468
"17007",0.4381,29644
"17009",0.3869,28506
"17011",0.4153,28526
"17013",0.4284,27594
"17015",0.4172,27504
"17017",0.4215,27566
"17019",0.5097,27218
"17021",0.4208,28506
"17023",0.4275,29309
"17025",0.4237,26050
"17027",0.4191,32785
"17029",0.4984,23666
"17031",0.5069,31755
"17033",0.4577,26577
"17035",0.3961,28337
"17037",0.4353,26626
"17039",0.4021,28961
"17041",0.4355,29989
"17043",0.453,40431
"17045",0.43,26641
"17047",0.4141,28260
"17049",0.4478,29153
"17051",0.4366,23309
"17053",0.4179,29056
"17055",0.4535,23826
"17057",0.433,26332
"17059",0.4548,26052
"17061",0.4345,24655
"17063",0.3925,37764
"17065",0.415,29583
"17067",0.412,28174
"17069",0.5009,22078
"17071",0.4066,26648
"17073",0.4212,30053
"17075",0.4197,26095
"17077",0.5355,21219
"17079",0.4112,26259
"17081",0.4579,25912
"17083",0.409,30792
"17085",0.4355,29824
"17087",0.4437,27322
"17089",0.4425,32292
"17091",0.4326,26922
"17093",0.3577,38872
"17095",0.4519,25058
"17097",0.487,36044
"17099",0.4307,27997
"17101",0.403,26232
"17103",0.4344,29696
"17105",0.4291,29230
"17107",0.4073,30080
"17109",0.4652,20723
"17111",0.4062,37384
"17113",0.4645,32318
"17115",0.4646,27117
"17117",0.4213,28323
"17119",0.4396,30478
"17121",0.4296,25520
"17123",0.4158,28760
"17125",0.4354,25950
"17127",0.4359,22063
"17129",0.4011,37531
"17131",0.3958,30034
"17133",0.4289,39645
"17135",0.4325,26305
"17137",0.4355,26103
"17139",0.3951,31830
"17141",0.4099,30727
"17143",0.4756,29634
"17145",0.4686,26383
"17147",0.3953,35999
"17149",0.4355,24670
"17151",0.3977,20833
"17153",0.4624,21701
"17155",0.4115,32397
"17157",0.43,28004
"17159",0.4361,26608
"17161",0.4353,29208
"17163",0.4706,29739
"17165",0.4732,21922
"17167",0.4627,33210
"17169",0.3868,26772
"17171",0.4337,28067
"17173",0.3856,28032
"17175",0.4734,28398
"17177",0.4446,26287
"17179",0.4247,33009
"17181",0.4472,26851
"17183",0.4467,26893
"17185",0.4286,26165
"17187",0.4346,25790
"17189",0.422,34435
"17191",0.4151,28267
"17193",0.4198,25936
"17195",0.4306,27574
"17197",0.4111,35981
"17199",0.4456,26785
"17201",0.4501,27268
"17203",0.422,33992
"18001",0.4149,28271
"18003",0.4521,29147
"18005",0.4319,30841
"18007",0.3892,25480
"18009",0.439,24841
"18011",0.4771,40187
"18013",0.4596,28955
"18015",0.4056,29476
"18017",0.4185,27007
"18019",0.4191,30037
"18021",0.3865,28402
"18023",0.3888,27055
"18025",0.4118,24606
"18027",0.4137,26449
"18029",0.4104,30709
"18031",0.4022,29495
"18033",0.4132,28458
"18035",0.4746,22201
"18037",0.4216,31023
"18039",0.4183,27708
"18041",0.4309,24775
"18043",0.4452,31117
"18045",0.4429,26666
"18047",0.4089,29104
"18049",0.4182,26452
"18051",0.4148,28563
"18053",0.414,22097
"18055",0.3986,25621
"18057",0.4378,45180
"18059",0.3752,36183
"18061",0.4131,28818
"18063",0.3853,36979
"18065",0.4234,25848
"18067",0.4345,29054
"18069",0.3827,27338
"18071",0.4203,26429
"18073",0.3775,28657
"18075",0.4218,24624
"18077",0.4321,26915
"18079",0.3877,26365
"18081",0.4135,34178
"18083",0.4347,25435
"18085",0.4112,29879
"18087",0.4023,29974
"18089",0.4473,28633
"18091",0.4395,26359
"18093",0.4067,26520
"18095",0.4313,25770
"18097",0.4804,27826
"18099",0.4281,27035
"18101",0.4123,28037
"18103",0.4072,26376
"18105",0.4998,21750
"18107",0.3897,28893
"18109",0.3873,30488
"18111",0.3766,27201
"18113",0.4026,28814
"18115",0.3683,31016
"18117",0.4297,24260
"18119",0.3936,26814
"18121",0.4321,25766
"18123",0.4086,28377
"18125",0.3817,27846
"18127",0.4274,31904
"18129",0.4065,31175
"18131",0.3966,27412
"18133",0.3973,26609
"18135",0.4096,25678
"18137",0.4111,29003
"18139",0.4305,28584
"18141",0.4691,26575
"18143",0.4046,24420
"18145",0.3978,31072
"18147",0.4218,29869
"18149",0.4155,24698
"18151",0.3964,28330
"18153",0.4359,24479
"18155",0.4274,26402
"18157",0.4688,23406
"18159",0.4109,30685
"18161",0.3792,25625
"18163",0.4751,26550
"18165",0.4169,26199
"18167",0.4653,22479
"18169",0.3999,26164
"18171",0.3765,32330
"18173",0.4347,34936
"18175",0.4237,27297
"18177",0.4702,24552
"18179",0.3979,28200
"18181",0.3929,28759
"18183",0.3994,31527
"19001",0.4293,30913
"19003",0.4265,28261
"19005",0.4274,28364
"19007",0.5136,23520
"19009",0.392,27423
"19011",0.4254,33427
"19013",0.4616,27158
"19015",0.4076,32948
"19017",0.4128,31976
"19019",0.457,31484
"19021",0.4201,28553
"19023",0.417,30706
"19025",0.446,26431
"19027",0.4338,31137
"19029",0.4255,27687
"19031",0.3785,34827
"19033",0.4437,30297
"19035",0.4298,30047
"19037",0.4034,31205
"19039",0.4185,29722
"19041",0.4223,27606
"19043",0.4078,28407
"19045",0.4241,29142
"19047",0.4883,29489
"19049",0.4323,44820
"19051",0.4107,29754
"19053",0.4448,21354
"19055",0.4256,31316
"19057",0.4452,28430
"19059",0.4363,32283
"19061",0.4385,30579
"19063",0.4744,26009
"19065",0.4459,26495
"19067",0.4469,26985
"19069",0.4216,29423
"19071",0.4145,30769
"19073",0.4054,28309
"19075",0.4225,35671
"19077",0.4076,30675
"19079",0.4103,31322
"19081",0.3863,31390
"19083",0.409,29574
"19085",0.4022,31700
"19087",0.4158,27780
"19089",0.4145,31482
"19091",0.4252,29958
"19093",0.4608,31694
"19095",0.4397,32131
"19097",0.4267,31171
"19099",0.4093,29558
"19101",0.5016,22747
"19103",0.4929,30153
"19105",0.4308,30550
"19107",0.4387,28143
"19109",0.4098,31326
"19111",0.425,25954
"19113",0.4308,34045
"19115",0.4218,28424
"19117",0.4578,28741
"19119",0.3765,31921
"19121",0.4349,33494
"19123",0.4465,26790
"19125",0.4038,30501
"19127",0.4024,29321
"19129",0.4151,32244
"19131",0.4127,29738
"19133",0.4618,25586
"19135",0.4075,30913
"19137",0.4644,27264
"19139",0.4153,31017
"19141",0.4233,30041
"19143",0.4015,30054
"19145",0.4244,26758
"19147",0.4059,29697
"19149",0.3995,35080
"19151",0.4037,28762
"19153",0.4437,34736
"19155",0.4259,31387
"19157",0.452,27981
"19159",0.4713,27728
"19161",0.4152,31081
"19163",0.4516,31552
"19165",0.4305,31104
"19167",0.3844,29671
"19169",0.4643,22163
"19171",0.3982,30224
"19173",0.4379,27724
"19175",0.4312,26563
"19177",0.4639,25625
"19179",0.4409,26066
"19181",0.4044,37429
"19183",0.3906,32265
"19185",0.4475,26271
"19187",0.4431,24593
"19189",0.3871,30208
"19191",0.4005,28714
"19193",0.4363,28597
"19195",0.4119,30111
"19197",0.4314,28532
"20001",0.4337,24149
"20003",0.4181,25976
"20005",0.45,21907
"20007",0.4706,26328
"20009",0.4445,26439
"20011",0.4628,22710
"20013",0.4271,26072
"20015",0.411,31706
"20017",0.436,26419
"20019",0.4662,22477
"20021",0.4057,23976
"20023",0.4289,26217
"20025",0.3962,30690
"20027",0.4855,28409
"20029",0.434,26208
"20031",0.4156,29003
"20033",0.4109,30511
"20035",0.4256,25441
"20037",0.4652,21659
"20039",0.4392,27000
"20041",0.4447,25906
"20043",0.4301,24355
"20045",0.4714,25292
"20047",0.3987,30688
"20049",0.4297,21067
"20051",0.4855,25713
"20053",0.4168,26309
"20055",0.4041,28874
"20057",0.423,28260
"20059",0.4014,30542
"20061",0.3761,29802
"20063",0.4226,27111
"20065",0.4176,25470
"20067",0.4092,31542
"20069",0.3873,32912
"20071",0.35,27886
"20073",0.466,25573
"20075",0.3759,26891
"20077",0.4356,26972
"20079",0.4011,28587
"20081",0.4437,28048
"20083",0.4001,29229
"20085",0.4057,30069
"20087",0.3655,33553
"20089",0.4943,22783
"20091",0.4522,41425
"20093",0.4557,27336
"20095",0.4398,29583
"20097",0.4042,27215
"20099",0.4113,25160
"20101",0.4313,27368
"20103",0.4242,31568
"20105",0.4166,26831
"20107",0.4509,26072
"20109",0.4468,26803
"20111",0.475,25491
"20113",0.4152,30043
"20115",0.4183,24859
"20117",0.4143,28834
"20119",0.4174,29800
"20121",0.4164,34021
"20123",0.4336,26951
"20125",0.442,23785
"20127",0.4229,27776
"20129",0.4175,27164
"20131",0.4369,27464
"20133",0.4513,25817
"20135",0.471,28214
"20137",0.4647,23846
"20139",0.412,28527
"20141",0.4543,27410
"20143",0.4134,29595
"20145",0.3939,23635
"20147",0.402,26546
"20149",0.3944,32491
"20151",0.4197,27922
"20153",0.4132,27277
"20155",0.433,25787
"20157",0.4314,27949
"20159",0.4036,24437
"20161",0.4754,22909
"20163",0.3985,25734
"20165",0.4307,24144
"20167",0.3837,24936
"20169",0.4377,28142
"20171",0.3426,36111
"20173",0.4554,29748
"20175",0.4103,26833
"20177",0.4436,30987
"20179",0.418,31376
"20181",0.3563,26436
"20183",0.465,25016
"20185",0.424,27448
"20187",0.4236,29738
"20189",0.434,30208
"20191",0.4219,28838
"20193",0.4449,29222
"20195",0.3655,32148
"20197",0.3779,31849
"20199",0.4177,29432
"20201",0.4277,27500
"20203",0.402,29050
"20205",0.4692,24330
"20207",0.4356,22044
"20209",0.4273,25797
"21001",0.4696,19266
"21003",0.4379,22345
"21005",0.4073,30800
"21007",0.4617,25227
"21009",0.4345,21500
"21011",0.4579,21512
"21013",0.4975,15309
"21015",0.4115,35502
"21017",0.4526,26217
"21019",0.4855,23476
"21021",0.4731,23157
"21023",0.4433,26904
"21025",0.5253,14834
"21027",0.425,22988
"21029",0.3863,30393
"21031",0.4487,23750
"21033",0.5086,26284
"21035",0.4863,20603
"21037",0.4587,31260
"21039",0.4914,23181
"21041",0.4793,22608
"21043",0.4846,19197
"21045",0.4523,19018
"21047",0.4557,25830
"21049",0.4439,26617
"21051",0.4947,15738
"21053",0.5176,19105
"21055",0.4595,21992
"21057",0.4672,18995
"21059",0.465,26668
"21061",0.4268,21125
"21063",0.4495,17253
"21065",0.4767,17780
"21067",0.4947,28192
"21069",0.4652,23418
"21071",0.5007,17626
"21073",0.3896,31240
"21075",0.4807,19453
"21077",0.3958,23198
"21079",0.4325,25238
"21081",0.4178,23796
"21083",0.4691,23766
"21085",0.447,22045
"21087",0.5065,20799
"21089",0.4585,24351
"21091",0.3713,26486
"21093",0.4393,28490
"21095",0.4803,16897
"21097",0.4305,24721
"21099",0.4621,21325
"21101",0.462,25421
"21103",0.4308,25121
"21105",0.4824,21376
"21107",0.4491,25353
"21109",0.4579,20696
"21111",0.477,30037
"21113",0.4942,26535
"21115",0.4966,20366
"21117",0.4485,31531
"21119",0.4677,16110
"21121",0.5115,17050
"21123",0.4218,21713
"21125",0.469,21339
"21127",0.501,19866
"21129",0.5154,16729
"21131",0.4809,18713
"21133",0.4967,18601
"21135",0.5111,20217
"21137",0.4369,21729
"21139",0.4905,24055
"21141",0.444,25850
"21143",0.4459,21800
"21145",0.531,25399
"21147",0.5039,13471
"21149",0.4201,28148
"21151",0.4587,22228
"21153",0.4943,17031
"21155",0.4454,22403
"21157",0.4372,27031
"21159",0.4491,18745
"21161",0.5079,24074
"21163",0.414,30132
"21165",0.4163,22191
"21167",0.4312,26223
"21169",0.4517,20674
"21171",0.5282,20086
"21173",0.439,22352
"21175",0.4619,20190
"21177",0.4299,21246
"21179",0.4828,29392
"21181",0.4552,20978
"21183",0.4957,22238
"21185",0.4321,38703
"21187",0.466,22299
"21189",0.5419,15287
"21191",0.4022,25318
"21193",0.5073,19860
"21195",0.509,20092
"21197",0.4515,20078
"21199",0.4918,20877
"21201",0.4812,25784
"21203",0.4525,20216
"21205",0.4793,18489
"21207",0.4376,20142
"21209",0.4154,31841
"21211",0.4588,29239
"21213",0.4316,26264
"21215",0.3887,36042
"21217",0.4751,19715
"21219",0.4927,25567
"21221",0.4175,26770
"21223",0.4569,25729
"21225",0.4204,23471
"21227",0.4769,24675
"21229",0.4261,24835
"21231",0.4693,18526
"21233",0.4602,21348
"21235",0.493,18208
"21237",0.4718,13713
"21239",0.4313,30752
"22001",0.4787,22095
"22003",0.4686,21799
"22005",0.4212,37199
"22007",0.5025,24395
"22009",0.5055,21195
"22011",0.4683,24802
"22013",0.5024,19763
"22015",0.4399,28901
"22017",0.5192,23537
"22019",0.4663,26193
"22021",0.5328,18400
"22023",0.4234,30819
"22025",0.4745,23268
"22027",0.5074,16355
"22029",0.5174,20620
"22031",0.496,25047
"22033",0.502,27374
"22035",0.6647,17422
"22037",0.4508,23690
"22039",0.483,18797
"22041",0.4891,19990
"22043",0.4357,19852
"22045",0.4588,23751
"22047",0.4686,24560
"22049",0.4806,21048
"22051",0.4698,28639
"22053",0.4974,21245
"22055",0.4883,27918
"22057",0.4605,26478
"22059",0.4774,21170
"22061",0.5385,19312
"22063",0.4258,30965
"22065",0.5051,17411
"22067",0.5129,20856
"22069",0.5486,17441
"22071",0.5706,25461
"22073",0.5067,24547
"22075",0.4699,26982
"22077",0.5055,24394
"22079",0.4761,24201
"22081",0.5457,19456
"22083",0.4893,19321
"22085",0.4888,20572
"22087",0.4376,25423
"22089",0.4316,34099
"22091",0.5066,20443
"22093",0.4477,26928
"22095",0.4534,26903
"22097",0.5146,19509
"22099",0.4643,25313
"22101",0.4598,23877
"22103",0.4642,31040
"22105",0.4627,23519
"22107",0.4785,14775
"22109",0.4691,25342
"22111",0.4849,24240
"22113",0.4433,25239
"22115",0.4419,25695
"22117",0.4773,18139
