RegionType,State,Name,FIPSCode,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
County,GA,Forsyth County,13117,,1.3,1.2,1.2,1.1,1.2,1.3,1.2,1.1,1.1,1,0.9,0.8,0.9,0.8,0.8,0.8,0.6,0.7,0.6,0.7,0.6,0.5,0.6,0.7,0.7,0.8,0.7,0.7,0.5,0.6,0.5,0.6,0.4,0.7,0.7,0.6,0.8,0.8,0.7,0.5,0.4,0.3,0.3,0.3,0.3,0.5,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.2,0.3,0.3
County,GA,Fulton County,13121,,2.4,2.4,2.3,2.2,2.1,2.2,2.1,2,1.9,1.9,2,2,2,1.9,1.7,1.7,1.7,1.6,1.5,1.4,1.4,1.4,1.3,1.4,1.5,1.3,1.3,1.3,1.4,1.3,1.2,1.2,1.2,1.4,1.4,1.4,1.3,1.2,1.2,1.1,1.1,1.2,1.2,1.1,1.1,1,1,1.2,1.1,1,0.8,0.9,1,0.9,1,0.9,0.9,0.9,0.9
County,GA,Gwinnett County,13135,,2.7,2.5,2.4,2.2,2.2,2.1,1.9,1.8,2,1.9,1.9,1.9,1.8,1.8,1.9,1.8,1.9,1.8,1.7,1.6,1.6,1.5,1.6,1.6,1.6,1.4,1.4,1.3,1.3,1.2,1.1,1.1,1.2,1.3,1.3,1.3,1.3,1.2,1.1,1.2,1.2,1.1,1.2,1.1,1,0.9,0.9,1.1,1.1,1,0.8,0.7,0.8,0.8,0.8,0.8,0.7,0.7,0.6
County,GA,Hall County,13139,,1.3,1.4,1.2,1.4,1.4,1.1,1.1,1.3,1.4,1.4,1.4,1.4,1.3,1.3,1.4,1,1.1,0.9,1.2,1.2,1.4,1.4,1.6,1.3,0.9,0.9,0.7,0.8,0.9,0.7,0.6,0.8,0.8,0.9,0.9,0.9,1.1,1,0.7,0.7,0.9,1.1,1.1,1.1,1,0.8,1,1.1,1,0.7,0.6,0.8,0.7,0.6,1,0.8,0.7,0.9,0.8
County,GA,Henry County,13151,,3.4,3,2.9,2.9,3,2.9,3,2.8,3.2,3,3.1,3,2.8,2.4,2,2.1,2.2,2.2,2,2.1,2.1,2.1,2.3,2,2.2,2.1,1.8,1.9,1.7,1.8,2.1,1.9,1.9,1.9,1.9,2.1,1.8,1.7,1.6,1.4,1.9,1.7,1.5,1.6,1.4,1.5,1.6,1.7,1.9,1.5,1.7,1.7,1.5,1.6,1.7,1.7,1.6,1.6,1.6
County,GA,Houston County,13153,,2.3,2.1,2.1,2,1.9,1.7,1.7,1.7,1.5,1.7,1.5,1.5,1.2,1.5,1.5,1.6,1.6,1.5,1.7,1.9,2,1.8,1.4,1.3,1.3,1.3,1.1,1.1,1.1,1.5,1.2,1.1,1.1,1.1,1.1,1.4,1.2,1.1,1,0.7,0.9,0.7,0.8,1.1,0.9,1.1,0.8,1.1,1,1.1,0.7,0.8,0.9,1,0.9,0.8,1,0.8,0.7
County,GA,Muscogee County,13215,,2.9,2.5,2.7,2.4,2.5,2.4,2.5,2.4,2.3,2.6,2.1,2.1,1.9,1.7,1.9,2,2.2,2.1,1.8,1.8,2.1,1.9,1.9,2.1,2.1,2,1.7,1.8,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7,1.6,1.3,1.6,1.7,1.5,1.3,1.3,1.8,1.4,1.5,1.9,1.9,1.7,1.7,1.4,1.2,1.1,0.9,1.1,1.1,1,1.4,1.3
County,GA,Paulding County,13223,,3.6,3.3,3.1,2.8,3,3.1,3.2,2.9,2.4,2.3,2.4,2.3,2.6,2.5,2.1,2.4,2.2,2.2,2.1,2,2.1,2.2,1.9,2,2.3,2.3,2.3,2.3,1.8,1.9,1.7,1.5,2,1.7,1.9,1.8,1.8,1.2,1.3,1.1,1,1.3,1.3,1.1,1.3,1.4,1.3,1.4,1.3,0.8,1.1,1,0.9,1,1,1.3,1.3,0.9,1.1
County,GA,Richmond County,13245,,3.5,3.8,3.7,3.6,3.5,3.7,3.6,3.7,3.1,3.3,3.5,3.3,2.9,2.9,2.5,2.5,2.4,2.5,2,2.5,2.5,2.3,2.8,2.9,3.1,2.9,2.9,2.7,2.5,2.1,2.1,2.1,2.1,1.8,2.1,1.8,1.7,1.8,2.1,2.4,2.6,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.6,1.3,1.4,1.2,1.6,1.5,1.3,1,1.2,1.7,1.6
County,HI,Hawaii County,15001,,3.9,3.4,3.5,3.9,3.6,3.7,3.6,3.6,3.5,3.1,2.8,3.1,2.9,2.8,2.7,2.7,2.5,2.4,2.4,2.4,2.5,2.5,2.2,2.4,2.8,2.5,2.1,2.2,2.1,2.3,2,1.8,1.9,1.6,1.6,1.6,1.8,1.6,1.8,1.5,1.9,1.9,1.8,1.9,1.9,2,1.8,2.1,2.1,2,1.8,1.7,1.8,2,1.9,1.9,2,1.8,1.8
