"","name1","name2","street1","street2","city","state","zip","zip4","category","countyGEOID","countyName","source","geom","Longitude","Latitude"
"63","Preferred Family Healthcare Inc",NA,"2411 West Catalpa Street",NA,"Springfield","MO","65807",NA,"buprenorphine","29077","Greene","SAMHSA",c(-93.321732, 37.193523),-93.321732,37.193523
"64","Eastern Kansas VA Healthcare Systems","Substance Abuse Treatment Team","2200 SW Gage Boulevard",NA,"Topeka","KS","66622",NA,"buprenorphine","20177","Shawnee","SAMHSA",c(-95.7229504, 39.0263036),-95.7229504,39.0263036
"65","DRD Management Inc","BHG Springfield Treatment Center","404 East Battlefield Road",NA,"Springfield","MO","65807",NA,"buprenorphine","29077","Greene","SAMHSA",c(-93.2908727, 37.1596909),-93.2908727,37.1596909
"66","Rightway Medical of Roland",NA,"117 East Ray Fine Boulevard",NA,"Roland","OK","74954",NA,"buprenorphine","40135","Sequoyah","SAMHSA",c(-94.5174447, 35.4050485),-94.5174447,35.4050485
"67","Center for Addictions","Cox Health","1423 North Jefferson Street",NA,"Springfield","MO","65802",NA,"buprenorphine","29077","Greene","SAMHSA",c(-93.289904, 37.22498),-93.289904,37.22498
"68","Kickapoo Tribe of Oklahoma",NA,"105365 South Highway 102",NA,"McLoud","OK","74851",NA,"buprenorphine","40081","Lincoln","SAMHSA",c(-97.0896458, 35.4867367),-97.0896458,35.4867367
"69","Heartland Center for Behavioral Change",NA,"840 South Glenstone Avenue",NA,"Springfield","MO","65802","3364","buprenorphine","29077","Greene","SAMHSA",c(-93.2614217, 37.1987835),-93.2614217,37.1987835
"70","Gateway to Prevention and Recovery",NA,"1010 East 45th Street",NA,"Shawnee","OK","74804",NA,"buprenorphine","40125","Pottawatomie","SAMHSA",c(-96.9101387, 35.3767886),-96.9101387,35.3767886
"71","Compass Health Inc","Pathways Comm Behavioral Hlthcare","1010 Remington Plaza",NA,"Raymore","MO","64083","8640","buprenorphine","29037","Cass","SAMHSA",c(-94.4710041, 38.8132632),-94.4710041,38.8132632
"72","Compass Clinic",NA,"3029 East Sunshine Street","Suite C","Springfield","MO","65804",NA,"buprenorphine","29077","Greene","SAMHSA",c(-93.234096, 37.180588),-93.234096,37.180588
