"","name1","name2","street1","street2","city","state","zip","zip4","category","countyGEOID","countyName","source","geom","Longitude","Latitude"
"7617","ChangePoint Integrated Health","Outpatient Clinic","1015 East 2nd Street",NA,"Winslow","AZ","86047",NA,"naltrexone/vivitrol","04017","Navajo","SAMHSA",c(-110.688326, 35.019624),-110.688326,35.019624
"7618","First Step Recovery of Warren",NA,"2737 Youngstown Warren Road SE",NA,"Warren","OH","44484",NA,"naltrexone/vivitrol","39155","Trumbull","SAMHSA",c(-80.784726, 41.222887),-80.784726,41.222887
"7619","Community Bridges Inc","Winslow SRU","105 North Cottonwood Avenue",NA,"Winslow","AZ","86047",NA,"naltrexone/vivitrol","04017","Navajo","SAMHSA",c(-110.6906188, 35.0198526),-110.6906188,35.0198526
"7620","Community Bridges Inc","Winslow Outpatient Services Center","110 East 2nd Street",NA,"Winslow","AZ","86047",NA,"naltrexone/vivitrol","04017","Navajo","SAMHSA",c(-110.6974711, 35.0234253),-110.6974711,35.0234253
"7621","Winslow Indian Healthcare Center",NA,"500 North Indiana Avenue",NA,"Winslow","AZ","86047",NA,"naltrexone/vivitrol","04017","Navajo","SAMHSA",c(-110.71442, 35.0322353),-110.71442,35.0322353
"7622","New Day Recovery LLC",NA,"960 Boardman Canfield Road",NA,"Youngstown","OH","44512",NA,"naltrexone/vivitrol","39099","Mahoning","SAMHSA",c(-80.6905332, 41.0250557),-80.6905332,41.0250557
"7623","New Day Recovery LLC",NA,"920 Boardman Canfield Road",NA,"Youngstown","OH","44512",NA,"naltrexone/vivitrol","39099","Mahoning","SAMHSA",c(-80.6895149, 41.0251097),-80.6895149,41.0251097
"7624","Northeast Ohio VA Healthcare System","East Liverpool CBOC","15655 State Route 170","Suite A","East Liverpool","OH","43920",NA,"naltrexone/vivitrol","39029","Columbiana","SAMHSA",c(-80.5786489, 40.675418),-80.5786489,40.675418
"7625","Meridian Healthcare","Co Occurring Treatment Program","527 North Meridian Road",NA,"Youngstown","OH","44509",NA,"naltrexone/vivitrol","39099","Mahoning","SAMHSA",c(-80.7101264, 41.1122392),-80.7101264,41.1122392
"7626","Meridian HealthCare",NA,"527 North Meridian Road",NA,"Youngstown","OH","44509",NA,"naltrexone/vivitrol","39099","Mahoning","SAMHSA",c(-80.7101264, 41.1122392),-80.7101264,41.1122392
"7627","Daymark Recovery Services","Rowan Center","2129 Statesville Boulevard",NA,"Salisbury","NC","28147",NA,"naltrexone/vivitrol","37159","Rowan","SAMHSA",c(-80.517454, 35.694869),-80.517454,35.694869
"7628","Columbiana County MH Center","DBA The Counseling Center","15613 Pineview Drive","Suite A","East Liverpool","OH","43920",NA,"naltrexone/vivitrol","39029","Columbiana","SAMHSA",c(-80.5706732, 40.6750602),-80.5706732,40.6750602
"7629","Serenity Center of Youngstown LLC",NA,"8440 Market Street",NA,"Youngstown","OH","44512",NA,"naltrexone/vivitrol","39099","Mahoning","SAMHSA",c(-80.663167, 40.9936642),-80.663167,40.9936642
"7630","Travco Behavioral Health Inc",NA,"8261 Market Street","Suite A","Youngstown","OH","44512","6254","naltrexone/vivitrol","39099","Mahoning","SAMHSA",c(-80.6620563, 40.9986252),-80.6620563,40.9986252
"7631","LRADAC","Detox","2711 Colonial Drive",NA,"Columbia","SC","29203",NA,"naltrexone/vivitrol","45079","Richland","SAMHSA",c(-81.0327391, 34.0222118),-81.0327391,34.0222118
"7632","Salisbury VA Medical Center","Substance Abuse Residential Rehab","1601 Brenner Avenue","Unit 4-4 Building 4","Salisbury","NC","28144",NA,"naltrexone/vivitrol","37159","Rowan","SAMHSA",c(-80.487964, 35.6844373),-80.487964,35.6844373
"7633","Neil Kennedy Recovery Centers",NA,"2151 Rush Boulevard",NA,"Youngstown","OH","44507",NA,"naltrexone/vivitrol","39099","Mahoning","SAMHSA",c(-80.6490361, 41.079363),-80.6490361,41.079363
"7634","Northeast Ohio VA Healthcare System","Youngstown CBOC","2031 Belmont Avenue",NA,"Youngstown","OH","44505",NA,"naltrexone/vivitrol","39099","Mahoning","SAMHSA",c(-80.6637381, 41.127184),-80.6637381,41.127184
"7635","Glenbeigh Outpatient Center","Rock Creek","2863 State Route 45","P.O. Box 298","Rock Creek","OH","44084",NA,"naltrexone/vivitrol","39007","Ashtabula","SAMHSA",c(-80.85994, 41.672489),-80.85994,41.672489
"7636","Pinnacle Treatment Ctr OH VIII",NA,"3622 Belmont Avenue","Suite 21","Youngstown","OH","44505",NA,"naltrexone/vivitrol","39155","Trumbull","SAMHSA",c(-80.6665907, 41.1491465),-80.6665907,41.1491465
"7637","United Summit Center",NA,"120 Medical Park Drive","Suite 402","Bridgeport","WV","26330",NA,"naltrexone/vivitrol","54033","Harrison","SAMHSA",c(-80.2416721, 39.3323198),-80.2416721,39.3323198
"7638","Resources for Human Development",NA,"6383 Tuscarawas Road",NA,"Midland","PA","15059",NA,"naltrexone/vivitrol","42007","Beaver","SAMHSA",c(-80.482934, 40.681115),-80.482934,40.681115
"7639","Wake Forest Baptist Health","Department of Psychiatry","791 Jonestown Road",NA,"Winston Salem","NC","27103",NA,"naltrexone/vivitrol","37067","Forsyth","SAMHSA",c(-80.339756, 36.067377),-80.339756,36.067377
"7640","William Jennings Bryan Dorn","Veterans Affairs Medical Center","6439 Garners Ferry Road",NA,"Columbia","SC","29209",NA,"naltrexone/vivitrol","45079","Richland","SAMHSA",c(-80.9616678, 33.9768636),-80.9616678,33.9768636
"7641","Seneca Health Services Inc",NA,"704 3rd Avenue","Suite A","Marlinton","WV","24954",NA,"naltrexone/vivitrol","54075","Pocahontas","SAMHSA",c(-80.0927801, 38.2239716),-80.0927801,38.2239716
"7642","Novant Health Forsyth Medical Center","Behavioral Health Services","3333 Silas Creek Parkway",NA,"Winston Salem","NC","27103",NA,"naltrexone/vivitrol","37067","Forsyth","SAMHSA",c(-80.2965697, 36.0764435),-80.2965697,36.0764435
"7643","Greenbriar Treatment Center","Lighthouse for Women","1633 Weirich Avenue",NA,"Washington","PA","15301",NA,"naltrexone/vivitrol","42125","Washington","SAMHSA",c(-80.2925162, 40.1578574),-80.2925162,40.1578574
"7644","Saint Illa Center",NA,"3455 Harris Road",NA,"Waycross","GA","31503",NA,"naltrexone/vivitrol","13299","Ware","SAMHSA",c(-82.4055826, 31.2564477),-82.4055826,31.2564477
"7645","Insight Human Services",NA,"665 West 4th Street",NA,"Winston Salem","NC","27101",NA,"naltrexone/vivitrol","37067","Forsyth","SAMHSA",c(-80.2523153, 36.0979455),-80.2523153,36.0979455
"7646","Valley Healthcare System",NA,"448 Leonard Avenue",NA,"Fairmont","WV","26554",NA,"naltrexone/vivitrol","54049","Marion","SAMHSA",c(-80.137049, 39.47331),-80.137049,39.47331
"7647","Signature Health",NA,"4726 Main Avenue",NA,"Ashtabula","OH","44004",NA,"naltrexone/vivitrol","39007","Ashtabula","SAMHSA",c(-80.782315, 41.864009),-80.782315,41.864009
"7648","Wesley Family Services","Washington Office","90 West Chestnut Street","Suite 200, East Wing","Washington","PA","15301","4547","naltrexone/vivitrol","42125","Washington","SAMHSA",c(-80.2473795, 40.171876),-80.2473795,40.171876
"7649","Northwest Human Service Center",NA,"316 2nd Avenue West","P.O. Box 1266","Williston","ND","58802","1266","naltrexone/vivitrol","38105","Williams","SAMHSA",c(-103.6257307, 48.1463923),-103.6257307,48.1463923
"7650","Daymark Recovery Services","Facility Based Crisis/Union County","1408 East Franklin Street",NA,"Monroe","NC","28112",NA,"naltrexone/vivitrol","37179","Union","SAMHSA",c(-80.5228775, 34.9732355),-80.5228775,34.9732355
"7651","Care Center Inc",NA,"75 East Maiden","Suite 100","Washington","PA","15301",NA,"naltrexone/vivitrol","42125","Washington","SAMHSA",c(-80.2429225, 40.1684352),-80.2429225,40.1684352
"7652","Daymark Recovery Services",NA,"650 North Highland Avenue","Suite 100","Winston Salem","NC","27101","4304","naltrexone/vivitrol","37067","Forsyth","SAMHSA",c(-80.2342525, 36.1016302),-80.2342525,36.1016302
"7653","Bay Mills Health Center","Substance Abuse Program","12124 West Lakeshore Drive",NA,"Brimley","MI","49715",NA,"naltrexone/vivitrol","26033","Chippewa","SAMHSA",c(-84.600889, 46.451852),-84.600889,46.451852
"7654","Unison Behavioral Health","Garden Gate","852 Tiffany Lane",NA,"Waycross","GA","31503",NA,"naltrexone/vivitrol","13299","Ware","SAMHSA",c(-82.389572, 31.221331),-82.389572,31.221331
"7655","Center for Emotional Care",NA,"400 East Burwell Street",NA,"Salem","VA","24153","4338","naltrexone/vivitrol","51775","Salem","SAMHSA",c(-80.0528375, 37.291881),-80.0528375,37.291881
"7656","Greenbriar Treatment Center","Waynesburg  LTR","350 Bonar Avenue",NA,"Waynesburg","PA","15370",NA,"naltrexone/vivitrol","42059","Greene","SAMHSA",c(-80.1731205, 39.9005975),-80.1731205,39.9005975
"7657","Greenbriar Treatment Center",NA,"800 Manor Drive",NA,"Washington","PA","15301",NA,"naltrexone/vivitrol","42125","Washington","SAMHSA",c(-80.2203237, 40.1796108),-80.2203237,40.1796108
"7658","Mount Regis Center",NA,"125 Knotbreak Road",NA,"Salem","VA","24153",NA,"naltrexone/vivitrol","51775","Salem","SAMHSA",c(-80.042228, 37.2884905),-80.042228,37.2884905
"7659","Gateway Rehab","Aliquippa Abes Place","100 Moffett Run Road",NA,"Aliquippa","PA","15001",NA,"naltrexone/vivitrol","42007","Beaver","SAMHSA",c(-80.3236173, 40.6349976),-80.3236173,40.6349976
"7660","Community Counseling Ctr of","Ashtabula County","2801 C Court",NA,"Ashtabula","OH","44004",NA,"naltrexone/vivitrol","39007","Ashtabula","SAMHSA",c(-80.7437127, 41.8819278),-80.7437127,41.8819278
"7661","Lake Area Recovery Center","Turning Point","2711 Donohoe Drive",NA,"Ashtabula","OH","44004",NA,"naltrexone/vivitrol","39007","Ashtabula","SAMHSA",c(-80.743695990331, 41.8829488018554),-80.743695990331,41.8829488018554
"7662","Veterans Affairs Medical Center","Substance Abuse Treatment Program","1970 Roanoke Boulevard","Unit 116-A4 (Psychiatry)","Salem","VA","24153",NA,"naltrexone/vivitrol","51775","Salem","SAMHSA",c(-80.019886, 37.27452),-80.019886,37.27452
"7663","Pinnacle Trt Servs of Aliquippa",NA,"400 Woodland Road",NA,"Aliquippa","PA","15001",NA,"naltrexone/vivitrol","42007","Beaver","SAMHSA",c(-80.3051304, 40.6487893),-80.3051304,40.6487893
"7664","Gateway Rehab","The Moffett House","1215 7th Avenue","3rd Floor, Suite 313","Beaver Falls","PA","15010",NA,"naltrexone/vivitrol","42007","Beaver","SAMHSA",c(-80.3198744, 40.753641),-80.3198744,40.753641
"7665","Greenbriar Treatment Center","Lighthouse for Men","1820 Washington Road",NA,"Washington","PA","15301",NA,"naltrexone/vivitrol","42125","Washington","SAMHSA",c(-80.1849438, 40.2242561),-80.1849438,40.2242561
"7666","Cedar Mountain Center at","Cody Regional Health","707 Sheridan Avenue",NA,"Cody","WY","82414",NA,"naltrexone/vivitrol","56029","Park","SAMHSA",c(-109.0737845, 44.5265642),-109.0737845,44.5265642
"7667","West Park Behavioral Health",NA,"424 Yellowstone Avenue","Suite 220","Cody","WY","82414",NA,"naltrexone/vivitrol","56029","Park","SAMHSA",c(-109.0852232, 44.5159975),-109.0852232,44.5159975
"7668","Clear Choices LLC",NA,"373 Cleveland Street",NA,"Rochester","PA","15074",NA,"naltrexone/vivitrol","42007","Beaver","SAMHSA",c(-80.2863744, 40.7120967),-80.2863744,40.7120967
"7669","Valley Healthcare System",NA,"501 North Pike Street",NA,"Grafton","WV","26354",NA,"naltrexone/vivitrol","54091","Taylor","SAMHSA",c(-80.0170116739659, 39.3468619969892),-80.0170116739659,39.3468619969892
"7670","Roanoke Comprehensive Treatment Center",NA,"3208 Hershberger Road",NA,"Roanoke","VA","24017",NA,"naltrexone/vivitrol","51770","Roanoke","SAMHSA",c(-79.9812731, 37.3032873),-79.9812731,37.3032873
"7671","Intercept True North Health Clinic",NA,"5673 Airport Road",NA,"Roanoke","VA","24012",NA,"naltrexone/vivitrol","51161","Roanoke","SAMHSA",c(-79.9609321, 37.3238193),-79.9609321,37.3238193
"7672","Highland House",NA,"312 Highland Avenue",NA,"New Castle","PA","16101",NA,"naltrexone/vivitrol","42073","Lawrence","SAMHSA",c(-80.3442938484254, 41.0042449651332),-80.3442938484254,41.0042449651332
"7673","Five Star Medical Services",NA,"422 Merchant Street",NA,"Ambridge","PA","15003",NA,"naltrexone/vivitrol","42007","Beaver","SAMHSA",c(-80.2253782, 40.5843149),-80.2253782,40.5843149
"7674","Addiction Recovery Care Association",NA,"1931 Union Cross Road",NA,"Winston Salem","NC","27107",NA,"naltrexone/vivitrol","37067","Forsyth","SAMHSA",c(-80.1374697, 36.045338),-80.1374697,36.045338
"7675","Gateway Rehab","Baden","262 Ohio River Boulevard",NA,"Baden","PA","15005",NA,"naltrexone/vivitrol","42007","Beaver","SAMHSA",c(-80.2300194, 40.6318867),-80.2300194,40.6318867
"7676","Outpatient Services","Adult and Family","611 McDowell Avenue",NA,"Roanoke","VA","24016",NA,"naltrexone/vivitrol","51770","Roanoke","SAMHSA",c(-79.9492923, 37.2825806),-79.9492923,37.2825806
"7677","Freedom Healthcare Services",NA,"773 Pershing Street",NA,"Ellwood City","PA","16117",NA,"naltrexone/vivitrol","42073","Lawrence","SAMHSA",c(-80.2742286, 40.8716264),-80.2742286,40.8716264
"7678","Encompass Health Services","Page Outpatient","463 South Lake Powell Boulevard",NA,"Page","AZ","86040",NA,"naltrexone/vivitrol","04005","Coconino","SAMHSA",c(-111.460706, 36.9097528),-111.460706,36.9097528
"7679","Canyonlands Healthcare","Lake Powell Medical Center","467 Vista Avenue",NA,"Page","AZ","86040",NA,"naltrexone/vivitrol","04005","Coconino","SAMHSA",c(-111.4628261, 36.9184035),-111.4628261,36.9184035
"7680","Hiawatha Behavioral Health Authority",NA,"3865 South Mackinac Trail",NA,"Sault Sainte Marie","MI","49783",NA,"naltrexone/vivitrol","26033","Chippewa","SAMHSA",c(-84.3757451, 46.4509389),-84.3757451,46.4509389
"7681","Gateway Rehab","Liberty Station","331 Hickory Grade Road",NA,"Bridgeville","PA","15017",NA,"naltrexone/vivitrol","42003","Allegheny","SAMHSA",c(-80.1286709, 40.3511611),-80.1286709,40.3511611
"7682","Freedom Healthcare Services",NA,"316 Station Street","Suite 100","Bridgeville","PA","15017",NA,"naltrexone/vivitrol","42003","Allegheny","SAMHSA",c(-80.1136434, 40.3585994),-80.1136434,40.3585994
"7683","Valley Healthcare System",NA,"301 Scott Avenue",NA,"Morgantown","WV","26508","8804","naltrexone/vivitrol","54061","Monongalia","SAMHSA",c(-79.9677250289151, 39.5854917311165),-79.9677250289151,39.5854917311165
"7684","Sault Tribe Health and Human Services","Behavioral Health Program","2864 Ashmun Street","3rd Floor","Sault Sainte Marie","MI","49783",NA,"naltrexone/vivitrol","26033","Chippewa","SAMHSA",c(-84.3552259, 46.4670696),-84.3552259,46.4670696
"7685","Great Lakes Recovery Centers Inc","Sault Saint Marie Outpatient Services","2655 Ashmun Street","North Entrance","Sault Sainte Marie","MI","49783",NA,"naltrexone/vivitrol","26033","Chippewa","SAMHSA",c(-84.3534233, 46.4741991),-84.3534233,46.4741991
"7686","Great Lakes Recovery Centers Inc","New Hope House for Women","2655 Ashmun Street","Main Entrance","Sault Sainte Marie","MI","49783",NA,"naltrexone/vivitrol","26033","Chippewa","SAMHSA",c(-84.3538748, 46.4753586),-84.3538748,46.4753586
"7687","Chestnut Ridge Center","WVU Hospitals Inc","930 Chestnut Ridge Road",NA,"Morgantown","WV","26505",NA,"naltrexone/vivitrol","54061","Monongalia","SAMHSA",c(-79.9524254051742, 39.656037339959),-79.9524254051742,39.656037339959
"7688","Kernersville VA Healthcare Center","Outpatient Clinic","1695 Kernersville Medical Parkway",NA,"Kernersville","NC","27284","7159","naltrexone/vivitrol","37067","Forsyth","SAMHSA",c(-80.0492923, 36.0938278),-80.0492923,36.0938278
"7689","LaurelCare Treatment Services",NA,"8 Hattman Road","Upper Level","Coraopolis","PA","15108",NA,"naltrexone/vivitrol","42003","Allegheny","SAMHSA",c(-80.1077434, 40.4811575),-80.1077434,40.4811575
"7690","Great Lakes Recovery Centers Inc","New Hope House for Men","301 East Spruce Street",NA,"Sault Sainte Marie","MI","49783",NA,"naltrexone/vivitrol","26033","Chippewa","SAMHSA",c(-84.3453025510029, 46.4969430767795),-84.3453025510029,46.4969430767795
"7691","Monarch","Behavioral Heath of Stanly","350 Pee Dee Avenue",NA,"Albemarle","NC","28001",NA,"naltrexone/vivitrol","37167","Stanly","SAMHSA",c(-80.1929987, 35.3504975),-80.1929987,35.3504975
"7692","Tri County Commission on","Alcohol and Drug Abuse","910 Cook Road",NA,"Orangeburg","SC","29118",NA,"naltrexone/vivitrol","45075","Orangeburg","SAMHSA",c(-80.820246, 33.533726),-80.820246,33.533726
"7693","Gateway Rehab","Green Tree","1016 Greentree Road","Suite 300","Pittsburgh","PA","15220",NA,"naltrexone/vivitrol","42003","Allegheny","SAMHSA",c(-80.0453582, 40.4160779),-80.0453582,40.4160779
"7694","Alpine Springs Linesville","Alpine Springs Rehab and Recovery","226 West Erie Street",NA,"Linesville","PA","16424",NA,"naltrexone/vivitrol","42039","Crawford","SAMHSA",c(-80.4246162, 41.655934),-80.4246162,41.655934
"7695","Family Services of the Piedmont",NA,"1401 Long Street",NA,"High Point","NC","27262",NA,"naltrexone/vivitrol","37081","Guilford","SAMHSA",c(-80.0205175, 35.9751739),-80.0205175,35.9751739
"7696","Gateway Rehab","North Hills","105 Bradford Road","Suite 100","Wexford","PA","15090","6920","naltrexone/vivitrol","42003","Allegheny","SAMHSA",c(-80.0685532, 40.6429954),-80.0685532,40.6429954
"7697","Mountain Peak Recovery",NA,"14048 South Highway 89",NA,"Spanish Fork","UT","84660",NA,"naltrexone/vivitrol","49049","Utah","SAMHSA",c(-111.507785, 39.9763229),-111.507785,39.9763229
"7698","Jade Wellness Center",NA,"101 North Meadows Drive","Suite 234","Wexford","PA","15090",NA,"naltrexone/vivitrol","42003","Allegheny","SAMHSA",c(-80.0557529, 40.6118104),-80.0557529,40.6118104
"7699","Wasatch County Family Clinic",NA,"55 South 500 East",NA,"Heber City","UT","84032",NA,"naltrexone/vivitrol","49051","Wasatch","SAMHSA",c(-111.4043802, 40.5067904),-111.4043802,40.5067904
"7700","Pittsburgh Mercy","Mercy Behavioral Health","412 East Commons Street",NA,"Pittsburgh","PA","15212",NA,"naltrexone/vivitrol","42003","Allegheny","SAMHSA",c(-80.0023314, 40.4512388),-80.0023314,40.4512388
"7701","Gateway Rehab","Whitehall","470 Streets Run Road","Suite 202","Pittsburgh","PA","15236",NA,"naltrexone/vivitrol","42003","Allegheny","SAMHSA",c(-79.9746531, 40.3453717),-79.9746531,40.3453717
"7702","Jade Wellness Center",NA,"809 Bingham Street",NA,"Pittsburgh","PA","15203",NA,"naltrexone/vivitrol","42003","Allegheny","SAMHSA",c(-79.9903333, 40.4294749),-79.9903333,40.4294749
"7703","Pittsburgh Mercy","Mercy Behavioral Health","330 South 9th Street",NA,"Pittsburgh","PA","15203",NA,"naltrexone/vivitrol","42003","Allegheny","SAMHSA",c(-79.9903998, 40.4302728),-79.9903998,40.4302728
"7704","Pyramid Healthcare Inc",NA,"1401 Forbes Avenue","Suite 200","Pittsburgh","PA","15219",NA,"naltrexone/vivitrol","42003","Allegheny","SAMHSA",c(-79.9859702, 40.4379729),-79.9859702,40.4379729
"7705","Wasatch Crest Recovery Residence","Uinta House","315 Moulton Circle",NA,"Heber City","UT","84032",NA,"naltrexone/vivitrol","49051","Wasatch","SAMHSA",c(-111.4179704, 40.5527978),-111.4179704,40.5527978
"7706","Wasatch Crest Treatment Services",NA,"425 West Moulton Lane",NA,"Heber City","UT","84032",NA,"naltrexone/vivitrol","49051","Wasatch","SAMHSA",c(-111.419013, 40.551266),-111.419013,40.551266
"7707","Gaudenzia Inc","Erie","2012 Centre Avenue",NA,"Pittsburgh","PA","15219",NA,"naltrexone/vivitrol","42003","Allegheny","SAMHSA",c(-79.9797875, 40.4437189),-79.9797875,40.4437189
"7708","White Deer Run","Pittsburgh","2500 Jane Street","2nd Floor","Pittsburgh","PA","15203",NA,"naltrexone/vivitrol","42003","Allegheny","SAMHSA",c(-79.9704143, 40.425896),-79.9704143,40.425896
"7709","VA Pittsburgh Healthcare System","Center for Trt of Addictive Disorders","University Drive","Building 29","Pittsburgh","PA","15240",NA,"naltrexone/vivitrol","42003","Allegheny","SAMHSA",c(-79.9588709, 40.4451056),-79.9588709,40.4451056
"7710","Acqua Recovery",NA,"100 North Johnson Mill Road",NA,"Midway","UT","84049",NA,"naltrexone/vivitrol","49051","Wasatch","SAMHSA",c(-111.452974, 40.5131179),-111.452974,40.5131179
"7711","Charleroi Treatment Services",NA,"15 Arentzen Boulevard",NA,"Charleroi","PA","15022",NA,"naltrexone/vivitrol","42125","Washington","SAMHSA",c(-79.8850783, 40.1250911),-79.8850783,40.1250911
"7712","SPHS Behavioral Health","Mon Valley Drug and Alcohol Prog","2 Eastgate Avenue","Suite 102","Monessen","PA","15062",NA,"naltrexone/vivitrol","42129","Westmoreland","SAMHSA",c(-79.8708767, 40.1599508),-79.8708767,40.1599508
"7713","Maple Mountain Counseling",NA,"727 East 1100 South",NA,"Mapleton","UT","84664",NA,"naltrexone/vivitrol","49049","Utah","SAMHSA",c(-111.5700731, 40.1208549),-111.5700731,40.1208549
"7714","Chateau Recovery",NA,"375 Rainbow Lane",NA,"Midway","UT","84049",NA,"naltrexone/vivitrol","49051","Wasatch","SAMHSA",c(-111.483382, 40.5186246),-111.483382,40.5186246
"7715","Program for Offenders","West Homestead Center (Female)","225 West 7th Avenue",NA,"Homestead","PA","15120",NA,"naltrexone/vivitrol","42003","Allegheny","SAMHSA",c(-79.9154319, 40.4047833),-79.9154319,40.4047833
"7716","Gateway Rehab","Squirrel Hill","5818 Forbes Avenue",NA,"Pittsburgh","PA","15217",NA,"naltrexone/vivitrol","42003","Allegheny","SAMHSA",c(-79.9221655, 40.437784),-79.9221655,40.437784
"7717","Adaptive Behavioral Services Inc",NA,"204 North Highland Avenue","Floor 2","Pittsburgh","PA","15206","3026","naltrexone/vivitrol","42003","Allegheny","SAMHSA",c(-79.9240003, 40.4626421),-79.9240003,40.4626421
"7718","Resources for Human Development","CORE","1800 West Street","3rd Floor","Homestead","PA","15120",NA,"naltrexone/vivitrol","42003","Allegheny","SAMHSA",c(-79.9053777, 40.3998909),-79.9053777,40.3998909
"7719","George Junior Republic",NA,"233 George Junior Road","P.O. Box 1058","Grove City","PA","16127",NA,"naltrexone/vivitrol","42085","Mercer","SAMHSA",c(-80.1106329, 41.1717557),-80.1106329,41.1717557
"7720","POWER House",NA,"7445 Church Street",NA,"Pittsburgh","PA","15218",NA,"naltrexone/vivitrol","42003","Allegheny","SAMHSA",c(-79.8889104, 40.4227739),-79.8889104,40.4227739
"7721","UPMC Western Psychiatric Hospital","Narcotic Addiction Treatment Prog","225 Penn Avenue",NA,"Pittsburgh","PA","15221",NA,"naltrexone/vivitrol","42003","Allegheny","SAMHSA",c(-79.8919462, 40.4468129),-79.8919462,40.4468129
"7722","Mon Yough Community Services","Addiction Trt and Intervention Servs","335 Shaw Avenue",NA,"McKeesport","PA","15132",NA,"naltrexone/vivitrol","42003","Allegheny","SAMHSA",c(-79.8631521, 40.3496716),-79.8631521,40.3496716
"7723","Waypoint Recovery Center","Residential Location","499 Wild Hearts Road",NA,"Cameron","SC","29030",NA,"naltrexone/vivitrol","45075","Orangeburg","SAMHSA",c(-80.6812494, 33.4791285),-80.6812494,33.4791285
"7724","Ready 4 Change Inc",NA,"5 Centerview Drive","Suite 101","Greensboro","NC","27407",NA,"naltrexone/vivitrol","37081","Guilford","SAMHSA",c(-79.8404951, 36.048923),-79.8404951,36.048923
"7725","Gateway Rehab","CeCes Place","426 George Street",NA,"Braddock","PA","15104","1606","naltrexone/vivitrol","42003","Allegheny","SAMHSA",c(-79.8636637, 40.4007979),-79.8636637,40.4007979
"7726","Valley Behavioral Health","Summit County Unit","1753 Sidewinder Drive","Suite 200","Park City","UT","84060",NA,"naltrexone/vivitrol","49043","Summit","SAMHSA",c(-111.49871, 40.662794),-111.49871,40.662794
"7727","Community Health Associates",NA,"1701 North Douglas Avenue",NA,"Douglas","AZ","85607",NA,"naltrexone/vivitrol","04003","Cochise","SAMHSA",c(-109.5626201, 31.3522011),-109.5626201,31.3522011
"7728","Upmc Mckeesport Hosptial",NA,"1500 Fifth Avenue",NA,"McKeesport","PA","15132",NA,"naltrexone/vivitrol","42003","Allegheny","SAMHSA",c(-79.8490186, 40.3510349),-79.8490186,40.3510349
"7729","Fayette County Drug and","Alcohol Commission Inc/SCA","100 New Salem Road","Suite 106","Uniontown","PA","15401",NA,"naltrexone/vivitrol","42051","Fayette","SAMHSA",c(-79.759887, 39.909532),-79.759887,39.909532
"7730","Cedar Psychiatry",NA,"672 West 400 South","Suite 201","Springville","UT","84663",NA,"naltrexone/vivitrol","49049","Utah","SAMHSA",c(-111.6226142, 40.1616154),-111.6226142,40.1616154
"7731","Gateway Rehab","Fox Chapel","1360 Old Freeport Road","Suites 3-A and 3-B","Pittsburgh","PA","15238","4102","naltrexone/vivitrol","42003","Allegheny","SAMHSA",c(-79.8744239, 40.4882375),-79.8744239,40.4882375
"7732","Life Balance",NA,"1291 Expressway Lane",NA,"Spanish Fork","UT","84660","1333","naltrexone/vivitrol","49049","Utah","SAMHSA",c(-111.6325822, 40.123019),-111.6325822,40.123019
"7733","New Vision Therapy PLLC",NA,"810 Warren Street",NA,"Greensboro","NC","27403",NA,"naltrexone/vivitrol","37081","Guilford","SAMHSA",c(-79.8193719, 36.0631039),-79.8193719,36.0631039
"7734","Triad Behavioral Resources","Suboxone Treatment","810 Warren Street",NA,"Greensboro","NC","27403",NA,"naltrexone/vivitrol","37081","Guilford","SAMHSA",c(-79.8193719, 36.0631039),-79.8193719,36.0631039
"7735","Greenfield Counseling Services",NA,"11127 Perry Highway",NA,"Meadville","PA","16335",NA,"naltrexone/vivitrol","42039","Crawford","SAMHSA",c(-80.2024293, 41.6190597),-80.2024293,41.6190597
"7736","Daymark Recovery Services",NA,"405 NC 65",NA,"Wentworth","NC","27375",NA,"naltrexone/vivitrol","37157","Rockingham","SAMHSA",c(-79.75262582, 36.39123091),-79.75262582,36.39123091
"7737","Wellness Recovery LLC",NA,"9 Veech Street",NA,"Uniontown","PA","15401",NA,"naltrexone/vivitrol","42051","Fayette","SAMHSA",c(-79.7356498, 39.8990811),-79.7356498,39.8990811
"7738","Alcohol and Drug Services","(ADS) East","1101 Carolina Street",NA,"Greensboro","NC","27401",NA,"naltrexone/vivitrol","37081","Guilford","SAMHSA",c(-79.7909345, 36.0888157),-79.7909345,36.0888157
"7739","Utah County Dept of Drug and Alcohol","Foothill Residential Treatment Center","3285 North Main Street",NA,"Spanish Fork","UT","84660",NA,"naltrexone/vivitrol","49049","Utah","SAMHSA",c(-111.6569818, 40.1605717),-111.6569818,40.1605717
"7740","Ringer Centers Inc",NA,"213 East Bessemer Avenue",NA,"Greensboro","NC","27401",NA,"naltrexone/vivitrol","37081","Guilford","SAMHSA",c(-79.786988, 36.0865446),-79.786988,36.0865446
"7741","Family Services of the Piedmont",NA,"315 East Washington Street",NA,"Greensboro","NC","27401",NA,"naltrexone/vivitrol","37081","Guilford","SAMHSA",c(-79.7855386, 36.0702241),-79.7855386,36.0702241
"7742","Gateway Rehab","Monroeville","777 Penn Center Boulevard","Penn Center East Building 7, Suite 111","Pittsburgh","PA","15235",NA,"naltrexone/vivitrol","42003","Allegheny","SAMHSA",c(-79.8113764, 40.4257705),-79.8113764,40.4257705
