"STATEFP","TotPop","TotUnits","Age18_64","Age0_4","Age5_14","Age15_19","Age20_24","Age15_44","Age45_49","Age50_54","Age55_59","Age60_64","AgeOv65","Age15_24P","Und45P","Ovr65P","WhiteP","BlackP","HispP","AmIndP","AsianP","PacIsP","OtherP","NoHsp","ChildrenP","PovP","UnempP","OccP","VacantP"
"27",4919479,2065946,3038319,329594,730889,374362,322483,2194165,364247,301449,226857,178012,594266,14.17,66.16,12.08,89.44,3.49,2.91,1.12,2.89,0.04,1677148.37,12.05,26.16,7.94,4.06,91.73,8.27
"28",2844658,1161953,1725948,204364,435662,233188,212947,1253305,192111,169870,132202,113621,343523,15.68,66.56,12.08,61.38,36.34,1.39,0.41,0.65,0.02,106876.31,27.14,27.25,19.93,7.4,90.06,9.94
"29",5595211,2442017,3412140,369898,810978,413296,369498,2409096,395616,346846,279073,228325,755379,13.99,64.16,13.5,84.86,11.25,2.12,0.45,1.1,0.06,879093.4,18.68,25.52,11.74,5.3,89.87,10.13
"30",902195,412633,551184,54869,131261,71310,58379,374909,73398,61690,47174,37945,120949,14.37,62.19,13.41,90.58,0.3,2,6.21,0.52,0.05,149992.94,12.84,25.5,14.61,6.31,86.92,13.08
"31",1711263,722668,1028826,117048,252379,134909,120331,742347,122714,103040,77584,63956,232195,14.92,64.97,13.57,89.6,4,5.52,0.87,1.28,0.05,880387.3,13.42,26.31,9.71,3.55,92.18,7.82
"32",1998257,827457,1267529,145817,288515,127169,130006,885747,140214,128836,105057,85142,218929,12.87,66.06,10.96,75.16,6.78,19.71,1.32,4.52,0.42,13272549.17,19.34,25.61,10.48,6.22,90.78,9.22
"33",1235786,547024,778254,75685,181792,86688,68766,536694,98117,85869,62664,46995,147970,12.58,64.26,11.97,96.04,0.73,1.66,0.24,1.29,0.03,439485.59,12.59,25.05,6.55,3.77,86.76,13.24
"34",8398015,3310275,5204608,562745,1192891,524288,479319,3623410,610288,546538,422516,329920,1109704,11.95,64.05,13.21,72.51,13.59,13.29,0.23,5.72,0.04,4567059.17,17.93,24.81,8.5,5.8,92.58,7.42
"35",1819046,780579,1098247,130628,288480,145751,121291,783142,131000,114819,87140,71612,212225,14.68,66.09,11.67,66.75,1.89,42.08,9.54,1.06,0.08,4671605,21.15,27.96,18.44,7.33,86.85,13.15
"36",18967702,7679307,11832354,1238856,2683175,1287003,1243686,8359410,1340543,1211264,931593,755619,2447241,13.34,64.75,12.9,67.96,15.88,15.11,0.44,5.5,0.05,16508140.53,20.94,24.72,14.59,7.09,91.9,8.1
"37",8049313,3523944,5116218,539509,1113920,539931,577508,3617974,570411,514739,400207,323505,969048,13.88,65.49,12.04,72.11,21.59,4.71,1.24,1.41,0.05,927873.05,21.86,24.4,12.28,5.32,88.88,11.12
"38",642200,289677,386873,39400,90446,53618,50503,279012,47436,37995,28926,24507,94478,16.21,63.67,14.71,92.37,0.61,1.21,4.88,0.56,0.04,87090.54,16.14,25.05,11.86,4.6,88.77,11.23
"39",11353140,4783051,6957044,754930,1644157,816868,728928,4871006,834831,731553,553174,455732,1507757,13.62,64.04,13.28,84.96,11.46,1.91,0.22,1.17,0.02,1331912.38,17.03,25.44,10.6,4.97,92.95,7.05
"40",3450654,1514400,2102344,236353,496554,269373,247165,1491707,240805,212956,173199,143130,455950,14.97,64.47,13.21,76.17,7.56,5.2,7.92,1.35,0.07,1959787.41,19.39,25.86,14.72,5.32,88.64,11.36
"41",3421399,1452709,2136696,223005,476572,244427,230406,1472102,271315,235840,173008,131380,438177,13.88,63.47,12.81,86.56,1.63,8.05,1.32,2.96,0.23,2476053.81,14.87,24.74,11.61,6.47,91.81,8.19
"42",12281054,5249750,7439668,727804,1691794,850986,746086,5105634,908650,796382,619969,511656,1919165,13,61.28,15.63,85.37,9.97,3.21,0.15,1.79,0.03,2106069.76,18.1,23.79,10.98,5.66,91,9
"44",1042697,439837,644547,63570,142536,75095,71488,455540,74996,66013,49667,38780,151594,14.06,63.46,14.54,84.97,4.48,8.69,0.49,2.26,0.05,4425668.55,22.09,23.65,11.93,5.63,92.86,7.14
"45",4012012,1753670,2517038,264679,575722,295377,281714,1763046,287778,262543,206762,166149,485333,14.38,64.89,12.1,67.19,29.54,2.37,0.34,0.9,0.04,396494.68,23.66,25.17,14.11,5.86,87.47,12.53
"46",754844,323208,444064,51069,113949,62463,52802,321664,53865,43817,33611,28738,108131,15.27,64.47,14.32,88.68,0.62,1.44,8.25,0.58,0.03,126557.9,15.43,26.85,13.18,4.4,89.8,10.2
"47",5689283,2439443,3587451,374880,790968,395184,386345,2499957,412704,374212,293942,239309,703311,13.74,64.43,12.36,80.21,16.4,2.18,0.27,1,0.04,738647.11,24.08,24.58,13.48,5.48,91.53,8.47
"48",20847260,8157575,12890004,1624201,3284526,1635827,1539080,9658002,1415913,1194731,896350,701514,2072024,15.23,69.87,9.94,70.97,11.53,31.98,0.57,2.7,0.07,18917613.48,24.35,28.23,15.37,6.07,90.63,9.37
"49",2233169,768594,1324249,209378,385321,216278,225152,1068030,131665,106045,80053,62455,190222,19.77,74.46,8.52,89.24,0.79,9.03,1.33,1.66,0.68,3980985,12.27,32.18,9.4,4.97,91.24,8.76
"50",608827,294382,383794,33989,86498,45770,37852,260078,50107,43725,32603,24317,77510,13.73,62.51,12.73,96.78,0.5,0.9,0.4,0.86,0.02,105053.99,13.58,24.23,9.44,4.23,81.74,18.26
"51",7073990,2904192,4545126,461695,990245,483726,480374,3200368,525866,472708,358196,272992,791920,13.63,65.77,11.19,72.33,19.65,4.66,0.3,3.69,0.06,1603793.25,18.53,24.55,9.59,4.24,92.94,7.06
"53",5894121,2451075,3718130,394306,860745,427968,390185,2634370,454223,391749,285505,211075,662148,13.88,65.99,11.23,81.81,3.23,7.49,1.58,5.47,0.41,5405654.42,12.92,25.68,10.62,6.25,92.67,7.33
"54",1808344,844623,1129056,101805,227332,125578,120109,747030,141229,129237,98916,85900,276895,13.59,59.51,15.31,95.05,3.16,0.68,0.2,0.52,0.02,81286.76,24.79,22.25,17.9,7.34,87.2,12.8
"55",5363675,2321144,3292366,342340,782558,407195,357292,2346177,397693,334613,252742,204999,702553,14.25,64.71,13.1,88.93,5.68,3.6,0.88,1.65,0.03,1390451.48,14.91,25.52,8.66,4.68,89.81,10.19
"56",493782,223854,307216,30940,72503,41903,33455,213977,40701,33378,24935,19655,57693,15.26,64.28,11.68,92.08,0.75,6.41,2.25,0.56,0.06,189292.34,12.14,26.1,11.42,5.29,86.49,13.51
