,State,GEOID,population,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01
10,GA,13,10297484,0.0,41.35961755318096,249.7309051414889,429.71661815643506,761.8074473337372,1674.7488998283466,2467.243454808961,2921.364092432676,3349.526932986737,3939.214666417544,5344.723041084599
11,HI,15,1422029,0.0,16.736648830649727,42.82613083136841,45.0764365564978,63.92274700445631,152.8801452009769,606.7386811380078,877.7598769082769,1060.1049626976662,1248.2867789616105,1312.5611362356185
12,IA,19,3132499,0.0,17.494019950205892,249.44940126078254,628.2523952920658,934.940442119854,1434.3500189465344,2087.247274460423,2860.5914957993605,4156.393984483315,7348.956855213681,8992.373181922803
13,ID,16,1687809,0.0,39.04470233302465,120.51126638144484,172.11663168048042,377.3531246722822,1250.6154428611294,1917.5155482640512,2521.493842016484,3856.360524206235,6120.420023829711,8358.350974547475
14,IL,17,12821497,0.023398203813486056,54.24483584093184,434.3174591859282,943.8913412372984,1122.8174057990263,1407.1211809354245,1844.051439547192,2303.5297672338884,3253.941407933879,5761.0121501412805,7512.578289415035
15,IN,18,6637426,0.0,38.62943255412565,280.66602927098546,524.6009522366048,692.3165697063891,1011.265511660695,1464.1820488846124,1863.3880061337036,2785.4623162653716,5233.670401749112,7849.835162004066
16,KS,20,2908776,0.0,16.57054376136217,152.84779577389253,345.5749084838434,517.8466819033159,963.3605337777817,1486.6390536775607,2090.5356754868712,2983.1791791461424,5510.668404854825,7913.259735366352
17,KY,21,4440204,0.0,13.355242236617956,108.28331310903734,225.5977428064116,356.6953230076817,691.9276681882184,1107.7193750557408,1570.3107334708045,2446.6443433680074,4125.125782509092,5974.072362441005
18,LA,22,4663616,0.0,137.08246991175946,614.1371845366342,862.7854437415087,1290.307778341956,2493.129794562845,3188.427177537773,3584.836315854479,3923.629218186061,5166.420219846574,6751.520708394517
19,MA,25,6830193,0.01464087471613174,109.61622899967834,935.3469221147923,1470.8369148573108,1592.8832464909851,1723.7726664532024,1863.373406871519,2022.5050741611549,2419.1995745947447,3373.257534596753,4971.836081352313
20,MD,24,6003435,0.0,33.06440396206505,390.85956623166567,888.2581388821567,1131.3189865468685,1488.5644635113065,1813.3451932102207,2090.636443969161,2434.356331000502,3350.33193496723,4667.644440224638
21,ME,23,1332813,0.0,25.284867419510466,84.10782307795617,175.86863273392441,249.2472687466284,295.24021749487736,341.2331662431264,407.25893279852477,503.5214992650882,915.132130313855,1866.6534615133553
22,MI,26,9957488,0.0,91.66970625523224,408.3258749596284,536.3300462927999,670.3899618056281,872.7502358024434,1086.4888815331738,1335.6882780074654,1906.1433968085125,3825.573277115674,5069.662147722397
23,MN,27,5527358,0.0,12.42908456445195,103.32241913767844,454.39430556153593,662.7940509733584,996.1359477710687,1378.4343261283234,1809.833920654316,2775.014753884225,5824.066398449313,7505.538812575555
24,MO,29,6090062,0.0,25.911066258438748,128.0118330486619,218.65130437095715,359.6515109369986,841.4528456360542,1407.851020235919,2100.3234449829897,3090.017802774422,5014.234666248061,6523.72668783996
25,MS,28,2988762,0.0,35.53310701889277,241.20354849265343,526.23795404251,933.4968793098947,2003.5385888873047,2796.609432266604,3308.5605344286364,4043.915172904367,5166.386617602874,7306.904999461315
26,MT,30,1041732,0.0,20.83069349890375,43.38927862444468,50.20485115173575,97.52988292574292,391.7514293503512,720.8187902454757,1295.918719977883,3211.574570042967,6067.203464998675,7828.596990396762
27,NC,37,10155624,0.0,15.557882016900196,107.4970873281642,288.0177525280574,654.7603574137837,1219.787183928826,1668.2775967286698,2096.326134169599,2666.4240424812892,3630.5105427298213,5290.979658167729
28,ND,38,752201,0.0,19.542648839871266,147.16811065127536,348.84292895117136,480.58962963356873,877.6909363321773,1595.3182726425516,2953.731781797685,5838.3331051141895,10653.402481517573,12332.740849852631
29,NE,31,1904760,0.0,10.552510552510553,250.89775089775088,741.7732417732417,1004.5360045360044,1368.4663684663685,1807.9443079443079,2408.072408072408,3734.5912345912348,6686.4066864066845,8738.896238896239
30,NH,33,1343622,0.0,21.657876992189767,170.80696803118738,348.16339714592345,431.74345165530167,492.1771152898657,542.9354386873689,618.7007953129672,831.9304089989595,1587.8721842899267,3211.096573292192
31,NJ,34,8881845,0.0,199.7670529039856,1357.9048046886655,1802.0467594289248,1928.4844533990408,2042.0644584542965,2161.4202904914464,2314.2826743767764,2691.085016682908,3839.708979384351,5976.078168443606
32,NM,35,2092434,0.0,17.300426202212353,167.89060013362428,361.7796308031699,543.2907322285912,933.4105639652196,1153.632563798906,1351.5360580070865,2172.0159393318977,4625.378864996459,6727.715187193479
33,NV,32,2922849,0.0,39.58466550957645,173.01612228342964,297.278443053336,653.5062194454794,1678.9782845436084,2368.510997318028,2748.9617150937324,3445.3028534830232,5235.987216582177,7621.194252593958
34,NY,36,19618453,0.0,418.47336280796446,1571.5510290235422,1894.7008716742346,2009.2257019450005,2119.2649593726887,2219.8998055555144,2344.8892733795064,2598.242583143533,3340.04419206754,5049.8935874301615
35,OH,39,11641879,0.0,21.869321953956057,160.93622000366094,309.0308703603602,454.09336413821165,790.9977418593683,1070.3598620119656,1334.088766942175,1881.1396339027408,3694.3606783750292,6016.039163437447
36,OK,40,3918137,0.0,18.35055793097587,95.65770671112315,166.53322739863358,360.1711731876655,962.345114527644,1514.4697594800793,2255.000271812854,3167.500268622562,5089.740353642561,7419.342406863262
37,OR,41,4081943,0.0244981372841316,18.006130903836727,63.15619791849128,105.36648845905,218.79286408457926,461.2264306483456,660.1268072582102,829.5069284406958,1112.9258786808143,1877.880215377824,2790.558319898147
38,PA,42,12791181,0.0,45.3828305611499,367.1904885092315,565.0768291059285,682.0480454463117,882.920818648411,1053.8119975004654,1251.8234242795875,1641.2557996013034,2870.2588134746893,5066.1936532678255
40,RI,44,1056611,0.0946422098577433,48.93002249645328,743.6984850621468,1237.0683250505624,1441.3062139235724,1632.0102667869253,1874.767535072037,2147.7156683017693,2693.233365921801,4338.777468718384,7413.040371527459
41,SC,45,4955925,0.0,26.08998320192497,126.19238588154585,245.0198499775521,762.9050076423674,1817.5416294637228,2418.23675701307,2992.7611898888704,3592.1044002885437,4417.177418948027,6204.835626043574
42,SD,46,864289,0.0,14.92556309290064,291.9162456076613,581.8655565441653,789.7821214894554,1025.929984067829,1590.7873408084565,2676.766683366328,5475.136210225977,9361.683418393615,11455.658928899942
43,TN,47,6651089,0.0,30.01012315426842,174.37745908978215,344.8908892964746,659.2303906924112,1542.1083675169587,2254.157176366156,2877.092758794838,3832.996370970227,5513.5783027411,8355.443747632906
44,TX,48,27885195,0.0,15.305612888846571,104.39948510311658,232.63599196634632,602.6925757557012,1569.7469571218703,2245.1304357025297,2736.068368896111,3289.9752001017027,4292.697253865357,6356.2295332702515
45,UT,49,3045350,0.0,33.033969822844675,158.6681333836833,328.8620355624148,748.8794391449259,1335.642865352094,1720.1963649498416,2430.2296944521977,3816.0474165531054,6502.405306450819,9069.565074621964
46,VA,51,8437639,0.0,17.564155091252424,200.35225493766686,537.994100008308,749.0602525185068,1076.1422715525039,1441.339218233916,1762.5665189041626,2161.505131945085,2844.907206862015,4204.505549478948
47,VT,50,624977,0.0,48.961801794306034,140.00515218960058,156.48575867591927,192.6470894128904,226.08832005017783,260.32958012854874,279.5302867145511,350.0928834181098,676.9849130448,1184.5235904681292
48,WA,53,7294336,0.15080193728394195,76.66222120834577,199.56580009475846,300.24665713232844,456.0250583466405,785.856313720673,1023.6161317493463,1203.4817151280115,1479.9016661694773,2285.73238194676,3362.3759585519506
49,WI,55,5778394,0.0,26.80675634094872,126.55765598538281,320.81578376275485,505.31341407318365,934.5503266132423,1325.3509539155687,2286.500366710889,4178.012091248885,7205.548808198264,9042.702868651739
50,WV,54,1829054,0.0,10.333210501166176,62.92870522138767,109.83820051239604,160.3014454466626,368.2231361129852,574.4499615648308,876.0812966703006,1360.211344224938,2669.0846743726543,3893.5427822251286
51,WY,56,581836,0.0,23.54615389903684,72.01341958902509,156.40146020528118,260.72639025429845,475.90730033892714,664.4484012677111,1045.4836070645338,2300.1326834365696,5810.056442021462,7632.563127754212
