"GEOID","bupTimeWalk","bupCountWalk60","bupCountWalk30","metTimeWalk","metCountWalk60","metCountWalk30","nalTimeWalk","nalCountWalk60","nalCountWalk30"
1757,0,11,11,0,1,1,0,3,3
1760,0,7,7,84.79,0,0,0,1,1
1770,0,1,1,90.23,0,0,87.14,0,0
1772,0,1,1,122.28,0,0,122.28,0,0
1773,0,1,1,92.14,0,0,92.14,0,0
1776,0,4,4,155.76,0,0,107.99,0,0
1778,0,2,2,123.3,0,0,86.79,0,0
1801,0,16,14,0,1,1,0,4,4
1803,0,14,14,61.02,0,0,0,1,1
1810,0,4,4,97.11,0,0,66.09,0,0
1821,0,1,1,95.98,0,0,85.47,0,0
1824,0,6,6,68.28,0,0,0,1,1
1826,51.25,9,0,77,0,0,51.25,1,0
1830,0,12,12,0,1,1,0,3,3
1832,50.31,12,0,50.31,1,0,50.31,3,0
1833,0,1,1,149.23,0,0,149.23,0,0
1835,49.62,12,0,49.62,1,0,49.62,3,0
1840,0,75,66,9.71,1,1,0,6,6
1841,0,75,50,0,1,1,9.71,6,2
1843,0,66,25,33.11,1,0,0,6,6
1844,0,59,9,32.7,1,0,38.12,2,0
1845,0,12,12,84.26,0,0,74.26,0,0
1850,34.57,40,0,51.5,1,0,34.57,8,0
1851,0,40,5,0,1,1,0,8,1
1852,0,40,26,41.28,1,0,0,8,6
1854,0,40,9,37.38,1,0,0,8,1
1862,0,6,6,96.64,0,0,89.92,0,0
1864,0,1,1,174.28,0,0,114.24,0,0
1867,0,3,3,87.41,0,0,66.15,0,0
1876,0,8,8,0,2,2,0,2,2
1879,0,1,1,118.69,0,0,117.27,0,0
1880,0,8,3,85.35,0,0,42.53,1,0
1887,0,1,1,86.66,0,0,0,1,1
1890,0,25,2,55.33,1,0,55.33,5,0
1901,0,60,48,30.42,1,0,0,11,9
1902,0,60,48,37.33,1,0,0,11,9
1904,0,57,7,39.62,1,0,0,11,1
1905,0,57,2,0,2,1,0,12,1
1906,43.66,2,0,0,2,1,0,2,1
1907,0,51,3,76.85,0,0,43.07,9,0
1908,0,1,1,94.36,0,0,65.71,0,0
1913,0,2,2,182.09,0,0,182.09,0,0
1915,0,18,18,81.51,0,0,73.7,0,0
1921,0,1,1,184.03,0,0,184.03,0,0
1922,0,1,1,200.44,0,0,200.44,0,0
1923,0,4,4,0,4,4,0,5,5
1930,0,4,4,0,1,1,0,2,2
1937,37.82,7,0,55.69,4,0,55.69,5,0
1938,0,1,1,219.57,0,0,219.57,0,0
1940,0,2,2,105.77,0,0,0,1,1
1945,0,5,5,127.33,0,0,63.91,0,0
1949,0,3,3,83.23,0,0,83.23,0,0
1950,0,5,5,222.16,0,0,222.16,0,0
1951,59.1,5,0,278.8,0,0,278.8,0,0
1960,0,15,15,0,1,1,0,1,1
1969,0,1,1,213.5,0,0,213.5,0,0
1970,0,53,53,72.81,0,0,0,1,1
1982,0,4,4,130,0,0,130,0,0
1984,41.82,4,0,102.93,0,0,102.93,0,0
2021,0,6,6,67.72,0,0,0,2,2
2025,0,1,1,181.95,0,0,111.33,0,0
2026,0,7,4,142.88,0,0,56.53,1,0
2032,43.72,23,0,145.05,0,0,43.72,2,0
2035,0,4,4,189.63,0,0,122.43,0,0
2038,0,3,3,176.97,0,0,0,1,1
2043,0,4,1,92.92,0,0,54.19,2,0
2047,53.09,1,0,NA,0,0,171.78,0,0
2048,0,3,3,199.95,0,0,85.56,0,0
2050,0,1,1,NA,0,0,184.83,0,0
2054,0,1,1,183.53,0,0,85.69,0,0
2056,0,6,6,234.17,0,0,0,1,1
2061,0,11,11,154.4,0,0,0,2,2
2062,0,15,15,148.98,0,0,0,1,1
2067,0,4,4,86.57,0,0,86.57,0,0
2071,0,1,1,NA,0,0,66.07,0,0
2072,0,3,3,0,1,1,0,6,6
2081,0,8,8,173.71,0,0,0,1,1
2090,44.72,15,0,181.48,0,0,44.72,1,0
2108,8.33,563,304,8.33,5,4,8.33,21,9
2109,0,522,172,16.67,4,1,8.69,16,3
2110,0,522,173,18.07,4,1,0,16,5
2111,0,558,305,18.09,5,4,14.49,22,9
2113,0,533,172,15.1,4,1,11.35,16,3
2114,0,538,187,0,4,1,0,17,5
2115,0,594,282,24.57,6,3,0,27,9
2116,0,563,395,16.22,6,4,0,22,10
2118,0,588,289,0,6,4,0,25,12
2119,0,431,163,0,5,4,0,29,9
2120,0,575,294,22.8,6,4,0,24,11
2121,0,329,27,24.86,4,1,24.86,23,4
2122,0,90,32,50.72,1,0,0,19,8
2124,0,67,26,55.32,1,0,0,14,7
2125,0,335,21,31.9,4,0,0,22,5
2126,0,40,3,71.07,0,0,0,10,2
2127,0,474,12,37.46,5,0,0,24,2
2128,0,207,16,37.4,2,0,0,8,3
2129,0,253,150,29.42,1,1,29.42,6,2
2130,0,360,35,35.02,5,0,0,18,3
2131,0,45,4,72.31,0,0,0,7,1
2132,0,11,3,104.24,0,0,0,2,1
2134,0,257,38,19.36,2,2,0,14,11
2135,0,154,17,0,2,1,0,15,8
2136,43.52,14,0,107.28,0,0,43.52,4,0
2138,0,145,65,30.8,2,0,39.81,8,0
2139,0,582,68,40.37,7,0,31.8,25,0
2140,0,127,7,0,2,1,15.52,6,2
2141,0,540,189,29.53,5,1,29.53,14,2
2142,13.01,556,179,19.93,5,1,19.93,17,2
2143,0,244,14,34.08,2,0,35.83,6,0
2144,0,103,7,15.52,1,1,0,3,2
2145,20.25,244,11,48.49,2,0,35.08,4,0
2148,0,36,13,63.64,0,0,33.56,1,0
2149,0,55,10,35.06,1,0,0,1,1
2150,0,51,20,0,1,1,35.06,4,0
2151,0,25,5,49.04,1,0,62.49,0,0
2152,58.39,16,0,87.24,0,0,58.39,3,0
2155,0,48,8,48.03,1,0,33.97,3,0
2163,18.09,394,67,44.02,4,0,25.59,18,2
2169,0,46,26,0,1,1,0,13,9
2170,26.62,58,17,34.58,1,0,26.62,16,3
2171,0,58,17,59.17,1,0,0,16,3
2176,0,23,5,64.97,0,0,56.96,1,0
2180,0,13,5,65.79,0,0,0,1,1
2184,0,35,3,54.4,2,0,0,12,1
2186,0,19,5,94.03,0,0,37.52,5,0
2188,0,57,6,0,3,1,0,9,2
2189,0,10,3,38.73,1,0,0,4,2
2190,0,51,45,0,3,2,0,6,4
2191,51.34,29,0,59.21,1,0,51.34,11,0
2199,0,565,300,17.81,6,3,9.4,24,9
2203,0,538,185,11.81,4,1,8.36,17,5
2210,0,353,39,36.19,4,0,21.44,15,3
2215,0,612,159,21.52,7,1,0,30,6
2301,0,64,53,0,1,1,0,12,11
2302,0,64,11,37.22,1,0,0,12,1
2324,0,3,3,164.87,0,0,164.87,0,0
2332,0,1,1,NA,0,0,209.4,0,0
2333,0,2,2,135.51,0,0,120.71,0,0
2339,0,2,2,139.55,0,0,0,1,1
2346,0,2,2,267.5,0,0,267.5,0,0
2347,0,2,2,201.14,0,0,201.14,0,0
2351,0,1,1,85.88,0,0,0,1,1
2356,0,2,2,100.1,0,0,100.1,0,0
2357,54.5,2,0,69.35,0,0,69.35,0,0
2359,0,5,5,NA,0,0,131.32,0,0
2360,0,26,26,240.08,0,0,0,8,8
2366,0,2,2,200.24,0,0,82.95,0,0
2368,0,2,2,95.24,0,0,0,1,1
2370,51.87,1,0,95.27,0,0,51.87,1,0
2375,0,1,1,133.84,0,0,133.84,0,0
2420,0,5,3,86.08,0,0,84.09,0,0
2421,0,5,2,66.88,0,0,66.88,0,0
2445,0,295,26,19,3,1,19,21,3
2446,0,450,64,0,6,1,0,27,6
2451,0,15,7,0,1,1,0,3,3
2452,0,15,1,36.24,1,0,36.24,3,0
2453,0,24,7,41.86,1,0,41.86,3,0
2457,40.65,26,0,159.11,0,0,45.8,1,0
2458,0,75,21,43.29,2,0,29.57,12,3
2459,0,26,6,68.19,0,0,68.19,0,0
2460,0,41,7,63.04,0,0,43.15,3,0
2461,0,29,6,76.52,0,0,76.52,0,0
2462,0,28,16,103.54,0,0,52.11,1,0
2464,24.93,29,5,96.7,0,0,87.63,0,0
2465,0,51,5,71.16,0,0,59.63,3,0
2466,0,29,18,78,0,0,76.3,0,0
2467,0,38,12,48.1,1,0,48.1,6,0
2468,0,29,3,92.74,0,0,76.97,0,0
2472,0,62,44,27.86,2,1,0,12,6
2474,0,51,10,44.25,2,0,0,6,1
2476,0,34,10,44.38,1,0,26.73,4,1
2478,0,59,40,0,2,1,0,7,6
2481,0,22,6,153.17,0,0,0,1,1
2482,0,8,2,132.93,0,0,54.11,1,0
2492,0,4,4,141.58,0,0,88.09,0,0
2493,0,1,1,97.86,0,0,82.52,0,0
2494,0,23,4,116.29,0,0,81.54,0,0
2532,0,3,3,0,1,1,0,2,2
2534,46.43,1,0,159.13,0,0,0,1,1
2536,0,6,6,291.69,0,0,0,1,1
2537,55.48,1,0,235.44,0,0,140.66,0,0
2539,0,1,1,NA,0,0,154.42,0,0
2540,0,4,4,NA,0,0,0,2,2
2543,59.98,2,0,NA,0,0,59.98,1,0
2554,0,3,3,NA,0,0,NA,0,0
2556,0,1,1,196.88,0,0,46.43,1,0
2557,0,7,7,NA,0,0,63.32,0,0
2561,43.34,1,0,107.34,0,0,107.34,0,0
2562,0,1,1,104.58,0,0,104.58,0,0
2563,0,1,1,222.84,0,0,144.75,0,0
2568,0,2,2,NA,0,0,0,1,1
2571,0,12,12,125.4,0,0,0,2,2
2575,0,1,1,NA,0,0,77.61,0,0
2601,0,25,25,117.57,0,0,0,4,4
2632,0,2,2,170.31,0,0,0,2,2
2635,59.26,9,0,NA,0,0,59.26,3,0
2637,55.79,1,0,101.48,0,0,92.06,0,0
2639,0,1,1,75.81,0,0,NA,0,0
2645,0,2,2,158.05,0,0,NA,0,0
2646,0,1,1,138.05,0,0,NA,0,0
2647,48.07,25,0,136.74,0,0,48.07,4,0
2649,0,9,9,334.43,0,0,0,3,3
2655,54.44,2,0,NA,0,0,54.44,2,0
2657,0,2,2,NA,0,0,NA,0,0
2659,59.5,1,0,NA,0,0,NA,0,0
2663,42.49,5,0,NA,0,0,NA,0,0
2664,0,3,2,0,1,1,117.57,0,0
2667,0,5,5,NA,0,0,NA,0,0
2670,38.43,3,0,38.43,1,0,147.66,0,0
2671,21.34,2,1,94.98,0,0,NA,0,0
2672,58.38,2,0,148.81,0,0,58.38,2,0
2673,50.51,2,0,50.51,1,0,68.46,0,0
2675,0,3,1,55.13,1,0,123.61,0,0
2703,0,19,19,120.26,0,0,0,4,4
2715,0,1,1,152.38,0,0,152.38,0,0
2719,55.16,49,0,55.16,3,0,55.16,7,0
2720,0,50,33,0,3,2,0,6,5
2721,0,62,29,0,4,2,0,7,2
2723,34.25,62,0,34.25,4,0,34.25,7,0
2724,0,29,29,0,2,2,0,2,2
2725,0,36,1,57.28,2,0,57.28,5,0
2738,0,2,2,211.22,0,0,93.58,0,0
2739,0,1,1,136.95,0,0,136.95,0,0
2740,0,56,49,0,3,3,0,8,7
2743,56.38,1,0,115.68,0,0,75.16,0,0
2744,0,51,2,43.65,3,0,43.65,7,0
2745,0,6,1,86.63,0,0,45.14,1,0
2746,0,55,5,41.73,3,0,0,8,1
2747,0,16,16,67.47,0,0,0,3,3
2748,0,1,1,71.58,0,0,71.58,0,0
2766,0,16,16,135.41,0,0,0,1,1
2767,0,2,2,84.42,0,0,84.42,0,0
2771,0,1,1,64.83,0,0,64.83,0,0
2777,0,3,2,93.48,0,0,93.48,0,0
2780,0,13,13,0,2,2,0,4,4
2790,0,2,2,162.76,0,0,112.96,0,0
2791,0,1,1,NA,0,0,220.37,0,0
2806,0,7,7,134.9,0,0,64.3,0,0
2809,0,2,2,235.12,0,0,189.56,0,0
2816,0,2,2,127.96,0,0,0,1,1
2818,0,4,4,102.17,0,0,102.17,0,0
2822,0,1,1,0,1,1,0,2,2
2825,0,1,1,307.81,0,0,217.32,0,0
2840,0,7,7,0,2,1,0,3,1
2841,42.04,7,0,40.05,2,0,40.05,3,0
2842,57.49,7,0,0,2,1,0,3,2
2852,0,6,6,154.43,0,0,133.72,0,0
2857,0,1,1,218.26,0,0,110.56,0,0
2859,0,7,7,246.1,0,0,213.69,0,0
2860,0,47,18,0,3,3,0,8,3
2861,42.86,36,0,42.86,6,0,42.86,6,0
2863,27.84,22,18,27.84,3,3,27.84,3,3
2864,0,1,1,123.61,0,0,123.61,0,0
2865,0,4,4,76.47,0,0,76.47,0,0
2874,0,2,2,242.93,0,0,0,1,1
2878,0,1,1,84.6,0,0,84.6,0,0
2879,0,12,12,0,1,1,0,2,2
2886,0,20,20,0,1,1,0,3,3
2888,0,26,7,57.33,1,0,73.87,0,0
2889,0,1,1,74.27,0,0,74.27,0,0
2891,0,3,3,0,1,1,0,5,4
2892,0,1,1,113.6,0,0,113.6,0,0
2893,0,20,20,72.48,0,0,0,1,1
2895,0,34,34,0,1,1,0,3,3
2896,0,6,6,72.48,0,0,72.48,0,0
2903,0,122,45,34.65,6,0,0,15,1
2904,0,64,12,34.07,2,0,0,11,4
2905,0,81,19,0,3,1,30.86,7,0
2906,0,129,29,46.88,6,0,0,17,5
2907,0,78,5,0,5,1,0,10,5
2908,0,113,20,0,4,2,0,15,1
2909,0,93,4,0,5,2,0,11,3
2910,0,46,5,0,3,1,0,8,1
2911,0,35,3,46.96,2,0,0,6,1
2912,16.86,127,74,43.74,7,0,16.86,18,6
2914,0,34,5,0,1,1,0,8,3
2915,0,10,10,73.46,0,0,0,1,1
2916,43.56,6,0,43.56,1,0,43.56,3,0
2917,0,2,2,122.48,0,0,79.33,0,0
2919,0,23,19,56.54,2,0,0,4,1
2920,0,22,17,37.03,1,0,0,3,2
2921,0,1,1,106.14,0,0,76.84,0,0
3031,0,1,1,262.54,0,0,116.73,0,0
3038,0,1,1,215.14,0,0,0,1,1
3045,0,2,2,124.6,0,0,124.6,0,0
3049,0,2,2,191.59,0,0,144.92,0,0
3051,0,1,1,0,1,1,0,1,1
3052,0,1,1,145.57,0,0,98.56,0,0
3053,0,2,2,168.6,0,0,0,1,1
3054,0,7,7,212.65,0,0,0,2,2
3060,0,32,25,70.56,0,0,0,4,3
3062,0,28,3,118.17,0,0,0,4,1
3063,0,10,6,106.91,0,0,76.08,0,0
3064,0,35,4,70.36,0,0,44.33,3,0
3077,0,2,2,NA,0,0,253.5,0,0
3079,0,7,7,130.43,0,0,0,1,1
3101,0,52,9,0,2,1,0,6,2
3102,0,39,14,30.67,1,0,30.67,4,0
3103,0,39,13,0,2,1,0,6,2
3104,0,52,16,33.71,2,0,0,6,2
3109,0,14,1,52.51,1,0,52.51,2,0
3110,0,12,12,95.28,0,0,95.28,0,0
3220,0,3,3,209.54,0,0,NA,0,0
3224,0,2,2,221.61,0,0,224.48,0,0
3229,0,1,1,183.48,0,0,183.48,0,0
3235,0,4,4,0,1,1,305.66,0,0
3244,0,1,1,NA,0,0,156.39,0,0
3246,0,12,12,NA,0,0,NA,0,0
3249,0,3,3,NA,0,0,474.06,0,0
3253,0,1,1,NA,0,0,302.63,0,0
3254,0,1,1,NA,0,0,511.02,0,0
3256,0,1,1,300.06,0,0,178.08,0,0
3257,0,3,3,NA,0,0,245.7,0,0
3264,0,4,4,NA,0,0,0,1,1
3276,0,1,1,74.08,0,0,NA,0,0
3281,0,1,1,312.71,0,0,312.71,0,0
3287,0,1,1,NA,0,0,NA,0,0
3301,0,33,33,0,1,1,0,6,6
3431,0,16,16,133.42,0,0,0,1,1
3440,0,1,1,NA,0,0,0,1,1
3446,0,2,2,0,1,1,133.42,0,0
3451,0,1,1,245.51,0,0,245.51,0,0
3452,0,1,1,335.42,0,0,138.31,0,0
3461,0,1,1,NA,0,0,248.02,0,0
3561,0,6,6,343.65,0,0,343.65,0,0
3570,0,10,10,NA,0,0,0,1,1
3580,0,1,1,NA,0,0,NA,0,0
3581,0,1,1,NA,0,0,294.87,0,0
3584,0,4,4,NA,0,0,515.68,0,0
3598,0,1,1,NA,0,0,NA,0,0
3603,0,1,1,NA,0,0,121.73,0,0
3609,29.58,2,2,NA,0,0,NA,0,0
3743,0,10,10,NA,0,0,196.79,0,0
3753,0,1,1,NA,0,0,0,1,1
3755,0,6,6,98.66,0,0,123.66,0,0
3766,0,36,36,88.14,0,0,0,1,1
3774,0,2,2,219.33,0,0,219.33,0,0
3777,0,1,1,220.05,0,0,220.05,0,0
3785,0,1,1,NA,0,0,NA,0,0
3801,0,29,29,NA,0,0,0,4,4
3818,0,4,4,NA,0,0,NA,0,0
3819,0,1,1,207.72,0,0,207.72,0,0
3820,0,14,14,NA,0,0,95.77,0,0
3824,0,1,1,NA,0,0,220.8,0,0
3826,59.66,1,0,160.68,0,0,160.68,0,0
3833,0,3,3,NA,0,0,274.68,0,0
3841,0,6,6,189.22,0,0,152.28,0,0
3842,0,3,3,NA,0,0,196.16,0,0
3844,0,2,2,NA,0,0,NA,0,0
3847,48.33,7,0,NA,0,0,NA,0,0
3849,0,1,1,NA,0,0,NA,0,0
3854,0,1,1,NA,0,0,67.6,0,0
3857,0,1,1,NA,0,0,233.28,0,0
3860,0,7,7,NA,0,0,NA,0,0
3867,0,5,5,NA,0,0,127.01,0,0
3868,53,5,0,NA,0,0,154.26,0,0
3870,0,2,2,NA,0,0,104.47,0,0
3872,0,1,1,NA,0,0,204.48,0,0
3878,0,18,18,NA,0,0,0,4,4
3882,0,2,2,NA,0,0,292.35,0,0
3886,0,1,1,NA,0,0,NA,0,0
3894,0,2,2,NA,0,0,0,2,2
3901,0,1,1,NA,0,0,65.97,0,0
3908,0,1,1,NA,0,0,130.27,0,0
3909,0,5,5,NA,0,0,184.35,0,0
3911,50.44,5,0,NA,0,0,NA,0,0
4005,0,12,10,NA,0,0,0,2,2
4009,0,4,4,NA,0,0,0,1,1
4011,0,8,8,NA,0,0,0,1,1
4015,0,1,1,NA,0,0,294.67,0,0
4030,0,1,1,NA,0,0,304.91,0,0
4032,0,3,3,NA,0,0,168.12,0,0
4037,0,1,1,NA,0,0,298.39,0,0
4038,0,4,4,119.28,0,0,119.28,0,0
4039,0,2,2,307.54,0,0,264.72,0,0
4041,0,1,1,NA,0,0,383.37,0,0
4043,0,4,4,NA,0,0,0,2,2
4046,0,1,1,NA,0,0,87.53,0,0
4062,0,5,5,187.14,0,0,187.14,0,0
4063,34.1,1,0,NA,0,0,90.45,0,0
4064,0,1,1,NA,0,0,95.58,0,0
4068,0,3,3,NA,0,0,NA,0,0
4071,0,1,1,NA,0,0,NA,0,0
4072,0,12,2,NA,0,0,58.93,2,0
4073,0,3,3,NA,0,0,0,1,1
4074,0,10,10,112.49,0,0,146.94,0,0
4083,0,8,8,NA,0,0,0,1,1
4090,0,1,1,NA,0,0,143.73,0,0
4092,0,6,6,0,1,1,0,1,1
4097,0,1,1,NA,0,0,182.95,0,0
4101,0,58,18,56.78,1,0,0,7,6
4102,0,51,24,75.82,0,0,0,11,1
4103,0,33,9,75.76,0,0,0,5,4
4105,0,9,9,170.42,0,0,0,1,1
4106,0,34,16,0,1,1,56.78,6,0
4107,0,2,2,71.18,0,0,93.41,0,0
4108,45.8,18,0,89.55,0,0,45.8,6,0
4109,40.66,18,0,84.4,0,0,40.66,6,0
4210,0,2,2,NA,0,0,NA,0,0
4234,53.67,1,0,NA,0,0,NA,0,0
4240,0,19,19,NA,0,0,NA,0,0
4254,0,6,6,NA,0,0,303.94,0,0
4259,0,1,1,NA,0,0,140.06,0,0
4263,0,1,1,NA,0,0,199.63,0,0
4276,0,3,3,NA,0,0,NA,0,0
4294,0,1,1,NA,0,0,NA,0,0
4330,0,31,31,325.23,0,0,0,3,3
4343,35.54,1,0,NA,0,0,93.28,0,0
4344,0,2,1,NA,0,0,125.85,0,0
4345,0,2,2,NA,0,0,195.01,0,0
4346,59.16,2,0,NA,0,0,167.52,0,0
4347,0,2,1,NA,0,0,91.99,0,0
4351,0,1,1,NA,0,0,120.71,0,0
4353,0,1,1,NA,0,0,252.31,0,0
4355,0,2,2,NA,0,0,141.31,0,0
4357,0,2,2,NA,0,0,NA,0,0
4364,0,3,3,NA,0,0,0,1,1
4401,0,58,58,0,3,3,0,3,3
4412,0,7,7,75.6,0,0,0,1,1
4416,0,3,3,NA,0,0,289.1,0,0
4424,0,1,1,NA,0,0,NA,0,0
4426,0,4,4,NA,0,0,NA,0,0
4427,0,1,1,304.16,0,0,304.16,0,0
4430,55.4,1,0,NA,0,0,NA,0,0
4457,0,4,4,NA,0,0,NA,0,0
4459,0,1,1,NA,0,0,524.54,0,0
4460,0,1,1,NA,0,0,544.47,0,0
4463,0,3,3,NA,0,0,558.99,0,0
4468,0,13,13,257.94,0,0,0,1,1
4469,0,1,1,214.33,0,0,86.06,0,0
4473,42.32,1,0,190.98,0,0,102.41,0,0
4489,40.58,1,0,196.56,0,0,68.76,0,0
4496,0,1,1,NA,0,0,0,1,1
4538,0,1,1,NA,0,0,NA,0,0
4543,0,2,2,NA,0,0,0,1,1
4575,31.83,1,0,NA,0,0,NA,0,0
4578,0,3,3,NA,0,0,327.96,0,0
4605,0,6,6,NA,0,0,0,1,1
4609,0,7,7,NA,0,0,383.99,0,0
4614,0,1,1,NA,0,0,317.81,0,0
4619,0,4,4,NA,0,0,NA,0,0
4643,0,3,3,NA,0,0,NA,0,0
4644,28.02,7,7,NA,0,0,358.2,0,0
4645,38.41,3,0,NA,0,0,NA,0,0
4649,0,3,3,NA,0,0,NA,0,0
4652,0,2,2,NA,0,0,0,1,1
4654,0,5,5,NA,0,0,NA,0,0
4658,0,1,1,NA,0,0,NA,0,0
4667,0,2,2,NA,0,0,125.73,0,0
4668,0,4,4,NA,0,0,NA,0,0
4681,0,3,3,NA,0,0,NA,0,0
4693,0,1,1,NA,0,0,NA,0,0
4730,0,2,2,NA,0,0,0,1,1
4736,0,10,10,NA,0,0,0,1,1
4742,0,1,1,NA,0,0,200.77,0,0
4743,0,2,2,NA,0,0,0,1,1
4756,0,1,1,NA,0,0,0,1,1
4769,0,1,1,NA,0,0,0,1,1
4776,0,1,1,NA,0,0,0,1,1
4785,0,2,2,NA,0,0,421.37,0,0
4841,0,3,3,0,1,1,0,1,1
4843,0,3,3,167.53,0,0,72.79,0,0
4856,0,7,7,109.29,0,0,0,1,1
4863,0,2,2,NA,0,0,NA,0,0
