HEROP_ID,ZCTA,TotPop,TotUnits,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age45_54,Age55_59,Age60_64,AgeOv65,A15_24P,Ovr65P,Und45P,WhiteP,BlackP,AmIndP,AsianP,PacIsP,OtherP,NoHsP,UnempP,PovP,VacantP
860US36317,36317,666,230,349,62,128,62,48,277,56,26,27,90,16.56,13.46,70.08,51.72,48.12,0.01,0.11,0,0.05,64.66,5.56,30.8,8.3
860US36374,36374,1189,465,664,77,200,104,77,479,121,65,68,180,15.2,15.11,63.56,87.77,11.89,0.19,0.15,0,0.01,53.58,6.51,19.62,9.92
860US35184,35184,23,8,13,2,4,2,2,10,3,1,1,2,16.99,9.93,69.65,95.19,4.37,0.22,0.09,0.03,0.09,56.57,11.4,14.24,8.54
860US35188,35188,71,25,41,6,13,6,5,32,7,3,3,7,16.63,9.28,72.19,89.21,10.52,0.11,0.08,0.02,0.06,50.66,7.99,13.23,8.39
860US35111,35111,4687,1651,2778,339,825,450,366,2100,511,233,211,468,17.4,9.98,69.64,81.49,18.19,0.16,0.03,0.02,0.11,46.24,7.85,11.62,6.57
860US35074,35074,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860US36793,36793,301,116,163,28,55,29,22,123,28,16,14,38,16.94,12.52,68.29,70.33,29.56,0,0,0,0.1,56.54,9.34,15.14,12.31
860US35035,35035,16,5,11,1,2,3,3,9,1,1,1,2,34.19,9.9,75.31,79.23,20.19,0.12,0.3,0,0.16,40.34,5.17,14.68,7.5
860US35115,35115,11007,3701,6954,790,1616,1523,1686,5770,935,430,360,1105,29.16,10.04,74.28,83.4,16.12,0.12,0.23,0,0.13,45.27,5.91,15.23,7.94
860US36750,36750,2374,903,1300,212,425,232,173,978,226,128,111,295,17.07,12.41,68,75.5,24.4,0.01,0,0,0.09,56.01,8.48,15.81,12.29
860US36792,36792,373,140,216,30,65,33,32,170,38,16,14,41,17.57,11,70.87,91.89,8.03,0.03,0.03,0,0.01,52.98,8.35,15.71,8.38
860US35456,35456,1942,678,1135,168,363,170,153,912,177,85,72,166,16.62,8.54,74.3,83.8,16.02,0.03,0.09,0.01,0.05,44.01,5.72,12.63,7.8
860US35146,35146,4076,1472,2326,325,739,382,325,1830,395,186,169,432,17.33,10.61,70.99,89.49,10.31,0.1,0.03,0.01,0.07,54.61,6.27,17.77,7.55
860US35121,35121,10847,4208,6295,733,1688,993,839,4706,1163,545,510,1501,16.89,13.84,65.71,96.23,3.54,0.11,0.03,0.01,0.09,53.15,7.3,19.97,7.09
860US35133,35133,2317,843,1389,175,419,217,188,1087,240,108,89,198,17.51,8.54,72.56,98.82,0.99,0.12,0.02,0,0.04,48.67,4.75,13.51,8.61
860US35013,35013,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860US35952,35952,5727,2100,3330,431,926,527,434,2495,591,290,277,716,16.78,12.51,67.27,98.84,0.63,0.26,0.11,0,0.16,56.65,7.2,20.07,6.94
860US35049,35049,2538,967,1488,182,426,249,191,1146,269,119,113,283,17.32,11.15,69.12,99.36,0.52,0.08,0.01,0,0.03,53.45,6.84,16.91,7.98
860US35031,35031,5614,2146,3231,384,959,530,390,2414,599,269,276,712,16.4,12.69,66.93,99.58,0.01,0.32,0.03,0,0.06,61.56,9.82,22.04,8.19
860US35980,35980,3323,1241,1910,241,596,314,250,1448,351,167,139,381,16.99,11.48,68.76,99.75,0.02,0.12,0.07,0,0.04,57.73,9.08,17.36,8.9
860US35957,35957,10713,4285,6121,702,1699,1031,818,4546,1104,490,553,1618,17.26,15.1,64.86,99.19,0.55,0.11,0.06,0,0.09,53.64,7.76,17.09,6.94
860US35976,35976,13735,5330,8212,932,2221,1252,1159,6039,1558,729,664,1591,17.55,11.59,66.92,94.97,4.72,0.12,0.15,0,0.04,51.82,8.92,19.26,9.98
860US35016,35016,10848,4249,6553,627,1777,1088,899,4901,1241,570,526,1206,18.31,11.12,67.34,99.69,0.09,0.09,0.06,0.02,0.06,41.6,7.61,12.04,8.08
860US35079,35079,4868,1791,2837,338,888,437,350,2160,518,232,205,526,16.18,10.8,69.58,98.07,1.54,0.2,0.09,0,0.1,51.55,9.66,15.18,7.18
860US35180,35180,9049,3299,5242,683,1554,799,718,3986,908,459,390,1068,16.77,11.81,68.78,91.64,7.99,0.19,0.14,0.01,0.03,48.58,7.5,12.85,7.21
860US35063,35063,3559,1309,2051,267,645,328,300,1621,330,157,149,390,17.64,10.97,71.16,95.02,4.5,0.15,0.11,0.13,0.08,62.19,8.16,13.99,9.41
860US35172,35172,1984,718,1190,147,353,188,167,931,202,92,79,179,17.9,9.02,72.13,96.86,2.97,0.1,0.02,0.01,0.04,49.63,5.21,12.13,7.68
860US35126,35126,14040,4878,8398,1211,2556,1244,1089,6938,1280,546,461,1048,16.62,7.47,76.25,95.84,3.88,0.12,0.1,0,0.06,32.45,4.33,6.95,6.38
860US35097,35097,944,342,568,72,172,89,77,445,98,44,36,77,17.56,8.12,73.05,99.36,0.46,0.12,0.02,0,0.04,48.18,4.53,12.94,8.77
860US36029,36029,13,4,7,1,2,1,1,5,1,1,1,2,16.81,15.79,64.94,53.04,46.55,0,0.34,0,0.07,59.83,9.32,28.68,2.45
860US36052,36052,605,210,336,45,107,64,41,255,67,28,27,76,17.35,12.51,67.38,56.97,42.81,0,0.15,0,0.07,47.16,5.47,24.8,9.23
860US36206,36206,14172,4134,9594,983,2084,2123,2054,8290,1245,479,353,738,29.48,5.21,80.14,88.62,8.35,0.34,0.84,0.32,1.54,31.59,7.96,7.95,NA
860US36257,36257,319,162,191,15,27,18,23,112,37,25,27,75,12.82,23.4,48.45,96.57,2.87,0,0.31,0.03,0.22,26.92,4.82,8.11,5.77
860US36201,36201,29852,10800,16863,2476,5278,3083,2662,12615,3102,1620,1405,3356,19.25,11.24,68.23,58.23,41.22,0.15,0.11,0.05,0.25,59.99,12.1,26.07,7.59
860US36204,36204,564,286,338,27,48,32,41,198,66,45,48,132,12.82,23.4,48.45,96.57,2.87,0,0.31,0.03,0.22,26.92,4.82,8.11,5.77
860US36202,36202,1347,683,808,65,115,75,97,474,157,107,115,315,12.82,23.4,48.45,96.57,2.87,0,0.31,0.03,0.22,26.92,4.82,8.11,5.77
860US36207,36207,14494,5827,8866,956,2141,1128,1095,6346,1645,809,784,1813,15.34,12.51,65.15,88.06,11.4,0.13,0.22,0.02,0.17,30.51,7.43,11.65,NA
860US36205,36205,4294,681,3391,243,395,1095,1146,3333,110,60,43,109,52.17,2.55,92.5,71.82,21.84,0.74,1.31,0.5,3.79,23.07,14.32,9.98,6.55
860US36277,36277,4837,1737,3027,417,804,538,509,2515,525,173,135,268,21.65,5.54,77.24,93.79,4.08,0.37,0.82,0.16,0.78,30.62,10.93,9.91,7.13
860US36203,36203,15030,5353,9022,1233,2580,1401,1329,6948,1599,712,608,1350,18.16,8.98,71.6,83.77,15.62,0.15,0.25,0.01,0.2,41.65,7.82,13.38,4.8
860US36253,36253,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860US35096,35096,4387,1534,2453,357,866,383,328,1851,456,192,201,463,16.21,10.55,70.07,66.01,33.56,0.11,0.18,0.02,0.11,51.64,7.16,16.96,8.26
860US36260,36260,3671,1262,2172,302,723,343,271,1729,356,177,132,253,16.73,6.9,75.01,89.89,9.8,0.06,0.11,0,0.14,39.76,5.52,11.33,3.92
860US36250,36250,1908,673,1153,154,332,173,164,900,198,85,76,160,17.67,8.38,72.66,94.27,5.21,0.17,0.15,0.03,0.17,38.19,7.28,11.95,5.62
860US36265,36265,16228,5753,10990,956,2107,2263,3098,9244,1317,607,565,1429,33.03,8.8,75.84,89.75,9.21,0.12,0.39,0.07,0.46,39.12,10.2,16.57,7.05
860US36272,36272,9748,3794,5657,691,1591,826,773,4112,1023,532,503,1296,16.41,13.3,65.59,92.76,7.08,0.08,0.02,0,0.06,55.49,8.45,16.79,6.05
860US36254,36254,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860US36279,36279,2517,891,1511,203,437,223,216,1170,257,115,105,225,17.42,8.96,71.91,94.11,5.56,0.18,0.06,0,0.1,39.87,7.27,12.78,5.81
860US36271,36271,3786,1406,2182,257,715,411,318,1768,379,175,127,363,19.24,9.59,72.37,90.74,9,0.04,0.14,0.03,0.05,49.87,7.05,20.5,12.12
860US35905,35905,6381,2224,3828,477,1173,603,490,3046,640,277,245,522,17.13,8.19,73.59,96.51,3.26,0.1,0.07,0,0.06,34.06,6.15,9.55,5.95
860US36863,36863,0,0,0,0,0,0,0,0,0,0,0,0,22.6,10.02,72.6,42.92,56.94,0.04,0,0,0.11,52.4,9.34,32.78,NA
860US36862,36862,0,0,0,0,0,0,0,0,0,0,0,0,22.6,10.02,72.6,42.92,56.94,0.04,0,0,0.11,52.4,9.34,32.78,NA
860US36850,36850,60,25,36,5,10,6,8,29,5,2,3,6,22.6,10.02,72.6,42.92,56.94,0.04,0,0,0.11,52.4,9.34,32.78,16.01
860US36852,36852,540,199,312,39,98,49,41,243,54,23,23,60,16.68,11.04,70.28,78.94,20.69,0.19,0.18,0,0,54.38,5.97,18,11.13
860US36801,36801,19088,7314,11300,1423,3144,1763,1955,8884,1798,848,797,2195,19.48,11.5,70.46,63.52,36.04,0.14,0.16,0.02,0.11,43.81,6.92,20.01,7.34
860US36879,36879,410,172,247,31,66,40,53,201,36,17,18,41,22.6,10.02,72.6,42.92,56.94,0.04,0,0,0.11,52.4,9.34,32.78,16.01
860US36854,36854,1209,446,703,86,218,111,93,542,126,55,53,130,16.91,10.75,69.99,77.9,21.73,0.18,0.18,0,0.01,54.2,6.1,17.58,11.57
860US35959,35959,0,0,0,0,0,0,0,0,0,0,0,0,16.39,12.3,67.77,98.36,1.55,0.03,0.04,0,0.01,60.16,8.98,14.79,NA
860US35901,35901,22282,8960,12580,1538,3397,1948,1800,8898,2289,1302,1246,3613,16.82,16.21,62.08,66.39,33.22,0.06,0.18,0.01,0.14,42.32,8.36,20.71,6.82
860US35961,35961,478,173,278,35,83,41,38,206,51,23,21,59,16.39,12.29,67.78,98.34,1.58,0.03,0.05,0,0.01,60.13,8.98,14.82,5.6
860US35983,35983,0,0,0,0,0,0,0,0,0,0,0,0,16.39,12.3,67.77,98.36,1.55,0.03,0.04,0,0.01,60.16,8.98,14.79,NA
860US35967,35967,0,0,0,0,0,0,0,0,0,0,0,0,16.39,12.3,67.77,98.36,1.55,0.03,0.04,0,0.01,60.16,8.98,14.79,NA
860US35903,35903,18436,7667,11152,1271,2716,1564,1777,7928,1862,1190,1075,2394,18.12,12.98,64.63,80.09,19.15,0.09,0.23,0,0.44,44.02,8.34,15.23,9.78
860US35045,35045,11563,4603,6555,852,1810,1016,948,4789,1205,611,578,1718,16.98,14.86,64.44,85.76,14.12,0,0.11,0,0.01,53.16,10.72,22.27,9.1
860US35046,35046,3238,1742,1906,248,518,299,235,1428,348,157,170,369,16.5,11.41,67.75,99.1,0.72,0.09,0.08,0,0,59.77,8.23,21.07,34.45
860US35171,35171,1609,600,929,127,276,147,135,714,164,73,69,185,17.53,11.5,69.43,92.13,7.78,0.04,0.03,0,0.02,53.3,7.71,16.74,9.39
860US35085,35085,5337,2225,3087,421,916,473,446,2399,542,233,216,610,17.22,11.42,70.01,92.91,6.97,0.07,0.04,0,0.01,53.79,8.86,17.03,16.24
860US35040,35040,7035,2471,4043,601,1312,654,600,3234,652,317,249,669,17.83,9.5,73.18,81.82,17.66,0.12,0.25,0,0.14,48.64,8.17,15.48,7.34
860US36790,36790,215,83,116,20,39,21,15,88,20,12,10,27,16.94,12.52,68.29,70.33,29.56,0,0,0,0.1,56.54,9.34,15.14,12.31
860US35160,35160,27000,9184,15187,2146,5005,2972,2580,11994,2512,1278,1190,2875,20.57,10.65,70.91,63.13,36.57,0.02,0.17,0.03,0.07,52.99,10.31,22.12,7.34
860US36268,36268,3519,1149,2015,302,666,324,316,1566,363,160,139,324,18.19,9.21,71.99,77.62,22.27,0,0.06,0,0.04,51.39,8.63,16,2.95
860US35072,35072,52,17,29,4,11,5,4,21,6,3,2,5,16.68,9.35,70.02,59.14,40.82,0.02,0,0,0.02,41.89,6.57,26.6,3.88
860US36079,36079,270,103,154,18,48,26,16,117,25,13,16,33,15.84,12.4,67.86,91.31,8.69,0,0,0,0,56.32,13.21,17.62,11.86
860US36323,36323,8652,3309,4956,618,1404,833,659,3701,916,441,413,1159,17.24,13.39,66.15,79.8,19.87,0.12,0.04,0,0.16,52.66,9.68,16.27,9.64
860US36034,36034,189,72,108,12,34,18,11,82,18,9,11,23,15.84,12.4,67.86,91.31,8.69,0,0,0,0,56.32,13.21,17.62,11.86
860US36346,36346,1314,481,749,90,224,129,88,564,128,71,67,169,16.5,12.89,66.8,88.38,11.53,0.08,0,0,0,53.41,8.62,18.97,8.12
860US36010,36010,770,278,439,53,129,75,54,329,76,44,38,101,16.75,13.08,66.39,87.37,12.52,0.11,0,0,0,52.27,6.78,19.55,6.64
860US36351,36351,2981,1130,1709,188,505,297,204,1282,323,149,145,390,16.78,13.07,66.23,87.03,12.39,0.24,0.17,0,0.18,53.8,5.2,15.89,8.85
860US36330,36330,24017,9031,14559,1884,4033,2284,2172,11464,2504,1135,878,2119,18.55,8.82,72.37,80.38,17.87,0.19,0.93,0.04,0.59,33.77,6.34,15.72,7.09
860US36467,36467,356,149,197,23,48,31,28,146,34,19,20,66,16.62,18.61,61.2,94.83,4.56,0.27,0.07,0,0.27,61.91,3.75,23.79,6.93
860US36009,36009,104,39,59,7,16,10,8,44,12,6,5,15,17.97,14.1,64.6,75.67,24.14,0.1,0.04,0,0.06,51.81,9.8,19.23,8.42
860US36453,36453,1897,765,1058,132,287,162,145,777,186,97,104,314,16.22,16.53,63.05,92.43,7.08,0.19,0.07,0.02,0.2,59.92,4,22.84,8.41
860US36477,36477,4718,1839,2652,354,784,390,362,1923,491,227,257,683,15.93,14.48,64.86,88.54,11.14,0.09,0.08,0.04,0.12,56.42,4.54,21.42,10.44
860US36318,36318,1331,516,760,86,228,120,93,546,136,79,73,184,15.99,13.79,64.54,83.65,16.24,0.06,0.02,0,0.02,53.97,5.31,19.65,5.8
860US36316,36316,1681,653,955,107,286,151,117,688,173,96,91,240,15.92,14.27,64.32,84.64,15.23,0.09,0.04,0,0,50.07,4.22,16.89,6.11
860US36322,36322,6197,2413,3928,640,990,628,895,3323,598,219,148,280,24.59,4.52,79.92,84.72,11.58,0.4,2.12,0.13,1.05,29.78,11.48,15.31,9.25
860US35660,35660,11637,4765,6866,723,1603,1042,967,4719,1278,805,699,1810,17.26,15.55,60.54,79.35,20.21,0.09,0.28,0,0.07,42.7,12.85,17.73,5.16
860US35661,35661,10418,3828,6465,791,1766,1034,950,5116,1140,465,390,750,19.04,7.2,73.65,84.22,15.51,0.1,0.07,0.01,0.09,37.26,8.31,13.04,7.3
860US35674,35674,20789,7646,12405,1481,3306,2002,1686,9364,2192,1105,1002,2337,17.74,11.24,68.07,83.97,15.77,0.13,0.08,0.01,0.04,42.6,7.69,12.75,5.93
860US35646,35646,5235,1891,3045,378,939,540,430,2327,582,254,224,531,18.52,10.14,69.61,78.19,21.63,0.05,0.04,0.03,0.06,53.55,13.6,21.07,8.72
860US35672,35672,106,38,62,8,19,11,9,47,12,5,5,11,18.51,10.18,69.56,78.11,21.71,0.05,0.04,0.03,0.06,53.75,13.67,21.17,8.74
860US35654,35654,986,351,588,70,176,103,81,463,102,48,42,86,18.71,8.75,71.87,90.26,9.47,0.19,0.04,0,0.04,50.12,7.95,13.33,7.87
860US35653,35653,366,139,217,25,64,37,28,166,38,20,18,36,17.79,9.83,69.58,89.81,9.88,0.25,0.02,0,0.05,53.35,7.69,11.37,11.52
860US35616,35616,4981,2003,2929,333,851,497,347,2162,525,289,272,550,16.94,11.04,67.17,87.31,12.35,0.28,0,0,0.06,56.64,8.43,11.01,14.5
860US35582,35582,2,1,1,0,0,0,0,1,0,0,0,0,16.76,11.3,66.65,86.77,12.88,0.29,0,0,0.06,57.34,8.59,10.93,15.1
860US35010,35010,416,196,233,26,72,38,29,170,43,22,23,61,16.04,14.57,64.37,81.52,18.3,0.03,0.02,0.02,0.11,46.75,5.23,21.52,26.4
860US35150,35150,18923,6985,10713,1431,3209,1696,1469,7725,2046,1019,957,2535,16.73,13.4,65.35,76.42,23.46,0.08,0.01,0,0.03,48.18,7.53,19.63,4.76
860US35151,35151,4861,1727,2771,381,911,439,356,2067,514,234,232,523,16.36,10.75,69.09,80.84,18.95,0.13,0.04,0,0.04,45.82,8.56,16.58,4.99
860US36026,36026,914,407,518,58,152,93,66,381,96,49,52,127,17.32,13.86,64.59,82.72,17.2,0.01,0.01,0.01,0.05,44.85,5.92,20.93,22.12
860US36080,36080,1257,551,714,81,206,131,91,526,133,68,72,172,17.68,13.65,64.66,83.06,16.88,0.01,0,0,0.03,44.29,6.11,20.77,20.82
860US36036,36036,1265,438,675,93,212,131,95,507,129,59,65,199,17.87,15.73,64.24,52.57,46.82,0.27,0.21,0,0.13,55.21,8.64,26.71,1.74
860US36046,36046,598,216,332,42,95,60,54,249,64,29,30,90,19.05,14.97,64.54,53.77,45.47,0.49,0.08,0,0.19,50.33,7.86,24.05,3.39
860US36041,36041,34,13,20,3,5,3,3,16,3,2,1,4,19.92,10.41,70.94,64.53,35.05,0.13,0.13,0,0.16,45.44,6.22,19.17,17.27
860US35087,35087,801,294,463,59,142,72,63,347,88,37,36,91,16.87,11.41,68.41,99.68,0,0.06,0.15,0.02,0.09,51.04,6.31,14.06,7.03
860US35019,35019,309,112,176,24,55,27,24,131,34,14,14,37,16.48,11.9,68.1,99.64,0,0.07,0.17,0.02,0.1,53.96,6.07,14.97,6.77
860US35621,35621,2135,773,1220,165,381,184,168,908,232,98,97,254,16.48,11.9,68.1,99.64,0,0.07,0.17,0.02,0.1,53.96,6.07,14.97,6.77
860US35179,35179,103,37,56,7,16,10,7,42,10,5,5,17,16.14,16.54,63.67,98.82,0.8,0.32,0.02,0,0.03,58.59,8.19,19.15,9.48
860US35622,35622,4146,1480,2287,290,679,381,292,1712,427,194,200,644,16.21,15.54,64.66,98.97,0.65,0.27,0.05,0,0.05,57.57,7.72,18.23,8.87
860US35619,35619,2086,761,1224,150,369,198,182,944,204,101,99,218,18.19,10.47,70.19,95.46,4.36,0.05,0.02,0,0.11,48.96,9.22,13.1,7.84
860US35033,35033,298,111,171,22,53,28,26,137,27,13,13,33,17.95,11.24,71.21,95.23,4.4,0.04,0.16,0.16,0,66.3,8.72,12.42,10.71
860US36360,36360,19905,7294,11578,1576,3436,1908,1799,9018,1995,976,739,2164,18.62,10.87,70.49,79.12,19.5,0.26,0.49,0.04,0.6,36.55,8.34,18.28,7.12
860US36362,36362,8209,1442,5768,898,1296,921,1908,5888,109,11,2,4,34.47,0.05,98.46,75.58,18.29,0.78,1.61,0.5,3.23,7.76,13.63,7.62,2.07
860US36350,36350,5172,2069,3081,421,871,468,541,2401,505,239,217,519,19.5,10.03,71.4,83.52,15.2,0.49,0.38,0.04,0.37,49.31,6.88,17.88,10.75
860US36353,36353,2182,863,1196,156,380,203,151,891,203,112,115,325,16.19,14.91,65.36,67.78,32.1,0.03,0.09,0,0,57.95,4.82,24.19,9.57
860US36352,36352,2953,1135,1732,226,510,268,280,1339,299,142,132,305,18.58,10.32,70.28,84.96,13.83,0.42,0.41,0.06,0.32,48.34,5.36,18.59,10.86
860US36371,36371,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
