HEROP_ID,GEOID,TotPop,TotPopHh,TotVetPop,TotUnits,TotWrkE,WhiteP,BlackP,AmIndP,AsianP,PacIsP,OtherP,HispP,ChildrenP,Age15_24P,Und45P,Ovr65P,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age45_49,Age50_54,Age55_59,Age60_64,AgeOv65,AgeOv18,Age18_64,DisbP,NoHsP,VetP,NonRelFhhP,NonRelNfhhP,BedCnt,PntInTm,YrlyBedCnt,UnempP,PovP,MedInc,PciE,ForDqP,ForDqTot,GiniCoeff,EduP,HghRskP,HltCrP,RetailP,EssnWrkE,EssnWrkP,NoIntP,VacantP,MobileP,LngTermP,RentalP,UnitDens,AreaSqMi,AlcTot,AlcDens,AlcPerCap,DsmBlk,IntrBlkWht,IsoBlk,DsmHsp,IntrHspWht,IsoHsp,DsmAs,IntrAsWht,IsoAs,Ndvi,TotTracts,BupCtTmDr,BupCtTmBk,BupCtTmWk,MetCtTmDr,MetCtTmBk,MetCtTmWk,NalCtTmDr,NalCtTmBk,NalCtTmWk,BupAvTmDr,BupAvTmBk,BupAvTmWk,MetAvTmDr,MetAvTmBk,MetAvTmWk,NalAvTmDr,NalAvTmBk,NalAvTmWk,BupTmDrP,BupTmBkP,BupTmWkP,MetTmDrP,MetTmBkP,MetTmWkP,NalTmDrP,NalTmBkP,NalTmWkP,FqhcCtTmDr,FqhcAvTmDr,FqhcTmDrP,HospCtTmDr,HospAvTmDr,HospTmDrP,RxCtTmDr,RxAvTmDr,RxTmDrP,MhCtTmDr,MhAvTmDr,MhTmDrP,SutpCtTmDr,SutpAvTmDr,SutpTmDrP,OtpCtTmDr,OtpAvTmDr,OtpTmDrP,DrgRlDth,TotPcp,TotSp,PcpPer100k,SpPer100k,OpRxRt20,OdMortRt14,OdMortRt15,OdMortRt16,OdMortRt17,OdMortRt18,OdMortRt19,OdMortRt20,RcaUrbanP,RcaSubrbP,RcaRuralP,CenFlags,TotPop10,UrbPop10,RuralPop10,CenRuralP,DmySgrg,DmyBlckBlt,PrcNtvRsrv,SviTh1,SviTh2,SviTh3,SviTh4,SviSmryRnk,TtlPrPpr,FmlPrPpr,MlPrPpr,AapiPrPpr,BlckPrPpr,LtnxPrPpr,NtvPrPpr,WhtPrPpr,TtlPrAPpr,FmlPrAPpr,MlPrAPpr,AapiPrAPpr,BlckPrAPpr,LtnxPrAPpr,NtvPrAPpr,WhtPrAPpr,TtlPrPp,FmlPrPp,MlPrPp,AapiPrPp,BlckPrPp,LtnxPrPp,NtvPrPp,WhtPrPp,TtlPrAPp,FmlPrAPp,MlPrAPp,AapiPrAPp,BlckPrAPp,LtnxPrAPp,NtvPrAPp,WhtPrAPp,TtlJlPpr,FmlJlPpr,MlJlPpr,AapiJlPpr,BlckJlPpr,LtnxJlPpr,NtvJlPpr,WhtJlPpr,TtlJlAdmr,TtlJlPrtr,TtlJlPp,FmlJlPp,MlJlPp,AapiJlPp,BlckJlPp,LtnxJlPp,NtvJlPp,WhtJlPp,TtlJlAdm,TtlJlPrt
050US13071,13071,45606,44847,2268,18567,18736,64.46,23,0.54,0.84,0.02,11.13,18.99,0.26,13.29,61,14.7,3195,6909,3224,2839,17714,2905,2928,2950,2301,6704,33551,26847,14.3,26.17,6.76,3.68,25.84,81,81,81,6.8,25.2,21159,19173,14.17,52.33,0.47,7.94,34.95,10.03,13.81,11474,61.24,24.97,17.2,31.66,26.58,38.75,33.94,547.02,8,0.01,0,0.47,0.44,0.38,0.21,0.56,0.23,0.35,0.63,0.02,0.2,10,10,6,3,0,0,NA,10,5,1,9.82,33.59,96.96,42.37,225.86,NA,13.27,44.84,134.96,1,0.6,0.3,0,0,NA,1,0.5,0.1,10,7.82,1,10,13.27,1,10,6.73,1,0,38.83,0,10,13.27,1,0,42.37,0,52,24,28,52.62,61.4,86.2,10.1,10.9,11.1,12.4,13.1,10.5,16.1,0,0.6,0.4,NA,45498,18677,26821,0.59,0,0,0,0.94,0.8,0.94,0.95,0.98,770.3,77.04,1457.22,0,2215.05,181.98,0,373.67,188.22,42.02,333.08,NA,440.08,NA,NA,137.01,221,11,210,0,151,10,0,60,54,6,48,NA,30,NA,NA,22,1458.99,0,1273.66,721.77,3711.95,581.47,0,531.02,15790.58,0,418,0,183,1.79,254.38,32.69,0,84.23,4524,0
050US13073,13073,147295,146810,16560,56178,65411,74.34,16.68,0.3,4.07,0,4.61,6.44,0.26,12.82,61.73,12.7,9373,21700,10154,8726,59851,9879,9962,8923,8901,18706,109473,90767,11.5,7.38,15.66,2.03,21.32,0,0,0,5.2,8.8,34602,32509,5.49,84.85,0.41,9.45,18.91,16.52,11.39,28364,43.36,13.56,16.62,6.3,20.23,20.95,193.67,290.07,11,0.04,0,0.29,0.64,0.21,0.37,0.63,0.1,0.29,0.73,0.06,0.18,20,19,13,3,18,10,NA,14,0,NA,11.6,32.55,111.69,14.63,42.55,NA,24.68,79.81,NA,0.95,0.65,0.15,0.9,0.5,NA,0.7,0,NA,19,18.57,0.95,19,18.35,0.95,20,5.63,1,19,17.59,0.95,18,13.08,0.9,18,14.63,0.9,140,84,118,57.03,80.11,58.5,12.4,13,14.4,16.2,15.8,13.7,17.4,0.85,0.15,0,NA,124053,103922,20131,0.16,0,1,0,0.16,0.22,0.75,0.04,0.13,466.58,92.4,855.11,NA,1012.34,172.12,NA,380.73,156.55,46.2,271.13,NA,261.62,NA,NA,152.58,456,46,410,NA,178,11,NA,262,153,23,130,NA,46,NA,NA,105,261.96,58.91,407.42,146.4,494.29,188.64,0,227.94,3691.37,209.96,262,30,200,7.03,93,12.75,0,158,3692,210
050US13075,13075,17184,17023,999,7386,7078,69.02,27.48,0.26,0.63,0,2.6,5.75,0.26,13.02,58.93,15.51,1128,2550,1122,1115,6448,1190,1125,1043,1035,2665,12739,10074,18.1,20.06,7.84,2.69,21.3,0,0,0,5.2,24,23480,19778,15.9,63.5,0.46,10.07,25.87,13.11,15.24,4037,57.04,27.46,15.61,33.09,26.86,32.78,32.36,228.28,NA,NA,NA,0.16,0.62,0.3,0.23,0.63,0.07,0.45,0.63,0.01,0.2,4,4,1,1,2,0,NA,2,0,NA,15.47,50.35,138.17,29.87,141.68,NA,30.26,132.76,NA,1,0.25,0.25,0.5,0,NA,0.5,0,NA,4,14.76,1,4,11.98,1,4,4.08,1,4,15.47,1,4,15.24,1,2,29.87,0.5,18,7,4,40.74,23.28,43.9,11.2,12.5,14.6,14,14.1,12,15.9,0,0.75,0.25,NA,17212,6986,10226,0.59,0,0,0,0.84,0.89,0.72,0.52,0.85,1037.13,125.09,2018.07,NA,2267.42,NA,NA,582.14,351.88,NA,NA,NA,NA,NA,NA,NA,112,7,105,NA,68,NA,NA,41,38,NA,NA,NA,NA,NA,NA,NA,879.22,283.29,2229.98,0,1536.95,1300.81,0,571.59,39463.21,462.75,95,16,115,0,47,8,0,40,4264,50
050US13077,13077,140516,140011,9743,53747,68690,76.74,17.6,0.22,1.92,0.02,3.5,6.8,0.25,12.81,59.2,13.15,8666,20322,9734,8272,54191,10863,10594,9232,8165,18483,105186,86703,10.7,11.23,9.27,2.03,21.53,6,6,6,4.7,11.1,32933,32542,9.32,200.3,0.43,8.98,20.7,9.79,11.4,31243,45.48,11.39,4.54,3.51,20.09,27.86,121.89,440.93,4,0.01,0,0.42,0.58,0.29,0.33,0.63,0.1,0.5,0.66,0.04,0.22,20,20,9,2,19,5,NA,12,0,NA,13.23,37.98,124.85,14.43,42.99,NA,27.49,90.49,NA,1,0.45,0.1,0.95,0.25,NA,0.6,0,NA,14,24.6,0.7,20,13.59,1,20,7.44,1,20,14.26,1,20,12.68,1,19,15.17,0.95,135,54,83,38.43,59.07,55.6,11.5,12.8,13.7,16.2,15.2,12.9,15.9,0.65,0.35,0,NA,127317,85388,41929,0.33,1,0,0,0.27,0.25,0.76,0.12,0.24,673.82,79.78,1296.84,0,1969.98,236.56,0,415.49,239.65,44.09,444.76,NA,700.17,NA,NA,152.84,627,38,589,0,332,15,0,280,223,21,202,NA,118,NA,NA,103,614.05,152.73,1090.05,37.74,1278.36,194.32,435.71,505.44,6537.18,139.27,582,74,505,0.9,222,13,1.22,344,6196,132
050US13079,13079,12344,12170,869,5353,4644,74.38,24.13,0,0.2,0,1.3,1.3,0.21,11.27,51.39,17.71,644,1530,729,662,4169,843,1042,1244,686,2186,9725,7539,17.3,16.48,8.96,2.37,12.18,0,0,0,9.6,19.7,24102,21102,15,73,0.44,9.15,18.35,13.65,12.62,2631,56.65,23.5,13.38,40.11,31.74,22.43,16.48,324.91,1,0,0,0.46,0.61,0.37,0.19,0.8,0.02,0.77,0.65,0.01,0.24,3,3,0,0,0,0,NA,0,0,NA,23.59,83.38,254.8,36.9,136.86,NA,43.17,156.96,NA,1,0,0,0,0,NA,0,0,NA,2,17.3,0.67,2,30.26,0.67,3,12.87,1,1,28.83,0.33,2,26.96,0.67,0,36.9,0,20,1,0,8.1,0,48.3,13.6,15.8,18.1,18.7,19.4,17.3,20.5,0,0.67,0.33,NA,12630,0,12630,1,0,1,0,0.88,0.45,0.31,0.54,0.68,300.9,NA,NA,NA,NA,NA,NA,NA,137.91,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,177.01,77.9,320.35,0,361.66,0,0,222.68,1972.44,227.59,14,3,13,0,6,0,0,13,156,18
050US13081,13081,22846,22430,1133,10777,8798,52.98,43.66,0,0.96,0.13,2.27,3.28,0.25,13.8,56.54,17.57,1464,3145,1714,1438,8308,1313,1479,1688,1435,4014,17167,13153,17.9,19.88,6.6,2.98,12.61,0,0,0,12.2,30.8,17644,21581,15.8,60.2,0.55,9.96,21.1,9.84,16.16,4599,52.27,34.71,22.72,23.21,31.95,42.49,39.53,272.66,4,0.01,0,0.22,0.47,0.47,0.31,0.55,0.06,0.68,0.43,0.03,0.18,6,6,3,1,0,NA,NA,0,NA,NA,11.56,42.03,114.64,45.49,NA,NA,48.83,NA,NA,1,0.5,0.17,0,NA,NA,0,NA,NA,6,7.34,1,6,11.56,1,6,7.34,1,6,11.25,1,0,44.3,0,0,45.49,0,13,18,13,78.79,56.9,90,10.7,12.7,12.5,14.1,13.4,7.9,11.8,0,0.83,0.17,NA,23439,12416,11023,0.47,0,1,0,0.95,0.97,0.72,0.95,0.99,2182.18,293.69,4288.91,NA,3826.06,NA,NA,821.18,534.99,120.14,997.77,0,968.04,0,0,184.06,310,22,288,NA,249,NA,NA,58,76,9,67,0,63,0,0,13,1051.96,283.06,2496.24,1041.67,1509.26,10798.12,0,600.34,13675.46,980.88,148,21,166,2,97,46,0,42,1924,138
050US13083,13083,16227,14887,1059,7288,7331,94.95,0.63,0,1.65,0.15,2.62,2.22,0.19,16.04,54.59,18.11,767,1764,1398,1205,6327,1057,1062,1150,1161,2939,13160,10221,17.3,20.87,8.11,1.91,16.23,0,0,0,4.1,15.1,21972,24028,12.5,78.67,0.45,15.29,27.1,10.5,10.64,3934,53.66,21.23,16.71,21.35,32.31,25.7,41.89,173.98,1,0.01,0,0.28,0.93,0.01,0.12,0.94,0.02,0.4,0.94,0.02,0.27,4,1,0,NA,3,1,1,1,0,NA,33.35,122.6,NA,16.1,49.41,146.74,33.9,128.99,NA,0.25,0,NA,0.75,0.25,0.25,0.25,0,NA,3,16.1,0.75,3,16.1,0.75,4,11.14,1,3,16.1,0.75,3,16.1,0.75,3,16.1,0.75,16,5,2,30.81,12.33,8.9,17.6,18.1,22.8,23.2,22,19.8,25.7,0.25,0.75,0,NA,16633,4636,11997,0.72,1,0,0,0.61,0.13,0.19,0.91,0.52,982.5,168.29,1798.09,NA,2614.38,NA,NA,989.71,364.93,112.19,618.09,0,0,0,0,385.99,105,9,96,NA,4,NA,NA,100,39,6,33,0,0,0,0,39,518.28,356.41,1041.47,0,1282.05,375.94,0,710,10978.14,442.89,55,19,55,0,2,1,0,71,1165,47
050US13085,13085,23861,23687,1347,11140,11230,96.3,0.96,0.05,0.62,0,2.06,4.37,0.21,11.72,52.32,19.53,1356,2721,1400,1397,8408,1572,1823,1547,1775,4659,18855,14196,14.8,13.99,7.18,2.68,16.74,0,0,0,4,8.7,31183,32646,10.35,219,0.44,10.88,24.73,9.36,13.08,4734,42.15,10.54,21.8,10.08,21.25,18.3,52.84,210.83,5,0.02,0,0.25,0.92,0.01,0.16,0.92,0.05,0.26,0.93,0.01,0.26,3,3,1,1,3,1,1,2,1,1,15.27,49.09,159.54,13,38.93,132.34,17.28,54.14,205.96,1,0.33,0.33,1,0.33,0.33,0.67,0.33,0.33,3,13,1,0,34.17,0,3,5.36,1,2,31.11,0.67,3,13,1,3,13,1,46,13,2,54.48,8.38,35.3,16.5,19.4,20.3,22,25,20.4,26.7,0.33,0.67,0,NA,22330,4397,17933,0.8,1,0,0,0.24,0.15,0.34,0.09,0.1,811.6,199.65,1423.06,NA,4487.18,NA,NA,789.59,412.45,186.34,638.38,0,3205.13,0,0,405.46,122,15,107,NA,7,NA,NA,111,62,14,48,0,5,0,0,57,796.79,285.64,1318.68,515.53,6250,611.62,0,757.15,8997.86,297.99,123,22,102,0.83,11,4,0,109,1389,46
050US13087,13087,26833,25638,1226,12204,9645,52.4,41.61,0.07,0.34,0,5.59,5.88,0.25,13.28,58.26,15.73,1802,3671,1896,1667,10159,1700,1856,1998,1426,4221,20236,16015,17.1,18.39,6.08,2.14,12.55,0,0,0,5.4,25.2,23304,20397,16.73,65.71,0.51,8.74,29.33,15.95,14.08,5434,56.34,38.88,16.81,22.16,27.09,43.26,20.44,597.17,7,0.01,0,0.35,0.43,0.5,0.46,0.48,0.14,0.74,0.48,0.01,0.2,7,6,3,1,6,3,1,0,0,NA,15.51,53.93,506.99,15.72,53.93,506.99,46.47,172.21,NA,0.86,0.43,0.14,0.86,0.43,0.14,0,0,NA,6,13.59,0.86,7,15.02,1,7,11.76,1,6,15.61,0.86,6,13.59,0.86,6,15.72,0.86,30,11,22,40.99,81.99,74.5,9.8,10.9,12.2,12.2,13,10.7,14,0,0.71,0.29,NA,27842,12118,15724,0.56,0,1,0,0.83,0.92,0.61,0.98,0.95,1397.37,116.14,2707.2,NA,2250.37,NA,NA,814.45,234.85,46.46,427.45,NA,309.93,NA,NA,188.86,238,10,228,NA,167,NA,NA,69,40,4,36,NA,23,NA,NA,16,1753.15,221.32,3577.8,3069.57,2878.28,703.52,0,1154.49,10112.95,252.97,298,19,301,3.53,214,7,0,97,1719,43
050US13089,13089,743187,730169,36795,309668,375217,34.52,53.97,0.76,6.1,0.04,4.62,8.58,0.23,12.34,63.46,11.51,52982,95077,43344,48365,323585,50588,49082,45546,40756,85571,568921,483350,10.3,11.03,6.47,3.22,25.52,2415,2378,2415,7.4,16.6,31287,34100,12.89,152.24,0.49,10.45,11.02,12.97,10.74,145471,38.77,11.56,10.3,0.48,20.86,45.69,1156.67,267.72,87,0.32,0,0.72,0.13,0.77,0.58,0.29,0.33,0.47,0.38,0.19,0.17,145,145,126,62,144,66,NA,145,96,NA,5.84,14.42,43.38,12.07,35.39,NA,9.45,26.93,NA,1,0.87,0.43,0.99,0.46,NA,1,0.66,NA,145,7.96,1,145,8.87,1,145,3.04,1,145,6.47,1,145,7.26,1,144,12.07,0.99,627,646,1415,86.92,190.4,43.2,8.3,10.3,10.2,10.4,11.4,13,14.1,0.99,0,0.01,1,691897,690073,1820,0,1,0,0,0.49,0.22,0.97,0.72,0.66,626.42,56.69,1259.45,47.55,974.78,418.01,NA,163.83,165.19,21.12,325.26,11.19,252.9,79.99,NA,58.56,3212,153,3059,17,2779,162,NA,249,847,57,790,4,721,31,NA,89,356.69,83.61,658.38,649.31,259.64,830.68,95.36,242.92,5606.96,249.22,1832,226,1602,232,740,324,1.09,371,28798,1280
050US13091,13091,20919,18855,1346,9810,7467,67.41,28.05,0.01,0.38,0,4.15,3.46,0.2,12.04,54.91,16.92,1106,2366,1115,1404,8014,1555,1499,1560,1279,3540,16737,13197,18.9,16.76,8.05,2.18,13.42,0,0,0,7.2,23.6,21226,18921,16.58,43.83,0.47,11.36,24.31,11.52,9.66,4398,58.9,35.97,21.57,33.15,35.61,33.83,19.78,495.95,NA,NA,NA,0.17,0.63,0.3,0.18,0.65,0.04,0.5,0.63,0.01,0.22,6,5,2,1,0,NA,NA,0,NA,NA,18.42,55.06,158.23,57.73,NA,NA,56.86,NA,NA,0.83,0.33,0.17,0,NA,NA,0,NA,NA,5,18.42,0.83,5,18.93,0.83,6,11.42,1,4,20.5,0.67,4,20.5,0.67,4,20.5,0.67,36,9,11,43.02,52.58,28.4,15,15.2,16.9,18,18,16.5,26.2,0,0.17,0.83,NA,21796,6053,15743,0.72,0,0,0,0.89,0.67,0.63,0.96,0.92,1265.37,204.89,2154.94,NA,1791.38,NA,NA,1069.34,460.13,110.32,753.57,NA,544.22,NA,NA,438.99,176,13,163,NA,79,NA,NA,95,64,7,57,NA,24,NA,NA,39,822.42,335.36,1323.88,0,1207.56,198.81,0,743.71,9490.54,604.08,113,21,99,0,53,1,0,65,1304,83
050US13093,13093,13905,12588,822,6253,5038,45.14,49.08,0.06,0.11,0,5.62,6.89,0.18,12.85,52.35,18.39,563,1468,982,805,5248,989,964,1005,1111,2557,11371,8814,21.2,24.84,7.23,1.82,12.78,0,0,0,12.5,24.6,20534,20259,18.67,54.33,0.47,13.32,33.01,7.9,6.21,3209,63.7,36.99,22.26,28.66,41.39,30.2,15.93,392.63,2,0.01,0,0,0.43,0.49,0.13,0.42,0.08,0.72,0.4,0.01,0.18,3,3,0,0,1,0,NA,0,NA,NA,23.72,94.97,270.12,39.32,170.69,NA,63.93,NA,NA,1,0,0,0.33,0,NA,0,NA,NA,3,6.89,1,3,24.17,1,3,6.89,1,1,29.69,0.33,1,39.32,0.33,1,39.32,0.33,NA,0,0,0,0,1.3,11.3,13,13.8,16,14.7,7,10.1,0,0.33,0.67,NA,14918,6912,8006,0.54,0,1,0,0.97,0.57,0.87,0.87,0.95,1175.84,178.85,1904.41,NA,1707.42,NA,NA,658.07,366.77,102.2,560.12,NA,505.9,NA,NA,236.9,109,7,102,NA,81,NA,NA,25,34,4,30,NA,24,NA,NA,9,462.96,205.97,2390.13,932.2,535.68,588.6,0,298.59,6305.11,198.41,42,8,124,0.55,25,3.82,0,11,572,18
050US13095,13095,91049,86858,5770,40637,35167,26.97,69.03,0.21,0.93,0.04,2.82,2.73,0.24,16.18,61.44,14.63,6151,12299,6956,7777,37491,5058,5479,5479,5771,13321,68948,55627,15.6,17.49,8.4,3.43,18.23,280,220,280,14.2,29.4,21197,21180,13.78,48.13,0.49,12.77,16.61,14.88,12.07,18622,52.95,22.39,14.41,4.82,22.5,54.58,123.65,328.64,15,0.05,0,0.48,0.2,0.76,0.35,0.35,0.05,0.55,0.36,0.04,0.18,27,27,19,6,27,2,NA,27,5,NA,8.76,24.88,71.8,17.56,59.95,NA,12.94,44.15,NA,1,0.7,0.22,1,0.07,NA,1,0.19,NA,27,5.17,1,27,10.88,1,27,4.18,1,27,10.88,1,27,9.1,1,27,17.56,1,127,95,185,104.34,203.19,112.3,7.6,8.6,10.5,10.3,11,15.5,13.6,0.89,0.11,0,NA,94565,81364,13201,0.14,1,1,0,0.94,0.83,0.71,0.92,0.95,1711.9,148.22,3556.55,NA,2049.06,NA,NA,942.18,532.51,81.99,1063.99,NA,638.12,NA,NA,292.65,1003,47,956,NA,867,NA,NA,132,312,26,286,NA,270,NA,NA,41,1177.47,234.68,2178.86,112.43,1243.73,201.07,644.63,929.34,14018.37,911.37,677,73,575,0.76,518,3,0.78,126,8060,524
050US13097,13097,141840,140509,9797,52439,67891,47.42,46.17,0.12,1.59,0,4.71,9.43,0.26,14.2,62.31,10.99,8958,21500,10890,9249,57918,11025,10393,9189,7272,15585,104450,88865,11.7,12.03,9.38,2.6,20.9,360,315,357,6.9,13.1,30393,26621,15.94,276,0.41,8.33,18.62,10.79,12.1,30817,45.39,10.35,6.62,3.88,19.43,35.62,262.07,200.1,10,0.05,0,0.31,0.36,0.51,0.34,0.39,0.13,0.44,0.38,0.03,0.21,20,20,10,5,15,0,NA,20,5,1,10.24,25.64,74.06,26.5,87.98,NA,14.98,41.94,120.72,1,0.5,0.25,0.75,0,NA,1,0.25,0.05,20,14.15,1,20,12.48,1,20,2.12,1,20,17.41,1,20,16.61,1,19,16.9,0.95,156,50,88,35.25,62.04,43.8,15.4,13.9,19,17.4,18,17.5,21.8,0.9,0.1,0,NA,132403,111540,20863,0.16,1,0,0,0.53,0.53,0.87,0.23,0.54,1271.14,245.49,2412.64,NA,1537.99,476.42,NA,1191.25,481.76,138.58,863.7,NA,537.63,107.19,NA,513.04,1219,124,1095,NA,698,40,NA,476,462,70,392,NA,244,9,NA,205,766.39,205.17,1219.99,98.19,756.86,70.69,0,792.22,10314.28,423.37,744,105,560,1.9,358,6.21,0,307,10013,411
050US13099,13099,10348,10205,466,4972,3761,45.76,51.36,0.09,0.55,0,2.24,2.21,0.25,12.69,54.76,18.63,664,1430,651,662,3573,744,630,534,845,1928,7770,5842,14.6,19.88,6,2.47,7.79,0,0,0,7.6,28.8,20790,17598,17.48,34.2,0.47,12.71,34.78,11.06,9.44,2181,57.99,47.69,17.9,27.09,32.49,34.15,9.7,512.6,3,0.01,0,0.28,0.4,0.57,0.6,0.54,0.1,0.73,0.37,0.02,0.2,5,1,0,0,0,NA,NA,0,NA,NA,36.69,144.9,414.05,56.19,NA,NA,58.38,NA,NA,0.2,0,0,0,NA,NA,0,NA,NA,5,15.17,1,5,14.98,1,5,7.37,1,3,18.12,0.6,0,48.41,0,0,56.19,0,10,3,1,28.99,9.66,55.5,10.4,11.4,13.2,13.7,13.9,9,10.9,0,0.4,0.6,NA,11008,3748,7260,0.66,0,1,0,0.94,0.94,0.45,0.8,0.92,1723.86,243.75,3384.62,0,2734.99,0,0,710.98,434.99,NA,NA,NA,NA,NA,NA,NA,107,8,99,0,87,0,0,20,27,NA,NA,NA,NA,NA,NA,NA,690.1,151.65,2794.82,0,1076.26,689.66,0,254.27,26705.18,176.54,43,5,82,0,35,1,0,7,1664,11
050US13101,13101,3994,3994,128,1838,1675,73.76,3.58,2.05,0,0,20.61,24.64,0.22,12.04,57.26,16.17,186,495,334,147,1606,234,388,206,233,646,3133,2487,14.9,28.5,4.09,1.22,14.13,0,0,0,5.1,26.8,22362,22883,16.15,16.5,0.5,8.06,37.31,6.15,15.28,994,59.34,48.3,15.18,51.2,31.05,30.15,4.37,420.41,NA,NA,NA,0.34,0.69,0.06,0.17,0.67,0.27,0,0,0,0.23,2,1,0,0,0,0,NA,0,0,NA,24.76,72.97,216.01,43.07,139.06,NA,38.99,129.88,NA,0.5,0,0,0,0,NA,0,0,NA,2,13.12,1,0,42.7,0,1,24.76,0.5,0,37.04,0,0,42.64,0,0,43.07,0,NA,0,0,0,0,-9,14.2,15.8,17.4,18.9,18.6,11.6,14.9,0,0.5,0.5,NA,4034,0,4034,1,0,0,0,0.83,0.15,0.84,0.36,0.66,312.13,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,8,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,781.02,183.09,1307.46,0,9659.09,162.73,0,392.37,12572.54,754.96,20.08,2.23,17.69,0,12.75,1.24,0,6.38,323.24,19.41
050US13103,13103,58689,58365,5037,22110,28083,81.95,13.55,0.13,0.94,0.04,3.39,4.23,0.27,13.16,62.76,11.11,3936,8963,4283,3442,23936,4144,4153,4009,3029,6519,42957,36438,12.6,12,11.82,2.27,21.2,1,1,1,4,8.6,31489,29795,9.48,122.5,0.43,8.96,28.64,10.29,10.02,14723,52.43,14.96,7.33,19.67,20.08,24.18,46.18,478.79,NA,NA,NA,0.27,0.74,0.18,0.32,0.76,0.07,0.43,0.76,0.02,0.23,10,7,0,NA,1,0,NA,1,1,NA,20.45,65.84,NA,43.38,151.2,NA,42.65,145.48,NA,0.7,0,NA,0.1,0,NA,0.1,0.1,NA,3,38.09,0.3,7,25.96,0.7,10,8.15,1,9,20.33,0.9,2,40.6,0.2,1,43.38,0.1,45,17,11,28.97,18.74,20.9,9.7,10.4,12,14.7,12.3,10.8,15,0,1,0,NA,52250,17215,35035,0.67,1,1,0,0.24,0.38,0.54,0.19,0.24,642.86,101.61,1188.77,NA,1795.65,NA,NA,473.86,227.04,55.88,399.67,NA,556.65,NA,NA,178.09,252,20,232,NA,100,NA,NA,149,89,11,78,NA,31,NA,NA,56,870.61,104.71,1697.13,0,2817.64,298.51,0,604.98,6514.56,277.69,348,21,338,0,161,5,0,193,2604,111
050US13105,13105,19212,18973,1327,9600,7626,68.11,30.65,0,0.22,0,1.02,5.6,0.22,11.07,52.78,19.73,1120,2437,1020,1106,6584,1178,1348,1403,1352,3790,15013,11223,20.2,22.56,8.85,1.92,13.73,0,0,0,6.8,19.5,21063,22593,16.64,63.4,0.48,8.72,37.5,11.3,11.91,4496,58.96,36.13,21.97,26.21,37.34,27.03,27.34,351.1,3,0.01,0,0.24,0.58,0.35,0.36,0.61,0.08,0.73,0.66,0,0.23,5,0,0,NA,0,NA,NA,0,NA,NA,41.43,161.72,NA,56.24,NA,NA,56,NA,NA,0,0,NA,0,NA,NA,0,NA,NA,3,20.95,0.6,5,11.37,1,5,8.36,1,5,11.37,1,5,11.37,1,0,56.24,0,25,10,6,52.05,31.23,57.1,16.1,17.5,17.9,20,20.1,18.6,30.6,0,0.4,0.6,NA,20166,5925,14241,0.71,0,0,0,0.85,0.72,0.8,0.52,0.83,1273.62,213.57,2392.1,NA,2064.41,NA,NA,1007.39,472.33,131.43,832.03,NA,578.03,NA,NA,456.68,151,13,138,NA,75,NA,NA,75,56,8,48,NA,21,NA,NA,34,527.79,116.18,786.44,0,1013.51,303.03,0,189.78,18591.98,306.46,62,7,45,0,36,2,0,14,2184,36
050US13107,13107,22499,21652,1220,9946,8340,61.94,34.21,0.05,0.28,0,3.52,4.46,0.25,13.19,59.54,15.5,1528,3172,1689,1278,8697,1279,1482,1646,1207,3488,16843,13355,18.8,20.8,7.24,2.06,14.91,3,3,3,7.7,27,20249,17981,13.93,41.33,0.47,11.34,33.36,16.49,9.57,5117,61.35,27.57,15.62,24.96,29.72,34.38,14.61,680.57,5,0.01,0,0.26,0.54,0.39,0.34,0.51,0.06,0.75,0.62,0,0.22,6,5,2,2,0,0,NA,5,1,1,15.54,46.9,139.18,52.75,195.61,NA,19.19,54.84,162.57,0.83,0.33,0.33,0,0,NA,0.83,0.17,0.17,6,12.86,1,6,15.94,1,6,10.24,1,5,17.37,0.83,5,14.07,0.83,0,52.75,0,23,12,8,53.34,35.56,63.3,12.4,13.1,16.6,16,16,8.1,11.4,0,0,1,NA,22598,7484,15114,0.67,0,1,0,0.95,0.95,0.79,0.88,0.98,1252.65,200.11,2284.83,NA,2159,NA,NA,807.89,198.16,57.18,336.42,NA,302.66,NA,NA,142.57,177,14,163,NA,107,NA,NA,68,28,4,24,NA,15,NA,NA,12,691.89,56.84,1318.93,0,1379.72,0,0,345.53,5506.92,691.89,98,4,94,0,69,0,0,29,780,98
