HEROP_ID,GEOID,TotPop,TotUnits,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age45_49,Age50_54,Age55_59,Age60_64,AgeOv65,Age15_24P,Und45P,Ovr65P,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,NoHsP,ChildrenP,PovP,UnempP,VacantP
050US01041,01041,13635,5938,7495,896,2066,1084,799,5482,744,623,645,683,2496,13.81,61.93,18.31,73.69,25.99,0.22,0.2,0.07,0.01,0.04,48.72,26.73,24.33,8.94,11.38
050US01043,01043,67613,28369,40827,4463,9562,5106,4570,29518,4033,3533,3333,3397,9774,14.31,64.4,14.46,98.71,0.83,0.4,0.2,0.16,0.02,0.09,41.21,25.16,15.31,5.76,9.74
050US01045,01045,49633,19432,31098,4283,7483,3849,4775,24989,2459,2111,1893,1756,4659,17.38,74.05,9.39,79.31,17.82,2.45,0.48,1.3,0.18,0.91,25.76,27.96,14.79,6.92,9.56
050US01047,01047,48130,19045,26412,3870,8586,4388,3097,20498,2291,2181,1983,2108,6613,15.55,68.47,13.74,41.81,57.81,0.27,0.09,0.26,0.01,0.03,40.42,31.38,36.25,11.35,10.56
050US01049,01049,54651,22939,32736,3362,7942,4231,3646,23901,3289,2762,2756,2631,8008,14.41,64.42,14.65,96.94,1.88,0.39,0.88,0.13,0.01,0.16,46.96,25.45,17.35,5.53,8.59
050US01051,01051,49210,19497,30676,3327,7180,3839,3633,23413,2809,2497,2219,2023,5742,15.18,68.93,11.67,76.92,22.43,0.55,0.28,0.24,0.02,0.11,33.46,25.99,14.5,5.4,15.21
050US01053,01053,35518,14356,21121,2306,5374,2999,2302,15695,2024,1840,1688,1661,4930,14.92,65.81,13.88,68.49,28.28,0.48,2.95,0.16,0.01,0.12,40.12,26.65,28.07,10.67,10.15
050US01055,01055,99840,41787,59375,5973,13862,7823,6615,43151,5647,5090,4951,5290,15876,14.46,63.09,15.9,85.41,13.82,0.33,0.25,0.42,0,0.1,35.92,24.63,16.49,7.24,7.45
050US01057,01057,17962,7555,10430,1099,2637,1461,1122,7592,1040,961,855,848,2930,14.38,63.07,16.31,87.5,12.19,0.43,0.05,0.1,0.01,0.15,43.35,25.62,20.32,9.14,9.21
050US01059,01059,27814,11772,16607,1795,3886,2057,1828,11720,1654,1561,1466,1429,4303,13.97,62.56,15.47,95.14,4.49,0.36,0.2,0.12,0.01,0.04,44.89,24.82,20.72,6.62,7.83
050US01061,01061,23647,10416,13793,1516,3274,1863,1495,9752,1389,1296,1208,1248,3964,14.2,61.5,16.76,87.46,11.94,0.51,0.39,0.06,0,0.14,44.56,24.91,19.49,5.81,11.38
050US01063,01063,10153,4162,5221,787,1990,883,573,4040,434,414,439,459,1590,14.34,67.14,15.66,19.36,80.58,0.24,0.03,0,0,0.03,46.21,32.92,45.57,10.5,15.62
050US01065,01065,15498,6370,8145,1233,2799,1323,907,6341,703,673,602,676,2471,14.39,66.93,15.94,40.36,59.45,0.37,0.13,0.06,0,0,45.63,31.5,35.6,6.91,15.27
050US01067,01067,15374,7056,8773,1008,2324,1279,940,6435,851,742,738,776,2500,14.43,63.53,16.26,64.51,35.09,0.6,0.2,0.01,0.03,0.16,41.49,26.67,17.35,5.29,18.24
050US01069,01069,81331,33196,48730,5985,12562,6367,5261,36809,4788,3813,3637,3609,10128,14.3,68.06,12.45,75.63,23.3,0.57,0.35,0.56,0.02,0.13,31.72,27.63,16.52,4.74,7.09
050US01071,01071,47796,19768,29482,2986,6979,3826,3181,21356,3086,2725,2452,2212,6000,14.66,65.53,12.55,93.51,4.12,0.44,2.13,0.18,0.01,0.05,41.92,25.76,16.62,6.81,8.84
050US01073,01073,651525,273097,397465,44919,91276,44936,45769,299535,34818,29786,28764,30955,91472,13.92,66.88,14.04,64.21,35.07,0.42,0.14,0.49,0.01,0.09,26.15,24.95,16,6.54,7.92
050US01075,01075,15715,6617,9255,999,2243,1247,1023,6670,913,837,798,785,2470,14.44,63.07,15.72,87.85,11.85,0.45,0.15,0.06,0.01,0.09,47.1,25.39,18.01,5.78,9.25
050US01077,01077,79661,33522,49206,5096,10646,6075,6308,35780,4740,4142,4007,3876,11374,15.54,64.68,14.28,89.83,9.66,0.39,0.21,0.23,0.02,0.06,32.12,23.95,14.88,5.74,7.81
050US01079,01079,31513,12212,19137,2293,4778,2611,2438,14426,1907,1602,1417,1353,3737,16.02,68.22,11.86,77.95,15.23,0.32,6.74,0.06,0,0.03,44.43,27.41,19.82,6.71,6.57
050US01081,01081,87146,36636,60607,5409,10518,9775,16080,50409,4106,3419,3083,2751,7451,29.67,76.12,8.55,74.46,23.42,0.63,0.15,1.8,0.02,0.15,26.78,21.9,24.86,6.69,9.66
050US01083,01083,54135,21455,34408,3691,7569,3963,4159,25994,3188,2807,2533,2232,6121,15,68.82,11.31,86.19,13.17,0.48,0.27,0.27,0.02,0.08,36.87,25.13,13.98,6.28,8.25
050US01085,01085,12658,4792,6658,1142,2493,1220,869,5381,559,520,496,462,1605,16.5,71.23,12.68,25.16,74.7,0.47,0.08,0.03,0,0.02,43.32,34.72,38.57,11.73,15.36
050US01087,01087,24928,9818,14459,1794,3558,3177,2707,11943,1108,851,859,988,3827,23.6,69.38,15.35,13.81,85.61,0.41,0.1,0.39,0,0.09,38.06,26.64,34.49,14.3,13.6
050US01089,01089,238912,97855,158767,17462,32135,17320,19443,119844,14005,12953,11814,9309,21390,15.39,70.92,8.95,77.1,20.14,1.25,0.67,1.72,0.06,0.32,19.76,24.59,10.85,5.37,6.79
050US01091,01091,23084,9144,12721,1800,3912,2006,1459,9650,1194,1043,1078,1037,3370,15.01,66.55,14.6,49.01,50.88,0.32,0.05,0.04,0,0.01,38.61,30.29,30.01,7.67,10.8
050US01093,01093,29830,12597,17970,1887,4049,2347,2084,12862,1835,1694,1481,1484,4538,14.85,63.02,15.21,96.41,3.24,0.22,0.19,0.12,0,0.04,49.98,24.55,19.14,9.03,8.54
050US01095,01095,70832,30225,43415,4583,9655,5339,4651,31075,4367,3830,3746,3625,9951,14.1,63.97,14.05,97.92,1.53,0.41,0.33,0.15,0.01,0.06,38.53,24.66,17.23,7.48,8.15
050US01097,01097,378643,151220,225955,29633,60700,29676,27437,174109,20712,17239,15727,15868,44655,15.08,69.84,11.79,67.31,31.13,0.84,0.51,0.88,0.01,0.15,29.86,28.53,21.37,8.96,9.47
050US01099,01099,23968,9633,13441,1869,4134,2194,1577,10434,1294,1048,1026,1014,3149,15.73,68.58,13.14,59.75,39.1,0.39,0.9,0.21,0.01,0.03,40.76,30.78,22.68,8.64,12.68
050US01101,01101,209085,84525,127427,16119,31714,17221,16004,100136,10929,9089,8622,8202,24274,15.89,70.77,11.61,57.12,41.76,0.78,0.2,0.72,0.01,0.19,24.71,27.45,17.9,6.95,8.7
050US01103,01103,100043,40419,62329,6911,14751,7144,6612,46117,6178,5263,4782,4343,11698,13.75,67.75,11.69,89.08,10.08,0.58,0.31,0.37,0,0.16,30.62,26,12.03,5.27,6.48
050US01105,01105,12759,4807,6735,976,2263,1458,911,5272,555,601,533,537,2022,18.57,66.71,15.85,35.29,64.42,0.28,0.13,0.09,0.02,0.05,49.03,31.37,42.64,7.5,12.61
050US01107,01107,20699,8379,11411,1463,3442,1594,1259,8158,1021,1088,1053,1080,3394,13.78,63.11,16.4,57.98,41.77,0.24,0.12,0.11,0.02,0,43.83,28.47,28.89,8.28,9.68
050US01109,01109,27595,11506,16697,1843,3761,2977,3374,13284,1390,1139,1081,1065,4032,23.02,68.45,14.61,64.56,34.6,0.39,0.53,0.24,0,0.07,41.04,24.88,27.24,8.29,10.36
050US01111,01111,19881,8728,11405,1272,2947,1544,1344,8341,1021,973,986,1050,3291,14.53,63.18,16.55,76.14,23.57,0.27,0.15,0.11,0,0.04,49.68,26.08,18.87,6.44,13.46
050US01113,01113,46860,19633,28439,3536,6789,3625,3499,21023,2613,2437,2271,2250,5941,15.2,66.9,12.68,60.76,38.6,0.64,0.19,0.2,0.05,0.2,42.97,26.63,20.37,8.86,10.87
050US01115,01115,50009,20382,30901,3602,7380,3791,3388,22926,3163,2472,2361,2307,5798,14.36,67.8,11.59,90.26,9.12,0.42,0.27,0.13,0.02,0.19,39,26.62,14.76,5.62,13.33
050US01117,01117,99358,39201,64602,7978,15157,6964,7347,51369,5898,4506,3667,3218,7565,14.4,74.99,7.61,91.3,7.77,0.53,0.27,0.57,0.01,0.09,21.81,27.37,9.16,3.36,8.2
050US01119,01119,16174,6545,8848,1228,2837,1751,1424,7259,635,620,615,626,2354,19.63,70.01,14.55,29.42,70.29,0.48,0.04,0.18,0.01,0.06,47.57,30.74,39.75,10.68,15.28
050US01121,01121,74107,29861,44032,5093,11556,6535,5169,33402,4057,3534,3529,3354,9582,15.79,67.54,12.93,68.78,30.73,0.66,0.23,0.15,0.01,0.1,39.27,27.65,20.16,7.61,11.43
050US01123,01123,38826,17312,22646,2493,5513,3139,2561,16516,2173,1910,1940,2028,6253,14.68,63.16,16.11,73.39,26.3,0.18,0.16,0.09,0.01,0.06,42.17,25.57,16.03,4.62,15.09
050US01125,01125,150522,58740,97778,9647,19905,14387,18108,77585,7370,6407,6201,6328,17079,21.59,71.18,11.35,72.68,26.16,0.63,0.17,0.83,0.01,0.15,30.42,23.69,20.06,6.02,5.76
050US01127,01127,67670,28427,40814,4220,9720,5320,4482,29702,4054,3632,3343,3253,9746,14.49,64.49,14.4,93.16,6.51,0.33,0.12,0.15,0.01,0.05,43.96,25.28,17.32,7.4,10.11
050US01129,01129,16694,6625,9601,1229,2952,1424,1133,7326,956,799,755,667,2010,15.32,68.93,12.04,65.8,27.69,0.31,6.4,0.07,0.01,0.03,41.83,30.45,24.84,10.45,13.83
050US01131,01131,13568,5119,6810,1075,2666,1294,829,5406,591,559,525,600,2146,15.65,67.42,15.82,30.98,68.93,0.29,0.04,0.02,0.02,0,48.88,33.99,45.2,14.27,13.75
050US01133,01133,22053,10254,13513,1414,2998,1683,1512,9619,1466,1211,1126,1111,3108,14.49,63.62,14.09,99.42,0.26,0.27,0.19,0.11,0,0.01,51.24,24.63,19.79,9.44,16.68
050US02013,02013,2464,693,1859,181,304,141,320,1544,139,98,93,47,58,18.71,82.35,2.35,33.56,0.65,7.31,42.29,18.51,0.28,4.71,33.57,22.2,11.87,1.38,23.09
050US02016,02016,9478,2051,7513,779,953,581,1767,6871,333,227,138,95,82,24.77,90.77,0.87,67.1,6.98,7.83,11.35,9.86,0.46,4.23,14.16,19.87,8.95,3.32,10.04
050US02020,02020,226338,94153,151392,21499,36207,15220,17732,125030,13840,9407,6955,5142,8258,14.56,80.74,3.65,80.74,6.43,4.09,6.44,4.29,0.53,1.58,9.61,29.46,7.07,7.04,12.16
050US02050,02050,13656,4362,7667,1865,2796,1073,1074,6545,698,410,390,295,657,15.72,82.06,4.81,15.41,0.45,0.59,83.26,0.59,0.07,0.21,37.7,39.05,30.02,13.07,17.35
050US02060,02060,1410,596,986,123,212,69,126,842,69,58,41,23,42,13.83,83.48,2.98,63.4,2.7,2.34,32.27,0.57,0.28,0.78,10.24,27.09,5.15,6.93,31.71
050US02068,02068,2433,972,1473,267,468,152,139,1190,142,107,83,64,112,11.95,79.11,4.62,42.27,1.04,0.97,55.74,0.42,0.18,0.34,26.79,34.83,26.05,21.42,43.91
050US02070,02070,4012,1691,2303,560,788,248,255,1892,209,130,131,97,205,12.54,80.76,5.11,25.4,0.2,1.22,72.91,0.47,0.2,0.82,30.25,37.49,24.57,10.58,28.15
050US02090,02090,77720,31823,50843,8086,13343,5322,7724,43846,3916,2538,1933,1518,2540,16.79,83.99,3.27,82.03,7.14,3.73,6.86,2.31,0.26,1.4,10.19,31.31,7.58,10.21,16.12
050US02100,02100,2117,1112,1343,155,340,129,101,1022,151,107,93,67,182,10.86,71.66,8.6,85.12,0.05,1.28,13.18,0.76,0.05,0.85,21.46,27.96,9.16,7.78,28.87
050US02105,02105,1291,1575,800,115,244,88,62,647,77,60,44,34,69,11.63,77.95,5.36,60.41,0.16,1.53,38.08,0.43,0.3,0.62,20.72,32.7,8.92,13.11,32.35
050US02110,02110,26751,10638,17537,2410,4406,1642,1531,14097,1791,1213,821,649,1364,11.86,78.18,5.1,80.63,1.09,2.8,12.94,4.03,0.29,1.02,10.14,29.34,5.59,4.81,6.92
050US02122,02122,40802,19364,25391,3795,7609,2939,2086,20535,2549,1731,1387,1181,2015,12.32,78.28,4.94,90.9,0.5,1.78,7.19,0.83,0.22,0.36,12.77,32.83,7.74,10.33,26.41
050US02130,02130,13985,5466,8900,1226,2367,915,877,6963,941,666,470,440,912,12.82,75.47,6.52,81.61,0.39,2.06,13.99,3.41,0.12,0.48,14.73,29.84,4.2,7.23,7.93
050US02150,02150,13309,4885,8753,1403,2233,841,1098,7521,685,440,342,260,425,14.57,83.83,3.19,69.79,1.01,4.98,15.97,10.61,0.6,2.01,15.33,31.04,5.51,5.3,16.42
050US02164,02164,1668,991,949,213,360,92,104,766,80,56,56,52,85,11.75,80.28,5.1,23.32,0,1.92,75.6,0.54,0.18,0.36,39.27,38.01,20,15.14,48.64
050US02170,02170,39683,20953,23804,3873,8278,2674,1593,19425,2391,1536,1258,1056,1866,10.75,79.57,4.7,93.11,0.77,1.9,4.89,0.66,0.09,0.48,12.21,35.31,9.39,11.58,36.08
050US02180,02180,8288,3684,4694,1073,1689,627,551,3954,409,292,247,205,419,14.21,81.03,5.06,24.41,0.11,1.28,74.18,0.65,0.01,0.64,35.03,38.31,22.38,16.46,35.64
050US02185,02185,5979,2153,3544,830,1178,378,413,2873,326,248,206,121,197,13.23,81.64,3.29,21.31,0.69,2.07,72.52,4.26,0.5,0.72,31.51,37.43,8.66,14.65,22.29
050US02188,02188,6113,1998,3200,960,1366,490,458,2778,223,186,172,147,281,15.51,83.49,4.6,13.76,0.2,0.59,85.21,0.7,0.08,0.05,36.18,43.06,18.47,20.29,23.62
050US02195,02195,4407,1594,2730,431,742,285,237,2155,280,188,156,138,317,11.86,75.5,7.2,78.73,0.16,1.69,19.41,1.32,0.01,0.37,18.97,30.84,5.67,6.81,16.34
050US02198,02198,6121,2527,3933,570,1161,392,368,3107,434,284,201,153,211,12.41,79.05,3.44,61.47,0.14,1.93,37.56,0.33,0.11,0.38,22.54,32.3,9.13,14.86,18.95
050US02220,02220,8588,3222,5461,764,1527,553,581,4320,542,423,277,243,492,13.2,76.98,5.73,74.05,0.45,2.43,20.92,3.67,0.21,0.7,12.98,30.68,4.82,6.69,8.78
050US02230,02230,692,527,429,62,131,47,33,347,42,32,24,18,37,11.63,77.95,5.36,60.41,0.16,1.53,38.08,0.43,0.3,0.62,20.72,32.7,8.92,13.11,32.35
050US02240,02240,5913,3149,3582,601,1242,403,360,2939,348,253,168,139,223,12.9,80.87,3.77,78.98,4.9,2.99,13.02,1.25,0.14,1.71,14.13,35.65,14.19,15.7,39.38
050US02261,02261,7358,5196,4869,651,1207,482,401,3876,471,343,259,209,342,12.01,77.93,4.65,82.87,0.57,2.71,12.51,2.83,0.42,0.79,16.13,29.18,8.92,10.35,34.08
050US02270,02270,5791,1882,2879,1040,1279,484,494,2541,200,170,177,126,258,16.89,83.92,4.46,5.97,0.21,0.29,93.33,0.36,0.03,0.09,42.22,45.83,31,28.86,27.31
050US02275,02275,2635,929,1633,257,444,171,142,1288,168,112,93,83,190,11.86,75.5,7.2,78.73,0.16,1.69,19.41,1.32,0.01,0.37,18.97,30.84,5.72,6.92,16.38
050US02282,02282,4996,346,3204,444,879,334,257,2570,310,232,173,137,249,11.83,77.94,4.99,72.07,0.37,2.14,24.81,1.68,0.36,0.71,18.28,30.87,8.92,13.11,32.35
050US02290,02290,6045,3927,3660,663,1162,378,344,2957,353,265,207,158,280,11.95,79.11,4.62,42.27,1.04,0.97,55.74,0.42,0.18,0.34,26.79,34.83,26.05,21.42,43.91
050US04001,04001,61591,26731,31788,7494,14453,5826,4352,26635,2764,2355,2085,1666,4139,16.53,78.88,6.72,20.22,0.16,4.22,77.61,0.13,0.02,1.85,45.34,41.67,47.08,23.6,40.22
050US04003,04003,97624,40238,57601,7519,15248,7742,6868,43405,5300,4626,4459,4611,12456,14.97,67.78,12.76,81.66,5.2,29.07,0.81,2.03,0.27,10.02,24.3,28.24,20.31,9.9,14.15
050US04005,04005,96591,42914,61140,8613,16694,9868,11148,51951,4611,3548,2960,2672,5542,21.76,79.98,5.74,64.02,1.47,10.04,29.23,0.81,0.08,4.39,20.96,30.96,23.07,9.04,30.28
050US04007,04007,40216,22961,21674,2845,6044,2723,1825,14392,2248,2076,2222,2574,7815,11.31,57.89,19.43,76.53,0.25,18.61,13.02,0.32,0.03,9.85,31.89,26.67,18.32,10.4,32.76
050US04009,04009,26554,9112,14402,2329,5100,2383,1844,11327,1243,1049,1063,1093,3350,15.92,70.63,12.62,77.59,1.89,25.16,14.88,0.35,0.05,5.24,32.41,33.15,26.69,12.72,12.97
050US04011,04011,8008,3582,4373,597,1662,675,304,3254,474,369,403,353,896,12.23,68.84,11.19,85.35,0.35,43.16,2.29,0.2,0,11.81,25.81,34.2,12.65,8.68,21.58
050US04012,04012,13844,10182,7529,1073,2055,859,734,5089,726,684,733,838,2646,11.51,59.35,19.11,74.65,0.85,22.67,17.35,0.71,0.03,6.41,37.04,26.5,28.2,7.63,47.48
050US04013,04013,2122101,952041,1301053,170182,303145,144889,164561,1017296,114248,89632,80724,81617,265257,14.58,70.24,12.5,84.79,3.5,16.28,1.79,1.61,0.1,8.2,18.5,26.19,12.33,6.05,15.18
050US04015,04015,93497,50822,53099,6118,11807,5009,4504,33753,5258,5075,5320,6893,19273,10.17,55.27,20.61,95.01,0.32,5.26,2.29,0.52,0.09,1.76,27.19,22.59,14.16,5.97,27.59
050US04017,04017,77658,38967,41451,8635,16745,6805,4985,33230,3678,3295,2884,2816,6375,15.18,75.47,8.21,44.05,0.91,7.28,52.04,0.27,0.07,2.66,35.41,38.41,34.7,17.02,43.06
050US04019,04019,666880,298207,409206,49910,91146,48286,55799,316377,34145,28110,27180,28536,91476,15.61,68.59,13.72,78.72,3.12,24.48,3.05,1.71,0.08,13.32,19.49,24.92,17.2,7.58,12.21
050US04021,04021,116379,52732,66340,9711,19177,8550,7377,49357,5886,5343,5236,5728,15941,13.69,67.23,13.7,74.94,3.13,29.27,9.27,0.4,0.04,12.22,34.53,29.3,23.61,9.18,25.75
050US04023,04023,29676,9595,16325,2755,5753,2667,1844,12854,1458,1275,1184,1251,3146,15.2,71.98,10.6,74.67,0.33,78.25,0.22,0.51,0.04,24.24,42.79,34.39,26.41,10.45,8.2
050US04025,04025,107714,54805,58917,5991,13411,6408,4937,38073,5912,5259,5924,7531,25613,10.53,53.36,23.78,95.72,0.3,6.4,1.62,0.4,0.05,1.91,21.12,21.52,13.57,6.17,18.3
050US04027,04027,106895,46541,60437,9087,17657,8232,8839,47457,4620,4249,4281,4695,14849,15.97,69.41,13.89,75.5,2.86,40.59,1.34,1.17,0.13,19,35.08,29.57,19.9,11.35,23.1
050US05001,05001,21653,9575,12087,1474,3444,1577,1143,8860,1178,1017,1018,1038,3624,12.56,63.63,16.74,77.66,21.88,0.28,0.24,0.16,0,0.05,38.87,27.44,20.45,6.23,12.39
050US05003,05003,24319,9820,13926,1738,3892,1985,1510,10250,1467,1211,1150,1069,3542,14.37,65.3,14.56,72.01,27.21,0.9,0.19,0.15,0.05,0.4,37.18,28.17,20.93,8.53,9.47
050US05005,05005,31186,15549,16012,1459,3546,1638,1280,9879,1685,1461,1703,2346,9107,9.36,47.73,29.2,99.29,0.01,0.55,0.39,0.19,0,0.11,32.06,19.45,16.32,7.26,13.27
050US05007,05007,97499,41444,55876,6652,13713,6486,6009,40167,5271,4408,4659,5190,17439,12.82,62.08,17.89,97.4,0.13,1.39,1.47,0.44,0.02,0.53,25.23,24.8,9.63,3.49,9.38
050US05009,05009,28297,12380,16403,1817,3983,2051,1681,11597,1654,1422,1434,1512,4878,13.19,61.48,17.24,99.08,0.02,0.6,0.62,0.12,0.04,0.12,32.35,24.79,13.88,4.79,10.09
050US05011,05011,11793,5092,6518,778,1713,877,733,4633,668,570,596,607,2228,13.65,60.41,18.89,67.94,30.93,1.62,0.11,0.02,0,1,43.86,25.84,24.86,8.98,10.74
050US05013,05013,5826,2437,3298,412,908,399,363,2414,302,297,271,262,960,13.08,64.09,16.48,74.79,24.84,0.53,0.09,0.12,0,0.17,36.66,26.91,15.56,11.11,10.34
050US05015,05015,18654,8740,10744,1135,2608,1225,1009,7437,1139,944,940,1062,3389,11.98,59.93,18.17,98.72,0.03,1.04,0.78,0.28,0.01,0.17,31.65,24.24,15.19,5.9,13.62
050US05017,05017,15713,6191,8088,1247,2913,1455,925,6111,800,675,711,717,2539,15.15,65.37,16.16,42.59,56.38,1.01,0.14,0.32,0.04,0.53,48.79,32.37,40.37,13.98,10.24
050US05019,05019,21437,8807,13073,1260,2688,2228,2539,10066,1052,931,911,954,3575,22.24,65.37,16.68,76.24,22.92,0.59,0.26,0.31,0.04,0.23,35.1,22.34,23.94,6.12,10.22
050US05021,05021,18107,8362,10188,1035,2342,1258,1038,6873,1093,953,961,1104,3746,12.68,56.61,20.69,99.58,0.03,0.39,0.25,0.08,0,0.06,52.06,23.05,21.21,7.16,10.26
050US05023,05023,19411,10802,11140,1017,2433,1177,936,7016,1196,1120,1241,1335,4053,10.89,53.92,20.88,99.39,0.03,0.54,0.37,0.11,0,0.1,38.95,21.73,17.32,7.86,26.62
050US05025,05025,7781,3322,4573,502,1157,616,499,3279,472,453,389,367,1162,14.33,63.46,14.93,85.86,13.61,0.6,0.17,0.18,0,0.18,40.08,26.29,19.03,6.73,13.67
050US05027,05027,25691,10690,14636,1792,3871,2082,1944,10838,1284,1201,1192,1191,4322,15.67,64.23,16.82,64.47,35,0.3,0.21,0.24,0,0.08,35.73,26.21,24.37,7.98,9.84
050US05029,05029,19151,8009,10807,1333,2987,1439,1105,7773,1033,982,921,984,3138,13.28,63.15,16.39,84.27,15.02,0.62,0.38,0.14,0.02,0.17,35.5,27.18,16.51,7.01,10.36
050US05031,05031,68956,28434,43565,4824,9426,5814,6922,33460,3904,3191,2949,2845,8357,18.47,69.19,12.12,93.46,5.48,0.56,0.29,0.56,0.01,0.2,32.5,24.7,17.04,5.17,7.56
050US05033,05033,42493,16711,25075,3198,7099,3244,2575,18802,2605,2131,1891,1689,5078,13.69,68.48,11.95,96.43,0.88,1.08,1.55,0.89,0.03,0.23,36.24,29.04,16.29,6.27,8.74
050US05035,05035,49939,18875,28729,4409,9013,4098,3508,22496,2693,2238,1917,1888,5285,15.23,71.92,10.58,56.37,42.85,0.67,0.18,0.35,0.01,0.23,42.41,31.89,27.06,9.45,9.3
050US05037,05037,19225,7254,10733,1447,3321,1629,1223,8183,1146,864,740,849,2675,14.83,67.37,13.91,74.61,24.87,0.57,0.21,0.19,0.02,0.1,44.15,30.26,25.35,9.19,6.89
050US05039,05039,9614,4049,5303,637,1448,736,522,3839,564,431,456,482,1757,13.09,61.62,18.28,61.09,38.46,0.33,0.17,0.11,0,0.17,40.82,26.57,22.34,6.66,11.09
050US05041,05041,16798,6706,8984,1349,3095,1405,1025,6973,834,739,615,703,2490,14.47,67.97,14.82,56.55,42.5,0.9,0.29,0.22,0,0.44,43.46,31.69,33.98,11.86,11.17
