"GEOID","TotPop","TotUnits","Age18_64","Age0_4","Age5_14","Age15_19","Age20_24","Age15_44","Age45_49","Age50_54","Age55_59","Age60_64","AgeOv65","Age15_24P","Und45P","Ovr65P","WhiteP","BlackP","HispP","AmIndP","AsianP","PacIsP","OtherP","DisbP","NoHsP","ChildrenP","PovP","UnempP","VacantP"
"01059",31223,13749,18941,1983,4336,2178,2036,12965,2106,1952,1679,1565,4637,13.5,61.76,14.85,89.68,4.21,7.42,0.33,0.11,0.1,5.67,54,37.89,24.49,18.89,5.58,10.84
"01061",25764,12115,15378,1437,3596,1773,1317,10007,1803,1758,1562,1398,4203,11.99,58.38,16.31,87.11,10.65,1.76,0.76,0.12,0.02,1.36,54,34.38,24,19.62,7.97,13.52
"01063",9974,5117,5593,770,1607,873,547,3919,762,563,464,419,1470,14.24,63.12,14.74,19.09,80.34,0.58,0.12,0.08,0,0.37,54,35.17,29.19,34.28,13.11,23.18
"01065",17185,7756,9782,1408,2829,1383,1033,7007,1156,1009,793,667,2316,14.06,65.43,13.48,39.83,58.95,0.91,0.17,0.16,0.02,0.89,54,34.77,29.6,26.88,7.99,17.29
"01067",16310,8037,9717,1019,2171,1180,928,6298,1231,1190,954,779,2668,12.92,58.17,16.36,65.67,32.3,1.53,0.21,0.06,0.02,1.77,53,33.32,24.06,19.06,6.31,18.81
"01069",88787,39571,53639,6037,12974,6140,5142,36792,6455,5829,4719,3819,12162,12.71,62.85,13.7,73.08,24.6,1.26,0.37,0.62,0.02,1.33,40,23.47,25.89,15,5.23,9.44
"01071",53926,24168,33680,3387,7299,3686,3155,22327,3901,3774,3229,2799,7210,12.69,61.22,13.37,91.89,3.74,1.13,1.75,0.23,0.02,2.38,45,32.95,24.17,13.67,5.13,10.56
"01073",662047,288162,407522,43281,92875,46075,45580,288193,49873,41596,30607,25337,90285,13.84,64.1,13.64,58.1,39.36,1.55,0.21,0.9,0.03,1.42,41,19.11,24.81,14.77,6.31,8.64
"01075",15904,7517,9626,926,2118,1148,938,6497,1038,1073,872,852,2528,13.12,59.99,15.9,86.87,11.98,1.3,0.11,0.06,0,0.97,57,34.94,23.58,16.09,7.1,13.96
"01077",87966,40424,54458,5217,11527,6214,6211,36951,6272,5747,4822,4189,13241,14.12,61.04,15.05,88.38,9.85,1.02,0.25,0.35,0.02,1.17,41,23.63,23.04,14.43,5.6,10.73
"01079",34803,15009,21668,2201,5184,2470,2009,14972,2380,2308,1981,1582,4195,12.87,64.24,12.05,77.77,13.36,1.05,5.36,0.1,0.01,3.41,52,34.38,25.69,15.25,6.23,9.8
"01081",115092,50329,78953,7195,15258,11767,18715,62799,6763,5916,4411,3413,9337,26.48,74.07,8.11,74.07,22.65,1.43,0.24,1.63,0.02,1.41,32,18.59,23.29,21.81,5.76,9.19
"01083",65676,26897,42064,4349,9266,4311,4202,29588,4666,4372,3375,2789,7271,12.96,65.78,11.07,83.79,13.33,2.65,0.46,0.35,0.02,2.07,40,25.5,24.88,12.35,4.26,8.21
"01085",13473,5801,7759,1004,2317,1183,791,5622,903,754,633,594,1646,14.65,66.38,12.22,25.86,73.37,0.63,0.11,0.12,0.02,0.54,57,35.74,30.19,31.37,11.93,15.38
"01087",24105,10627,14657,1565,3515,2438,2625,10586,1585,1409,1154,924,3367,21,64.99,13.97,13.96,84.64,0.72,0.16,0.38,0,0.86,53,30.01,25.23,32.84,12.29,15.78
"01089",276700,120288,175898,18800,40492,19846,17625,124649,19775,17441,13735,11793,30015,13.54,66.48,10.85,72.06,22.78,1.89,0.77,1.86,0.06,2.53,32,14.58,25.58,10.55,5.73,8.59
"01091",22539,10127,12830,1524,3754,1756,1201,8813,1540,1409,1158,1054,3287,13.12,62.52,14.58,47.28,51.71,0.97,0.08,0.18,0.01,0.74,54,28.06,28.49,25.9,8.74,13.43
"01093",31214,14416,19242,1876,3963,2004,1764,12564,2091,2152,1923,1711,4934,12.07,58.96,15.81,94.76,3.63,1.15,0.29,0.2,0.03,1.11,52,36.84,22.55,15.64,8.09,11.92
"01095",82231,36331,50077,5503,11467,5566,4880,34282,5532,5184,4591,3955,11717,12.7,62.33,14.25,93.38,1.47,5.66,0.53,0.24,0.04,4.38,44,30.65,24.85,14.66,5.75,10.42
"01097",399843,165101,242043,29334,62104,30504,27932,173049,27670,24800,19165,15802,47919,14.61,66.15,11.98,63.07,33.38,1.22,0.67,1.41,0.03,1.47,43,23.28,27.48,18.51,7.6,9.04
"01099",24324,11343,14078,1827,3826,1942,1378,9833,1721,1469,1236,1049,3363,13.65,63.67,13.83,57.75,40.07,0.78,0.97,0.29,0.01,0.92,43,32.12,28.3,21.32,8.38,17.28
"01101",223510,95437,139557,15472,32613,17257,18565,102409,15328,13472,9885,8024,26307,16.03,67.33,11.77,48.85,48.58,1.19,0.25,0.99,0.03,1.33,38,19.74,25.79,17.34,6.66,9.82
"01103",111064,47388,69212,7317,16111,7499,6589,47494,8149,7537,5972,4776,13708,12.68,63.86,12.34,85.07,11.24,3.28,0.67,0.45,0.07,2.57,41,23.66,25.34,12.29,5.41,7.99
"01105",11861,5406,6562,903,1970,1165,814,4776,680,642,563,565,1762,16.68,64.49,14.86,30.86,68.38,0.86,0.08,0.03,0.03,0.65,54,37.62,29.82,35.36,14.71,19.85
"01107",20949,9520,11945,1421,3223,1668,1176,8240,1427,1261,1054,1030,3293,13.58,61.5,15.72,55.95,42.96,0.7,0.12,0.11,0.02,0.87,53,30.35,27.26,24.91,8.22,15.06
"01109",29605,13981,18667,1923,4026,2681,3267,13641,1803,1748,1470,1267,3727,20.09,66.17,12.59,60.77,36.6,1.23,0.66,0.35,0.02,1.62,45,30.91,24.36,23.07,9.29,14.65
"01111",22380,10285,13196,1480,3195,1616,1280,8884,1521,1437,1187,1112,3564,12.94,60.59,15.92,76.38,22.24,1.22,0.2,0.22,0,0.96,48,38.06,25.11,17.01,5.34,15.97
"01113",49756,22831,30021,3515,7468,3531,3230,21086,3406,3031,2504,2205,6541,13.59,64.45,13.15,56.69,40.84,1.5,0.37,0.36,0.07,1.74,51,33.48,26.52,19.9,6.32,13.53
"01115",64742,27303,40747,4252,9413,4265,3615,27785,4699,4431,3688,2896,7578,12.17,64.02,11.7,90.03,8.13,1.06,0.37,0.17,0.03,1.29,39,28.66,25.36,12.08,4.16,11.57
"01117",143293,59302,93494,10718,21014,9332,8310,65866,11415,10080,7038,4983,12179,12.31,68.11,8.5,89.8,7.4,2.03,0.33,1.03,0.02,1.44,28,13.15,26.25,6.31,2.96,7.88
"01119",14798,6953,8437,1066,2481,1281,1278,6308,975,745,592,575,2056,17.29,66.6,13.89,25.92,73.17,1.12,0.09,0.1,0.01,0.72,51,35.24,29.09,38.7,11.45,17.91
"01121",80321,34469,49600,5091,11376,5853,5002,34020,5906,5364,4291,3618,10655,13.51,62.86,13.27,67.02,31.55,1.01,0.23,0.2,0.02,1,53,30.35,24.98,17.61,7.74,11.01
"01123",41475,20510,24566,2562,5751,2708,2149,15946,2944,2887,2507,2006,6872,11.71,58.49,16.57,73.48,25.36,0.58,0.26,0.18,0.01,0.72,53,29.92,24.2,16.56,6.06,18.79
"01125",164875,71429,107767,10592,21543,14558,19125,79961,11598,9768,7073,5775,18565,20.43,67.99,11.26,68.12,29.31,1.29,0.23,0.92,0.03,1.42,39,21.18,23.38,17.02,6.17,9.68
"01127",70713,32417,43624,4520,9267,4706,4253,28754,5034,4994,4073,3618,10453,12.67,60.16,14.78,92.15,6.17,0.86,0.28,0.2,0.02,1.19,59,32.79,23.53,16.5,6.45,12.5
"01129",18097,8123,10662,1308,2977,1451,1010,7424,1243,1157,976,766,2246,13.6,64.7,12.41,64.98,26.89,0.88,7.12,0.06,0.03,0.95,44,27.69,28.67,18.48,7.67,17.46
"01131",13183,6183,7332,1067,2236,1165,771,5299,853,754,592,572,1810,14.69,65.25,13.73,27.51,71.9,0.74,0.14,0.13,0.02,0.32,54,40.46,30.65,39.94,15.2,22.76
"01133",24843,12502,15422,1545,3334,1628,1346,10104,1673,1801,1542,1311,3533,11.97,60.31,14.22,97.32,0.38,1.5,0.46,0.13,0.01,1.71,49,37.4,23.7,17.14,6.25,19.16
"02013",2697,724,2172,116,248,156,208,1504,285,252,141,80,71,13.5,69.26,2.63,23.95,1.67,12.57,37.26,26.51,0.3,10.6,22,25.26,16.83,21.83,41.42,27.35
"02016",5465,2234,4401,257,514,260,336,3198,562,460,203,146,125,10.91,72.63,2.29,40.04,3.02,10.48,20.95,24.59,0.62,11.4,31,21.48,17.18,11.88,12.7,43.15
"02020",260283,100368,170170,20033,43368,19662,17694,125679,21685,17118,11240,6918,14242,14.35,72.64,5.47,72.23,5.84,5.69,7.28,5.55,0.93,9.11,26,9.71,29.15,7.35,6.76,5.53
"02050",16006,5188,8798,1605,3792,1468,1065,7153,967,732,599,327,831,15.83,78.41,5.19,12.53,0.38,0.87,81.93,1.05,0.06,4.1,29,29.03,39.84,20.61,14.59,18.54
"02060",1258,979,816,89,236,99,44,581,122,93,49,40,48,11.37,72.02,3.82,52.54,0.56,0.56,43.72,0.24,0.48,2.94,43,11.13,31.32,9.46,10.48,49.95
"02068",1893,1351,1385,98,260,127,92,915,232,159,107,64,58,11.57,67.25,3.06,85.74,1.43,2.48,4.75,1.53,0.37,6.55,18,8.28,23.77,7.89,11.57,41.89
"02070",4922,2332,2763,476,1124,402,255,2079,375,252,206,128,282,13.35,74.75,5.73,21.64,0.37,2.26,70.13,0.61,0.02,7.25,31,23.35,38.13,21.41,11.53,34.43
"02090",82840,33291,54076,6722,14195,6685,7416,41682,6433,4968,3096,1899,3845,17.02,75.57,4.64,77.79,5.85,4.15,6.9,2.08,0.3,7.39,21,8.17,30.08,7.78,9.11,10.56
"02100",2392,1419,1529,128,358,167,87,928,253,238,146,91,250,10.62,59.11,10.45,82.53,0.13,1.38,11.5,0.71,0.08,5.14,28,11.08,25.63,10.67,13.66,30.16
"02105",2574,1579,1696,133,414,197,128,1084,258,228,154,113,189,12.63,63.39,7.33,58.15,0.15,2.82,35.01,0.38,0.15,6.32,24,15.62,26.78,12.8,15.7,35.06
"02110",30711,12282,20426,2003,4880,2321,1686,14074,3041,2473,1456,916,1868,13.05,68.24,6.08,74.79,0.81,3.39,11.38,4.68,0.38,8.34,23,6.83,27.41,5.97,5.35,6.02
"02122",49691,24871,31183,3288,8722,4140,2132,20994,5008,3731,2632,1667,3649,12.62,66.42,7.34,86.21,0.46,2.19,7.47,0.97,0.17,4.89,29,11.49,29.9,10.04,11.44,25.87
"02130",14199,6221,9079,974,2345,1055,699,6205,1226,1092,753,488,1116,12.35,67.07,7.86,74.15,0.49,2.64,15.2,4.25,0.16,5.9,31,10.41,28.2,6.51,7.65,13.18
"02150",13913,5159,8726,1245,2583,1027,817,6568,1134,850,529,331,673,13.25,74.72,4.84,59.69,0.96,6.1,14.58,16.04,0.79,8.73,19,14.58,32.44,6.56,5.18,14.25
"02164",1823,1557,1035,145,417,190,92,793,137,91,86,55,99,15.47,74.33,5.43,18.76,0.05,1.15,73.51,0.22,0.16,7.46,29,27.83,37.79,18.9,14.31,62.24
"02170",59322,27329,36712,4147,11236,5317,2816,26581,5659,3825,2650,1724,3500,13.71,70.74,5.9,87.55,0.69,2.5,5.5,0.7,0.12,5.55,30,11.85,32.21,11.01,10.3,24.78
"02180",9196,3649,5240,790,2050,841,594,4105,644,490,348,229,540,15.6,75.52,5.87,19.32,0.38,1,75.2,0.67,0.02,4.43,27,25.2,37.15,17.43,16.37,26.2
"02185",7385,2538,4258,705,1645,721,448,3391,507,390,266,173,308,15.83,77.74,4.17,17.09,0.72,2.37,68.38,5.92,0.84,7.89,20,22.59,38.17,9.06,14.94,16.9
"02188",7208,2540,3859,773,1737,711,487,3223,424,331,215,146,359,16.62,79.54,4.98,12.32,0.21,0.79,82.46,0.89,0.06,4.12,18,27.96,41.48,17.37,15.55,29.92
"02195",4260,2086,2591,284,751,305,170,1712,401,323,228,157,404,11.16,64.47,9.49,73.04,0.22,1.97,16.07,1.62,0.13,9.05,27,14.18,29.7,7.9,10.96,21.22
"02198",6017,3036,3811,443,1050,514,303,2628,571,429,337,216,343,13.59,68.5,5.69,53.12,0.15,1.74,38.68,0.36,0.05,7.7,23,15.93,30.96,12.05,14.99,25.96
"02220",8835,3650,5692,565,1399,689,573,3994,774,592,415,352,744,14.28,67.44,8.42,68.5,0.32,3.28,18.57,3.79,0.35,8.82,27,9.4,27.15,7.81,7.78,10.19
"02230",862,529,568,45,139,66,43,363,86,77,52,38,63,12.63,63.39,7.33,58.15,0.15,2.82,35.01,0.38,0.15,6.32,24,15.62,26.77,12.8,15.7,35.06
"02240",6174,3225,3775,438,1195,565,297,2579,541,444,340,262,375,13.96,68.22,6.07,78.99,1.98,2.7,12.71,0.68,0.15,5.64,24,13.19,32.78,18.86,17.68,34.95
"02261",10195,5148,6562,679,1793,784,477,4409,1028,857,506,309,614,12.37,67.49,6.02,75.9,0.32,2.81,13.25,3.55,0.26,6.97,21,11.46,29.61,9.84,9.6,24.55
"02270",7028,2063,3402,744,2016,754,441,2996,308,270,196,146,352,17,81.9,5.01,4.74,0.06,0.33,92.53,0.1,0.03,2.58,30,33.68,46.59,26.24,23.93,22.35
"02275",2424,1214,1474,161,427,174,97,974,228,184,130,90,230,11.16,64.47,9.49,73.04,0.22,1.97,16.07,1.62,0.13,9.05,27,14.18,29.7,7.95,11.01,21.28
"02282",808,499,538,39,145,60,26,349,94,69,40,29,43,10.64,65.97,5.32,50.37,0.12,0.74,39.6,1.24,0.74,8.66,15,15.71,28.09,13.54,7.76,46.89
"02290",6551,3917,3779,466,1393,637,369,2767,532,419,303,193,478,15.36,70.62,7.3,24.27,0.09,1.19,70.89,0.37,0.05,4.38,24,25.68,35.02,23.83,19.92,41.05
"04001",69423,31621,36951,6300,15831,6941,4218,28591,4153,3461,2892,2454,5741,16.07,73.06,8.27,19.5,0.25,4.49,76.88,0.13,0.06,3.24,46,36.35,38.5,37.82,21.84,36.84
"04003",117755,51126,69391,7966,17573,9127,7291,46996,7972,7401,6335,6147,17365,13.94,61.6,14.75,76.66,4.52,30.69,1.15,1.65,0.26,16.03,37,20.54,26.32,17.67,6.73,14.15
"04005",116320,53443,74752,8444,19087,10188,12512,56617,8699,6892,4777,3661,8143,19.52,72.34,7,63.09,1.04,10.94,28.51,0.78,0.09,6.58,28,16.22,28.74,18.23,6.94,24.32
"04007",51335,28189,28286,3116,7524,3413,2117,16960,3463,3588,3351,3174,10159,10.77,53.76,19.79,77.82,0.38,16.65,12.92,0.43,0.05,8.45,44,21.78,25.11,17.41,9.66,28.55
"04009",33489,11430,19427,2604,5709,3232,2554,14918,1994,1641,1387,1251,3985,17.28,69.37,11.9,67.11,1.87,27.04,14.95,0.56,0.04,15.52,33,24.42,30.09,22.99,11.59,11.5
"04011",8547,3744,4986,708,1504,729,413,3555,652,554,415,310,849,13.36,67.47,9.93,74.17,0.51,43.07,1.66,0.15,0.04,23.51,36,17.51,31.73,9.94,6.33,16.75
"04012",19715,15133,10468,962,2382,1195,832,6045,1161,1241,1350,1486,5088,10.28,47.62,25.81,74.15,0.79,22.42,12.53,0.41,0.1,12.13,47,30.72,21.1,19.59,8.01,44.74
"04013",3072149,1250231,1885167,241974,460278,214672,224444,1403352,194504,171960,133812,107290,358979,14.29,68.54,11.68,77.35,3.73,24.85,1.85,2.16,0.14,14.91,31,17.5,26.95,11.75,4.73,9.39
"04015",155032,80062,87444,9368,20569,9174,6764,51936,10073,10229,10366,10763,31728,10.28,52.81,20.47,90.06,0.54,11.08,2.41,0.77,0.11,6.23,46,22.49,23.13,13.88,6.97,21.55
"04017",97470,47413,53185,8351,20153,9053,5581,39309,6079,5297,4501,4022,9758,15.01,69.57,10.01,45.91,0.88,8.22,47.74,0.33,0.05,5.14,41,28.82,35.42,29.5,12.3,36.64
"04019",843746,366737,516363,55829,117852,62199,63785,365919,58630,51933,40351,33745,119487,14.93,63.95,14.16,75.07,3.03,29.34,3.22,2.04,0.13,16.64,36,16.57,24.64,14.66,5.34,9.38
"04021",179727,81154,105475,12066,25598,12078,11057,72113,11109,10296,9687,9687,29171,12.87,61.08,16.23,70.42,2.76,29.86,7.81,0.6,0.08,18.41,37,27.3,25.08,16.91,8.1,24.39
"04023",38381,13036,21354,3333,7491,3182,2054,15464,2538,2181,1701,1559,4114,13.64,68.49,10.72,76,0.38,80.78,0.65,0.52,0.09,22.45,31,39.34,33.64,24.48,7.73,9.41
"04025",167517,81730,95298,8648,20205,10557,7943,56000,12450,11850,11003,10545,36816,11.04,50.65,21.98,91.89,0.39,9.78,1.6,0.51,0.08,5.61,38,15.28,21.13,11.95,5.04,14.14
"04027",160026,74140,87299,12717,26324,11982,11295,64276,8426,7477,6747,7603,26456,14.55,64.56,16.53,68.28,2.22,50.47,1.64,0.93,0.12,26.93,34,34.19,28.91,19.23,12.14,27.37
"05001",20749,9672,12239,1362,2919,1400,1198,8051,1585,1382,1154,936,3360,12.52,59.43,16.19,75.19,23.36,0.76,0.21,0.36,0,0.87,50,27.58,24.82,17.79,6.2,12.56
"05003",24209,10615,14376,1633,3687,1788,1392,9769,1626,1638,1386,1128,3342,13.14,62.33,13.8,69.78,27.1,3.21,0.21,0.18,0.05,2.74,47,27.51,26.81,17.49,6.87,11.6
"05005",38386,19891,20823,1713,4167,2178,1444,11711,2475,2603,2704,2731,10282,9.44,45.83,26.79,97.81,0.11,1,0.52,0.34,0.02,1.21,48,22.46,18.97,11.15,4.01,14.27
"05007",153406,64281,90612,11616,22724,10473,9169,64729,9482,8711,7417,6754,21973,12.8,64.58,14.32,90.87,0.41,8.78,1.65,1.09,0.08,5.98,34,19.58,26.61,10.07,3.35,9.44
"05009",33948,15426,20166,2124,4533,2350,1893,13233,2345,2236,2031,1787,5659,12.5,58.59,16.67,97.6,0.11,1.06,0.71,0.32,0.02,1.26,45,23.16,23.93,14.78,5.02,10.21
"05011",12600,5930,7430,749,1673,897,866,5097,833,737,707,602,2202,13.99,59.67,17.48,63.36,28.63,8.25,0.24,0.06,0.01,7.71,50,33.39,23.56,26.3,10.82,18.48
"05013",5744,3012,3412,305,834,406,271,2294,396,356,338,304,917,11.79,59.77,15.96,74.51,23.38,1.5,0.21,0.03,0,1.86,52,31.26,24.63,16.54,5.35,23.07
"05015",25357,11828,15264,1632,3363,1771,1360,9764,1881,1796,1553,1355,4013,12.35,58.2,15.83,93.63,0.11,9.74,0.88,0.41,0.08,4.98,41,28.23,23.98,15.49,5.48,13.86
"05017",14117,5974,8067,981,2140,1138,827,5686,956,791,740,649,2174,13.92,62.39,15.4,43.24,53.96,2.88,0.13,0.4,0.02,2.28,59,35.78,27.46,28.63,10.16,12.87
"05019",23546,10166,15009,1403,2800,2424,3194,11225,1364,1298,1089,934,3433,23.86,65.52,14.58,74.28,22.02,2.4,0.46,0.62,0.04,2.62,45,24.73,21.68,19.12,4.7,12.34
"05021",17609,8498,10133,1054,2329,1123,920,6493,1139,1108,1104,974,3408,11.6,56.08,19.35,98.08,0.19,0.8,0.69,0.08,0,0.97,55,39.39,23.1,17.52,5.61,12.72
"05023",24046,13732,13853,1232,2946,1454,1068,8318,1516,1618,1704,1641,5071,10.49,51.97,21.09,98.2,0.12,1.17,0.47,0.15,0.02,1.06,48,25.22,21.3,13.11,4.86,25.79
"05025",8571,3834,5167,560,1268,626,467,3468,557,591,496,469,1162,12.75,61.79,13.56,84.79,13.22,1.62,0.32,0.14,0.04,1.54,45,26.93,26.16,15.19,5.53,14.63
"05027",25603,11566,15110,1568,3607,2312,2090,10870,1647,1394,1300,1144,4073,17.19,62.67,15.91,62.08,36.06,1.05,0.26,0.34,0.03,1.26,43,25.94,25.08,21.12,7.64,13.7
"05029",20336,9028,11887,1312,2888,1515,1145,8084,1359,1282,1136,995,3280,13.08,60.41,16.13,84.27,13.05,1.77,0.5,0.23,0.03,1.95,55,26.83,25.42,16.14,6.55,11.75
"05031",82148,35133,52677,5640,10977,6580,8150,38272,5482,5019,4012,3084,9662,17.93,66.82,11.76,89.27,7.78,2.12,0.33,0.6,0.02,2.01,40,22.7,24.11,15.4,5.7,8.06
"05033",53247,21315,32213,3940,8552,3934,3070,22598,3673,3417,2832,2233,6002,13.15,65.9,11.27,92.19,0.87,3.27,2.01,1.19,0.02,3.74,47,28.51,28.23,14.21,6.07,7.57
"05035",50866,20507,29974,4270,8946,4077,3300,22159,3402,2839,2366,1826,5058,14.5,69.55,9.94,50.91,47.05,1.42,0.24,0.47,0.02,1.32,43,30.83,31.13,25.33,6.92,9.93
"05037",19526,8030,11423,1312,3126,1560,1096,8007,1257,1275,1071,810,2668,13.6,63.74,13.66,74.8,23.7,0.93,0.23,0.31,0.01,0.96,51,31.66,27.83,19.9,7.63,7.96
"05039",9210,4401,5236,565,1368,749,492,3496,712,610,494,401,1564,13.47,58.95,16.98,56.96,40.98,1.92,0.24,0.23,0,1.6,53,33.16,26.17,18.91,7.43,20.04
"05041",15341,6663,8740,1149,2412,1321,933,6125,1050,953,832,647,2173,14.69,63.14,14.16,50.5,46.33,3.16,0.35,0.3,0.03,2.52,53,35,28.86,28.89,8.78,11.12
"05043",18723,8287,11489,1253,2678,1689,1579,8367,1232,1095,905,791,2402,17.45,65.68,12.83,70.3,27.16,1.76,0.25,0.42,0.02,1.87,45,26.95,25.81,18.19,8.9,11.46
