"GEOID","TotPop","TotVetPop","TotUnits","WhiteP","BlackP","AmIndP","AsianP","PacIsP","OtherP","HispP","A15_24P","Und45P","Ovr65P","Age0_4","Age5_14","Age15_19","Age20_24","Age15_44","Age45_49","Age50_54","Age55_59","Age60_64","AgeOv65","Age18_64","DisbP","NoHsP","VetP","UnempP","PovP","MedInc","PciE","GiniCoeff","VacP","ChildrenP"
"20133",16512,1573,7526,94.13,1.19,1.08,0.5,0.04,3.06,2.54,13.08,55.46,17.36,1137,2232,1236,923,5788,1143,1260,1086,1000,2866,9564,18.4,10.96,12.63,8.82,17.63,20950,20026,0.4067,11.81,24.72
"20135",3107,229,1738,95.56,0.58,0.32,0.13,0,3.41,3.64,8.59,45.48,24.56,168,404,165,102,841,254,267,243,167,763,1648,14.6,9.38,9.26,2.1,7.64,24675,30256,0.4648,22.32,22.4
"20137",5671,478,2552,94.48,2.91,0.23,0.53,0.02,1.83,3.1,11.14,52.2,18.64,282,613,332,300,2065,497,465,354,338,1057,3481,20,13.37,10.5,1.4,10.63,24657,21518,0.3978,10.7,19.98
"20139",16295,1674,7500,96.94,0.29,0.69,0.23,0.03,1.82,1.16,11.06,52.56,17.02,1015,2292,1102,700,5257,1345,1405,1192,1016,2773,9475,15.3,10.01,13.7,6.66,9.83,27013,24358,0.3857,12.57,24.84
"20141",3858,348,2216,97.59,0.21,0.49,0.47,0,1.24,0.7,10.21,45.05,25.25,209,428,249,145,1101,307,326,292,221,974,2070,13.8,12.46,11.39,3.14,15.38,20650,26382,0.4885,22.16,21.1
"20143",6091,600,2774,96.68,0.8,0.39,0.15,0,1.97,1.12,10.21,52.83,17.5,350,897,414,208,1971,520,492,442,353,1066,3476,14.9,9.32,13.15,5.18,9.57,26793,24426,0.3652,13.01,25.43
"20145",6973,673,3157,90.66,4.66,0.59,0.46,0.09,3.54,4.16,12.61,52.1,17.42,385,803,534,345,2445,547,574,561,443,1215,4230,13.5,9.86,12.56,5.2,8.87,22026,21793,0.384,20.43,21.91
"20147",5642,419,3063,96.99,0.41,0.41,0.73,0,1.47,1.17,9.91,49.65,20.21,349,774,350,209,1678,412,428,443,418,1140,3135,15.2,9.29,9.89,3.93,11.37,24950,23613,0.408,21.29,24.23
"20149",21604,1566,8622,93.56,1.05,0.78,0.67,0.06,3.89,2.34,12.42,62.31,12.31,1836,3522,1586,1098,8104,1580,1495,1341,1066,2660,12533,9.6,6.11,10.41,2.4,8.18,28587,24988,0.399,8.28,29.68
"20151",9656,792,4529,94.07,1.18,0.6,0.28,0.01,3.86,3.3,14.29,53.84,18.87,639,1202,725,655,3358,616,775,733,511,1822,5629,14.1,10.52,10.58,4.38,10.28,22552,25902,0.4708,11.11,22.84
"20153",2519,259,1463,97.22,0.32,0.2,0.2,0,2.06,1.95,9.09,41.01,26.68,130,247,143,86,656,169,218,236,191,672,1372,16.4,7.51,12.41,2.07,13.79,22146,26396,0.4352,16.68,18.86
"20155",64511,5313,28281,90.63,2.99,0.68,0.48,0.03,5.19,4.81,13,55.72,17.04,4254,8485,4445,3940,23204,4582,4767,4468,3757,10994,38281,14.2,11.31,10.8,5.38,12.04,24323,23196,0.4302,8.24,23.62
"20157",4980,540,2883,97.97,0.5,0.24,0.3,0,0.98,0.6,8.76,41.24,27.05,253,515,267,169,1286,384,424,433,338,1347,2671,17.2,5.4,13.52,3.73,13.91,23426,25980,0.4308,19.46,19.32
"20159",10083,828,4545,91.37,1.27,0.69,0.37,0.05,6.25,5.93,16.02,55.91,17.86,626,1361,831,784,3650,687,744,680,534,1801,5873,13.2,10.24,10.75,5.46,16.37,21718,22124,0.4195,14.98,23.89
"20161",71115,4862,28278,83.25,6.37,0.61,4.21,0.2,5.36,4.4,36.19,77.93,7.32,4835,6649,7408,18325,43936,2692,2938,2637,2220,5208,52739,6,4.61,9.3,3.42,22.71,22183,22230,0.4716,9.08,18.52
"20163",5181,483,2770,97.45,0.46,0.33,0.37,0.06,1.33,1.04,10.89,50.99,19.76,325,682,339,225,1635,375,428,377,335,1024,2933,17.1,8.51,11.97,4.38,16.29,23248,22943,0.4185,14.15,23.62
"20165",3307,308,1811,97.16,0.24,0.48,0.24,0,1.87,1.36,9.34,44.69,24.07,161,356,194,115,961,248,273,290,222,796,1870,18,11.89,11.59,6.7,13.98,23034,25414,0.4121,16.29,19.38
"20167",6970,630,3910,96.3,0.77,0.65,0.49,0.03,1.76,1.08,10.14,48.02,22.78,398,819,392,315,2130,523,531,517,464,1588,3899,16.9,8.89,11.41,3.99,10.89,21142,27606,0.4973,16.52,21.28
"20169",55606,4636,24096,87.57,3.26,0.53,2.08,0.05,6.51,5.55,13.63,58.96,14.39,4005,7533,3919,3660,21248,3962,4096,3712,3048,8002,33668,12,10.77,11.16,5,15.57,25530,24537,0.4212,8.32,25.06
"20171",4936,292,2202,90.09,0.38,0.61,0.49,0.02,8.41,8.73,10.7,54.32,18.23,375,668,296,232,1638,339,359,376,281,900,2800,13,14.04,7.85,1.77,6.74,27160,27248,0.3565,6.22,25.04
"20173",498365,38253,211361,76.35,9.26,1.15,4.09,0.08,9.07,7.41,14.06,63.32,11.43,39302,74185,35231,34847,202058,34625,35786,30969,24471,56969,306020,12.2,11.57,10.63,7.67,14.44,27137,25856,0.4419,8.78,27.16
"20175",22952,941,8080,70.46,3.37,0.77,2.66,0.19,22.56,33.97,16.82,71.38,8.49,2301,3923,1995,1866,10159,1426,1297,1085,813,1948,13669,8.3,36.14,6.03,8.75,17.38,24571,18498,0.3803,8.53,31.96
"20177",177934,16613,79134,81.16,8.59,1.22,1.17,0.07,7.79,6.33,12.82,58.25,14.39,12396,24444,11732,11077,66812,12443,13116,12655,10456,25612,108151,14.5,9.5,12.45,6.61,15.88,26913,26369,0.4411,7.48,24.82
"20179",2556,272,1268,96.83,0.12,0.43,0.2,0,2.43,1.96,9.04,47.18,22.03,171,335,131,100,700,213,218,210,146,563,1390,13.5,7.95,13.89,1.75,12.77,26024,26746,0.4001,12.93,23.59
"20181",6010,456,3153,93.11,0.65,0.28,0.28,0.12,5.56,6.32,12.45,53.28,19.05,400,745,385,363,2057,412,460,430,361,1145,3515,13.8,13.56,9.74,3.65,18.32,21548,20466,0.3976,13.45,22.46
"20183",3853,457,2241,96.89,0.26,0.29,0.18,0.1,2.28,0.62,9.27,42.23,26.42,189,428,232,125,1010,323,319,310,256,1018,2061,17.8,12.69,14.75,1.82,14.73,23944,26646,0.4429,20.17,20.09
"20185",4437,379,2323,92.63,0.29,1.24,0.38,0.02,5.43,6.45,10.86,49.04,20.96,252,593,270,212,1331,375,370,339,247,930,2470,14.5,12.11,11.25,2.94,12.25,24857,23643,0.3967,18.51,23.37
"20187",2235,102,924,83.67,0.58,1.21,0.13,0.04,14.36,21.97,12.62,61.34,15.57,183,354,171,111,834,144,139,132,101,348,1237,11.3,26.37,6.58,4.96,5.12,27151,22053,0.3733,18.07,29.08
