"","marks","mx","my"
"156","MOUD - Buprenorphine",258104.039932917,4634022.01174079
"157","MOUD - Buprenorphine",419844.601957682,4693461.36886119
"158","MOUD - Naltrexone",429975.08603279,4669226.63900372
"159","MOUD - Buprenorphine",440255.649748954,4641047.20485591
"160","MOUD - Buprenorphine",383488.844600748,4684040.2802012
"161","MOUD - Buprenorphine",403711.039943007,4591402.00466863
"162","MOUD - Buprenorphine",344305.495374308,4672722.44479616
"163","MOUD - Buprenorphine",450986.114526394,4595215.29297331
"164","MOUD - Methadone",423578.401938015,4691880.66220907
"165","MOUD - Buprenorphine",401172.428241609,4571298.72889265
"166","MOUD - Methadone",270263.762703688,4232322.27208061
"167","MOUD - Buprenorphine",393735.564478473,4693285.76683126
"168","MOUD - Buprenorphine",384205.344651771,4591027.08505461
"169","MOUD - Buprenorphine",436090.361005703,4592506.4759159
"170","MOUD - Naltrexone",434855.728402589,4625013.09730969
"171","MOUD - Buprenorphine",403031.021654231,4612719.34570982
"172","MOUD - Buprenorphine",402477.271857606,4694599.46527556
"173","MOUD - Buprenorphine",369030.296064036,4612331.64239531
"174","MOUD - Naltrexone",399169.559002815,4606231.25040451
"175","MOUD - Methadone",367726.418712289,4680605.29026775
"176","MOUD - Buprenorphine",432232.391014589,4652885.41971753
"177","MOUD - Methadone",442062.50094862,4619666.24065158
"178","MOUD - Buprenorphine",240788.942418211,4258908.74584222
"179","MOUD - Methadone",394043.676329028,4649718.30465773
"180","MOUD - Naltrexone",371992.9743315,4576221.85236237
"181","MOUD - Buprenorphine",440254.939271784,4594424.88108533
"182","MOUD - Buprenorphine",455533.667363382,4621458.77373934
"183","MOUD - Buprenorphine",320830.300749779,4569842.15517229
"184","MOUD - Buprenorphine",394327.550372797,4608134.47526164
"185","MOUD - Buprenorphine",328310.135431123,4589393.73136226
"186","MOUD - Naltrexone",391891.198805589,4585305.60336285
"187","MOUD - Buprenorphine",323219.501102366,4580114.32915869
"188","MOUD - Buprenorphine",435858.250212708,4580913.24934749
"189","MOUD - Methadone",323011.428338851,4582003.35483702
"190","MOUD - Naltrexone",434713.036041071,4673449.32092117
"191","MOUD - Naltrexone",433526.381520793,4602772.91121351
"192","MOUD - Buprenorphine",419747.19855406,4639103.91896513
"193","MOUD - Buprenorphine",258987.001309442,4629853.43446092
"194","MOUD - Methadone",386997.509382114,4583366.26211704
"195","MOUD - Buprenorphine",433012.464182429,4656508.16650479
"196","MOUD - Methadone",426124.035352711,4554689.81117748
"197","MOUD - Naltrexone",362406.962320614,4659432.04949658
"198","MOUD - Buprenorphine",373810.311107545,4523368.28055837
"199","MOUD - Buprenorphine",235170.155142659,4284486.34721382
"200","MOUD - Methadone",420741.13939338,4551871.08098392
"201","MOUD - Naltrexone",376752.593784167,4580867.36728422
"202","MOUD - Buprenorphine",263902.885958823,4639828.10794543
"203","MOUD - Buprenorphine",379821.15670133,4541913.31165712
"204","MOUD - Naltrexone",379127.312904969,4557360.37073132
"205","MOUD - Naltrexone",325995.439172394,4584861.86577651
"206","MOUD - Buprenorphine",294227.393442784,4582134.44626569
"207","MOUD - Buprenorphine",410186.584326068,4563785.65578376
"208","MOUD - Buprenorphine",384251.70227618,4621760.1555179
"209","MOUD - Naltrexone",422558.829604768,4662910.09243395
"210","MOUD - Buprenorphine",250344.181838874,4643343.51629733
"211","MOUD - Methadone",336971.484028244,4647504.30926867
"212","MOUD - Buprenorphine",366544.492837785,4628423.84716138
"213","MOUD - Naltrexone",395131.393816069,4581791.17487964
"214","MOUD - Buprenorphine",367721.870008165,4532841.96351492
"215","MOUD - Buprenorphine",450647.990944263,4612816.87673099
"216","MOUD - Buprenorphine",402539.325333591,4553890.36519622
"217","MOUD - Buprenorphine",367426.745977532,4684877.83683853
"218","MOUD - Buprenorphine",443077.338789219,4544517.65475394
"219","MOUD - Buprenorphine",355398.196734494,4203174.56248758
"220","MOUD - Buprenorphine",352772.637097183,4198835.5520578
"221","MOUD - Naltrexone",388746.094131619,4600501.99477589
"222","MOUD - Methadone",378063.972292887,4686842.23512387
"223","MOUD - Methadone",451768.376556254,4619066.25480146
"224","MOUD - Methadone",326968.325581983,4651848.9458168
"225","MOUD - Buprenorphine",328719.689454574,4166415.68629177
"226","MOUD - Buprenorphine",371064.810170167,4698554.1376143
"227","MOUD - Naltrexone",245698.757192612,4627755.44732764
"228","MOUD - Buprenorphine",399344.454690114,4670264.60907931
"229","MOUD - Buprenorphine",380849.012689096,4699079.79700352
"230","MOUD - Buprenorphine",387963.406318179,4676767.3439794
"231","MOUD - Buprenorphine",455162.805712385,4597318.64807185
"232","MOUD - Buprenorphine",244776.924430927,4628749.74361766
"233","MOUD - Buprenorphine",456354.226746509,4618573.79723863
"234","MOUD - Methadone",349088.286426214,4199439.23173585
"235","MOUD - Buprenorphine",438539.873121516,4657264.76438561
"236","MOUD - Methadone",411670.125572913,4653216.15037815
"237","MOUD - Naltrexone",410757.582510599,4678360.33307738
"238","MOUD - Buprenorphine",450896.402603695,4599896.1256662
"239","MOUD - Methadone",373707.805459286,4526579.79744352
"240","MOUD - Naltrexone",381009.008027559,4692020.98188338
"241","MOUD - Naltrexone",322034.721789366,4568262.44091073
"242","MOUD - Naltrexone",408383.605068509,4696047.33970482
"243","MOUD - Buprenorphine",374414.922588815,4691202.87121878
"244","MOUD - Buprenorphine",394769.941151604,4661282.40685252
"245","MOUD - Buprenorphine",432737.029910181,4639254.65608418
"246","MOUD - Naltrexone",323085.433153375,4640282.71034911
"247","MOUD - Buprenorphine",391954.02663721,4574471.84838334
"248","MOUD - Buprenorphine",417355.936604591,4657747.65194402
"249","MOUD - Buprenorphine",363056.269384023,4648016.79779102
"250","MOUD - Buprenorphine",381533.497661827,4701479.02159754
"251","MOUD - Buprenorphine",232725.650355405,4290174.07067769
"252","MOUD - Naltrexone",397318.543248323,4645891.99498982
"253","MOUD - Buprenorphine",407229.780363841,4573717.01317839
"254","MOUD - Buprenorphine",298452.514505584,4590278.44792699
"255","MOUD - Naltrexone",322976.985059207,4590517.47529968
"256","MOUD - Methadone",418127.700490025,4557509.34922198
"257","MOUD - Methadone",384272.663811649,4661880.92751627
"258","MOUD - Naltrexone",426629.016700266,4597828.67446385
"259","MOUD - Methadone",361420.236250724,4671709.92297396
"260","MOUD - Buprenorphine",399759.868756799,4650243.19882099
"261","MOUD - Buprenorphine",328980.794841625,4672274.38450527
"262","MOUD - Buprenorphine",432009.637187339,4656839.25410222
"263","MOUD - Buprenorphine",381687.047887138,4541911.7842408
"264","MOUD - Naltrexone",431825.367266891,4569702.71367382
"265","MOUD - Naltrexone",332470.992407732,4670814.50032886
"266","MOUD - Buprenorphine",395239.925515073,4654537.56584169
"267","MOUD - Naltrexone",390801.684142449,4660165.90777094
"268","MOUD - Buprenorphine",319464.205936353,4587469.64556004
"269","MOUD - Buprenorphine",425474.593374047,4664360.70725754
"270","MOUD - Buprenorphine",396189.21552543,4670481.37963357
"271","MOUD - Buprenorphine",425380.605692421,4703634.2781153
"272","MOUD - Buprenorphine",318947.049539021,4567708.28653043
"273","MOUD - Buprenorphine",390216.29947828,4641818.50936784
"274","MOUD - Buprenorphine",366826.275066716,4579828.61984024
"275","MOUD - Buprenorphine",411805.593875575,4695426.61028641
"276","MOUD - Buprenorphine",416430.671618517,4582997.01769701
"277","MOUD - Buprenorphine",357885.541950842,4525357.62268038
"278","MOUD - Methadone",361286.267917168,4655762.46278552
"279","MOUD - Buprenorphine",338045.944848442,4646175.55396008
"280","MOUD - Buprenorphine",422902.851644644,4627221.36982042
"281","MOUD - Buprenorphine",414591.628131094,4684390.20247597
"282","MOUD - Naltrexone",380952.869675641,4647542.90840453
"283","MOUD - Buprenorphine",405064.444198147,4559436.11179726
"284","MOUD - Methadone",434020.209436873,4698371.33158273
"285","MOUD - Buprenorphine",411802.461317145,4562784.51508507
"286","MOUD - Buprenorphine",382639.689959601,4596459.58061652
"287","MOUD - Buprenorphine",388889.761718952,4556806.61237127
"288","MOUD - Buprenorphine",382772.557496158,4647050.33599456
"289","MOUD - Buprenorphine",435743.077011155,4638842.6949802
"290","MOUD - Buprenorphine",402770.397076949,4692312.5195675
"291","MOUD - Naltrexone",385590.563388241,4698362.06007968
"292","MOUD - Buprenorphine",360560.445817713,4656220.15417241
"293","MOUD - Buprenorphine",403006.069763793,4664159.70364666
"294","MOUD - Naltrexone",290185.203038399,4582050.32933941
"295","MOUD - Buprenorphine",359325.565678715,4645239.99097609
"296","MOUD - Buprenorphine",374698.990563016,4638358.87776711
"297","MOUD - Buprenorphine",397482.734074142,4558971.22500962
"298","MOUD - Buprenorphine",327435.530111997,4167636.44266748
"299","MOUD - Methadone",355876.405300154,4634340.99864933
"300","MOUD - Buprenorphine",435240.19966398,4609168.47046267
"301","MOUD - Methadone",288398.455577662,4578717.1048461
"302","MOUD - Buprenorphine",423599.923953743,4655098.98506225
"303","MOUD - Buprenorphine",362487.816447615,4698121.41245168
"304","MOUD - Buprenorphine",427177.320980637,4625635.44824824
"305","MOUD - Buprenorphine",397526.855460458,4561372.77614353
"306","MOUD - Buprenorphine",423658.305428858,4692856.017449
"307","MOUD - Buprenorphine",387960.778230233,4676632.69848722
"308","MOUD - Buprenorphine",361857.590958396,4636211.04798865
"309","MOUD - Naltrexone",403576.346214555,4681785.88922928
"310","MOUD - Buprenorphine",376722.847566247,4702177.93712481
"311","MOUD - Buprenorphine",340393.460868343,4660029.45634549
"312","MOUD - Buprenorphine",388631.237808785,4624390.00833916
"313","MOUD - Buprenorphine",376327.048396101,4545375.67365997
"314","MOUD - Buprenorphine",438083.563503712,4656345.89901155
"315","MOUD - Naltrexone",355474.306696915,4675985.96428744
"316","MOUD - Naltrexone",378058.935292809,4689548.203264
"317","MOUD - Buprenorphine",333691.193887318,4646843.50692714
"318","MOUD - Buprenorphine",319713.109279648,4567152.69972302
"319","MOUD - Buprenorphine",270907.565782102,4230160.0651609
"320","MOUD - Buprenorphine",389314.798155752,4607852.1215539
"321","MOUD - Buprenorphine",364596.320395901,4658780.97589643
"322","MOUD - Buprenorphine",406954.060414417,4606745.81123466
"323","MOUD - Buprenorphine",415010.776328519,4685365.97194979
"324","MOUD - Buprenorphine",367573.60420953,4703406.05585966
"325","MOUD - Naltrexone",330951.848178353,4673417.7074762
"326","MOUD - Naltrexone",409212.118877964,4629503.77223649
"327","MOUD - Buprenorphine",395287.695842625,4566662.5902023
"328","MOUD - Buprenorphine",413909.55600484,4646111.88083589
"329","MOUD - Buprenorphine",413135.300312807,4627221.62835296
"330","MOUD - Buprenorphine",247927.607077439,4637973.46545059
"331","MOUD - Naltrexone",404295.369492296,4628900.24408583
"332","MOUD - Buprenorphine",416015.039031742,4612830.34926133
"333","MOUD - Naltrexone",406882.492926741,4700400.81821759
"334","MOUD - Buprenorphine",251819.591559215,4250898.46128327
"335","MOUD - Buprenorphine",389599.826164824,4646395.2948559
"336","MOUD - Buprenorphine",421433.858677384,4636432.99400008
"337","MOUD - Buprenorphine",381643.709872666,4655520.21526608
"338","MOUD - Buprenorphine",358623.2157734,4674166.68079731
"339","MOUD - Buprenorphine",341538.399034736,4173813.97930093
"340","MOUD - Buprenorphine",444194.697250446,4648954.50138396
"341","MOUD - Buprenorphine",429531.723689295,4651457.06221832
"342","MOUD - Buprenorphine",390525.877637431,4581206.2458938
"343","MOUD - Methadone",259651.893024533,4634187.28043761
"344","MOUD - Naltrexone",248728.592820008,4638938.56678912
"345","MOUD - Buprenorphine",420117.237489761,4543889.29723429
"346","MOUD - Buprenorphine",355701.194865239,4635981.15349295
"347","MOUD - Buprenorphine",390075.502706133,4566723.70532156
"348","MOUD - Buprenorphine",272371.419510953,4231023.14151488
"349","MOUD - Naltrexone",363836.582164414,4680996.19640074
"350","MOUD - Buprenorphine",412753.22419334,4681719.96861747
"351","MOUD - Methadone",396390.591541631,4682272.0953387
"352","MOUD - Buprenorphine",302705.154345843,4587645.51409099
"353","MOUD - Buprenorphine",429310.556168169,4588787.09259969
"354","MOUD - Naltrexone",406216.26287856,4691303.72028502
"355","MOUD - Naltrexone",367567.506083767,4639103.80120887
"356","MOUD - Naltrexone",399167.395823326,4571651.1014083
"357","MOUD - Buprenorphine",396710.172227002,4686267.3810651
"358","MOUD - Buprenorphine",423339.892315068,4583608.81054103
"359","MOUD - Buprenorphine",439436.280833109,4639437.21686399
"360","MOUD - Buprenorphine",350915.360105533,4669306.6932758
"361","MOUD - Naltrexone",407451.493939292,4613762.54929856
"362","MOUD - Naltrexone",417684.323228804,4576642.97201952
"363","MOUD - Buprenorphine",425961.185482878,4661796.41836425
"364","MOUD - Buprenorphine",333736.860924858,4698029.16692844
"365","MOUD - Buprenorphine",294886.827292148,4577466.12204491
"366","MOUD - Methadone",412863.993441886,4702371.09381776
"367","MOUD - Buprenorphine",247439.428225333,4638416.51648379
"368","MOUD - Buprenorphine",422069.062752584,4552948.30348332
"369","MOUD - Naltrexone",367543.764988061,4694104.52230941
"370","MOUD - Naltrexone",414667.06832589,4677477.31898232
"371","MOUD - Buprenorphine",384483.662252609,4591055.32429579
"372","MOUD - Buprenorphine",368165.116998845,4673608.3271605
"373","MOUD - Buprenorphine",431231.550481316,4540279.25509524
"374","MOUD - Buprenorphine",380494.480592471,4682048.99883217
"375","MOUD - Naltrexone",398628.147913798,4589681.87485817
"376","MOUD - Buprenorphine",453967.678361157,4618491.90174435
"377","MOUD - Buprenorphine",419857.060171027,4583320.90647864
"378","MOUD - Buprenorphine",393806.397664333,4562999.17627183
"379","MOUD - Buprenorphine",372861.846107517,4683745.10889536
"380","MOUD - Buprenorphine",414556.580492313,4579384.6991056
"381","MOUD - Naltrexone",364542.801225009,4623392.43447884
"382","MOUD - Naltrexone",388518.315325901,4627012.72596588
"383","MOUD - Buprenorphine",441386.855302022,4638822.21955721
"384","MOUD - Buprenorphine",449548.782764933,4631686.45660294
"385","MOUD - Naltrexone",331427.738649682,4646670.99059184
"386","MOUD - Buprenorphine",387445.467368658,4639245.55938151
"387","MOUD - Naltrexone",415839.865372027,4656448.22540659
"388","MOUD - Buprenorphine",417484.858047562,4702844.95525137
"389","MOUD - Buprenorphine",346112.088710433,4188431.18193471
"390","MOUD - Buprenorphine",422022.132626305,4657200.29643829
"391","MOUD - Buprenorphine",245363.697536444,4261253.33482038
"392","MOUD - Buprenorphine",325818.164900207,4591343.17523506
"393","MOUD - Buprenorphine",376825.94462309,4583774.82043192
"394","MOUD - Methadone",361748.898661607,4523113.30916521
"395","MOUD - Buprenorphine",401998.388114596,4561955.03809554
"396","MOUD - Naltrexone",325353.30349133,4683330.45394303
"397","MOUD - Methadone",375607.159070624,4639651.45015663
"398","MOUD - Buprenorphine",383517.833020068,4701636.5517729
"399","MOUD - Buprenorphine",362872.72365631,4672480.20069178
"400","MOUD - Buprenorphine",343846.371115023,4192859.11554223
"401","MOUD - Buprenorphine",403743.750034306,4675120.88190309
"402","MOUD - Buprenorphine",381128.09071143,4632371.80777277
"403","MOUD - Buprenorphine",453736.176735944,4605277.27987839
"404","MOUD - Buprenorphine",251786.021103123,4637897.54441057
"405","MOUD - Buprenorphine",440232.241378636,4591214.79144146
"406","MOUD - Buprenorphine",342409.620270559,4195723.25765941
"407","MOUD - Buprenorphine",366731.046754905,4631294.80105445
"408","MOUD - Methadone",411409.929675326,4689939.67389343
"409","MOUD - Buprenorphine",428716.755065331,4665264.49173542
"410","MOUD - Buprenorphine",455147.459525738,4597908.54052829
"411","MOUD - Buprenorphine",398144.83989033,4569488.13280417
"412","MOUD - Naltrexone",443019.990243649,4629233.89449457
"413","MOUD - Buprenorphine",338044.52236408,4180889.84757649
"414","MOUD - Buprenorphine",397598.14798112,4669864.94964671
"415","MOUD - Naltrexone",393806.199963487,4692893.63861343
"416","MOUD - Buprenorphine",351660.383831351,4644986.43430233
"417","MOUD - Naltrexone",360657.453382494,4525554.02823185
"418","MOUD - Naltrexone",442677.259488651,4658699.81843413
"419","MOUD - Naltrexone",246786.170423625,4628004.56505841
"420","MOUD - Buprenorphine",444237.381890398,4593146.1447401
"421","MOUD - Buprenorphine",254322.024716163,4637858.37344222
"422","MOUD - Naltrexone",419427.851852941,4652737.01470365
"423","MOUD - Buprenorphine",410036.743587194,4608973.7554914
"424","MOUD - Buprenorphine",440001.158324036,4599709.40686353
"425","MOUD - Methadone",410069.553731077,4599925.58167989
"426","MOUD - Buprenorphine",386523.095984187,4622352.17302581
"427","MOUD - Buprenorphine",445050.209356277,4539727.27357722
"428","MOUD - Buprenorphine",419690.83660019,4676253.67549127
"429","MOUD - Buprenorphine",407109.36513911,4602136.92913416
"430","MOUD - Methadone",451422.815859545,4611847.13799665
"431","MOUD - Buprenorphine",383683.473706735,4579030.07821694
"432","MOUD - Buprenorphine",446598.498067336,4615621.81363172
"433","MOUD - Buprenorphine",406832.634664052,4651201.16635631
"434","MOUD - Buprenorphine",416819.496287508,4602720.34246666
"435","MOUD - Buprenorphine",428618.807683842,4671660.73336376
"436","MOUD - Buprenorphine",374820.815212269,4650147.66674711
"437","MOUD - Methadone",340441.626706874,4203814.15263897
"438","MOUD - Buprenorphine",392400.947923795,4579416.04832627
"439","MOUD - Buprenorphine",400771.714418591,4642369.94650032
"440","MOUD - Buprenorphine",378100.222475206,4583493.44684583
"441","MOUD - Buprenorphine",276744.865879359,4406764.31318544
"442","MOUD - Methadone",392366.393608186,4557804.94956029
"443","MOUD - Buprenorphine",288000.599947141,4588703.93378691
"444","MOUD - Buprenorphine",389619.826572549,4580466.50220965
"445","MOUD - Buprenorphine",433397.029321667,4609854.21385824
"446","MOUD - Methadone",383592.330993833,4686165.8324179
"447","MOUD - Buprenorphine",421447.974944009,4660326.16910733
"448","MOUD - Naltrexone",435884.793982927,4663347.8550601
"449","MOUD - Naltrexone",413887.996503545,4613101.82626227
"450","MOUD - Buprenorphine",368267.026757737,4680236.75200583
"451","MOUD - Buprenorphine",346613.288332602,4657617.9300801
"452","MOUD - Methadone",407741.541353177,4673313.37707452
"453","MOUD - Naltrexone",407348.080714099,4672685.54294413
"454","MOUD - Buprenorphine",420789.561947935,4582255.82982278
"455","MOUD - Buprenorphine",339097.767719612,4186576.45216617
"456","MOUD - Buprenorphine",420633.994551057,4548364.64070085
"457","MOUD - Buprenorphine",369300.4161288,4555807.68450369
"458","MOUD - Buprenorphine",362063.104976799,4692564.7331116
"459","MOUD - Buprenorphine",387966.831657464,4623125.56692083
