zip,real_bup,real_meth,real_nal,s1_bup,s1_meth,s1_nal,s2_bup,s2_meth,s2_nal
60468,12.3435,7.3787,15.2291,0.6092,12.0991,4.1724,9.8347,15.3965,9.4527
60469,1.4806,1.9191,1.9037,2.7955,5.7115,6.838,1.5271,4.8267,5.7486
60471,1.7371,4.3679,7.4294,1.143,1.7855,7.2876,1.2925,6.8845,5.5229
60472,0.5683,3.4567,3.4412,2.8606,5.7648,6.6504,1.6464,5.1598,5.2254
60475,2.5108,2.7858,7.1773,1.9344,4.1617,1.8459,1.6191,2.0109,5.2712
60477,1.1124,6.3548,4.7787,1.1176,7.0908,0.4582,1.6187,10.6695,1.7731
60478,1.5924,3.2001,3.2458,1.198,5.0681,3.8271,0.7357,7.8893,3.6523
60480,2.0431,5.7446,4.912,3.479,9.529,4.1352,2.6232,7.7105,4.602
60481,14.1905,16.806,14.661,1.9261,2.5935,0.9366,8.0897,16.9901,16.8662
60482,1.0549,0.9361,0.9269,3.461,5.5894,4.5923,1.5249,3.8431,2.1187
60490,3.4318,8.4261,5.8508,1.446,9.5243,1.7166,1.0401,2.724,4.0476
60501,3.4618,6.6036,3.9549,1.2299,7.542,2.0664,0.2466,4.0942,3.2817
60504,1.0347,3.93,3.9178,3.8668,7.6491,6.0245,0.5842,1.6525,0.732
60505,2.9522,0.8461,0.8374,2.3602,6.5283,2.9182,1.3971,2.2055,2.2052
60506,3.1644,3.0972,2.2527,1.2827,8.2023,1.9333,0.9376,0.7533,1.6712
60510,2.393,4.7842,4.0118,4.629,2.4332,4.2266,3.8143,6.7134,3.4549
60513,0.7328,4.2008,2.3052,0.3498,10.2894,4.7589,0.9298,2.8263,2.5366
60514,1.5049,2.7695,1.213,1.5155,14.2834,6.3264,2.0841,8.8223,5.1207
60515,0.3487,1.098,3.6205,1.6757,12.667,3.6231,1.054,6.1418,2.2511
60516,2.3464,1.4159,4.7311,2.6273,14.3518,5.35,0.9688,5.5481,2.3445
60517,3.9232,1.8278,5.1978,3.4608,13.6541,5.3261,2.0398,4.2334,0.6779
60520,13.0803,18.2039,13.3741,2.8432,6.0439,2.648,3.8288,9.974,11.29
60521,0.5868,4.2293,1.572,0.4814,13.0166,6.442,3.252,7.3671,6.5021
60523,1.2612,4.0383,1.6037,2.7053,14.2763,3.6064,3.0589,7.1502,3.8323
60525,1.2746,7.1331,4.7975,0.513,9.7474,3.8396,1.0252,5.2391,4.9377
60526,1.1628,4.0987,2.1922,1.8264,11.6831,4.7315,0.9276,4.1276,3.8647
60532,1.423,2.8369,3.5422,2.0144,10.1552,1.4386,1.9902,2.9666,1.859
60534,1.5782,4.614,2.0328,1.1861,8.8174,3.3414,0.5318,2.1032,1.8074
60538,5.6585,4.4455,2.8805,1.5944,10.4954,4.5734,1.3963,2.9147,2.3465
60540,0.2813,3.7932,0.6726,5.5112,8.7635,2.9566,1.3825,1.2922,0.7701
60543,6.4665,7.4717,6.1559,2.5317,13.5204,7.3314,1.7217,4.8675,2.5798
60544,5.7744,6.9739,7.017,1.1332,8.5485,0.896,3.1389,3.1758,3.6137
60545,13.8253,13.6237,4.1994,2.5645,15.4135,6.9714,1.7361,10.0236,11.6526
60546,1.1882,3.3887,1.5771,1.3728,10.0174,4.4084,0.4828,1.4091,1.1904
60548,19.1927,19.1198,9.1647,1.6663,14.7171,7.0944,3.1867,15.445,16.95
60554,6.9805,7.783,6.7946,3.6082,8.7729,5.983,4.0829,4.1326,4.6673
60555,1.982,1.9793,2.0049,6.1522,4.7482,1.8912,1.5659,2.0693,3.3534
60559,1.9765,1.8541,1.7708,2.4221,15.1039,6.2296,1.4357,7.9202,4.1827
60561,2.7395,3.3667,4.9607,4.3297,14.6274,6.1619,1.4268,6.9677,3.7778
60563,0.9997,1.6393,0.9641,6.4636,6.1172,1.0377,0.9442,0.5168,2.5375
60564,0.39,6.2349,4.1222,3.7394,10.6973,5.1969,0.897,3.1132,1.9223
60565,2.3535,5.0849,2.6204,5.2552,11.2309,4.1752,0.3529,2.0095,1.8219
60601,0.1294,0.8045,0.444,3.517,11.4779,2.4607,0.0603,1.0024,0.8505
60602,0.1271,0.7132,0.1451,3.4673,11.3368,2.5728,0.3359,1.2738,0.9382
60603,0.1993,0.9715,0.4169,3.2207,11.1692,2.784,0.3534,1.0066,0.6656
60604,0.3649,1.0505,0.4694,3.1316,11.0218,2.9173,0.5492,1.0644,0.7169
60605,1.0981,1.683,1.3551,2.3045,10.2661,3.6727,0.4401,0.4896,0.3977
60606,0.5552,0.755,0.1333,3.5624,11.1475,2.6618,0.4616,1.064,0.8522
60607,0.5639,1.0399,0.5752,3.2934,10.4874,3.311,0.3535,0.6833,0.5153
60608,1.1952,1.3426,0.9525,3.4155,8.5201,2.5829,0.6114,1.2977,1.094
60609,0.9955,1.2967,2.6019,2.9411,6.2869,1.5675,0.6428,0.7036,1.2668
60610,0.5174,0.7494,0.5943,3.8814,12.8761,0.9247,0.5943,0.3241,0.5582
60611,0.0965,1.0236,0.1367,4.0429,11.9926,2.0175,0.36,0.4848,0.3193
60612,0.7007,1.1147,0.6735,1.6245,10.6083,4.0286,0.5739,0.6643,0.4747
60613,0.8382,0.4313,0.8333,2.5318,10.4347,2.7976,0.7525,0.3283,0.6194
60614,0.4683,1.2609,0.6338,3.3572,11.931,0.9835,0.059,0.1463,0.8575
60615,0.6699,1.0859,2.5237,2.3536,5.6154,4.6744,0.7483,0.7617,0.293
60616,0.9833,0.0577,0.2095,1.0624,8.7675,3.8674,0.9733,0.9294,1.2367
60617,0.7863,2.5757,0.7815,0.0984,1.4454,8.7566,1.1552,2.7325,0.4275
60618,0.9611,1.3144,1.3159,2.1315,8.7622,4.1255,0.2413,1.3903,0.9343
60619,1.4002,0.9455,2.1931,2.8254,2.0028,5.7071,0.2513,0.9787,0.8594
60620,2.5249,0.538,1.6674,3.5103,2.4779,3.3507,0.8617,1.1814,0.5775
60621,0.2498,0.3179,0.3396,4.397,4.5204,3.4794,1.2486,2.264,0.9929
60622,0.3517,1.4486,0.8539,1.2252,11.6133,2.9662,0.2472,0.591,0.4011
60623,0.3546,0.4788,1.4708,3.569,8.4487,2.9308,0.4682,1.3467,0.7504
60624,0.6922,0.3157,0.7915,1.5437,10.7109,5.0543,1.1216,1.109,0.5939
60625,0.2114,1.7809,1.7799,1.8089,7.8235,5.1084,0.5414,1.0497,0.6092
60626,0.0442,1.2254,2.882,1.3703,8.6289,4.9097,0.564,0.7133,0.4335
60628,3.9542,0.3867,0.4157,1.2314,2.8629,6.5694,1.4323,1.0848,1.8757
60629,1.1262,2.1624,3.904,2.3755,3.4668,1.5726,0.9006,1.6103,1.2602
60630,2.4693,4.2562,3.3435,1.2441,5.5164,4.2758,0.4967,0.8291,1.3107
60631,1.228,4.5847,4.5824,1.7621,2.5529,3.7358,1.8033,3.3301,3.0478
60632,2.2196,2.2197,4.0159,4.7664,5.9056,1.4144,0.2021,0.3953,1.6494
60633,3.0186,3.4955,3.3964,1.2854,1.2535,10.0401,0.9437,0.7523,3.4543
60634,1.4217,4.5504,2.8068,2.2122,5.8533,4.0362,0.0735,1.207,1.5363
60636,0.4142,0.9907,1.8038,3.6992,3.6708,2.7109,0.1686,1.6375,0.5654
60637,0.5654,1.2391,1.7832,3.6974,4.2804,4.9438,0.4428,0.7566,1.1512
60638,3.3501,4.7999,3.6658,3.3121,5.3705,0.8458,1.3159,2.1534,0.7332
60639,0.3325,2.0822,0.3273,1.7301,8.4477,5.098,0.748,1.099,0.1984
60640,0.3981,0.5865,0.4005,1.3926,9.6312,3.9377,0.646,0.5104,0.7776
60641,0.8726,3.1831,1.7344,1.0898,7.1922,6.0821,0.8572,0.7717,0.7985
60643,2.1668,2.2917,1.6075,1.2544,2.56,4.5789,0.8178,2.7908,0.6942
60644,0.5248,1.1085,0.3286,1.5633,10.9585,4.9384,0.4944,0.8162,1.1136
60645,0.8563,0.8632,3.3994,1.643,7.2345,3.9139,0.3965,0.7822,0.6928
60646,1.3307,3.2554,3.2497,1.045,4.4987,2.8286,0.5277,1.7688,2.4042
60647,0.7719,1.4294,0.2522,0.9724,10.0543,3.653,0.1888,1.3203,0.8286
60649,1.0417,0.6542,3.2861,2.1387,2.9954,7.0548,0.4473,0.5188,0.9004
60651,0.4303,0.9864,1.4894,0.5751,9.9401,5.6466,0.4065,0.2821,1.2119
60652,1.9516,1.4098,2.0384,0.6607,1.7409,0.3541,0.4282,0.5173,0.367
60653,0.5682,1.3617,2.0175,1.0789,6.8902,4.1547,0.2757,1.2838,0.6472
60654,0.1683,0.1677,0.3181,3.6068,11.8274,1.9644,0.2381,0.7671,0.3281
60655,1.8804,3.8972,1.9017,1.7557,2.2328,4.0641,1.3,2.342,2.6208
60656,0.5916,5.6017,4.883,2.8778,3.7735,5.2838,0.8995,1.8058,1.453
60657,0.0635,1.6035,0.7193,3.6915,11.2445,1.6739,0.5115,0.5354,0.5728
60659,1.0954,2.1535,2.9292,1.5611,7.1115,4.2246,0.4933,0.3803,0.8313
60660,1.3288,1.8548,1.5955,0.5192,9.0755,5.1749,0.3858,0.4563,0.2361
60661,0.3683,0.8461,0.3654,3.4099,11.1211,2.6635,0.1182,1.088,0.7283
60706,1.4684,5.5814,3.9977,2.7294,4.5339,4.8933,1.0413,1.3003,1.3842
60707,1.4892,3.0164,2.4003,1.3573,7.4948,2.7582,0.7966,0.7527,0.8336
60712,2.2277,2.4294,2.4226,2.414,5.3657,2.4858,0.9806,1.6548,1.7575
60714,1.483,3.3971,3.3982,0.4428,1.1194,2.5125,0.5883,5.3106,4.1267
60803,2.5227,3.169,3.1455,2.6954,4.2759,5.6859,1.1066,3.3987,4.3472
60804,1.2915,1.4517,1.6736,4.2385,8.3388,4.1941,0.3986,1.2986,1.2552
60805,0.4665,2.0748,0.5472,1.619,0.4425,2.2424,0.345,1.5213,1.9936
60827,2.579,2.6167,2.6208,0.775,2.4679,8.3868,0.6689,1.9202,4.286
60901,1.1958,2.2396,1.8467,1.8245,2.2258,0.8809,4.9431,30.6342,2.5297
60915,1.8566,1.9149,1.91,3.8436,1.1015,2.6853,2.7561,27.523,4.9127
60935,15.7105,17.0627,16.6633,1.9717,2.1297,5.0676,10.3484,24.6781,16.8257
60964,8.7503,8.4616,8.765,0.1027,10.3486,9.1019,10.2691,32.478,7.913
61008,2.0754,9.2053,6.4723,1.2977,2.9043,4.8433,1.6687,23.3096,3.4539
61038,6.2217,14.5044,11.2778,2.3829,6.1498,2.9213,4.2136,20.9783,5.7233
61068,1.1642,21.8051,0.6883,2.9094,3.7589,1.6142,6.3606,17.9297,17.8309
61073,8.5202,11.2656,9.5245,1.4954,14.9074,11.6975,2.7008,36.5914,18.1073
61101,3.8161,8.427,4.3435,2.8534,15.4667,4.0951,3.4492,36.3168,19.7891
61103,2.7378,6.6229,3.0548,1.4591,13.0424,4.7525,1.425,34.8505,17.2174
61107,0.2449,1.6583,0.818,5.5199,7.195,5.8898,2.2376,29.0618,11.4787
61108,0.7744,0.9272,1.2551,5.9795,6.2856,4.7138,1.5335,27.3795,10.663
61109,3.2486,5.1481,3.1497,1.077,8.6988,0.342,2.5821,25.5158,12.555
61115,3.9532,7.0106,4.9791,3.6738,12.0636,7.2417,1.5922,34.5362,15.9086
61270,13.8555,40.5299,15.6211,1.7435,1.8036,3.1297,10.1518,35.3474,35.9188
61301,3.1722,13.5739,13.6553,0.9655,2.5295,0.1213,11.2258,40.7786,42.0075
61329,5.1275,19.1655,19.2393,3.2698,4.2923,6.1307,17.0575,44.7284,45.881100000000004
61354,0.9169,15.9247,15.9872,2.3284,3.2284,5.562,16.6065,46.3852,47.6032
61356,1.5379,31.6402,30.3698,0.6757,4.2074,4.2266,22.6335,52.0255,49.555
61701,0.7192,3.3303,1.8051,0.3423,18.892,1.5457,1.511,1.2456,1.9502
61759,16.2743,18.3652,16.3253,14.4193,1.3667,13.9654,12.5953,16.5916,16.6463
61764,30.9478,30.5843,1.1012,1.2251,2.4832,1.2183,4.2592,31.8855,30.6563
61913,15.277,22.1481,24.1516,1.6694,9.4675,15.4594,20.8671,22.081,23.4671
62040,1.8667,7.99,1.7698,2.0168,24.5096,17.7358,4.4705,12.1504,1.8567
62234,3.6088,10.822,4.5315,1.2527,19.5978,17.9379,2.5617,10.1105,3.3926
62237,22.0271,43.7948,31.6363,1.7724,3.3047,15.1711,24.4439,35.8366,35.3766
