"","GEOID","totPop19","engProf19"
"60","01119",12082,0.00546267174308889
"61","01121",76121,0.00681809224786852
"62","01123",38284,0.00386584473931669
"63","01125",194903,0.00947650882746802
"64","01127",60187,0.00631365577284131
"65","01129",15740,0.00762388818297332
"66","01131",10010,0.00649350649350649
"67","01133",22469,0.00645333570697405
"68","02013",3276,0.113858363858364
"69","02016",5509,0.0740606280631694
"70","02020",272334,0.0225605322875587
"71","02050",16299,0.023989201791521
"72","02060",827,0
"73","02068",2182,0.00366636113657195
"74","02070",4492,0.0200356188780053
"75","02090",91264,0.00511702314165498
"76","02100",2333,0.00300042863266181
"77","02105",2049,0
"78","02110",30352,0.0104770690564048
"79","02122",54872,0.00506633620061233
"80","02130",13003,0.0112281781127432
"81","02150",12460,0.0699036918138042
"82","02158",7174,0.0096180652355729
"83","02164",1306,0.00306278713629403
"84","02170",97852,0.00799166087560806
"85","02180",9001,0.0183312965226086
"86","02185",8999,0.0130014446049561
"87","02188",6897,0.00637958532695375
"88","02195",3048,0.00754593175853018
"89","02198",6027,0.00132736021237763
"90","02220",8257,0.00726656170521981
"91","02230",1046,0.00382409177820268
"92","02240",6361,0.0372582927212702
"93","02261",8659,0.00288716941910151
"94","02275",2382,0.00209907640638119
"95","02282",593,0.0101180438448567
"96","02290",4977,0.00100462125778581
"97","04001",66698,0.0538996671564365
"98","04003",118453,0.0413159649818916
"99","04005",133512,0.0205075199233028
"100","04007",50611,0.0128232992827646
"101","04009",35231,0.0216570633816809
"102","04011",8773,0.022227288270831
"103","04012",19831,0.0335333568655136
"104","04013",4050301,0.0485823152402747
"105","04015",198586,0.0154039056126817
"106","04017",101540,0.0310714989166831
"107","04019",968882,0.041496281280899
"108","04021",407869,0.0317920704932221
"109","04023",43169,0.151034307025875
"110","04025",218478,0.0158459890698377
"111","04027",194397,0.139117373210492
"112","05001",16772,0.00286191271166229
"113","05003",19036,0.0152342929186804
"114","05005",39691,0.000982590511702905
"115","05007",247049,0.0342280276382418
"116","05009",34996,0.000342896331009258
"117","05011",10211,0.035745764371756
"118","05013",4935,0.00364741641337386
"119","05015",26384,0.0430563978168587
"120","05017",10009,0.0134878609251673
"121","05019",21185,0.0121784281331131
"122","05021",14068,0.00120841626386125
"123","05023",23921,0.000334434179173112
"124","05025",7706,0.00376330132364391
"125","05027",22331,0.00918006358873315
"126","05029",19604,0.00795755968169761
"127","05031",99879,0.00682826219725868
"128","05033",58791,0.0116854620605195
"129","05035",44906,0.00512181000311762
"130","05037",15758,0.000317299149638279
"131","05039",6901,0.000579626141138965
"132","05041",10961,0.0249977191862056
"133","05043",17294,0.00104082340696195
"134","05045",115984,0.00681128431507794
"135","05047",16614,0.000180570603105814
"136","05049",11628,0.00558995528035776
"137","05051",93295,0.0126266145023849
"138","05053",17166,0.00163113130607014
"139","05055",42023,0.00233205625490803
"140","05057",20284,0.0317491619010057
"141","05059",31966,0.00381655508978289
"142","05061",12379,0.028192907343081
"143","05063",34927,0.0141437856099865
"144","05065",12929,0.000850800525949416
"145","05067",16125,0
"146","05069",65111,0.00658874844496322
"147","05071",24727,0.0308973996036721
"148","05073",6425,0.00591439688715953
"149","05075",15610,0.00076873798846893
"150","05077",8725,0.0111174785100287
"151","05079",12903,0.00999767495931179
"152","05081",11628,0.000601995184038528
"153","05083",20401,0.00372530758296162
"154","05085",67588,0.00627330295318696
"155","05087",15099,0.00953705543413471
"156","05089",15757,0.000317319286666244
"157","05091",40828,0.00137160772019203
"158","05093",39089,0.0104633016961293
"159","05095",6614,0.00151194436044754
"160","05097",8537,0.0133536371090547
"161","05099",7848,0
