ZCTA,time_to_nearest_methadone,count_in_range_methadone,methadone_score
98686,0,6,1.7333333333333332
98685,7,6,1.4000000000000001
98684,17,7,1.0666666666666667
98683,18,7,1.1
98682,13,6,1.3333333333333333
98675,38,0,0.0
98674,23,2,0.26666666666666666
98673,999,0,0.0
98672,90,0,0.0
98671,31,0,0.0
98670,142,0,0.0
98665,6,7,1.8666666666666667
98664,9,8,1.6666666666666667
98663,5,7,1.9000000000000001
98662,11,7,1.5666666666666667
98661,0,7,1.8333333333333335
98660,8,7,1.7333333333333332
98651,86,0,0.0
98650,108,0,0.0
98649,43,0,0.0
98648,56,0,0.0
98647,67,0,0.0
98645,29,1,0.03333333333333333
98644,104,0,0.0
98643,85,0,0.0
98642,13,4,0.8999999999999999
98641,133,0,0.0
98640,126,0,0.0
98639,54,0,0.0
98638,95,0,0.0
98635,98,0,0.0
98632,15,1,0.5
98631,110,0,0.0
98629,26,1,0.13333333333333333
98628,135,0,0.0
98626,0,1,1.0
98625,23,1,0.23333333333333334
98624,104,0,0.0
98621,75,0,0.0
98620,101,0,0.0
98619,137,0,0.0
98617,999,0,0.0
98616,73,0,0.0
98614,111,0,0.0
98613,117,0,0.0
98612,49,0,0.0
98611,17,1,0.43333333333333335
98610,68,0,0.0
98607,25,3,0.3
98606,20,2,0.5666666666666667
98605,83,0,0.0
98604,20,2,0.5
98603,51,0,0.0
98602,124,0,0.0
98601,36,0,0.0
98597,32,0,0.0
98596,38,0,0.0
98595,38,0,0.0
98593,33,0,0.0
98592,68,0,0.0
98591,37,0,0.0
98590,60,0,0.0
98589,39,0,0.0
98588,75,0,0.0
98587,67,0,0.0
98586,55,0,0.0
98585,59,0,0.0
98584,46,0,0.0
98583,26,1,0.13333333333333333
98582,53,0,0.0
98581,44,0,0.0
98580,38,0,0.0
98579,39,0,0.0
98577,46,0,0.0
98576,36,0,0.0
98575,51,0,0.0
98572,77,0,0.0
98571,49,0,0.0
98570,53,0,0.0
98569,37,0,0.0
98568,51,0,0.0
98565,41,0,0.0
98564,69,0,0.0
98563,46,0,0.0
98562,54,0,0.0
98560,75,0,0.0
98559,38,0,0.0
98558,31,0,0.0
98557,41,0,0.0
98555,83,0,0.0
98552,33,0,0.0
98550,0,2,1.5
98548,69,0,0.0
98547,44,0,0.0
98546,60,0,0.0
98544,45,0,0.0
98542,49,0,0.0
98541,49,0,0.0
98538,70,0,0.0
98537,41,0,0.0
98536,40,0,0.0
98535,38,0,0.0
98533,71,0,0.0
98532,49,0,0.0
98531,42,0,0.0
98530,46,0,0.0
98528,59,0,0.0
98527,72,0,0.0
98526,50,0,0.0
98524,60,0,0.0
98520,0,2,1.5333333333333332
98516,0,3,1.2
98513,15,1,0.5
98512,27,1,0.1
98506,11,1,0.6333333333333333
98503,14,1,0.5333333333333333
98502,25,1,0.16666666666666666
98501,20,1,0.3333333333333333
98499,0,4,1.9000000000000001
98498,0,3,1.8
98467,9,2,1.3333333333333333
98466,13,3,1.1
98465,13,3,1.1
98447,10,2,1.1
98446,16,2,0.7
98445,13,2,0.8999999999999999
98444,5,4,1.5666666666666667
98443,18,3,0.7999999999999999
98439,9,3,1.6333333333333333
98438,8,3,1.4333333333333331
98433,13,3,1.4
98430,11,3,1.5333333333333332
98424,15,5,1.1333333333333333
98422,18,3,0.6
98421,16,4,1.1
98418,11,4,1.3666666666666667
98416,15,3,0.9666666666666666
98409,7,4,1.5333333333333334
98408,11,3,1.3333333333333333
98407,18,2,0.6666666666666667
98406,14,3,1.0333333333333334
98405,13,3,1.2
98404,14,4,1.2333333333333332
98403,16,3,0.9333333333333333
98402,15,4,1.1333333333333333
98396,39,0,0.0
98394,52,0,0.0
98392,55,0,0.0
98391,23,2,0.23333333333333334
98390,18,3,0.7
98388,8,3,1.5666666666666667
98387,23,2,0.23333333333333334
98385,30,1,0.0
98383,58,0,0.0
98382,24,1,0.2
98381,96,0,0.0
98380,70,0,0.0
98377,111,0,0.0
98376,66,0,0.0
98375,24,1,0.2
98374,23,3,0.3666666666666667
98373,16,3,0.8666666666666666
98372,18,4,0.7666666666666667
98371,20,4,0.7333333333333333
98370,59,0,0.0
98368,64,0,0.0
98367,39,0,0.0
98366,45,0,0.0
98365,69,0,0.0
98364,54,0,0.0
98363,22,1,0.26666666666666666
98362,0,1,1.0
98361,103,0,0.0
98360,43,0,0.0
98359,35,0,0.0
98358,75,0,0.0
98357,127,0,0.0
98356,83,0,0.0
98355,81,0,0.0
98354,15,5,0.9666666666666666
98353,49,0,0.0
98351,62,0,0.0
98350,107,0,0.0
98349,54,0,0.0
98346,45,0,0.0
98345,67,0,0.0
98342,51,0,0.0
98340,67,0,0.0
98339,62,0,0.0
98338,32,0,0.0
98337,50,0,0.0
98336,94,0,0.0
98335,24,2,0.26666666666666666
98333,39,0,0.0
98332,27,1,0.1
98331,116,0,0.0
98330,64,0,0.0
98329,35,0,0.0
98328,40,0,0.0
98327,15,3,1.2666666666666666
98326,96,0,0.0
98325,66,0,0.0
98323,53,0,0.0
98321,29,1,0.03333333333333333
98320,90,0,0.0
98315,65,0,0.0
98314,50,0,0.0
98312,49,0,0.0
98311,62,0,0.0
98310,55,0,0.0
98305,78,0,0.0
98304,85,0,0.0
98303,44,0,0.0
98297,244,0,0.0
98296,16,3,0.8333333333333333
98295,91,0,0.0
98294,40,0,0.0
98292,26,1,0.13333333333333333
98290,27,1,0.1
98288,85,0,0.0
98286,77,0,0.0
98284,41,0,0.0
98283,92,0,0.0
98282,38,0,0.0
98281,999,0,0.0
98280,84,0,0.0
98279,115,0,0.0
98278,28,1,0.06666666666666667
98277,30,1,0.0
98276,79,0,0.0
98275,10,3,1.3666666666666667
98274,35,0,0.0
98273,29,1,0.03333333333333333
98272,26,1,0.13333333333333333
98271,18,2,0.6333333333333333
98270,20,2,0.6
98267,87,0,0.0
98266,87,0,0.0
98264,75,0,0.0
98263,50,0,0.0
98262,86,0,0.0
98261,65,0,0.0
98260,46,0,0.0
98258,23,2,0.4666666666666667
98257,22,1,0.26666666666666666
98256,62,0,0.0
98255,54,0,0.0
98253,58,0,0.0
98252,28,1,0.06666666666666667
98251,53,0,0.0
98250,82,0,0.0
98249,49,0,0.0
98248,68,0,0.0
98247,79,0,0.0
98245,92,0,0.0
98244,81,0,0.0
98243,96,0,0.0
98241,48,0,0.0
98240,76,0,0.0
98239,52,0,0.0
98238,25,1,0.16666666666666666
98237,68,0,0.0
98236,41,0,0.0
98235,39,0,0.0
98233,26,1,0.13333333333333333
98232,32,0,0.0
98230,80,0,0.0
98229,61,0,0.0
98226,58,0,0.0
98225,54,0,0.0
98224,94,0,0.0
98223,0,1,1.0
98222,162,0,0.0
98221,0,1,1.0
98220,57,0,0.0
98208,8,3,1.2666666666666666
98207,14,3,0.7
98205,17,3,0.7
98204,0,3,1.8666666666666667
98203,7,3,1.1666666666666667
98201,13,4,0.9
98199,15,8,1.4666666666666668
98198,10,9,1.4666666666666668
98195,9,11,1.9666666666666666
98188,11,10,1.7333333333333334
98178,6,11,1.9666666666666668
98177,6,10,1.4666666666666666
98174,2,11,2.7
98168,10,11,1.8
98166,15,9,1.4666666666666668
98164,2,11,2.7
98158,15,9,1.3666666666666667
98155,8,10,1.6
98154,2,11,2.7
98148,14,9,1.5333333333333332
98146,11,9,1.7666666666666666
98144,4,10,2.6
98136,14,7,1.4666666666666668
98134,0,10,3.0
98133,0,10,1.9333333333333336
98126,13,8,1.6333333333333333
98125,7,10,1.7666666666666666
98122,4,9,2.466666666666667
98121,5,10,2.4
98119,10,9,1.9666666666666666
98118,5,10,2.1
98117,10,10,1.6666666666666665
98116,16,7,1.2666666666666666
98115,11,11,1.8666666666666667
98112,8,10,2.0666666666666664
98110,46,0,0.0
98109,6,10,2.3666666666666667
98108,0,10,2.666666666666667
98107,13,10,1.6333333333333333
98106,9,10,2.033333333333333
98105,9,11,2.0
98104,0,10,2.8666666666666667
98103,10,11,2.0
98102,6,11,2.2666666666666666
98101,3,11,2.6
98092,6,3,1.3333333333333333
98087,6,6,1.8333333333333335
98077,20,2,0.6666666666666666
98075,24,3,0.2
98074,19,1,0.36666666666666664
98072,14,6,0.9666666666666667
98070,49,0,0.0
98068,56,0,0.0
98065,31,0,0.0
98059,9,9,1.2333333333333334
98058,11,10,1.1333333333333333
98057,0,10,2.033333333333333
98056,6,10,1.5666666666666669
98055,8,10,1.6333333333333333
98053,19,1,0.36666666666666664
98052,9,11,1.3333333333333333
98051,31,0,0.0
98050,31,0,0.0
98047,9,4,1.2666666666666666
98045,33,0,0.0
98043,11,9,1.7666666666666666
98042,13,3,1.1333333333333333
98040,12,10,1.7666666666666666
98039,13,10,1.6333333333333333
98038,21,3,0.5333333333333333
98037,10,8,1.7333333333333334
98036,10,10,1.8666666666666667
98034,12,11,1.3333333333333333
98033,13,11,1.3666666666666665
98032,0,9,1.7999999999999998
98031,12,10,1.4666666666666666
98030,12,4,1.5333333333333334
98029,19,8,0.7666666666666666
98028,9,10,1.5333333333333332
98027,21,8,0.5666666666666667
98026,13,9,1.6
98024,28,1,0.06666666666666667
98023,14,5,0.9333333333333332
98022,27,1,0.1
98021,0,6,1.7333333333333334
98020,11,9,1.4333333333333331
98019,30,1,0.0
98014,29,1,0.03333333333333333
98012,9,3,1.2666666666666666
98011,13,6,1.0666666666666667
98010,28,1,0.06666666666666667
98008,8,9,1.2
98007,0,10,1.7333333333333334
98006,12,9,1.3666666666666667
98005,5,10,1.5666666666666667
98004,11,10,1.5666666666666669
98003,12,8,1.3333333333333335
98002,0,5,1.7
98001,9,8,1.4
97920,160,0,0.0
97918,84,0,0.0
97914,57,0,0.0
97913,63,0,0.0
97911,999,0,0.0
97910,123,0,0.0
97909,110,0,0.0
97908,999,0,0.0
97907,84,0,0.0
97906,131,0,0.0
97905,999,0,0.0
97904,999,0,0.0
97903,999,0,0.0
97901,64,0,0.0
97886,46,0,0.0
97885,128,0,0.0
97884,999,0,0.0
97883,80,0,0.0
97882,45,0,0.0
97880,85,0,0.0
97877,148,0,0.0
97876,87,0,0.0
97875,28,1,0.06666666666666667
97874,999,0,0.0
97873,999,0,0.0
97870,999,0,0.0
97869,999,0,0.0
97868,26,1,0.13333333333333333
97867,93,0,0.0
97865,999,0,0.0
97864,173,0,0.0
97862,50,0,0.0
97859,37,0,0.0
97857,150,0,0.0
97856,129,0,0.0
97850,60,0,0.0
97848,999,0,0.0
97846,999,0,0.0
97845,999,0,0.0
97844,55,0,0.0
97843,123,0,0.0
97842,999,0,0.0
97841,77,0,0.0
97840,999,0,0.0
97839,79,0,0.0
97838,36,0,0.0
97837,999,0,0.0
97836,105,0,0.0
97835,47,0,0.0
97834,999,0,0.0
97833,102,0,0.0
97830,999,0,0.0
97828,160,0,0.0
97827,89,0,0.0
97826,32,0,0.0
97825,999,0,0.0
97824,80,0,0.0
97823,147,0,0.0
97820,999,0,0.0
97819,999,0,0.0
97818,54,0,0.0
97817,185,0,0.0
97814,108,0,0.0
97813,32,0,0.0
97812,110,0,0.0
97810,35,0,0.0
97801,0,1,1.0
97761,87,0,0.0
97760,44,0,0.0
97759,36,0,0.0
97758,999,0,0.0
97756,22,1,0.26666666666666666
97754,53,0,0.0
97753,37,0,0.0
97752,116,0,0.0
97751,160,0,0.0
97750,122,0,0.0
97741,57,0,0.0
97739,51,0,0.0
97738,999,0,0.0
97737,65,0,0.0
97736,999,0,0.0
97735,106,0,0.0
97734,49,0,0.0
97733,85,0,0.0
97732,999,0,0.0
97731,189,0,0.0
97730,58,0,0.0
97722,999,0,0.0
97721,999,0,0.0
97720,999,0,0.0
97712,77,0,0.0
97711,151,0,0.0
97710,999,0,0.0
97707,44,0,0.0
97702,11,1,0.6333333333333333
97701,0,1,1.0
97641,158,0,0.0
97640,999,0,0.0
97639,184,0,0.0
97638,131,0,0.0
97637,999,0,0.0
97636,999,0,0.0
97635,999,0,0.0
97634,112,0,0.0
97633,131,0,0.0
97632,999,0,0.0
97630,999,0,0.0
97627,88,0,0.0
97626,130,0,0.0
97625,143,0,0.0
97624,151,0,0.0
97623,999,0,0.0
97622,999,0,0.0
97621,999,0,0.0
97620,999,0,0.0
97604,125,0,0.0
97603,112,0,0.0
97601,111,0,0.0
97544,46,0,0.0
97543,31,0,0.0
97541,46,0,0.0
97540,17,1,0.43333333333333335
97539,35,0,0.0
97538,44,0,0.0
97537,28,1,0.06666666666666667
97536,65,0,0.0
97535,12,1,0.6
97534,71,0,0.0
97532,25,1,0.16666666666666666
97531,46,0,0.0
97530,26,1,0.13333333333333333
97527,13,1,0.5666666666666667
97526,0,1,1.0
97525,21,2,0.36666666666666664
97524,24,1,0.2
97523,59,0,0.0
97522,68,0,0.0
97520,25,1,0.16666666666666666
97504,0,1,1.0
97503,20,1,0.3333333333333333
97502,14,1,0.5333333333333333
97501,9,1,0.7
97499,46,0,0.0
97498,131,0,0.0
97497,29,1,0.03333333333333333
97496,21,1,0.3
97495,17,1,0.43333333333333335
97494,23,1,0.23333333333333334
97493,129,0,0.0
97492,59,0,0.0
97490,49,0,0.0
97489,34,0,0.0
97488,45,0,0.0
97487,26,3,0.3333333333333333
97486,48,0,0.0
97484,87,0,0.0
97481,31,0,0.0
97480,97,0,0.0
97479,26,1,0.13333333333333333
97478,9,3,1.9666666666666666
97477,0,3,2.533333333333333
97476,161,0,0.0
97473,87,0,0.0
97471,15,1,0.5
97470,0,1,1.0
97469,42,0,0.0
97467,114,0,0.0
97466,117,0,0.0
97465,169,0,0.0
97463,62,0,0.0
97462,32,0,0.0
97461,40,0,0.0
97459,136,0,0.0
97458,100,0,0.0
97457,29,1,0.03333333333333333
97456,40,0,0.0
97455,19,3,1.0333333333333332
97454,30,1,0.0
97453,75,0,0.0
97452,28,3,0.06666666666666667
97451,52,0,0.0
97450,151,0,0.0
97449,133,0,0.0
97448,26,3,0.3333333333333333
97447,54,0,0.0
97446,32,0,0.0
97444,191,0,0.0
97443,38,0,0.0
97442,40,0,0.0
97441,118,0,0.0
97439,94,0,0.0
97438,27,3,0.1
97437,31,0,0.0
97436,62,0,0.0
97435,49,0,0.0
97434,57,0,0.0
97431,31,0,0.0
97430,103,0,0.0
97429,62,0,0.0
97426,18,3,1.0666666666666667
97424,29,3,0.03333333333333333
97423,103,0,0.0
97420,131,0,0.0
97419,40,0,0.0
97417,40,0,0.0
97416,42,0,0.0
97415,147,0,0.0
97414,96,0,0.0
97413,76,0,0.0
97412,60,0,0.0
97411,130,0,0.0
97410,50,0,0.0
97408,7,3,2.2
97406,134,0,0.0
97405,12,3,1.7333333333333334
97404,10,3,1.9333333333333331
97403,6,3,2.3333333333333335
97402,11,3,1.8666666666666667
97401,0,3,2.8333333333333335
97396,54,0,0.0
97394,143,0,0.0
97392,22,2,0.43333333333333335
97391,107,0,0.0
97390,137,0,0.0
97389,40,0,0.0
97388,108,0,0.0
97386,58,0,0.0
97385,24,2,0.3666666666666667
97384,34,0,0.0
97383,25,2,0.3
97381,24,1,0.2
97380,121,0,0.0
97378,54,0,0.0
97377,42,0,0.0
97376,134,0,0.0
97375,45,0,0.0
97374,44,0,0.0
97373,34,0,0.0
97371,27,2,0.2
97370,59,0,0.0
97369,128,0,0.0
97368,83,0,0.0
97367,97,0,0.0
97366,126,0,0.0
97365,118,0,0.0
97364,88,0,0.0
97362,29,1,0.03333333333333333
97361,23,1,0.23333333333333334
97360,46,0,0.0
97358,38,0,0.0
97357,111,0,0.0
97355,50,0,0.0
97352,22,2,0.4
97351,17,2,0.5666666666666667
97350,84,0,0.0
97348,34,0,0.0
97347,59,0,0.0
97346,51,0,0.0
97345,68,0,0.0
97344,47,0,0.0
97343,88,0,0.0
97342,78,0,0.0
97341,118,0,0.0
97338,29,2,0.03333333333333333
97333,51,0,0.0
97331,51,0,0.0
97330,50,0,0.0
97329,82,0,0.0
97327,38,0,0.0
97326,84,0,0.0
97325,17,2,0.8
97324,88,0,0.0
97322,30,1,0.0
97321,35,0,0.0
97317,10,2,1.2999999999999998
97306,7,2,1.3
97305,10,2,1.0666666666666667
97304,13,2,1.1333333333333333
97303,12,2,1.0
97302,0,2,1.6666666666666665
97301,0,2,1.6333333333333333
97267,0,8,1.6666666666666665
97266,9,10,1.7
97239,0,8,1.9333333333333331
97236,0,6,1.6666666666666665
97233,7,8,1.5333333333333334
97232,4,10,2.466666666666667
97231,22,3,0.39999999999999997
97230,9,9,1.5666666666666667
97229,17,6,1.1
97227,6,10,2.0666666666666664
97225,11,8,1.7333333333333334
97224,8,6,1.2666666666666666
97223,0,7,1.7333333333333332
97222,10,8,1.5333333333333334
97221,10,8,1.9
97220,8,9,1.5999999999999999
97219,11,9,1.8666666666666667
97218,0,10,2.1333333333333333
97217,9,10,1.9666666666666668
97216,11,10,1.7333333333333334
97215,6,10,2.2666666666666666
97214,0,10,2.7
97213,6,10,2.1333333333333333
97212,8,10,2.1999999999999997
97211,7,10,1.9333333333333333
97210,5,10,1.9666666666666666
97209,0,10,2.4
97208,1,10,2.3666666666666663
97206,11,9,1.7999999999999998
97205,4,10,2.1999999999999997
97204,4,10,2.5333333333333337
97203,16,7,1.3666666666666667
97202,8,9,2.0666666666666664
97201,5,10,2.1666666666666665
97149,108,0,0.0
97148,51,0,0.0
97147,129,0,0.0
97146,97,0,0.0
97145,118,0,0.0
97144,60,0,0.0
97141,100,0,0.0
97140,18,1,0.4
97138,116,0,0.0
97137,37,0,0.0
97136,126,0,0.0
97135,102,0,0.0
97134,115,0,0.0
97133,36,0,0.0
97132,29,1,0.03333333333333333
97131,130,0,0.0
97130,133,0,0.0
97128,47,0,0.0
97127,43,0,0.0
97125,49,0,0.0
97124,25,2,0.3333333333333333
97123,22,2,0.3666666666666667
97122,92,0,0.0
97121,103,0,0.0
97119,43,0,0.0
97118,117,0,0.0
97117,44,0,0.0
97116,39,0,0.0
97115,35,0,0.0
97114,41,0,0.0
97113,34,0,0.0
97112,102,0,0.0
97111,47,0,0.0
97110,128,0,0.0
97109,45,0,0.0
97108,115,0,0.0
97107,111,0,0.0
97106,37,0,0.0
97103,91,0,0.0
97102,123,0,0.0
97101,37,0,0.0
97089,17,5,0.8333333333333334
97086,13,6,1.2666666666666666
97080,14,5,0.7333333333333333
97071,25,1,0.16666666666666666
97070,17,6,0.7
97068,14,7,0.9333333333333333
97067,55,0,0.0
97065,127,0,0.0
97064,64,0,0.0
97063,157,0,0.0
97062,13,6,1.0666666666666667
97060,18,5,0.7999999999999999
97058,95,0,0.0
97057,999,0,0.0
97056,38,0,0.0
97055,32,0,0.0
97054,53,0,0.0
97053,44,0,0.0
97051,47,0,0.0
97050,123,0,0.0
97049,60,0,0.0
97048,26,1,0.13333333333333333
97045,12,6,0.8666666666666666
97042,31,0,0.0
97041,97,0,0.0
97040,86,0,0.0
97039,999,0,0.0
97038,35,0,0.0
97037,140,0,0.0
97035,7,7,1.6
97034,17,6,1.0
97033,999,0,0.0
97032,28,2,0.06666666666666667
97031,78,0,0.0
97030,12,5,1.1
97029,999,0,0.0
97028,74,0,0.0
97027,7,7,1.1666666666666667
97026,24,1,0.2
97024,14,9,1.4333333333333333
97023,37,0,0.0
97022,32,0,0.0
97021,125,0,0.0
97020,26,1,0.13333333333333333
97019,34,0,0.0
97018,44,0,0.0
97017,42,0,0.0
97016,38,0,0.0
97015,12,6,1.2999999999999998
97014,49,0,0.0
97013,24,2,0.2
97011,48,0,0.0
97009,26,2,0.13333333333333333
97008,7,5,1.4333333333333333
97007,13,5,0.9666666666666666
97006,18,5,0.8666666666666667
97005,9,7,1.6
97004,25,1,0.16666666666666666
97002,26,1,0.13333333333333333
97001,117,0,0.0
96161,45,0,0.0
96155,80,0,0.0
96150,55,0,0.0
96148,61,0,0.0
96146,61,0,0.0
96145,67,0,0.0
96143,56,0,0.0
96142,88,0,0.0
96141,76,0,0.0
96140,66,0,0.0
96137,111,0,0.0
96136,114,0,0.0
96135,41,0,0.0
96134,999,0,0.0
96133,68,0,0.0
96132,999,0,0.0
96130,153,0,0.0
96129,54,0,0.0
96128,999,0,0.0
96126,80,0,0.0
96125,89,0,0.0
96124,85,0,0.0
96123,999,0,0.0
96122,61,0,0.0
96121,77,0,0.0
96120,46,0,0.0
96119,999,0,0.0
96118,63,0,0.0
96117,999,0,0.0
96116,999,0,0.0
96115,999,0,0.0
96114,88,0,0.0
96113,69,0,0.0
96112,999,0,0.0
96111,31,0,0.0
96110,999,0,0.0
96109,65,0,0.0
96108,999,0,0.0
96107,75,0,0.0
96106,80,0,0.0
96105,38,0,0.0
96104,999,0,0.0
96103,75,0,0.0
96101,999,0,0.0
96097,66,0,0.0
96096,46,0,0.0
96094,93,0,0.0
96093,74,0,0.0
96092,22,1,0.26666666666666666
96091,120,0,0.0
96090,34,0,0.0
96088,45,0,0.0
96087,21,1,0.3
96086,134,0,0.0
96085,123,0,0.0
96084,50,0,0.0
96080,34,0,0.0
96076,75,0,0.0
96075,63,0,0.0
96074,78,0,0.0
96073,12,1,0.6
96071,80,0,0.0
96069,50,0,0.0
96068,999,0,0.0
96067,79,0,0.0
96065,66,0,0.0
96064,85,0,0.0
96063,83,0,0.0
96062,18,1,0.4
96061,77,0,0.0
96059,74,0,0.0
96058,152,0,0.0
96057,91,0,0.0
96056,124,0,0.0
96055,34,0,0.0
96054,999,0,0.0
96052,61,0,0.0
96051,39,0,0.0
96050,101,0,0.0
96049,158,0,0.0
96048,87,0,0.0
96047,30,1,0.0
96046,152,0,0.0
96044,56,0,0.0
96041,103,0,0.0
96040,116,0,0.0
96039,152,0,0.0
96038,78,0,0.0
96037,102,0,0.0
96035,42,0,0.0
96034,99,0,0.0
96033,46,0,0.0
96032,105,0,0.0
96031,253,0,0.0
96029,62,0,0.0
96028,115,0,0.0
96027,121,0,0.0
96025,68,0,0.0
96024,75,0,0.0
96023,117,0,0.0
96022,22,1,0.26666666666666666
96021,39,0,0.0
96020,93,0,0.0
96019,17,1,0.43333333333333335
96017,72,0,0.0
96016,104,0,0.0
96015,999,0,0.0
96014,125,0,0.0
96013,87,0,0.0
96011,106,0,0.0
96010,131,0,0.0
96009,999,0,0.0
96008,24,1,0.2
96007,14,1,0.5333333333333333
96006,999,0,0.0
96003,11,1,0.6333333333333333
96002,0,1,1.0
96001,14,1,0.5333333333333333
95993,17,2,0.8666666666666667
95991,15,2,1.0
95988,50,0,0.0
95987,65,0,0.0
95986,42,0,0.0
95984,97,0,0.0
95983,129,0,0.0
95982,25,2,0.3333333333333333
95981,89,0,0.0
95979,120,0,0.0
95978,58,0,0.0
95977,27,1,0.1
95975,17,1,0.43333333333333335
95974,35,0,0.0
