ZCTA,time_to_nearest_buprenorphine,count_in_range_buprenorphine,buprenorphine_score
99004,23,5,0.43333333333333335
99003,32,0,0.0
99001,0,11,1.7
98953,0,1,1.0
98952,57,0,0.0
98951,22,1,0.26666666666666666
98950,103,0,0.0
98948,11,1,0.6333333333333333
98947,54,0,0.0
98946,82,0,0.0
98944,22,1,0.26666666666666666
98943,94,0,0.0
98942,39,0,0.0
98941,94,0,0.0
98940,118,0,0.0
98939,21,1,0.3
98938,20,1,0.3333333333333333
98937,63,0,0.0
98936,29,1,0.03333333333333333
98935,33,0,0.0
98934,72,0,0.0
98933,39,0,0.0
98932,12,1,0.6
98930,29,1,0.03333333333333333
98929,111,0,0.0
98926,72,0,0.0
98925,82,0,0.0
98923,54,0,0.0
98922,93,0,0.0
98921,7,1,0.7666666666666667
98908,38,0,0.0
98903,33,0,0.0
98902,31,0,0.0
98901,27,1,0.1
98862,999,0,0.0
98860,140,0,0.0
98859,999,0,0.0
98858,999,0,0.0
98857,92,0,0.0
98856,999,0,0.0
98855,235,0,0.0
98853,999,0,0.0
98852,294,0,0.0
98851,999,0,0.0
98850,176,0,0.0
98849,999,0,0.0
98848,117,0,0.0
98847,127,0,0.0
98846,999,0,0.0
98845,999,0,0.0
98844,999,0,0.0
98843,999,0,0.0
98841,201,0,0.0
98840,203,0,0.0
98837,107,0,0.0
98836,999,0,0.0
98834,999,0,0.0
98833,999,0,0.0
98832,116,0,0.0
98831,999,0,0.0
98830,190,0,0.0
98829,999,0,0.0
98828,171,0,0.0
98827,999,0,0.0
98826,125,0,0.0
98824,109,0,0.0
98823,137,0,0.0
98822,186,0,0.0
98821,999,0,0.0
98819,999,0,0.0
98817,999,0,0.0
98816,200,0,0.0
98815,143,0,0.0
98814,999,0,0.0
98813,999,0,0.0
98812,999,0,0.0
98811,999,0,0.0
98802,999,0,0.0
98801,159,0,0.0
98686,0,15,2.0666666666666664
98685,7,13,1.7000000000000002
98684,0,16,2.1333333333333333
98683,8,18,1.6999999999999997
98682,0,16,2.2666666666666666
98675,37,0,0.0
98674,23,2,0.26666666666666666
98673,103,0,0.0
98672,85,0,0.0
98671,26,2,0.13333333333333333
98670,123,0,0.0
98665,6,20,2.2
98664,9,22,2.033333333333333
98663,5,20,2.3
98662,8,17,2.0
98661,0,19,2.6666666666666665
98660,8,20,2.033333333333333
98651,81,0,0.0
98650,102,0,0.0
98649,28,1,0.06666666666666667
98648,50,0,0.0
98647,55,0,0.0
98645,14,2,0.5666666666666667
98644,6,1,0.8
98643,55,0,0.0
98642,13,8,1.2333333333333332
98641,22,1,0.26666666666666666
98640,15,1,0.5
98639,50,0,0.0
98638,39,0,0.0
98635,93,0,0.0
98632,0,3,1.7666666666666666
98631,0,1,1.0
98629,26,1,0.13333333333333333
98628,116,0,0.0
98626,0,3,1.9333333333333333
98625,23,2,0.26666666666666666
98624,11,1,0.6333333333333333
98621,54,0,0.0
98620,82,0,0.0
98619,131,0,0.0
98617,999,0,0.0
98616,72,0,0.0
98614,23,1,0.23333333333333334
98613,98,0,0.0
98612,37,0,0.0
98611,0,3,1.7
98610,62,0,0.0
98607,16,6,0.9999999999999999
98606,12,5,1.2999999999999998
98605,77,0,0.0
98604,19,5,0.8666666666666666
98603,51,0,0.0
98602,118,0,0.0
98601,36,0,0.0
98597,32,0,0.0
98596,22,3,0.7333333333333334
98595,38,0,0.0
98593,19,1,0.36666666666666664
98592,57,0,0.0
98591,23,3,0.3
98590,46,0,0.0
98589,34,0,0.0
98588,50,0,0.0
98587,0,1,1.0
98586,0,2,1.2666666666666666
98585,38,0,0.0
98584,46,0,0.0
98583,26,3,0.4
98582,31,0,0.0
98581,30,1,0.0
98580,34,0,0.0
98579,27,2,0.2
98577,0,2,1.2666666666666666
98576,36,0,0.0
98575,51,0,0.0
98572,37,0,0.0
98571,18,1,0.4
98570,26,2,0.26666666666666666
98569,37,0,0.0
98568,39,0,0.0
98565,11,3,1.3666666666666667
98564,47,0,0.0
98563,46,0,0.0
98562,14,1,0.5333333333333333
98560,75,0,0.0
98559,38,0,0.0
98558,31,0,0.0
98557,41,0,0.0
98555,83,0,0.0
98552,33,0,0.0
98550,0,4,2.0
98548,69,0,0.0
98547,44,0,0.0
98546,46,0,0.0
98544,21,2,0.6
98542,27,2,0.2
98541,49,0,0.0
98538,33,0,0.0
98537,41,0,0.0
98536,29,1,0.03333333333333333
98535,34,0,0.0
98533,43,0,0.0
98532,0,2,2.0
98531,18,2,0.8
98530,32,0,0.0
98528,33,0,0.0
98527,30,1,0.0
98526,50,0,0.0
98524,39,0,0.0
98520,0,4,3.0
98516,0,4,1.2
98513,15,1,0.5
98512,27,1,0.1
98506,11,1,0.6333333333333333
98503,14,1,0.5333333333333333
98502,25,1,0.16666666666666666
98501,20,1,0.3333333333333333
98499,0,10,2.466666666666667
98498,0,6,2.2333333333333334
98467,9,6,1.9333333333333331
98466,9,9,1.7666666666666666
98465,4,9,1.8666666666666667
98447,5,6,1.9333333333333333
98446,10,5,1.6333333333333333
98445,7,6,1.7333333333333334
98444,0,10,2.4333333333333336
98443,13,10,1.3333333333333333
98439,9,7,1.9333333333333331
98438,8,7,1.9
98433,13,5,1.4666666666666666
98430,11,6,1.7333333333333334
98424,12,16,1.6
98422,13,12,1.3666666666666667
98421,13,14,1.5666666666666669
98418,9,15,2.033333333333333
98416,4,9,1.8
98409,7,12,2.1333333333333333
98408,7,10,1.9666666666666666
98407,4,6,1.5333333333333332
98406,0,9,1.9333333333333331
98405,7,11,1.8333333333333335
98404,9,14,1.7333333333333334
98403,6,10,1.7666666666666666
98402,8,14,1.8333333333333333
98396,35,0,0.0
98394,34,0,0.0
98392,53,0,0.0
98391,18,7,0.8666666666666667
98390,13,12,1.3666666666666667
98388,8,5,1.7666666666666666
98387,19,4,0.8666666666666667
98385,26,4,0.13333333333333333
98383,33,0,0.0
98382,24,2,0.4
98381,96,0,0.0
98380,45,0,0.0
98377,88,0,0.0
98376,66,0,0.0
98375,10,3,1.2666666666666666
98374,0,8,1.6666666666666667
98373,9,9,1.7999999999999998
98372,15,13,1.3333333333333335
98371,14,13,1.3666666666666665
98370,45,0,0.0
98368,64,0,0.0
98367,13,1,0.5666666666666667
98366,18,1,0.4
98365,62,0,0.0
98364,52,0,0.0
98363,22,2,0.5333333333333333
98362,0,2,2.0
98361,109,0,0.0
98360,27,1,0.1
98359,0,2,1.1333333333333333
98358,75,0,0.0
98357,127,0,0.0
98356,56,0,0.0
98355,75,0,0.0
98354,11,16,1.6333333333333333
98353,18,1,0.4
98351,45,0,0.0
98350,107,0,0.0
98349,36,0,0.0
98346,43,0,0.0
98345,41,0,0.0
98342,49,0,0.0
98340,65,0,0.0
98339,62,0,0.0
98338,15,2,0.6
98337,25,1,0.16666666666666666
98336,71,0,0.0
98335,15,5,1.0333333333333332
98333,30,1,0.0
98332,13,3,1.0666666666666667
98331,116,0,0.0
98330,58,0,0.0
98329,18,2,0.5333333333333333
98328,32,0,0.0
98327,15,5,1.2666666666666666
98326,96,0,0.0
98325,66,0,0.0
98323,50,0,0.0
98321,25,4,0.2333333333333333
98320,90,0,0.0
98315,40,0,0.0
98314,24,1,0.2
98312,24,1,0.2
98311,36,0,0.0
98310,29,1,0.03333333333333333
98305,78,0,0.0
98304,79,0,0.0
98303,44,0,0.0
98297,244,0,0.0
98296,16,9,1.2
98295,38,0,0.0
98294,14,1,0.5333333333333333
98292,26,1,0.13333333333333333
98290,18,3,0.9
98288,58,0,0.0
98286,77,0,0.0
98284,16,2,0.9333333333333333
98283,78,0,0.0
98282,38,0,0.0
98281,999,0,0.0
98280,84,0,0.0
98279,115,0,0.0
98278,28,1,0.06666666666666667
98277,30,1,0.0
98276,26,1,0.13333333333333333
98275,10,10,1.5666666666666667
98274,16,2,0.9333333333333333
98273,10,3,1.3666666666666667
98272,0,5,1.3666666666666667
98271,14,3,1.1666666666666667
98270,13,4,1.1666666666666665
98267,74,0,0.0
98266,41,0,0.0
98264,22,1,0.26666666666666666
98263,25,2,0.3333333333333333
98262,35,0,0.0
98261,65,0,0.0
98260,46,0,0.0
98258,15,4,0.9666666666666668
98257,22,3,0.6
98256,36,0,0.0
98255,29,2,0.06666666666666667
98253,58,0,0.0
98252,28,2,0.1
98251,26,1,0.13333333333333333
98250,82,0,0.0
98249,49,0,0.0
98248,17,1,0.43333333333333335
98247,26,1,0.13333333333333333
98245,92,0,0.0
98244,35,0,0.0
98243,96,0,0.0
98241,48,0,0.0
98240,25,1,0.16666666666666666
98239,52,0,0.0
98238,15,3,1.1666666666666667
98237,43,0,0.0
98236,41,0,0.0
98235,14,2,1.0666666666666667
98233,0,3,2.1333333333333333
98232,11,2,1.2666666666666666
98230,29,1,0.03333333333333333
98229,31,0,0.0
98226,0,1,1.0
98225,9,3,0.7
98224,68,0,0.0
98223,0,2,1.0333333333333334
98222,162,0,0.0
98221,0,3,1.2666666666666666
98220,33,0,0.0
98208,8,10,1.7000000000000002
98207,5,6,1.5
98205,9,6,1.5
98204,0,11,2.1333333333333333
98203,7,10,1.7666666666666668
98201,0,9,1.8
98199,7,21,1.8666666666666667
98198,0,25,2.333333333333333
98195,8,28,2.133333333333333
98188,0,26,2.433333333333333
98178,6,31,2.3
98177,6,22,2.4000000000000004
98174,2,31,2.8
98168,0,31,2.533333333333333
98166,8,25,2.1333333333333333
98164,2,31,2.8
98158,6,25,2.033333333333333
98155,8,23,2.1999999999999997
98154,2,31,2.8
98148,7,26,2.1666666666666665
98146,0,27,2.4
98144,0,30,2.7333333333333334
98136,8,19,1.7999999999999998
98134,0,31,3.0
98133,0,25,3.0
98126,8,22,1.8666666666666665
98125,0,25,2.533333333333333
98122,0,27,2.7333333333333334
98121,3,28,2.566666666666667
98119,7,26,2.1666666666666665
98118,0,28,2.666666666666667
98117,3,23,2.2333333333333334
98116,15,18,1.4333333333333333
98115,8,28,2.033333333333333
98112,4,27,2.3333333333333335
98110,46,0,0.0
98109,5,28,2.4333333333333336
98108,0,31,2.8333333333333335
98107,0,26,2.1333333333333333
98106,5,28,2.2333333333333334
98105,8,28,2.133333333333333
98104,0,31,3.0
98103,5,28,2.1999999999999997
98102,5,29,2.466666666666667
98101,0,31,2.8
98092,6,12,2.4000000000000004
98087,6,16,2.0
98077,18,6,1.1333333333333333
98075,24,7,0.23333333333333334
98074,19,3,0.7
98072,12,15,1.7333333333333334
98070,37,0,0.0
98068,56,0,0.0
98065,31,0,0.0
98059,9,25,1.7999999999999998
98058,11,25,1.7
98057,0,29,2.6333333333333333
98056,6,28,2.1
98055,8,28,2.0666666666666664
98053,19,4,0.7666666666666666
98052,9,23,1.8333333333333333
98051,31,0,0.0
98050,31,0,0.0
98047,9,15,2.0999999999999996
98045,33,0,0.0
98043,0,22,2.2666666666666666
98042,13,11,1.7
98040,11,26,1.8333333333333335
98039,13,26,1.6666666666666665
98038,21,9,0.8999999999999999
98037,10,20,1.9333333333333331
98036,5,23,2.1
98034,0,25,2.6
98033,9,27,1.9666666666666666
98032,0,24,3.0
98031,12,25,1.7333333333333334
98030,12,16,1.7999999999999998
98029,19,16,0.8
98028,9,23,1.9666666666666666
98027,21,16,0.6
98026,9,22,1.7999999999999998
98024,28,1,0.06666666666666667
98023,6,18,1.8666666666666667
98022,27,3,0.30000000000000004
98021,0,16,2.2666666666666666
98020,9,21,1.9666666666666666
98019,21,2,0.3
98014,28,2,0.1
98012,9,11,1.5333333333333332
98011,9,16,1.9666666666666666
98010,28,3,0.2
98008,8,18,1.2666666666666666
98007,0,25,1.8666666666666667
98006,12,20,1.4333333333333331
98005,5,25,1.7
98004,11,27,1.6
98003,0,23,2.2333333333333334
98002,0,18,3.0
98001,5,23,2.2333333333333334
97920,152,0,0.0
97918,84,0,0.0
97914,57,0,0.0
97913,63,0,0.0
97911,198,0,0.0
97910,123,0,0.0
97909,110,0,0.0
97908,108,0,0.0
97907,51,0,0.0
97906,131,0,0.0
97905,35,0,0.0
97904,253,0,0.0
97903,117,0,0.0
97901,64,0,0.0
97886,36,0,0.0
97885,36,0,0.0
97884,85,0,0.0
97883,23,1,0.23333333333333334
97882,30,1,0.0
97880,85,0,0.0
97877,69,0,0.0
97876,29,1,0.03333333333333333
97875,28,2,0.13333333333333333
97874,134,0,0.0
97873,999,0,0.0
97870,75,0,0.0
97869,118,0,0.0
97868,26,2,0.26666666666666666
97867,32,0,0.0
97865,150,0,0.0
97864,173,0,0.0
97862,15,1,0.5
97859,28,1,0.06666666666666667
97857,33,0,0.0
97856,129,0,0.0
97850,0,1,1.0
97848,178,0,0.0
97846,21,2,0.6
97845,135,0,0.0
97844,43,0,0.0
97843,123,0,0.0
97842,127,0,0.0
97841,19,1,0.36666666666666664
97840,118,0,0.0
97839,79,0,0.0
97838,36,0,0.0
97837,63,0,0.0
97836,105,0,0.0
97835,47,0,0.0
97834,102,0,0.0
97833,25,1,0.16666666666666666
97830,139,0,0.0
97828,0,2,2.0
97827,32,0,0.0
97826,32,0,0.0
97825,127,0,0.0
97824,23,1,0.23333333333333334
97823,147,0,0.0
97820,155,0,0.0
97819,61,0,0.0
97818,54,0,0.0
97817,121,0,0.0
97814,0,1,1.0
97813,32,0,0.0
97812,110,0,0.0
97810,35,0,0.0
97801,0,2,2.0
97761,78,0,0.0
97760,44,0,0.0
97759,36,0,0.0
97758,999,0,0.0
97756,22,2,0.5333333333333333
97754,0,1,1.0
97753,20,1,0.3333333333333333
97752,63,0,0.0
97751,107,0,0.0
97750,72,0,0.0
97741,48,0,0.0
97739,51,0,0.0
97738,999,0,0.0
97737,65,0,0.0
97736,999,0,0.0
97735,106,0,0.0
97734,49,0,0.0
97733,85,0,0.0
97732,999,0,0.0
97731,107,0,0.0
97730,58,0,0.0
97722,999,0,0.0
97721,999,0,0.0
97720,999,0,0.0
97712,77,0,0.0
97711,142,0,0.0
97710,999,0,0.0
97707,44,0,0.0
97702,11,2,1.2666666666666666
97701,0,2,2.0
97641,158,0,0.0
97640,208,0,0.0
97639,75,0,0.0
97638,131,0,0.0
97637,999,0,0.0
97636,214,0,0.0
97635,999,0,0.0
97634,15,1,0.5
97633,23,1,0.23333333333333334
97632,39,0,0.0
97630,136,0,0.0
97627,25,1,0.16666666666666666
97626,80,0,0.0
97625,34,0,0.0
97624,52,0,0.0
97623,42,0,0.0
97622,75,0,0.0
97621,60,0,0.0
97620,999,0,0.0
97604,103,0,0.0
97603,0,1,1.0
97601,15,1,0.5
97544,46,0,0.0
97543,31,0,0.0
97541,37,0,0.0
97540,17,4,1.2666666666666666
97539,25,1,0.16666666666666666
97538,44,0,0.0
97537,28,1,0.06666666666666667
97536,55,0,0.0
97535,12,4,1.7999999999999998
97534,71,0,0.0
97532,25,1,0.16666666666666666
97531,46,0,0.0
97530,23,3,0.5
97527,13,1,0.5666666666666667
97526,0,1,1.0
97525,21,5,0.8999999999999999
97524,14,4,0.9333333333333333
97523,59,0,0.0
97522,58,0,0.0
97520,25,3,0.5
97504,0,4,2.7
97503,0,4,1.6666666666666665
97502,13,4,1.6333333333333333
97501,0,4,2.4
97499,46,0,0.0
97498,113,0,0.0
97497,29,1,0.03333333333333333
97496,21,3,0.8666666666666667
97495,17,3,1.2
97494,23,3,0.7
97493,129,0,0.0
97492,59,0,0.0
97490,49,0,0.0
97489,34,0,0.0
97488,45,0,0.0
97487,26,3,0.2
97486,48,0,0.0
97484,85,0,0.0
97481,31,0,0.0
97480,97,0,0.0
97479,26,3,0.3666666666666667
97478,9,3,1.7666666666666666
97477,0,3,2.333333333333333
97476,53,0,0.0
97473,87,0,0.0
97471,0,3,2.0
97470,0,3,2.5
97469,42,0,0.0
97467,114,0,0.0
97466,117,0,0.0
97465,46,0,0.0
97463,62,0,0.0
97462,32,0,0.0
97461,40,0,0.0
97459,136,0,0.0
97458,100,0,0.0
97457,29,3,0.06666666666666667
97456,33,0,0.0
97455,19,3,0.8666666666666666
97454,30,1,0.0
97453,75,0,0.0
97452,28,2,0.06666666666666667
97451,52,0,0.0
97450,60,0,0.0
97449,133,0,0.0
97448,26,3,0.3
97447,54,0,0.0
97446,31,0,0.0
97444,0,1,1.0
97443,38,0,0.0
97442,40,0,0.0
97441,118,0,0.0
97439,94,0,0.0
97438,27,2,0.1
97437,31,0,0.0
97436,62,0,0.0
97435,49,0,0.0
97434,57,0,0.0
97431,31,0,0.0
97430,103,0,0.0
97429,62,0,0.0
97426,18,3,0.9333333333333333
97424,29,2,0.03333333333333333
97423,103,0,0.0
97420,120,0,0.0
97419,40,0,0.0
97417,40,0,0.0
97416,42,0,0.0
97415,0,1,1.0
97414,96,0,0.0
97413,76,0,0.0
97412,60,0,0.0
97411,82,0,0.0
97410,50,0,0.0
97408,0,3,2.433333333333333
97406,62,0,0.0
97405,12,3,1.5666666666666667
97404,10,3,1.9
97403,6,3,2.1333333333333333
97402,11,3,1.7000000000000002
97401,0,3,2.6
97396,44,0,0.0
97394,101,0,0.0
97392,22,4,0.6
97391,65,0,0.0
97390,95,0,0.0
97389,19,1,0.36666666666666664
97388,98,0,0.0
97386,54,0,0.0
97385,24,5,0.5666666666666667
97384,34,0,0.0
97383,25,4,0.4666666666666667
97381,20,4,0.7333333333333334
97380,79,0,0.0
97378,45,0,0.0
97377,28,1,0.06666666666666667
97376,92,0,0.0
97375,41,0,0.0
97374,44,0,0.0
97373,30,1,0.0
97371,17,5,0.6333333333333333
97370,17,1,0.43333333333333335
97369,89,0,0.0
97368,74,0,0.0
97367,87,0,0.0
97366,84,0,0.0
97365,76,0,0.0
97364,78,0,0.0
97362,26,4,0.19999999999999998
97361,0,2,1.2333333333333334
97360,46,0,0.0
97358,38,0,0.0
97357,69,0,0.0
97355,36,0,0.0
97352,22,4,0.5333333333333333
97351,6,5,1.3666666666666667
97350,84,0,0.0
97348,33,0,0.0
97347,49,0,0.0
97346,51,0,0.0
97345,64,0,0.0
97344,24,1,0.2
97343,46,0,0.0
97342,78,0,0.0
97341,99,0,0.0
97338,18,4,0.4666666666666667
97333,9,1,0.7
97331,7,1,0.7666666666666667
97330,0,1,1.0
97329,78,0,0.0
97327,38,0,0.0
97326,42,0,0.0
97325,17,5,1.2333333333333334
97324,46,0,0.0
97322,23,2,0.23333333333333334
97321,21,1,0.3
97317,10,6,1.9666666666666666
97306,7,6,1.8333333333333335
97305,0,5,2.333333333333333
97304,13,6,1.7
97303,0,5,2.2333333333333334
97302,0,6,2.333333333333333
97301,0,5,2.6666666666666665
97267,0,22,2.5666666666666664
97266,9,28,1.9
97239,0,23,2.0666666666666664
97236,0,18,2.2
97233,0,22,2.2
97232,4,29,2.6
97231,22,8,0.6333333333333333
97230,5,23,2.033333333333333
97229,12,21,1.5666666666666667
97227,6,29,2.3666666666666667
97225,0,26,2.4333333333333336
97224,8,22,2.1999999999999997
97223,0,23,3.0
97222,10,23,1.9666666666666666
97221,8,26,2.033333333333333
97220,0,24,2.7333333333333334
97219,11,28,1.9
97218,0,28,2.3
97217,9,29,2.0666666666666664
97216,10,28,1.8666666666666665
97215,6,29,2.4000000000000004
97214,0,29,3.0
97213,6,29,2.4000000000000004
97212,0,29,2.466666666666667
97211,6,29,2.166666666666667
97210,5,30,2.2666666666666666
97209,0,31,2.5999999999999996
97208,1,31,2.566666666666667
97206,6,28,2.0666666666666664
97205,0,30,2.533333333333333
97204,4,31,2.566666666666667
97203,16,19,1.4
97202,0,26,2.466666666666667
97201,4,30,2.4000000000000004
97149,98,0,0.0
97148,39,0,0.0
97147,43,0,0.0
97146,18,1,0.4
97145,20,1,0.3333333333333333
97144,53,0,0.0
97141,87,0,0.0
97140,18,9,1.2000000000000002
97138,0,1,1.0
97137,31,0,0.0
97136,58,0,0.0
97135,92,0,0.0
97134,97,0,0.0
97133,28,2,0.13333333333333333
97132,29,4,0.1
97131,43,0,0.0
97130,36,0,0.0
97128,41,0,0.0
97127,38,0,0.0
97125,41,0,0.0
97124,9,11,1.7999999999999998
97123,0,11,2.5
97122,82,0,0.0
97121,28,1,0.06666666666666667
97119,25,2,0.3333333333333333
97118,66,0,0.0
97117,34,0,0.0
97116,19,2,0.7333333333333333
97115,35,0,0.0
97114,35,0,0.0
97113,14,3,1.1666666666666667
97112,92,0,0.0
97111,42,0,0.0
97110,17,1,0.43333333333333335
97109,37,0,0.0
97108,105,0,0.0
97107,75,0,0.0
97106,29,2,0.06666666666666667
97103,48,0,0.0
97102,25,1,0.16666666666666666
97101,31,0,0.0
97089,14,11,1.4
97086,0,16,2.1333333333333333
97080,14,14,1.2666666666666666
97071,22,4,0.6333333333333333
97070,17,17,1.3
97068,14,19,1.4333333333333333
97067,53,0,0.0
97065,108,0,0.0
97064,56,0,0.0
97063,151,0,0.0
97062,13,21,1.7
97060,13,13,1.2666666666666666
97058,90,0,0.0
97057,102,0,0.0
97056,38,0,0.0
97055,30,1,0.0
97054,47,0,0.0
97053,44,0,0.0
97051,43,0,0.0
97050,105,0,0.0
97049,58,0,0.0
97048,20,2,0.4666666666666667
97045,12,17,1.7
97042,31,0,0.0
97041,91,0,0.0
97040,81,0,0.0
97039,125,0,0.0
97038,35,0,0.0
97037,132,0,0.0
97035,7,24,2.3000000000000003
97034,17,21,1.3
97033,138,0,0.0
97032,27,8,0.23333333333333334
97031,73,0,0.0
97030,9,16,1.633333333333333
97029,142,0,0.0
97028,72,0,0.0
97027,7,20,2.1333333333333333
97026,20,4,0.8
97024,8,23,1.7999999999999998
97023,35,0,0.0
97022,30,1,0.0
97021,119,0,0.0
97020,26,5,0.4
97019,28,1,0.06666666666666667
97018,38,0,0.0
97017,42,0,0.0
97016,32,0,0.0
97015,5,16,2.033333333333333
97014,44,0,0.0
97013,24,7,0.43333333333333335
97011,46,0,0.0
97009,24,5,0.43333333333333335
97008,0,20,2.533333333333333
97007,8,18,1.9999999999999998
97006,11,20,1.6999999999999997
97005,0,23,2.566666666666667
97004,25,3,0.39999999999999997
97002,26,4,0.4
97001,109,0,0.0
96161,44,0,0.0
96155,75,0,0.0
96150,50,0,0.0
96148,56,0,0.0
96146,60,0,0.0
96145,67,0,0.0
96143,51,0,0.0
96142,83,0,0.0
96141,76,0,0.0
96140,61,0,0.0
96137,111,0,0.0
96136,114,0,0.0
96135,41,0,0.0
96134,41,0,0.0
96133,14,1,0.5333333333333333
96132,999,0,0.0
96130,153,0,0.0
96129,54,0,0.0
96128,999,0,0.0
96126,80,0,0.0
96125,82,0,0.0
96124,85,0,0.0
96123,999,0,0.0
96122,61,0,0.0
96121,77,0,0.0
96120,41,0,0.0
96119,999,0,0.0
96118,63,0,0.0
96117,999,0,0.0
96116,999,0,0.0
96115,999,0,0.0
96114,88,0,0.0
96113,69,0,0.0
96112,999,0,0.0
96111,30,1,0.0
96110,999,0,0.0
96109,65,0,0.0
96108,182,0,0.0
96107,0,1,1.0
96106,80,0,0.0
96105,38,0,0.0
96104,999,0,0.0
96103,75,0,0.0
96101,999,0,0.0
96097,66,0,0.0
96096,46,0,0.0
96094,93,0,0.0
96093,74,0,0.0
96092,22,2,0.5333333333333333
96091,120,0,0.0
96090,34,0,0.0
96088,45,0,0.0
96087,21,2,0.6
96086,134,0,0.0
96085,123,0,0.0
96084,50,0,0.0
96080,34,0,0.0
96076,75,0,0.0
96075,63,0,0.0
96074,78,0,0.0
96073,12,2,1.2
96071,80,0,0.0
96069,50,0,0.0
96068,999,0,0.0
96067,79,0,0.0
96065,66,0,0.0
96064,85,0,0.0
96063,83,0,0.0
96062,18,2,0.8
96061,77,0,0.0
96059,74,0,0.0
96058,70,0,0.0
96057,91,0,0.0
96056,124,0,0.0
96055,34,0,0.0
96054,999,0,0.0
96052,61,0,0.0
96051,39,0,0.0
96050,101,0,0.0
96049,158,0,0.0
96048,87,0,0.0
96047,30,2,0.0
96046,150,0,0.0
96044,56,0,0.0
96041,103,0,0.0
96040,116,0,0.0
96039,152,0,0.0
96038,78,0,0.0
96037,102,0,0.0
96035,42,0,0.0
96034,99,0,0.0
96033,46,0,0.0
96032,105,0,0.0
96031,188,0,0.0
96029,62,0,0.0
96028,115,0,0.0
96027,121,0,0.0
96025,68,0,0.0
96024,75,0,0.0
96023,35,0,0.0
96022,22,2,0.5333333333333333
96021,39,0,0.0
96020,93,0,0.0
96019,17,2,0.8666666666666667
96017,72,0,0.0
