FIPS,Fuel Type
480270232042,Electricity
480270233001,Electricity
480270233002,Electricity
480270233003,Electricity
480270234021,Electricity
480270234022,Electricity
480270234023,Electricity
480270234024,Electricity
480270234031,Electricity
480270234032,Electricity
480270234033,Electricity
480270234034,Electricity
480270234041,Electricity
480270234042,Electricity
480270235001,Electricity
480270235002,Electricity
480270235003,Electricity
480279800011,Gas
480279800021,Gas
480279800031,Gas
480291101001,Electricity
480291101002,Electricity
480291101003,Electricity
480291103001,Electricity
480291103002,Gas
480291103003,Electricity
480291105001,Electricity
480291106001,Electricity
480291106002,Electricity
480291106003,Electricity
480291107001,Electricity
480291108001,Electricity
480291108002,Electricity
480291108003,Electricity
480291109001,Electricity
480291110001,Electricity
480291110002,Electricity
480291110003,Electricity
480291201001,Electricity
480291203001,Gas
480291203002,Electricity
480291203003,Electricity
480291203004,Electricity
480291203005,Electricity
480291203006,Gas
480291203007,Gas
480291203008,Gas
480291204001,Gas
480291204002,Gas
480291204003,Electricity
480291204004,Gas
480291204005,Electricity
480291204006,Electricity
480291205011,Gas
480291205012,Electricity
480291205013,Gas
480291205014,Electricity
480291205015,Gas
480291205016,Gas
480291205017,Gas
480291205021,Gas
480291205022,Gas
480291205023,Electricity
480291205024,Electricity
480291205025,Electricity
480291205026,Gas
480291206001,Electricity
480291206002,Gas
480291206003,Electricity
480291206004,Electricity
480291206005,Gas
480291206006,Gas
480291206007,Electricity
480291207011,Gas
480291207012,Electricity
480291207013,Electricity
480291207014,Electricity
480291207015,Gas
480291207021,Electricity
480291207022,Electricity
480291207023,Electricity
480291208001,Gas
480291208002,Electricity
480291208003,Gas
480291208004,Gas
480291208005,Gas
480291208006,Gas
480291208007,Electricity
480291209011,Gas
480291209012,Electricity
480291209021,Electricity
480291209022,Electricity
480291209023,Electricity
480291209024,Electricity
480291210001,Electricity
480291210002,Electricity
480291210003,Electricity
480291210004,Electricity
480291210005,Gas
480291210006,Gas
480291211081,Gas
480291211082,Electricity
480291211083,Electricity
480291211084,Electricity
480291211085,Electricity
480291211101,Electricity
480291211102,Electricity
480291211103,Electricity
480291211111,Gas
480291211112,Electricity
480291211113,Electricity
480291211114,Electricity
480291211121,Electricity
480291211122,Electricity
480291211151,Electricity
480291211152,Electricity
480291211153,Gas
480291211161,Electricity
480291211162,Electricity
480291211163,Gas
480291211164,Electricity
480291211171,Electricity
480291211172,Electricity
480291211173,Electricity
480291211181,Gas
480291211182,Electricity
480291211183,Gas
480291211191,Gas
480291211192,Electricity
480291211193,Gas
480291211201,Electricity
480291211202,Electricity
480291211211,Electricity
480291211212,Electricity
480291211221,Electricity
480291211222,Electricity
480291211223,Electricity
480291212031,Electricity
480291212032,Electricity
480291212033,Electricity
480291212034,Electricity
480291212041,Electricity
480291212042,Electricity
480291212043,Electricity
480291212044,Electricity
480291212045,Electricity
480291212051,Electricity
480291212052,Electricity
480291212061,Gas
480291212062,Gas
480291212063,Gas
480291212064,Electricity
480291212065,Electricity
480291212066,Electricity
480291213001,Electricity
480291213002,Electricity
480291213003,Electricity
480291213004,Gas
480291214021,Electricity
480291214022,Gas
480291214031,Electricity
480291214032,Gas
480291214033,Electricity
480291214041,Gas
480291214042,Electricity
480291214043,Electricity
480291215011,Electricity
480291215012,Electricity
480291215013,Electricity
480291215014,Electricity
480291215041,Electricity
480291215042,Electricity
480291215043,Electricity
480291215044,Electricity
480291215051,Gas
480291215052,Gas
480291215053,Electricity
480291215061,Electricity
480291215062,Electricity
480291215063,Gas
480291215064,Electricity
480291215071,Electricity
480291215072,Gas
480291215073,Gas
480291215074,Electricity
480291215081,Electricity
480291215082,Electricity
480291215083,Electricity
480291216011,Electricity
480291216012,Electricity
480291216013,Gas
480291216014,Electricity
480291216041,Electricity
480291216042,Electricity
480291216043,Gas
480291216044,Electricity
480291216051,Gas
480291216052,Gas
480291216061,Gas
480291216062,Electricity
480291216063,Gas
480291216064,Gas
480291217011,Gas
480291217012,Gas
480291217013,Gas
480291217014,Electricity
480291217021,Electricity
480291217022,Gas
480291217023,Electricity
480291218021,Electricity
480291218022,Electricity
480291218023,Electricity
480291218031,Electricity
480291218032,Electricity
480291218033,Electricity
480291218041,Electricity
480291218042,Electricity
480291218043,Electricity
480291218081,Gas
480291218082,Electricity
480291218091,Gas
480291218092,Electricity
480291218093,Electricity
480291218101,Electricity
480291218102,Electricity
480291218111,Electricity
480291218112,Electricity
480291218121,Electricity
480291218122,Electricity
480291218123,Electricity
480291218124,Gas
480291218131,Electricity
480291219031,Electricity
480291219032,Electricity
480291219041,Electricity
480291219042,Electricity
480291219051,Electricity
480291219052,Electricity
480291219061,Electricity
480291219062,Electricity
480291219071,Electricity
480291219072,Electricity
480291219081,Electricity
480291219082,Electricity
480291219091,Electricity
480291219092,Electricity
480291219101,Electricity
480291219102,Electricity
480291302001,Electricity
480291302002,Electricity
480291303001,Electricity
480291303002,Gas
480291303003,Gas
480291303004,Electricity
480291304011,Gas
480291304012,Gas
480291304013,Electricity
480291304014,Electricity
480291304021,Electricity
480291304022,Electricity
480291304023,Electricity
480291305001,Electricity
480291305002,Electricity
480291305003,Electricity
480291305004,Electricity
480291306001,Electricity
480291306002,Electricity
480291306003,Electricity
480291306004,Electricity
480291307001,Electricity
480291307002,Gas
480291308001,Electricity
480291308002,Electricity
480291308003,Gas
480291308004,Electricity
480291309001,Electricity
480291309002,Electricity
480291309003,Electricity
480291310001,Electricity
480291310002,Gas
480291310003,Gas
480291310004,Electricity
480291311001,Gas
480291311002,Electricity
480291311003,Gas
480291312001,Electricity
480291312002,Electricity
480291313001,Electricity
480291313002,Gas
480291313003,Electricity
480291313004,Electricity
480291314011,Electricity
480291314012,Electricity
480291314021,Electricity
480291314022,Electricity
480291315031,Electricity
480291315032,Gas
480291315033,Electricity
480291315041,Electricity
480291315042,Gas
480291315043,Electricity
480291315051,Electricity
480291315052,Electricity
480291315061,Electricity
480291315062,Electricity
480291315071,Electricity
480291315072,Electricity
480291315073,Electricity
480291316011,Electricity
480291316012,Electricity
480291316061,Electricity
480291316062,Electricity
480291316081,Electricity
480291316082,Electricity
480291316091,Electricity
480291316092,Electricity
480291316093,Electricity
480291316101,Electricity
480291316102,Electricity
480291316111,Electricity
480291316121,Electricity
480291316131,Electricity
480291316132,Electricity
480291316141,Electricity
480291316142,Electricity
480291316151,Electricity
480291316152,Electricity
480291316153,Electricity
480291316154,Gas
480291317001,Gas
480291318011,Electricity
480291318012,Electricity
480291318021,Electricity
480291318022,Electricity
480291318023,Electricity
480291401001,Electricity
480291401002,Electricity
480291402001,Electricity
480291402002,Gas
480291402003,Electricity
480291402004,Gas
480291403001,Gas
480291403002,Gas
480291403003,Electricity
480291404001,Gas
480291404002,Electricity
480291404003,Gas
480291404004,Gas
480291405001,Gas
480291405002,Gas
480291405003,Electricity
480291405004,Gas
480291406001,Electricity
480291406002,Gas
480291407001,Gas
480291407002,Electricity
480291407003,Electricity
480291407004,Electricity
480291407005,Electricity
480291408001,Electricity
480291408002,Gas
480291408003,Electricity
480291408004,Electricity
480291408005,Gas
480291409001,Gas
480291409002,Gas
480291410001,Gas
480291410002,Electricity
480291410003,Gas
480291411011,Electricity
480291411012,Electricity
480291411013,Electricity
480291411021,Electricity
480291411022,Electricity
480291411023,Electricity
480291412001,Electricity
480291412002,Electricity
480291412003,Gas
480291412004,Electricity
480291412005,Electricity
480291412006,Gas
480291413001,Electricity
480291413002,Gas
480291413003,Electricity
480291414021,Electricity
480291414022,Electricity
480291414031,Gas
480291414032,Electricity
480291414041,Gas
480291414042,Gas
480291414043,Gas
480291416001,Electricity
480291416002,Electricity
480291417001,Electricity
480291417002,Electricity
480291418001,Electricity
480291418002,Electricity
480291418003,Electricity
480291419001,Gas
480291419002,Electricity
480291419003,Electricity
480291501001,Electricity
480291501002,Electricity
480291501003,Electricity
480291501004,Electricity
480291503001,Electricity
480291503002,Gas
480291503003,Gas
480291503004,Gas
480291504001,Gas
480291504002,Gas
480291504003,Gas
480291505011,Gas
480291505012,Gas
480291505013,Gas
480291505014,Gas
480291505021,Gas
480291505022,Electricity
480291505023,Gas
480291506001,Electricity
480291506002,Gas
480291506003,Gas
480291506004,Gas
480291507001,Gas
480291507002,Electricity
480291507003,Electricity
480291507004,Gas
480291507005,Electricity
480291507006,Gas
480291508001,Electricity
480291508002,Electricity
480291508003,Gas
480291509001,Gas
480291509002,Electricity
480291509003,Electricity
480291509004,Gas
480291509005,Gas
480291510001,Gas
480291510002,Electricity
480291510003,Gas
480291511001,Electricity
480291511002,Electricity
480291511003,Gas
480291511004,Gas
480291511005,Electricity
480291511006,Electricity
480291511007,Gas
480291512001,Gas
480291512002,Electricity
480291512003,Electricity
480291512004,Gas
480291512005,Electricity
480291513011,Gas
480291513012,Electricity
480291513013,Electricity
480291513014,Electricity
480291513021,Electricity
480291513022,Electricity
480291514001,Gas
480291514002,Gas
480291514003,Electricity
480291514004,Electricity
480291515001,Electricity
480291515002,Gas
480291515003,Gas
480291516001,Electricity
480291516002,Electricity
480291516003,Electricity
480291516004,Electricity
480291516005,Electricity
480291517001,Electricity
480291517002,Gas
480291517003,Gas
480291517004,Electricity
480291517005,Electricity
480291519001,Electricity
480291519002,Electricity
480291520001,Electricity
480291521001,Electricity
480291521002,Electricity
480291521003,Electricity
480291521004,Electricity
480291522011,Electricity
480291522012,Electricity
480291522013,Electricity
480291522021,Electricity
480291522022,Electricity
480291601001,Gas
480291601002,Electricity
480291601003,Electricity
480291601004,Electricity
480291602001,Gas
480291602002,Gas
480291602003,Electricity
480291603001,Gas
480291603002,Gas
480291603003,Gas
480291603004,Electricity
480291603005,Gas
480291604001,Gas
480291604002,Electricity
480291604003,Electricity
480291604004,Electricity
480291605011,Electricity
480291605012,Gas
480291605013,Gas
480291605021,Gas
480291605022,Electricity
480291605023,Gas
480291605024,Gas
480291606001,Gas
480291606002,Electricity
480291606003,Electricity
480291607011,Gas
480291607012,Gas
480291607013,Electricity
480291607021,Electricity
480291607022,Electricity
480291607023,Electricity
480291607024,Electricity
480291609011,Gas
480291609012,Gas
480291609013,Gas
480291609021,Electricity
480291609022,Gas
480291609023,Electricity
480291610001,Electricity
480291610002,Electricity
480291611001,Electricity
480291611002,Electricity
480291611003,Gas
480291611004,Gas
480291611005,Electricity
480291611006,Gas
480291612001,Electricity
480291612002,Electricity
480291613021,Electricity
480291613022,Electricity
480291613031,Gas
480291613032,Gas
480291613041,Electricity
480291613042,Electricity
480291614001,Electricity
480291615011,Electricity
480291615012,Electricity
480291615013,Electricity
480291615014,Electricity
480291615015,Gas
480291615031,Electricity
480291615032,Gas
480291615033,Gas
480291615041,Electricity
480291615042,Gas
480291616001,Electricity
480291616002,Electricity
480291618011,Electricity
480291618012,Gas
480291618021,Electricity
480291618022,Gas
480291619011,Electricity
480291619021,Electricity
480291619022,Electricity
480291619023,Electricity
480291620011,Electricity
480291620031,Electricity
480291620032,Electricity
480291620033,Electricity
480291620041,Electricity
480291620042,Electricity
480291701011,Electricity
480291701012,Gas
480291701013,Gas
480291701021,Gas
480291701022,Electricity
480291701023,Gas
480291702001,Gas
480291702002,Electricity
480291702003,Electricity
480291702004,Gas
480291702005,Electricity
480291702006,Gas
480291703001,Gas
480291703002,Gas
480291703003,Gas
480291703004,Gas
480291703005,Gas
480291703006,Gas
480291704011,Gas
480291704012,Electricity
480291704013,Electricity
480291704014,Gas
480291704021,Gas
480291704022,Gas
480291704023,Gas
480291704024,Electricity
480291705001,Electricity
480291705002,Electricity
480291705003,Electricity
480291705004,Gas
480291706001,Gas
480291706002,Gas
480291706003,Gas
480291706004,Gas
480291707001,Electricity
480291707002,Gas
480291707003,Gas
480291708001,Electricity
480291708002,Electricity
480291709001,Electricity
480291709002,Gas
480291709003,Gas
480291710001,Electricity
480291710002,Electricity
480291710003,Electricity
480291710004,Gas
480291710005,Gas
480291711001,Gas
480291711002,Gas
480291712001,Electricity
480291712002,Gas
480291712003,Gas
480291713011,Gas
480291713012,Electricity
480291713021,Gas
480291713022,Gas
480291713023,Gas
480291713024,Gas
480291714011,Electricity
480291714012,Electricity
480291714021,Gas
480291714022,Gas
480291714023,Gas
480291715011,Electricity
480291715012,Gas
480291715021,Electricity
480291715022,Gas
480291715023,Gas
480291715024,Gas
480291716011,Electricity
480291716012,Electricity
480291716013,Electricity
480291716021,Electricity
480291716022,Gas
480291717001,Electricity
480291717002,Electricity
480291717003,Electricity
480291717004,Electricity
480291717005,Gas
480291717006,Electricity
480291718011,Gas
480291718012,Electricity
480291718013,Electricity
480291718014,Gas
480291718021,Gas
480291718022,Electricity
480291718023,Electricity
480291718024,Gas
480291718025,Electricity
480291719021,Electricity
480291719022,Electricity
480291719023,Electricity
480291719031,Electricity
480291719032,Electricity
480291719033,Gas
480291719034,Gas
480291719035,Gas
480291719121,Electricity
480291719122,Electricity
480291719131,Electricity
480291719132,Gas
480291719141,Electricity
480291719142,Electricity
480291719143,Electricity
480291719151,Gas
480291719161,Electricity
480291719162,Electricity
480291719163,Electricity
480291719171,Electricity
480291719172,Electricity
480291719181,Electricity
480291719182,Electricity
480291719183,Electricity
480291719184,Electricity
480291719191,Electricity
480291719201,Electricity
480291719202,Electricity
480291719211,Electricity
480291719212,Electricity
480291719213,Gas
480291719221,Electricity
480291719231,Electricity
480291719232,Electricity
480291719233,Electricity
480291719234,Electricity
480291719241,Electricity
480291719242,Electricity
480291719251,Gas
480291719252,Electricity
480291719253,Gas
480291719254,Electricity
480291720021,Electricity
480291720022,Electricity
480291720023,Electricity
480291720031,Electricity
480291720032,Electricity
480291720041,Gas
480291720051,Electricity
480291720052,Gas
480291720061,Electricity
480291720062,Gas
480291720063,Electricity
480291720071,Electricity
480291720072,Electricity
480291720073,Electricity
480291801011,Gas
480291801012,Gas
480291801013,Gas
480291801014,Gas
480291801015,Gas
480291801016,Gas
480291801021,Gas
480291801022,Gas
480291802011,Gas
480291802012,Gas
480291802013,Electricity
480291802014,Gas
480291802021,Electricity
480291802022,Electricity
480291802023,Electricity
480291802024,Gas
480291803001,Gas
480291803002,Gas
480291803003,Gas
480291803004,Electricity
480291804001,Electricity
480291804002,Electricity
480291804003,Gas
480291805011,Electricity
480291805012,Gas
480291805013,Gas
480291805014,Electricity
480291805031,Gas
480291805032,Electricity
480291805033,Gas
480291805041,Gas
480291805042,Electricity
480291806021,Gas
480291806022,Electricity
480291806023,Gas
480291806031,Electricity
480291806041,Electricity
480291806042,Electricity
480291806043,Gas
480291806044,Gas
480291806045,Electricity
480291807011,Electricity
480291807012,Electricity
480291807021,Electricity
480291807022,Gas
480291807023,Electricity
480291807024,Electricity
480291807025,Gas
480291807026,Electricity
480291808001,Electricity
480291808002,Electricity
480291808003,Gas
480291809011,Gas
480291809012,Electricity
480291809013,Electricity
480291809014,Gas
480291809015,Gas
480291809021,Gas
480291809022,Gas
480291809023,Gas
480291809024,Electricity
480291809025,Gas
480291810011,Gas
480291810012,Gas
480291810031,Electricity
