ZCTA,YEAR,TotalPop,NonrelatedHousehold,NonrelatedGroupDwelling,GroupQuarters,GroupQuarterPercent,NonrelatedHousePercent
00105,2014-2018,8745,21,102,9,0.1,0.24
00106,2014-2018,15779,87,190,2422,15.35,0.55
00106,2014-2018,10495,22,39,288,2.74,0.21
00106,2014-2018,592,0,0,592,100.0,0.0
00106,2014-2018,9,0,0,0,0.0,0.0
00106,2014-2018,1840,8,10,9,0.49,0.43
00106,2014-2018,8698,153,100,164,1.89,1.76
00107,2014-2018,604,6,20,5,0.83,0.99
00107,2014-2018,1270,30,4,4,0.31,2.36
00107,2014-2018,1536,25,10,0,0.0,1.63
00107,2014-2018,6140,0,0,0,0.0,0.0
00107,2014-2018,548,0,0,0,0.0,0.0
00107,2014-2018,17763,114,64,2428,13.67,0.64
00107,2014-2018,9727,65,0,61,0.63,0.67
00107,2014-2018,658,0,0,0,0.0,0.0
00108,2014-2018,2802,47,0,0,0.0,1.68
00108,2014-2018,1941,4,4,0,0.0,0.21
00108,2014-2018,10586,48,32,6,0.06,0.45
00108,2014-2018,2986,0,0,0,0.0,0.0
00108,2014-2018,174,0,0,0,0.0,0.0
00108,2014-2018,41942,242,256,2986,7.12,0.58
00108,2014-2018,372,0,0,372,100.0,0.0
00108,2014-2018,416,16,0,0,0.0,3.85
00108,2014-2018,28666,335,45,143,0.5,1.17
00109,2014-2018,1425,0,0,5,0.35,0.0
00109,2014-2018,283,0,0,0,0.0,0.0
00109,2014-2018,282,0,0,0,0.0,0.0
00109,2014-2018,14690,166,23,365,2.48,1.13
00109,2014-2018,2695,42,7,6,0.22,1.56
00109,2014-2018,59,0,0,0,0.0,0.0
00109,2014-2018,1196,11,0,0,0.0,0.92
00110,2014-2018,2389,0,9,44,1.84,0.0
00110,2014-2018,23876,171,153,169,0.71,0.72
00110,2014-2018,11957,23,188,599,5.01,0.19
00110,2014-2018,16022,27,0,728,4.54,0.17
00110,2014-2018,11582,67,13,171,1.48,0.58
00110,2014-2018,27850,383,192,93,0.33,1.38
00110,2014-2018,29903,105,178,3232,10.81,0.35
00111,2014-2018,14980,47,62,146,0.97,0.31
00111,2014-2018,13626,48,38,979,7.18,0.35
00112,2014-2018,2672,16,0,0,0.0,0.6
00112,2014-2018,6762,16,33,73,1.08,0.24
00115,2014-2018,8807,77,37,11,0.12,0.87
00119,2014-2018,0,0,0,0,,
00120,2014-2018,44607,215,306,1088,2.44,0.48
00122,2014-2018,8209,27,18,27,0.33,0.33
00122,2014-2018,810,11,0,0,0.0,1.36
00122,2014-2018,2402,33,8,0,0.0,1.37
00122,2014-2018,210,0,0,0,0.0,0.0
00122,2014-2018,3135,0,0,0,0.0,0.0
00122,2014-2018,6782,96,0,105,1.55,1.42
00122,2014-2018,70,0,0,0,0.0,0.0
00123,2014-2018,8542,25,117,976,11.43,0.29
00123,2014-2018,2640,22,19,0,0.0,0.83
00123,2014-2018,1140,0,5,47,4.12,0.0
00123,2014-2018,2580,4,27,0,0.0,0.16
00123,2014-2018,5903,42,93,204,3.46,0.71
00124,2014-2018,4441,16,17,320,7.21,0.36
00124,2014-2018,471,0,0,6,1.27,0.0
00124,2014-2018,257,0,0,0,0.0,0.0
00124,2014-2018,74,0,0,0,0.0,0.0
00124,2014-2018,809,0,0,30,3.71,0.0
00124,2014-2018,15573,54,8,1060,6.81,0.35
00125,2014-2018,672,0,21,0,0.0,0.0
00125,2014-2018,1014,4,0,12,1.18,0.39
00125,2014-2018,972,2,5,53,5.45,0.21
00125,2014-2018,719,5,8,0,0.0,0.7
00125,2014-2018,2003,10,31,11,0.55,0.5
00125,2014-2018,489,0,1,0,0.0,0.0
00125,2014-2018,528,0,0,0,0.0,0.0
00126,2014-2018,481,0,0,0,0.0,0.0
00126,2014-2018,1066,0,0,202,18.95,0.0
00126,2014-2018,196,0,0,37,18.88,0.0
00126,2014-2018,1369,0,4,5,0.37,0.0
00126,2014-2018,7955,0,7,2719,34.18,0.0
00127,2014-2018,770,10,0,0,0.0,1.3
00130,2014-2018,17713,200,130,715,4.04,1.13
00133,2014-2018,1367,8,26,3,0.22,0.59
00133,2014-2018,13383,157,113,137,1.02,1.17
00133,2014-2018,2498,18,14,0,0.0,0.72
00133,2014-2018,127,9,0,0,0.0,7.09
00133,2014-2018,1428,18,0,32,2.24,1.26
00134,2014-2018,1808,5,40,0,0.0,0.28
00134,2014-2018,1836,32,0,3,0.16,1.74
00134,2014-2018,1439,68,54,258,17.93,4.73
00134,2014-2018,45,0,0,0,0.0,0.0
00134,2014-2018,1459,25,17,0,0.0,1.71
00134,2014-2018,427,0,5,0,0.0,0.0
00134,2014-2018,175,0,0,0,0.0,0.0
00134,2014-2018,1292,3,0,0,0.0,0.23
00135,2014-2018,91,2,0,0,0.0,2.2
00135,2014-2018,2099,0,0,5,0.24,0.0
00135,2014-2018,1608,4,4,257,15.98,0.25
00135,2014-2018,949,10,4,0,0.0,1.05
00136,2014-2018,2997,35,21,28,0.93,1.17
00136,2014-2018,7785,41,60,58,0.75,0.53
00136,2014-2018,1269,11,0,77,6.07,0.87
