ZCTA,moudMinDis,bupMinDis,metMinDis,nalMinDis
92339,8.998165239,8.998165239,19.61159304,10.47079543
92341,11.55818728,12.3099567,17.85127954,11.55818728
92342,15.75523933,15.75523933,24.65667489,20.76669151
92344,6.770233686,6.770233686,7.298335584,7.58358725
92345,3.560807692,3.560807692,7.491259107,3.636130118
92346,2.229218459,4.549075041,5.821654898,2.229218459
92347,14.96720759,14.96720759,42.1254632,16.49476829
92352,2.429724445,10.76441965,16.66196309,2.429724445
92354,0.048595684,0.048595684,2.578915696,0.120621981
92356,7.915201147,21.96866276,31.57110913,7.915201147
92358,9.494308808,9.494308808,18.29746527,11.84581802
92359,4.031622089,4.412140265,10.58310489,4.031622089
92363,13.29086809,13.29086809,23.47569273,14.39886788
92364,55.4774562,57.85335434,59.03066156,55.4774562
92365,24.10284725,25.47204071,60.72109058,24.10284725
92368,8.47020877,8.47020877,15.77224257,11.77953476
92371,12.88863186,12.88863186,13.41212594,15.68856719
92372,18.27322249,18.27322249,19.11743265,21.18284843
92373,0.063011614,0.063011614,6.606573381,4.921268955
92374,0.220163869,0.220163869,3.147233777,0.835672527
92376,1.703031707,1.722079566,7.584456092,1.703031707
92377,2.102213492,2.102213492,11.35417021,4.826200123
92378,1.773134385,7.567037358,13.74910333,1.773134385
92382,8.579045742,10.43488722,13.82805956,8.579045742
92384,21.37258621,21.37258621,70.83112803,60.72176442
92385,3.847957812,7.432341694,12.9015125,3.847957812
92386,4.155409923,4.155409923,30.67634429,17.7862497
92389,27.7873747,27.7873747,72.21670744,61.75812944
92391,0.740086742,8.483510198,14.78124829,0.740086742
92392,3.245444143,3.245444143,4.232230292,5.921006918
92394,4.160784361,4.160784361,7.665250582,4.200080695
92395,0.90928674,0.90928674,4.910929375,2.234818668
92397,16.28975549,18.94864333,20.87629595,16.28975549
92398,10.55145165,11.82980511,51.19694217,10.55145165
92399,2.814698393,2.814698393,14.74990527,4.537402907
92401,0.429833868,0.429833868,3.795417075,2.401102515
92404,3.511394348,3.511394348,10.02943637,4.610371034
92405,1.016666898,1.731358909,7.165639012,1.016666898
92407,3.438451844,3.438451844,14.91483498,5.946776336
92408,0.825436255,0.825436255,2.623288849,1.803922782
92410,0.439651121,0.439651121,4.008835887,2.218399521
92411,1.375915057,1.375915057,5.672298201,1.955369562
92501,0.562294593,1.296231573,1.755283203,0.562294593
92503,3.280101723,3.280101723,12.125269,5.409242276
92504,3.341012967,3.341012967,9.068193698,3.854678295
92505,2.139337732,2.139337732,11.57546167,2.166745262
92506,1.479205227,1.479205227,5.948989373,1.479205227
92507,0.314433841,0.314433841,3.298966696,3.298966696
92508,2.403793281,3.116336957,9.582101674,2.403793281
92509,1.824824514,4.751375579,6.525556417,1.824824514
92518,1.926251741,1.926251741,10.88024434,5.16016927
92530,2.976790705,5.087839478,29.41639957,2.976790705
92532,1.257031024,1.257031024,23.76230563,4.369655939
92536,11.34112423,12.26017324,22.99478181,11.34112423
92539,22.41935518,23.42327452,28.09762819,22.41935518
92543,0.943249759,0.943249759,4.152665939,2.694806493
92544,6.940259683,6.940259683,10.2108323,7.280032354
92545,1.876182288,1.876182288,4.93714718,4.332994834
92548,5.269387539,6.615930421,9.965859999,5.269387539
92549,13.45583052,13.45583052,14.97324833,14.21061118
92551,3.016403671,3.016403671,13.38123424,8.509178078
92553,0.959131722,0.959131722,9.952714157,8.488437684
92555,5.427738795,5.427738795,15.04264922,10.47654863
92557,3.064456598,3.064456598,6.900378949,6.116098408
92561,13.04100184,13.04100184,17.45796487,14.18176518
92562,5.770122331,8.798230491,29.56119845,5.770122331
92563,0.895390377,0.895390377,18.65455866,2.187039751
92567,8.320837853,8.320837853,11.01825177,8.984663555
92570,5.472705583,5.472705583,18.40734845,7.259441231
92571,3.988427904,3.988427904,17.70176257,9.213441336
92582,4.610846378,4.610846378,6.11143797,5.712404398
92583,1.939413778,1.939413778,4.730720012,3.197232822
92584,0.786361869,0.786361869,16.1450307,2.192569024
92585,2.417233853,3.193420905,14.25642957,2.417233853
92586,0.467497094,0.614895878,16.41827278,0.467497094
92587,3.340972187,3.340972187,20.31449537,4.347119972
92590,4.503384624,4.503384624,25.07826377,5.025979857
92591,2.754991262,2.754991262,20.06920114,2.862718497
92592,2.873803447,2.873803447,20.12458294,5.376402277
92595,1.438124511,3.842325726,22.9614762,1.438124511
92596,4.287865962,6.254383993,11.51245136,4.287865962
92602,2.060781964,2.060781964,6.106973139,4.440171314
92603,3.030885137,3.223283637,8.742794389,3.030885137
92604,0.363215297,0.363215297,5.843270548,4.309007502
92606,0.474624725,0.474624725,4.021619929,3.400311067
92610,2.078387408,2.078387408,11.87228225,6.130097137
92612,0.856058015,0.856058015,5.875844941,0.946387772
92614,0.256552564,0.256552564,5.347012749,1.97404822
92617,0.667309578,0.667309578,4.840103767,0.956829942
92618,1.594057916,1.594057916,9.605935895,3.618983935
92620,1.257883284,1.257883284,6.579426198,5.084674379
92624,0.103449879,2.400323183,23.31165935,0.103449879
92625,0.941213827,0.941213827,5.189284185,1.390465779
92626,0.356966597,0.66097854,2.23816686,0.356966597
92627,0.189136608,0.189136608,0.756999037,0.255313021
92629,0.310929659,0.811421089,20.37563414,0.310929659
