ZCTA,bupTime,bupCount,metTime,metCount,nalTime,nalCount
18076,18,50,18,4,18,16
18077,17,44,24,3,21,16
18078,0,67,10,1,10,22
18079,16,27,23,1,19,11
18080,11,56,17,1,17,18
18081,12,91,22,3,19,29
18083,6,90,12,2,6,26
18085,5,89,12,2,8,24
18086,12,66,25,1,16,22
18087,7,75,13,2,7,22
18088,16,46,29,1,16,18
18091,0,52,20,2,14,19
18092,12,60,26,2,19,23
18101,0,95,15,4,0,31
18102,0,94,14,4,0,31
18103,0,90,16,3,0,30
18104,0,90,10,3,0,30
18105,3,90,13,3,3,30
18106,0,78,14,3,0,27
18109,0,96,14,4,5,31
18195,7,72,8,2,8,26
18201,0,16,36,0,13,3
18202,0,14,33,0,15,3
18210,28,8,35,0,28,3
18211,20,6,38,0,20,1
18212,13,8,37,0,13,3
18214,10,13,52,0,16,6
18216,7,13,42,0,18,3
18218,4,11,53,0,27,1
18219,8,9,35,0,13,2
18220,8,14,45,0,16,8
18221,11,9,36,0,2,2
18222,14,41,28,1,0,7
18223,5,11,35,0,8,2
18224,13,9,34,0,0,2
18225,3,16,34,0,10,3
18229,19,6,48,0,19,1
18230,9,13,44,0,19,3
18231,9,13,42,0,22,4
18232,0,9,55,0,23,1
18234,7,11,35,0,11,2
18235,0,12,34,0,0,3
18237,8,13,40,0,21,4
18239,4,16,32,0,10,3
18240,9,10,52,0,19,1
18241,23,8,51,0,36,0
18242,14,12,42,0,25,4
18244,15,11,48,0,15,3
18245,14,13,48,0,22,3
18246,26,5,53,0,38,0
18248,15,12,44,0,23,4
18249,0,9,35,0,18,2
18250,2,6,52,0,20,1
18251,5,11,33,0,15,3
18252,11,17,45,0,28,3
18254,7,12,41,0,20,3
18255,15,12,50,0,25,3
18256,21,8,48,0,33,0
18301,0,26,24,1,0,13
18302,0,10,42,0,19,1
18321,0,25,16,1,0,12
18322,19,22,32,0,21,12
18323,22,12,16,1,16,6
18324,30,10,53,0,30,1
18325,25,11,19,1,19,4
18326,20,12,14,1,14,6
18327,10,33,28,1,10,13
18328,37,0,68,0,37,0
18330,21,17,29,1,25,13
18331,20,21,36,0,20,11
18332,11,24,13,1,0,12
18333,15,8,41,0,15,5
18334,9,15,13,1,13,11
18335,11,23,38,0,15,9
18336,11,25,52,0,11,9
18337,0,2,70,0,0,1
18340,26,5,70,0,26,3
18342,18,12,12,1,12,6
18343,17,18,38,0,0,2
18344,6,24,0,1,0,12
18346,0,7,12,2,12,9
18347,24,1,27,1,27,1
18349,6,24,5,1,5,12
18350,12,3,15,1,15,5
18351,12,33,36,0,9,10
18352,9,25,18,1,14,12
18353,18,17,33,0,21,11
18354,14,27,26,1,14,13
18355,13,15,17,1,17,11
18356,11,26,31,0,11,12
18357,26,11,20,1,20,6
18360,0,25,21,1,0,12
18370,6,24,4,1,4,12
18371,39,0,62,0,39,0
18372,0,25,10,1,8,12
18403,0,60,13,1,0,18
18405,26,5,68,0,26,2
18407,0,24,27,1,0,9
18411,0,55,14,1,10,12
18413,14,27,32,0,14,7
18414,0,56,21,1,0,11
18415,18,1,84,0,44,0
18417,26,1,80,0,40,0
18419,15,8,36,0,16,2
18420,14,59,25,1,14,14
18421,17,16,36,0,17,3
18424,17,38,18,2,18,10
18425,16,4,59,0,21,2
18426,27,1,37,0,0,6
18427,5,38,24,1,5,15
18428,0,2,48,0,29,1
18430,27,4,47,0,27,2
18431,0,6,48,0,0,6
18433,9,59,18,1,9,13
18434,2,60,10,1,4,18
18435,42,0,85,0,34,0
18436,0,22,29,1,0,13
18437,45,0,69,0,45,0
18438,21,8,44,0,24,6
18439,47,0,71,0,47,0
18441,18,38,29,1,18,11
18443,30,1,85,0,45,0
18444,15,54,15,2,15,16
18445,26,2,23,1,19,7
18446,21,8,34,0,20,2
18447,3,59,10,1,7,14
18451,15,2,46,0,30,2
18452,0,60,9,1,4,18
18453,31,0,55,0,31,0
18454,37,0,65,0,37,0
18455,44,0,72,0,44,0
18456,15,9,39,0,15,4
18457,29,2,72,0,20,1
18458,23,4,71,0,17,2
18459,16,18,31,0,16,7
18460,24,3,19,1,17,7
18461,48,0,70,0,60,0
18462,34,0,75,0,34,0
18463,22,49,22,1,22,14
18464,11,3,41,0,24,6
18465,24,4,60,0,24,2
18466,14,3,9,1,9,5
18469,22,1,72,0,32,0
18470,29,4,42,0,27,3
18471,5,60,18,1,5,13
18472,18,23,31,0,18,9
18473,15,8,56,0,15,6
18503,0,107,7,2,3,20
18504,0,94,11,2,0,18
18505,0,107,9,2,0,20
18507,10,104,18,2,10,19
18508,0,61,7,1,0,14
18509,3,97,4,2,3,23
18510,0,107,5,2,0,20
18512,0,97,0,2,0,23
18517,0,107,15,2,6,20
18518,4,107,17,2,8,20
18519,0,59,8,1,8,14
18602,19,60,19,2,19,11
18603,0,6,48,0,22,3
18610,21,3,25,1,25,1
18612,0,58,22,1,0,11
18614,31,0,68,0,42,0
18615,20,12,36,0,25,3
18616,58,0,69,0,52,0
18617,12,38,20,2,12,8
18618,12,53,29,1,12,10
18619,51,0,51,0,42,0
18621,0,9,30,1,22,7
18622,12,1,43,0,12,1
18623,30,1,74,0,39,0
18624,20,2,33,0,31,0
18625,16,30,32,0,18,4
18626,41,0,58,0,32,0
18628,48,0,75,0,40,0
18629,30,1,72,0,54,0
18630,26,1,71,0,37,0
18631,12,17,44,0,12,3
18632,38,0,70,0,43,0
18634,0,58,14,2,0,12
18635,12,5,47,0,25,2
18636,24,5,42,0,24,3
18640,8,93,18,3,7,20
18641,12,108,19,3,0,21
18642,8,105,20,2,6,19
18643,0,94,19,3,6,22
18644,0,87,17,2,0,16
18651,11,64,11,2,11,13
18653,20,44,33,0,18,8
18655,0,4,34,0,0,2
18656,23,5,41,0,0,3
18657,0,7,47,0,26,3
18660,31,0,41,0,33,0
18661,0,9,33,0,18,2
18701,2,81,2,2,2,17
18702,0,91,0,2,0,18
18704,0,81,8,2,0,16
18705,0,95,7,3,0,21
18706,0,61,0,2,0,13
18707,0,59,20,2,20,12
18708,0,60,15,2,9,15
18709,3,74,10,2,3,16
18801,0,1,51,0,0,2
18810,4,13,59,0,0,5
18812,22,27,25,1,25,3
18814,18,4,86,0,28,1
18816,16,2,59,0,16,2
18817,22,7,75,0,18,4
18818,28,1,40,0,31,0
18821,12,35,28,1,19,7
18822,30,1,45,0,34,0
18823,30,4,38,0,8,3
18824,33,0,48,0,14,1
18825,18,4,46,0,18,3
18826,29,1,39,0,0,2
18828,21,1,60,0,21,1
18829,33,0,70,0,36,0
18830,16,3,41,0,29,1
18831,16,6,69,0,12,3
18832,14,4,90,0,34,0
18833,24,3,79,0,44,0
18834,23,6,40,0,18,4
18837,24,4,62,0,32,0
18840,0,16,56,0,0,6
18842,32,0,41,0,21,1
18843,10,1,53,0,10,1
18844,21,2,61,0,22,1
18845,28,2,68,0,28,1
18846,29,1,86,0,48,0
18847,0,6,44,0,0,2
18848,0,4,84,0,27,1
18850,17,7,71,0,13,3
18851,25,1,50,0,38,0
18853,21,4,81,0,41,0
18854,0,4,87,0,38,0
18901,0,118,0,3,0,40
18902,0,77,9,4,9,37
18912,6,106,9,3,9,49
18913,9,28,19,2,10,19
18914,8,183,8,7,8,44
18915,0,195,17,8,0,46
18917,11,66,11,3,11,28
18920,28,10,30,1,16,11
18923,11,66,11,3,11,28
18925,0,117,9,4,6,50
18929,0,197,7,5,0,59
18930,18,50,26,3,17,19
18932,0,166,16,7,4,40
18935,4,90,4,3,4,35
18936,2,342,16,8,5,73
18938,16,50,19,3,0,21
18940,0,193,11,8,0,66
18942,17,33,19,2,14,17
18944,8,37,16,2,8,19
18947,9,45,13,3,13,26
18950,21,10,27,1,23,5
18951,0,95,0,2,0,34
18954,0,268,12,12,10,75
18955,8,87,8,3,8,32
18960,0,59,9,2,0,25
18962,6,52,15,3,6,26
18964,5,87,16,5,5,31
18966,0,229,12,10,10,67
18969,0,76,17,4,0,27
18970,7,70,7,1,7,25
18972,31,0,32,0,0,1
18974,0,250,0,10,0,74
18976,7,290,8,7,7,74
18977,0,183,16,7,13,61
18980,12,117,19,4,12,52
19001,0,694,13,29,4,125
19002,0,431,17,18,0,104
19003,0,798,11,28,4,105
19004,0,860,6,29,0,125
19006,0,637,11,24,0,119
19007,0,304,7,12,0,83
19008,0,683,13,25,0,91
19009,2,636,11,24,2,119
19010,0,714,13,27,0,96
19012,0,852,7,28,8,140
19013,0,519,0,18,0,70
19014,0,231,12,9,12,41
19015,5,486,5,17,5,66
19017,6,327,15,11,10,54
19018,0,705,4,27,5,91
19020,0,745,10,26,0,121
19021,5,687,11,22,5,116
19022,0,601,6,23,6,76
19023,0,799,4,26,3,99
19025,0,441,15,19,8,106
19026,0,759,5,26,5,96
19027,0,849,5,31,5,143
19029,4,716,10,25,7,86
19030,0,233,6,12,7,68
19031,6,723,12,30,0,126
19032,3,756,9,28,3,96
19033,3,615,8,23,0,80
19034,0,700,14,26,0,134
19035,8,719,15,25,10,97
19036,3,721,8,27,4,89
19038,0,793,10,29,8,122
19040,6,392,7,13,6,101
19041,0,769,12,28,0,100
19043,5,639,10,25,3,85
19044,0,373,12,13,7,95
19046,0,783,9,28,0,131
19047,0,309,0,13,0,76
19050,0,768,0,25,5,91
19053,0,381,9,14,0,89
19054,5,223,8,9,10,62
19055,0,224,5,12,8,66
19056,0,251,7,12,0,69
19057,5,234,0,12,7,67
19060,0,195,16,6,11,36
19061,0,287,8,9,8,52
19063,0,468,14,16,0,64
19064,0,714,8,27,0,102
19066,0,826,6,30,0,111
19067,0,180,12,5,0,53
19070,4,616,9,23,3,78
19072,0,783,9,26,5,105
19073,0,470,12,17,7,68
19074,4,632,10,25,5,82
19075,6,677,13,28,7,115
19076,4,609,12,24,5,79
19078,0,638,9,25,3,86
19079,0,756,7,25,0,91
19081,0,557,8,23,4,83
19082,0,804,5,27,0,102
19083,0,744,10,28,8,99
19085,0,660,11,25,5,89
19086,0,516,7,17,7,73
19087,0,448,4,14,0,75
19090,0,672,11,25,0,129
19094,4,599,7,23,3,77
19095,3,843,7,31,5,139
19096,0,797,9,28,6,102
19102,0,959,1,28,0,142
19103,0,953,3,28,2,142
19104,0,972,0,30,0,149
19106,0,947,4,28,4,139
