"GEOID","minDisHosp","timeDrive","countDrive"
28007060400,11.04,20.97,1
28077960300,9.82,24.2,1
28011950701,0.2,0,2
28047002500,0.96,11.28,6
28049011202,14.06,29.6,2
28139950200,5.35,7.19,1
28121020101,15.5,27.52,4
28115950400,9.1,15.78,1
28117950500,12.12,21.85,1
28113950200,3.89,8.46,3
28115950200,12.42,21.05,1
28121020211,4.58,9.7,14
28121020600,2.26,10.09,15
28121020703,2.5,8.67,15
28085950300,12.53,23.69,1
28123020400,1.03,0,2
28129950100,10.42,28.82,1
28035010200,5.28,17.76,3
28035010400,5.49,12.6,3
28107950400,8.4,0,1
28107950600,2.41,24.85,1
28033071120,13.71,32.66,0
28037950200,10.7,30.5,0
28047001502,5.52,12.62,6
28059041400,3.03,7.5,2
28047001800,2.6,8.59,6
28087000300,3.37,11.87,1
28087000403,11.06,18.76,1
28087000500,3.83,11.1,1
28087000800,2.04,5.26,1
28035010500,5.35,6.2,4
28087001100,17.17,25.15,2
28087001000,10.83,19.56,2
28083950800,1.12,3.64,1
28089030302,16.46,27.39,6
28061950400,18.7,25,1
28069030100,11.27,0,1
28075000800,0.38,0,7
28075001000,3.07,5.32,7
28075010201,12.73,30.15,0
28075010301,9.75,17.89,7
28101050100,9.48,35.72,0
28095950200,8.48,20.18,2
28101050300,15.66,41.09,0
28111950200,19.05,41.89,0
28047001600,3.84,11.56,6
28123020600,4.93,4.54,2
28145950400,3.28,7.34,2
28147950300,8.06,16.88,1
28149950500,2.77,9.92,3
28161950100,11.49,26.87,1
28037950100,7.42,0,1
28121020803,6.94,18.36,7
28093950402,2.42,0,1
28095950800,0.81,0,2
28097950100,10.37,22.8,2
28017950100,16.83,28.07,1
28047003501,14.85,23.35,1
28079040100,11.11,20.88,1
28035010102,10.18,29.65,2
28079040400,9.44,26.66,1
28081950101,17.5,25.23,3
28081950500,3.72,7.78,2
28081950700,1.5,0,2
28113950300,1.93,5.04,3
28121020801,4.46,10.74,14
28035010600,14.47,25.87,3
28091950100,7.84,23.38,1
28081950202,10.66,25.11,2
28057950100,13.01,40.43,0
28003950600,12.68,23.14,2
28121020402,4.12,16.58,15
28005950100,14.95,37.79,0
28047002900,8.05,14.23,5
28047003101,3.5,13.19,4
28105950200,9.88,13.47,2
28105950500,1.6,8.1,1
28107950300,13.11,32.66,0
28067950500,1.67,7.29,1
28047003205,1.56,7.56,6
28047003301,3.79,7.56,7
28079040600,1.98,0,2
28011950200,18.75,26.67,1
28109950100,7.54,19.82,1
28113950400,0.72,0,3
28115950101,8.88,21.35,3
28047003600,10.65,0,7
28107950500,10.2,36.62,0
28109950501,4.35,14.44,1
28109950700,4.62,13.55,6
28113950102,4.54,9.24,2
28095950501,12.32,21.84,1
28089030201,8.31,22.02,8
28089030203,7.06,16.65,11
28089030204,8.03,14.41,12
28089030900,14.01,25.75,1
28091950300,2.62,4.92,1
28067950200,11.02,28.81,1
28081950901,2.66,11.53,3
28091950400,1,0,2
28081951001,10.03,31.5,0
28083950600,1.24,4.01,1
28047002800,3.35,8.18,6
28103950300,0.45,0,1
28001000600,1.98,6.16,4
28001000900,0.38,0,4
28003950500,4.31,11.37,1
28005950300,17.37,0,1
28007060100,14.44,17.66,2
28159950400,2.07,0,2
28087000101,13.33,29.94,1
28121021002,9.87,28.08,4
28047001900,3.44,9.3,6
28047002400,1.95,10.05,6
28001000400,3.04,6.84,4
28009950200,17.84,30.39,0
28059042700,5.95,8.9,1
28145950200,8.9,15.04,1
28065950202,7.83,26.99,1
28129950300,9.85,41.93,0
28131020201,8.38,0,1
28133950401,0.53,0,1
28149950600,2.72,11.85,2
28149950800,3,8.94,3
28151000200,6.2,12.48,3
28151000701,2.51,5.45,3
28151000702,4.41,8.47,3
28133950500,10.52,13.2,1
28059040400,2.25,11.15,4
28059040700,2.08,0,4
28059040900,4.83,11.23,3
28093950300,11.51,26.95,2
28097950300,0.63,0,1
28061950100,16.78,40.41,0
28063950200,0.33,0,3
28065950100,6.84,0,1
28129950200,7.65,0,1
28059040102,18.63,38.12,0
28059040203,6.74,24.43,3
28159950300,2.16,0,2
28057950200,17.32,30.43,0
28057950500,15.11,37.19,0
28059041300,7.42,13.47,2
28059041700,2.35,6.38,2
28059042000,1.4,6.59,2
28059042200,0.82,4.96,2
28163950500,2,6.51,1
28135950200,0.41,0,1
28161950300,13.13,33.84,0
28099010200,8.69,15.59,2
28099940100,1.4,0,3
28139950100,15.58,23.71,1
28139950300,0.45,0,1
28099010600,8.59,15.99,1
28093950100,12.63,28.87,2
28033070521,1.56,5.3,14
28033070630,6.25,13.7,13
28033070710,2.32,8.11,20
28033070722,4.05,0,8
28033070821,2.07,0,20
28123020300,2,2.77,2
28123020500,0.56,0,2
28075010302,11.46,15.85,7
28075010500,7.75,13.32,7
28019950200,5.59,0,1
28033070325,3.13,9.23,12
28033070411,2.14,5.14,15
28067950600,2.51,0,1
28067950800,9.03,21.9,1
28067951000,7.79,10.36,1
28123020200,15.37,34.96,0
28083950900,2.37,3.77,1
28151001400,3.1,5.6,3
28141950100,9.72,18.75,1
28141950400,12.24,32.47,0
28143950200,21.56,40.67,0
28085950200,9.7,18.23,1
28085950400,13.18,29.04,1
28133950600,8.01,14.3,1
28033070421,3.1,8.78,11
28029950300,11.62,54.76,0
28049010807,8.1,17.42,3
28049010809,4.85,10.12,13
28011950600,2.6,5.3,2
28047003402,6.54,17.25,7
28015950200,15.43,39.18,0
28047003303,1.89,11.8,7
28049000800,3.81,6.78,16
28049001000,2.42,5.69,16
28049001600,0.02,0,16
28049002000,1.89,5.87,16
28049002200,3.18,9.12,15
28049002300,2.29,6.74,15
28049003200,2.26,8.91,15
28051950500,10.46,25.44,1
28049011103,7.09,17.48,15
28051950300,17.92,25.17,1
28049011201,18.97,43.89,0
28049011500,2.48,8.5,15
28121020302,0.43,0,15
28049010400,7.5,12.56,14
28049010804,5.16,11.85,14
28049010806,6.66,14.68,10
28011950300,11.01,15.12,1
28127950200,1.35,0,2
28127950500,0.42,0,3
28031950400,8.56,12.56,1
28033070101,14.5,21.13,2
28033070222,5.45,12.48,12
28025950200,17.8,33.97,0
28035010101,10.08,21.71,4
28025950500,5.9,28.63,1
28033071000,13.01,21.38,5
28031950100,7.41,21.09,1
28155950300,0.66,0,1
28033071110,10.14,15.71,11
28035000700,0.77,0,4
28035000900,1.02,4.94,4
28013950200,10.03,17.7,1
28011950500,2.72,4.99,2
28151002100,21.03,35.47,0
28153950200,1.22,0,1
28013950300,5.84,11.97,1
28013950500,1.55,0,2
28155950100,12.71,32.96,0
28027950200,12.01,11.65,1
28153950300,12.5,14.85,2
28159950100,10.79,29.24,1
28023950100,10.47,23.98,1
28027950700,0.23,0,1
28047003404,14.22,19.75,3
28049000100,1.32,6.33,16
28049000200,2.58,8.69,16
28049000600,2.71,7.83,15
28083950300,14.44,21.69,2
28039950301,12.96,25.88,1
28047001400,4.19,11.1,6
28049003400,2.32,7.36,15
28049003700,3.33,9.44,15
28049010101,2.99,6.11,15
28049010202,2.82,8.17,15
28049010304,7.12,15.76,11
28115950300,0.42,0,1
28117950300,0.14,0,1
28119950300,18.64,30.5,0
28127950100,8.65,15.12,2
28097950200,14.16,24.66,1
28047003505,3.97,8.67,6
28049000700,4.58,11.51,15
28049010201,1.31,5.81,16
28049010805,6.29,13.22,13
28001000500,6.11,9.3,4
28133950300,6.05,11.1,1
28049010700,14.25,21.11,1
28049011101,3.51,7.11,15
28049011300,22.21,44.07,0
28007060300,13.76,25.13,1
28023950300,10.01,28.45,1
28031950200,0.71,0,3
28033070323,3.32,10.01,12
28033070830,3.59,13.55,9
28035001000,2.03,6.97,4
28113950600,4.7,0,2
28127950300,11.52,23.54,1
28133950200,6.93,0,1
28121020500,0.74,0,15
28011950702,1.81,3.81,2
28017950300,1.4,0,2
28141950200,2.29,12.11,1
28145950500,10.65,27.26,1
28149950901,5.83,0,2
28047003504,7.01,18.97,4
28049001300,0.67,0,16
28049002700,1.54,4.22,15
28095950100,10.53,21.33,1
28047003207,2.74,4.36,6
28039950200,0.28,0,1
28049011102,5.72,19.07,7
28071950201,2.44,6.06,2
28135950300,14.3,28.9,1
28121980000,2.19,7.18,15
28067951100,16.55,28.68,1
28111950102,8.03,25.62,1
28003950100,9.04,16.4,1
28057950400,21.24,34.03,0
28059040600,1.46,7.12,5
28061950200,1.74,0,1
28067950301,12.55,16.62,2
28077960200,8.1,0,1
28083950200,8.93,11.37,1
28085950500,1.09,0,1
28089030107,4.96,11.38,12
28039950101,10.64,21.77,1
28049010902,1.42,6.44,15
28089030206,3.69,11.55,15
