ZCTA,BED_COUNT,POINT_IN_TIME,YEARLY_BED_COUNT
97434,,,
16617,,,
97886,,,
1634,,,
1797,,,
15557,,,
1542,,,
16652,3,21,3
19559,,,
1843,,,
1531,24,219,24
17965,,,
1591,34,4,34
17829,,,
19564,,,
1577,,,
1792,,,
17822,,,
1917,854,686,714
2876,,,
29646,112,83,12
293,,,
2914,,,
29135,,,
1456,3294,381,3294
13343,,,
14456,3,3,3
11417,,,
1344,3,13,3
13856,,,
1114,,,
124,865,824,865
12456,,,
1535,,,
11212,3784,3697,3784
11694,88,88,88
11415,46,43,46
28777,,,
27827,,,
27891,,,
28465,,,
3853,,,
37727,,,
1129,,,
37148,,,
173,35,31,35
79714,,,
75551,,,
78851,,,
2867,159,141,114
58239,,,
98244,,,
99141,,,
26836,6,6,6
8654,,,
82835,,,
35654,,,
35242,,,
2139,711,76,642
63853,,,
7139,,,
47654,,,
5673,,,
218,,,
4952,,,
1199,,,
92662,,,
99174,,,
24577,,,
7662,18,18,
8828,,,
1136,,,
14854,,,
8725,,,
16253,,,
84329,,,
15715,,,
38562,,,
468,,,
475,,,
3579,,,
5272,,,
21871,117,124,117
46814,,,
2647,,,
4881,,,
4654,,,
5565,,,
2812,,,
59917,,,
59761,,,
59313,,,
59724,,,
3832,,,
8751,,,
7756,,,
88256,,,
4844,,,
1364,,,
5541,,,
27983,,,
45898,,,
7356,,,
73932,,,
7846,,,
2972,,,
29512,,,
2762,,,
1532,,,
1719,,,
48322,,,
4814,,,
48614,,,
4834,,,
49938,1,1,1
49879,,,
5647,16,18,16
56162,,,
5682,38,27,38
55723,,,
5555,,,
56676,,,
56369,,,
38632,,,
39116,,,
399,,,
3994,,,
39633,,,
6365,,,
6576,,,
6541,,,
6341,,,
6419,52,48,52
6384,,,
63117,9,9,9
65254,,,
5911,273,231,273
5945,179,16,175
5932,,,
68844,,,
69163,,,
6868,,,
69357,,,
89143,,,
3835,,,
3242,,,
731,,,
8738,,,
87499,,,
87827,,,
87325,,,
87711,,,
88355,,,
8753,,,
11451,,,
129,,,
48312,,,
48667,,,
48743,,,
4866,84,9,84
55744,143,142,141
55786,,,
5575,17,24,17
56647,,,
55431,4,3,4
55155,,,
39365,,,
39439,,,
39565,,,
35545,,,
3651,,,
36471,,,
3667,,,
35446,,,
3558,,,
3534,,,
3596,,,
35254,,,
99733,,,
3628,,,
86556,,,
85932,,,
71646,,,
36524,,,
84536,,,
9742,,,
9356,,,
9618,,,
19944,,,
92553,36,3,36
6377,,,
32577,,,
3161,223,22,223
31821,,,
83285,,,
32132,,,
33142,526,482,526
66118,,,
8312,,,
7961,,,
76433,,,
77445,,,
77859,,,
75975,,,
76446,,,
76951,,,
78358,,,
78873,,,
75926,,,
7576,,,
78147,,,
76661,,,
78339,,,
75555,,,
77474,,,
76711,74,74,74
2463,,,
75936,,,
8431,,,
84649,,,
8454,,,
8475,,,
584,,,
2452,3,3,3
2223,36,34,36
23882,,,
2235,,,
23665,,,
9844,5,47,5
9914,,,
98361,,,
25286,,,
26351,,,
24927,,,
9839,,,
2631,185,163,15
25524,,,
2528,,,
597,,,
53218,,,
54627,,,
54546,,,
26684,,,
8273,,,
8273,,,
82335,,,
72749,,,
83111,,,
74346,,,
83414,,,
49946,,,
68658,,,
4351,86,52,86
4232,,,
4472,,,
4374,,,
41567,,,
451,,,
478,,,
41535,,,
7655,,,
71438,,,
7535,,,
71377,,,
71,,,
4644,,,
4497,,,
4457,,,
4953,,,
2779,,,
1561,,,
2457,,,
33412,,,
3249,,,
32399,,,
33158,,,
34679,,,
32448,9,9,9
32732,,,
312,267,238,267
31553,,,
31324,2,2,2
3164,,,
316,,,
325,,,
9679,,,
96853,,,
83847,,,
83313,,,
83445,,,
83638,,,
83227,,,
2451,7,23,7
24592,7,6,7
84773,,,
8454,,,
8466,38,36,38
8427,,,
5254,,,
24167,,,
22727,16,1,16
23842,,,
2473,51,37,3
5439,,,
2378,,,
18915,,,
7799,,,
9861,,,
98952,,,
61955,,,
61731,,,
6277,,,
61625,,,
61236,,,
62362,,,
62334,,,
47536,,,
46135,24,7,24
4721,92,75,92
46958,,,
467,,,
5223,,,
5577,,,
5111,37,37,37
532,,,
52337,,,
52531,,,
52591,,,
557,,,
66213,,,
6785,,,
414,,,
16665,,,
15323,,,
17929,,,
19474,,,
1582,,,
16239,,,
1575,,,
15621,,,
1976,,,
29654,,,
282,,,
29691,,,
2938,,,
2954,,,
29488,19,,19
29812,,,
298,,,
29128,,,
57197,,,
5718,,,
57567,,,
38483,,,
7953,,,
23947,,,
8421,,,
38655,,,
39175,,,
652,,,
65625,,,
64735,27,27,27
64443,,,
6319,,,
5986,,,
59223,,,
59711,,,
591,,,
59868,,,
59826,,,
5958,,,
59832,,,
6895,,,
68751,,,
6833,,,
8982,,,
89438,,,
343,,,
9979,,,
99754,,,
99626,,,
8655,,,
85629,,,
8618,,,
8646,,,
7231,,,
71638,,,
72441,,,
72325,,,
95949,,,
9669,,,
9284,16,16,16
92332,,,
962,534,425,534
9336,,,
92281,,,
94121,,,
95526,,,
9249,,,
9553,,,
93626,,,
9621,,,
8424,,,
854,,,
8449,,,
8294,,,
6422,,,
635,,,
32571,,,
74942,,,
97761,,,
97869,,,
975,32,28,32
97636,,,
16323,34,29,32
16933,72,43,72
1571,148,128,148
19457,,,
15778,,,
18353,,,
15434,,,
15219,462,419,338
82725,,,
3683,,,
3672,,,
9847,,,
98565,,,
98385,,,
25541,,,
26164,,,
26137,,,
54946,,,
5391,59,44,53
25672,,,
54765,,,
53195,,,
77518,,,
54874,,,
54214,,,
84313,,,
54654,,,
8261,332,22,332
8221,4,4,4
258,,,
82838,,,
9832,,,
99786,,,
97828,15,15,15
85322,,,
31815,,,
2152,,,
4746,,,
59831,,,
81149,,,
21718,,,
5946,,,
6482,,,
5566,,,
4645,,,
61323,,,
4435,,,
5712,,,
38588,,,
3764,224,223,224
3845,,,
37874,,,
37357,,,
7932,,,
78621,19,19,19
7743,,,
77583,,,
7556,,,
7645,,,
77535,,,
77713,,,
78861,,,
7589,,,
79916,,,
786,,,
377,,,
712,1654,1385,1654
755,387,326,362
7649,,,
87511,,,
8711,,,
8832,,,
126,74,673,74
14173,,,
14539,,,
11373,535,518,518
1162,,,
11947,,,
13325,,,
153,,,
1196,,,
11355,,,
2843,45,28,45
2898,,,
2789,,,
2725,1,1,1
28282,,,
4468,,,
5842,,,
5869,,,
58563,,,
58451,,,
45316,,,
43844,,,
45336,,,
74966,,,
7448,,,
74134,17,18,17
73111,18,8,18
7397,,,
96747,,,
83226,,,
3279,,,
2565,,,
5877,,,
13677,,,
7495,,,
1168,,,
15733,,,
97637,,,
82327,,,
8575,,,
95531,9,65,77
965,,,
9686,,,
81521,,,
8428,,,
78411,,,
7551,198,123,198
27831,,,
595,,,
2422,,,
98586,54,,54
4495,,,
74745,,,
24861,,,
4859,,,
55962,,,
55439,,,
557,,,
55316,,,
6376,,,
95451,,,
813,,,
32456,,,
649,,,
9544,288,266,288
83539,,,
52726,,,
32615,,,
67831,,,
6714,,,
7643,,,
6633,,,
46915,,,
2712,,,
4271,,,
197,,,
7441,,,
154,,,
49762,,,
49434,,,
49953,,,
49745,,,
4852,,,
5564,,,
3947,,,
136,,,
68327,,,
3854,,,
3576,,,
8826,,,
11235,223,214,223
28152,,,
6871,,,
39482,,,
73945,,,
7496,,,
766,,,
8561,,,
1694,,,
29455,,,
29575,,,
2969,,,
28553,,,
3515,,,
36785,,,
35968,,,
36866,,,
99676,,,
99611,,,
9967,,,
9959,,,
99778,,,
99925,,,
8641,79,79,79
7253,,,
71913,,,
72852,,,
72112,14,,14
71677,,,
7271,161,156,161
71772,,,
7177,,,
9694,5,5,5
92557,66,66,66
93225,,,
9211,,,
9514,,,
9355,359,314,39
95987,,,
95573,,,
9641,,,
93238,,,
989,,,
95623,,,
95981,,,
966,,,
93562,,,
81647,,,
8473,,,
8537,169,119,139
83,91,6,91
8122,,,
8544,,,
81424,,,
882,,,
6266,,,
6389,,,
668,78,71,78
2551,,,
3254,,,
32177,45,35,45
34268,,,
32612,,,
3326,,,
3243,,,
33855,,,
3144,,,
31419,,,
31549,,,
3733,,,
47352,,,
4711,,,
4716,,,
47467,,,
5515,,,
541,,,
5652,,,
516,,,
52166,,,
5165,,,
67117,,,
66522,,,
6623,21,17,21
5543,995,854,952
55422,52,43,52
18246,,,
3963,,,
3946,,,
3983,,,
38879,,,
39455,,,
87521,,,
8741,,,
1459,2671,2477,2659
11425,,,
117,,,
132,728,72,728
13368,,,
1152,,,
11575,11,11,11
115,,,
14727,,,
11429,472,412,472
11223,,,
12,,,
1113,,,
11412,,,
28658,,,
27587,,,
27534,,,
28785,,,
28327,,,
2828,,,
28328,,,
27539,,,
2765,6,6,6
5873,,,
5824,,,
58545,,,
58656,,,
434,,,
43136,,,
43468,,,
45229,353,346,353
43842,,,
45616,,,
45884,,,
4541,,,
45354,,,
7417,31,14,31
74463,,,
73841,,,
9718,,,
9785,4,4,4
9753,313,224,313
18434,,,
17815,25,15,25
1672,,,
16682,,,
17888,,,
1649,,,
15483,,,
1621,74,67,74
1534,,,
1535,,,
17343,,,
65453,,,
64165,,,
65259,,,
59525,,,
5971,,,
5918,,,
59923,,,
59337,,,
59261,,,
68444,,,
68118,,,
89318,,,
3824,,,
3586,,,
8312,,,
788,,,
8838,,,
88116,,,
83626,,,
62682,,,
6155,,,
62541,,,
623,,,
6285,,,
61322,,,
6165,,,
635,,,
6877,,,
9822,,,
33785,,,
32336,,,
3132,,,
19945,,,
32666,,,
5478,,,
83312,,,
415,35,31,35
42164,,,
653,,,
7653,,,
4945,,,
4742,,,
664,263,2291,263
539,,,
5674,,,
22938,,,
24256,,,
22546,,,
24382,19,19,19
232,,,
23943,,,
24314,,,
249,,,
23923,,,
24526,,,
2227,,,
7848,42,35,42
9942,,,
98223,81,51,81
992,,,
98158,,,
2639,,,
46766,,,
66959,,,
2666,,,
4153,,,
4412,22,19,22
59872,,,
2672,,,
59829,,,
846,12,4,12
1743,,,
17835,,,
15413,,,
15359,,,
1757,,,
15637,,,
2978,,,
29527,,,
2992,39,19,34
29665,,,
2945,,,
379,,,
3755,,,
3834,,,
3716,,,
37351,,,
38329,,,
375,,,
3868,5,4,5
75287,,,
38126,38,38,38
7918,,,
7786,,,
79227,,,
7567,,,
75654,,,
75568,,,
75446,,,
76457,,,
77342,,,
79546,,,
75845,,,
76523,,,
7813,,,
79344,,,
76689,,,
79369,,,
8442,,,
84317,,,
84725,,,
84714,,,
411,,,
41171,,,
42754,,,
436,,,
4448,,,
42743,,,
7118,,,
71115,,,
7836,,,
758,189,178,189
7748,,,
7144,,,
494,,,
4427,,,
4763,,,
4969,,,
4932,,,
4928,,,
21628,,,
122,,,
2111,471,4553,474
2763,,,
48125,,,
487,,,
5473,,,
48362,,,
5945,,,
3127,,,
62695,,,
66622,2,2,2
456,,,
5142,,,
93614,,,
1971,,,
239,,,
252,,,
98267,,,
1321,14,14,14
12997,,,
76629,,,
15777,,,
7746,,,
9741,,,
16161,,,
17974,,,
8646,,,
3641,,,
9974,,,
72958,,,
35973,,,
94118,25,27,25
6636,242,177,242
6457,,,
62537,,,
6645,,,
61419,,,
61426,,,
664,,,
6166,,,
46322,,,
47567,,,
47424,,,
47584,,,
4663,,,
1543,,,
762,,,
24931,,,
24747,,,
25276,,,
25855,,,
25156,,,
25871,,,
98562,,,
25434,,,
24869,,,
25913,,,
82935,,,
7762,,,
82513,,,
82844,,,
99119,,,
99557,,,
73939,,,
3738,,,
8155,,,
8938,,,
8452,,,
8423,,,
6851,1,1,1
661,,,
2418,,,
2566,,,
224,,,
34685,,,
3226,,,
3363,,,
3153,,,
31312,,,
3721,49,41,49
3177,,,
31836,,,
3627,,,
9674,,,
517,,,
5217,,,
5634,,,
5847,,,
5238,,,
51656,,,
67114,57,42,53
67519,,,
66424,,,
41472,,,
4445,,,
42726,,,
436,,,
4237,,,
4514,,,
42733,,,
4212,,,
7739,,,
71418,,,
71435,,,
755,,,
7558,,,
4441,,,
4973,,,
4414,,,
4456,,,
21217,215,214,215
21916,,,
1745,,,
168,,,
2723,,,
4921,,,
48216,148,15,148
48225,,,
49841,,,
56386,26,23,26
55341,,,
5513,67,516,67
55943,,,
5689,,,
56525,,,
3929,,,
3947,,,
39443,,,
39629,,,
39648,,,
38923,,,
38631,,,
6377,,,
63359,,,
65215,,,
83213,,,
83617,,,
83546,,,
6164,,,
8814,,,
8264,,,
1538,,,
17934,,,
15678,,,
1553,,,
15466,,,
1712,,,
1568,,,
1994,138,11,138
2858,,,
29651,16,6,16
2928,,,
29225,,,
57772,,,
57644,,,
57741,,,
68879,,,
68417,,,
89834,,,
3861,,,
3752,,,
717,92,79,92
728,,,
872,,,
7939,161,145,161
87732,,,
87416,,,
8741,,,
88421,,,
1976,,,
5757,,,
3856,81,68,81
38132,,,
373,,,
387,,,
3758,,,
38472,,,
38365,,,
38581,,,
7678,,,
37934,,,
78631,,,
75494,,,
79331,,,
76933,,,
797,,,
75861,,,
76534,,,
75119,,,
776,269,23,269
7514,,,
77865,,,
7575,3,3,3
75417,,,
76687,,,
75455,,,
78341,,,
75223,,,
75855,,,
75563,,,
2454,,,
24354,,,
8436,,,
8432,,,
84729,,,
2271,88,84,58
5356,,,
2466,,,
23181,,,
2389,,,
2316,,,
24415,,,
23523,,,
2395,,,
2294,,,
24319,,,
99169,,,
98272,137,79,137
63666,,,
64158,,,
63962,,,
6351,16,16,16
6478,,,
63824,,,
59934,,,
5943,,,
59213,,,
69147,,,
68749,,,
64114,,,
56474,,,
3931,278,254,278
39146,,,
74764,,,
36,459,436,459
295,116,18,116
13675,,,
118,157,137,157
2725,59,59,59
84337,,,
5776,,,
58643,,,
73456,,,
98577,62,37,62
24934,,,
45684,,,
54211,,,
82938,,,
3678,4,2,4
3635,,,
35453,,,
36875,,,
3646,,,
3628,,,
35577,,,
3582,,,
99661,,,
99561,,,
99572,,,
85546,52,46,52
85931,,,
864,635,616,616
85539,,,
72675,,,
72119,,,
72945,,,
71921,,,
72857,,,
9536,,,
95546,,,
9543,,,
995,,,
93637,131,92,131
95685,,,
967,,,
9651,,,
9133,,,
92378,,,
95946,,,
95222,21,21,21
943,12,94,62
95219,,,
9561,,,
9418,88,83,88
95476,25,15,1
91371,,,
95461,24,,24
93546,,,
9125,2,2,2
95979,,,
92227,,,
9479,,,
81657,,,
8161,35,3,1
8293,,,
845,144,132,144
853,,,
8121,,,
6716,,,
11554,,,
1153,,,
12983,,,
13,1219,125,1141
144,,,
11752,31,31,31
14475,,,
13367,5,5,4
14619,,,
1289,,,
1165,,,
1128,68,65,68
28779,135,133,135
28376,4,4,4
27956,,,
2877,,,
27253,,,
43832,,,
58523,5,,5
5855,,,
58244,,,
58529,,,
44663,127,118,127
45816,,,
4314,5,5,5
45323,,,
448,,,
44266,33,283,33
45693,24,17,24
43786,,,
4336,,,
4537,,,
73142,,,
7433,,,
73425,,,
74468,,,
97361,,,
97526,239,239,239
9756,,,
97538,,,
97381,,,
9725,893,83,893
19367,,,
1565,4,3,3
187,,,
17751,,,
17222,,,
19316,,,
15353,,,
16876,,,
621,,,
3751,,,
33847,,,
41144,,,
6256,,,
465,52,37,52
5598,,,
2161,,,
4264,,,
471,,,
6678,,,
55921,14,8,14
55614,,,
1172,,,
38372,,,
374,131,63,1
78363,,,
79845,,,
79938,,,
76265,,,
28625,,,
58623,,,
27525,,,
2361,25,25,
99153,,,
2682,,,
26159,,,
25262,,,
2617,,,
54313,,,
36453,,,
3684,5,5,5
35452,,,
36769,,,
36474,,,
35559,,,
3691,,,
36865,,,
35952,,,
36579,,,
9965,,,
99552,,,
99519,,,
99625,,,
8553,,,
71852,,,
7162,,,
71957,,,
71659,,,
71631,,,
72856,,,
9156,49,48,49
2742,,,
6756,,,
56575,,,
96857,,,
46365,,,
4199,,,
7671,176,114,176
24225,,,
5492,,,
17855,,,
727,,,
1271,,,
37137,,,
12585,,,
1157,,,
1111,,,
155,,,
27892,,,
13845,,,
1993,,,
28127,,,
2727,,,
28365,,,
2835,,,
28447,,,
58755,,,
58843,,,
1842,,,
1822,,,
43531,,,
98814,,,
54927,,,
24991,,,
36272,,,
3673,,,
99693,,,
983,,,
9485,,,
8127,,,
94956,,,
1979,14,13,14
95322,,,
3418,,,
924,,,
95472,75,75,75
31331,,,
39145,,,
38961,,,
39339,31,31,31
3874,,,
65355,,,
63645,3,3,3
6555,,,
65566,,,
65529,,,
6565,,,
6347,,,
5991,15,123,126
59859,,,
59721,,,
59351,,,
59434,,,
59326,,,
6814,388,371,388
68969,,,
69347,,,
89442,,,
8925,,,
3754,,,
3871,,,
778,,,
783,,,
87515,,,
88354,,,
8849,,,
8712,,,
87315,,,
11416,113,113,113
11219,58,56,58
14169,,,
1553,,,
1364,,,
129,966,943,966
611,16,1,16
256,,,
3291,,,
3211,,,
33146,,,
3253,,,
34946,,,
311,,,
5543,,,
39429,,,
39562,,,
1431,,,
89422,,,
8946,,,
1229,,,
8822,68,37,48
49918,,,
39577,,,
65777,,,
45663,,,
4414,,,
43961,,,
39556,,,
97914,38,38,38
15424,,,
764,,,
29831,,,
99347,,,
24726,,,
26241,41,25,41
23833,,,
259,,,
25185,,,
26438,,,
26178,,,
54166,15,14,15
5317,,,
53965,46,46,36
5727,,,
53792,,,
2518,,,
82516,,,
82648,,,
82716,199,122,199
82442,,,
59871,,,
9743,,,
91764,13,13,13
128,,,
99576,,,
48227,245,257,242
5541,883,879,883
4131,,,
35458,,,
86443,,,
827,18,3,18
35776,,,
3522,,,
3549,,,
35115,5,5,5
35581,,,
3647,,,
3545,,,
3682,,,
36521,,,
36264,,,
36454,,,
9983,,,
9976,,,
99785,,,
99737,,,
8591,18,13,18
2593,,,
2377,,,
98288,,,
765,,,
1112,,,
3823,,,
15484,,,
18333,,,
14527,28,28,28
18351,,,
14537,,,
14542,,,
1836,195,154,158
8724,,,
71655,,,
8435,,,
8726,,,
385,,,
29845,,,
3852,,,
6552,,,
29848,,,
53969,,,
37766,12,4,
23188,97,94,97
58788,,,
29621,43,35,43
23219,43,366,37
541,,,
43948,,,
58854,,,
588,,,
5845,,,
4564,1,11,1
4436,69,67,69
45838,,,
4541,294,261,294
44687,,,
4589,,,
45716,,,
43437,,,
5537,,,
14586,,,
14592,,,
18424,,,
631,61,61,
35462,,,
414,,,
5549,53,51,53
35466,,,
32333,,,
634,,,
3281,,,
32334,,,
3974,,,
6281,17,13,17
642,,,
62543,,,
61519,,,
61773,,,
6147,,,
4635,,,
4791,132,99,132
47123,,,
4644,,,
5246,,,
5354,,,
24348,,,
44132,,,
23221,,,
38141,,,
54547,,,
3821,,,
54548,,,
6613,,,
38221,,,
68127,,,
5537,8,8,8
3255,28,153,28
4143,,,
4862,,,
41537,,,
48426,,,
3427,,,
48214,112,16,74
4972,,,
394,,,
55373,,,
4634,,,
416,,,
4822,,,
3231,128,112,128
46346,,,
1984,,,
272,28,36,28
2474,,,
2573,,,
5382,,,
9716,,,
36752,,,
3646,,,
3637,,,
3679,,,
35957,,,
99746,,,
99566,,,
9993,,,
99752,,,
99657,,,
8634,,,
8654,,,
7224,,,
72719,,,
71923,,,
97458,,,
43759,,,
45145,,,
43525,,,
9721,,,
4333,,,
7391,,,
5388,,,
2616,,,
25259,,,
15734,,,
57779,,,
38544,,,
78828,,,
7915,,,
75974,,,
24315,,,
2397,12,6,12
23841,,,
98276,,,
3936,,,
55814,,,
4165,,,
4167,,,
3434,,,
3928,,,
3562,,,
4165,,,
35622,,,
55724,,,
4166,,,
38876,,,
4513,,,
5319,,,
3891,,,
194,,,
1918,,,
194,,,
3334,,,
35572,,,
41175,,,
39153,,,
48336,,,
39154,,,
35576,,,
4834,,,
32413,,,
35578,,,
55448,,,
46377,,,
4149,,,
48237,,,
35474,,,
3234,,,
5562,,,
4162,,,
48239,,,
729,,,
19735,,,
253,,,
264,,,
2245,,,
251,,,
254,,,
76,14,13,14
1992,,,
5517,,,
5278,,,
67645,,,
4193,,,
41653,34,24,34
41332,,,
41,,,
42367,,,
41721,,,
48191,,,
32212,,,
8272,,,
65785,,,
24484,,,
82721,,,
24487,,,
4531,,,
82723,,,
65793,36,6,36
28792,113,63,113
2881,455,385,448
6753,,,
2454,81,67,81
54466,,,
28337,,,
3425,259,168,225
41222,,,
39159,,,
3916,,,
24651,,,
2485,,,
235,,,
2467,,,
24553,884,643,879
23921,,,
9863,,,
25112,,,
26143,,,
26447,,,
25312,35,28,35
2545,,,
26435,,,
2569,,,
2671,,,
2628,,,
54847,,,
54525,,,
4231,,,
42345,,,
4312,,,
4141,,,
7163,,,
71419,,,
7431,,,
