COUNTYFP,BED_COUNT,POINT_IN_TIME,YEARLY_BED_COUNT
3671,845,679,594
3715,,,
3711,64,39,64
37131,,,
37159,824,779,824
37183,1587,1486,1482
1321,,,
13265,,,
449,586,518,575
453,5,14,5
457,183,173,163
4517,,,
4535,25,25,25
4541,153,9,153
4545,891,762,756
4551,196,116,195
37,,,
393,138,127,138
3751,411,41,411
37139,,,
4561,,,
4655,,,
4745,,,
47127,,,
5181,,,
5115,,,
51195,,,
547,125,93,125
5499,8,2,8
4231,16,1,16
19,,,
147,,,
573,,,
627,28,21,28
653,1359,917,1291
699,1736,1566,1663
8111,,,
1245,,,
1215,13,792,13
12121,,,
1641,,,
1679,,,
1821,,,
48175,,,
4853,,,
51113,16,1,16
5333,16346,14739,16143
5357,49,349,449
691,,,
18125,,,
263,,,
2713,66,27,66
139,,,
161,,,
175,,,
411,,,
113,,,
115,72,19,72
21235,3,2,3
2257,,,
2423,41,42,41
2613,,,
2671,,,
47145,,,
47183,,,
4841,237,148,225
4879,,,
48341,,,
495,164,123,156
4923,,,
5113,,,
51157,,,
5319,2,2,2
5375,17,79,17
5511,4,4,3
5633,37,34,37
5639,5,26,5
585,,,
689,637,526,637
85,333,38,298
833,,,
173,2874,2445,2834
1129,,,
229,,,
42131,7,7,7
4521,68,34,44
27137,1446,1222,1414
2821,16,11,16
2853,,,
28137,,,
33,,,
335,62,62,62
361,,,
389,,,
319,,,
3233,,,
349,146,13,54
3617,36,25,36
3719,2,2,2
3747,,,
3779,,,
37147,625,613,625
37173,,,
4565,,,
463,,,
4755,,,
4785,8,8,8
5145,,,
1317,3,3,3
167,,,
47119,13,11,13
47147,,,
4815,,,
48277,5,17,5
48391,,,
48469,22,185,22
4957,972,735,972
513,79,82,79
5131,,,
5159,2411,2246,215
51121,51,37,3
51155,8,2,
5367,125,134,1174
5431,6,6,6
5457,42,32,4
5485,,,
557,,,
5557,14,14,14
55121,,,
413,153,153,98
4223,,,
4255,197,156,177
