ZCTA,pop,minDist_OTP
20427,0,0.35
32714,37223,3.25
32134,7376,22.46
33498,14404,6.62
31021,28391,3.68
30521,5042,14.09
31804,5865,10.57
30252,46286,5.04
39842,8021,16.75
30474,16665,1.9
95835,40101,4.26
93203,22744,18.81
95364,0,52.22
91203,15000,1.27
95363,26900,18.04
93665,875,25.49
90071,0,0.9
95724,20,30.53
80302,29109,8.34
80746,64,119.18
81223,1439,52.82
81243,101,79.96
80218,19129,0.94
19977,25568,3.48
20202,0,1.56
34681,775,12.79
32097,18518,6.92
30513,11753,12.93
31318,432,13.87
31780,2100,30.34
30326,6030,4.46
30293,2948,22.7
83244,328,158.48
83544,6079,98.61
83218,327,109.78
83467,5978,126.97
62089,501,35.66
61243,248,46.2
62987,1424,17.35
60171,10148,1.78
60643,49870,1.04
62865,1977,18.49
61936,290,12.23
61039,1012,23.08
47457,170,23.98
47337,177,29.26
46183,15,5.74
46068,2811,25.7
47836,0,17.75
47683,180,23.48
47969,152,22.69
52060,8402,25.29
51244,78,46.39
50603,581,59.66
52647,210,54.78
51036,1018,49.39
66216,24727,7.32
66728,29,13.53
67520,290,117.08
40380,7291,27.01
42431,26055,34.55
41260,889,2.69
40404,853,0.72
42210,4218,16.71
42411,1783,38.47
40049,112,27.42
70549,3591,25.08
70582,19546,11.74
95441,2053,20.99
94574,8677,18.49
90621,35398,3.14
95485,2688,53.51
93664,408,37.41
37338,3547,25.35
37374,2403,19.58
76597,2817,33.05
37132,2387,26.14
37246,0,1.14
75752,7222,29.62
78076,13184,46.64
79781,266,93.3
78653,22804,10.01
77880,1197,21.74
75779,135,15.39
78014,5631,59.69
76305,4352,8.66
75652,16946,22.95
77575,16640,32.97
76801,25319,62.52
78058,1121,76.65
76877,4332,71.89
78881,2122,54.34
75844,6001,33.14
77954,11939,26.5
78620,16882,20.0
79731,4792,30.21
76148,23586,3.72
75929,1682,33.92
75831,5494,56.72
79081,4001,79.65
76676,297,25.11
24153,38125,7.06
84648,6111,39.52
84751,1991,100.68
05056,418,13.78
05079,681,21.07
05405,4327,1.36
22514,2243,23.81
24483,579,24.78
24013,8473,4.13
22845,9,26.59
17885,214,26.55
98045,14795,28.0
99203,20943,2.64
26562,510,25.92
26763,1676,14.54
15027,2221,3.22
54143,15006,43.34
97838,26057,26.5
36766,18,58.82
35650,13992,29.67
36784,7370,60.42
35579,3513,17.21
36268,5814,10.25
86520,1689,105.26
86326,25015,19.11
85924,2696,31.41
29670,9297,7.16
57346,62,146.79
37324,5683,28.49
57236,138,107.35
37377,15691,13.07
37315,1566,9.93
37725,17572,10.22
38029,0,5.42
38047,85,7.44
37770,2675,42.2
70772,843,25.09
70128,19500,10.32
70648,8864,27.83
04450,1214,10.49
04472,2115,16.02
33432,19578,1.75
83823,1401,71.25
46327,11631,4.13
61112,66,2.66
04851,82,21.1
60958,1784,14.25
46799,232,15.67
20818,2019,6.37
50314,11528,0.36
70517,27314,4.42
40383,23718,12.7
49878,3381,115.87
04739,870,143.14
38844,200,24.55
63775,16966,34.54
01340,1808,8.02
49248,783,19.64
02343,10728,3.18
49780,1924,81.78
07720,4223,1.52
87830,1571,81.5
49722,308,28.26
27053,2973,26.64
65802,46888,2.7
65742,13295,11.84
58801,30367,114.39
07079,16473,1.27
07870,28,18.51
03447,2395,10.99
07723,695,2.98
02873,190,12.03
57754,3788,230.66
10605,18643,6.86
37738,5555,15.69
11207,91972,0.48
37620,38969,24.08
79346,2248,55.7
75488,566,32.26
05488,8239,8.7
57641,354,69.13
24605,8685,26.5
23310,4549,29.24
24426,13585,32.77
98422,21012,4.89
99114,12453,69.34
25514,3470,22.49
28533,3248,14.63
28032,3296,3.76
45142,3696,16.76
58368,3691,58.4
58622,1922,118.21
58007,103,32.46
43467,85,26.05
43008,2614,7.9
44615,10312,23.1
45745,1618,26.12
44682,1030,27.84
44507,5409,3.43
43142,102,16.75
43736,35,34.23
43750,115,25.43
44011,22786,5.55
74016,5697,32.79
74003,14194,4.84
74464,31404,45.0
73441,165,24.65
97525,4450,12.54
97064,3241,24.13
97355,29701,29.6
97434,930,28.99
16617,2781,10.72
97886,1180,29.12
16340,1740,13.45
17097,842,20.36
15557,3427,23.32
15420,328,8.27
16652,18181,11.44
19559,420,4.5
18430,6,23.18
15301,48950,1.53
17965,2073,17.86
15901,3417,4.93
17829,230,18.33
19564,181,12.95
15077,150,9.27
17920,353,20.66
17822,0,13.89
19107,13696,0.14
02876,291,5.56
29646,28182,3.77
29003,6510,48.82
29014,1763,26.86
29135,8387,23.11
10456,94218,0.27
13343,1772,34.16
14456,19201,36.19
11417,31927,2.02
13440,41243,0.12
13856,6009,38.48
11104,26119,1.79
10024,59001,1.25
12456,851,6.35
10535,427,6.83
11212,76527,0.25
11694,21354,5.82
11415,19372,0.7
28777,10314,16.55
27827,58,7.79
27891,5356,10.79
28465,7252,15.8
38053,26545,11.7
37727,2390,13.16
11209,67809,2.45
37148,23982,29.91
10703,21854,1.54
79714,17818,38.48
75551,10679,23.43
78851,33,129.88
28607,35523,1.02
58239,14,128.54
98244,2783,30.91
99141,5081,80.75
26836,6986,40.48
86054,1718,118.83
82835,253,127.23
35654,8006,18.86
35242,55122,10.41
02139,38272,0.85
63853,203,27.39
70139,0,1.18
47654,82,21.44
50673,171,67.87
02180,22144,1.92
04952,1886,21.65
01199,0,0.55
92662,2606,3.44
99174,50,44.96
24577,4808,32.95
07662,5613,3.53
88028,272,62.3
11360,19621,2.47
14854,13,7.28
87025,1082,32.48
16253,72,25.82
84329,88,82.06
15715,451,25.38
38562,6661,55.74
04068,1548,32.2
04750,2228,125.69
03579,344,57.14
50272,143,16.84
21871,1978,10.76
46814,12438,8.88
02647,90,6.23
48081,20626,2.52
04654,3209,31.04
55605,722,135.8
20812,325,6.54
59917,4811,55.25
59761,293,86.54
59313,2319,168.93
59724,67,107.0
03832,323,38.76
08751,4379,3.14
07756,3133,1.74
88256,1693,89.45
48440,252,17.43
13064,161,13.1
55041,7800,24.89
27983,8631,21.24
45898,873,32.71
73560,839,59.09
73932,2304,129.3
07846,35,11.89
29720,47797,19.33
29512,18182,27.36
20762,2964,7.27
01532,14985,2.73
01719,5794,12.31
48322,32681,6.82
48014,4152,13.64
48614,1510,22.59
48034,13819,5.51
49938,7514,95.48
49879,936,123.94
56470,10592,64.01
56162,223,96.56
56082,14502,49.57
55723,2226,81.03
55055,3506,5.19
56676,1564,89.89
56369,667,10.13
38632,27317,13.77
39116,2075,45.99
39090,12809,55.64
39094,3988,30.88
39633,1236,63.74
63650,4120,60.1
65706,15690,24.21
65041,5429,50.64
63041,584,39.77
64109,9647,1.25
63084,19212,36.33
63117,8978,5.49
65254,2074,32.89
59101,41440,13.29
59405,31337,103.91
59032,474,87.48
68844,309,125.67
69163,990,208.83
68068,78,14.6
69357,3596,122.51
89143,13159,7.23
03835,6884,12.2
03242,4950,15.0
07031,15724,1.73
08738,1164,4.35
87499,516,26.81
87827,110,79.67
87325,3089,56.07
87711,655,55.87
88355,0,66.79
87053,1331,36.09
11451,0,0.88
01029,651,15.96
48312,34798,1.3
48667,0,17.77
48743,105,56.58
48066,47710,1.84
55744,20343,70.29
55786,358,71.55
55075,20274,5.08
56647,848,95.51
55431,18337,3.81
55155,0,0.33
39365,7432,29.43
39439,4245,39.78
39565,19704,17.57
35545,122,32.45
36051,2106,9.94
36471,1057,45.31
36067,28727,20.56
35446,2081,11.9
35580,3708,13.87
35034,6030,23.51
35960,9668,24.63
35254,1574,4.69
36280,3875,27.6
86556,2073,64.48
85932,378,50.08
71646,6121,54.38
36524,1255,55.23
84536,1869,121.05
90742,699,7.9
93560,20929,15.92
96108,56,127.4
19944,647,10.14
92553,75830,8.23
06377,2898,13.63
32577,4321,12.36
31601,32084,8.51
31821,263,24.45
83285,120,97.0
32132,7514,18.09
33142,58574,3.62
66118,0,1.0
83120,778,88.78
79601,27379,9.15
76433,1517,32.87
77445,13524,25.14
77859,6822,23.96
75975,3703,14.36
76446,7686,56.46
76951,1141,43.62
78358,561,28.69
78873,1908,70.84
75926,1103,13.24
75760,2392,25.72
78147,2151,33.38
76661,8060,23.51
78339,330,20.73
75555,1672,33.31
77474,12825,36.85
76711,9772,2.04
24630,7177,19.34
75936,1095,28.51
84031,229,51.05
84649,996,71.73
84540,146,50.86
84075,28485,5.37
05084,266,9.35
24502,45406,3.43
22203,24213,4.08
23882,1651,17.1
22035,0,6.91
23665,6195,6.77
98404,35100,1.62
99140,422,66.03
98361,836,51.58
25286,1567,18.51
26351,4846,34.51
24927,153,51.5
98039,3260,4.19
26301,29028,1.71
25524,3440,25.55
25208,897,29.04
05907,142,19.64
53218,42780,4.8
54627,1720,20.0
54546,1213,74.26
26684,182,29.22
82073,48,62.0
82730,1531,223.63
82335,49,127.66
72749,122,24.75
83111,712,78.67
74346,7479,31.56
83414,382,132.56
49946,3829,136.19
68658,714,42.27
40351,21302,43.23
42320,8969,31.99
40472,1782,22.45
40374,1787,33.03
41567,179,7.0
40051,4264,17.83
40078,2301,25.5
41535,422,5.53
70655,3020,42.33
71438,2085,25.12
70535,18448,33.6
71377,115,45.21
70001,38876,5.03
04644,0,37.69
04497,283,54.78
04457,5787,42.06
04953,3226,20.88
20779,985,15.16
01561,294,6.72
02457,1715,5.92
33412,14918,9.56
32409,10191,11.8
32399,0,3.32
33158,6641,3.32
34679,103,4.22
32448,8480,41.32
32732,4809,17.81
31020,1688,9.21
31553,4369,21.52
31324,25643,13.99
31064,9071,16.02
31006,4476,32.93
30250,656,7.08
83847,1599,75.02
83313,3789,102.59
83445,7500,128.98
83638,6880,104.83
83227,119,98.82
24501,27543,2.2
24592,13393,31.4
84773,260,99.85
84054,20005,2.99
84066,12191,65.06
84027,471,38.92
05254,251,31.13
24167,285,14.05
22727,5594,18.03
23842,6784,7.67
24073,30478,19.4
05439,1484,2.62
23708,476,1.27
18915,645,7.34
77990,878,23.78
98601,3494,22.25
98952,2502,20.45
61955,189,12.26
61731,194,25.41
62077,240,31.28
61625,370,0.9
61236,123,11.6
62362,297,36.2
62334,138,32.62
47536,0,26.25
46135,20800,28.77
47201,44127,31.27
46958,594,28.93
46070,2320,14.72
50223,546,39.04
50577,440,82.01
51101,814,75.53
50032,277,3.9
52337,660,26.52
52531,5982,25.05
52591,2930,47.31
50057,266,9.51
66213,29063,3.2
67850,322,113.86
41004,4010,18.11
16665,294,5.1
15323,4633,9.13
17929,1563,12.92
19474,583,4.72
15082,163,10.72
16239,5188,39.2
15075,180,9.13
15621,91,5.65
19076,6534,3.64
29654,9306,18.22
02802,671,4.55
29691,11113,8.78
29038,2169,41.28
29540,5383,11.77
29488,22056,38.1
29812,11357,30.36
29080,2859,17.04
29128,5271,13.71
57197,936,2.02
57018,1455,20.52
57567,1483,191.19
38483,5568,19.18
79530,484,22.9
23947,4127,46.3
84021,3992,39.67
38655,42623,55.68
39175,4302,33.18
65020,16373,55.44
65625,8570,41.14
64735,13124,35.89
64443,1395,8.09
63109,26562,5.34
59086,879,35.37
59223,339,184.77
59711,8905,68.57
59001,1384,49.02
59868,1847,35.14
59826,419,43.39
59058,29,98.42
59832,729,39.07
68950,386,107.57
68751,92,60.64
68303,286,54.13
89820,5481,159.23
89438,108,163.68
03043,1673,16.92
86505,8002,98.28
85629,25362,13.88
86018,860,19.6
86046,5266,33.34
72031,7198,60.11
71638,3671,79.52
72441,76,23.23
72325,69,18.69
95949,20519,22.79
96069,828,19.71
92840,55186,3.31
92332,92,42.74
90062,34422,2.51
93306,73401,12.98
92281,2859,18.31
94121,43795,0.66
95526,210,34.13
90249,26587,1.64
95053,3678,2.63
93626,1983,18.82
96021,16228,25.04
80424,10120,52.22
80540,4552,14.87
80449,778,54.04
80294,0,0.26
06422,7248,7.36
06350,46,8.17
32571,35388,9.57
74942,155,43.27
97761,4290,53.58
97869,833,88.05
97005,26442,3.59
97636,431,108.41
16323,15530,23.97
16933,6783,13.59
15701,34184,12.59
19457,63,5.79
15778,191,31.1
18353,12460,15.19
15434,258,3.06
15219,16501,1.17
82725,630,151.96
36830,39078,30.33
36720,1012,63.4
98047,7023,5.25
98565,769,29.96
98385,301,15.0
25541,9934,17.83
26164,7553,22.36
26137,581,30.35
54946,96,35.69
53901,14703,32.06
25672,384,11.69
54765,2,29.24
53195,121,17.91
77518,10684,10.41
54874,3841,17.4
54214,220,29.24
84313,89,106.76
54654,66,39.17
82601,28830,189.03
82201,6471,101.19
25008,139,16.25
82838,248,74.64
98320,1128,18.61
97828,3112,76.48
85322,626,20.32
31815,3677,31.18
21052,251,4.77
04746,429,148.19
59831,423,33.42
81149,825,51.1
21718,140,9.64
59460,161,160.73
60482,10916,0.94
50566,450,63.2
46045,78,30.61
61323,91,29.92
04435,1069,19.92
57012,1198,25.85
38588,757,54.02
37064,56641,20.36
38450,3039,24.73
37874,15203,27.26
37357,5653,49.97
79032,76,48.81
78621,23496,19.52
77430,2104,22.72
77583,36903,14.12
75560,857,25.12
76450,13020,50.89
77535,34291,23.86
77713,13469,7.64
78861,13965,31.66
75089,34374,6.88
79916,3039,3.33
78060,115,59.52
03770,513,7.09
07102,13382,2.0
07505,2423,0.16
07649,8134,1.6
87511,2896,10.8
87011,47,61.44
88032,252,7.56
10026,39363,0.46
14173,387,24.94
14539,171,18.76
11373,93967,0.54
10162,1584,1.02
11947,511,5.59
13325,1067,25.33
10503,173,5.51
11096,8311,6.49
11355,80853,0.4
28043,21075,21.67
28098,3629,2.0
27809,5083,6.54
27205,34517,22.31
28282,0,2.75
44680,4455,13.95
58402,250,88.57
58069,100,64.05
58563,2191,31.4
58451,171,59.48
45316,108,9.11
43844,3519,26.67
45336,161,20.27
74966,3663,39.87
74048,6213,18.75
74134,16254,3.24
73111,11368,2.73
73097,167,3.02
83226,1951,119.93
32079,461,22.91
20565,0,1.55
58707,515,1.56
13677,112,51.69
07495,0,1.54
10168,0,0.82
15733,159,29.49
97637,99,127.7
82327,955,139.99
85750,24535,5.5
95531,23470,57.87
96050,418,28.99
96086,309,36.56
81521,15781,17.27
80428,824,102.2
78411,25999,0.83
75501,35834,6.37
27831,3199,4.67
05905,711,24.14
24202,11319,23.84
98586,1640,29.85
44095,33340,6.15
74745,9499,53.68
24861,135,31.49
48509,8823,7.15
55962,752,29.75
55439,8996,6.39
55070,7810,22.0
55316,24478,5.55
06376,213,2.05
95451,11627,32.96
80013,72887,4.07
32456,8437,33.33
06409,466,9.91
95404,40474,3.89
83539,2293,64.59
52726,4716,10.56
32615,14630,16.73
67831,824,138.33
67140,916,27.53
70643,187,37.32
60633,12871,3.48
46915,584,22.94
20712,9496,2.59
42071,31614,20.84
01907,14950,3.08
70441,4357,30.54
01504,9246,3.27
49762,660,81.21
49434,6,23.63
49953,2519,127.87
49745,1013,71.31
04852,38,24.66
55604,3384,107.05
39470,11799,46.47
01360,2997,9.19
68327,301,72.68
03854,780,4.81
03576,2807,40.0
88260,15142,69.18
11235,78128,0.91
28152,25348,6.35
68071,2163,73.71
39482,11089,74.08
73945,2884,113.81
74960,13497,29.26
07066,15603,4.23
08561,320,5.33
16940,268,16.91
29455,22024,10.05
29575,18727,6.75
29690,23217,15.58
28553,326,13.58
35150,17448,31.47
36785,1039,37.63
35968,4584,26.73
36866,3758,31.25
86401,25709,19.1
72530,1282,59.76
71913,47060,35.75
72852,115,50.04
72112,10966,34.56
71677,192,82.4
72701,43641,15.09
71772,8,59.47
71770,3591,41.52
96094,6556,60.31
92557,52089,5.68
93225,4816,29.49
90211,7969,2.39
95140,115,12.63
93550,77006,11.62
95987,6119,37.05
95573,1554,25.99
96041,2797,44.13
93238,1015,36.81
90089,3862,2.02
95623,3730,17.74
95981,32,43.67
96006,380,88.64
93562,1723,83.95
81647,7333,63.06
80473,4,56.13
80537,43637,12.91
80030,16607,1.6
81022,1628,18.28
80544,119,7.53
81424,1000,51.81
80820,751,39.55
06266,538,3.43
06389,15,4.95
06608,13856,0.89
20551,0,0.31
32054,11724,17.52
32177,26377,25.22
34268,128,32.2
32612,7606,2.34
33026,31045,3.29
32430,1064,30.38
33855,0,35.24
31044,3463,14.2
31419,58252,6.73
31549,2157,26.46
30733,2143,7.72
47352,1064,27.58
47110,840,21.84
47160,113,13.94
47467,117,29.12
50515,260,101.62
50041,89,66.4
50652,95,57.88
50160,498,15.04
52166,107,61.15
50165,109,33.82
67117,1879,26.07
66522,58,60.46
66203,19290,5.57
55403,16588,1.26
55422,29243,4.55
18246,247,11.35
39630,785,69.62
39046,27639,20.25
39083,9774,39.44
38879,661,41.66
39455,9100,51.79
87521,835,21.74
87041,772,20.87
10459,48351,0.7
11425,0,3.11
10170,0,0.9
10032,64264,0.81
13368,1063,30.9
10152,0,1.09
11575,16546,3.61
11005,1749,0.49
14727,5225,25.45
11429,27403,2.52
11223,81789,0.86
10020,0,0.8
11103,36140,1.91
11412,37458,1.74
28658,27479,5.38
27587,66583,6.89
27534,32233,3.54
28785,7811,11.02
28327,16192,10.79
28280,0,2.91
28328,27225,28.17
27539,23436,5.7
27605,5490,2.98
58703,22581,4.29
58204,2347,79.36
58545,3573,53.22
58656,509,79.93
43004,26139,6.59
43136,690,7.33
43468,401,11.63
45229,13090,1.31
43842,330,12.82
45616,1461,16.81
45884,158,10.26
45041,87,2.78
45354,456,11.83
74017,28375,25.95
74463,2145,28.08
73841,1329,134.6
97108,505,39.53
97850,17180,42.03
97503,12338,17.82
18434,3899,4.04
17815,30375,18.74
16720,1250,41.32
16682,23,13.72
17888,273,23.11
16049,2951,20.59
15483,404,3.39
16201,17616,13.93
15034,1779,2.15
15035,2106,3.18
17343,19,19.14
65453,8643,68.02
64165,215,14.42
65259,3278,37.47
59525,298,189.09
59710,255,65.86
59018,519,30.37
59923,9282,46.82
59337,768,140.16
59261,506,201.94
68444,70,55.42
68118,10134,6.01
89318,1271,172.3
03824,16440,6.02
03586,629,18.93
08312,8261,4.99
07880,263,17.68
88038,341,75.8
88116,450,51.74
83626,1494,15.2
62682,986,25.03
60155,7829,1.03
62541,37,18.84
60203,4188,1.66
62085,192,20.51
61322,1454,24.37
60165,4923,0.29
60305,11064,1.23
06877,25092,5.54
90822,139,4.51
33785,5515,7.79
32336,1373,26.37
31320,8258,22.32
19945,6630,6.52
32666,7147,22.25
50478,773,79.98
83312,154,95.18
41005,24458,8.38
42164,16463,20.53
60053,23256,2.15
70653,3430,38.57
04945,1022,88.67
04742,3333,113.58
60640,69715,0.62
05039,1129,17.75
05674,1613,16.13
22938,1349,17.23
24256,3556,21.94
22546,16242,18.29
24382,13420,19.51
23002,9937,22.89
23943,84,39.98
24314,1522,26.08
24090,4934,16.09
23923,2499,35.01
24526,1366,16.93
22027,2124,2.56
78408,11787,0.78
99402,1578,87.91
98223,42880,10.19
99020,0,7.64
98158,0,3.43
26039,901,18.21
46766,865,23.55
66959,187,74.72
02666,493,22.73
41503,533,0.78
04412,9123,2.86
59872,2023,45.49
02672,281,6.5
59829,2308,74.25
08406,10232,1.79
17043,5706,2.14
17835,373,20.96
15413,593,9.66
15359,170,17.43
17570,206,10.83
15637,1530,8.26
29078,17393,23.23
29527,25916,13.11
29902,15826,14.44
29665,140,4.4
29450,3548,18.79
37090,15099,18.84
37055,27011,9.83
38340,12868,20.4
37160,33903,33.73
37351,375,5.75
38329,3643,23.12
37050,1325,24.33
38068,10741,31.63
75287,54882,3.3
38126,6407,2.4
79108,16083,10.41
77086,29178,5.66
79227,1431,72.3
75670,18056,19.82
75654,12450,26.07
75568,2459,35.56
75446,3398,36.01
76457,3764,57.26
77342,0,29.31
79546,1700,52.15
75845,3137,25.27
76523,0,20.49
78013,6143,38.98
79344,92,64.1
76689,3359,22.54
79369,135,30.7
84042,10809,3.04
84317,2083,19.38
84725,1699,32.33
84714,344,52.88
40011,2617,22.1
41171,5199,25.76
42754,16309,26.51
40360,6875,38.7
40448,49,26.39
42743,9145,37.09
71018,1363,29.06
71115,15659,19.04
70836,0,2.43
70058,38334,2.81
70748,7114,31.62
71404,734,33.53
04940,0,20.93
04427,2830,16.46
04763,756,73.7
04969,1270,19.77
04932,1192,16.38
04928,2032,24.3
21628,531,10.73
01022,2499,1.62
02111,7926,0.95
02763,1771,1.89
48125,20399,3.61
48070,6340,2.57
50473,408,73.08
48362,16056,8.89
59450,503,125.76
31207,1107,1.92
62695,216,28.08
66622,100,2.39
40506,2544,1.57
50142,933,45.98
93614,11676,29.86
19710,0,3.13
20390,359,0.91
20052,751,0.21
98267,346,43.74
13210,28234,2.24
12997,1199,28.55
76629,1627,39.58
15777,96,20.49
77460,77,54.63
97041,2825,42.73
16161,680,1.41
17974,244,17.19
86406,22995,12.39
36401,8109,39.66
72958,7089,40.91
35973,2856,24.25
94118,41468,1.45
60636,32203,0.99
60457,14018,3.84
62537,76,7.35
60645,47732,0.87
61419,114,30.5
61426,109,27.33
60604,782,1.06
61606,7870,0.89
46322,22743,5.23
47567,6117,18.19
47424,8842,17.94
47584,140,26.04
46063,502,15.85
01543,8586,11.38
07620,1521,2.1
24931,1348,29.51
24747,3050,28.68
25276,7814,31.07
25855,168,9.93
25156,171,17.67
25871,713,5.58
98562,0,25.68
25434,2696,22.09
24869,487,26.23
25913,248,21.2
82935,13002,110.33
07762,8232,3.76
82513,1585,158.89
82844,18,93.95
99119,1088,57.09
73939,1709,99.87
30738,3766,13.12
81055,1443,43.47
80938,112,6.31
80452,3091,27.48
80423,225,72.22
06851,26671,2.86
