COUNTYFP,total,IntSub,IntNoSub,noInt,IntSubPct,IntNoSubPct,NoIntPct,year
5019,8446,5815,482,2149,68.85,5.71,25.44,2019
5021,6444,4331,339,1774,67.21,5.26,27.53,2019
5023,10783,8187,316,2280,75.93,2.93,21.14,2019
5025,3217,1971,130,1116,61.27,4.04,34.69,2019
5027,8562,5371,427,2764,62.73,4.99,32.28,2019
5029,8309,5459,363,2487,65.7,4.37,29.93,2019
5031,41375,33822,2098,5455,81.75,5.07,13.18,2019
5033,23958,17597,1004,5357,73.45,4.19,22.36,2019
5035,19074,14612,467,3995,76.61,2.45,20.94,2019
5037,6653,4698,292,1663,70.61,4.39,25,2019
5039,2969,1750,159,1060,58.94,5.36,35.7,2019
5041,5204,2900,179,2125,55.73,3.44,40.83,2019
5043,7157,4990,434,1733,69.72,6.06,24.21,2019
5045,44575,36047,2240,6288,80.87,5.03,14.11,2019
5047,6723,4311,370,2042,64.12,5.5,30.37,2019
5049,4973,2880,715,1378,57.91,14.38,27.71,2019
5051,40209,31719,1129,7361,78.89,2.81,18.31,2019
5053,6863,5116,290,1457,74.54,4.23,21.23,2019
5055,17254,13238,796,3220,76.72,4.61,18.66,2019
5057,8094,5914,204,1976,73.07,2.52,24.41,2019
5059,12599,8175,459,3965,64.89,3.64,31.47,2019
5061,5142,3416,289,1437,66.43,5.62,27.95,2019
5063,14322,8711,1557,4054,60.82,10.87,28.31,2019
5065,4851,2630,1015,1206,54.22,20.92,24.86,2019
5067,6137,4039,275,1823,65.81,4.48,29.71,2019
5069,26801,16333,1609,8859,60.94,6,33.05,2019
5071,9682,6290,225,3167,64.97,2.32,32.71,2019
5073,2784,1734,98,952,62.28,3.52,34.2,2019
5075,6463,4481,327,1655,69.33,5.06,25.61,2019
5077,3206,1917,38,1251,59.79,1.19,39.02,2019
5079,3773,2091,307,1375,55.42,8.14,36.44,2019
5081,5363,3694,144,1525,68.88,2.69,28.44,2019
5083,8417,6006,277,2134,71.36,3.29,25.35,2019
5085,26895,21658,765,4472,80.53,2.84,16.63,2019
5087,6279,4092,402,1785,65.17,6.4,28.43,2019
5089,6782,5286,100,1396,77.94,1.47,20.58,2019
5091,16426,12200,571,3655,74.27,3.48,22.25,2019
5093,16389,11950,1014,3425,72.91,6.19,20.9,2019
5095,3333,1918,75,1340,57.55,2.25,40.2,2019
5097,3754,2300,189,1265,61.27,5.03,33.7,2019
5099,3397,2188,42,1167,64.41,1.24,34.35,2019
5101,2936,1765,149,1022,60.12,5.07,34.81,2019
5103,9658,6574,229,2855,68.07,2.37,29.56,2019
5105,3668,2487,77,1104,67.8,2.1,30.1,2019
5107,7485,4911,159,2415,65.61,2.12,32.26,2019
5109,4280,2875,134,1271,67.17,3.13,29.7,2019
5111,9526,7114,307,2105,74.68,3.22,22.1,2019
5113,8243,5812,474,1957,70.51,5.75,23.74,2019
5115,22579,17032,698,4849,75.43,3.09,21.48,2019
5117,3776,2207,253,1316,58.45,6.7,34.85,2019
5119,158051,124430,6201,27420,78.73,3.92,17.35,2019
5121,7355,5081,398,1876,69.08,5.41,25.51,2019
5123,9388,5457,662,3269,58.13,7.05,34.82,2019
5125,44075,36867,1107,6101,83.65,2.51,13.84,2019
5127,3944,2313,148,1483,58.65,3.75,37.6,2019
5129,3327,2058,206,1063,61.86,6.19,31.95,2019
5131,51228,38916,2018,10294,75.97,3.94,20.09,2019
5133,5885,4481,175,1229,76.14,2.97,20.88,2019
5135,7447,4394,823,2230,59,11.05,29.94,2019
5137,4787,2478,964,1345,51.77,20.14,28.1,2019
5139,15726,9889,1055,4782,62.88,6.71,30.41,2019
5141,6813,4460,352,2001,65.46,5.17,29.37,2019
5143,87325,69486,5620,12219,79.57,6.44,13.99,2019
5145,29055,22115,873,6067,76.11,3,20.88,2019
5147,2932,1569,40,1323,53.51,1.36,45.12,2019
5149,7503,5339,145,2019,71.16,1.93,26.91,2019
6001,577177,514286,12264,50627,89.1,2.12,8.77,2019
6003,350,301,14,35,86,4,10,2019
6005,14594,12488,412,1694,85.57,2.82,11.61,2019
6007,85320,73174,2128,10018,85.76,2.49,11.74,2019
6009,16942,14165,521,2256,83.61,3.08,13.32,2019
6011,7227,5872,93,1262,81.25,1.29,17.46,2019
6013,394769,362591,6028,26150,91.85,1.53,6.62,2019
6015,9945,7961,491,1493,80.05,4.94,15.01,2019
6017,70974,62191,1606,7177,87.63,2.26,10.11,2019
6019,307906,247727,8477,51702,80.46,2.75,16.79,2019
6021,10085,7273,384,2428,72.12,3.81,24.08,2019
6023,54679,45836,1368,7475,83.83,2.5,13.67,2019
6025,44829,34963,1261,8605,77.99,2.81,19.2,2019
6027,7950,6397,280,1273,80.47,3.52,16.01,2019
6029,270282,216465,7981,45836,80.09,2.95,16.96,2019
6031,43452,35131,1111,7210,80.85,2.56,16.59,2019
6033,25660,19758,546,5356,77,2.13,20.87,2019
6035,9280,7394,181,1705,79.68,1.95,18.37,2019
6037,3316795,2803857,96302,416636,84.54,2.9,12.56,2019
6039,44881,35975,1276,7630,80.16,2.84,17,2019
6041,105432,96487,2349,6596,91.52,2.23,6.26,2019
6043,7643,5886,245,1512,77.01,3.21,19.78,2019
6045,34408,28141,821,5446,81.79,2.39,15.83,2019
6047,80008,67516,1755,10737,84.39,2.19,13.42,2019
6049,3616,2536,94,986,70.13,2.6,27.27,2019
6051,4765,4031,127,607,84.6,2.67,12.74,2019
6053,127155,107372,2409,17374,84.44,1.89,13.66,2019
6055,48705,43501,1047,4157,89.32,2.15,8.54,2019
6057,40855,35231,945,4679,86.23,2.31,11.45,2019
6059,1037492,944471,18767,74254,91.03,1.81,7.16,2019
6061,142855,128427,3270,11158,89.9,2.29,7.81,2019
6063,8450,6634,200,1616,78.51,2.37,19.12,2019
6065,724893,629915,15645,79333,86.9,2.16,10.94,2019
6067,543025,479284,12060,51681,88.26,2.22,9.52,2019
6069,18135,16411,264,1460,90.49,1.46,8.05,2019
6071,636041,538250,28152,69639,84.63,4.43,10.95,2019
6073,1125286,1016635,20228,88423,90.34,1.8,7.86,2019
6075,362354,318105,8609,35640,87.79,2.38,9.84,2019
6077,228567,190449,5325,32793,83.32,2.33,14.35,2019
6079,105981,93705,2530,9746,88.42,2.39,9.2,2019
6081,263543,240433,4189,18921,91.23,1.59,7.18,2019
6083,145856,128775,3676,13405,88.29,2.52,9.19,2019
6085,640215,589320,12317,38578,92.05,1.92,6.03,2019
6087,95818,83879,2250,9689,87.54,2.35,10.11,2019
6089,71181,57633,2508,11040,80.97,3.52,15.51,2019
6091,1319,992,46,281,75.21,3.49,21.3,2019
6093,19240,15591,394,3255,81.03,2.05,16.92,2019
6095,149865,135975,2534,11356,90.73,1.69,7.58,2019
6097,189374,170228,4203,14943,89.89,2.22,7.89,2019
6099,173898,147966,2904,23028,85.09,1.67,13.24,2019
6101,32636,27125,686,4825,83.11,2.1,14.78,2019
6103,24189,18509,624,5056,76.52,2.58,20.9,2019
6105,5939,4077,99,1763,68.65,1.67,29.69,2019
6107,138238,107781,3943,26514,77.97,2.85,19.18,2019
6109,22502,18638,550,3314,82.83,2.44,14.73,2019
6111,271040,239530,4310,27200,88.37,1.59,10.04,2019
6113,74296,65778,1869,6649,88.54,2.52,8.95,2019
6115,26354,22003,698,3653,83.49,2.65,13.86,2019
8001,166450,142150,3388,20912,85.4,2.04,12.56,2019
8003,6162,4695,205,1262,76.19,3.33,20.48,2019
8005,240304,216601,5569,18134,90.14,2.32,7.55,2019
8007,5858,4909,128,821,83.8,2.19,14.02,2019
8009,1662,1186,49,427,71.36,2.95,25.69,2019
8011,1767,1294,17,456,73.23,0.96,25.81,2019
8013,127415,116342,3249,7824,91.31,2.55,6.14,2019
8014,27470,25593,694,1183,93.17,2.53,4.31,2019
8015,8231,6770,268,1193,82.25,3.26,14.49,2019
8017,774,639,8,127,82.56,1.03,16.41,2019
8019,4395,3719,192,484,84.62,4.37,11.01,2019
8021,3183,2172,119,892,68.24,3.74,28.02,2019
8023,1746,1207,39,500,69.13,2.23,28.64,2019
8025,1301,998,37,266,76.71,2.84,20.45,2019
8027,2214,1871,61,282,84.51,2.76,12.74,2019
8029,11883,8979,340,2564,75.56,2.86,21.58,2019
8031,301501,261979,9393,30129,86.89,3.12,9.99,2019
8033,759,500,22,237,65.88,2.9,31.23,2019
8035,120709,116203,1504,3002,96.27,1.25,2.49,2019
8037,18171,16347,612,1212,89.96,3.37,6.67,2019
8039,9280,8472,188,620,91.29,2.03,6.68,2019
8041,257507,234483,4867,18157,91.06,1.89,7.05,2019
8043,17136,14317,587,2232,83.55,3.43,13.03,2019
8045,21498,18635,377,2486,86.68,1.75,11.56,2019
8047,2802,2516,8,278,89.79,0.29,9.92,2019
8049,5884,5262,31,591,89.43,0.53,10.04,2019
8051,6616,5711,282,623,86.32,4.26,9.42,2019
8053,377,278,6,93,73.74,1.59,24.67,2019
8055,3225,2105,229,891,65.27,7.1,27.63,2019
8057,558,440,0,118,78.85,0,21.15,2019
8059,232284,210447,5264,16573,90.6,2.27,7.13,2019
8061,638,540,8,90,84.64,1.25,14.11,2019
8063,3004,2441,53,510,81.26,1.76,16.98,2019
8065,3392,2744,78,570,80.9,2.3,16.8,2019
8067,21794,17062,1220,3512,78.29,5.6,16.11,2019
8069,137021,122825,4769,9427,89.64,3.48,6.88,2019
8071,6670,4726,369,1575,70.85,5.53,23.61,2019
8073,1518,1188,70,260,78.26,4.61,17.13,2019
8075,8393,7040,296,1057,83.88,3.53,12.59,2019
8077,61742,53349,1302,7091,86.41,2.11,11.48,2019
8079,367,304,18,45,82.83,4.9,12.26,2019
8081,5366,4302,160,904,80.17,2.98,16.85,2019
8083,10655,7550,519,2586,70.86,4.87,24.27,2019
8085,17140,13412,378,3350,78.25,2.21,19.54,2019
8087,10928,9144,209,1575,83.67,1.91,14.41,2019
8089,7722,5570,221,1931,72.13,2.86,25.01,2019
8091,2163,1877,86,200,86.78,3.98,9.25,2019
8093,6931,5832,130,969,84.14,1.88,13.98,2019
8095,1689,1349,32,308,79.87,1.89,18.24,2019
8097,7467,7024,205,238,94.07,2.75,3.19,2019
8099,4888,3775,66,1047,77.23,1.35,21.42,2019
8101,64314,49331,2434,12549,76.7,3.78,19.51,2019
8103,2301,1892,81,328,82.23,3.52,14.25,2019
8105,4823,3086,281,1456,63.99,5.83,30.19,2019
8107,9603,8845,125,633,92.11,1.3,6.59,2019
8109,2860,1916,208,736,66.99,7.27,25.73,2019
8111,289,228,16,45,78.89,5.54,15.57,2019
8113,3552,3045,184,323,85.73,5.18,9.09,2019
8115,967,729,47,191,75.39,4.86,19.75,2019
8117,10641,8943,619,1079,84.04,5.82,10.14,2019
8119,10248,9231,323,694,90.08,3.15,6.77,2019
8121,2087,1718,35,334,82.32,1.68,16,2019
8123,104671,90366,3055,11250,86.33,2.92,10.75,2019
8125,4028,3051,211,766,75.74,5.24,19.02,2019
9001,340189,302161,7370,30658,88.82,2.17,9.01,2019
9003,350408,295089,9557,45762,84.21,2.73,13.06,2019
9005,74143,64632,1682,7829,87.17,2.27,10.56,2019
9007,66971,58063,1786,7122,86.7,2.67,10.63,2019
9009,330572,276814,9169,44589,83.74,2.77,13.49,2019
9011,107827,93528,2377,11922,86.74,2.2,11.06,2019
9013,55683,49334,1672,4677,88.6,3,8.4,2019
9015,44953,37809,1064,6080,84.11,2.37,13.53,2019
10001,65796,56320,1103,8373,85.6,1.68,12.73,2019
10003,205829,178710,7713,19406,86.82,3.75,9.43,2019
10005,91697,74642,1896,15159,81.4,2.07,16.53,2019
11001,284386,235534,8859,39993,82.82,3.12,14.06,2019
12001,97995,83969,3577,10449,85.69,3.65,10.66,2019
12003,8693,6814,364,1515,78.38,4.19,17.43,2019
12005,71422,61102,1606,8714,85.55,2.25,12.2,2019
12007,9115,6533,142,2440,71.67,1.56,26.77,2019
12009,230417,202017,5167,23233,87.67,2.24,10.08,2019
12011,690050,584696,27092,78262,84.73,3.93,11.34,2019
12013,4501,3071,188,1242,68.23,4.18,27.59,2019
12015,76891,65528,1593,9770,85.22,2.07,12.71,2019
12017,63681,52710,1837,9134,82.77,2.88,14.34,2019
12019,74333,67556,1288,5489,90.88,1.73,7.38,2019
12021,142979,122350,5101,15528,85.57,3.57,10.86,2019
12023,25133,19858,957,4318,79.01,3.81,17.18,2019
12027,12072,7011,522,4539,58.08,4.32,37.6,2019
12029,6504,3856,343,2305,59.29,5.27,35.44,2019
12031,359544,302638,11473,45433,84.17,3.19,12.64,2019
12033,120104,99946,3886,16272,83.22,3.24,13.55,2019
12035,42121,32491,4416,5214,77.14,10.48,12.38,2019
12037,4444,3478,141,825,78.26,3.17,18.56,2019
12039,17149,10418,454,6277,60.75,2.65,36.6,2019
12041,6464,4292,352,1820,66.4,5.45,28.16,2019
12043,4700,2831,230,1639,60.23,4.89,34.87,2019
12045,5757,4356,62,1339,75.66,1.08,23.26,2019
12047,4381,2872,151,1358,65.56,3.45,31,2019
12049,7863,4803,304,2756,61.08,3.87,35.05,2019
12051,12527,8334,479,3714,66.53,3.82,29.65,2019
12053,75348,63779,2133,9436,84.65,2.83,12.52,2019
12055,41740,31425,1155,9160,75.29,2.77,21.95,2019
12057,526175,461157,12860,52158,87.64,2.44,9.91,2019
12059,7092,5180,296,1616,73.04,4.17,22.79,2019
12061,58612,48384,1339,8889,82.55,2.28,15.17,2019
12063,17149,12360,310,4479,72.07,1.81,26.12,2019
12065,5770,4266,175,1329,73.93,3.03,23.03,2019
12067,2175,1707,8,460,78.48,0.37,21.15,2019
12069,134317,115546,3658,15113,86.02,2.72,11.25,2019
12071,275965,236502,10870,28593,85.7,3.94,10.36,2019
12073,113658,100280,3354,10024,88.23,2.95,8.82,2019
12075,16374,11176,527,4671,68.25,3.22,28.53,2019
12077,2459,1661,97,701,67.55,3.94,28.51,2019
12079,6778,4047,290,2441,59.71,4.28,36.01,2019
12081,145356,121584,7424,16348,83.65,5.11,11.25,2019
12083,139172,113387,3424,22361,81.47,2.46,16.07,2019
12085,64528,55354,1963,7211,85.78,3.04,11.17,2019
12086,883372,680612,38639,164121,77.05,4.37,18.58,2019
12087,32068,26838,1569,3661,83.69,4.89,11.42,2019
12089,32603,28493,991,3119,87.39,3.04,9.57,2019
12091,77962,65562,4458,7942,84.09,5.72,10.19,2019
12093,13904,8634,885,4385,62.1,6.37,31.54,2019
12095,461705,403582,10388,47735,87.41,2.25,10.34,2019
12097,103141,85326,4122,13693,82.73,4,13.28,2019
12099,554095,472626,16539,64930,85.3,2.98,11.72,2019
12101,204198,169203,7666,27329,82.86,3.75,13.38,2019
12103,407546,339005,14232,54309,83.18,3.49,13.33,2019
12105,235283,166127,26770,42386,70.61,11.38,18.01,2019
12107,28943,21105,979,6859,72.92,3.38,23.7,2019
12109,88773,77935,3749,7089,87.79,4.22,7.99,2019
12111,114761,97692,3312,13757,85.13,2.89,11.99,2019
12113,63514,56735,1545,5234,89.33,2.43,8.24,2019
12115,182842,156091,6784,19967,85.37,3.71,10.92,2019
12117,173668,156851,3159,13658,90.32,1.82,7.86,2019
12119,56230,48694,1456,6080,86.6,2.59,10.81,2019
12121,14888,11695,355,2838,78.55,2.38,19.06,2019
12123,7405,5145,429,1831,69.48,5.79,24.73,2019
12125,3960,2757,124,1079,69.62,3.13,27.25,2019
12127,216495,174327,6517,35651,80.52,3.01,16.47,2019
12129,11200,8888,595,1717,79.36,5.31,15.33,2019
12131,27420,22633,977,3810,82.54,3.56,13.89,2019
12133,8827,6687,221,1919,75.76,2.5,21.74,2019
13001,6656,4121,354,2181,61.91,5.32,32.77,2019
13003,2880,1790,180,910,62.15,6.25,31.6,2019
13005,3874,2581,194,1099,66.62,5.01,28.37,2019
13007,1425,721,62,642,50.6,4.35,45.05,2019
13009,16191,12187,608,3396,75.27,3.76,20.97,2019
13011,6740,4521,256,1963,67.08,3.8,29.12,2019
13013,26305,22239,549,3517,84.54,2.09,13.37,2019
13015,37627,30187,1854,5586,80.23,4.93,14.85,2019
13017,6443,3600,553,2290,55.87,8.58,35.54,2019
13019,7367,4649,371,2347,63.11,5.04,31.86,2019
13021,58116,43862,1941,12313,75.47,3.34,21.19,2019
13023,4176,2930,156,1090,70.16,3.74,26.1,2019
13025,6823,4574,640,1609,67.04,9.38,23.58,2019
13027,6335,4284,390,1661,67.62,6.16,26.22,2019
13029,13048,11407,141,1500,87.42,1.08,11.5,2019
13031,27375,21291,1173,4911,77.78,4.28,17.94,2019
13033,8193,5928,118,2147,72.35,1.44,26.21,2019
13035,8279,5779,538,1962,69.8,6.5,23.7,2019
13037,1736,1101,63,572,63.42,3.63,32.95,2019
13039,19338,16324,795,2219,84.41,4.11,11.47,2019
13043,4013,2559,141,1313,63.77,3.51,32.72,2019
13045,41903,34415,1751,5737,82.13,4.18,13.69,2019
13047,24778,20754,449,3575,83.76,1.81,14.43,2019
13049,3675,2419,220,1036,65.82,5.99,28.19,2019
13051,108568,92823,2684,13061,85.5,2.47,12.03,2019
13053,2570,2007,50,513,78.09,1.95,19.96,2019
13055,9260,6466,218,2576,69.83,2.35,27.82,2019
13057,88137,81469,1109,5559,92.43,1.26,6.31,2019
13059,48844,40281,1791,6772,82.47,3.67,13.86,2019
13061,1242,861,60,321,69.32,4.83,25.85,2019
13063,94279,75816,4341,14122,80.42,4.6,14.98,2019
13065,2477,1232,228,1017,49.74,9.2,41.06,2019
13067,280374,257323,4216,18835,91.78,1.5,6.72,2019
13069,14438,9616,666,4156,66.6,4.61,28.79,2019
13071,15505,11233,401,3871,72.45,2.59,24.97,2019
13073,47215,39711,1104,6400,84.11,2.34,13.56,2019
13075,6217,4036,474,1707,64.92,7.62,27.46,2019
13077,52035,44656,1452,5927,85.82,2.79,11.39,2019
13079,4510,3314,136,1060,73.48,3.02,23.5,2019
13081,8585,5223,382,2980,60.84,4.45,34.71,2019
13083,6195,4687,193,1315,75.66,3.12,21.23,2019
13085,9041,7708,380,953,85.26,4.2,10.54,2019
13087,10084,5623,540,3921,55.76,5.36,38.88,2019
13089,282436,240470,9303,32663,85.14,3.29,11.56,2019
13091,7628,4680,204,2744,61.35,2.67,35.97,2019
13093,5020,3003,160,1857,59.82,3.19,36.99,2019
13095,34087,25066,1390,7631,73.54,4.08,22.39,2019
13097,49187,39521,4577,5089,80.35,9.31,10.35,2019
13099,4074,2003,128,1943,49.17,3.14,47.69,2019
13101,1561,740,67,754,47.41,4.29,48.3,2019
13103,21172,17250,754,3168,81.48,3.56,14.96,2019
13105,7559,4568,260,2731,60.43,3.44,36.13,2019
13107,8387,5826,249,2312,69.46,2.97,27.57,2019
13109,4020,2784,204,1032,69.25,5.07,25.67,2019
13111,10408,8735,157,1516,83.93,1.51,14.57,2019
13113,40285,36369,968,2948,90.28,2.4,7.32,2019
13115,35679,27851,955,6873,78.06,2.68,19.26,2019
13117,76753,72106,733,3914,93.95,0.96,5.1,2019
13119,8460,5822,353,2285,68.82,4.17,27.01,2019
13121,410576,351813,18733,40030,85.69,4.56,9.75,2019
13123,12021,9304,263,2454,77.4,2.19,20.41,2019
13125,1108,737,27,344,66.52,2.44,31.05,2019
13127,34119,26625,1043,6451,78.04,3.06,18.91,2019
13129,20561,14906,1238,4417,72.5,6.02,21.48,2019
13131,9136,6468,115,2553,70.8,1.26,27.94,2019
13133,7132,5115,269,1748,71.72,3.77,24.51,2019
13135,293330,260307,5022,28001,88.74,1.71,9.55,2019
13137,15139,10804,590,3745,71.37,3.9,24.74,2019
13139,64352,55372,1098,7882,86.05,1.71,12.25,2019
13141,2974,1418,157,1399,47.68,5.28,47.04,2019
13143,11259,8704,156,2399,77.31,1.39,21.31,2019
13145,12156,10253,368,1535,84.35,3.03,12.63,2019
13147,9853,6978,409,2466,70.82,4.15,25.03,2019
13149,4502,3218,60,1224,71.48,1.33,27.19,2019
13151,75984,67256,3072,5656,88.51,4.04,7.44,2019
13153,57056,47784,1540,7732,83.75,2.7,13.55,2019
13155,3329,2067,148,1114,62.09,4.45,33.46,2019
13157,23166,18515,579,4072,79.92,2.5,17.58,2019
13159,5171,3795,159,1217,73.39,3.07,23.54,2019
13161,5279,3235,400,1644,61.28,7.58,31.14,2019
13163,5664,3457,83,2124,61.03,1.47,37.5,2019
13165,3443,1983,104,1356,57.6,3.02,39.38,2019
13167,3393,2050,208,1135,60.42,6.13,33.45,2019
13169,10701,8557,212,1932,79.96,1.98,18.05,2019
13171,6494,4609,320,1565,70.97,4.93,24.1,2019
13173,3714,2111,412,1191,56.84,11.09,32.07,2019
13175,17142,10451,604,6087,60.97,3.52,35.51,2019
13177,10226,8593,120,1513,84.03,1.17,14.8,2019
13179,23485,20487,377,2621,87.23,1.61,11.16,2019
13181,3475,1847,176,1452,53.15,5.06,41.78,2019
13183,5695,4604,300,791,80.84,5.27,13.89,2019
13185,41282,27398,4767,9117,66.37,11.55,22.08,2019
