"ZCTA","minDisFQHC","timeDrive","countDrive"
1826,3.38,7.24,33
1827,3.99,12.22,20
1830,2.09,0,26
1832,3.67,5.04,27
1833,8.43,16,24
1834,5.04,7.55,20
1835,2.29,5.15,26
1840,0.24,0,29
1841,0.24,0,29
1843,0.63,0,29
1844,1.11,0,28
1845,4.43,9.53,28
1850,0.93,5.07,33
1851,1.03,0,37
1852,1.39,0,37
1854,1.7,0,37
1860,6.98,10.05,22
1862,5.92,10.44,34
1863,2.04,7.31,37
1864,8.57,16.99,73
1867,9.11,16.12,137
1876,0.73,0,30
1879,3.2,0,28
1880,6.45,12.51,125
1886,7.37,12.36,28
1887,6,9.42,83
1890,5.79,11.58,122
1901,0.28,0,128
1902,0.24,0,128
1904,2.14,4.47,110
1905,0.46,0,128
1906,1.98,4.95,128
1907,1.65,5.29,106
1908,3.4,8.06,104
1913,11.32,14.58,24
1915,1.77,0,55
1921,8.74,23.51,32
1922,11.36,21.98,8
1923,2.95,8.19,59
1929,6.72,11.49,14
1930,0.65,0,14
1937,3.93,12.6,73
1938,12.01,21.69,14
1940,4.47,12.93,110
1944,7.12,10.84,43
1945,2.21,8.31,83
1949,6.33,14.04,68
1950,13.32,21.02,7
1951,15.64,27.15,4
1952,14.32,21.2,9
1960,1.02,0,71
1966,4.8,9,3
1969,13.86,22.6,16
1970,0.26,0,86
1982,6.58,11.29,43
1983,8.29,13.2,62
1984,3.87,8.75,43
1985,7.48,15.1,19
2019,5.59,10.53,21
2021,9.14,15.65,81
2025,3.83,11.53,8
2026,6.2,12.32,94
2030,9.73,23.46,24
2032,13.08,23.94,38
2035,12.56,22.96,18
2038,8.42,17.37,7
2043,4.64,11.79,35
2045,2.51,0,5
2048,8.17,21.04,16
2052,11.44,20.78,11
2053,6.73,14.09,8
2054,10.66,20.16,8
2056,13.18,26.57,7
2061,10,21.28,26
2062,10.51,19.51,68
2066,8.93,19.32,1
2067,8.83,20.98,19
2071,14.69,28.14,9
2072,5.21,10.78,56
2081,15.2,26.44,18
2090,9.32,18.82,76
2093,10.03,22.2,11
2108,0.28,2.38,132
2109,0.04,3.36,133
2110,0.47,0,132
2111,0.1,0,132
2113,0.14,0,132
2114,0.09,0,132
2115,0.41,2.74,129
2116,0.18,0,129
2118,0.28,0,129
2119,0.21,0,121
2120,0.31,0,121
2121,0.31,0,126
2122,1.45,0,126
2124,0.34,0,126
2125,0.53,0,121
2126,0.41,0,113
2127,0.66,0,129
2128,1.17,0,133
2129,0.06,0,132
2130,0.96,0,121
2131,2.15,6.36,97
2132,4.44,9.84,96
2134,0.44,0,123
2135,0.88,0,123
2136,2.81,6.23,97
2138,1.2,0,121
2139,0.18,0,121
2140,2.01,4.5,121
2141,1.16,4.14,132
2142,0.93,3.87,132
2143,0.2,0,129
2144,2.46,4.94,130
2145,1.31,4.62,134
2148,1.75,0,135
2149,1.86,4.08,134
2150,1.45,4.69,133
2151,0.34,0,133
2152,0.53,0,132
2155,2.31,6.25,137
2163,0.77,4.47,122
2169,0.97,0,97
2170,0.79,3.56,127
2171,1.36,0,127
2176,3.73,5.54,138
2180,5.46,10.5,151
2184,4.35,13.13,86
2186,2.76,5.06,96
2188,3.97,8.04,89
2189,4.7,11.69,74
2190,7.77,13.42,78
2191,1.87,11.17,74
2199,0.7,7.04,121
2203,0.12,0,132
2210,0.14,0,129
2215,0.44,0,129
2301,0.94,0,28
2302,1.49,4.92,27
2322,4.24,9.51,65
2324,9.97,17.07,7
2330,10.82,22.06,4
2332,6.62,24.56,1
2333,7.06,17.39,7
2338,12.19,29.09,6
2339,11.79,22.06,21
2341,10.55,21.54,5
2343,5.75,10.62,72
2346,15.64,21.9,3
2347,11.63,21.13,5
2351,5.06,13.76,26
2356,4.18,11.58,7
2357,1.69,11.41,16
2359,11.28,27.34,6
2360,10.1,0,3
2364,4.23,17.12,1
2366,12.06,18.28,1
2367,8.54,24.48,3
2368,8.32,14.62,87
2370,8.56,17.48,26
2375,5.6,16.61,7
2379,4.44,11.1,7
2382,5.55,11.5,9
2420,8.03,14.19,82
2421,6.53,10.35,97
2445,1.98,4.9,121
2446,1.39,3.08,121
2451,3.69,5.27,81
2452,2.15,5.2,85
2453,1.48,0,88
2457,7.58,15.2,75
2458,1.51,6.04,123
2459,4.03,9.37,94
2460,1.89,4.75,104
2461,4.53,9.15,94
2462,4.6,7.58,88
2464,5.32,11.8,92
2465,2.08,4.42,90
2466,3.2,4.67,90
2467,3.12,8.36,94
2468,4.14,8.5,94
2472,1.75,7.72,123
2474,5,8.85,123
2476,5.23,10.16,117
2478,3.62,8.07,119
2481,6.62,14.22,71
2482,7.32,14.64,71
2492,9.01,15.11,95
2493,5.72,9,76
2494,6.7,12.76,91
2532,2.31,0,5
2534,6.17,14.18,3
2536,4.52,10.1,5
2537,5.29,8.08,10
2538,6.32,14.74,2
2540,1.51,0,3
2542,3.56,16.14,4
2543,10.36,11.92,2
2553,2.72,12.54,4
2556,7.32,11.3,4
2558,4.97,8.5,2
2559,3.99,14.53,4
2561,2.3,11.93,10
2562,2.79,11.16,5
2563,4.43,0,9
2571,8.46,13.46,3
2576,13.19,19.15,3
2601,0.91,0,9
2630,2.74,10.15,9
2631,7.09,16.24,2
2632,1.22,0,8
2633,6.32,12.89,2
2635,3.77,6.1,8
2637,3.31,11.28,9
2638,4.61,6.28,7
2639,2.81,8.55,7
2641,5.19,8.12,7
2642,10.58,13.49,2
2643,12.28,26.31,2
2644,6.6,8.88,9
2645,3.11,8.86,7
2646,0.8,0,6
2647,2.53,5.79,9
2648,6.08,11.73,9
2649,0.97,0,9
2650,7.2,14.59,2
2651,6.87,10.86,1
2652,6.31,12.67,2
2653,10.88,19.61,3
2655,5.03,7.73,9
2657,1.02,0,2
2659,2.87,7.85,2
2660,1.05,0,7
2663,4.33,6.46,2
2664,3.6,8.88,9
2666,4.16,11.33,2
2667,1.91,0,2
2668,5.3,10.48,9
2669,4.67,10.2,2
2670,3.55,8.66,7
2671,3.41,5.94,7
2672,2.24,6.86,8
2673,1.92,8.47,9
2675,5.38,7.45,9
2702,8.3,12.53,8
2703,7.33,12.88,34
2715,8.55,16.13,6
2717,11.78,13.63,7
2718,6.73,11.75,10
2719,3.61,5.11,5
2720,2.1,0,20
2721,1.82,0,26
2723,0.69,4.63,26
2724,1.17,0,26
2725,2.41,7.89,34
2726,4.35,12.18,18
2738,12.47,21.19,3
2739,8.07,11.75,6
2740,0.84,0,5
2743,7.4,13.58,5
2744,2.73,5.26,5
2745,6.01,9.55,7
2746,2.58,4.93,5
2747,6.89,8.52,5
2748,7.89,9.24,5
2760,8.01,15.67,32
2762,10.36,21.51,20
2763,8.82,15.49,32
2764,5.94,11.23,23
2766,3.93,13.57,19
2767,4.7,10.17,9
2769,7.99,17.52,33
2771,4.54,12.33,43
2777,5.69,10.93,35
2779,6.35,13.6,5
2780,1.56,0,10
2790,9.48,16.66,5
2791,14.51,22.63,5
2802,5.29,9.77,32
2804,5.85,12.76,4
2806,1.83,0,32
2808,6.91,13.58,5
2809,5.25,13.95,16
2812,5.75,15.79,2
2813,9.63,19.46,3
2814,5.42,11.5,26
2815,7.36,9.46,15
2816,5.56,0,24
2817,10.85,16.82,8
2818,5.36,12.23,29
2822,10.16,20.75,7
2825,3.38,0,14
2826,4.79,12.55,17
2827,10.69,17.78,9
2828,4.01,8.23,42
2830,4.32,8.56,17
2831,6.16,12.38,23
2832,1.91,0,10
2833,2.92,11.66,4
2835,4.43,12.3,9
2836,8.58,20.27,4
2837,9.3,27.13,2
2838,3.69,5.86,38
2839,4.31,10.74,17
2840,1.35,0,8
2841,0.82,8.51,8
2842,1.57,8.17,9
2852,1.79,0,17
2857,4.07,0,43
2858,3.79,9.59,21
2859,3.09,0,15
2860,0.64,0,38
2861,2.24,7.23,40
2863,0.29,0,38
2864,5.53,11.02,32
2865,4.51,7.13,38
2871,6.35,18.13,13
2873,4.75,5.24,4
2874,7.1,13.67,10
2875,7.45,19.65,3
2876,5.21,12.64,29
2878,7.59,10.64,6
2879,3.02,0,3
2881,3.9,11.32,10
2882,2.51,7.97,10
2885,2.06,6.27,32
2886,0.67,0,36
2888,2.84,6.57,35
2889,2.67,0,34
2891,2.33,0,9
2892,8.53,20.37,3
2893,0.84,0,35
2894,4.58,12.9,3
2895,0.73,0,32
2896,4.34,11.06,29
2898,4.82,6.69,7
2903,0.55,0,42
2904,2.44,0,40
2905,1.46,0,42
2906,1.42,5.37,42
2907,0.96,0,42
2908,1.03,0,42
2909,0.22,0,43
2910,0.58,0,40
2911,0.74,0,40
2912,1.14,3.26,42
2914,2.73,7.58,44
2915,0.94,0,41
2916,3.49,8.81,43
2917,6.26,8.21,37
2919,2.41,0,43
2920,2.8,0,41
2921,4.42,10.69,35
3031,8.03,25.4,11
3032,6.35,17.47,9
3033,10.51,23.86,5
3034,8.8,15.1,9
3036,8.2,16.76,1
3037,10.38,22.4,1
3038,14.03,24.48,9
3042,7.89,13.85,5
3044,6.57,14.21,7
3045,7.19,13.68,8
3046,13.73,28.53,1
3048,14.55,27.48,2
3049,5.17,13.99,13
3051,3.64,10.6,20
3052,6.96,21.54,20
3053,10.53,17.42,17
3054,5.16,19.68,19
3055,9.43,24.31,4
3060,1.36,0,20
3062,1.75,0,20
3063,1.29,0,21
3064,0.99,0,22
3070,14.78,23.45,7
3076,7.23,14.75,38
3077,1.01,0,12
3079,6.01,12.35,32
3087,10.08,22.5,43
3101,0.51,0,13
3102,1.98,0,13
3103,2.63,0,13
3104,1.76,0,9
3106,6.96,12.09,9
3109,2.87,8.94,9
3110,6.2,11.64,12
3216,10.61,23.96,2
3217,7.63,16.38,3
3220,5.74,15.82,5
3222,3.49,0,1
3223,8.31,12.58,3
3224,10.67,27.92,2
3226,15.33,23.5,6
3230,11.93,21.94,1
3231,8.12,16.12,2
3235,2.04,0,5
3237,11.07,21.86,5
3238,6.14,7.2,1
3241,7.2,24.99,4
3243,11.23,19.98,3
3245,8.96,13.35,3
3246,3.94,0,5
3249,5.96,8.78,5
3253,9.69,15.97,3
3256,13.48,21.71,9
3264,3.53,0,3
3266,11.01,18.96,5
3268,9.81,17.8,2
3269,7.91,17.77,5
3275,15.46,27.9,4
3276,4.07,7.73,5
3279,2.35,0,1
3282,6.34,11.91,1
3285,15.92,25.6,3
3290,9.21,21.15,3
3291,13.48,25.28,5
3293,15.37,26.68,3
3301,21.92,24.97,8
3303,14.36,25.42,2
3304,13.18,24.41,8
3447,20.07,28.32,1
3461,16.89,27.72,1
3465,24.13,28.97,1
3561,4.2,0,5
3570,1.19,0,3
3574,9.73,12,4
3575,15.01,25.1,1
3576,6.84,0,2
3580,4.81,0,3
3581,6.66,0,1
3583,10.41,22.06,1
3584,11.71,18.09,1
3585,11.53,22.34,3
3586,4.76,11.08,3
3588,12.69,20.09,3
3592,22.78,28.59,1
3593,10.86,21.49,3
3595,8.78,13.93,4
3597,17.49,8.92,2
3598,1.54,0,3
3601,8.15,25.34,1
3602,7.92,21.61,2
3603,2.04,0,9
3604,4.47,12.79,2
3607,11.45,27.67,2
3608,5.94,14.96,2
3609,1.68,4.47,10
3740,5.12,17.38,5
3743,10.77,15.79,7
3765,3.47,18.36,11
3768,15.7,25.63,6
3771,13.11,25.07,3
3774,4.72,14.79,10
3777,7.76,23.98,6
3779,6,13.1,7
3780,6.66,19.96,9
3785,11.35,0,3
3801,2.95,0,6
3810,12.65,24.36,3
3811,7.83,13.14,22
3813,11.56,23.8,1
3817,12.73,19.37,1
3818,9.7,0,1
3819,11.59,20.22,7
3820,4.56,0,9
3823,4.39,8.76,8
3824,4.39,12.3,8
3825,7.27,17.48,5
3826,10.68,15.1,22
3827,7.3,13.17,7
3832,9.19,19.13,1
3833,2.19,0,4
3835,4.25,14.14,4
3837,13.89,29.82,3
3839,2.5,8.13,5
3840,4.36,11.55,7
3841,12.05,19.93,21
3842,9.2,21.82,10
3844,7.11,17.87,10
3845,11.54,23.63,1
3847,7.97,20.69,1
3848,9.74,15.28,7
3849,8.48,11.86,1
3851,8.82,24.52,2
3852,12.69,23.51,4
3854,3.59,12.2,4
3855,14.19,26.62,2
3856,3.7,13.1,7
3857,0.79,0,8
3858,8.51,11.77,21
3860,5.31,13.88,1
3861,6.15,9.61,11
3862,6.61,16.52,6
3865,5.74,7.5,22
3867,1.74,0,6
3868,3.86,7.29,7
3869,5.44,9.86,8
3870,2.94,15.55,3
3871,5.57,18.43,5
3873,10.11,22.82,5
3874,11.11,20.05,9
3875,10.23,20.72,1
3878,1.25,0,8
3884,10.72,29.63,2
3885,5.12,13.41,7
3886,17.07,24.66,1
3887,13.87,27.67,2
3890,18.19,25.77,1
3901,4.36,11.6,5
3902,12.78,27.4,3
3903,8.92,15.68,5
3904,5.88,11.84,4
3905,6.46,22.12,3
3906,3.77,0,5
3907,12.74,27.2,4
3908,6.82,18.94,6
3909,12.24,14.89,4
3910,15.38,22.6,3
3911,12.01,18.96,3
4001,10.4,17.97,2
4002,2.53,0,4
4005,1.09,0,26
4006,10.77,16.05,1
4008,6.14,20.45,1
4010,11.88,18.64,4
4015,11.99,22.48,1
4020,5.83,25.03,3
4021,8.7,19.96,22
4022,16.79,27.04,1
4024,13.42,29.1,1
4027,9.45,16.73,6
4030,8.51,28.19,3
4032,19.08,24.1,22
4037,15.09,20.21,1
4038,7.74,12.89,22
4039,17.23,18.05,37
4041,5.88,0,1
4042,13.7,27.13,1
4043,10.09,14.46,2
4046,6.21,16.12,1
4047,7.33,24.94,2
4055,17.62,26.33,1
4062,11.12,16.23,22
4063,6.63,9.42,24
4064,7.91,9.87,24
4068,4.63,0,2
4071,13.46,26.56,1
4072,5.44,5,24
4073,6.21,11.43,4
4074,6.08,11.28,23
4076,8.78,16.99,2
4083,1.13,0,7
4084,17.13,29.61,1
4087,6.61,21.98,3
4090,10.37,16.84,5
4091,8.4,21.02,1
4092,2.09,0,23
4093,13.04,20.83,23
4095,16.87,26.9,2
4096,11.67,16.06,22
4097,14.15,26.33,21
4101,0.2,0,23
4102,1.4,0,23
4103,0.4,0,23
4105,3.8,15.83,22
4106,1.44,0,23
4107,6.28,7.38,22
4108,0.55,0,1
4110,7.71,15.74,22
4210,0.61,0,16
4217,5.03,0,1
4219,13.73,21.77,1
4220,10.94,20.48,1
4221,7.81,23.28,2
4222,13.37,23.79,14
4227,11.18,17.68,1
4228,6.37,12.63,2
4231,15.61,27.77,1
4234,14.68,23.2,1
4236,7.36,12.48,17
4237,9.52,24.54,1
4238,9.07,22.15,9
4239,5.83,13.21,1
4240,2.24,0,17
4250,8.77,15.96,14
4252,11.73,21.83,14
4253,6.52,12.97,3
4254,4.98,0,2
4255,11.01,24.78,1
4256,3.94,9.74,15
4258,7.61,17.87,16
4259,2.39,0,2
4260,11.72,16.84,26
4261,17.43,23.78,1
4263,0.78,0,11
4265,3.93,10.89,20
4267,19.32,28.71,1
4268,21.67,25.9,1
4270,9.59,15.81,8
4274,1.64,0,15
4280,9.5,12.53,16
4281,15.81,25.49,1
4282,2.41,0,16
4284,6.83,18.64,4
4286,5.18,7.08,1
4287,11.59,29.85,1
4289,19.79,26.47,1
4294,16.2,24.31,1
4330,5.65,0,6
4342,4.63,13.26,1
4343,8.12,14.55,7
4344,6.07,13.3,5
4345,10.89,16.95,6
4346,7.75,14.88,6
4347,3.38,8.86,6
4348,5.12,15,1
4349,8.95,14.26,1
4350,10.29,22.26,1
4351,6.12,12.23,7
4353,6.65,0,5
4354,13.05,29.99,4
4355,13.07,24.82,6
4357,3.94,0,1
4358,12.57,15.32,5
4359,9.32,20.21,6
4363,5.76,17.93,6
4364,8.18,17.26,7
4401,1.7,0,27
4411,5.81,16.68,8
4412,0.9,0,28
4413,14.1,27.07,1
4414,12.94,0,4
4415,6.15,8.7,4
4416,4.82,0,5
4417,15.25,23.33,1
4419,13.51,22.62,25
4424,0.56,0,1
4426,13.25,24.64,3
4427,18.64,26.35,18
4428,10.75,18.92,22
4429,9.47,14.58,24
4430,1.17,0,7
4431,7.52,21.84,6
4434,11.56,14.31,7
4435,12.21,28.18,1
4438,7.11,20.7,1
4443,20.92,26.44,1
4444,7.68,0,24
4448,9.08,9.94,6
4449,15.53,26.12,20
4450,10.14,18.48,22
4453,11.52,22.45,3
4455,6.44,0,4
4456,12.88,19.59,22
4457,4.01,0,7
4460,6.41,0,12
4461,6.24,9.07,26
4462,33.46,0,7
4463,5.77,0,4
4468,10.47,0,26
4469,1.36,6.47,26
4471,16.31,28.5,7
4472,6.86,16.87,6
4473,2.63,0,26
4474,6.05,16.15,25
4475,6.9,14.65,4
4479,10.05,21.11,1
4481,7.34,18.15,2
4487,13.24,14.93,1
4489,3,3.78,27
4490,23,28.56,1
4492,14.09,18.46,1
4493,7.84,0,4
4495,7.07,15.61,6
4496,5.16,0,6
4535,11.85,28.48,1
4574,10.91,25.78,1
4605,11.04,0,1
4606,7.8,28.26,1
4607,12.87,19.47,2
4619,5.55,0,3
4622,18.49,15.58,2
4623,11.33,16.71,2
4626,13.85,26.12,2
4630,11.56,0,2
4631,2.22,0,1
4640,9.25,21,1
4643,4.24,0,2
4648,10,13.58,3
4649,15.82,26.3,1
4652,5.84,0,2
4654,8.78,0,2
4655,5.85,23.99,2
4658,0.98,0,2
4666,18.05,24.8,1
4667,10.78,11.86,1
4668,2.74,0,1
4669,14.73,27.95,1
4671,13.44,29.08,3
4680,4.97,9.35,2
4684,9.36,18.7,1
4691,11.97,21.19,4
4694,13.98,17.82,4
4730,4.76,0,6
4732,28.32,0,2
4733,16.85,21.78,3
4734,22.92,26.23,1
4736,3.87,0,5
4739,7.11,0,4
4740,11.96,15.58,2
4742,3.16,0,4
4743,7.34,0,5
4745,2.59,0,6
4746,15.55,18.5,5
4747,3.79,0,6
4750,12.69,22.22,3
4756,3.02,0,3
4757,11.94,13.22,2
4758,18.29,25.96,2
4760,23.14,24.98,6
4761,8.64,19.72,6
4763,5.44,21.86,8
4765,20.13,0,4
4766,11.05,13.96,3
4769,1.85,0,5
4772,9.63,23.05,5
4773,10.26,26.34,2
4776,10.83,12.18,6
4777,9.04,0,6
4779,17.65,28.24,3
4781,11.03,10.65,4
4783,20.26,28.67,2
4785,4.52,0,2
4786,1.59,0,4
4787,14.94,15.31,2
4849,9.82,24.52,1
4851,1.37,0,1
4853,0.93,0,2
4863,3.07,0,4
4901,9.22,21.51,5
4910,1.29,0,1
4911,6.33,12.89,1
4912,15.27,28.72,1
4915,4.8,0,1
4917,2.34,0,5
4918,1.34,11,5
4920,8.86,0,1
4921,16.58,25.36,2
4923,10.92,26.03,1
4924,19.57,25.89,2
4926,7.01,6.93,5
4927,15.07,27.89,1
4928,7.77,13.29,2
4929,8.02,15.58,1
4930,1.86,0,2
4932,17.49,26.41,2
4933,4.27,10.6,1
4937,18.39,25.64,5
4939,9.45,16.56,1
4940,16.48,29.22,1
4943,17,23.65,1
4944,18.93,28.48,1
4945,12.73,0,2
4947,9.24,0,1
4950,5.51,0,1
4951,14.81,18.88,2
4952,8.14,16.04,1
4953,3.77,0,2
4955,16.39,28.08,1
4956,7.25,17,1
4957,9.53,21.45,1
4958,11.51,24.92,1
4962,13.37,24.11,5
4963,7.07,23.85,5
4964,12.79,20.47,1
4965,5.68,10.33,2
4966,14.7,21.56,1
4967,12.85,16.31,1
4969,7.98,15.88,1
4970,4.98,0,1
4971,11.63,25.8,1
4973,12.78,23.21,1
4974,9.55,19.82,1
4975,13.72,24.69,5
4976,13.77,20.03,1
4979,12.39,27.8,1
4981,6.55,22.83,7
4983,11.06,0,1
4986,15.31,27.21,1
4987,15.94,27.87,1
4988,8.52,15.87,1
4989,14.4,21.1,4
4992,15.78,27.7,2
5031,10.67,28.17,1
5032,4.35,0,6
5033,2.63,0,10
5036,2.08,0,2
5037,12.39,26.6,1
5038,0.69,0,1
5039,5.85,29.1,6
5040,1.38,0,7
5041,6.46,12.32,8
5042,7.12,19.48,3
5043,16.71,24.89,6
5045,7.6,21.94,6
5046,9.71,25.08,2
5050,11.03,17.85,6
5051,5.4,0,9
5056,11.9,18.22,2
5058,13.35,27.28,7
5060,2.32,0,6
5061,3.31,13.13,7
5068,5.21,26.85,1
5069,4.9,17.25,10
5077,9.07,18.85,2
5079,9.24,20.53,1
5081,1.97,0,10
5083,11.47,24.64,1
5086,7.27,28.06,7
5089,16.11,23.9,8
5101,6.03,0,10
5141,8.84,19.08,2
5142,6.85,12.23,10
5143,2.54,0,12
5146,8.41,16.56,9
5148,3.48,0,4
5149,1.8,0,11
5150,1.12,0,12
5151,6.55,14.38,8
5152,4.85,13.06,1
5153,3.3,9.93,10
5154,6.35,11.44,9
5155,11.09,10.2,1
5156,0.98,0,12
5158,3.26,10.81,9
5161,8.1,14.01,3
5250,5.21,0,1
5252,6.51,19.19,1
5253,10.48,28.21,1
5254,9.97,16.72,1
5255,10.78,20.44,2
5260,14.33,24.66,1
5261,9.36,26.36,1
5262,8.98,23.38,1
5301,24.05,29.81,3
5340,9.16,23.06,1
5343,13.5,21.35,1
5346,11.37,27.4,1
5350,12.85,27.46,1
5352,7.93,14.54,2
5359,12.18,26.87,1
5401,0.13,0,9
5403,1.19,0,9
5404,0.54,0,9
5405,1.04,3.18,9
5408,3.36,9.43,8
5439,1.89,4.76,9
5440,1.92,0,5
5441,11.63,19.05,1
5443,3.51,0,2
5444,8.07,26.86,1
5445,14.16,25.68,7
5446,5.47,8.59,9
5447,6.7,11.51,4
5450,1.2,0,4
5452,9.43,17.12,8
5454,3.37,0,2
5455,7.29,14.35,3
5456,13.4,23.46,2
5457,9.72,17.9,3
5458,5.74,11.57,1
5459,8.83,14.06,5
5461,14.5,24.18,8
5463,10.75,19.83,1
5464,13.75,23.84,5
5465,15.87,26.11,1
5468,9.23,21.71,4
