"ZCTA","minDisSUT","timeDrive","countDrive"
2538,1.44,9.22,6
2539,6.13,17.01,1
2540,0.41,0,10
2542,3.48,8.95,11
2543,5.91,11.92,9
2553,3.01,8.9,11
2554,1.31,0,2
2556,2.62,6.08,12
2557,1.63,7.48,1
2558,0.89,6.85,4
2559,1.55,7.56,11
2561,5.86,11.93,17
2562,6.48,11.16,9
2563,4.99,16.6,12
2564,5.08,15.14,2
2568,0.6,0,1
2571,1.09,0,13
2575,4.14,8.08,1
2576,2.92,7.3,12
2584,3.93,12.72,2
2601,0.87,0,7
2630,3.53,10.15,7
2631,8.44,21.94,1
2632,0.91,0,8
2633,12.32,24.2,1
2635,2.71,6.1,14
2637,3.35,10.13,7
2638,3.31,12.94,5
2639,4.19,8.24,5
2641,5.4,14.58,5
2644,2.92,9.3,14
2645,7.86,15.64,5
2646,7.29,15.82,4
2647,1.28,5.79,7
2648,3.73,11.73,14
2649,0.72,0,14
2650,12.7,23.93,1
2653,13.49,28.9,1
2655,3.75,7.73,14
2659,9.75,19.22,1
2660,3.24,8.81,5
2664,1.23,0,7
2668,3.99,10.48,9
2669,11.32,21.57,1
2670,2.8,4.39,5
2671,5.3,11.18,5
2672,1.43,6.86,8
2673,1.43,5.29,7
2675,1.58,6.35,7
2702,6.16,12.53,36
2703,1.1,0,48
2715,5.24,16.13,23
2717,5.92,11.15,33
2718,4.43,11.75,34
2719,2.64,5.11,28
2720,1.53,0,47
2721,1.19,0,55
2723,0.89,4.63,55
2724,0.87,0,58
2725,1.53,5.58,66
2726,2.99,11.32,38
2738,4.03,9.1,15
2739,5.48,11.75,28
2740,0.56,0,28
2743,3.74,9.62,27
2744,0.75,5.26,28
2745,2.57,5.58,35
2746,0.66,0,28
2747,1.65,0,27
2748,4.89,9.24,26
2760,3.13,11.6,41
2762,5.47,14.69,34
2763,1.89,8.71,46
2764,4.41,11.23,40
2766,0.51,0,45
2767,3.15,10.17,39
2769,5.77,16.41,61
2770,6.42,24.2,2
2771,2.4,11.62,66
2777,0.41,0,75
2779,4.23,13.6,22
2780,0.92,0,43
2790,5.68,14.66,28
2791,9.07,20.62,27
2802,4.53,9.77,40
2804,5.73,12.76,6
2806,0.92,0,55
2808,5.29,13.58,9
2809,5.38,13.95,30
2812,4.23,14.51,4
2813,8.55,19.46,6
2814,7.45,12.35,26
2815,8.33,22.45,16
2816,4.75,7.44,31
2817,6.49,19.03,13
2818,3.82,12.23,38
2822,3.15,0,10
2825,7.9,16.82,15
2826,6.69,17.13,15
2827,8.01,18.88,6
2828,0.41,0,47
2830,7.18,18.67,10
2831,4.74,15.15,22
2832,3.17,6.7,14
2833,6.22,16.11,5
2835,2.95,12.3,13
2836,6.42,19,9
2837,6.21,27.13,3
2838,3.26,5.86,51
2839,6.61,16.77,10
2840,0.95,0,8
2841,0.66,8.51,8
2842,0.85,0,8
2852,4.23,13.07,24
2857,4.9,9.21,46
2858,7.49,16.79,12
2859,6.83,18.8,10
2860,0.04,0,47
2861,0.91,7.23,50
2863,0.43,0,47
2864,4.26,11.02,39
2865,3.25,7.13,48
2871,0.77,0,21
2873,5.09,10.88,6
2874,0.86,0,17
2875,5.95,18.38,6
2876,3.59,12.64,34
2878,4.93,10.64,32
2879,2.64,0,6
2881,2.45,11.32,10
2882,0.74,0,8
2885,3.22,6.27,62
2886,0.51,0,41
2888,0.7,0,42
2889,2.67,7.7,37
2891,1.8,0,17
2892,4.98,19.1,8
2893,0.69,0,41
2894,6.3,16.04,6
2895,0.58,0,42
2896,2.93,11.06,29
2898,1.45,0,11
2903,0.95,4.03,59
2904,1.87,0,50
2905,0.81,0,58
2906,0.51,0,60
2907,0.11,0,58
2908,0.5,0,59
2909,1.08,0,58
2910,0.63,0,45
2911,2.29,4.46,45
2912,0.72,3.71,60
2914,0.77,0,66
2915,2.03,7.14,59
2916,1.49,6.92,67
2917,2.87,9.37,43
2919,2.38,0,49
2920,1.18,0,45
2921,3.03,10.69,37
3031,5.88,16.73,12
3032,4.84,17.47,16
3033,7.72,23.86,6
3034,6.4,15.1,13
3036,6,16.76,4
3037,7.6,22.4,1
3038,2.29,0,16
3042,5.75,13.85,5
3043,6.69,21.84,1
3044,4.81,14.21,6
3045,5.37,14.45,12
3046,7.01,25.34,6
3047,7.04,21.08,1
3048,7.13,16.41,9
3049,4.29,13.99,10
3051,2.98,0,19
3052,1.9,13.41,23
3053,1.99,0,19
3054,1.72,0,18
3055,6.89,22.37,5
3057,9.7,22.72,2
3060,1.32,0,19
3062,1.05,0,18
3063,0.91,0,20
3064,1.16,7.48,21
3070,9.28,26.62,8
3071,5.73,19.17,1
3076,5.69,14.75,32
3077,0.73,0,12
3079,6.09,14.1,34
3084,10.41,23,2
3086,11.87,26.38,2
3087,4.94,13.26,34
3101,0.14,0,25
3102,1.32,5.7,24
3103,1.77,0,25
3104,0.06,0,21
3106,4.32,12.09,19
3109,2.29,8.94,15
3110,1.61,0,17
3216,7.65,23.96,3
3217,4.16,16.38,2
3220,3.97,15.82,6
3222,3.57,0,1
3223,6.27,12.58,2
3224,3.27,0,10
3226,9.59,22.79,5
3229,6.79,20.46,6
3230,7.15,21.94,2
3231,6.63,16.12,3
3234,7.91,21.49,6
3235,2.25,0,13
3237,6.88,21.86,6
3240,6.21,18.29,1
3241,5.14,24.99,3
3242,11.58,26.66,7
3243,3.98,19.98,4
3244,6.24,18.57,1
3245,5.01,13.35,2
3246,3.17,0,6
3249,3.49,0,6
3253,7.32,15.26,3
3256,6.57,21.71,9
3258,5.75,15.4,7
3259,14.8,26.42,1
3263,10.48,26.7,6
3264,2.37,0,2
3266,8,18.96,3
3268,5.39,17.8,9
3269,5.7,17.77,6
3275,5.44,16.99,14
3276,2.94,7.73,13
3280,13.13,28.79,1
3284,10.83,28.92,5
3285,11.62,25.6,2
3290,6.74,21.41,4
3291,9.88,25.28,5
3293,14.35,26.68,2
3301,1.22,0,18
3303,7.56,12.72,10
3304,3.92,11.85,17
3307,3.94,17.28,7
3431,2.21,0,4
3440,2.85,0,1
3441,6.39,25.09,7
3442,1.86,12.88,1
3443,4.79,22.04,10
3444,1.57,0,1
3445,6.35,18.48,3
3446,2.8,0,4
3447,10.74,23.09,6
3448,7.29,14.5,4
3449,4.73,16.35,2
3450,4.23,15.35,4
3451,4.12,19.51,7
3452,4.5,18.66,2
3455,4.97,14.36,5
3456,11.56,26.65,3
3457,8.26,21.05,5
3458,5.47,18.02,2
3461,9.86,21.52,4
3462,4.5,17.4,11
3464,9.56,19.26,4
3465,8.11,14.39,6
3466,2.88,16.15,10
3467,7.93,21.53,10
3470,4.6,28.57,4
3561,2.43,0,4
3570,0.73,0,2
3574,3.39,0,2
3575,11.43,22.58,1
3576,4.84,0,2
3580,8.28,16.2,2
3582,9.43,20.94,1
3583,7.65,15.97,1
3584,0.45,0,1
3585,8.46,22.34,2
3586,6.17,17.51,2
3588,7.5,20.09,2
3593,12.18,21.49,2
3595,6.5,16.9,3
3597,12.1,16.66,2
3598,6.83,18.16,3
3602,5.77,21.61,4
3603,7.98,14.01,4
3604,3.27,12.79,1
3607,10.03,27.67,1
3608,4.39,14.96,1
3609,1.19,4.47,2
3740,13.54,29.35,1
3741,2.17,0,6
3743,1.07,0,3
3745,5.86,18.51,2
3746,8.59,19.24,7
3748,5.14,20.91,7
3750,4.34,17.55,10
3751,13.34,27.77,5
3753,9.99,20.72,6
3754,10.14,20.04,2
3755,5.11,0,10
3765,5.31,18.36,1
3766,0.81,0,11
3768,11.26,20.69,11
3770,7.15,18.74,8
3771,10.18,25.07,2
3773,7.06,16.66,2
3774,10.06,24.02,1
3777,5.84,23.98,1
3779,4.34,13.1,1
3780,8.04,26.39,1
3782,12.41,24.6,2
3784,1.08,0,10
3801,1.98,0,15
3809,8.81,25.26,2
3810,5.45,18.84,5
3811,2.43,9.64,15
3812,7.53,21.89,1
3813,5.25,14.97,3
3814,2.35,0,3
3816,6.88,18.87,3
3817,7.73,13.77,2
3818,5.69,0,3
3819,4.28,13.27,7
3820,3.23,0,14
3823,3.2,8.76,12
3824,5.62,12.3,13
3825,5.38,17.48,6
3826,1.44,9.84,13
3827,5.04,12,8
3832,6.61,19.13,2
3833,8.05,21.36,4
3835,6.69,14.14,6
3836,6.03,15.93,1
3837,8.91,29.82,2
3838,5.88,19.84,1
3839,2.95,8.13,6
3840,3.08,11.55,13
3841,1.57,0,11
3842,0.98,0,12
3844,3.26,9.62,13
3845,2.94,12.03,2
3846,8.62,24.58,1
3847,1.44,9.09,3
3848,5.37,15.68,7
3849,5.15,11.86,4
3850,8.39,21.62,2
3851,9.48,24.52,1
3852,9.25,23.51,3
3853,4.76,13.51,2
3854,1.13,12.2,11
3855,8.62,26.62,1
3856,9.01,22.34,6
3857,7.55,21.24,9
3858,4.83,11.77,13
3860,1.98,0,3
3861,7.75,16.61,11
3862,1.79,9.15,10
3864,4.73,11.01,3
3865,1.82,7.5,14
3867,0.81,0,8
3868,1.87,7.29,12
3869,3.58,9.86,15
3870,2.17,15.55,8
3871,3.52,13.19,7
3872,7.82,23.73,3
3873,4.55,18.21,6
3874,4.45,9.67,14
3875,6.04,19.01,2
3878,0.64,0,12
3882,5.01,22.94,1
3883,9.02,16.07,1
3884,9.06,29.63,1
3885,5.53,18.53,9
3886,10.36,17,2
3887,9.52,27.67,3
3890,4.56,6.2,4
3894,2.54,0,3
3901,4.14,11.6,8
3902,3.61,11.3,10
3903,3.37,9.88,13
3904,2,0,13
3905,2.19,12.5,8
3906,3.59,0,12
3907,5.15,11.85,11
3908,4.64,18.94,14
3909,2.31,0,14
3910,0.81,0,9
3911,1.03,4.07,9
4001,7.57,17.97,5
4002,6.12,17.44,13
4005,1.38,0,33
4006,5.47,16.05,7
4008,8.93,21.35,2
4009,0.95,0,3
4010,10.58,18.86,4
4011,0.26,0,5
4015,6.54,19.44,7
4020,2.64,0,1
4021,4.09,12.03,25
4022,6.69,22.98,3
4024,6.37,24.13,1
4027,7.21,16.73,9
4030,9.94,29.12,2
4032,5.03,11.31,27
4037,9.47,0,5
4038,1.81,0,30
4039,5.59,9.75,47
4040,3.87,13.34,2
4041,4.25,27.58,1
4042,9.75,23.44,8
4043,1.69,0,13
4046,3.47,13.24,8
4047,7.33,28.94,1
4048,8.23,25.57,1
4049,6.74,22.94,1
4051,6.17,18.87,3
4055,7.39,14.3,7
4057,3.35,7.78,2
4062,3.44,0,31
4063,1.54,5.68,31
4064,0.74,0,31
4066,8.68,24.98,3
4068,7.41,25.07,1
4069,4.17,17.76,5
4071,2.88,0,5
4072,1.56,0,34
4073,1.8,0,8
4074,1.9,0,34
4076,6.33,16.99,5
4079,6.7,20.41,3
4083,0.89,0,12
4084,7.12,18.88,7
4085,8.89,24.38,4
4086,3.2,7.74,5
4087,7.18,22.92,5
4088,8.87,22.45,2
4090,2.71,0,20
4091,3.03,18.57,1
4092,1.37,0,37
4093,5.42,13,35
4095,13.11,26.9,2
4096,0.48,0,28
4097,4.42,11.52,23
4101,0.29,0,37
4102,1.44,0,37
4103,0.46,0,38
4105,4.19,15.66,25
4106,1.05,0,37
4107,3.98,7.38,32
4110,3.02,6.54,27
4210,1.43,0,16
4221,5.64,23.28,6
4222,6.15,22.98,18
4224,7.48,24.37,5
4227,7.93,17.68,4
4228,4.57,12.63,1
4234,3.67,15.61,4
4236,4.76,12.48,16
4237,9.11,26.85,5
4238,7.85,24.56,3
4239,4.07,13.21,4
4240,1.44,0,15
4250,5.16,15.96,17
4252,7.41,16.74,19
4253,4.78,12.97,1
4254,3.61,0,2
4256,8.72,13.8,17
4257,2.43,9.74,5
4258,6.88,17.87,16
4259,4.9,17.54,1
4260,3.06,0,26
4263,7.23,22.48,14
4265,3.19,10.87,25
4268,4.43,16.48,1
4270,5.39,0,3
4271,5.55,20.96,1
4274,8.83,15.82,17
4275,10.26,20.29,5
4276,3.08,0,5
4280,6.67,12.53,17
4281,4.57,16.07,1
4282,9.64,24.88,14
4284,5.52,15.57,2
4287,9.8,22.11,2
4289,9.18,24.63,1
4290,6.77,23.1,5
4294,6.74,23.94,4
4330,0.4,0,17
4342,10.96,25.5,3
4343,5.09,8.99,11
4344,4.25,13.3,11
4345,7.92,16.95,10
4346,5.4,14.88,11
4347,2.29,8.86,11
4348,10.25,21.72,1
4349,6.38,14.26,2
4351,4,10.63,11
4353,10.59,24.1,10
4354,7.15,29.99,10
4355,6.15,16.53,11
4358,8.62,15.32,17
4359,9.32,20.21,10
4360,10.41,19.79,3
4363,8.46,18.24,11
4364,1.48,0,12
4401,0.7,0,20
4406,17.25,29.37,1
4411,4.95,16.68,6
4412,0.69,0,21
4419,10.32,22.62,20
4422,12.01,24.27,1
4426,3.32,0,1
4427,12.51,26.35,15
4428,8.84,18.92,18
4429,6.7,14.58,23
4431,8.71,24.85,7
4434,9.3,14.31,6
4438,4.98,20.7,1
4443,9.02,18.39,1
4444,7.18,17.36,19
4448,10.49,23.05,4
4449,10.4,26.12,16
4450,6.49,18.48,18
4455,11.46,16.17,2
4456,8.51,19.59,18
4457,3.91,0,2
4460,22.96,29.64,2
4461,3.98,9.07,20
4463,16.83,27.3,1
4468,6.4,0,20
4469,2.43,13.05,20
4471,16.03,28.71,3
4472,9.21,22.75,7
4473,3.62,11.91,20
4474,4.74,16.15,18
4475,13.15,27.72,2
4476,7.07,16.09,2
4479,5.47,23.34,1
4481,7.49,20.06,1
4489,2.64,8.28,20
4493,8.74,19.44,2
4495,10.58,21.46,2
4496,3.67,0,5
4530,1.49,0,5
4535,6.54,24.7,2
4537,9.85,23.53,3
4538,10.24,28.32,2
4539,4.75,13.84,3
4541,9.72,27.75,2
4543,0.64,0,4
4547,7.48,21.08,6
4548,7.61,18.14,3
4551,4.37,15.62,3
4553,2.41,9.73,4
4554,11.5,25.61,2
4555,5.01,11.88,8
4556,6.35,15.19,4
4558,9.18,25.21,2
4562,8.62,14.99,3
4563,8.18,21.04,6
4564,7.28,24.11,3
4568,10.16,25.63,2
4572,1.02,0,9
4573,5.64,14.8,3
4574,12.31,25.58,1
4578,7.97,15.68,6
4579,4.34,13.99,5
4605,9.04,0,6
4606,5.53,28.26,1
4607,9.94,28.87,1
4612,3.15,7.46,1
4614,0.99,0,2
4616,8.67,22.12,1
4617,7.42,29.02,1
4619,3.97,0,4
4622,11.59,0,2
4623,8.05,16.71,1
4625,4.43,5.7,1
4626,11.35,29.08,2
4629,4.23,9.15,2
4630,7.49,12.15,2
4640,4.82,21,6
4643,3.01,0,2
4646,5.89,29.13,1
4648,7.35,13.58,3
4649,11.24,26.3,1
4650,10.09,26.22,1
4652,4.12,0,1
4653,4.31,5.13,1
4654,4.9,0,2
4655,4.19,23.99,2
4658,4.66,10.17,2
4660,3.32,10.71,1
4662,2.03,23.74,1
4671,9.53,29.08,4
4673,7.74,19.3,2
4674,4.05,12.56,1
4675,3.84,28.86,1
4676,4.71,15.3,2
4679,0.94,0,1
4680,6.12,18.75,2
4684,1.87,0,7
4691,10.43,24.57,3
4694,10.35,17.82,4
4730,3.41,0,3
4734,14.13,26.23,3
4736,3.76,0,8
4739,17.63,26.67,2
4740,7.22,16.26,3
4742,7.65,17.35,8
4743,4.46,0,2
4745,5.22,15.63,4
4746,12.04,18.5,2
4750,5.16,0,5
4756,2.42,0,2
4757,7.09,13.22,3
4758,11.1,25.96,3
4760,14.1,24.98,3
4761,6.18,19.72,3
4763,12.91,29.94,3
4766,10.71,22.25,4
4769,0.85,0,7
4772,8.6,23.05,4
4773,7.26,26.34,2
4779,15.56,28.24,2
4781,7.76,10.65,2
4783,14.63,28.67,4
4786,8.96,20.7,7
4787,8.68,15.31,3
4841,1.83,0,8
4843,1.84,0,7
4847,6.69,20.62,7
4849,7.08,19.29,10
4854,2.59,8.2,8
4856,2.94,0,8
4858,3.55,12.41,8
4859,7.47,18.08,7
4860,10.07,21.55,5
4861,2.19,7.04,10
4862,10.97,23.14,8
4864,6.08,12.05,10
4901,3.16,0,18
4910,2.54,0,7
4911,2.66,0,6
4912,14.7,26.38,5
4915,2.76,0,4
4917,8.97,19.78,10
4918,9.65,21.83,10
4921,11.29,25.36,4
4924,6.89,16.47,7
4926,5.95,6.93,17
4927,4.87,22.31,8
4928,5.81,20.97,1
4929,7.43,15.58,1
4930,11.27,24.76,2
4932,14,28.42,1
4933,4.37,10.6,1
4937,3.53,12.1,18
4938,1.85,0,3
4940,3.83,8.23,4
4943,11.58,23.65,1
4944,0.83,0,12
4950,5.61,12.91,7
4951,10.49,18.88,1
4952,5.92,16.04,5
4953,2.53,0,1
4955,6.77,13.89,9
4956,8.38,21.8,3
4957,4.96,15.23,10
4958,10.47,22.2,1
4962,3.7,8.85,18
4963,7.16,15.32,17
4965,4.18,10.33,7
4967,10.09,16.31,1
4969,7.34,15.88,1
4973,9.24,23.21,4
4974,3.92,0,4
4975,4.24,8.35,23
4976,2.7,0,7
4978,8.77,27.91,11
4981,7.77,16.59,5
4984,5.21,15.79,3
4986,9.46,27.21,1
4987,13.13,27.87,1
4988,7.08,15.87,1
4989,5.97,21.04,16
4992,0.95,5.9,4
5001,2.38,0,10
