"GEOID","bupTimeBike","bupCountBike60","bupCountBike30","metTimeBike","metCountBike60","metCountBike30","nalTimeBike","nalCountBike60","nalCountBike30"
8232,31.05,34,15,0,1,1,56.34,10,4
8234,31.05,27,17,43.2,1,0,56.34,8,4
8240,31.05,10,10,65.31,0,0,56.34,5,2
8241,31.05,10,3,71.29,0,0,56.34,5,0
8242,30.65,15,0,43.35,1,0,0,6,2
8244,30.65,28,8,47.33,1,0,0,8,1
8246,30.65,15,0,48.42,1,0,45.06,4,0
8247,33.32,13,0,33.32,1,0,33.32,3,0
8248,33.32,1,0,92.31,0,0,74.64,0,0
8251,25.96,2,2,68.6,0,0,0,3,1
8270,25.96,2,2,92.07,0,0,0,1,1
8302,0,22,22,0,2,2,0,2,2
8311,57.18,22,0,57.18,2,0,57.18,2,0
8312,0,16,2,73.56,0,0,0,6,2
8314,0,2,2,143.68,0,0,85.99,0,0
8316,24.86,2,2,121.52,0,0,69.75,0,0
8318,0,3,2,60.76,0,0,56.25,1,0
8320,43.68,25,0,43.68,2,0,43.68,4,0
8322,0,9,1,74.9,0,0,0,4,1
8323,52.47,22,0,52.47,2,0,52.47,2,0
8324,23.43,2,2,141.16,0,0,83.47,0,0
8326,36,19,0,42.55,1,0,36,3,0
8327,13.33,2,2,130.42,0,0,72.73,0,0
8328,27.42,19,1,48.2,1,0,27.42,5,1
8329,47.45,5,0,104.43,0,0,52.66,2,0
8330,47.45,4,4,0,1,1,52.66,2,2
8332,47.45,22,3,52.63,1,0,0,5,2
8340,47.45,5,0,67.96,0,0,53.85,1,0
8341,31.91,19,0,37.4,1,0,31.91,3,0
8343,39.12,8,0,89.95,0,0,39.12,4,0
8344,37.08,23,0,37.08,1,0,37.08,6,0
8346,37.08,8,0,79.58,0,0,57.34,4,0
8350,37.08,19,0,54.42,1,0,43.75,3,0
8352,42.25,41,0,42.25,3,0,42.25,6,0
8353,36.7,22,0,36.7,2,0,36.7,2,0
8360,36.7,22,19,0,1,1,0,5,3
8361,0,22,19,26.19,1,1,0,5,3
8401,0,19,18,111.25,0,0,0,8,8
8402,0,27,3,82.57,0,0,0,9,1
8403,0,39,3,73.37,0,0,0,10,1
8406,0,22,19,96.05,0,0,0,9,8
8501,0,25,1,58.07,1,0,46.17,3,0
8502,0,49,13,85.69,0,0,0,8,2
8505,0,6,3,68.86,0,0,63.42,0,0
8510,59.71,6,0,111.26,0,0,59.71,2,0
8511,41.04,3,0,90.04,0,0,29.86,1,1
8512,0,19,3,61.31,0,0,34.84,3,0
8514,37.04,1,0,95.11,0,0,30.39,1,0
8515,33.72,35,0,57.91,1,0,45.17,5,0
8518,40.97,6,0,67.78,0,0,67.78,0,0
8520,0,11,3,67.93,0,0,42.72,2,0
8525,38.38,10,0,83.98,0,0,38.38,1,0
8527,0,25,6,81.16,0,0,38.38,8,2
8528,18.27,50,27,82.85,0,0,18.27,10,5
8530,55.88,2,0,96.96,0,0,43.4,1,0
8533,57.27,1,0,112.5,0,0,43.4,1,1
8534,0,46,2,42.84,2,0,40.25,9,0
8535,38.33,3,0,95.81,0,0,60.82,0,0
8536,0,37,2,85.48,0,0,45.73,8,0
8540,0,60,26,67.86,0,0,0,11,3
8542,0,61,26,62.71,0,0,6.31,10,3
8550,0,68,4,48.14,1,0,0,8,2
8551,42.91,1,0,119.18,0,0,42.91,6,0
8553,27.06,47,26,82.08,0,0,27.06,9,3
8554,42.77,6,0,64.59,0,0,64.59,0,0
8555,32.17,3,0,89.66,0,0,74.19,0,0
8558,0,44,5,98.43,0,0,0,6,1
8560,0,39,5,43.48,2,0,43.48,9,0
8561,32.24,33,0,45.07,1,0,35.83,4,0
8562,43.03,2,0,84.41,0,0,41.23,1,0
8608,0,82,55,14.77,4,3,0,14,12
8609,0,78,47,16.32,3,3,0,14,9
8610,14.13,76,24,29.21,3,1,18.87,14,5
8611,0,78,47,22.04,4,3,8.59,14,9
8618,0,79,34,0,3,2,0,14,8
8619,0,80,35,0,3,2,0,16,7
8620,32.73,39,0,45.25,2,0,32.73,7,0
8628,0,72,27,22.03,3,2,22.03,13,4
8629,0,76,54,16.34,3,3,5.39,14,10
8638,0,80,44,0,3,2,0,14,9
8640,0,1,1,82.69,0,0,0,0,0
8641,33.08,3,0,82.08,0,0,37.81,1,0
8648,0,107,13,25.7,3,1,0,19,2
8690,0,72,25,15.17,3,1,0,13,2
8691,0,53,23,28.05,2,1,16.15,10,2
8701,0,53,16,39.28,1,0,16.15,14,4
8720,20.03,60,3,43.42,1,0,16.15,12,0
8721,0,9,5,64.87,0,0,16.15,1,1
8722,31.42,37,0,34.45,1,0,16.15,8,0
8723,0,45,5,0,2,1,16.15,17,6
8724,0,32,9,54.59,1,0,16.15,10,0
8730,0,8,3,63.13,0,0,0,0,0
8731,0,9,4,82.19,0,0,16.15,1,0
8732,20.81,33,14,20.81,2,1,16.15,13,7
8733,0,15,1,75.69,0,0,0,0,0
8734,0,9,4,83.28,0,0,16.15,1,0
8735,0,8,1,58.49,1,0,16.15,6,0
8736,0,39,3,57.68,1,0,16.15,6,0
8738,20.74,15,1,37.69,1,0,16.15,6,0
8740,51.22,19,0,51.72,1,0,16.15,8,0
8741,38.45,33,0,38.45,1,0,16.15,8,0
8742,0,31,9,57.09,1,0,16.15,10,0
8750,0,51,8,48.87,1,0,16.15,8,0
8751,18.25,1,1,74.96,0,0,0,0,0
8752,27.95,1,1,84.67,0,0,0,0,0
8753,0,33,14,0,2,1,16.15,13,7
8755,0,45,14,40.23,1,0,16.15,11,0
8757,44.31,31,0,46.56,1,0,16.15,7,0
8758,44.31,9,0,125.89,0,0,16.15,2,0
8759,0,3,3,92.33,0,0,0,0,0
8801,0,6,5,126.96,0,0,74.36,0,0
8802,25.54,7,1,76.03,0,0,46.39,1,0
8804,47.99,5,0,47.99,1,0,47.99,1,0
8805,0,61,3,48.96,3,0,10.8,11,3
8807,0,22,15,21.83,1,1,21.83,2,1
8808,24.27,10,1,52.78,1,0,52.78,1,0
8809,0,6,5,107.76,0,0,65.95,0,0
8810,0,47,2,71.2,0,0,0,7,3
8812,17.7,48,11,24.05,1,1,17.7,9,3
8816,0,59,15,39.85,2,0,0,13,1
8817,0,87,26,25.11,2,1,0,22,8
8820,0,70,22,33.76,1,0,21.15,20,1
8821,23.1,16,3,60.98,0,0,23.1,2,1
8822,0,1,1,110.41,0,0,0,6,6
8823,9.4,76,2,51.94,1,0,27.39,14,2
8824,0,74,2,53.22,1,0,20.79,14,2
8826,0,3,1,113.16,0,0,0,1,1
8827,0,8,1,97.17,0,0,30.37,1,0
8828,29.58,30,15,63.38,0,0,29.58,6,1
8829,32.32,6,0,126.3,0,0,37.56,1,0
8830,0,73,29,50.28,1,0,18.82,19,2
8831,0,5,2,94.56,0,0,52.23,1,0
8832,17.01,48,13,50.69,1,0,17.01,15,7
8833,42.35,1,0,99.19,0,0,70.17,0,0
8835,0,41,3,50.29,1,0,34.27,7,0
8836,22.18,27,3,55.85,1,0,31.68,3,0
8837,0,72,34,48.99,2,0,25.46,20,11
8840,0,79,20,44.36,2,0,20.83,23,3
8844,0,28,13,62.96,0,0,0,4,2
8846,0,70,8,35.46,2,0,0,15,3
8850,20.73,67,43,22.72,1,1,20.73,16,7
8852,0,41,3,71.8,0,0,0,7,3
8853,49.57,4,0,68.7,0,0,49.57,7,0
8854,0,66,6,37.45,2,0,20.81,15,2
8857,0,40,9,45.53,1,0,0,12,2
8858,42.16,2,0,68.94,0,0,68.94,0,0
8859,0,55,4,12.49,1,1,12.49,18,3
8861,0,48,18,47.72,1,0,0,17,8
8863,12.3,71,23,57.31,2,0,15.03,24,8
8865,0,16,13,0,1,1,0,4,3
8867,34.13,6,0,105.56,0,0,60.01,0,0
8869,15.94,24,15,15.94,1,1,15.94,5,1
8872,19.55,63,19,28.73,2,1,28.29,22,4
8873,0,54,22,26.3,1,1,0,14,6
8876,0,21,15,0,1,1,0,2,1
8879,0,46,4,0,1,1,0,17,3
8880,0,60,3,44.05,3,0,0,12,3
8882,15.11,67,15,42.39,2,0,15.11,19,1
8884,19.97,47,15,55.6,2,0,19.97,13,1
8886,28.24,15,4,28.24,1,1,28.24,3,1
8887,32.82,5,0,80.42,0,0,32.82,7,0
8889,0,16,1,59.68,1,0,59.68,1,0
8890,15.45,41,4,60.92,0,0,22.48,6,1
8901,0,81,39,0,1,1,0,15,10
8902,0,55,28,23.73,1,1,0,11,6
8904,0,91,19,11.17,1,1,11.17,22,8
10001,0,1394,741,4.05,54,21,0,135,65
10002,0,1524,665,0,60,21,0,142,66
10003,0,1507,718,0,59,23,0,146,69
10004,0,1345,490,15.34,51,14,11.68,125,52
10005,0,1366,522,13.33,51,16,11.11,126,54
10006,0,1379,509,13.51,51,14,9.85,125,53
10007,0,1439,601,8.58,53,23,4.92,138,60
10009,0,1438,687,0,57,23,0,138,67
10010,0,1505,722,0,59,22,0,144,67
10011,0,1344,690,9.32,54,21,0,127,65
10012,0,1481,713,0,59,23,5.82,143,68
10013,0,1431,620,7.85,54,23,0,139,64
10014,0,1391,637,6.73,55,19,8.09,127,63
10016,0,1435,784,0,56,23,0,138,63
10017,0,1503,844,5.63,56,28,0,142,77
10018,0,1405,758,0,53,21,0,138,67
10019,0,1455,811,0,53,23,0,138,68
10020,6.63,1455,805,6.82,53,23,6.82,138,69
10021,0,1509,876,0,53,31,0,140,79
10022,0,1496,863,9.12,55,28,0,142,79
10023,0,1454,827,6.14,51,28,5.9,138,77
10024,0,1421,773,12.85,49,24,0,133,66
10025,0,1435,630,10.43,47,25,0,133,53
10026,0,1440,646,5.45,48,26,0,130,57
10027,0,1413,603,0,47,26,0,125,50
10028,0,1517,867,4.28,55,33,0,143,79
10029,0,1494,758,0,51,26,0,137,61
10030,0,1388,610,0,47,23,0,124,49
10031,0,1355,547,5.34,45,21,0,121,45
10032,0,1277,473,6.8,41,20,0,110,39
10033,0,1184,403,0,41,14,5.64,100,33
10034,0,961,374,11.2,38,12,6.54,80,25
10035,0,1460,602,0,49,21,0,136,53
10036,0,1406,772,5.93,51,21,0,138,67
10037,0,1405,634,5.66,47,23,0,125,51
10038,0,1395,522,11.23,52,16,9.47,130,54
10039,0,1343,513,5.48,45,21,5.48,119,44
10040,0,1032,348,5.43,40,13,0,90,28
10044,0,1350,74,30.29,49,0,12.5,126,8
10065,0,1524,884,5.64,56,30,0,143,81
10069,0,1403,771,8.2,50,20,8.2,134,64
10075,0,1490,840,2.98,53,28,0,138,80
10103,5.63,1449,833,5.63,53,25,5.63,139,70
10110,4.29,1425,821,5,51,23,5,138,67
10111,4.66,1460,855,8.29,53,28,5.4,141,78
10112,6.57,1455,806,6.76,53,23,6.76,138,69
10115,6.76,1406,576,6.76,47,25,6.76,122,46
10119,4.58,1344,705,4.58,52,20,4.58,129,64
10128,0,1551,833,0,54,32,0,140,75
10152,4.98,1482,843,7.94,53,28,4.98,141,78
10153,5.64,1482,878,8.37,53,30,5.64,141,80
10154,5.37,1477,843,9.67,53,28,5.37,141,78
10162,4.81,1444,797,5.26,49,27,4.81,133,72
10165,0,1472,815,5.46,56,23,4.91,140,68
10167,2.21,1496,855,6.57,56,28,2.21,143,78
10168,0,1480,818,4.77,56,23,4.21,140,68
10169,3.21,1479,826,6.86,56,23,3.28,143,69
10170,2.94,1453,807,6.04,56,23,4.94,139,68
10171,3.58,1489,855,8.01,55,28,3.58,142,78
10172,3.63,1489,855,7.79,55,28,3.63,142,78
10173,3.44,1475,818,7.08,55,23,5.88,140,69
10174,2.1,1486,812,5.21,56,23,3.19,142,68
10177,5.65,1454,791,10.01,53,23,5.65,139,68
10199,4.67,1350,713,5.81,53,20,4.67,129,64
10271,4.14,1383,521,12.86,51,16,9.2,125,53
10278,4.41,1434,601,9.34,54,20,6.07,134,61
10279,2.16,1408,536,10.25,53,16,6.59,132,55
10280,0,1367,512,14.16,51,14,10.5,124,53
10282,0,1347,512,13.5,51,14,9.94,122,53
10301,0,350,71,12.78,9,1,0,45,11
10302,0,168,88,26.19,4,1,0,26,13
10303,0,190,67,34.68,6,0,9.92,29,10
10304,0,209,97,0,3,1,0,24,15
10305,0,153,80,11.53,1,1,0,17,9
10306,0,140,69,28.25,3,1,19.76,20,10
10307,25.38,37,10,25.38,2,2,25.38,5,3
10308,0,122,51,29.38,3,2,0,20,9
10309,0,51,20,0,2,2,0,9,5
10310,0,182,85,19.48,2,1,8.28,22,15
10311,16.44,158,22,41.63,4,0,21.15,25,6
10312,0,122,20,16.68,3,2,0,20,5
10314,0,161,77,29.07,4,1,0,26,10
10451,0,1367,606,0,48,24,0,124,51
10452,0,1223,511,7.69,41,22,0,105,43
10453,0,984,459,6.95,38,19,0,84,40
10454,0,1376,566,0,47,23,0,124,48
10455,0,1311,471,0,44,22,0,121,41
10456,0,1278,569,0,43,26,0,115,50
10457,0,976,434,0,38,17,0,84,40
10458,0,845,317,0,34,9,0,74,24
10459,0,1152,556,7.73,41,26,0,97,50
10460,0,908,382,9.66,31,16,0,79,34
10461,0,688,247,0,29,8,0,62,23
10462,0,793,355,13.52,31,14,10.74,69,31
10463,0,783,286,16.97,32,6,12.31,71,20
10464,27.13,316,1,30.11,13,0,30.11,33,0
10465,0,622,84,14.62,28,4,14.62,58,11
10466,0,532,188,13.17,22,7,8.92,49,17
10467,0,737,323,0,32,10,0,66,31
10468,0,903,363,10.03,34,9,8.61,76,24
10469,0,601,243,9.5,29,9,0,60,20
10470,0,564,167,15.78,27,5,0,58,11
10471,0,607,157,27.65,29,5,0,61,10
10472,0,881,348,16.83,30,15,0,75,32
10473,0,813,275,20.49,30,14,9.94,69,25
10474,9.14,1123,322,11.75,41,19,0,96,41
10475,0,510,136,19.61,21,6,11.51,44,14
10501,32.82,13,0,65.86,0,0,21.19,5,2
10502,0,117,23,37.36,5,0,25.05,13,2
10503,9.74,103,13,40.16,4,0,28.22,9,1
10504,0,34,2,93.34,0,0,37.66,6,0
10505,20.39,8,2,61.7,0,0,20.39,5,3
10506,44.63,18,0,74.69,0,0,44.63,2,0
10507,19.88,24,12,93.13,0,0,25.15,3,2
10509,0,9,1,46.48,4,0,0,6,1
10510,0,39,9,80.44,0,0,38.93,4,0
10511,8.56,10,3,20.55,1,1,8.56,3,2
10512,0,12,7,0,4,4,0,8,5
10514,0,38,7,102.19,0,0,0,5,1
10516,51.45,1,0,81.52,0,0,51.45,1,0
10517,11.94,12,6,22.16,1,1,22.16,8,1
10518,0,9,3,87.55,0,0,68.54,0,0
10519,22.88,20,4,48.02,4,0,40.78,9,0
10520,0,18,1,50.38,1,0,32.78,2,0
10522,0,108,9,35.04,3,0,31.06,8,0
10523,0,78,38,54.72,1,0,10.67,9,4
10524,0,9,1,35.67,1,0,0,3,1
10526,26.74,19,3,77.84,0,0,58.75,2,0
10527,28.86,14,1,63.14,0,0,17.33,5,3
10528,0,85,23,38.65,2,0,14.37,17,4
10530,0,117,41,51.95,3,0,9.38,10,3
10532,0,76,14,75.26,0,0,0,9,2
10533,0,103,16,46.19,4,0,21.3,11,1
10535,0,11,2,49.12,1,0,0,6,5
10536,0,19,3,87.44,0,0,35.84,4,0
10537,32.32,10,0,34.54,1,0,34.54,6,0
10538,0,142,18,17.54,3,1,17.54,16,2
10541,0,12,2,48.87,4,0,0,10,3
10543,0,101,23,27.35,2,1,21.22,16,6
10545,11.23,35,9,87.08,0,0,33.45,6,0
10546,20.42,32,10,84.46,0,0,20.42,7,1
10547,22.76,11,6,30.54,1,0,29.92,8,1
10548,0,16,3,26.54,1,1,0,3,2
10549,0,28,9,98.84,0,0,0,5,2
10550,6.92,458,107,0,20,3,0,41,11
10552,7.96,410,56,10.29,14,2,10.29,37,7
10553,0,400,93,6.34,15,3,6.34,37,10
10560,0,13,1,73.29,0,0,48.51,1,0
10562,0,37,9,76.8,0,0,38.72,7,0
10566,0,11,8,0,1,1,0,6,2
10567,0,11,6,13.19,1,1,13.19,6,1
10570,0,64,8,86.37,0,0,19.27,9,3
10573,0,67,27,63.17,0,0,0,12,9
10576,35.78,12,0,41.81,1,0,41.81,1,0
10577,21.75,83,22,71.06,0,0,21.75,14,2
10578,16.03,12,4,60.16,0,0,51.2,5,0
10579,43.04,9,0,55.65,1,0,43.04,5,0
