"COUNTYFP","cntT","cntBupT","cntMetT","cntNalT","avBupTime","avMetTime","avNalTime","pctBupT","pctMetT","pctNalT"
"06007",51,49,28,44,7.92117647058824,23.1545098039216,14.94,0.96,0.55,0.86
"06009",10,3,0,1,31.829,81.705,49.952,0.3,0,0.1
"06011",5,3,0,0,23.618,56.214,57.07,0.6,0,0
"06013",208,208,202,208,5.16759615384615,17.7730288461538,7.49302884615385,1,0.97,1
"06015",8,6,NA,6,12.51375,NA,13.895,0.75,NA,0.75
"06017",43,38,2,39,11.7467441860465,51.953488372093,15.8260465116279,0.88,0.05,0.91
"06019",199,192,179,177,7.18276381909548,15.7644221105528,13.4557788944724,0.96,0.9,0.89
"06021",6,5,2,2,18.405,39.69,39.69,0.83,0.33,0.33
"06023",31,30,NA,24,6.19,NA,24.9829032258065,0.97,NA,0.77
"06025",31,29,26,27,8.96870967741935,20.1932258064516,16.0261290322581,0.94,0.84,0.87
"06027",6,5,NA,5,9.01,NA,9.01,0.83,NA,0.83
"06029",151,136,NA,105,9.51880794701987,NA,23.6462913907285,0.9,NA,0.7
"06031",27,26,0,4,7.17851851851852,40.7848148148148,41.4762962962963,0.96,0,0.15
"06033",15,15,0,6,7.33466666666667,90.5773333333333,28.79,1,0,0.4
"06035",9,7,NA,0,19.9488888888889,NA,103.017777777778,0.78,NA,0
"06037",2347,NA,NA,NA,NA,NA,NA,NA,NA,NA
"06039",23,20,9,14,13.824347826087,40.1991304347826,29.8273913043478,0.87,0.39,0.61
"06041",56,54,53,53,5.56803571428571,16.6842857142857,8.89410714285714,0.96,0.95,0.95
"06043",6,2,0,0,36.1233333333333,79.0783333333333,58.9166666666667,0.33,0,0
"06045",21,19,NA,16,10.8409523809524,NA,21.4514285714286,0.9,NA,0.76
"06047",49,49,39,12,7.63938775510204,19.695306122449,37.410612244898,1,0.8,0.24
"06049",4,0,NA,2,107.1925,NA,44.4525,0,NA,0.5
"06051",3,2,NA,1,14.5333333333333,NA,40.3133333333333,0.67,NA,0.33
"06053",94,92,68,91,6.14382978723404,20.6658510638298,9.23042553191489,0.98,0.72,0.97
"06055",40,39,31,39,6.497,22.9405,8.84875,0.98,0.78,0.98
"06057",20,20,14,18,8.1495,25.4405,18.0995,1,0.7,0.9
"06059",583,583,554,583,3.52205831903945,12.752384219554,5.0383704974271,1,0.95,1
"06061",85,83,68,81,7.85411764705882,23.0590588235294,8.78529411764706,0.98,0.8,0.95
"06063",7,6,0,0,17.2371428571429,99.6128571428571,95.7828571428571,0.86,0,0
"06065",453,441,NA,439,6.35883002207505,NA,9.51324503311258,0.97,NA,0.97
"06067",317,316,313,316,4.92968454258675,10.9888012618297,7.37580441640379,1,0.99,1
"06069",11,11,1,11,7.97545454545455,36.7263636363636,8.09727272727273,1,0.09,1
"06071",369,352,315,347,7.45813008130081,19.1615176151762,9.69094850948509,0.95,0.85,0.94
"06073",628,624,609,622,4.8824203821656,11.6695222929936,6.04138535031847,0.99,0.97,0.99
"06075",197,196,196,196,1.90675126903553,5.84771573604061,4.22380710659898,0.99,0.99,0.99
"06077",139,138,138,138,5.56496402877698,9.20187050359712,8.97158273381295,0.99,0.99,0.99
"06079",54,53,41,49,5.82555555555556,25.145,11.2235185185185,0.98,0.76,0.91
"06081",158,157,128,157,4.55525316455696,22.4184810126582,7.51462025316456,0.99,0.81,0.99
"06083",90,89,72,88,5.51255555555556,17.0016666666667,9.973,0.99,0.8,0.98
"06085",372,372,370,371,4.4130376344086,12.5470161290323,5.62430107526882,1,0.99,1
"06087",53,53,47,52,3.99245283018868,17.6852830188679,8.59452830188679,1,0.89,0.98
"06089",48,47,41,44,8.83166666666667,20.20625,13.2314583333333,0.98,0.85,0.92
"06091",1,1,0,0,0,100.27,60.29,1,0,0
"06093",14,10,0,0,14.1521428571429,97.2685714285714,83.22,0.71,0,0
"06095",96,96,95,95,4.52885416666667,11.7914583333333,6.67583333333333,1,0.99,0.99
"06097",100,97,83,97,6.9621,19.5637,8.615,0.97,0.83,0.97
"06099",94,94,88,90,5.70648936170213,15.3162765957447,12.5521276595745,1,0.94,0.96
"06101",21,20,20,1,6.13285714285714,14.027619047619,44.58,0.95,0.95,0.05
"06103",11,9,2,4,20.0536363636364,41.8463636363636,36.9781818181818,0.82,0.18,0.36
"06105",5,2,0,0,53.958,117.746,101.588,0.4,0,0
"06107",78,77,63,50,8.98333333333333,18.8111538461538,24.8924358974359,0.99,0.81,0.64
"06109",11,10,0,9,10.6545454545455,80.2690909090909,21.3172727272727,0.91,0,0.82
