YEAR,STATEFP,TotalPop,TotalVetPop,MalePop,MaleVetPop,Male18To34,MaleVet18To34,Male35To54,MaleVet35To54,Male55To64,MaleVet55To64,Male65To74,MaleVet65To74,Male75Plus,MaleVet75Plus,FemalePop,FemaleVetPop,Female18To34,FemaleVet18To34,Female35To54,FemaleVet35To54,Female55To64,FemaleVet55To64,Female65To74,FemaleVet65To74,Female75Plus,FemaleVet75Plus,VetPercent
2014-2018,44,844196,57524,403235,53827,127486,3368,131171,9684,69932,8589,45208,16268,29438,15918,440961,3697,127425,765,137859,1296,76113,681,51592,402,47972,553,6.81
2014-2018,45,3828471,366862,1821981,333011,545203,26125,602097,76850,306800,62771,237117,97311,130764,69954,2006490,33851,553218,7096,643660,14266,348410,7643,273550,3093,187652,1753,9.58
2014-2018,46,648498,59243,323780,54342,101231,4319,102584,12098,57259,9518,38050,15346,24656,13061,324718,4901,95136,984,98066,1948,57414,1055,38532,514,35570,400,9.14
2014-2018,47,5131650,435040,2460886,396626,745455,31113,843889,90222,410840,75860,292289,112290,168413,87141,2670764,38414,754567,6525,878676,16196,453010,9098,333438,3953,251073,2642,8.48
2014-2018,48,20502823,1474232,10054034,1320730,3457194,148863,3607303,347294,1504163,234977,935735,330329,549639,259267,10448789,153502,3346012,34416,3650320,66209,1600017,31012,1064980,13264,787460,8601,7.19
2014-2018,49,2122361,123339,1057228,114865,401881,10519,365209,24634,142043,19421,90970,30460,57125,29831,1065133,8474,389566,1958,356603,3346,146790,1603,99574,981,72600,586,5.81
2014-2018,50,506083,38625,246440,35353,70964,1542,76797,6714,46832,6651,33067,10804,18780,9642,259643,3272,68527,353,79767,1124,49646,1009,35189,414,26514,372,7.63
2014-2018,51,6431839,684480,3090034,592608,948474,57334,1080985,171930,516765,116614,341516,137701,202294,109029,3341805,91872,959377,19971,1137200,42474,558792,19224,391224,6442,295212,3761,10.64
2014-2018,53,5612627,537713,2767574,484329,869484,42623,949436,117074,459628,92687,310431,131428,178595,100517,2845053,53384,837649,10294,940977,20364,481954,12503,340056,5965,244417,4258,9.58
2014-2018,54,1454623,134508,711949,126042,193815,7462,232933,27106,129480,21630,97438,39370,58283,30474,742674,8466,185471,1197,232103,3374,136102,1794,105274,1239,83724,862,9.25
2014-2018,55,4486478,342796,2210333,317923,655440,20799,738681,60425,398452,55445,255003,95601,162757,85653,2276145,24873,631461,3824,731993,10327,405756,5980,272365,2204,234570,2538,7.64
2014-2018,56,441280,45389,223576,41873,69403,3947,71840,10083,40613,7786,26537,11952,15183,8105,217704,3516,63658,598,67965,1251,40024,969,26339,391,19718,307,10.29
2014-2018,72,2697413,80428,1260192,76327,374620,3987,409393,11495,197450,13623,162222,20761,116507,26461,1437221,4101,381294,546,460137,1673,233896,730,197378,491,164516,661,2.98
