ZCTA,minDisHosp
60171,1.39
60643,2.68
62865,11.6
61936,14.13
61039,14.33
47457,19.51
47337,13.7
46183,6.52
46068,6.41
47836,11.49
47683,16.49
47969,12.79
52060,2.95
51244,8.24
50603,15.21
52647,15.89
51036,9.67
66216,3.73
66728,9.62
67520,10.49
40380,17.14
42431,1.44
41260,4.22
40404,0.38
42210,20.65
42411,10.8
40049,12.35
70549,15.45
70582,12.15
95441,9.62
94574,5.71
90621,3.77
95485,10.05
93664,38.19
37338,17.06
37374,12.16
76597,6.51
37132,4.33
37246,0.89
75752,6.68
78076,47.59
79781,27.18
78653,10.63
77880,11.54
75779,14.56
78014,42.18
76305,10.75
75652,7.12
77575,4.5
76801,6.22
78058,33.65
76877,35.11
78881,21.43
75844,22.06
77954,1.25
78620,14.21
79731,9.52
76148,4.17
75929,24.03
75831,23.92
79081,3.68
76676,15.78
24153,6.33
84648,4.49
84751,8.17
05056,17.77
05079,23.88
05405,0.59
22514,26.21
24483,14.93
24013,1.16
22845,22.17
17885,27.35
98045,21.31
99203,2.08
26562,24.7
26763,11.46
15027,7.04
54143,5.88
97838,1.61
36766,15.17
35650,2.98
36784,20.07
35579,19.04
36268,11.36
99833,12.97
99701,421.5
99654,33.52
86520,23.03
86326,3.0
85924,39.77
29670,10.5
57346,45.96
37324,6.68
57236,32.62
37377,7.58
37315,5.16
37725,12.44
38029,3.07
38047,9.28
37770,23.82
70772,19.83
70128,1.68
70648,1.74
04450,14.65
04472,16.91
33432,1.66
83823,34.46
46327,2.45
61112,2.17
04851,31.4
60958,20.07
46799,11.87
20818,4.16
50314,0.83
70517,4.28
40383,3.85
49878,27.09
04739,26.85
38844,19.2
63775,1.83
01340,11.97
49248,14.83
02343,4.41
49780,32.05
07720,1.99
87830,51.02
49722,8.92
27053,9.37
65802,4.08
65742,10.99
58801,9.53
07079,1.69
07870,5.28
03447,16.85
07723,4.21
02873,15.96
57754,14.27
10605,0.79
37738,16.37
11207,1.9
37620,9.11
79346,7.54
75488,20.25
05488,11.68
57641,36.09
24605,9.1
23310,19.72
24426,13.67
98422,4.46
99114,15.98
25514,5.18
28533,0.82
28032,4.21
45142,14.03
58368,11.54
58622,31.14
58007,37.62
43467,8.45
43008,9.87
44615,23.47
45745,17.66
44682,4.76
44507,3.63
43142,11.82
43736,6.8
43750,6.38
44011,2.52
74016,18.07
74003,9.05
74464,2.66
73441,20.98
97525,17.62
97064,32.44
97355,6.16
97434,21.44
16617,8.44
97886,26.32
16340,18.36
17097,21.89
15557,11.74
15420,10.25
16652,4.27
19559,15.81
18430,20.17
15301,1.88
17965,1.73
15901,0.52
17829,19.98
19564,15.12
15077,10.52
17920,14.98
17822,0.01
19107,0.2
02876,4.98
29646,2.92
29003,27.83
29014,12.23
29135,12.73
10456,0.32
13343,13.73
14456,3.03
11417,2.92
13440,1.81
13856,2.67
11104,2.19
10024,1.47
12456,9.92
10535,7.55
11212,0.7
11694,6.53
11415,1.1
28777,0.89
27827,10.68
27891,12.27
28465,5.83
38053,10.02
37727,13.74
11209,1.36
37148,1.59
10703,0.92
79714,10.61
75551,2.82
78851,73.05
28607,1.67
58239,30.12
98244,35.98
99141,27.03
26836,11.28
86054,61.37
82835,42.81
35654,6.36
35242,1.32
02139,1.12
63853,10.91
70139,0.55
47654,16.83
50673,15.91
02180,1.92
04952,10.3
01199,0.13
92662,1.76
99174,14.41
24577,19.72
07662,0.86
88028,28.25
11360,3.33
14854,6.36
87025,22.12
16253,19.99
84329,76.03
15715,8.58
38562,18.93
04068,25.26
04750,7.62
03579,31.64
50272,7.01
21871,12.58
46814,3.76
02647,3.15
48081,7.12
04654,7.75
55605,45.94
20812,3.56
59917,68.54
59761,51.29
59313,6.32
59724,49.08
03832,16.45
08751,9.35
07756,2.23
88256,32.33
48440,12.38
13064,17.89
55041,6.71
27983,0.86
45898,12.78
73560,12.29
73932,8.21
07846,4.05
29720,4.09
29512,15.61
20762,5.25
01532,6.96
01719,9.22
48322,1.81
48014,27.18
48614,24.63
48034,3.66
49938,5.49
49879,27.95
56470,11.16
56162,13.71
56082,4.16
55723,17.93
55055,4.92
56676,14.53
56369,16.17
38632,14.31
39116,9.24
39090,5.93
39094,17.24
39633,19.01
63650,1.1
65706,26.87
65041,4.82
63041,26.77
64109,1.64
63084,11.93
63117,1.29
65254,25.28
59101,19.44
59405,18.68
59032,48.53
68844,31.24
69163,42.87
68068,12.28
69357,20.42
89143,3.07
03835,10.14
03242,18.14
07031,3.09
08738,6.97
87499,32.24
87827,66.79
87325,36.03
87711,33.94
88355,4.23
87053,38.01
11451,1.4
01029,21.26
48312,4.95
48667,3.65
48743,29.54
48066,4.7
55744,3.26
55786,14.83
55075,5.59
56647,27.24
55431,5.94
55155,0.85
39365,2.59
39439,16.43
39565,13.61
35545,8.96
36051,18.31
36471,11.73
36067,9.01
35446,12.28
35580,14.19
35034,9.01
35960,6.03
35254,1.66
99733,272.77
36280,8.97
86556,29.14
85932,15.74
71646,13.19
36524,19.56
84536,73.64
90742,5.89
93560,19.58
96108,28.19
19944,16.15
92553,3.52
06377,18.04
32577,20.1
31601,9.7
31821,21.0
83285,43.64
32132,3.45
33142,2.19
66118,3.08
83120,24.96
79601,10.05
76433,14.84
77445,17.87
77859,20.42
75975,22.38
76446,15.68
76951,44.95
78358,14.53
78873,43.96
75926,15.67
75760,18.59
78147,9.38
76661,3.23
78339,11.53
75555,12.41
77474,15.36
76711,0.78
24630,4.76
75936,17.66
84031,44.26
84649,15.49
84540,48.84
84075,0.55
05084,10.58
24502,6.15
22203,1.51
23882,21.14
22035,3.01
23665,3.38
98404,4.53
99140,28.83
98361,47.78
25286,17.7
26351,16.55
24927,18.78
98039,3.85
26301,1.7
25524,16.87
25208,20.7
05907,22.21
53218,4.02
54627,19.75
54546,29.64
26684,11.54
82073,4.63
82730,40.03
82335,28.42
72749,15.1
83111,14.21
74346,12.34
83414,19.04
49946,7.93
68658,12.47
40351,2.79
42320,8.54
40472,8.15
40374,12.35
41567,8.92
40051,18.32
40078,22.26
41535,7.1
70655,13.4
71438,26.22
70535,3.15
71377,16.3
70001,1.25
04644,4.46
04497,39.5
04457,7.27
04953,11.74
20779,18.28
01561,1.62
02457,2.95
33412,7.13
32409,12.86
32399,2.02
33158,2.51
34679,5.72
32448,9.57
32732,10.92
31020,10.89
31553,26.29
31324,13.19
31064,2.2
31006,7.61
30250,8.57
96790,4.2
96853,3.2
83847,15.55
83313,28.46
83445,14.69
83638,22.29
83227,58.72
24501,5.68
24592,4.63
84773,71.04
84054,3.66
84066,3.17
84027,49.82
05254,28.43
24167,7.45
22727,20.38
23842,10.29
24073,5.15
05439,2.56
23708,0.24
18915,2.23
77990,22.98
98601,30.67
98952,28.21
61955,6.35
61731,14.69
62077,11.24
61625,0.93
61236,4.38
62362,16.41
62334,8.99
47536,17.07
46135,4.55
47201,8.44
46958,6.43
46070,13.93
50223,14.93
50577,21.27
51101,0.47
50032,7.56
52337,22.22
52531,1.96
52591,0.92
50057,12.46
66213,2.52
67850,13.75
41004,20.68
16665,5.52
15323,9.89
17929,4.86
19474,6.17
15082,5.53
16239,27.61
15075,3.78
15621,7.69
19076,1.15
29654,14.2
02802,4.84
29691,10.09
29038,17.37
29540,6.02
29488,1.34
29812,25.39
29080,10.3
29128,13.61
57197,1.07
57018,18.7
57567,8.72
38483,18.29
79530,19.57
23947,23.76
84021,39.89
38655,3.34
39175,23.29
65020,12.2
65625,3.97
64735,2.64
64443,8.5
63109,2.22
59086,39.03
59223,42.58
59711,7.97
59001,21.68
59868,48.49
59826,29.98
59058,65.38
59832,35.51
68950,19.16
68751,9.34
68303,15.24
89820,19.35
89438,16.84
03043,4.72
99709,33.8
99754,478.36
99626,143.39
86505,13.89
85629,9.09
86018,22.77
86046,40.03
72031,5.98
71638,10.24
72441,13.12
72325,15.12
95949,12.72
96069,27.73
92840,1.6
92332,50.53
90062,2.62
93306,12.77
92281,8.54
94121,0.88
95526,32.88
90249,1.66
95053,1.81
93626,16.0
96021,20.31
80424,9.78
80540,14.87
80449,38.86
80294,1.4
06422,8.85
06350,9.87
32571,9.79
74942,14.19
97761,23.36
97869,23.5
97005,2.04
97636,41.93
16323,10.08
16933,17.57
15701,1.95
19457,2.61
15778,13.69
18353,11.85
15434,9.42
15219,0.57
82725,58.61
36830,10.17
36720,13.53
98047,4.94
98565,14.69
98385,10.25
25541,12.2
26164,14.78
26137,8.04
54946,4.76
53901,1.67
25672,13.91
54765,14.35
53195,8.6
77518,7.68
54874,17.18
54214,9.48
84313,82.68
54654,21.78
82601,24.26
82201,13.18
25008,13.62
82838,41.25
98320,19.98
99786,461.52
97828,27.51
85322,40.85
31815,21.43
21052,10.25
04746,32.36
59831,30.78
81149,35.96
21718,14.97
59460,29.21
60482,2.28
50566,10.75
46045,7.61
61323,7.34
04435,23.0
57012,26.23
38588,16.96
37064,9.96
38450,12.13
37874,0.51
37357,13.49
79032,15.76
78621,20.59
77430,17.58
77583,15.33
75560,15.74
76450,3.64
77535,8.31
77713,7.12
78861,7.45
75089,3.0
79916,3.12
78060,26.15
03770,10.06
07102,0.71
07505,1.28
07649,2.18
87511,14.42
87011,65.54
88032,4.36
10026,0.66
14173,12.93
14539,19.27
11373,0.75
10162,0.22
11947,6.94
13325,21.08
10503,1.44
11096,2.05
11355,0.47
28043,7.91
28098,2.83
27809,6.84
27205,6.62
28282,1.82
44680,10.02
58402,0.44
58069,20.42
58563,37.01
58451,32.39
45316,11.22
43844,15.27
45336,12.13
74966,19.85
74048,1.57
74134,2.86
73111,3.34
73097,5.55
96747,18.54
83226,58.87
32079,8.6
20565,1.64
58707,1.52
13677,21.04
07495,2.07
10168,0.89
15733,3.59
97637,44.28
82327,53.22
85750,4.51
95531,13.23
96050,23.66
96086,42.28
81521,5.74
80428,37.66
78411,1.49
75501,7.39
27831,5.73
05905,21.69
24202,5.51
98586,11.86
44095,2.56
74745,1.47
24861,12.85
48509,6.91
55962,30.15
55439,3.54
55070,18.65
55316,1.92
06376,11.0
95451,12.73
80013,5.26
32456,2.47
06409,21.85
95404,3.95
83539,59.39
52726,13.69
32615,10.66
67831,1.38
67140,17.48
70643,26.04
60633,5.12
46915,15.37
20712,1.09
42071,2.15
01907,3.31
70441,6.41
01504,4.1
49762,27.46
49434,6.5
49953,7.87
49745,21.11
04852,29.21
55604,26.09
39470,4.08
01360,12.62
68327,12.09
03854,4.86
03576,6.74
88260,4.19
11235,1.15
28152,6.5
68071,0.3
39482,15.15
73945,20.82
74960,0.47
07066,1.7
08561,6.99
16940,22.73
29455,9.94
29575,7.4
29690,7.49
28553,16.72
35150,1.96
36785,20.96
35968,4.12
36866,8.96
99676,135.89
99611,32.51
99607,196.45
99590,330.63
99778,122.87
99925,92.67
86401,20.84
72530,13.19
71913,1.95
72852,20.36
72112,3.63
71677,9.13
72701,9.92
71772,24.34
71770,10.99
96094,19.81
92557,6.45
93225,32.61
90211,0.96
95140,16.04
93550,14.68
95987,21.85
95573,29.76
96041,26.3
93238,14.47
90089,1.47
95623,12.27
95981,27.81
96006,35.28
93562,22.09
81647,17.43
80473,34.8
80537,9.71
80030,4.34
81022,21.23
80544,7.75
81424,42.72
80820,36.89
06266,5.67
06389,3.4
06608,1.02
20551,0.83
32054,3.95
32177,4.11
34268,6.5
32612,0.82
33026,1.41
32430,13.13
33855,16.68
31044,16.53
31419,5.69
31549,9.98
30733,11.33
47352,13.15
47110,12.5
47160,9.3
47467,12.78
50515,15.59
50041,10.79
50652,10.07
50160,19.71
52166,12.57
50165,8.41
67117,3.81
66522,9.61
66203,2.48
55403,1.64
55422,1.24
18246,10.71
39630,2.91
39046,7.94
39083,4.7
38879,4.59
39455,12.9
87521,26.42
87041,16.54
10459,0.94
11425,0.03
10170,0.98
10032,0.13
13368,21.58
10152,1.19
11575,3.29
11005,0.47
14727,0.54
11429,2.71
11223,1.21
10020,1.1
11103,0.95
11412,0.96
28658,6.16
27587,6.91
27534,3.86
28785,14.05
28327,13.01
28280,1.79
28328,1.0
27539,5.86
27605,4.07
58703,10.34
58204,22.43
58545,6.24
58656,25.67
43004,4.61
43136,4.86
43468,9.86
45229,1.5
43842,14.64
45616,21.79
45884,13.03
45041,7.86
45354,15.97
74017,6.23
74463,9.41
73841,18.68
97108,21.04
97850,1.89
97503,23.96
18434,8.48
17815,2.08
16720,17.84
16682,8.17
17888,13.38
16049,20.93
15483,9.87
16201,6.16
15034,2.82
15035,4.22
17343,8.04
65453,19.89
64165,4.94
65259,11.69
59525,46.34
59710,35.78
59018,18.62
59923,20.4
59337,10.33
59261,40.34
68444,10.55
68118,0.94
89318,16.71
03824,8.84
03586,9.64
08312,3.89
07880,5.2
88038,25.4
88116,41.46
83626,9.6
62682,18.96
60155,1.09
62541,17.19
60203,1.75
62085,5.68
61322,7.96
60165,0.76
60305,1.88
06877,8.99
90822,0.15
33785,1.7
32336,21.27
31320,17.25
19945,14.64
32666,18.65
50478,28.86
83312,52.97
41005,7.77
42164,2.42
60053,3.59
70653,19.06
04945,52.63
04742,11.21
60640,0.51
05039,21.19
05674,23.05
22938,23.56
24256,12.69
22546,24.43
24382,0.54
23002,19.83
23943,6.24
24314,7.82
24090,19.14
23923,24.66
24526,17.39
22027,3.26
78408,2.42
99402,21.83
98223,11.78
99020,10.32
98158,2.55
26039,13.19
46766,8.22
66959,12.15
02666,34.93
41503,1.24
04412,2.68
59872,7.52
02672,3.53
59829,46.56
08406,3.74
17043,1.64
17835,23.67
15413,11.9
15359,7.43
17570,14.19
15637,11.36
29078,9.5
29527,10.07
29902,1.34
29665,5.62
29450,15.45
37090,6.76
37055,4.65
38340,22.44
37160,8.79
37351,2.58
38329,7.85
37050,6.1
38068,23.28
75287,1.53
38126,1.42
79108,13.04
77086,5.67
79227,33.17
75670,4.75
75654,6.87
75568,26.02
75446,18.99
76457,21.0
77342,3.37
79546,6.49
75845,23.27
76523,18.14
78013,14.96
79344,15.86
76689,10.71
79369,14.26
84042,1.48
84317,25.72
84725,40.31
84714,47.56
40011,13.66
41171,18.91
42754,1.83
40360,14.06
40448,9.93
42743,2.77
71018,15.51
71115,16.44
70836,0.39
70058,2.54
70748,1.53
71404,16.04
04940,5.51
04427,23.15
04763,18.75
04969,10.29
04932,18.82
04928,17.46
21628,10.25
01022,5.88
02111,0.34
02763,3.22
48125,3.7
48070,3.3
50473,27.64
48362,12.73
59450,23.27
31207,1.02
62695,10.99
66622,0.04
40506,0.26
50142,9.87
93614,28.45
19710,2.67
20390,1.25
20052,0.27
98267,61.51
13210,1.21
12997,20.96
76629,20.59
15777,15.37
77460,15.37
97041,27.01
16161,2.2
17974,3.35
86406,15.56
36401,3.55
99740,543.19
72958,1.56
35973,16.07
94118,0.72
60636,1.71
60457,5.23
62537,9.33
60645,1.64
61419,11.95
61426,19.01
60604,1.61
61606,0.97
46322,3.27
47567,19.52
47424,17.85
47584,18.73
46063,8.2
01543,14.81
07620,2.43
24931,15.3
24747,8.64
25276,3.47
25855,3.1
25156,1.7
25871,1.25
98562,36.09
25434,23.24
24869,19.9
25913,20.9
82935,30.59
07762,5.01
82513,77.32
82844,16.7
99119,37.35
99557,367.36
73939,20.87
30738,16.4
81055,19.35
80938,4.5
80452,33.49
80423,20.38
06851,2.86
06061,13.87
20418,0.78
20566,0.59
20204,1.44
34685,4.75
32026,1.34
33063,1.07
31503,5.02
31312,6.94
30721,4.91
31077,20.21
31836,12.53
30627,12.95
96740,16.58
50107,11.55
50217,17.6
50634,9.9
50847,19.98
52038,11.38
51656,7.89
67114,3.38
67519,21.58
66424,9.24
41472,3.76
40445,10.45
42726,10.5
40036,12.81
42370,10.89
40514,4.77
42733,11.59
42102,1.04
70739,9.84
71418,3.52
71435,5.06
70550,7.99
70558,4.65
04441,44.63
04973,14.61
04414,26.88
04456,17.1
21217,1.46
21916,3.59
01745,4.83
01068,16.33
02723,1.76
49201,0.33
48216,2.65
48225,2.02
49841,27.46
56386,10.56
55341,12.58
55130,1.86
55943,23.31
56089,9.61
56525,17.51
39209,9.24
39047,12.96
39443,5.06
39629,12.28
39648,6.31
38923,18.53
38631,12.29
63077,17.21
63359,30.75
65215,0.49
83213,8.06
83617,5.02
83546,31.58
60164,1.21
80814,7.53
80264,1.12
15038,6.07
17934,9.95
15678,10.27
15053,11.68
15466,9.76
17120,0.67
15680,18.65
19094,1.84
02858,8.5
29651,2.62
29208,0.8
29225,1.05
57772,46.0
57644,67.49
57741,0.84
68879,46.02
68417,9.27
89834,54.54
03861,12.76
03752,14.82
07017,1.41
07028,0.67
08072,4.83
07939,0.28
87732,30.95
87416,14.38
87410,26.28
88421,34.42
10976,4.64
57057,15.27
38506,4.83
38132,3.52
37030,0.88
38070,13.33
37058,18.94
38472,16.14
38365,14.75
38581,9.2
76078,13.75
37934,3.25
78631,25.47
75494,4.24
79331,5.46
76933,23.79
79007,3.89
75861,19.54
76534,13.27
75119,3.83
77006,1.44
75140,3.43
77865,31.99
75075,0.56
75417,24.45
76687,13.23
75455,3.47
78341,32.67
75223,1.9
75855,20.19
75563,17.68
24540,5.77
24354,2.35
84036,22.74
84032,18.31
84729,27.58
22701,1.79
05356,16.56
24066,19.77
23181,7.68
23089,8.91
23160,14.93
24415,15.43
23523,2.59
23950,7.42
22940,13.62
24319,11.94
99169,1.29
98272,7.29
63666,34.78
64158,5.44
63962,11.21
63501,2.37
64780,11.63
63824,10.72
59934,45.25
59430,47.17
59213,22.91
69147,19.2
68749,12.04
64114,2.0
56474,38.5
39301,11.39
39146,20.0
74764,23.66
03060,1.42
02905,2.24
13675,7.55
10018,1.37
27025,18.19
84337,10.16
05776,31.78
58643,23.57
73456,12.54
98577,14.3
24934,19.09
45684,20.54
54211,32.27
82938,52.62
36078,1.7
36350,9.34
35453,7.25
36875,16.15
36046,25.73
36028,17.96
35577,11.83
35082,6.91
99661,498.26
99561,192.67
99572,65.76
85546,13.89
85931,36.6
86004,21.72
85539,7.05
72675,29.76
72119,4.44
72945,18.59
71921,23.57
72857,17.34
95360,32.14
95546,34.68
95430,16.77
90095,0.46
93637,10.28
95685,7.15
96007,13.07
96051,31.62
91330,2.38
92378,5.18
95946,10.7
95222,11.55
90043,3.0
95219,14.6
95610,3.3
94108,0.3
95476,3.51
91371,1.5
95461,15.58
93546,9.22
91205,1.16
95979,28.99
92227,14.41
94709,1.31
81657,4.11
81601,4.68
80293,1.4
80045,0.5
80530,13.45
81201,4.16
06716,6.2
11554,0.75
10153,1.1
12983,4.72
10030,0.42
10044,0.33
11752,5.38
14475,15.54
13367,14.69
14619,1.45
12089,7.24
10165,0.98
10128,0.51
28779,2.67
28376,6.91
27956,15.65
28077,7.28
27253,13.78
43832,18.36
58523,12.29
58505,1.25
58244,28.12
58529,22.51
44663,4.91
45816,9.94
43140,1.88
45323,8.59
44080,16.05
44266,3.32
45693,11.51
43786,23.28
43036,12.7
45307,14.68
73142,1.91
74033,7.56
73425,19.81
74468,16.12
97361,14.72
97526,8.7
97056,22.03
97538,21.54
97381,4.38
97205,1.15
19367,6.75
15650,4.11
18070,12.24
17751,4.74
17222,11.2
19316,5.38
15353,11.02
16876,12.55
06021,21.47
30751,17.33
33847,9.06
41144,15.86
62056,2.22
04605,12.47
50598,13.45
21610,13.21
42064,2.17
40701,3.04
66780,16.33
55921,22.18
55614,39.1
11702,3.79
38372,7.76
37040,6.66
78363,3.27
79845,70.83
79938,20.63
76265,13.2
28625,5.61
58623,1.64
27525,18.26
23061,1.42
99153,57.23
26802,30.73
26159,6.58
25262,10.09
26170,20.13
54313,6.07
36453,10.74
36804,9.63
35452,8.74
36769,16.49
36474,13.71
35559,6.98
36091,13.13
36865,13.16
35952,16.46
36579,16.39
99605,58.15
99552,42.27
99519,735.32
99625,136.23
85053,3.19
71852,4.49
71602,5.62
71957,35.92
71659,17.13
71631,14.45
72856,37.06
91506,1.24
20742,2.65
06756,8.79
56575,29.02
96857,1.99
46365,12.76
41099,2.97
76701,3.74
24225,8.18
05492,19.45
17855,10.33
07027,2.71
10271,0.42
37137,8.74
12585,15.7
11507,2.83
10111,1.21
10505,6.83
27892,1.98
13845,13.48
10993,0.97
28127,7.97
27207,10.18
28365,19.06
28305,1.3
28447,23.85
58755,23.1
58843,20.16
18420,11.39
18220,10.28
43531,8.05
98814,28.0
54927,8.19
24991,19.91
36272,17.47
36703,10.05
99693,53.1
90803,1.27
94850,4.2
81027,47.59
94956,20.56
19709,3.19
95322,14.27
34108,2.32
92004,40.86
95472,3.23
31331,27.86
39145,8.68
38961,12.52
39339,3.59
38704,12.68
65355,29.58
63645,2.94
65550,12.83
65566,30.38
65529,14.09
65605,7.55
63047,6.5
59901,4.31
59859,7.9
59721,46.94
59351,64.18
59434,24.83
59326,32.79
68104,2.82
68969,14.79
69347,30.74
89442,21.87
89025,31.16
03754,10.41
03871,7.89
07078,2.79
07803,1.8
87515,47.7
88354,32.65
88049,29.36
87012,30.66
87315,29.98
11416,2.71
11219,0.63
14169,15.36
10553,1.36
13640,5.11
10029,0.62
06110,2.91
20506,0.91
32091,1.8
32011,15.93
33146,0.29
32530,3.02
34946,5.58
31001,20.51
55043,4.1
39429,3.18
39562,13.99
01431,7.51
89422,33.65
89046,38.65
01229,8.57
88220,16.05
49918,46.53
39577,5.64
65777,17.31
45663,7.69
44140,3.79
43961,9.3
39556,12.04
97914,11.23
15424,23.2
07064,5.0
29831,16.1
99347,5.34
24726,17.49
26241,4.69
23833,15.32
25090,7.8
25185,7.57
26438,5.74
26178,12.69
54166,2.4
53170,14.06
53965,18.65
57027,11.94
53792,0.12
25180,16.09
82516,34.63
82648,71.42
82716,21.86
82442,45.71
59871,44.78
90743,4.82
91764,2.83
10280,0.79
99576,137.04
48227,3.06
55401,1.33
41031,2.91
35458,18.81
86443,26.7
82070,21.45
35776,13.2
35022,4.62
35049,7.64
35115,12.34
35581,12.78
36047,22.44
35405,7.19
36082,1.84
36521,21.54
36264,20.32
36454,15.71
99830,83.46
99760,104.59
99785,156.38
99737,197.18
85901,8.24
20593,2.26
23707,0.74
98288,43.14
07065,0.83
10112,1.11
38230,16.6
15484,3.26
18333,12.47
14527,0.49
18351,8.26
14537,4.87
14542,18.62
18360,2.71
87024,32.08
71655,5.14
84035,29.27
87026,25.05
38050,21.25
29845,19.44
38052,16.51
65052,6.59
29848,14.56
53969,13.21
37766,1.91
23188,1.05
58788,33.5
29621,2.86
23219,0.4
54010,15.86
43948,10.71
58854,9.48
58008,28.56
58405,3.31
