GEOID,BED_COUNT,POINT_IN_TIME,YEARLY_BED_COUNT
17312915,,,
173132,,,
173131,,,
173132,,,
173133,,,
173134,,,
1731361,,,
1731381,,,
1731391,,,
1731392,,,
173141,,,
173142,,,
1731412,,,
1731414,,,
1731415,,,
1731423,,,
1731424,,,
1731431,,,
1731432,,,
1731444,,,
1731445,,,
1731446,,,
1731448,,,
1731449,,,
1731441,,,
17314412,,,
17314413,,,
1753,,,
17531,,,
17532,,,
17711,16,16,16
17712,67,67,67
17713,,,
17714,,,
17716,,,
17717,43,43,43
17718,,,
17719,,,
17711,3,3,
1771111,,,
1771112,,,
177112,,,
177113,,,
177114,,,
1771151,,,
1771152,,,
1771162,,,
1771163,,,
1771164,,,
177117,,,
1771181,,,
1771182,,,
1799791,,,
1799792,,,
1799793,,,
1799794,,,
1799795,,,
1799796,,,
1799797,,,
1799798,,,
1799799,,,
18142,,,
18143,,,
18144,,,
18145,,,
181462,,,
181463,,,
181464,,,
18147,,,
18148,,,
181491,,,
181492,,,
18141,,,
181411,,,
181412,,,
181413,,,
181414,,,
181416,,,
181417,5,5,5
181418,,,
181419,,,
181422,,,
181423,,,
181424,,,
181425,,,
181426,,,
1814211,,,
1814212,,,
183211,,,
183212,,,
183221,,,
183222,,,
18323,,,
183241,,,
183242,,,
18325,,,
18326,,,
18327,,,
183281,,,
183282,,,
18329,,,
18321,,,
183211,,,
183212,,,
185788,,,
185781,,,
1857811,,,
1857812,,,
1872314,,,
1872315,,,
18723161,,,
18723162,,,
18723163,,,
1872317,,,
1872318,,,
1872319,,,
187232,,,
1872321,,,
1872322,,,
1872323,,,
18921,,,
18922,,,
18931,,,
18932,,,
18943,,,
18951,,,
18952,,,
18953,,,
18961,,,
18962,7,4,7
18971,78,73,76
18972,,,
18991,,,
18992,,,
1891,321,294,321
18912,,,
189131,255,194,255
189132,,,
189141,,,
189142,,,
18915,,,
18917,,,
189181,,,
189191,,,
189192,,,
189193,,,
1892,,,
18921,68,34,68
18922,,,
18923,,,
18924,,,
189251,6,43,6
189252,3,23,3
18926,,,
189271,,,
1892721,,,
1892722,,,
189281,,,
189282,,,
1892911,,,
1892912,,,
1892921,,,
1892922,,,
1893,,,
18931,1,1,1
18911,,,
18912,,,
189131,,,
189132,,,
189141,,,
189142,,,
189151,,,
189152,,,
1891612,,,
1891621,,,
1891622,,,
1891623,,,
1891624,,,
189171,,,
189172,,,
18918,,,
189191,,,
189192,,,
1891111,,,
1891112,,,
1891113,,,
1891114,,,
1891121,,,
1891122,,,
189111,,,
189112,,,
189113,,,
189114,,,
1919729,,,
191973,,,
1919731,,,
1919732,,,
1919733,,,
1919734,1,1,1
193964,,,
1939641,,,
1939642,,,
1939643,,,
1939644,,,
1939645,,,
1939646,,,
1939647,,,
19531,,,
195321,,,
195322,,,
19533,,,
195341,,,
195342,,,
19535,,,
19536,,,
195371,2,2,2
195372,14,14,
195381,,,
195382,,,
195392,,,
195393,,,
195394,,,
19531,,,
195311,,,
195312,,,
1972,36,16,36
19741,,,
19742,,,
1975,,,
1976,,,
19771,,,
19772,,,
1978,,,
19791,,,
19792,,,
19793,,,
19711,49,43,37
19712,,,
19711,,,
19712,69,38,69
197132,,,
19714,,,
197151,,,
197152,,,
19718,,,
197191,48,35,48
197192,,,
1972,,,
19721,,,
19722,,,
197231,,,
197232,,,
19724,,,
197251,,,
197252,,,
19726,,,
19727,111,95,111
19728,,,
19729,,,
1973,,,
19731,,,
197322,37,8,37
197323,,,
197324,312,298,312
197325,,,
197331,,,
197332,,,
197342,,,
197344,,,
197345,,,
197346,,,
197347,38,37,38
197348,,,
197351,,,
197352,,,
197362,,,
197365,,,
197366,,,
197367,,,
197368,,,
197373,,,
197374,,,
197375,,,
197376,,,
197377,,,
197378,,,
197379,,,
197371,,,
19738,,,
197391,,,
197392,,,
1974,,,
19741,,,
19748,,,
19749,,,
1975,,,
19751,,,
19752,,,
19753,,,
19754,,,
19755,,,
19756,,,
19757,,,
19758,,,
19759,,,
1976,,,
197612,,,
197613,,,
197614,,,
197615,,,
19762,,,
197631,,,
197632,,,
197642,,,
197643,,,
197644,,,
197645,,,
197646,,,
197647,,,
197651,,,
197652,,,
19766,,,
197671,,,
197672,,,
197681,,,
197682,,,
197691,,,
197692,,,
1977,,,
197711,,,
197712,,,
197713,,,
197721,,,
197722,,,
19773,,,
19774,,,
19775,,,
19776,,,
19777,,,
199756,,,
199757,,,
199758,,,
199759,,,
19976,,,
199761,,,
199762,,,
1111,351,328,351
1112,13,8,13
1113,,,
1114,,,
1115,,,
1116,,,
1117,7,6,7
1119,,,
1111,126,87,126
11111,,,
11112,,,
11113,,,
11114,,,
11115,,,
11116,,,
11117,,,
11118,29,172,29
11119,,,
1112,,,
11121,33,34,33
111221,,,
111222,,,
11123,,,
11124,17,24,17
11125,37,24,37
11126,,,
11127,,,
11128,,,
11129,,,
1113,,,
11131,,,
11132,,,
111331,,,
111332,,,
111511,,,
111512,,,
111531,,,
111532,,,
111542,,,
111543,,,
111546,,,
111547,,,
111548,,,
111549,59,27,59
111541,,,
111551,,,
111552,,,
111553,,,
111554,,,
111563,,,
111564,,,
111565,,,
111566,,,
111567,,,
111568,,,
111569,,,
111561,,,
1115611,,,
1115612,,,
11157,,,
11158,,,
111591,,,
111592,,,
1116,,,
11161,,,
1131,8,4,8
1132,,,
1133,,,
1134,,,
1136,,,
1137,35,8,35
1138,3,18,3
1139,,,
1131,,,
113511,,,
113513,,,
113515,8,7,8
113516,,,
113517,,,
113518,,,
113519,,,
11352,,,
113531,,,
113532,,,
113533,,,
113534,,,
113544,,,
113545,,,
11355,,,
11356,,,
113571,,,
113572,,,
1156868,,,
115687,,,
1156871,,,
1175,,,
11751,,,
11752,,,
11753,,,
11754,,,
1191886,,,
1191887,,,
1191888,,,
1191889,,,
119189,,,
1191891,,,
1191892,,,
1191893,,,
11111,,,
11112,,,
11113,,,
11114,,,
11115,,,
11116,,,
111332,,,
111333,,,
1113341,,,
1113342,,,
111335,,,
111336,,,
111337,,,
111338,,,
1113391,,,
1113392,,,
111331,,,
1113311,,,
1113312,,,
1115413,,,
1115414,,,
1115415,,,
1115416,,,
1115421,,,
1115423,,,
1115424,,,
1115425,,,
111543,,,
1115441,,,
1115442,,,
1115451,,,
1115452,,,
1117312,,,
1117313,,,
11173211,,,
11173212,,,
11173213,,,
11173214,3,3,3
11173215,,,
11173216,,,
11173217,,,
1117333,,,
1117334,,,
1117335,,,
1117336,,,
11173314,,,
11173315,,,
11173316,,,
11173317,,,
11173319,,,
1117332,,,
1117333,,,
11173331,,,
11173332,,,
11173333,,,
11173334,,,
11173336,,,
11173337,,,
1117334,,,
11173341,,,
11173342,,,
11173344,,,
11173345,,,
1117345,,,
1117346,,,
1117347,5,5,5
1117348,,,
1117351,,,
1117352,,,
1117364,,,
1117365,,,
1117367,,,
1117368,,,
1117369,12,1,12
1117371,,,
1117373,,,
1117374,,,
111738,,,
111739,,,
111798,,,
1119113,,,
1119114,,,
1119115,,,
1119116,,,
1121111,,,
1121112,,,
1121121,,,
1121122,,,
1121131,,,
1121132,,,
112114,,,
112115,,,
112116,,,
112117,,,
112119,68,71,68
112111,,,
1121111,,,
1121112,,,
1121113,,,
1121114,,,
1121115,,,
1121116,,,
1121117,,,
1121118,,,
1121119,,,
112112,,,
11239619,,,
1123962,,,
11239621,,,
11239622,,,
11239623,,,
11239624,,,
112396251,,,
112396252,,,
11239626,,,
11239627,,,
1125111,,,
1125112,,,
1125113,,,
1125121,,,
1125122,,,
1125123,,,
1125124,,,
1125131,,,
1125132,,,
1125133,,,
1125143,,,
1125144,,,
1125145,,,
1125146,,,
1125147,,,
112515,,,
1125161,,,
1125162,,,
1125171,,,
1125172,,,
1125173,,,
1125182,,,
1125183,,,
1125184,,,
1125112,,,
11251141,,,
11251142,,,
1125116,27,27,27
11251171,,,
11251173,,,
1125118,,,
11251191,,,
11251192,73,3,73
112512,,,
1125121,,,
11251233,267,267,267
11251234,,,
11251235,,,
11251243,,,
11251244,,,
11251245,1,6,1
11251251,,,
11251252,,,
11251253,,,
1125126,,,
1125127,,,
1125128,,,
112721,,,
112722,,,
112723,,,
112724,,,
112726,,,
112727,,,
112728,,,
112729,,,
112721,,,
1127211,,,
1127212,,,
1127213,,,
1127214,,,
1127215,,,
1127216,,,
1127217,,,
1127218,,,
1127219,,,
1129439,,,
112944,,,
1129441,,,
1129442,,,
1129443,,,
1131347,,,
1131348,,,
1131351,,,
1131352,,,
113396551,,,
113396552,,,
113396553,,,
11339656,,,
11339657,14,14,14
11339658,,,
11339659,,,
2131,,,
2161,,,
2162,,,
2211,,,
2212,,,
2221,,,
2222,,,
2223,,,
2224,,,
223,,,
224,,,
225,,,
226,,,
2271,,,
2272,,,
2273,,,
2281,,,
2282,,,
2291,,,
2292,,,
221,,,
2211,,,
2212,,,
2213,,,
2214,,,
2215,,,
22161,,,
22162,,,
22171,,,
22172,,,
221731,,,
221732,,,
22181,,,
22182,,,
2219,,,
222,,,
2221,,,
22221,,,
22222,,,
22231,,,
22232,,,
22233,,,
2224,,,
22251,,,
22252,,,
22261,,,
22262,,,
22263,,,
22272,,,
222711,,,
222712,,,
222811,,,
222812,,,
222813,,,
222821,,,
222822,,,
222823,,,
2229,,,
251,,,
252,,,
253,,,
261,,,
2681,,,
271,,,
272,,,
291,,,
292,,,
293,,,
294,,,
295,,,
296,,,
297,,,
298,,,
299,,,
291,,,
2911,,,
2912,,,
2913,,,
2914,,,
2915,,,
2916,,,
2917,,,
2918,,,
2919,,,
211,,,
2152,,,
2153,,,
2111,,,
2112,,,
2113,,,
2114,,,
2115,,,
2116,,,
21221,,,
21222,,,
21223,,,
21224,,,
21225,,,
21226,,,
21227,,,
21228,,,
21229,,,
21221,,,
212211,,,
212212,,,
212213,,,
2131,,,
2132,,,
2133,,,
2134,,,
2151,,,
2152,,,
2153,,,
2154,,,
2155,,,
21581,,,
21641,,,
21711,,,
21712,,,
2172,,,
2173,,,
21741,,,
21742,,,
21751,,,
21752,,,
21761,,,
21763,,,
21764,,,
21771,,,
21773,,,
21775,,,
21776,,,
2178,,,
2179,,,
21711,,,
21713,,,
21714,,,
21711,,,
217121,,,
217122,,,
21713,,,
2181,,,
2182,,,
21851,,,
21852,,,
21853,,,
21881,,,
21882,,,
21952,,,
21981,,,
21982,,,
21983,,,
2198941,,,
2221,,,
2222,,,
2231,,,
2241,,,
2244,,,
22611,,,
22612,,,
22613,,,
22753,,,
22821,,,
2291,,,
2292,,,
2293,,,
2294,,,
419426,,,
419427,,,
41944,,,
419441,,,
4194421,,,
4194422,,,
419443,,,
4194491,,,
4194492,,,
419451,,,
419452,,,
419451,,,
41972,184,184,184
41973,,,
419751,,,
419752,,,
431,,,
4321,,,
4322,,,
4323,,,
4331,,,
4332,,,
4333,,,
434,,,
435,,,
436,,,
437,,,
438,,,
4391,,,
4392,,,
431,3,3,3
4311,43,43,43
4312,,,
4313,,,
43141,,,
43142,,,
43151,,,
43152,,,
43161,2,2,2
43162,,,
43171,,,
43172,,,
43173,,,
4318,,,
4319,,,
4321,,,
4322,,,
4321,,,
451,,,
452,,,
453,452,452,452
454,1,1,1
455,,,
456,,,
457,,,
458,299,277,28
459,,,
451,,,
45111,,,
45112,,,
4512,,,
45131,,,
45132,,,
4515,,,
4516,,,
4517,,,
452,,,
4521,11,11,11
4522,,,
4523,,,
4594221,,,
4594222,,,
459449,,,
45945,,,
459451,,,
459452,,,
471,,,
472,,,
4731,,,
4732,,,
474,,,
475,9,9,
476,,,
477,,,
478,,,
479,,,
471,,,
4711,11,11,11
4712,,,
4713,,,
47942,,,
47944,,,
49945,,,
499611,,,
4996121,,,
4996122,,,
499613,,,
499614,48,42,48
499615,,,
499616,,,
499617,4,4,4
411961,,,
411962,,,
411963,,,
41221,,,
412221,,,
412222,,,
412251,,,
412252,,,
412262,,,
412942,,,
412943,,,
41298,,,
413111,,,
413112,,,
413341,,,
413342,,,
413452,,,
413456,,,
413457,,,
4134512,,,
4134513,,,
4134514,,,
4134515,,,
4134516,,,
4134517,,,
4134518,,,
4134519,,,
413452,,,
4134521,,,
4134522,,,
4134523,,,
4134524,,,
4134525,,,
4134526,,,
4134527,,,
4134528,,,
4134529,,,
413453,,,
4134531,,,
413563,,,
413564,,,
413565,44,6,44
413566,,,
413567,,,
413568,,,
413569,,,
413561,,,
4135611,,,
413571,,,
413572,,,
413681,,,
413682,,,
413691,,,
413692,,,
413693,,,
413694,,,
413619,,,
413611,,,
4136111,,,
4136112,,,
4136113,,,
4136114,,,
4136115,,,
4136116,,,
4136117,,,
4136118,,,
4136119,,,
413612,,,
4136121,,,
4136122,,,
4136123,,,
4136124,,,
4136125,,,
4136126,,,
4136127,,,
4136128,,,
4136129,,,
413613,,,
4136131,,,
4136132,,,
4136133,,,
4136134,,,
4136135,,,
4136136,,,
4136137,,,
4136138,,,
4136139,,,
413614,,,
4136141,,,
4136142,,,
4136143,,,
4136144,,,
4136145,,,
4136146,,,
4136147,,,
413611,,,
413612,,,
413613,,,
4136141,1,27,1
4136142,,,
4137153,,,
4137154,,,
4137155,,,
4137156,,,
4137159,,,
4137151,,,
41371511,,,
41371512,,,
41371513,,,
41371514,,,
41371515,,,
41371516,,,
41371517,,,
413716,,,
4137171,,,
4137172,,,
4137181,,,
4137182,,,
4137193,,,
4137196,,,
4137199,,,
4137191,,,
41371911,,,
41371912,,,
41371913,,,
41371914,,,
41371915,,,
413822,,,
413827,,,
413828,,,
413829,,,
413821,,,
4138212,,,
4138216,,,
4138217,,,
4138218,,,
4138219,,,
413822,,,
4138221,,,
4138222,,,
4138223,,,
4138224,,,
4138225,,,
4138226,,,
4138227,,,
4138228,,,
4138223,,,
4138224,,,
4138225,,,
4138226,,,
4138227,,,
4138228,,,
4138229,,,
4138221,,,
41382211,,,
41383,,,
4139235,,,
4139236,,,
4139237,,,
4139238,,,
4139239,,,
41392311,,,
41392312,,,
4139241,,,
4139242,,,
413925,19,158,19
413926,,,
4139275,,,
4139278,,,
4139279,,,
4139271,,,
41392711,,,
41392712,,,
41392713,,,
41392715,,,
41392716,,,
41392717,,,
41392718,,,
41392719,,,
4139272,,,
41392721,,,
41392723,,,
41392724,,,
4139281,,,
4139282,,,
413929,,,
413931,,,
413932,,,
4139311,,,
4139314,,,
4139315,,,
4139316,,,
413932,,,
4131325,,,
4131326,,,
4131327,,,
4131328,,,
4131329,,,
4131321,,,
41313211,,,
41313212,,,
41313214,,,
41313215,,,
41313216,,,
41313217,,,
41313219,,,
4131322,,,
4131332,,,
4131333,,,
4131334,,,
4131335,,,
4131336,,,
413134,,,
4131351,,,
4131352,,,
4131364,,,
4131365,,,
4131366,,,
4131367,,,
4131368,,,
4131369,,,
41313611,,,
41313612,,,
41313614,,,
41313615,,,
4131371,,,
4131372,,,
413139,,,
41314,,,
413141,,,
4131422,,,
4131423,,,
4131424,,,
4131425,1,9,1
4131426,,,
4131427,,,
41314212,,,
41314214,,,
41314215,,,
41314216,,,
41314217,,,
41314218,,,
41314219,,,
41314221,,,
41314222,,,
41314223,,,
41314224,,,
41314225,,,
41314226,,,
41314227,,,
4131431,,,
4131432,,,
4131441,,,
4131442,,,
4131451,,,
4131452,1,97,1
413146,,,
4131471,83,6,83
4131472,,,
4131481,58,64,58
4131482,,,
413149,,,
413152,,,
413153,,,
413154,,,
4131511,,,
4131512,,,
4131513,,,
413152,,,
413153,,,
413154,,,
4131551,,,
4131552,,,
4131553,,,
4131561,6,4,6
4131562,17,163,17
4131571,,,
4131572,,,
413158,,,
413159,,,
413161,,,
413162,,,
413163,,,
413161,,,
413162,,,
413163,,,
413164,,,
4131651,,,
4131652,,,
413166,,,
4131671,,,
4131672,,,
4131673,,,
4131681,,,
4131682,,,
413169,,,
41317,,,
4131711,,,
4131712,17,17,17
4131721,,,
4131722,,,
413173,298,213,298
413174,,,
413175,126,123,126
4131761,,,
4131762,,,
413177,,,
413178,,,
413179,,,
41318,,,
413181,,,
413182,,,
4131831,,,
4131832,,,
413184,,,
4131851,,,
4131852,,,
4131861,119,14,119
4131862,17,15,17
4131882,,,
4131891,,,
4131892,65,58,65
413191,,,
413192,122,95,122
413193,,,
4131911,,,
4131912,,,
413192,,,
413193,,,
413194,,,
413195,,,
4131961,68,71,68
4131962,,,
4131963,,,
4131964,,,
4131971,,,
4131972,,,
4131973,,,
4131974,,,
4131975,,,
4131981,,,
4131982,,,
413199,,,
413111,,,
413112,11,11,
413111,,,
413114,,,
4131151,1,82,1
4131152,171,166,171
413116,,,
4131171,,,
4131172,8,7,8
4131181,,,
4131182,,,
4131191,,,
4131192,25,21,25
413111,,,
4131111,14,1,14
41311121,,,
41311122,,,
41311123,,,
41311124,,,
4131113,,,
41311141,445,445,445
41311142,,,
41311151,,,
41311152,,,
41311161,,,
41311162,6,55,6
4131117,,,
4131118,3413,3713,3413
4131119,,,
4131121,,,
41311221,,,
41311222,,,
41311231,,,
41311232,,,
41311241,,,
41311242,,,
41311252,,,
41311253,,,
41311254,,,
41311255,,,
41311257,,,
41311258,,,
41311259,,,
41311251,,,
413112511,,,
413112512,,,
413112513,,,
413112514,,,
41311261,,,
41311262,,,
4131127,,,
4131129,14,13,14
413113,,,
4131131,91,8,91
41311321,,,
41311322,32,227,32
41311323,138,132,138
4131133,17,9,17
4131134,34,34,34
41311351,,,
41311352,,,
41311361,,,
41311362,655,725,644
4131137,,,
41311381,115,79,115
41311382,,,
4131139,6,56,6
413114,96,84,96
4131141,1,94,1
4131142,,,
41311431,47,472,47
41311432,,,
41311441,,,
41311442,,,
4131145,2,23,2
4131146,,,
41311473,4,38,4
4131148,35,21,35
4131149,,,
4131152,,,
4131153,65,57,65
4131154,,,
4131155,,,
4131156,,,
4131157,,,
41311581,,,
41311582,,,
4131159,,,
413116,,,
4131161,,,
41311622,,,
41311623,,,
41311624,,,
41311625,,,
4131163,,,
4131164,,,
4131165,,,
41311662,,,
41311663,,,
41311664,,,
41311665,,,
41311666,,,
41311667,,,
41311668,,,
41311669,,,
41311661,,,
413116611,,,
413116612,,,
413116613,,,
41311672,,,
41311673,,,
41311674,,,
41311677,,,
41311678,,,
41311679,13,13,
41311671,,,
413116711,,,
413116712,,,
413116713,,,
413116714,,,
413116715,,,
413116717,,,
413116718,,,
413116719,,,
41311672,,,
413116721,,,
413116725,,,
413116727,,,
413116728,,,
413116729,,,
41311673,,,
413116731,,,
413116732,,,
413116733,,,
4131168,,,
4131169,291,26,291
413117,,,
4131171,15,16,15
4131172,932,78,932
4131173,,,
41321686,,,
41321687,,,
41321689,,,
41321681,,,
413216813,,,
413216816,,,
413216818,,,
413216819,,,
41321682,,,
413216821,,,
413216822,,,
413216826,,,
413216829,,,
41321683,,,
413216831,,,
413216832,,,
413216833,,,
413216834,,,
413216835,,,
413216836,,,
413216837,,,
413216838,,,
413216839,,,
41321684,,,
413216841,,,
413216842,,,
413216843,,,
413216844,,,
413216845,,,
413216846,,,
413216847,,,
413216848,,,
413216849,,,
41321685,,,
413216851,,,
413216852,,,
413216853,,,
41321691,,,
41321692,,,
4132171,,,
4132172,,,
41321711,,,
41321712,,,
41321721,,,
41321723,,,
41321724,,,
4132173,,,
4132174,,,
41321751,,,
41321752,,,
4132176,,,
4132177,,,
4132178,,,
4132179,,,
413218,,,
4132181,,,
4132182,59,22,59
4132183,,,
4133184,,,
41331851,,,
4133187,,,
4133188,,,
4133189,147,69,147
413319,,,
41331911,,,
41331913,,,
41331914,,,
41331921,,,
41331922,,,
4133193,,,
41331941,,,
41331942,,,
41331943,,,
41331944,,,
4133195,,,
4133196,36,36,
41331973,,,
41331974,,,
41331975,,,
41331976,,,
4133198,,,
41331992,,,
41331993,,,
41331994,,,
41331995,,,
41331996,,,
41331997,,,
41331998,,,
41331999,,,
41331991,,,
413321,,,
413322,,,
413327,,,
413321,,,
4134214,,,
4134215,,,
4134217,,,
4134218,,,
4134219,,,
4134211,,,
41342111,,,
41342112,,,
41342113,,,
41342114,,,
41342115,,,
41342116,,,
4134222,,,
4134226,,,
4134227,,,
4134228,,,
4134229,,,
4134221,,,
41342211,,,
41342212,,,
41342213,,,
41342214,,,
41342215,,,
41342216,,,
4134231,,,
4134232,,,
4134233,,,
4134234,,,
4134241,14,81,14
4134242,,,
4134251,24,2,24
4134253,,,
4134254,,,
4134262,,,
4134263,,,
4134264,,,
4134274,,,
4134275,,,
4134276,,,
4134277,,,
4134278,,,
4134279,,,
4134271,,,
413428,,,
4134291,,,
4134292,,,
4134211,,,
4134212,236,172,236
41342111,,,
41342112,,,
41342121,,,
41342122,,,
41342132,,,
41342133,,,
41342134,23,162,23
4134214,277,245,277
41342151,,,
41342152,67,66,67
41342161,,,
41342162,,,
41342171,,,
41342172,,,
41342181,,,
41342182,,,
41342191,,,
41342192,132,121,132
4134221,,,
4134222,,,
41342212,,,
41342213,,,
41342214,,,
41342215,,,
