COUNTYFP,SVIth1,SVIth2,SVIth3,SVIth4,SVIS
21073,0.39,0.47,0.62,0.73,0.55
21079,0.7,0.82,0.13,0.15,0.43
21083,0.77,0.72,0.64,0.58,0.78
21089,0.62,0.74,0.02,0.15,0.32
21091,0.59,0.75,0.28,0.13,0.38
21093,0.42,0.77,0.5,0.66,0.57
21097,0.66,0.54,0.11,0.56,0.51
21101,0.58,0.93,0.32,0.77,0.71
21103,0.68,0.91,0.2,0.24,0.53
21107,0.65,0.83,0.21,0.43,0.55
21117,0.29,0.41,0.47,0.43,0.34
21123,0.71,0.87,0.34,0.15,0.53
21125,0.91,0.78,0.04,0.74,0.75
21141,0.7,0.7,0.36,0.25,0.53
21145,0.32,0.64,0.39,0.55,0.42
21149,0.68,0.85,0.02,0.23,0.42
21151,0.69,0.16,0.31,0.59,0.5
21157,0.4,0.49,0.01,0.43,0.27
21161,0.63,0.64,0.46,0.72,0.67
21163,0.48,0.26,0.19,0.43,0.32
21179,0.32,0.73,0.22,0.27,0.29
21185,0.01,0.1,0.33,0.16,0.04
21191,0.65,0.65,0.07,0.32,0.42
21199,0.89,0.86,0.18,0.52,0.74
21209,0.22,0.38,0.53,0.51,0.33
21211,0.37,0.31,0.74,0.38,0.43
21213,0.5,0.33,0.53,0.08,0.29
21215,0.2,0.17,0.17,0.03,0.04
21227,0.52,0.4,0.76,0.88,0.71
21229,0.63,0.48,0.47,0.35,0.51
21239,0.27,0.38,0.61,0.06,0.2
22015,0.49,0.47,0.65,0.66,0.59
22019,0.56,0.79,0.61,0.78,0.74
22055,0.43,0.3,0.79,0.84,0.62
22063,0.39,0.51,0.43,0.52,0.43
22093,0.66,0.54,0.49,0.6,0.63
22101,0.87,0.77,0.87,0.79,0.92
22103,0.27,0.5,0.69,0.18,0.31
22105,0.84,0.9,0.7,0.72,0.89
22109,0.8,0.8,0.77,0.85,0.9
22113,0.81,0.72,0.7,0.62,0.82
22115,0.75,0.61,0.58,0.65,0.74
23001,0.35,0.61,0.43,0.88,0.56
23005,0.04,0.04,0.48,0.59,0.14
23007,0.36,0.21,0.12,0.37,0.22
23009,0.15,0.35,0.11,0.54,0.19
23011,0.3,0.42,0.2,0.81,0.38
23013,0.14,0.27,0.06,0.47,0.15
23017,0.54,0.51,0.09,0.41,0.37
23019,0.42,0.4,0.14,0.86,0.45
23023,0.04,0.17,0.24,0.15,0.05
23025,0.76,0.73,0.16,0.56,0.62
23027,0.33,0.51,0.05,0.3,0.22
23029,0.68,0.82,0.34,0.52,0.64
23031,0.07,0.15,0.25,0.28,0.09
24009,0.13,0.17,0.44,0.01,0.05
24013,0.04,0.05,0.34,0.18,0.04
24015,0.27,0.22,0.5,0.45,0.29
24021,0.08,0.1,0.77,0.21,0.16
24023,0.26,0.33,0.07,0.36,0.18
24025,0.09,0.08,0.56,0.14,0.09
24035,0.03,0.06,0.53,0.03,0.02
24037,0.11,0.24,0.57,0.33,0.21
24043,0.46,0.53,0.58,0.8,0.61
25003,0.27,0.44,0.55,0.6,0.41
25007,0.02,0.07,0.49,0.01,0.01
25011,0.16,0.19,0.49,0.37,0.21
25019,0.01,0.04,0.59,0.07,0.03
25023,0.12,0.17,0.72,0.35,0.23
26005,0.21,0.17,0.42,0.25,0.18
26007,0.47,0.67,0.12,0.32,0.34
26015,0.21,0.21,0.17,0.11,0.09
26017,0.56,0.67,0.27,0.32,0.44
26021,0.49,0.62,0.65,0.74,0.65
26023,0.49,0.63,0.52,0.79,0.63
26027,0.44,0.72,0.32,0.16,0.33
26029,0.14,0.26,0.19,0.17,0.1
26037,0.08,0.08,0.33,0.08,0.04
26041,0.32,0.82,0.12,0.48,0.35
26043,0.24,0.6,0.1,0.38,0.23
26047,0.14,0.24,0.21,0.3,0.14
26055,0.12,0.15,0.29,0.54,0.18
26059,0.53,0.41,0.23,0.75,0.5
26061,0.63,0.03,0.36,0.93,0.5
26063,0.42,0.44,0.13,0.29,0.27
26067,0.45,0.28,0.29,0.83,0.48
26075,0.48,0.56,0.38,0.76,0.55
26079,0.72,0.74,0.13,0.31,0.51
26087,0.35,0.14,0.39,0.3,0.24
26091,0.34,0.55,0.52,0.42,0.41
26093,0.03,0.04,0.17,0.05,0.01
26099,0.32,0.2,0.74,0.31,0.33
26103,0.43,0.07,0.33,0.58,0.31
26105,0.39,0.66,0.24,0.33,0.34
26107,0.72,0.19,0.16,0.93,0.6
26109,0.28,0.58,0.16,0.42,0.28
26111,0.2,0.16,0.2,0.4,0.16
26113,0.63,0.79,0.22,0.28,0.48
26115,0.24,0.22,0.25,0.22,0.15
26117,0.6,0.74,0.28,0.72,0.61
26121,0.63,0.73,0.42,0.79,0.7
26123,0.67,0.75,0.41,0.5,0.63
26127,0.74,0.89,0.73,0.73,0.86
26133,0.74,0.9,0.16,0.77,0.74
26137,0.41,0.78,0.08,0.45,0.37
26139,0.12,0.08,0.65,0.49,0.22
26145,0.62,0.75,0.61,0.64,0.7
26147,0.41,0.46,0.25,0.23,0.28
26149,0.55,0.8,0.59,0.58,0.65
26151,0.63,0.68,0.28,0.3,0.48
26155,0.28,0.35,0.09,0.14,0.13
26157,0.57,0.46,0.2,0.38,0.4
26159,0.56,0.53,0.68,0.68,0.66
26165,0.62,0.84,0.12,0.39,0.5
27003,0.03,0.17,0.67,0.21,0.14
27005,0.19,0.68,0.32,0.44,0.3
27015,0.06,0.27,0.27,0.32,0.13
27017,0.21,0.3,0.22,0.66,0.27
27023,0.14,0.65,0.61,0.46,0.35
27025,0.04,0.12,0.11,0.29,0.06
27029,0.69,0.86,0.41,0.83,0.79
27033,0.31,0.74,0.63,0.44,0.47
27035,0.09,0.57,0.07,0.25,0.12
27041,0.03,0.22,0.08,0.21,0.04
27043,0.18,0.38,0.28,0.19,0.16
27045,0.16,0.35,0.31,0.42,0.22
27047,0.3,0.73,0.64,0.33,0.43
27049,0.08,0.2,0.38,0.43,0.17
27051,0.12,0.56,0.1,0.12,0.09
27055,0.03,0.16,0.11,0.09,0.02
27059,0.14,0.36,0.1,0.2,0.1
27061,0.28,0.41,0.19,0.69,0.33
27063,0.05,0.17,0.34,0.04,0.03
27065,0.3,0.67,0.07,0.45,0.28
27067,0.21,0.45,0.74,0.51,0.41
27069,0.1,0.18,0.02,0.46,0.1
27071,0.45,0.67,0.24,0.51,0.44
27079,0.09,0.19,0.47,0.18,0.11
27085,0.06,0.4,0.42,0.15,0.13
27089,0.16,0.25,0.32,0.2,0.14
27091,0.18,0.67,0.21,0.23,0.19
27093,0.06,0.35,0.36,0.44,0.19
27097,0.26,0.42,0.19,0.49,0.27
27107,0.19,0.32,0.5,0.61,0.32
27111,0.11,0.26,0.39,0.48,0.21
27115,0.43,0.37,0.31,0.74,0.46
27121,0.03,0.23,0.07,0.13,0.03
27125,0.11,0.39,0.18,0.32,0.15
27127,0.2,0.62,0.27,0.28,0.23
27129,0.18,0.24,0.42,0.3,0.2
27133,0.1,0.42,0.23,0.3,0.15
27135,0.13,0.27,0.38,0.57,0.25
27137,0.27,0.15,0.25,0.82,0.31
27143,0.1,0.18,0.63,0.13,0.13
27147,0.17,0.32,0.48,0.57,0.3
27151,0.24,0.7,0.46,0.3,0.32
27153,0.39,0.48,0.56,0.57,0.48
27157,0.05,0.2,0.28,0.12,0.06
27161,0.15,0.33,0.46,0.43,0.25
27163,0.01,0.15,0.56,0.13,0.07
27167,0.04,0.55,0.07,0.68,0.19
27173,0.22,0.77,0.43,0.35,0.33
28003,0.86,0.74,0.55,0.25,0.7
28033,0.31,0.41,0.73,0.14,0.3
28045,0.69,0.9,0.3,0.31,0.59
28057,0.69,0.73,0.18,0.46,0.55
28059,0.64,0.76,0.67,0.14,0.54
28081,0.66,0.81,0.65,0.77,0.8
28089,0.17,0.33,0.8,0.27,0.29
28093,0.82,0.32,0.58,0.54,0.69
28095,0.78,0.7,0.44,0.35,0.64
28109,0.77,0.8,0.37,0.52,0.71
28121,0.21,0.22,0.55,0.58,0.31
28129,0.61,0.76,0.39,0.19,0.47
28159,0.86,0.97,0.72,0.79,0.93
28161,0.66,0.81,0.4,0.77,0.73
29003,0.15,0.27,0.04,0.04,0.03
29007,0.73,0.5,0.44,0.47,0.62
29011,0.65,0.95,0.13,0.46,0.6
29013,0.4,0.88,0.08,0.4,0.39
29021,0.55,0.63,0.61,0.86,0.72
29025,0.37,0.74,0.2,0.69,0.45
29031,0.46,0.12,0.39,0.73,0.41
29033,0.7,0.78,0.15,0.37,0.53
29037,0.15,0.4,0.4,0.07,0.12
29039,0.83,0.99,0.04,0.2,0.64
29041,0.33,0.64,0.03,0.18,0.19
29043,0.25,0.4,0.24,0.12,0.15
29045,0.38,0.75,0.25,0.3,0.34
29047,0.07,0.25,0.58,0.14,0.14
29049,0.28,0.7,0.14,0.08,0.16
29051,0.2,0.27,0.38,0.51,0.26
29057,0.85,0.79,0.19,0.43,0.66
29059,0.67,0.98,0.23,0.54,0.7
29061,0.46,0.62,0.22,0.65,0.47
29071,0.31,0.31,0.1,0.17,0.15
29073,0.27,0.43,0.08,0.04,0.09
29075,0.55,0.67,0.11,0.46,0.44
29079,0.51,0.81,0.43,0.68,0.62
29081,0.66,1.0,0.39,0.4,0.74
