FIPS,Total Population,Area Land,Internet Total,No Internet Access
480050007003,1385,0.4114614,467,150
480050008001,3398,3.669899,1122,171
480050008002,815,1.98374,370,57
480050008003,1287,1.23644,505,12
480050008004,433,0.4266251,206,79
480050009011,2175,1.37981,806,59
480050009012,1194,1.005888,491,37
480050009013,1218,0.8058478,485,87
480050009014,1790,0.620801,703,168
480050009021,2892,2.463682,1256,111
480050009022,812,1.763586,351,27
480050010011,1185,28.57473,435,76
480050010012,1605,2.058234,569,36
480050010013,2096,1.314555,334,100
480050010021,2519,85.17513,897,62
480050010022,1512,1.789512,536,134
480050011001,2584,58.28614,1013,220
480050011002,3381,30.33422,1185,150
480050011003,751,4.182646,210,23
480050012001,1397,112.8067,573,168
480050012002,366,35.63403,173,52
480050012003,637,5.65132,309,75
480050013001,2082,5.785434,775,170
480050013002,2478,50.07995,877,190
480050013003,1006,99.88211,407,27
480079501001,1852,174.2973,822,114
480079501002,772,2.974284,449,94
480079501003,1797,5.405594,729,113
480079501004,357,0.2518325,138,0
480079501005,555,0.4402395,273,55
480079502001,346,0.2999647,179,18
480079502002,739,0.7332181,427,44
480079503001,2715,2.395428,1221,31
480079503002,1310,0.8043948,447,21
480079503003,1516,2.779397,664,102
480079503004,2057,0.5057058,501,93
480079504001,1971,0.7284493,605,74
480079504002,1291,0.6921588,379,43
480079504003,1311,0.9113479,421,87
480079505001,2073,9.878291,903,195
480079505002,619,4.717968,146,13
480079505003,544,1.870564,295,144
480079505004,2637,42.38795,949,238
480079900000,0,0,0,0
480090201001,1645,4.864532,613,36
480090201002,1294,64.05968,493,46
480090202001,699,492.341,315,88
480090202002,930,10.37711,353,102
480090202003,694,6.295338,288,65
480090203001,1230,51.11256,458,101
480090203002,856,240.8851,361,13
480090203003,596,32.86232,255,41
480090203004,772,0.3121945,316,97
480119501001,555,322.0087,197,56
480119501002,846,0.3851427,288,17
480119501003,572,586.7153,209,37
480139601001,1816,30.67294,528,89
480139601002,2764,71.80638,1040,165
480139601003,1776,1.256855,505,147
480139601004,857,271.7835,476,189
480139602011,1392,4.990702,436,40
480139602012,1529,3.945967,505,90
480139602013,4405,77.74726,1135,92
480139602021,2916,14.51213,815,205
480139602022,2857,57.66541,861,55
480139602023,1619,37.13403,528,78
480139602024,3649,15.57631,1037,236
480139603001,2116,5.116663,700,158
480139603002,1591,3.598253,466,80
480139604011,2450,20.46305,777,207
480139604021,370,0.2730449,112,22
480139604022,4030,8.763353,1394,25
480139604023,647,8.281964,226,29
480139604024,679,0.4532531,226,23
480139604025,3378,4.220088,950,108
480139605001,1685,125.6714,515,170
480139605002,860,141.8758,323,93
480139606001,2433,48.2723,827,264
480139606002,2060,11.13903,520,64
480139606003,878,8.502457,338,34
480139606004,771,245.8221,306,25
480157601001,1482,35.4224,490,200
480157601002,1299,32.32468,493,206
480157602001,797,19.45153,375,103
480157602002,2360,26.59252,851,105
480157602003,719,8.645524,307,144
480157602004,2000,3.540411,598,54
480157603001,1169,39.86775,654,225
480157603002,2393,43.19718,667,208
480157603003,2056,55.16669,794,74
480157603004,1159,0.5901676,436,0
480157604001,1567,86.5443,640,77
480157604002,1403,43.36294,499,178
480157604003,1039,60.1548,419,64
480157605011,1523,49.87096,559,102
480157605012,2744,58.9812,989,144
480157605013,627,0.9119452,219,11
480157605021,1155,34.75335,451,135
480157605022,623,40.79093,234,33
480157605023,1609,4.75647,740,150
480157605024,2040,1.582625,886,338
480179501001,1391,5.06617,355,22
480179501002,2586,15.90928,940,242
480179501003,1606,0.2840268,294,78
480179501004,394,0.5416821,140,113
480179501005,167,114.4382,79,12
480179501006,956,690.5579,246,64
480190001011,3396,86.15085,1338,104
480190001012,997,1.809847,436,82
480190001021,2055,32.1341,683,85
480190001022,2825,56.67461,1029,290
480190001023,1075,36.28265,495,25
480190002001,1794,242.2768,593,108
480190002002,1031,233.7278,428,92
480190003001,2918,9.939531,894,49
480190003002,2277,59.39849,926,176
480190003003,1579,24.45632,647,162
480190004001,1331,3.39235,528,53
480190004002,937,4.717405,402,80
480219501001,2017,24.72014,539,117
480219501002,2031,43.12841,680,206
480219501003,1731,28.03839,637,225
480219501004,1388,16.25603,477,38
480219501005,1131,39.1232,354,77
480219502001,2126,5.408787,513,63
480219502002,3182,2.334903,852,90
480219502003,2053,2.629715,482,60
480219502004,801,1.779321,259,166
480219502005,1211,2.157737,375,98
480219503001,1263,14.69101,436,18
480219503002,6281,32.58202,1808,200
480219503003,2488,7.886675,764,52
480219503004,2611,25.3431,802,43
480219503005,3391,53.73835,1224,266
480219504001,1266,2.342705,443,64
480219504002,2275,3.550719,869,152
480219504003,1191,0.984337,486,24
480219504004,2387,6.609146,838,70
480219504005,2256,3.853999,880,0
480219505011,3137,42.59347,899,229
480219505012,2649,17.44194,638,151
480219505013,2802,3.107116,486,28
480219505021,2889,81.47417,1061,216
480219505022,2031,43.57091,664,100
480219505023,1466,7.701543,454,53
480219506001,2976,77.86407,888,225
480219506002,977,86.04413,417,115
480219506003,1547,79.148,634,156
480219507001,1260,0.5467917,463,44
480219507002,716,6.338171,277,87
480219507003,1147,0.4404611,444,140
480219507004,1456,2.50069,541,143
480219508011,2630,12.97699,640,92
480219508012,1623,33.79425,488,98
480219508013,3761,7.362734,696,33
480219508021,5544,22.46212,1418,217
480219508022,1475,15.63652,301,17
480219508023,1356,29.9876,444,143
480239503001,623,823.2761,265,68
480239503002,825,8.980949,335,75
480239503003,798,19.85948,343,65
480239503004,469,15.00724,242,89
480239503005,862,0.3577465,345,54
480259501001,559,46.21648,218,93
480259501002,1260,186.151,394,135
480259502011,3860,0.4703775,0,0
480259502012,2669,0.5472631,0,0
480259502013,1888,148.8497,345,99
480259502021,1254,58.28463,270,124
480259502022,1709,140.1331,598,351
480259502023,1644,44.68458,480,46
480259502024,1102,85.37627,329,156
480259503001,812,1.296703,331,68
480259503002,1810,1.674875,587,246
480259503003,1235,0.5618617,405,98
480259503004,790,0.1423902,287,128
480259503005,1073,0.4243197,388,108
480259504001,1338,1.42618,413,179
480259504002,851,0.3973266,215,81
480259505001,980,0.572439,429,72
480259505002,768,0.9852945,293,122
480259505003,943,0.3313421,318,110
480259505004,542,0.2883982,161,27
480259505005,406,0.2166246,141,62
480259505006,1910,0.9047019,684,218
480259505007,666,0.4205128,163,18
480259506001,2542,159.883,820,317
480270201001,2758,74.8838,873,144
480270201002,3382,12.10415,1038,101
480270201003,1504,54.06763,534,105
480270202011,2602,3.556268,852,52
480270202012,6143,4.034022,1964,38
480270202021,3185,25.3019,1235,93
480270202022,2581,3.689744,940,120
480270202023,1554,43.16278,525,194
480270203001,3344,17.09045,1030,198
480270203002,7899,7.321872,2576,129
480270204011,754,10.99026,347,95
480270204012,2556,0.8700307,951,220
480270204021,2498,21.62578,925,244
480270205001,1264,0.8760504,434,36
480270205002,1471,0.548655,488,53
480270205003,973,0.2985315,407,72
480270206001,840,0.4456152,330,53
480270206002,1158,0.3631438,384,38
480270206003,652,0.1885495,250,20
480270207011,738,0.43568,320,96
480270207012,736,0.1501648,426,201
480270207021,663,1.023238,252,138
480270207022,1065,0.408293,336,65
480270208001,665,10.40826,272,122
480270208002,815,1.159446,251,149
480270208003,1417,0.4003443,476,185
480270209001,2166,4.687317,723,256
480270209002,721,0.2200717,254,73
480270210001,372,0.2193369,150,0
480270210002,741,0.184807,291,44
480270210003,866,0.1838537,318,100
480270210004,834,0.572788,486,66
480270210005,997,0.1322099,239,81
480270210006,427,0.1353759,187,35
480270211001,1046,0.2584927,325,64
480270211002,1174,0.2419142,371,87
480270211003,1211,0.2151083,396,42
480270211004,711,0.3112775,475,29
480270211005,1605,0.5485786,543,93
480270212011,1019,0.3672164,545,64
480270212012,1017,0.2443753,479,30
480270212013,1308,0.9231247,583,96
480270212021,968,0.3578966,434,82
480270212022,1625,0.3338344,612,43
480270212023,1508,0.8701978,503,16
480270212031,2049,5.220287,889,91
480270212032,2507,0.6574582,1110,98
480270213011,690,0.1987789,316,41
480270213012,2157,0.4979463,835,117
480270213013,2296,0.3653862,917,157
480270213021,2111,0.6897924,935,74
480270213022,864,0.6226959,326,28
480270213031,6065,6.413083,2063,65
480270213032,3416,1.129922,1267,137
480270213033,756,0.3350101,317,34
480270214001,1470,13.22914,462,51
480270214002,1391,16.05846,516,145
480270214003,1489,6.985018,485,132
480270215001,2615,2.827414,783,162
480270215002,2172,0.8993165,665,164
480270215003,2599,19.73432,793,28
480270216011,985,0.3333205,467,146
480270216012,865,0.5187989,230,66
480270216013,907,0.2074458,312,33
480270216014,1292,0.4724686,451,146
480270216015,1540,3.462438,584,132
480270216021,2881,5.023303,454,63
480270217001,4995,4.617177,2102,207
480270217002,1708,2.261943,921,31
480270217003,758,0.3711774,309,31
480270217004,1293,1.127147,425,35
480270218001,3888,14.33941,1301,42
480270218002,4768,7.54113,1642,232
480270218003,734,2.051292,334,26
480270219011,671,0.3469993,263,37
480270219012,850,0.3569538,268,10
480270219013,1210,0.4359924,369,95
480270219014,804,0.2973245,275,22
480270219031,1642,0.6266323,648,17
480270219032,2897,0.8780524,1121,123
480270219033,4565,1.384755,1311,0
480270219041,4228,1.492514,1532,112
480270219042,1709,0.6510239,625,0
480270219043,3922,5.255996,1216,19
480270219044,2250,0.5326052,716,142
480270220001,3964,18.27185,1419,184
480270220002,2194,0.6978527,719,171
480270220003,1146,0.7293312,394,173
480270220004,876,0.2480513,293,32
480270221011,1651,0.316998,564,7
480270221012,835,0.265195,336,59
480270221013,1283,0.2625051,539,34
480270221014,528,0.06250376,285,0
480270221031,3138,0.4229193,906,54
480270221032,2510,0.5689386,934,104
480270221041,826,0.2147261,374,87
480270221042,1093,0.1220766,459,67
480270221043,1266,0.1819348,567,122
480270221044,1011,0.1706591,373,36
480270221051,981,0.4223699,362,26
480270221052,1120,0.3379321,403,17
480270222001,704,0.2297698,308,91
480270222002,1778,0.6108843,766,216
480270222003,1122,1.152383,544,59
480270223001,1086,0.6962662,533,135
480270223002,1058,0.3208559,414,78
480270223003,816,0.8288054,419,17
480270223004,815,1.55307,315,13
480270224011,994,0.2754194,303,85
480270224012,4872,1.206845,1857,261
480270224021,5970,2.233661,1645,20
480270224022,1960,0.4618048,656,52
480270224031,878,0.1500945,274,19
480270224032,3264,0.5413712,1022,62
480270224033,426,0.1290867,254,22
480270224041,5729,1.593603,1857,74
480270224042,1710,0.2995581,690,39
480270224051,789,0.1296477,523,59
480270224052,1312,0.7870982,616,49
480270225011,579,0.2886214,282,22
480270225012,854,0.1950878,303,6
480270225013,872,0.1827271,357,90
480270225014,721,0.2070558,264,33
480270225021,5114,3.093249,1747,137
480270225022,3388,4.276766,964,14
480270225023,3729,1.000435,1788,311
480270226001,841,0.2034623,378,107
480270226002,997,0.09246491,364,124
480270226003,808,0.1248353,320,24
480270226004,453,0.115272,262,114
480270226005,1152,0.323247,460,185
480270228011,820,0.18087,360,28
480270228012,622,0.1259469,260,81
480270228013,982,0.1281465,480,196
480270229001,1101,0.4407704,461,156
480270229002,1054,0.2017256,504,82
480270229003,789,0.1545347,380,101
480270229004,611,0.1024607,266,130
480270230001,478,0.1151368,236,50
480270230002,1186,0.4467685,479,43
480270230003,1618,0.6492984,604,15
480270230004,6744,1.90446,2015,14
480270231031,643,0.26578,319,33
480270231032,1598,0.2552077,671,92
480270231033,1577,0.3077621,508,64
480270231034,785,0.1572185,284,34
480270231041,1772,0.3134358,755,94
480270231042,1409,0.3997895,575,71
480270231051,7664,4.925971,2638,68
480270231052,8319,1.695892,2687,0
480270231061,2453,1.571343,919,63
480270231062,1546,0.2805577,617,35
480270231063,2212,0.4327063,818,118
480270231064,2508,0.801552,981,0
480270231071,1064,0.4810459,457,0
480270231072,2151,0.3376105,893,200
480270231073,3097,0.5835043,1041,165
480270231074,605,0.1092075,217,11
480270231081,2765,0.6028001,803,69
480270231082,5498,0.7096284,1539,0
480270231083,2500,0.4675408,890,67
480270231084,1963,0.4047459,872,69
480270231085,2531,0.268941,748,25
480270232011,106,0.6058924,32,0
480270232012,1195,0.6181561,431,7
480270232021,2977,1.072145,170,0
480270232022,1688,2.385572,401,22
480270232031,888,0.3295031,342,17
480270232032,272,0.4739933,88,2
480270232041,1653,8.661945,33,0
480270232042,3071,0.8699573,191,7
480270233001,1424,40.64834,453,35
480270233002,3689,35.91292,1293,44
480270233003,3431,21.44858,1256,65
480270234021,1182,68.25985,364,37
480270234022,1578,5.300535,479,85
480270234023,1122,69.48543,377,51
480270234024,1597,5.072685,492,132
480270234031,1490,41.74363,577,4
480270234032,1922,8.994426,724,33
480270234033,1911,8.340691,589,4
480270234034,1700,4.756828,551,48
480270234041,1203,67.37584,469,109
480270234042,2887,72.90479,945,114
480270235001,792,0.1792421,404,121
480270235002,876,0.366845,278,60
480270235003,420,0.1006738,176,67
480279800011,80,22.46736,0,0
480279800021,0,2.881022,0,0
480279800031,0,56.47494,0,0
480291101001,742,0.6989117,462,18
480291101002,799,0.2592804,564,102
480291101003,1619,0.4059308,760,276
480291103001,1522,0.1540046,775,162
480291103002,986,0.1461794,398,83
480291103003,469,0.2982589,238,21
480291105001,2507,0.4496206,786,378
480291106001,780,0.2688066,244,96
480291106002,1271,0.27777,715,313
480291106003,3242,0.1972963,346,223
480291107001,1171,0.3797435,554,236
480291108001,774,0.2148632,321,74
480291108002,640,0.1921511,302,79
480291108003,610,0.08916335,237,46
480291109001,1669,0.4850107,1016,110
480291110001,1072,0.1104279,343,75
480291110002,854,0.2786279,351,91
480291110003,1022,0.2082041,494,72
480291201001,4844,5.218018,922,0
480291203001,1599,0.336378,554,0
480291203002,668,0.1720846,331,0
480291203003,1525,0.1643934,613,0
480291203004,1040,0.340419,461,0
480291203005,1149,0.2483262,320,18
480291203006,942,0.1561223,335,19
480291203007,817,0.2465038,279,0
480291203008,634,0.1771533,271,19
480291204001,1074,0.2815542,356,14
480291204002,660,0.2175076,249,0
480291204003,910,0.4552944,247,0
480291204004,1121,0.3749616,339,17
480291204005,1606,0.3106485,481,0
480291204006,955,0.1751541,500,56
480291205011,451,0.1794746,184,69
480291205012,1932,0.181734,790,235
480291205013,1753,1.17513,520,69
480291205014,1351,0.2430475,533,60
480291205015,1584,0.319115,499,27
480291205016,1833,0.231157,400,11
480291205017,1081,0.1520486,305,46
480291205021,1046,0.2007585,315,19
480291205022,732,0.221959,233,72
480291205023,427,0.2389347,210,21
480291205024,953,0.2547722,245,76
480291205025,1085,0.1656019,385,87
480291205026,1084,0.1967731,318,109
480291206001,752,0.1887098,503,38
480291206002,900,0.153181,378,63
480291206003,811,0.2616645,467,13
480291206004,1085,0.2317053,720,35
480291206005,965,0.1665903,314,0
480291206006,535,0.131252,241,10
480291206007,802,0.1359304,478,251
480291207011,1352,0.4051146,348,25
480291207012,913,0.2608811,299,93
480291207013,1552,0.1675946,768,290
480291207014,1255,0.3220161,446,20
480291207015,1344,0.1607675,575,98
480291207021,2823,0.8352089,1439,121
480291207022,899,0.1287299,456,83
480291207023,892,0.2820052,470,57
480291208001,1027,0.3134964,261,0
480291208002,1125,0.2991512,527,104
480291208003,1382,0.3470178,557,13
480291208004,1002,0.1735811,356,82
480291208005,891,0.2214396,262,13
480291208006,994,0.2891569,345,0
480291208007,513,0.2223142,286,88
480291209011,917,0.2996489,291,65
480291209012,1540,0.4466237,752,199
480291209021,2079,0.1788016,910,204
480291209022,1711,0.7316713,815,0
480291209023,2167,0.3217405,957,369
480291209024,1594,0.5760497,608,13
480291210001,701,0.7541907,203,14
480291210002,886,0.1599502,348,20
480291210003,2245,0.2964056,719,94
480291210004,1172,0.2364822,405,83
480291210005,1512,0.3547796,614,44
480291210006,1282,0.7353748,327,14
480291211081,1373,0.2603541,471,18
480291211082,2211,0.2801689,802,0
480291211083,1781,0.3600511,956,26
480291211084,1111,0.4402974,539,47
480291211085,1633,0.2713283,632,0
480291211101,2422,0.9569396,824,83
480291211102,1286,0.4516592,488,30
480291211103,1480,0.3380085,463,39
480291211111,1064,0.1713077,414,19
480291211112,1978,0.4358136,651,69
480291211113,1341,0.4910436,470,55
480291211114,2534,0.3643175,746,161
480291211121,2299,1.439153,1166,326
480291211122,1418,0.4825957,627,80
480291211151,1494,0.2024523,651,0
480291211152,2709,0.458406,930,63
480291211153,1552,0.2988157,652,93
480291211161,1641,0.27497,727,17
480291211162,435,0.4283379,202,24
480291211163,1558,0.2223157,621,0
480291211164,1765,0.2939519,662,15
480291211171,1978,0.3325656,845,23
480291211172,1159,0.4309406,429,0
480291211173,1486,0.1774004,656,77
480291211181,1479,1.077003,496,0
480291211182,2557,0.08917107,1133,27
480291211183,2227,0.660315,820,20
480291211191,683,0.1661394,354,14
480291211192,3425,0.660215,1162,33
480291211193,2068,0.8413425,744,24
480291211201,3124,1.248275,993,34
480291211202,2059,0.4970096,706,33
480291211211,1762,0.658305,621,43
480291211212,1146,0.3047234,390,20
480291211221,1527,0.3772616,525,28
480291211222,1546,0.4129938,485,19
480291211223,2936,0.4083077,817,0
480291212031,663,0.8173019,384,91
480291212032,1675,0.7560062,530,171
480291212033,1170,0.9650798,341,154
480291212034,1219,0.3478526,364,97
480291212041,1958,0.9818884,888,192
480291212042,1835,0.2451892,849,152
480291212043,1083,0.1386759,498,0
480291212044,1220,0.1698378,582,101
480291212045,1693,0.1493254,1000,146
480291212051,3607,0.331927,1017,235
480291212052,1020,0.8017164,439,142
480291212061,1018,0.3346985,351,27
480291212062,1149,0.1632166,357,87
480291212063,830,0.3023555,305,42
480291212064,1733,0.1939526,457,20
480291212065,1996,0.4077131,598,117
480291212066,2016,0.1926912,563,242
480291213001,2859,0.6415265,930,103
480291213002,1282,0.5183156,405,58
480291213003,784,0.3088478,379,15
480291213004,1663,0.5010857,510,75
480291214021,5738,1.298921,1625,192
480291214022,1762,0.4668844,465,105
480291214031,2666,0.7838708,886,207
480291214032,1515,0.5923553,388,58
480291214033,2100,0.3324019,784,65
480291214041,1920,0.7368339,506,76
480291214042,1660,0.2658209,833,418
480291214043,1968,1.608204,552,258
480291215011,1968,0.7575576,518,70
480291215012,2185,0.5119012,731,34
480291215013,3145,0.6111963,1002,122
480291215014,2739,0.374357,739,45
480291215041,1255,0.1951932,662,108
480291215042,852,0.1265002,280,44
480291215043,1322,0.5547439,504,0
480291215044,3124,0.6247909,1134,156
480291215051,2344,0.3697009,717,25
480291215052,799,0.1658282,258,95
480291215053,1715,0.7101122,567,16
480291215061,973,0.5023263,341,51
480291215062,927,0.1834425,268,47
480291215063,883,0.1618602,262,39
480291215064,1221,0.1474829,347,51
480291215071,872,0.1627645,283,26
480291215072,1354,0.3461723,493,17
480291215073,1064,0.2213597,288,57
480291215074,1241,0.2965956,348,32
480291215081,1260,0.4352348,403,119
480291215082,2298,0.2675121,567,106
480291215083,1005,0.1594741,246,64
480291216011,1209,0.2298146,569,85
480291216012,1300,0.2357169,490,44
480291216013,2070,0.7954848,584,65
480291216014,1078,0.1750649,376,126
480291216041,4001,0.7251419,1481,139
480291216042,2210,0.5774467,585,0
480291216043,647,0.1548544,247,0
480291216044,2401,0.4258286,612,22
480291216051,1338,0.2377876,481,59
480291216052,689,0.8566067,234,18
480291216061,687,0.229057,246,13
480291216062,2540,0.4947622,1271,213
480291216063,1083,0.2265134,389,40
480291216064,705,0.1540876,252,28
480291217011,1368,0.334934,433,38
480291217012,1121,0.5234151,367,18
480291217013,796,0.2047226,287,55
480291217014,1394,0.2122021,413,56
480291217021,3517,1.19178,1194,25
480291217022,1617,0.6111441,584,60
480291217023,2746,0.5758675,980,61
480291218021,2165,1.66853,884,122
480291218022,3234,0.5239828,1014,219
480291218023,3098,1.177045,913,87
480291218031,1762,0.5136607,578,0
480291218032,998,0.2342671,345,9
480291218033,2234,0.5253298,766,84
480291218041,2057,0.3094945,707,81
480291218042,3404,0.4210402,1040,79
480291218043,1756,0.1846275,711,201
480291218081,738,0.1958789,222,14
480291218082,2605,0.4351773,794,109
480291218091,845,0.147893,242,0
480291218092,2420,0.3680341,826,41
480291218093,1852,0.2427953,628,0
480291218101,3142,0.5667833,959,8
480291218102,1749,0.2426367,481,27
480291218111,4606,0.5974105,1471,40
480291218112,1010,0.4262414,333,14
480291218121,4577,0.4188174,1258,8
480291218122,1035,0.2015299,272,0
480291218123,617,0.3632241,277,8
480291218124,652,0.3613457,223,0
480291218131,1738,0.7336818,545,41
480291219031,2769,1.495791,1153,16
480291219032,3114,1.710531,987,13
480291219041,957,0.3556565,331,0
480291219042,2219,0.3869026,724,0
480291219051,1728,1.592993,765,59
480291219052,3710,1.452404,1509,85
480291219061,2425,1.379901,883,17
480291219062,3158,1.106657,1298,142
480291219071,1892,6.488793,772,39
480291219072,11132,9.127968,3587,0
480291219081,807,15.07567,231,23
480291219082,1902,1.400136,593,15
480291219091,2199,1.582994,1073,0
480291219092,6132,3.212357,2112,31
480291219101,6644,10.29608,2146,21
480291219102,741,0.72992,306,14
480291302001,828,0.120087,264,89
480291302002,795,0.2602217,275,119
480291303001,530,0.1229504,200,84
480291303002,926,0.1215925,266,125
480291303003,776,0.0856116,209,46
480291303004,1128,0.1368261,294,131
480291304011,857,0.1400868,224,35
480291304012,943,0.1657772,341,159
480291304013,1518,0.1716587,440,152
480291304014,763,0.1366748,264,29
480291304021,1277,0.3493715,369,35
480291304022,1418,0.3819458,415,85
480291304023,1502,0.2681688,474,107
480291305001,856,0.09317302,238,60
480291305002,757,0.1164855,293,64
480291305003,2087,0.502802,738,169
480291305004,1106,0.1695429,255,60
480291306001,775,0.1842966,285,149
480291306002,668,0.16142,313,158
480291306003,1126,0.2484085,269,28
480291306004,1309,0.1916109,461,199
480291307001,1351,0.3424981,446,138
480291307002,1285,0.2251007,460,123
480291308001,3120,2.402145,1088,150
480291308002,751,0.3953937,288,106
480291308003,754,0.1155581,206,45
480291308004,1443,0.3359409,295,79
480291309001,2695,1.783396,742,70
480291309002,1058,0.3013053,376,170
480291309003,1493,1.357342,492,133
480291310001,2715,1.228603,963,318
480291310002,895,0.151432,299,104
480291310003,687,0.1558722,219,56
480291310004,909,0.612133,316,40
480291311001,757,0.1073341,215,76
480291311002,1045,0.2533077,240,66
480291311003,849,0.4140953,291,64
480291312001,1343,0.8067809,553,202
480291312002,1463,1.063603,584,239
480291313001,1187,0.2914805,483,101
480291313002,1416,0.2826557,394,37
480291313003,2220,1.158964,790,287
480291313004,1333,0.3311448,431,133
480291314011,7125,2.613049,1724,96
480291314012,3965,0.4379129,1193,53
480291314021,868,3.031664,320,32
480291314022,2155,0.676019,582,91
480291315031,1053,0.3103748,482,69
480291315032,1047,0.1818306,348,39
480291315033,1019,0.3508723,344,110
480291315041,1280,0.2155218,356,125
480291315042,1173,0.1340431,296,17
480291315043,2371,1.226296,751,76
480291315051,3055,0.3950285,804,20
480291315052,2735,0.1691216,600,0
480291315061,1142,3.241748,426,92
480291315062,2717,0.5308136,697,0
480291315071,3149,0.4209626,824,96
480291315072,963,0.1585587,250,84
480291315073,2214,0.2566367,676,147
480291316011,1146,9.410315,295,13
480291316012,4499,11.00205,1219,6
480291316061,2765,2.899741,803,48
480291316062,3291,0.9767119,945,10
480291316081,2360,0.5474122,790,86
480291316082,3568,1.336381,1068,8
480291316091,2269,1.024516,642,34
480291316092,1279,0.2661916,518,11
480291316093,3177,0.551845,854,69
480291316101,2671,0.3737967,725,43
480291316102,2358,0.3294672,656,30
480291316111,873,0.3511252,327,30
480291316121,1940,0.8024914,595,30
480291316131,1568,0.7188037,530,20
480291316132,2498,1.21906,795,9
480291316141,3546,0.8747114,966,42
480291316142,463,0.1177886,141,0
480291316151,2442,1.415956,872,101
480291316152,2261,0.4329835,777,38
480291316153,1430,1.994557,347,0
480291316154,1325,0.2392474,386,82
480291317001,1129,3.98965,264,4
480291318011,1578,29.15825,485,95
480291318012,538,10.62111,217,34
480291318021,1710,11.81735,540,121
480291318022,590,21.66331,199,18
480291318023,2027,14.58765,651,218
480291401001,620,0.1187307,259,50
480291401002,641,0.2623391,224,73
480291402001,783,0.2689785,257,63
480291402002,729,0.1201175,257,58
480291402003,928,0.2065666,259,118
480291402004,937,0.1469837,198,27
480291403001,1258,0.1505887,410,129
480291403002,1188,0.2001863,336,120
480291403003,1144,0.251056,285,110
480291404001,911,0.1693483,331,123
480291404002,1021,0.1453825,385,106
480291404003,852,0.1509181,270,41
480291404004,847,0.1274041,259,42
480291405001,764,0.1438926,264,88
480291405002,1566,0.1408702,476,137
480291405003,970,0.1608633,369,71
480291405004,934,0.1459385,214,8
480291406001,2006,0.3155586,541,126
480291406002,855,0.1505988,287,65
480291407001,1049,0.1763742,428,38
480291407002,839,0.1214017,426,167
480291407003,852,0.1386821,399,163
480291407004,954,0.1622313,280,26
480291407005,1144,0.1106812,353,184
480291408001,1330,0.256134,423,22
480291408002,1259,0.1428076,453,103
480291408003,697,0.09785876,172,35
480291408004,944,0.1576583,297,92
480291408005,894,0.1668058,311,28
480291409001,888,0.3229142,315,82
480291409002,1061,0.1364782,341,135
480291410001,769,0.3007705,213,19
480291410002,1310,0.2004546,630,305
480291410003,1452,0.1926148,470,190
480291411011,1307,0.9226935,576,224
480291411012,1541,0.2604946,364,139
