"","GEOID","totPop18","hispPr18","WhitePr18","AfrAmPr18","AsianPr18"
"89","17177",45433,0.0379679968304977,0.859705500407193,0.0983646248321705,0.00805581845794907
"90","17179",133852,0.0225547619759137,0.958050682843738,0.013051728775065,0.0104593132713744
"91","17181",17127,0.0511473112629182,0.940853622934548,0.0138377999649676,0.00338646581421148
"92","17183",78407,0.049447115691201,0.822592370579157,0.139974747152678,0.00947619472751157
"93","17185",11573,0.0234165730579798,0.961980471787782,0.00803594573576428,0.0102825542210317
"94","17187",17338,0.0940708270850156,0.880551390010382,0.026127581035875,0.026127581035875
"95","17189",14155,0.0141999293535853,0.966654892264218,0.00826563051925115,0.00240197809961144
"96","17191",16487,0.00491296172742161,0.966701037180809,0.0175896160611391,0.00260811548492752
"97","17193",14025,0.0141176470588235,0.978894830659537,0.00720142602495544,0.00363636363636364
"98","17195",56396,0.118572239165898,0.934055606780623,0.0174835094687566,0.00553230725583375
"99","17197",688697,0.170643984219475,0.734240166575432,0.112130588633318,0.0533776101827073
"100","17199",67299,0.0259884990861677,0.913445965021769,0.0422443126940965,0.0110551419783355
"101","17201",286174,0.124539615758245,0.790033336361794,0.128708408171252,0.0256452368139663
"102","17203",38817,0.0179045263673133,0.967797614447278,0.00644047711054435,0.00525542932220419
