ZCTA,RUCA1,RUCA2,rurality
00160,10,10.0,Rural
00161,9,9.0,Rural
00164,10,10.0,Rural
00165,10,10.0,Rural
00166,5,5.0,Rural
00168,4,4.0,Suburban
00172,10,10.0,Rural
00173,6,6.0,Rural
00174,6,6.0,Rural
00176,6,6.0,Rural
00177,4,4.0,Suburban
00179,6,6.0,Rural
00180,6,6.0,Rural
00181,6,6.0,Rural
00182,6,6.0,Rural
00183,4,4.0,Suburban
00184,4,4.0,Suburban
00185,10,10.0,Rural
00188,5,5.0,Rural
00195,10,10.0,Rural
00197,2,2.0,Suburban
00198,2,2.0,Suburban
00199,1,1.0,Urban
00501,1,1.0,Urban
00544,1,1.0,Urban
00601,4,4.0,Suburban
00602,1,1.0,Urban
00603,1,1.0,Urban
00604,1,1.0,Urban
00605,1,1.0,Urban
00606,7,7.0,Rural
00610,1,1.0,Urban
00611,1,1.0,Urban
00612,1,1.0,Urban
00613,1,1.0,Urban
00614,1,1.0,Urban
00616,1,1.0,Urban
00617,1,1.0,Urban
00622,1,1.0,Urban
00623,1,1.0,Urban
00624,1,1.0,Urban
00627,1,1.0,Urban
00631,10,10.0,Rural
00636,1,1.0,Urban
00637,1,1.0,Urban
00638,1,1.0,Urban
00641,1,1.0,Urban
00646,1,1.0,Urban
00647,1,1.0,Urban
00650,1,1.0,Urban
00652,1,1.0,Urban
00653,1,1.0,Urban
00656,1,1.0,Urban
00659,1,1.0,Urban
00660,1,1.0,Urban
00662,1,1.0,Urban
00664,4,4.0,Suburban
00667,1,1.0,Urban
00669,1,1.0,Urban
00670,1,1.0,Urban
00674,1,1.0,Urban
00676,1,1.0,Urban
00677,1,1.0,Urban
00678,1,1.0,Urban
00680,1,1.0,Urban
00681,1,1.0,Urban
00682,1,1.0,Urban
00683,1,1.0,Urban
00685,1,1.0,Urban
00687,1,1.0,Urban
00688,1,1.0,Urban
00690,1,1.0,Urban
00692,1,1.0,Urban
00693,1,1.0,Urban
00694,1,1.0,Urban
00698,1,1.0,Urban
00703,1,1.0,Urban
00704,1,1.0,Urban
00705,1,1.0,Urban
00707,7,7.0,Rural
00714,1,1.0,Urban
00715,1,1.0,Urban
00716,1,1.0,Urban
00717,1,1.0,Urban
00718,1,1.0,Urban
00719,1,1.0,Urban
00720,1,1.0,Urban
00721,1,1.0,Urban
00723,1,1.0,Urban
00725,1,1.0,Urban
00726,1,1.0,Urban
00727,1,1.0,Urban
00728,1,1.0,Urban
00729,1,1.0,Urban
00730,1,1.0,Urban
00731,1,1.0,Urban
00732,1,1.0,Urban
00733,1,1.0,Urban
00734,1,1.0,Urban
00735,1,1.0,Urban
00736,1,1.0,Urban
00737,1,1.0,Urban
00738,1,1.0,Urban
00739,1,1.0,Urban
00740,1,1.0,Urban
00741,1,1.0,Urban
00742,10,10.0,Rural
00744,1,1.0,Urban
00745,1,1.0,Urban
00751,1,1.0,Urban
00754,1,1.0,Urban
00757,4,4.0,Suburban
00765,7,7.0,Rural
00766,1,1.0,Urban
00767,1,1.0,Urban
00769,4,4.0,Suburban
00771,1,1.0,Urban
00772,1,1.0,Urban
00773,1,1.0,Urban
00775,10,10.0,Rural
00777,1,1.0,Urban
00778,1,1.0,Urban
00780,1,1.0,Urban
00782,1,1.0,Urban
00783,1,1.0,Urban
00784,1,1.0,Urban
00785,1,1.0,Urban
00786,1,1.0,Urban
00791,1,1.0,Urban
00792,1,1.0,Urban
00794,1,1.0,Urban
00795,1,1.0,Urban
00901,1,1.0,Urban
00902,1,1.0,Urban
00906,1,1.0,Urban
00907,1,1.0,Urban
00908,1,1.0,Urban
00909,1,1.0,Urban
00910,1,1.0,Urban
00911,1,1.0,Urban
00912,1,1.0,Urban
00913,1,1.0,Urban
00914,1,1.0,Urban
00915,1,1.0,Urban
00916,1,1.0,Urban
00917,1,1.0,Urban
00918,1,1.0,Urban
00919,1,1.0,Urban
00920,1,1.0,Urban
00921,1,1.0,Urban
00922,1,1.0,Urban
00923,1,1.0,Urban
00924,1,1.0,Urban
00925,1,1.0,Urban
00926,1,1.0,Urban
00927,1,1.0,Urban
00928,1,1.0,Urban
00929,1,1.0,Urban
00930,1,1.0,Urban
00931,1,1.0,Urban
00933,1,1.0,Urban
00934,1,1.0,Urban
00935,1,1.0,Urban
00936,1,1.0,Urban
00937,1,1.0,Urban
00939,1,1.0,Urban
00940,1,1.0,Urban
00949,1,1.0,Urban
00950,1,1.0,Urban
00951,1,1.0,Urban
00952,1,1.0,Urban
00953,1,1.0,Urban
00954,1,1.0,Urban
00955,1,1.0,Urban
00956,1,1.0,Urban
00957,1,1.0,Urban
00958,1,1.0,Urban
00959,1,1.0,Urban
00960,1,1.0,Urban
00961,1,1.0,Urban
00962,1,1.0,Urban
00963,1,1.0,Urban
00965,1,1.0,Urban
00966,1,1.0,Urban
00968,1,1.0,Urban
00969,1,1.0,Urban
00970,1,1.0,Urban
00971,1,1.0,Urban
00975,1,1.0,Urban
00976,1,1.0,Urban
00977,1,1.0,Urban
00978,1,1.0,Urban
00979,1,1.0,Urban
00981,1,1.0,Urban
00982,1,1.0,Urban
00983,1,1.0,Urban
00984,1,1.0,Urban
00985,1,1.0,Urban
00986,1,1.0,Urban
00987,1,1.0,Urban
00988,1,1.0,Urban
01001,1,1.0,Urban
01002,1,1.0,Urban
01003,1,1.0,Urban
01004,1,1.0,Urban
01005,2,2.0,Suburban
01007,1,1.0,Urban
01008,2,2.0,Suburban
01009,1,1.0,Urban
01010,2,2.1,Suburban
01011,2,2.0,Suburban
01012,2,2.0,Suburban
01013,1,1.0,Urban
01014,1,1.0,Urban
01020,1,1.0,Urban
01021,1,1.0,Urban
01022,1,1.0,Urban
01026,2,2.0,Suburban
01027,1,1.0,Urban
01028,1,1.0,Urban
01029,10,10.0,Rural
01030,1,1.0,Urban
01031,3,3.0,Rural
01032,2,2.0,Suburban
01033,1,1.0,Urban
01034,2,2.0,Suburban
01035,1,1.0,Urban
01036,1,1.0,Urban
01037,3,3.0,Rural
01038,2,2.0,Suburban
01039,2,2.0,Suburban
01040,1,1.0,Urban
01041,1,1.0,Urban
01050,2,2.0,Suburban
01053,1,1.0,Urban
01054,2,2.0,Suburban
01056,1,1.0,Urban
01057,2,2.0,Suburban
01059,1,1.0,Urban
01060,1,1.0,Urban
01061,1,1.0,Urban
01062,1,1.0,Urban
01063,1,1.0,Urban
01066,2,2.0,Suburban
01068,2,2.0,Suburban
01069,1,1.0,Urban
01070,2,2.0,Suburban
01071,2,2.0,Suburban
01072,2,2.0,Suburban
01073,2,2.0,Suburban
01074,2,2.0,Suburban
01075,1,1.0,Urban
01077,1,1.0,Urban
01079,1,1.0,Urban
01080,1,1.0,Urban
01081,2,2.0,Suburban
01082,2,2.0,Suburban
01083,2,2.0,Suburban
01084,2,2.0,Suburban
01085,1,1.0,Urban
01086,1,1.0,Urban
01088,2,2.0,Suburban
01089,1,1.0,Urban
01090,1,1.0,Urban
01092,2,2.0,Suburban
01093,2,2.0,Suburban
01094,3,3.0,Rural
01095,1,1.0,Urban
01096,2,2.0,Suburban
01097,2,2.0,Suburban
01098,2,2.0,Suburban
01101,1,1.0,Urban
01102,1,1.0,Urban
01103,1,1.0,Urban
01104,1,1.0,Urban
01105,1,1.0,Urban
01106,1,1.0,Urban
01107,1,1.0,Urban
01108,1,1.0,Urban
01109,1,1.0,Urban
01111,1,1.0,Urban
01115,1,1.0,Urban
01116,1,1.0,Urban
01118,1,1.0,Urban
01119,1,1.0,Urban
01128,1,1.0,Urban
01129,1,1.0,Urban
01138,1,1.0,Urban
01139,1,1.0,Urban
01144,1,1.0,Urban
01151,1,1.0,Urban
01152,1,1.0,Urban
01199,1,1.0,Urban
01201,1,1.0,Urban
01202,1,1.0,Urban
01203,1,1.0,Urban
01220,1,1.0,Urban
01222,10,10.0,Rural
01223,2,2.0,Suburban
01224,1,1.0,Urban
01225,1,1.0,Urban
01226,1,1.0,Urban
01227,1,1.0,Urban
01229,10,10.0,Rural
01230,7,7.0,Rural
01235,2,2.0,Suburban
01236,7,7.0,Rural
01237,1,1.0,Urban
01238,7,7.0,Rural
01240,7,7.0,Rural
01242,7,7.0,Rural
01243,2,2.0,Suburban
01244,10,10.0,Rural
01245,10,10.0,Rural
01247,4,4.0,Suburban
01252,10,10.0,Rural
01253,10,10.0,Rural
01254,2,2.0,Suburban
01255,10,10.0,Rural
01256,2,2.0,Suburban
01257,10,10.0,Rural
01258,10,10.0,Rural
01259,10,10.0,Rural
01260,7,7.0,Rural
01262,10,10.0,Rural
01263,10,10.0,Rural
01264,10,10.0,Rural
01266,10,10.0,Rural
01267,4,4.0,Suburban
01270,2,2.0,Suburban
01301,4,4.0,Suburban
01302,4,4.0,Suburban
01330,2,2.0,Suburban
01331,4,4.0,Suburban
01337,5,5.0,Rural
01338,10,10.0,Rural
01339,6,6.0,Rural
01340,6,6.0,Rural
01341,2,2.0,Suburban
01342,2,2.0,Suburban
01343,2,2.0,Suburban
01344,6,6.0,Rural
01346,6,6.0,Rural
01347,4,4.0,Suburban
01349,4,4.0,Suburban
01350,6,6.0,Rural
01351,4,4.0,Suburban
01354,5,5.0,Rural
01355,2,2.0,Suburban
01360,5,5.0,Rural
01364,4,4.0,Suburban
01366,3,3.0,Rural
01367,6,6.0,Rural
01368,1,1.0,Urban
01370,10,10.0,Rural
01373,2,2.0,Suburban
01375,2,2.0,Suburban
01376,4,4.0,Suburban
01378,6,6.0,Rural
01379,6,6.0,Rural
01380,6,6.0,Rural
01420,1,1.0,Urban
01430,2,2.0,Suburban
01431,2,2.0,Suburban
01432,1,1.0,Urban
01434,2,2.0,Suburban
01436,1,1.0,Urban
01438,1,1.0,Urban
01440,1,1.0,Urban
01441,1,1.0,Urban
01450,1,1.0,Urban
01451,2,2.0,Suburban
01452,2,2.0,Suburban
01453,1,1.0,Urban
01460,1,1.0,Urban
01462,1,1.0,Urban
01463,1,1.0,Urban
01464,1,1.0,Urban
01467,2,2.0,Suburban
01468,1,1.0,Urban
01469,1,1.0,Urban
01470,1,1.0,Urban
01471,1,1.0,Urban
01472,1,1.0,Urban
01473,1,1.0,Urban
01474,1,1.0,Urban
01475,1,1.0,Urban
01501,1,1.0,Urban
01503,1,1.0,Urban
01504,1,1.0,Urban
01505,1,1.0,Urban
01506,2,2.0,Suburban
01507,2,2.0,Suburban
01508,1,1.0,Urban
01509,1,1.0,Urban
01510,1,1.0,Urban
01515,2,2.0,Suburban
01516,1,1.0,Urban
01518,1,1.0,Urban
01519,1,1.0,Urban
01520,1,1.0,Urban
01521,2,2.0,Suburban
01522,1,1.0,Urban
01523,1,1.0,Urban
01524,1,1.0,Urban
01525,1,1.0,Urban
01526,1,1.0,Urban
01527,1,1.0,Urban
01529,1,1.0,Urban
01531,3,3.0,Rural
01532,1,1.0,Urban
01534,1,1.0,Urban
01535,2,2.0,Suburban
01536,1,1.0,Urban
01537,1,1.0,Urban
01538,1,1.0,Urban
01540,1,1.0,Urban
01541,2,2.0,Suburban
01542,1,1.0,Urban
01543,1,1.0,Urban
01545,1,1.0,Urban
01546,1,1.0,Urban
01550,1,1.0,Urban
01560,1,1.0,Urban
01561,1,1.0,Urban
01562,1,1.0,Urban
01564,1,1.0,Urban
01566,1,1.0,Urban
01568,1,1.0,Urban
01569,1,1.0,Urban
01570,1,1.0,Urban
01571,1,1.0,Urban
01581,1,1.0,Urban
01583,1,1.0,Urban
01585,2,2.0,Suburban
01586,1,1.0,Urban
01588,1,1.0,Urban
01590,1,1.0,Urban
01601,1,1.0,Urban
01602,1,1.0,Urban
01603,1,1.0,Urban
01604,1,1.0,Urban
01605,1,1.0,Urban
01606,1,1.0,Urban
01607,1,1.0,Urban
01608,1,1.0,Urban
01609,1,1.0,Urban
01610,1,1.0,Urban
01611,1,1.0,Urban
01612,1,1.0,Urban
01613,1,1.0,Urban
01614,1,1.0,Urban
01615,1,1.0,Urban
01653,1,1.0,Urban
01655,1,1.0,Urban
01701,1,1.0,Urban
01702,1,1.0,Urban
01703,1,1.0,Urban
01704,1,1.0,Urban
01705,1,1.0,Urban
01718,1,1.0,Urban
01719,1,1.0,Urban
01720,1,1.0,Urban
01721,1,1.0,Urban
01730,1,1.0,Urban
01731,1,1.0,Urban
01740,2,2.0,Suburban
01741,2,2.0,Suburban
01742,1,1.0,Urban
01745,1,1.0,Urban
01746,1,1.0,Urban
01747,1,1.0,Urban
01748,1,1.0,Urban
01749,1,1.0,Urban
01752,1,1.0,Urban
01754,1,1.0,Urban
01756,1,1.0,Urban
01757,1,1.0,Urban
01760,1,1.0,Urban
01770,1,1.0,Urban
01772,1,1.0,Urban
01773,1,1.0,Urban
01775,1,1.0,Urban
01776,1,1.0,Urban
01778,1,1.0,Urban
01784,1,1.0,Urban
01801,1,1.0,Urban
01803,1,1.0,Urban
01805,1,1.0,Urban
01810,1,1.0,Urban
01812,1,1.0,Urban
01813,1,1.0,Urban
01815,1,1.0,Urban
01821,1,1.0,Urban
01822,1,1.0,Urban
01824,1,1.0,Urban
01826,1,1.0,Urban
01827,2,2.0,Suburban
01830,1,1.0,Urban
01831,1,1.0,Urban
01832,1,1.0,Urban
01833,1,1.0,Urban
01834,1,1.0,Urban
01835,1,1.0,Urban
01840,1,1.0,Urban
01841,1,1.0,Urban
01842,1,1.0,Urban
01843,1,1.0,Urban
01844,1,1.0,Urban
01845,1,1.0,Urban
01850,1,1.0,Urban
01851,1,1.0,Urban
01852,1,1.0,Urban
01853,1,1.0,Urban
01854,1,1.0,Urban
01860,1,1.0,Urban
01862,1,1.0,Urban
01863,1,1.0,Urban
01864,1,1.0,Urban
01865,1,1.0,Urban
01866,1,1.0,Urban
01867,1,1.0,Urban
01876,1,1.0,Urban
01879,1,1.0,Urban
01880,1,1.0,Urban
01885,1,1.0,Urban
01886,1,1.0,Urban
01887,1,1.0,Urban
01888,1,1.0,Urban
01889,1,1.0,Urban
01890,1,1.0,Urban
01899,1,1.0,Urban
01901,1,1.0,Urban
01902,1,1.0,Urban
01903,1,1.0,Urban
01904,1,1.0,Urban
01905,1,1.0,Urban
01906,1,1.0,Urban
01907,1,1.0,Urban
01908,1,1.0,Urban
01910,1,1.0,Urban
01913,1,1.0,Urban
01915,1,1.0,Urban
01921,1,1.0,Urban
01922,1,1.0,Urban
01923,1,1.0,Urban
01929,1,1.0,Urban
01930,1,1.0,Urban
01931,1,1.0,Urban
01936,1,1.0,Urban
01937,1,1.0,Urban
01938,1,1.0,Urban
01940,1,1.0,Urban
01944,1,1.0,Urban
01945,1,1.0,Urban
01949,1,1.0,Urban
01950,1,1.0,Urban
01951,1,1.0,Urban
01952,1,1.0,Urban
01960,1,1.0,Urban
01961,1,1.0,Urban
01965,1,1.0,Urban
01966,1,1.0,Urban
01969,1,1.0,Urban
01970,1,1.0,Urban
01971,1,1.0,Urban
01982,1,1.0,Urban
01983,1,1.0,Urban
01984,1,1.0,Urban
01985,1,1.0,Urban
02018,1,1.0,Urban
02019,1,1.0,Urban
02020,1,1.0,Urban
02021,1,1.0,Urban
02025,1,1.0,Urban
02026,1,1.0,Urban
02027,1,1.0,Urban
02030,1,1.0,Urban
02032,1,1.0,Urban
02035,1,1.0,Urban
02038,1,1.0,Urban
02040,1,1.0,Urban
02041,1,1.0,Urban
02043,1,1.0,Urban
02044,1,1.0,Urban
02045,1,1.0,Urban
02047,1,1.0,Urban
02048,1,1.0,Urban
02050,1,1.0,Urban
02051,1,1.0,Urban
02052,1,1.0,Urban
02053,1,1.0,Urban
02054,1,1.0,Urban
02055,1,1.0,Urban
02056,1,1.0,Urban
02059,1,1.0,Urban
02060,1,1.0,Urban
02061,1,1.0,Urban
02062,1,1.0,Urban
02065,1,1.0,Urban
02066,1,1.0,Urban
02067,1,1.0,Urban
02070,1,1.0,Urban
02071,1,1.0,Urban
02072,1,1.0,Urban
02081,1,1.0,Urban
02090,1,1.0,Urban
02093,1,1.0,Urban
02108,99,99.0,Rural
02109,1,1.0,Urban
02110,1,1.0,Urban
02111,1,1.0,Urban
02112,1,1.0,Urban
02113,1,1.0,Urban
02114,1,1.0,Urban
02115,1,1.0,Urban
02116,1,1.0,Urban
02117,1,1.0,Urban
02118,1,1.0,Urban
02119,1,1.0,Urban
02120,1,1.0,Urban
02121,1,1.0,Urban
02122,1,1.0,Urban
02123,1,1.0,Urban
02124,1,1.0,Urban
02125,1,1.0,Urban
02126,1,1.0,Urban
02127,1,1.0,Urban
02128,1,1.0,Urban
02129,1,1.0,Urban
02130,1,1.0,Urban
02131,1,1.0,Urban
02132,1,1.0,Urban
02133,1,1.0,Urban
02134,1,1.0,Urban
02135,1,1.0,Urban
02136,1,1.0,Urban
02137,1,1.0,Urban
02138,1,1.0,Urban
02139,1,1.0,Urban
02140,1,1.0,Urban
02141,1,1.0,Urban
02142,1,1.0,Urban
02143,1,1.0,Urban
02144,1,1.0,Urban
02145,1,1.0,Urban
02148,1,1.0,Urban
02149,1,1.0,Urban
02150,1,1.0,Urban
02151,1,1.0,Urban
02152,1,1.0,Urban
02153,1,1.0,Urban
02155,1,1.0,Urban
02156,1,1.0,Urban
02163,1,1.0,Urban
02169,1,1.0,Urban
02170,1,1.0,Urban
02171,1,1.0,Urban
02176,1,1.0,Urban
02180,1,1.0,Urban
02184,1,1.0,Urban
02185,1,1.0,Urban
02186,1,1.0,Urban
02187,1,1.0,Urban
02188,1,1.0,Urban
02189,1,1.0,Urban
02190,1,1.0,Urban
02191,1,1.0,Urban
02196,1,1.0,Urban
02199,1,1.0,Urban
02201,1,1.0,Urban
02203,1,1.0,Urban
02204,1,1.0,Urban
02205,1,1.0,Urban
02206,1,1.0,Urban
02210,1,1.0,Urban
02211,1,1.0,Urban
02212,1,1.0,Urban
02215,1,1.0,Urban
02217,1,1.0,Urban
02222,1,1.0,Urban
02238,1,1.0,Urban
02241,1,1.0,Urban
02266,1,1.0,Urban
02269,1,1.0,Urban
02283,1,1.0,Urban
02284,1,1.0,Urban
02293,1,1.0,Urban
02297,1,1.0,Urban
02298,1,1.0,Urban
02301,1,1.0,Urban
02302,1,1.0,Urban
02303,1,1.0,Urban
02304,1,1.0,Urban
02305,1,1.0,Urban
02322,1,1.0,Urban
02324,1,1.0,Urban
02325,1,1.0,Urban
02327,1,1.0,Urban
02330,1,1.0,Urban
02331,1,1.0,Urban
02332,1,1.0,Urban
02333,1,1.0,Urban
02334,1,1.0,Urban
02337,1,1.0,Urban
02338,1,1.0,Urban
02339,1,1.0,Urban
02341,1,1.0,Urban
02343,1,1.0,Urban
02344,1,1.0,Urban
02345,1,1.0,Urban
02346,1,1.0,Urban
02347,1,1.0,Urban
02348,1,1.0,Urban
02349,1,1.0,Urban
02350,1,1.0,Urban
02351,1,1.0,Urban
02355,1,1.0,Urban
02356,1,1.0,Urban
02357,1,1.0,Urban
02358,1,1.0,Urban
02359,1,1.0,Urban
02360,1,1.0,Urban
02361,1,1.0,Urban
02362,1,1.0,Urban
02364,1,1.0,Urban
02366,1,1.0,Urban
02367,2,2.0,Suburban
02368,1,1.0,Urban
02370,1,1.0,Urban
02375,1,1.0,Urban
02379,1,1.0,Urban
02381,1,1.0,Urban
02382,1,1.0,Urban
02420,1,1.0,Urban
02421,1,1.0,Urban
02445,1,1.0,Urban
02446,1,1.0,Urban
02447,1,1.0,Urban
02451,1,1.0,Urban
02452,1,1.0,Urban
02453,1,1.0,Urban
02454,1,1.0,Urban
02455,1,1.0,Urban
02456,1,1.0,Urban
02457,1,1.0,Urban
02458,1,1.0,Urban
02459,1,1.0,Urban
02460,1,1.0,Urban
02461,1,1.0,Urban
02462,1,1.0,Urban
02464,1,1.0,Urban
02465,1,1.0,Urban
02466,1,1.0,Urban
02467,1,1.0,Urban
02468,1,1.0,Urban
02471,1,1.0,Urban
02472,1,1.0,Urban
02474,1,1.0,Urban
02475,1,1.0,Urban
02476,1,1.0,Urban
02477,1,1.0,Urban
02478,1,1.0,Urban
02479,1,1.0,Urban
02481,1,1.0,Urban
02482,1,1.0,Urban
02492,1,1.0,Urban
02493,1,1.0,Urban
02494,1,1.0,Urban
02495,1,1.0,Urban
02532,1,1.0,Urban
02534,1,1.0,Urban
02535,10,10.0,Rural
02536,1,1.0,Urban
02537,1,1.0,Urban
02538,1,1.0,Urban
02539,4,4.0,Suburban
02540,1,1.0,Urban
02541,1,1.0,Urban
02542,1,1.0,Urban
02543,1,1.0,Urban
02552,10,10.0,Rural
02553,1,1.0,Urban
02554,7,7.0,Rural
02556,1,1.0,Urban
02557,4,4.0,Suburban
02558,1,1.0,Urban
02559,1,1.0,Urban
02561,1,1.0,Urban
02562,1,1.0,Urban
02563,1,1.0,Urban
02564,8,8.0,Rural
02568,4,4.0,Suburban
02571,1,1.0,Urban
02574,1,1.0,Urban
02575,10,10.0,Rural
02576,1,1.0,Urban
02584,7,7.0,Rural
02601,1,1.0,Urban
02630,1,1.0,Urban
02631,1,1.0,Urban
02632,1,1.0,Urban
02633,1,1.0,Urban
02634,1,1.0,Urban
02635,1,1.0,Urban
02637,1,1.0,Urban
02638,1,1.0,Urban
02639,1,1.0,Urban
02641,1,1.0,Urban
02642,1,1.0,Urban
02643,1,1.0,Urban
02644,1,1.0,Urban
02645,1,1.0,Urban
02646,1,1.0,Urban
02647,1,1.0,Urban
02648,1,1.0,Urban
02649,1,1.0,Urban
02650,1,1.0,Urban
02651,1,1.0,Urban
02652,10,10.3,Rural
02653,1,1.0,Urban
02655,1,1.0,Urban
02657,7,7.0,Rural
02659,1,1.0,Urban
02660,1,1.0,Urban
02661,1,1.0,Urban
02662,1,1.0,Urban
02663,10,10.0,Rural
02664,1,1.0,Urban
02666,10,10.3,Rural
02667,10,10.0,Rural
02668,1,1.0,Urban
02669,1,1.0,Urban
02670,1,1.0,Urban
02671,1,1.0,Urban
02672,1,1.0,Urban
02673,1,1.0,Urban
02675,1,1.0,Urban
02702,1,1.0,Urban
02703,1,1.0,Urban
02712,1,1.0,Urban
02713,10,10.0,Rural
02714,1,1.0,Urban
02715,1,1.0,Urban
02717,1,1.0,Urban
02718,1,1.0,Urban
02719,1,1.0,Urban
02720,1,1.0,Urban
02721,1,1.0,Urban
02722,1,1.0,Urban
02723,1,1.0,Urban
02724,1,1.0,Urban
02725,1,1.0,Urban
02726,1,1.0,Urban
02738,1,1.0,Urban
02739,1,1.0,Urban
02740,1,1.0,Urban
02741,1,1.0,Urban
02742,1,1.0,Urban
02743,1,1.0,Urban
02744,1,1.0,Urban
02745,1,1.0,Urban
02746,1,1.0,Urban
02747,1,1.0,Urban
02748,1,1.0,Urban
02760,1,1.0,Urban
02761,1,1.0,Urban
02762,1,1.0,Urban
02763,1,1.0,Urban
02764,1,1.0,Urban
02766,1,1.0,Urban
02767,1,1.0,Urban
02768,1,1.0,Urban
02769,2,2.0,Suburban
02770,3,3.0,Rural
02771,1,1.0,Urban
02777,1,1.0,Urban
02779,1,1.0,Urban
02780,1,1.0,Urban
02790,1,1.0,Urban
02791,3,3.0,Rural
02801,2,2.0,Suburban
02802,1,1.0,Urban
02804,2,2.0,Suburban
02806,1,1.0,Urban
02807,10,10.0,Rural
02808,1,1.0,Urban
02809,1,1.0,Urban
02812,2,2.0,Suburban
02813,2,2.0,Suburban
02814,2,2.0,Suburban
02815,2,2.0,Suburban
02816,1,1.0,Urban
02817,2,2.0,Suburban
02818,1,1.0,Urban
02822,2,2.0,Suburban
02823,1,1.0,Urban
02824,1,1.0,Urban
02825,2,2.0,Suburban
02826,1,1.0,Urban
02827,2,2.0,Suburban
02828,1,1.0,Urban
02829,1,1.0,Urban
02830,1,1.0,Urban
02831,1,1.0,Urban
02832,2,2.0,Suburban
02833,2,2.0,Suburban
02835,1,1.0,Urban
02836,2,2.0,Suburban
02837,2,2.0,Suburban
02838,1,1.0,Urban
02839,1,1.0,Urban
02840,1,1.0,Urban
02841,1,1.0,Urban
02842,1,1.0,Urban
02852,1,1.0,Urban
02857,2,2.0,Suburban
02858,1,1.0,Urban
02859,1,1.0,Urban
02860,1,1.0,Urban
02861,1,1.0,Urban
02862,1,1.0,Urban
02863,1,1.0,Urban
02864,1,1.0,Urban
02865,1,1.0,Urban
02871,1,1.0,Urban
02872,1,1.0,Urban
02873,2,2.0,Suburban
02874,1,1.0,Urban
02875,2,2.0,Suburban
02876,1,1.0,Urban
02877,2,2.0,Suburban
02878,1,1.0,Urban
02879,1,1.0,Urban
02880,1,1.0,Urban
02881,1,1.0,Urban
02882,1,1.0,Urban
02883,1,1.0,Urban
02885,1,1.0,Urban
02886,1,1.0,Urban
02887,1,1.0,Urban
02888,1,1.0,Urban
02889,1,1.0,Urban
02891,1,1.0,Urban
02892,2,2.0,Suburban
02893,1,1.0,Urban
02894,2,2.0,Suburban
02895,1,1.0,Urban
02896,1,1.0,Urban
02898,2,2.0,Suburban
02901,1,1.0,Urban
02902,1,1.0,Urban
02903,1,1.0,Urban
02904,1,1.0,Urban
02905,1,1.0,Urban
02906,1,1.0,Urban
02907,1,1.0,Urban
02908,1,1.0,Urban
02909,1,1.0,Urban
02910,1,1.0,Urban
02911,1,1.0,Urban
02912,1,1.0,Urban
02914,1,1.0,Urban
02915,1,1.0,Urban
02916,1,1.0,Urban
02917,1,1.0,Urban
02918,1,1.0,Urban
02919,1,1.0,Urban
02920,1,1.0,Urban
02921,1,1.0,Urban
