YEAR,COUNTYFP,TotalPop,TotalVetPop,MalePop,MaleVetPop,Male18To34,MaleVet18To34,Male35To54,MaleVet35To54,Male55To64,MaleVet55To64,Male65To74,MaleVet65To74,Male75Plus,MaleVet75Plus,FemalePop,FemaleVetPop,Female18To34,FemaleVet18To34,Female35To54,FemaleVet35To54,Female55To64,FemaleVet55To64,Female65To74,FemaleVet65To74,Female75Plus,FemaleVet75Plus,VetPercent
2014-2018,01075,10868,770,5200,739,1209,64,1694,146,1029,151,750,221,518,157,5668,31,1238,0,1749,20,1011,0,830,0,840,11,7.09
2014-2018,01077,73987,6198,34852,5755,10527,427,10766,945,5835,858,4667,1938,3057,1587,39135,443,10941,199,11367,143,6675,56,5523,5,4629,40,8.38
2014-2018,01079,25920,1578,12521,1509,3260,166,4376,231,2344,355,1623,447,918,310,13399,69,3234,33,4474,27,2445,0,1966,9,1280,0,6.09
2014-2018,01081,124411,9958,60350,9055,26393,708,18134,2923,7888,1826,5218,2045,2717,1553,64061,903,26101,188,19552,328,8604,273,5895,67,3909,47,8.0
2014-2018,01083,71546,7115,35613,6549,9998,419,13624,1955,5906,1346,3896,1615,2189,1214,35933,566,9386,52,12911,228,5998,128,4423,71,3215,87,9.94
2014-2018,01085,7906,366,3678,327,1038,19,1155,31,708,99,470,96,307,82,4228,39,1069,12,1327,22,781,3,576,0,475,2,4.63
2014-2018,01087,15629,1411,7035,1235,2555,79,1782,207,1207,356,973,363,518,230,8594,176,2998,19,2134,38,1411,44,1182,46,869,29,9.03
2014-2018,01089,277221,32614,133392,28470,41917,1859,45573,8340,23486,6541,13573,6451,8843,5279,143829,4144,41616,605,48896,2031,24425,1093,16004,292,12888,123,11.76
2014-2018,01091,15070,974,6976,917,1793,64,2299,182,1288,266,957,186,639,219,8094,57,1997,0,2545,22,1458,35,1090,0,1004,0,6.46
2014-2018,01093,23627,1515,11541,1495,2822,60,3904,361,2078,259,1666,416,1071,399,12086,20,2774,0,3798,0,2032,4,1854,13,1628,3,6.41
2014-2018,01095,71460,6127,34720,5824,10088,347,11899,1271,5730,1364,4389,1577,2614,1265,36740,303,9415,73,12150,75,6237,90,5013,34,3925,31,8.57
2014-2018,01097,315558,27976,147403,25169,45950,2094,48435,5705,25777,5265,17408,7203,9833,4902,168155,2807,49443,439,53499,1268,28804,579,20677,320,15732,201,8.87
2014-2018,01099,16592,1472,7634,1330,1945,71,2424,336,1476,214,1123,371,666,338,8958,142,2130,13,2903,67,1654,53,1220,9,1051,0,8.87
2014-2018,01001,171528,16259,78703,14096,26629,1012,25913,3566,12724,3727,8293,3223,5144,2568,92825,2163,28573,308,29960,1121,15546,403,10353,226,8393,105,9.48
2014-2018,01003,91703,8135,44560,7594,12336,467,15805,1847,7820,1522,5275,1987,3324,1771,47143,541,11753,81,15909,306,8215,120,6356,22,4910,12,8.87
2014-2018,01005,7410,382,3389,359,1128,1,981,56,559,160,514,52,207,90,4021,23,1101,14,1196,4,681,0,536,5,507,0,5.16
2014-2018,01007,16296,1316,7631,1234,2188,28,2450,361,1369,179,970,352,654,314,8665,82,2188,6,2925,72,1447,0,1167,4,938,0,8.08
2014-2018,01009,26858,1873,12659,1696,5650,201,3133,233,1703,292,1339,578,834,392,14199,177,5923,44,3658,38,1905,46,1480,10,1233,39,6.97
2014-2018,01011,17660,1447,8418,1305,2150,161,2676,185,1589,146,1310,527,693,286,9242,142,2199,33,2882,15,1652,47,1362,19,1147,28,8.19
2014-2018,01013,42610,5593,19664,4416,6199,493,6786,1321,3486,1170,2033,801,1160,631,22946,1177,6952,350,7656,592,3755,121,2619,84,1964,30,13.13
2014-2018,01015,67273,6619,33190,6178,9038,412,12132,1255,5726,1589,3981,1642,2313,1280,34083,441,8850,91,11707,187,5929,12,4565,32,3032,119,9.84
2014-2018,01017,160511,12877,76666,11813,21213,1117,29190,2930,12839,1637,8660,3565,4764,2564,83845,1064,22249,245,30727,490,14168,142,10079,73,6622,114,8.02
2014-2018,01019,10451,590,4650,506,1698,70,1223,159,852,112,537,78,340,87,5801,84,2052,61,1444,12,984,9,647,2,674,0,5.65
2014-2018,01021,63172,5124,30357,4743,8303,258,10470,935,5472,1365,3888,1299,2224,886,32815,381,8625,64,10616,122,5929,88,4429,79,3216,28,8.11
2014-2018,01023,32062,2898,15284,2729,3943,83,4594,560,2986,613,2407,684,1354,789,16778,169,3827,39,5223,45,3215,58,2628,20,1885,7,9.04
2014-2018,01025,162914,10454,77450,9307,32270,815,22916,2107,11241,1887,7172,2762,3851,1736,85464,1147,33539,102,24690,606,12573,142,8260,94,6402,203,6.42
2014-2018,01027,50114,4016,24063,3771,6488,227,7999,673,4324,559,3240,1358,2012,954,26051,245,6250,4,8308,79,4721,47,3887,54,2885,61,8.01
2014-2018,01029,12940,1050,6464,974,1690,14,2101,265,1287,306,954,284,432,105,6476,76,1477,2,2136,11,1211,47,912,4,740,12,8.11
2014-2018,01031,8142,447,3782,437,1052,12,1143,66,728,98,551,114,308,147,4360,10,1072,0,1380,0,782,0,601,8,525,2,5.49
2014-2018,01033,18865,1592,9277,1558,2206,218,3040,324,1762,275,1429,375,840,366,9588,34,2068,0,2969,13,1793,8,1556,2,1202,11,8.44
2014-2018,02013,2933,127,1732,111,497,7,779,17,315,42,96,33,45,12,1201,16,292,0,554,11,194,0,116,5,45,0,4.33
2014-2018,02016,4727,272,2907,255,967,28,1314,142,463,58,134,23,29,4,1820,17,653,4,653,6,343,7,125,0,46,0,5.75
2014-2018,02020,214669,28203,106384,24123,38150,4746,36613,7275,17796,4838,9649,4756,4176,2508,108285,4080,37454,1060,37305,1447,17859,1080,9849,400,5818,93,13.14
2014-2018,02050,11585,647,6038,620,2358,69,2082,213,970,146,449,142,179,50,5547,27,2293,9,1799,10,799,3,442,5,214,0,5.58
2014-2018,02060,683,91,415,83,76,7,189,30,96,18,36,17,18,11,268,8,53,0,101,7,83,1,17,0,14,0,13.32
2014-2018,02068,1932,119,936,111,266,0,325,31,246,31,69,39,30,10,996,8,338,0,354,8,241,0,38,0,25,0,6.16
2014-2018,02070,3439,157,1826,157,647,16,589,42,358,26,154,58,78,15,1613,0,618,0,510,0,287,0,119,0,79,0,4.57
2014-2018,02090,69091,11586,35474,9517,13794,2008,11318,3346,5704,1787,3347,1845,1311,531,33617,2069,12855,1008,10877,573,5419,324,3058,81,1408,83,16.77
2014-2018,02000,1960,135,1076,135,255,2,301,32,153,14,342,66,25,21,884,0,134,0,359,0,144,0,170,0,77,0,6.89
2014-2018,02005,1797,190,955,181,188,8,307,15,240,52,167,82,53,24,842,9,155,2,250,3,242,1,145,0,50,3,10.57
2014-2018,02010,25038,2414,12618,2138,3857,157,4466,693,2452,397,1345,634,498,257,12420,276,3629,26,4430,102,2327,89,1354,27,680,32,9.64
2014-2018,02022,44801,5073,23424,4796,6333,272,7523,1108,4822,984,3355,1626,1391,806,21377,277,5496,8,6921,86,4614,61,2882,90,1464,32,11.32
2014-2018,02030,10526,1091,5359,971,1461,67,1828,228,1072,169,696,317,302,190,5167,120,1393,15,1742,46,1080,16,610,27,342,16,10.36
2014-2018,02050,9495,1081,4915,876,1574,181,1733,361,1001,100,458,161,149,73,4580,205,1533,40,1594,127,812,25,456,0,185,13,11.38
2014-2018,02058,4870,227,2640,207,1177,22,833,95,424,39,148,42,58,9,2230,20,1008,6,679,6,293,8,151,0,99,0,4.66
2014-2018,02064,1002,57,548,55,177,7,188,18,136,14,31,11,16,5,454,2,174,0,138,2,80,0,31,0,31,0,5.69
2014-2018,02070,74780,10518,38869,9250,12415,891,13792,3180,7074,2089,3924,2023,1664,1067,35911,1268,10916,227,12942,723,6611,184,3664,109,1778,25,14.07
2014-2018,02080,6476,446,3460,409,1325,13,1160,139,579,55,287,147,109,55,3016,37,1173,7,1015,7,482,7,233,16,113,0,6.89
2014-2018,02085,7212,604,4730,582,1446,57,1893,196,1034,192,297,103,60,34,2482,22,925,0,850,4,437,18,166,0,104,0,8.37
2014-2018,02088,5014,297,2750,274,1096,16,952,92,435,87,177,64,90,15,2264,23,955,2,713,10,267,8,184,3,145,0,5.92
2014-2018,02095,2511,262,1276,252,377,8,323,30,233,21,204,84,139,109,1235,10,321,1,343,8,213,1,258,0,100,0,10.43
2014-2018,02098,4936,546,2710,499,669,25,918,123,581,86,380,187,162,78,2226,47,581,12,750,14,477,11,303,10,115,0,11.06
2014-2018,02020,6716,714,3346,643,954,72,1158,113,627,163,375,174,232,121,3370,71,955,45,1105,10,649,13,371,3,290,0,10.63
2014-2018,02030,876,68,477,66,151,3,169,16,82,8,60,28,15,11,399,2,123,0,133,2,98,0,30,0,15,0,7.76
2014-2018,02040,4882,804,2723,711,741,67,945,192,536,157,360,204,141,91,2159,93,638,30,713,41,423,16,256,0,129,6,16.47
2014-2018,02061,6903,1067,3604,978,933,144,1257,330,757,245,559,233,98,26,3299,89,956,39,1152,42,696,5,406,3,89,0,15.46
2014-2018,02075,1991,269,1043,242,175,3,254,27,309,26,139,70,166,116,948,27,204,4,299,23,202,0,129,0,114,0,13.51
2014-2018,02082,502,38,291,37,73,2,122,9,45,8,36,9,15,9,211,1,75,0,65,1,37,0,21,0,13,0,7.57
2014-2018,02090,3897,349,2120,305,623,16,642,44,441,66,300,146,114,33,1777,44,547,1,558,8,347,10,208,17,117,8,8.96
2014-2018,04001,51690,2902,25557,2638,8323,194,8320,372,4159,602,2858,864,1897,606,26133,264,7822,44,8043,75,4603,101,3325,25,2340,19,5.61
2014-2018,04003,94780,18278,47123,15673,12780,1381,13641,3855,7958,2943,7449,3981,5295,3513,47657,2605,11477,306,13383,979,8991,770,7863,373,5943,177,19.28
2014-2018,04005,110450,7209,53810,6506,23088,651,15112,1544,7856,1199,5123,1914,2631,1198,56640,703,24539,184,15014,250,8582,101,5325,151,3180,17,6.53
