YEAR,COUNTYFP,TotalPop,TotalVetPop,MalePop,MaleVetPop,Male18To34,MaleVet18To34,Male35To54,MaleVet35To54,Male55To64,MaleVet55To64,Male65To74,MaleVet65To74,Male75Plus,MaleVet75Plus,FemalePop,FemaleVetPop,Female18To34,FemaleVet18To34,Female35To54,FemaleVet35To54,Female55To64,FemaleVet55To64,Female65To74,FemaleVet65To74,Female75Plus,FemaleVet75Plus,VetPercent
2014-2018,29027,35328,3460,18068,3273,5771,372,6107,538,2944,701,2118,1054,1128,608,17260,187,4825,0,5542,65,3183,46,2137,69,1573,7,9.79
2014-2018,29029,37029,4419,18177,3945,3684,165,4588,550,3841,496,3902,1637,2162,1097,18852,474,3456,127,5120,187,4119,108,3902,41,2255,11,11.93
2014-2018,29031,61430,4811,29403,4652,10336,329,8916,1032,4735,719,3205,1325,2211,1247,32027,159,10647,32,9171,55,5116,37,3674,11,3419,24,7.83
2014-2018,29033,6837,593,3292,549,789,52,1075,53,616,111,482,187,330,146,3545,44,795,10,1083,7,640,11,546,13,481,3,8.67
2014-2018,29035,4631,462,2243,447,531,15,713,92,444,126,335,138,220,76,2388,15,476,2,799,5,467,6,358,1,288,1,9.98
2014-2018,29037,77367,8466,37198,7921,10103,582,13157,1825,6716,1652,4273,2065,2949,1797,40169,545,9862,24,13823,228,7217,118,5121,111,4146,64,10.94
2014-2018,29039,10571,1205,5189,1132,1160,8,1520,110,981,215,866,393,662,406,5382,73,1142,7,1558,35,991,22,892,0,799,9,11.4
2014-2018,29041,5815,520,2834,500,632,10,827,79,583,60,429,167,363,184,2981,20,599,5,834,2,583,4,423,0,542,9,8.94
2014-2018,29043,62555,6335,29889,6023,8260,521,10974,1437,5003,942,3538,1882,2114,1241,32666,312,8851,41,11420,109,5447,77,4027,62,2921,23,10.13
2014-2018,29045,5208,503,2639,483,616,2,853,94,543,107,365,160,262,120,2569,20,521,0,818,0,473,14,395,6,362,0,9.66
2014-2018,29047,180354,15784,87078,14311,26839,1063,31975,3815,14056,2574,9035,3805,5173,3054,93276,1473,26821,289,33120,762,15194,194,10407,84,7734,144,8.75
2014-2018,29049,15582,1890,7650,1714,1875,93,2606,381,1478,346,980,494,711,400,7932,176,1921,0,2682,94,1467,56,1012,9,850,17,12.13
2014-2018,29051,59314,5011,29936,4638,9083,257,10808,1166,4940,897,3257,1322,1848,996,29378,373,8147,45,9304,137,5221,100,3636,32,3070,59,8.45
2014-2018,29053,13746,1092,7221,1013,2443,74,2279,197,1179,151,777,359,543,232,6525,79,1617,12,2027,26,1201,28,873,5,807,8,7.94
2014-2018,29055,18662,2043,9179,1964,2333,222,2994,347,1765,397,1278,552,809,446,9483,79,2258,23,3026,36,1748,10,1360,10,1091,0,10.95
2014-2018,29057,6002,732,2997,713,638,3,954,153,590,124,493,267,322,166,3005,19,574,0,872,9,654,10,468,0,437,0,12.2
2014-2018,29059,12487,1412,6142,1256,1427,50,1927,163,1274,329,915,358,599,356,6345,156,1420,10,1915,56,1244,34,949,43,817,13,11.31
2014-2018,29061,6169,626,3087,606,746,32,969,102,554,79,513,202,305,191,3082,20,740,0,928,2,568,15,483,0,363,3,10.15
2014-2018,29063,10481,1093,6828,982,2244,131,2620,262,967,166,599,223,398,200,3653,111,811,21,1092,26,674,40,488,8,588,16,10.43
2014-2018,29065,11965,1283,5841,1202,1318,57,1855,190,1177,223,849,339,642,393,6124,81,1325,0,1812,33,1197,37,965,11,825,0,10.72
2014-2018,29067,10518,1105,5203,1065,1126,50,1504,153,1096,211,885,394,592,257,5315,40,1054,0,1499,0,1128,0,895,8,739,32,10.51
2014-2018,29069,22559,1719,10526,1626,2812,54,3528,433,1895,342,1373,459,918,338,12033,93,2967,14,3822,48,2075,10,1596,21,1573,0,7.62
2014-2018,29071,78876,7716,38824,7090,10551,386,13229,1545,7417,1167,4691,2196,2936,1796,40052,626,10081,144,13068,218,7531,195,5242,26,4130,43,9.78
2014-2018,29073,11618,1129,5669,1110,1263,59,1751,169,1225,192,818,361,612,329,5949,19,1308,0,1687,3,1168,8,918,0,868,8,9.72
2014-2018,29075,5026,476,2414,434,619,7,748,88,480,85,288,106,279,148,2612,42,664,4,753,26,452,10,322,2,421,0,9.47
2014-2018,29077,227825,18607,109306,17157,39585,1552,34094,4158,16365,2961,11379,4322,7883,4164,118519,1450,40557,185,33518,697,18046,260,13831,167,12567,141,8.17
2014-2018,29079,7709,687,3760,652,1167,28,1009,109,679,97,497,211,408,207,3949,35,1011,0,1089,5,632,5,582,6,635,19,8.91
2014-2018,29081,6456,614,3156,588,781,40,951,103,601,63,471,224,352,158,3300,26,700,0,920,7,630,19,467,0,583,0,9.51
2014-2018,29083,16877,2342,8237,2195,1909,214,2669,442,1575,479,1243,561,841,499,8640,147,1901,24,2625,68,1657,22,1328,17,1129,16,13.88
2014-2018,29085,7796,964,3808,894,576,36,944,123,730,147,949,269,609,319,3988,70,600,0,983,50,823,4,914,0,668,16,12.37
2014-2018,29087,3540,403,1732,384,351,19,546,77,357,56,279,124,199,108,1808,19,332,1,553,12,338,4,265,2,320,0,11.38
2014-2018,29089,7859,778,3892,764,1177,41,1173,141,717,128,482,242,343,212,3967,14,1187,3,1067,5,719,6,518,0,476,0,9.9
2014-2018,29091,30589,3252,14763,2992,4106,201,4706,511,2484,471,2055,1053,1412,756,15826,260,3968,9,4823,115,2790,62,2235,43,2010,31,10.63
2014-2018,29093,8087,875,3913,791,911,24,1244,133,789,156,589,293,380,185,4174,84,840,6,1317,11,806,49,674,12,537,6,10.82
2014-2018,29095,526708,41562,250579,38278,80881,2582,85404,8281,42299,7359,25656,11056,16339,9000,276129,3284,83587,484,88939,1242,46755,854,31091,485,25757,219,7.89
2014-2018,29097,89117,7299,42835,7002,13839,528,14532,1773,6912,1217,4533,1860,3019,1624,46282,297,13862,41,14731,78,7609,95,5389,28,4691,55,8.19
2014-2018,29099,170456,15977,83842,14736,23277,969,30607,3122,15679,3175,9308,4620,4971,2850,86614,1241,22569,150,30845,505,16045,365,10361,108,6794,113,9.37
2014-2018,29101,39031,5725,18916,4785,7756,721,5346,1215,2748,892,1815,1065,1251,892,20115,940,8139,466,5584,298,3034,98,1929,69,1429,9,14.67
2014-2018,29103,3015,321,1496,317,390,34,436,44,297,53,223,100,150,86,1519,4,323,0,453,4,276,0,237,0,230,0,10.65
2014-2018,29105,26741,3091,13012,2917,3498,242,4452,682,2306,596,1654,792,1102,605,13729,174,3391,14,4581,99,2364,61,1909,0,1484,0,11.56
2014-2018,29107,25030,2237,12160,2163,3123,101,4129,592,2240,299,1513,538,1155,633,12870,74,2994,20,4202,43,2397,4,1663,6,1614,1,8.94
2014-2018,29109,28450,2770,14054,2580,3712,203,4677,505,2570,485,1701,556,1394,831,14396,190,3540,0,4704,122,2552,46,1902,0,1698,22,9.74
2014-2018,29111,7725,784,3838,768,1206,50,1146,150,646,128,507,237,333,203,3887,16,1090,0,1130,6,680,0,498,10,489,0,10.15
2014-2018,29113,41255,3714,20200,3439,5785,236,7480,666,3674,810,2071,1127,1190,600,21055,275,6118,65,7405,104,3720,73,2201,19,1611,14,9.0
2014-2018,29115,9270,775,4383,722,1070,12,1382,50,868,154,631,248,432,258,4887,53,1086,0,1416,12,943,12,746,13,696,16,8.36
2014-2018,29117,11801,917,5087,857,1307,25,1537,123,905,73,755,267,583,369,6714,60,1866,13,2206,23,971,2,819,11,852,11,7.77
2014-2018,29119,16914,1451,8471,1319,2405,68,2980,199,1483,344,1019,484,584,224,8443,132,2149,12,2995,39,1503,17,1016,54,780,10,8.58
2014-2018,29121,11633,1371,5726,1250,1424,85,1750,236,1059,214,840,384,653,331,5907,121,1269,12,1733,44,1063,11,930,20,912,34,11.79
2014-2018,29123,9408,1023,4566,946,1176,25,1465,215,878,165,613,294,434,247,4842,77,1232,0,1520,77,867,0,654,0,569,0,10.87
2014-2018,29125,6997,887,3478,811,846,25,1044,113,706,177,501,259,381,237,3519,76,750,0,1149,28,665,26,550,12,405,10,12.68
2014-2018,29127,21788,2251,10400,1989,2936,160,3448,486,1866,256,1280,643,870,444,11388,262,3049,20,3564,99,2006,66,1403,30,1366,47,10.33
2014-2018,29129,2727,235,1351,230,313,1,390,13,287,46,198,104,163,66,1376,5,285,0,426,2,269,0,177,0,219,3,8.62
2014-2018,29131,19088,1828,9295,1724,2391,77,3064,251,1714,344,1285,582,841,470,9793,104,2459,0,3131,30,1781,46,1360,28,1062,0,9.58
2014-2018,29133,10737,839,5846,768,1692,143,2295,167,830,132,642,178,387,148,4891,71,1230,55,1506,13,839,0,758,1,558,2,7.81
2014-2018,29135,11912,1049,6433,1032,1942,94,2382,146,983,267,661,271,465,254,5479,17,1370,0,1862,4,920,9,717,0,610,4,8.81
2014-2018,29137,6714,743,3334,677,707,40,1033,147,692,110,525,194,377,186,3380,66,720,14,953,47,708,5,527,0,472,0,11.07
2014-2018,29139,8922,922,4380,863,1023,39,1413,183,891,180,604,237,449,224,4542,59,965,4,1399,10,906,21,645,6,627,18,10.33
2014-2018,29141,15570,1725,7660,1639,1667,39,2204,262,1532,265,1351,593,906,480,7910,86,1679,2,2212,53,1565,14,1402,3,1052,14,11.08
2014-2018,29143,13649,1240,6435,1171,1604,35,2211,363,1219,169,893,411,508,193,7214,69,1711,0,2305,47,1351,5,995,17,852,0,9.08
2014-2018,29145,44082,4357,21514,3891,5993,234,7121,816,3775,687,2848,1190,1777,964,22568,466,5778,135,7206,208,4026,43,3052,27,2506,53,9.88
2014-2018,29147,18843,1004,9379,927,4511,43,2230,147,1176,131,836,301,626,305,9464,77,4418,5,2086,13,1158,40,860,0,942,19,5.33
2014-2018,29149,8326,1092,4141,1048,921,59,1215,122,795,244,722,385,488,238,4185,44,815,0,1231,0,823,26,700,0,616,18,13.12
2014-2018,29151,10459,872,5439,782,1523,26,1874,138,976,70,619,287,447,261,5020,90,1194,0,1705,50,907,13,607,10,607,17,8.34
2014-2018,29153,7421,865,3683,777,640,8,973,96,831,125,736,312,503,236,3738,88,637,22,1023,23,834,29,698,8,546,6,11.66
2014-2018,29155,12554,856,5731,779,1629,68,1886,121,1059,157,707,247,450,186,6823,77,1843,23,2178,17,1205,32,838,5,759,0,6.82
2014-2018,29157,14511,1261,7086,1219,1831,133,2425,320,1337,156,859,334,634,276,7425,42,1854,0,2343,21,1361,11,936,10,931,0,8.69
2014-2018,29159,31723,2961,15320,2821,4523,82,5093,702,2723,479,1782,862,1199,696,16403,140,4610,11,5128,54,2793,57,1985,10,1887,8,9.33
2014-2018,29161,35302,3736,18576,3519,7684,298,4977,723,2762,817,1852,871,1301,810,16726,217,5135,50,4953,112,2878,55,1990,0,1770,0,10.58
2014-2018,29163,14434,1410,8096,1384,2595,79,2776,276,1274,284,867,430,584,315,6338,26,1522,17,1962,0,1190,9,910,0,754,0,9.77
2014-2018,29165,74917,7035,36582,6383,10669,686,13462,1862,6266,1005,4085,1734,2100,1096,38335,652,10431,175,13788,288,6596,169,4426,3,3094,17,9.39
2014-2018,29167,24261,2308,11660,2099,3647,251,3577,339,1880,302,1496,694,1060,513,12601,209,3825,3,3628,92,2129,110,1565,1,1454,3,9.51
2014-2018,29169,29353,7492,14650,6467,5990,1526,4708,2418,1988,1154,1274,903,690,466,14703,1025,5123,384,5110,490,2061,123,1334,21,1075,7,25.52
2014-2018,29171,3722,419,1839,397,398,23,550,81,350,11,311,153,230,129,1883,22,384,0,546,16,351,6,303,0,299,0,11.26
2014-2018,29173,8038,879,4050,830,911,7,1318,141,818,122,647,378,356,182,3988,49,832,6,1297,24,775,9,658,10,426,0,10.94
2014-2018,29175,19483,1771,10244,1705,3198,80,3710,437,1623,404,1043,449,670,335,9239,66,2487,8,2915,37,1577,0,1172,11,1088,10,9.09
2014-2018,29177,17588,1651,8682,1601,2303,77,2891,357,1668,381,1125,479,695,307,8906,50,2028,0,2951,37,1723,6,1204,3,1000,4,9.39
2014-2018,29179,5035,589,2520,578,536,6,768,69,513,130,385,188,318,185,2515,11,540,0,792,11,489,0,370,0,324,0,11.7
2014-2018,29181,10555,1090,5195,995,1275,51,1662,177,970,228,760,312,528,227,5360,95,1251,19,1637,25,1046,14,778,6,648,31,10.33
2014-2018,29183,296877,24637,144188,23115,42665,1748,52179,5149,24880,4109,15199,6689,9265,5420,152689,1522,41697,269,53474,692,26500,338,17569,120,13449,103,8.3
2014-2018,29185,7549,1073,3762,1034,780,72,1040,121,765,168,670,365,507,308,3787,39,673,21,1010,7,773,11,683,0,648,0,14.21
2014-2018,29186,13985,1402,7019,1344,1684,64,2257,280,1513,212,945,455,620,333,6966,58,1537,0,2227,17,1469,29,923,12,810,0,10.03
2014-2018,29187,52285,4684,28737,4568,9247,368,10250,981,4515,1005,2905,1279,1820,935,23548,116,5981,11,7730,64,4056,27,3114,14,2667,0,8.96
2014-2018,29189,776813,57779,360414,53412,105269,3240,117380,9630,65935,8705,42376,15730,29454,16107,416399,4367,109056,707,131760,1489,75031,1161,52722,453,47830,557,7.44
2014-2018,29195,17804,1492,8878,1425,2753,104,2849,260,1471,252,1113,464,692,345,8926,67,2548,7,2591,20,1470,19,1181,14,1136,7,8.38
2014-2018,29197,3306,234,1615,196,429,4,488,34,303,46,223,56,172,56,1691,38,393,0,529,34,294,3,244,1,231,0,7.08
2014-2018,29199,3509,258,1698,248,481,0,551,36,277,31,232,72,157,109,1811,10,455,0,544,3,310,6,230,1,272,0,7.35
2014-2018,29201,29476,2782,13913,2665,3868,202,4652,595,2452,531,1844,861,1097,476,15563,117,4026,3,4944,76,2774,31,2080,7,1739,0,9.44
2014-2018,29203,6447,729,3105,681,743,34,945,108,644,153,498,281,275,105,3342,48,800,19,928,11,677,18,516,0,421,0,11.31
2014-2018,29205,4601,430,2273,416,529,27,723,50,470,68,317,148,234,123,2328,14,527,5,681,0,433,7,344,0,343,2,9.35
2014-2018,29207,22899,2194,11012,2036,2882,88,3744,285,1874,367,1448,696,1064,600,11887,158,2872,11,3697,54,2067,82,1701,3,1550,8,9.58
2014-2018,29209,26206,3534,12696,3410,2271,94,3232,547,2672,683,2760,1252,1761,834,13510,124,2167,10,3563,51,2937,18,2975,16,1868,29,13.49
2014-2018,29211,4915,335,2361,297,558,10,819,55,437,39,340,86,207,107,2554,38,543,17,867,14,414,7,392,0,338,0,6.82
2014-2018,29213,43069,4358,20521,4131,5739,233,6162,716,3447,621,3093,1477,2080,1084,22548,227,5913,16,6561,81,3891,65,3628,37,2555,28,10.12
2014-2018,29215,20064,2664,10458,2439,2663,59,3515,719,1873,499,1407,660,1000,502,9606,225,2129,70,2865,83,1857,18,1482,25,1273,29,13.28
2014-2018,29217,15740,1434,7459,1286,1952,199,2395,200,1385,150,1024,414,703,323,8281,148,2241,31,2526,44,1433,38,1110,14,971,21,9.11
2014-2018,29219,25769,2647,12613,2496,3215,62,4261,525,2416,378,1667,914,1054,617,13156,151,3313,11,4206,47,2504,76,1762,17,1371,0,10.27
2014-2018,29221,19188,1923,9916,1781,2699,84,3554,398,1815,359,1137,616,711,324,9272,142,2261,37,3163,30,1741,60,1262,0,845,15,10.02
2014-2018,29223,10510,1303,5184,1249,1136,102,1598,236,994,156,853,433,603,322,5326,54,1057,9,1607,2,1079,43,887,0,696,0,12.4
2014-2018,29225,27696,2451,13925,2259,3909,168,5005,359,2312,540,1639,762,1060,430,13771,192,3550,35,4712,49,2409,25,1733,73,1367,10,8.85
2014-2018,29227,1610,139,773,131,163,0,226,17,168,14,114,40,102,60,837,8,183,0,210,0,168,3,117,0,159,5,8.63
2014-2018,29229,13751,1423,6740,1333,1715,18,2164,145,1245,304,931,447,685,419,7011,90,1509,0,2119,57,1427,29,1047,0,909,4,10.35
2014-2018,29510,249717,16543,119000,14959,44415,1177,38778,3380,19570,3822,10491,3942,5746,2638,130717,1584,47234,248,39381,673,21131,461,12576,112,10395,90,6.62
2014-2018,30001,7660,594,3861,547,1158,77,953,35,710,81,576,173,464,181,3799,47,1126,0,942,13,777,12,510,20,444,2,7.75
2014-2018,30003,8874,732,4252,696,1399,46,1396,165,727,123,469,190,261,172,4622,36,1451,0,1553,23,772,0,511,13,335,0,8.25
2014-2018,30005,4718,459,2285,407,683,11,737,106,429,130,287,91,149,69,2433,52,755,3,721,23,411,14,296,8,250,4,9.73
2014-2018,30007,4686,673,2399,589,463,37,710,91,518,140,445,163,263,158,2287,84,456,11,735,51,457,0,379,15,260,7,14.36
2014-2018,30009,8604,1095,4284,962,728,59,1294,164,980,157,826,310,456,272,4320,133,736,5,1345,58,964,2,775,68,500,0,12.73
2014-2018,30011,1061,73,523,63,105,4,125,9,138,12,64,15,91,23,538,10,123,2,137,0,98,0,74,8,106,0,6.88
2014-2018,30013,60978,9274,29550,8006,8484,1133,9070,1951,5294,1405,3907,1828,2795,1689,31428,1268,8830,366,9055,588,5648,206,4249,66,3646,42,15.21
2014-2018,30015,4400,391,2186,366,559,43,627,76,463,43,317,76,220,128,2214,25,554,13,630,6,451,0,323,2,256,4,8.89
2014-2018,30017,9240,999,4506,898,1223,88,1396,158,893,129,575,204,419,319,4734,101,1240,31,1376,21,896,36,627,5,595,8,10.81
2014-2018,30019,1389,129,681,119,103,12,193,10,197,0,74,31,114,66,708,10,85,0,220,6,119,0,99,0,185,4,9.29
2014-2018,30021,7227,582,3839,577,1153,73,1206,116,728,115,441,94,311,179,3388,5,873,0,932,0,691,4,437,0,455,1,8.05
2014-2018,30023,7680,776,4071,706,1022,39,1234,108,810,141,614,240,391,178,3609,70,607,0,1199,48,789,9,574,0,440,13,10.1
2014-2018,30025,2164,128,1121,117,316,0,356,19,223,31,123,20,103,47,1043,11,275,0,274,5,221,6,120,0,153,0,5.91
2014-2018,30027,8973,842,4455,800,985,46,1312,139,897,75,740,322,521,218,4518,42,1019,1,1295,0,903,34,677,6,624,1,9.38
2014-2018,30029,76253,8671,37588,7886,9185,591,12186,1451,7565,1675,5542,2457,3110,1712,38665,785,9303,60,12030,424,8133,170,5521,91,3678,40,11.37
2014-2018,30031,83435,5828,43357,5217,18260,697,13228,1232,5986,788,3857,1373,2026,1127,40078,611,15295,282,12220,158,6131,39,3926,111,2506,21,6.99
2014-2018,30033,901,71,440,71,121,0,98,11,88,4,86,40,47,16,461,0,139,0,142,0,87,0,47,0,46,0,7.88
2014-2018,30035,9360,678,4582,584,1606,33,1481,162,786,109,482,191,227,89,4778,94,1516,11,1518,54,885,21,483,8,376,0,7.24
2014-2018,30037,595,96,289,88,25,5,64,7,99,20,66,30,35,26,306,8,36,0,94,0,96,6,52,0,28,2,16.13
2014-2018,30039,2704,470,1390,390,212,7,365,84,320,54,291,96,202,149,1314,80,235,9,309,6,327,5,266,0,177,60,17.38
2014-2018,30041,11909,1056,6006,968,2046,137,1778,167,1078,192,685,259,419,213,5903,88,1803,31,1759,8,1096,27,662,22,583,0,8.87
2014-2018,30043,9277,1186,4733,1057,951,32,1416,198,1100,255,893,360,373,212,4544,129,837,7,1470,83,1141,14,734,3,362,22,12.78
2014-2018,30045,1600,155,862,150,146,1,249,22,255,26,135,57,77,44,738,5,123,0,227,0,194,3,120,0,74,2,9.69
2014-2018,30047,22593,2475,11028,2224,2745,42,3073,402,2153,433,1910,840,1147,507,11565,251,2576,35,3439,89,2420,42,1813,60,1317,25,10.95
2014-2018,30049,52320,6309,25625,5620,6829,601,8263,1302,5023,1038,3634,1618,1876,1061,26695,689,6922,194,8269,262,5407,131,3583,78,2514,24,12.06
2014-2018,30051,1786,183,866,183,170,16,235,22,181,18,142,67,138,60,920,0,184,0,243,0,205,0,130,0,158,0,10.25
2014-2018,30053,15816,2340,7872,2225,1353,81,2077,279,1811,436,1672,806,959,623,7944,115,1249,38,2184,19,1914,31,1616,19,981,8,14.8
2014-2018,30055,1301,112,674,104,159,15,180,18,143,8,106,32,86,31,627,8,132,0,139,0,129,0,98,0,129,8,8.61
2014-2018,30057,6942,869,3661,828,825,66,868,51,765,135,820,373,383,203,3281,41,593,0,850,8,758,6,646,2,434,25,12.52
2014-2018,30059,1575,126,778,126,175,0,209,0,179,16,135,63,80,47,797,0,193,0,227,0,144,0,116,0,117,0,8.0
2014-2018,30061,3426,565,1793,505,323,13,442,91,401,72,399,236,228,93,1633,60,274,0,435,35,371,15,329,9,224,1,16.49
2014-2018,30063,93688,7836,46886,7173,17571,704,14154,1558,7049,1202,5281,2170,2831,1539,46802,663,17043,59,13495,309,7499,167,5200,81,3565,47,8.36
2014-2018,30065,3796,601,1901,502,342,20,562,79,406,90,365,212,226,101,1895,99,389,39,497,22,431,10,346,0,232,28,15.83
2014-2018,30067,13204,1390,6529,1202,1383,82,2099,187,1382,182,1092,482,573,269,6675,188,1454,16,2020,123,1454,25,1006,5,741,19,10.53
2014-2018,30069,346,43,168,35,25,0,42,6,55,13,22,6,24,10,178,8,29,0,62,4,49,0,8,0,30,4,12.43
2014-2018,30071,3154,348,1552,319,328,33,478,72,321,55,245,74,180,85,1602,29,309,20,455,3,377,6,214,0,247,0,11.03
2014-2018,30073,4520,522,2223,472,573,17,640,79,445,93,325,120,240,163,2297,50,569,20,648,22,451,0,303,2,326,6,11.55
2014-2018,30075,1368,91,686,88,152,4,178,2,162,20,139,41,55,21,682,3,121,0,179,3,182,0,99,0,101,0,6.65
2014-2018,30077,5854,748,3796,670,1081,31,1408,212,608,93,438,202,261,132,2058,78,363,19,607,21,452,36,338,2,298,0,12.78
2014-2018,30079,1026,170,530,143,55,0,143,19,132,39,126,53,74,32,496,27,46,0,152,12,119,15,123,0,56,0,16.57
2014-2018,30081,33645,4383,16516,4153,3248,222,4958,745,3368,600,3116,1313,1826,1273,17129,230,3114,41,5019,79,3760,72,3107,20,2129,18,13.03
2014-2018,30083,8613,694,4387,632,1250,32,1496,157,843,127,516,192,282,124,4226,62,1192,13,1381,7,835,0,491,38,327,4,8.06
2014-2018,30085,7520,674,3717,629,1322,94,1223,139,638,107,345,184,189,105,3803,45,1254,0,1168,9,704,16,365,15,312,5,8.96
2014-2018,30087,6529,696,3206,651,900,72,1009,143,646,86,430,244,221,106,3323,45,833,5,1130,23,644,11,463,6,253,0,10.66
2014-2018,30089,9454,1468,4809,1341,770,15,1217,120,1087,236,1097,582,638,388,4645,127,749,3,1164,53,1142,41,979,26,611,4,15.53
2014-2018,30091,2820,265,1406,232,371,18,373,60,301,64,219,47,142,43,1414,33,342,0,360,9,290,0,228,24,194,0,9.4
2014-2018,30093,27775,2738,13970,2412,4265,129,4167,443,2574,474,1832,660,1132,706,13805,326,3954,61,3888,112,2551,123,1855,9,1557,21,9.86
2014-2018,30095,7353,675,3713,621,736,13,1104,94,855,103,652,210,366,201,3640,54,697,5,1126,16,847,15,592,2,378,16,9.18
2014-2018,30097,2887,375,1386,333,285,25,344,54,245,37,276,102,236,115,1501,42,221,0,393,18,315,9,279,3,293,12,12.99
2014-2018,30099,4625,527,2279,486,492,33,674,71,463,72,361,146,289,164,2346,41,508,2,678,19,435,4,375,16,350,0,11.39
2014-2018,30101,3999,457,2320,443,659,11,812,119,464,90,238,133,147,90,1679,14,370,0,490,0,395,6,206,8,218,0,11.43
2014-2018,30103,624,55,303,53,49,0,77,1,80,16,62,26,35,10,321,2,59,0,86,1,90,0,57,0,29,1,8.81
2014-2018,30105,5885,557,2848,532,634,42,841,99,628,68,410,184,335,139,3037,25,756,0,846,0,548,14,438,11,449,0,9.46
2014-2018,30107,1627,139,783,135,182,0,266,18,124,23,142,62,69,32,844,4,232,0,198,0,185,3,137,1,92,0,8.54
2014-2018,30109,839,83,404,72,65,0,133,27,97,11,62,18,47,16,435,11,94,3,149,8,55,0,74,0,63,0,9.89
2014-2018,30111,120370,12008,58535,11115,17467,851,19299,2654,10427,2138,6949,2942,4393,2530,61835,893,17362,126,19482,389,10883,193,7642,113,6466,72,9.98
2014-2018,31001,24047,1934,11935,1836,3900,140,3431,333,2207,309,1407,530,990,524,12112,98,3469,20,3485,75,2117,3,1555,0,1486,0,8.04
2014-2018,31003,4861,500,2413,461,560,10,673,68,515,39,360,150,305,194,2448,39,491,0,669,23,502,13,361,0,425,3,10.29
2014-2018,31005,307,21,153,20,33,0,51,0,21,2,22,7,26,11,154,1,13,0,45,0,38,0,25,0,33,1,6.84
2014-2018,31007,542,41,261,35,51,0,71,9,77,8,43,13,19,5,281,6,31,0,104,0,74,6,53,0,19,0,7.56
2014-2018,31009,375,46,205,39,41,4,70,3,36,2,27,12,31,18,170,7,29,0,37,0,39,0,39,0,26,7,12.27
2014-2018,31011,4071,404,2025,378,493,9,579,85,442,17,267,120,244,147,2046,26,435,1,566,19,386,0,280,0,379,6,9.92
2014-2018,31013,8265,662,4064,573,904,40,1362,88,969,95,517,201,312,149,4201,89,984,0,1231,36,905,29,590,6,491,18,8.01
2014-2018,31015,1587,204,796,181,112,11,215,12,173,11,184,80,112,67,791,23,132,3,187,9,193,9,129,2,150,0,12.85
2014-2018,31017,2389,212,1150,209,205,29,337,34,247,26,188,49,173,71,1239,3,213,0,341,3,254,0,187,0,244,0,8.87
2014-2018,31019,37573,2503,18559,2369,7251,330,5616,430,2776,243,1785,717,1131,649,19014,134,7034,5,5332,94,2928,14,1930,21,1790,0,6.66
2014-2018,31021,5067,532,2427,509,499,37,711,93,519,70,360,118,338,191,2640,23,530,3,763,8,489,6,379,2,479,4,10.5
2014-2018,31023,6165,573,3101,519,747,17,1000,92,616,84,407,134,331,192,3064,54,632,0,944,10,597,38,426,1,465,5,9.29
2014-2018,31025,19293,2564,9555,2357,2283,131,3341,692,1934,492,1262,649,735,393,9738,207,2092,32,3478,76,1914,55,1273,10,981,34,13.29
2014-2018,31027,6371,574,3179,554,735,57,927,78,689,57,448,185,380,177,3192,20,678,0,920,0,627,13,407,3,560,4,9.01
2014-2018,31029,2926,269,1446,266,315,20,456,8,298,41,178,65,199,132,1480,3,254,0,450,3,318,0,199,0,259,0,9.19
2014-2018,31031,4539,401,2193,369,547,21,666,55,430,41,285,113,265,139,2346,32,498,0,719,22,455,10,312,0,362,0,8.83
2014-2018,31033,7491,751,3752,648,946,28,1323,157,696,130,460,143,327,190,3739,103,960,10,1155,82,645,11,446,0,533,0,10.03
2014-2018,31035,4710,400,2379,375,589,25,707,54,502,43,356,149,225,104,2331,25,541,7,708,3,443,7,329,5,310,3,8.49
2014-2018,31037,7491,387,4060,380,1214,9,1525,41,707,53,359,129,255,148,3431,7,1007,0,1098,6,604,0,323,1,399,0,5.17
2014-2018,31039,6775,588,3445,558,832,42,1007,59,729,22,444,178,433,257,3330,30,731,14,962,7,576,8,460,0,601,1,8.68
2014-2018,31041,8287,837,4101,788,981,10,1268,142,789,120,593,288,470,228,4186,49,896,0,1252,11,758,16,611,11,669,11,10.1
2014-2018,31043,14432,952,7133,867,2357,75,2497,153,1067,134,771,307,441,198,7299,85,2328,49,2326,33,1238,2,758,1,649,0,6.6
2014-2018,31045,7282,649,3684,616,1425,47,924,102,599,47,369,195,367,225,3598,33,1414,0,798,11,545,2,396,17,445,3,8.91
2014-2018,31047,17249,1189,8857,1164,2672,59,2954,171,1536,182,999,413,696,339,8392,25,2355,11,2583,1,1491,13,972,0,991,0,6.89
2014-2018,31049,1508,167,705,161,150,18,191,35,177,39,97,33,90,36,803,6,180,3,213,0,132,0,123,0,155,3,11.07
2014-2018,31051,4297,356,2160,340,517,10,658,52,474,60,318,107,193,111,2137,16,455,4,642,7,424,3,307,0,309,2,8.28
2014-2018,31053,27924,2506,13555,2333,3766,137,4407,492,2397,281,1624,660,1361,763,14369,173,3752,9,4267,51,2459,60,1876,35,2015,18,8.97
2014-2018,31055,411063,29979,199972,27213,69141,2425,70178,6298,31042,5042,18692,7256,10919,6192,211091,2766,69116,614,69804,1143,33612,506,21637,292,16922,211,7.29
