GEOID,NAME,pop,minDist_OTP
2090000200,"Census Tract 2, Fairbanks North Star Borough, Alaska",3425,1.128153993
2090000400,"Census Tract 4, Fairbanks North Star Borough, Alaska",4108,1.227639998
2090000900,"Census Tract 9, Fairbanks North Star Borough, Alaska",5983,8.917789419
2130000100,"Census Tract 1, Ketchikan Gateway Borough, Alaska",3560,585.4369417
2150000200,"Census Tract 2, Kodiak Island Borough, Alaska",7253,250.3262463
2020002702,"Census Tract 27.02, Anchorage Municipality, Alaska",9988,6.207333022
2170000200,"Census Tract 2, Matanuska-Susitna Borough, Alaska",2053,67.85143429
2240000100,"Census Tract 1, Southeast Fairbanks Census Area, Alaska",2232,175.0400106
2070000100,"Census Tract 1, Dillingham Census Area, Alaska",2660,300.3062845
2110000300,"Census Tract 3, Juneau City and Borough, Alaska",5925,557.0486463
2170001100,"Census Tract 11, Matanuska-Susitna Borough, Alaska",7003,4.953302659
2170001202,"Census Tract 12.02, Matanuska-Susitna Borough, Alaska",5667,7.451108295
2188000200,"Census Tract 2, Northwest Arctic Borough, Alaska",3288,429.8618767
2198000100,"Census Tract 1, Prince of Wales-Hyder Census Area, Alaska",2284,657.4887178
2110000400,"Census Tract 4, Juneau City and Borough, Alaska",5052,560.4261771
2122000500,"Census Tract 5, Kenai Peninsula Borough, Alaska",7265,60.88568078
2105000200,"Census Tract 2, Hoonah-Angoon Census Area, Alaska",47,482.6085472
2020000300,"Census Tract 3, Anchorage Municipality, Alaska",8693,7.633747115
2020000600,"Census Tract 6, Anchorage Municipality, Alaska",6616,1.052783938
2020000801,"Census Tract 8.01, Anchorage Municipality, Alaska",7163,2.36948171
2020000902,"Census Tract 9.02, Anchorage Municipality, Alaska",2914,0.925322653
2020001400,"Census Tract 14, Anchorage Municipality, Alaska",5047,0.597050384
2020001602,"Census Tract 16.02, Anchorage Municipality, Alaska",4450,2.658090808
2020002301,"Census Tract 23.01, Anchorage Municipality, Alaska",7307,6.450393086
2020002502,"Census Tract 25.02, Anchorage Municipality, Alaska",5089,2.28278313
2020001702,"Census Tract 17.02, Anchorage Municipality, Alaska",4975,3.486944116
2020001900,"Census Tract 19, Anchorage Municipality, Alaska",3584,0.542136268
2020002100,"Census Tract 21, Anchorage Municipality, Alaska",3429,1.220625081
2020002601,"Census Tract 26.01, Anchorage Municipality, Alaska",5408,3.063276108
2020002711,"Census Tract 27.11, Anchorage Municipality, Alaska",6963,4.720244361
2020002712,"Census Tract 27.12, Anchorage Municipality, Alaska",9313,4.352194416
2020002822,"Census Tract 28.22, Anchorage Municipality, Alaska",3872,7.544453539
2090000100,"Census Tract 1, Fairbanks North Star Borough, Alaska",1287,0.281256845
2090000300,"Census Tract 3, Fairbanks North Star Borough, Alaska",4329,1.043392468
2090000500,"Census Tract 5, Fairbanks North Star Borough, Alaska",2750,0.673752471
2090001800,"Census Tract 18, Fairbanks North Star Borough, Alaska",3162,33.09267416
2090000600,"Census Tract 6, Fairbanks North Star Borough, Alaska",4371,1.803366343
2090001300,"Census Tract 13, Fairbanks North Star Borough, Alaska",6910,3.770642845
2090001500,"Census Tract 15, Fairbanks North Star Borough, Alaska",11013,14.91065121
2020000102,"Census Tract 1.02, Anchorage Municipality, Alaska",5439,16.6805052
2020000203,"Census Tract 2.03, Anchorage Municipality, Alaska",11793,13.60153409
2170001003,"Census Tract 10.03, Matanuska-Susitna Borough, Alaska",4377,2.411305282
2170000501,"Census Tract 5.01, Matanuska-Susitna Borough, Alaska",1479,17.015826
2122000600,"Census Tract 6, Kenai Peninsula Borough, Alaska",7687,62.11389429
2130000200,"Census Tract 2, Ketchikan Gateway Borough, Alaska",4866,594.2542051
2130000300,"Census Tract 3, Ketchikan Gateway Borough, Alaska",3039,592.0213148
2110000100,"Census Tract 1, Juneau City and Borough, Alaska",4801,537.6658179
2020002201,"Census Tract 22.01, Anchorage Municipality, Alaska",5261,2.217527696
2150000100,"Census Tract 1, Kodiak Island Borough, Alaska",1864,280.2631079
2150000400,"Census Tract 4, Kodiak Island Borough, Alaska",793,252.7201962
2170000601,"Census Tract 6.01, Matanuska-Susitna Borough, Alaska",5578,3.938111195
2170000701,"Census Tract 7.01, Matanuska-Susitna Borough, Alaska",3250,9.573452068
2170000800,"Census Tract 8, Matanuska-Susitna Borough, Alaska",5917,2.946731072
2020001732,"Census Tract 17.32, Anchorage Municipality, Alaska",6319,4.773007391
2020000901,"Census Tract 9.01, Anchorage Municipality, Alaska",5023,0.920380444
2090000700,"Census Tract 7, Fairbanks North Star Borough, Alaska",4114,2.395782201
2122000700,"Census Tract 7, Kenai Peninsula Borough, Alaska",10079,75.04086509
2150000500,"Census Tract 5, Kodiak Island Borough, Alaska",1354,256.878655
2170000603,"Census Tract 6.03, Matanuska-Susitna Borough, Alaska",7671,9.762026066
2170001201,"Census Tract 12.01, Matanuska-Susitna Borough, Alaska",6026,8.959023855
2020002501,"Census Tract 25.01, Anchorage Municipality, Alaska",5361,2.256547173
2020002823,"Census Tract 28.23, Anchorage Municipality, Alaska",5384,11.00338003
2068000100,"Census Tract 1, Denali Borough, Alaska",2232,106.677949
2090000800,"Census Tract 8, Fairbanks North Star Borough, Alaska",5473,3.657270473
2020001200,"Census Tract 12, Anchorage Municipality, Alaska",3904,1.419400726
2020001100,"Census Tract 11, Anchorage Municipality, Alaska",938,0.920357734
2020002400,"Census Tract 24, Anchorage Municipality, Alaska",2896,1.490447384
2020002812,"Census Tract 28.12, Anchorage Municipality, Alaska",7910,5.338294256
2020000500,"Census Tract 5, Anchorage Municipality, Alaska",1951,1.14263916
2090001000,"Census Tract 10, Fairbanks North Star Borough, Alaska",1450,3.279591366
2090001600,"Census Tract 16, Fairbanks North Star Borough, Alaska",4755,12.55635794
2230000100,"Census Tract 1, Skagway Municipality, Alaska",1061,495.9791809
2122001000,"Census Tract 10, Kenai Peninsula Borough, Alaska",4455,120.780334
2150000300,"Census Tract 3, Kodiak Island Borough, Alaska",2385,252.9677989
2170000300,"Census Tract 3, Matanuska-Susitna Borough, Alaska",7086,13.90826185
2130000400,"Census Tract 4, Ketchikan Gateway Borough, Alaska",2339,589.1716156
2020000204,"Census Tract 2.04, Anchorage Municipality, Alaska",3415,21.58566993
2020001300,"Census Tract 13, Anchorage Municipality, Alaska",3127,1.774358136
2185000100,"Census Tract 1, North Slope Borough, Alaska",4452,496.9560687
2060000100,"Census Tract 1, Bristol Bay Borough, Alaska",890,290.3203229
2090001200,"Census Tract 12, Fairbanks North Star Borough, Alaska",7869,5.382546217
2170000706,"Census Tract 7.06, Matanuska-Susitna Borough, Alaska",6515,7.658321528
2275000300,"Census Tract 3, Wrangell City and Borough, Alaska",2484,652.422994
