<<<<<<< Updated upstream
G_ZCTA,ZCTA,pop,minDist_OTP
G83823,83823,1401,71.25
G46327,46327,11631,4.13
G61112,61112,66,2.66
G04851,04851,82,21.1
G60958,60958,1784,14.25
G46799,46799,232,15.67
G20818,20818,2019,6.37
G50314,50314,11528,0.36
G70517,70517,27314,4.42
G40383,40383,23718,12.7
G49878,49878,3381,115.87
G04739,04739,870,143.14
G38844,38844,200,24.55
G63775,63775,16966,34.54
G01340,01340,1808,8.02
G49248,49248,783,19.64
G02343,02343,10728,3.18
G49780,49780,1924,81.78
G07720,07720,4223,1.52
G87830,87830,1571,81.5
G49722,49722,308,28.26
G27053,27053,2973,26.64
G65802,65802,46888,2.7
G65742,65742,13295,11.84
G58801,58801,30367,114.39
G07079,07079,16473,1.27
G07870,07870,28,18.51
G03447,03447,2395,10.99
G07723,07723,695,2.98
G02873,02873,190,12.03
G57754,57754,3788,230.66
G10605,10605,18643,6.86
G37738,37738,5555,15.69
G11207,11207,91972,0.48
G37620,37620,38969,24.08
G79346,79346,2248,55.7
G75488,75488,566,32.26
G05488,05488,8239,8.7
G57641,57641,354,69.13
G24605,24605,8685,26.5
G23310,23310,4549,29.24
G24426,24426,13585,32.77
G98422,98422,21012,4.89
G99114,99114,12453,69.34
G25514,25514,3470,22.49
G28533,28533,3248,14.63
G28032,28032,3296,3.76
G45142,45142,3696,16.76
G58368,58368,3691,58.4
G58622,58622,1922,118.21
G58007,58007,103,32.46
G43467,43467,85,26.05
G43008,43008,2614,7.9
G44615,44615,10312,23.1
G45745,45745,1618,26.12
G44682,44682,1030,27.84
G44507,44507,5409,3.43
G43142,43142,102,16.75
G43736,43736,35,34.23
G43750,43750,115,25.43
G44011,44011,22786,5.55
G74016,74016,5697,32.79
G74003,74003,14194,4.84
G74464,74464,31404,45
G73441,73441,165,24.65
G97525,97525,4450,12.54
G97064,97064,3241,24.13
G97355,97355,29701,29.6
G97434,97434,930,28.99
G16617,16617,2781,10.72
G97886,97886,1180,29.12
G16340,16340,1740,13.45
G17097,17097,842,20.36
G15557,15557,3427,23.32
G15420,15420,328,8.27
G16652,16652,18181,11.44
G19559,19559,420,4.5
G18430,18430,6,23.18
G15301,15301,48950,1.53
G17965,17965,2073,17.86
G15901,15901,3417,4.93
G17829,17829,230,18.33
G19564,19564,181,12.95
G15077,15077,150,9.27
G17920,17920,353,20.66
G17822,17822,0,13.89
G19107,19107,13696,0.14
G02876,02876,291,5.56
G29646,29646,28182,3.77
G29003,29003,6510,48.82
G29014,29014,1763,26.86
G29135,29135,8387,23.11
G10456,10456,94218,0.27
G13343,13343,1772,34.16
G14456,14456,19201,36.19
G11417,11417,31927,2.02
G13440,13440,41243,0.12
G13856,13856,6009,38.48
G11104,11104,26119,1.79
G10024,10024,59001,1.25
G12456,12456,851,6.35
G10535,10535,427,6.83
G11212,11212,76527,0.25
G11694,11694,21354,5.82
G11415,11415,19372,0.7
G28777,28777,10314,16.55
G27827,27827,58,7.79
G27891,27891,5356,10.79
G28465,28465,7252,15.8
G38053,38053,26545,11.7
G37727,37727,2390,13.16
G11209,11209,67809,2.45
G37148,37148,23982,29.91
G10703,10703,21854,1.54
G79714,79714,17818,38.48
G75551,75551,10679,23.43
G78851,78851,33,129.88
G28607,28607,35523,1.02
G58239,58239,14,128.54
G98244,98244,2783,30.91
G99141,99141,5081,80.75
G26836,26836,6986,40.48
G86054,86054,1718,118.83
G82835,82835,253,127.23
G35654,35654,8006,18.86
G35242,35242,55122,10.41
G02139,02139,38272,0.85
G63853,63853,203,27.39
G70139,70139,0,1.18
G47654,47654,82,21.44
G50673,50673,171,67.87
G02180,02180,22144,1.92
G04952,04952,1886,21.65
G01199,01199,0,0.55
G92662,92662,2606,3.44
G99174,99174,50,44.96
G24577,24577,4808,32.95
G07662,07662,5613,3.53
G88028,88028,272,62.3
G11360,11360,19621,2.47
G14854,14854,13,7.28
G87025,87025,1082,32.48
G16253,16253,72,25.82
G84329,84329,88,82.06
G15715,15715,451,25.38
G38562,38562,6661,55.74
G04068,04068,1548,32.2
G04750,04750,2228,125.69
G03579,03579,344,57.14
G50272,50272,143,16.84
G21871,21871,1978,10.76
G46814,46814,12438,8.88
G02647,02647,90,6.23
G48081,48081,20626,2.52
G04654,04654,3209,31.04
G55605,55605,722,135.8
G20812,20812,325,6.54
G59917,59917,4811,55.25
G59761,59761,293,86.54
G59313,59313,2319,168.93
G59724,59724,67,107
G03832,03832,323,38.76
G08751,08751,4379,3.14
G07756,07756,3133,1.74
G88256,88256,1693,89.45
G48440,48440,252,17.43
G13064,13064,161,13.1
G55041,55041,7800,24.89
G27983,27983,8631,21.24
G45898,45898,873,32.71
G73560,73560,839,59.09
G73932,73932,2304,129.3
G07846,07846,35,11.89
G29720,29720,47797,19.33
G29512,29512,18182,27.36
G20762,20762,2964,7.27
G01532,01532,14985,2.73
G01719,01719,5794,12.31
G48322,48322,32681,6.82
G48014,48014,4152,13.64
G48614,48614,1510,22.59
G48034,48034,13819,5.51
G49938,49938,7514,95.48
G49879,49879,936,123.94
G56470,56470,10592,64.01
G56162,56162,223,96.56
G56082,56082,14502,49.57
G55723,55723,2226,81.03
G55055,55055,3506,5.19
G56676,56676,1564,89.89
G56369,56369,667,10.13
G38632,38632,27317,13.77
G39116,39116,2075,45.99
G39090,39090,12809,55.64
G39094,39094,3988,30.88
G39633,39633,1236,63.74
G63650,63650,4120,60.1
G65706,65706,15690,24.21
G65041,65041,5429,50.64
G63041,63041,584,39.77
G64109,64109,9647,1.25
G63084,63084,19212,36.33
G63117,63117,8978,5.49
G65254,65254,2074,32.89
G59101,59101,41440,13.29
G59405,59405,31337,103.91
G59032,59032,474,87.48
G68844,68844,309,125.67
G69163,69163,990,208.83
G68068,68068,78,14.6
G69357,69357,3596,122.51
G89143,89143,13159,7.23
G03835,03835,6884,12.2
G03242,03242,4950,15
G07031,07031,15724,1.73
G08738,08738,1164,4.35
G87499,87499,516,26.81
G87827,87827,110,79.67
G87325,87325,3089,56.07
G87711,87711,655,55.87
G88355,88355,0,66.79
G87053,87053,1331,36.09
G11451,11451,0,0.88
G01029,01029,651,15.96
G48312,48312,34798,1.3
G48667,48667,0,17.77
G48743,48743,105,56.58
G48066,48066,47710,1.84
G55744,55744,20343,70.29
G55786,55786,358,71.55
G55075,55075,20274,5.08
G56647,56647,848,95.51
G55431,55431,18337,3.81
G55155,55155,0,0.33
G39365,39365,7432,29.43
G39439,39439,4245,39.78
G39565,39565,19704,17.57
G35545,35545,122,32.45
G36051,36051,2106,9.94
G36471,36471,1057,45.31
G36067,36067,28727,20.56
G35446,35446,2081,11.9
G35580,35580,3708,13.87
G35034,35034,6030,23.51
G35960,35960,9668,24.63
G35254,35254,1574,4.69
G36280,36280,3875,27.6
G86556,86556,2073,64.48
G85932,85932,378,50.08
G71646,71646,6121,54.38
G36524,36524,1255,55.23
G84536,84536,1869,121.05
G90742,90742,699,7.9
G93560,93560,20929,15.92
G96108,96108,56,127.4
G19944,19944,647,10.14
G92553,92553,75830,8.23
G06377,06377,2898,13.63
G32577,32577,4321,12.36
G31601,31601,32084,8.51
G31821,31821,263,24.45
G83285,83285,120,97
G32132,32132,7514,18.09
G33142,33142,58574,3.62
G66118,66118,0,1
G83120,83120,778,88.78
G79601,79601,27379,9.15
G76433,76433,1517,32.87
G77445,77445,13524,25.14
G77859,77859,6822,23.96
G75975,75975,3703,14.36
G76446,76446,7686,56.46
G76951,76951,1141,43.62
G78358,78358,561,28.69
G78873,78873,1908,70.84
G75926,75926,1103,13.24
G75760,75760,2392,25.72
G78147,78147,2151,33.38
G76661,76661,8060,23.51
G78339,78339,330,20.73
G75555,75555,1672,33.31
G77474,77474,12825,36.85
G76711,76711,9772,2.04
G24630,24630,7177,19.34
G75936,75936,1095,28.51
G84031,84031,229,51.05
G84649,84649,996,71.73
G84540,84540,146,50.86
G84075,84075,28485,5.37
G05084,05084,266,9.35
G24502,24502,45406,3.43
G22203,22203,24213,4.08
G23882,23882,1651,17.1
G22035,22035,0,6.91
G23665,23665,6195,6.77
G98404,98404,35100,1.62
G99140,99140,422,66.03
G98361,98361,836,51.58
G25286,25286,1567,18.51
G26351,26351,4846,34.51
G24927,24927,153,51.5
G98039,98039,3260,4.19
G26301,26301,29028,1.71
G25524,25524,3440,25.55
G25208,25208,897,29.04
G05907,05907,142,19.64
G53218,53218,42780,4.8
G54627,54627,1720,20
G54546,54546,1213,74.26
G26684,26684,182,29.22
G82073,82073,48,62
G82730,82730,1531,223.63
G82335,82335,49,127.66
G72749,72749,122,24.75
G83111,83111,712,78.67
G74346,74346,7479,31.56
G83414,83414,382,132.56
G49946,49946,3829,136.19
G68658,68658,714,42.27
G40351,40351,21302,43.23
G42320,42320,8969,31.99
G40472,40472,1782,22.45
G40374,40374,1787,33.03
G41567,41567,179,7
G40051,40051,4264,17.83
G40078,40078,2301,25.5
G41535,41535,422,5.53
G70655,70655,3020,42.33
G71438,71438,2085,25.12
G70535,70535,18448,33.6
G71377,71377,115,45.21
G70001,70001,38876,5.03
G04644,04644,0,37.69
G04497,04497,283,54.78
G04457,04457,5787,42.06
G04953,04953,3226,20.88
G20779,20779,985,15.16
G01561,01561,294,6.72
G02457,02457,1715,5.92
G33412,33412,14918,9.56
G32409,32409,10191,11.8
G32399,32399,0,3.32
G33158,33158,6641,3.32
G34679,34679,103,4.22
G32448,32448,8480,41.32
G32732,32732,4809,17.81
G31020,31020,1688,9.21
G31553,31553,4369,21.52
G31324,31324,25643,13.99
G31064,31064,9071,16.02
G31006,31006,4476,32.93
G30250,30250,656,7.08
G83847,83847,1599,75.02
G83313,83313,3789,102.59
G83445,83445,7500,128.98
G83638,83638,6880,104.83
G83227,83227,119,98.82
G24501,24501,27543,2.2
G24592,24592,13393,31.4
G84773,84773,260,99.85
G84054,84054,20005,2.99
G84066,84066,12191,65.06
G84027,84027,471,38.92
G05254,05254,251,31.13
G24167,24167,285,14.05
G22727,22727,5594,18.03
G23842,23842,6784,7.67
G24073,24073,30478,19.4
G05439,05439,1484,2.62
G23708,23708,476,1.27
G18915,18915,645,7.34
G77990,77990,878,23.78
G98601,98601,3494,22.25
G98952,98952,2502,20.45
G61955,61955,189,12.26
G61731,61731,194,25.41
G62077,62077,240,31.28
G61625,61625,370,0.9
G61236,61236,123,11.6
G62362,62362,297,36.2
G62334,62334,138,32.62
G47536,47536,0,26.25
G46135,46135,20800,28.77
G47201,47201,44127,31.27
G46958,46958,594,28.93
G46070,46070,2320,14.72
G50223,50223,546,39.04
G50577,50577,440,82.01
G51101,51101,814,75.53
G50032,50032,277,3.9
G52337,52337,660,26.52
G52531,52531,5982,25.05
G52591,52591,2930,47.31
G50057,50057,266,9.51
G66213,66213,29063,3.2
G67850,67850,322,113.86
G41004,41004,4010,18.11
G16665,16665,294,5.1
G15323,15323,4633,9.13
G17929,17929,1563,12.92
G19474,19474,583,4.72
G15082,15082,163,10.72
G16239,16239,5188,39.2
G15075,15075,180,9.13
G15621,15621,91,5.65
G19076,19076,6534,3.64
G29654,29654,9306,18.22
G02802,02802,671,4.55
G29691,29691,11113,8.78
G29038,29038,2169,41.28
G29540,29540,5383,11.77
G29488,29488,22056,38.1
G29812,29812,11357,30.36
G29080,29080,2859,17.04
G29128,29128,5271,13.71
G57197,57197,936,2.02
G57018,57018,1455,20.52
G57567,57567,1483,191.19
G38483,38483,5568,19.18
G79530,79530,484,22.9
G23947,23947,4127,46.3
G84021,84021,3992,39.67
G38655,38655,42623,55.68
G39175,39175,4302,33.18
G65020,65020,16373,55.44
G65625,65625,8570,41.14
G64735,64735,13124,35.89
G64443,64443,1395,8.09
G63109,63109,26562,5.34
G59086,59086,879,35.37
G59223,59223,339,184.77
G59711,59711,8905,68.57
G59001,59001,1384,49.02
G59868,59868,1847,35.14
G59826,59826,419,43.39
G59058,59058,29,98.42
G59832,59832,729,39.07
G68950,68950,386,107.57
G68751,68751,92,60.64
G68303,68303,286,54.13
G89820,89820,5481,159.23
G89438,89438,108,163.68
G03043,03043,1673,16.92
G86505,86505,8002,98.28
G85629,85629,25362,13.88
G86018,86018,860,19.6
G86046,86046,5266,33.34
G72031,72031,7198,60.11
G71638,71638,3671,79.52
G72441,72441,76,23.23
G72325,72325,69,18.69
G95949,95949,20519,22.79
G96069,96069,828,19.71
G92840,92840,55186,3.31
G92332,92332,92,42.74
G90062,90062,34422,2.51
G93306,93306,73401,12.98
G92281,92281,2859,18.31
G94121,94121,43795,0.66
G95526,95526,210,34.13
G90249,90249,26587,1.64
G95053,95053,3678,2.63
G93626,93626,1983,18.82
G96021,96021,16228,25.04
G80424,80424,10120,52.22
G80540,80540,4552,14.87
G80449,80449,778,54.04
G80294,80294,0,0.26
G06422,06422,7248,7.36
G06350,06350,46,8.17
G32571,32571,35388,9.57
G74942,74942,155,43.27
G97761,97761,4290,53.58
G97869,97869,833,88.05
G97005,97005,26442,3.59
G97636,97636,431,108.41
G16323,16323,15530,23.97
G16933,16933,6783,13.59
G15701,15701,34184,12.59
G19457,19457,63,5.79
G15778,15778,191,31.1
G18353,18353,12460,15.19
G15434,15434,258,3.06
G15219,15219,16501,1.17
G82725,82725,630,151.96
G36830,36830,39078,30.33
G36720,36720,1012,63.4
G98047,98047,7023,5.25
G98565,98565,769,29.96
G98385,98385,301,15
G25541,25541,9934,17.83
G26164,26164,7553,22.36
G26137,26137,581,30.35
G54946,54946,96,35.69
G53901,53901,14703,32.06
G25672,25672,384,11.69
G54765,54765,2,29.24
G53195,53195,121,17.91
G77518,77518,10684,10.41
G54874,54874,3841,17.4
G54214,54214,220,29.24
G84313,84313,89,106.76
G54654,54654,66,39.17
G82601,82601,28830,189.03
G82201,82201,6471,101.19
G25008,25008,139,16.25
G82838,82838,248,74.64
G98320,98320,1128,18.61
G97828,97828,3112,76.48
G85322,85322,626,20.32
G31815,31815,3677,31.18
G21052,21052,251,4.77
G04746,04746,429,148.19
G59831,59831,423,33.42
G81149,81149,825,51.1
G21718,21718,140,9.64
G59460,59460,161,160.73
G60482,60482,10916,0.94
G50566,50566,450,63.2
G46045,46045,78,30.61
G61323,61323,91,29.92
G04435,04435,1069,19.92
G57012,57012,1198,25.85
G38588,38588,757,54.02
G37064,37064,56641,20.36
G38450,38450,3039,24.73
G37874,37874,15203,27.26
G37357,37357,5653,49.97
G79032,79032,76,48.81
G78621,78621,23496,19.52
G77430,77430,2104,22.72
G77583,77583,36903,14.12
G75560,75560,857,25.12
G76450,76450,13020,50.89
G77535,77535,34291,23.86
G77713,77713,13469,7.64
G78861,78861,13965,31.66
G75089,75089,34374,6.88
G79916,79916,3039,3.33
G78060,78060,115,59.52
G03770,03770,513,7.09
G07102,07102,13382,2
G07505,07505,2423,0.16
G07649,07649,8134,1.6
G87511,87511,2896,10.8
G87011,87011,47,61.44
G88032,88032,252,7.56
G10026,10026,39363,0.46
