ZCTA,pop,STATEFP,minDist_SUT
99762,4307,2,36.6581433
99775,1358,2,2.095357223
99780,1559,2,10.64406386
99781,141,2,186.688846
99789,469,2,143.5065444
99790,10,2,39.20647788
99791,164,2,50.23438723
99820,527,2,49.95873915
99556,2640,2,13.56949422
99782,508,2,85.90385812
99546,203,2,436.1870174
99660,425,2,48.83698675
99634,392,2,6.884360011
99764,439,2,45.8708185
99922,330,2,17.47138551
99554,837,2,127.4946341
99774,11,2,85.96908588
99751,143,2,156.0444641
99628,824,2,22.9956571
99516,20965,2,5.194705572
99551,567,2,13.91591294
99612,1074,2,301.681723
99577,28308,2,11.28784518
99750,688,2,77.91395299
99766,625,2,135.8070134
99568,315,2,14.96143276
99547,35,2,355.7731736
99744,98,2,18.12408885
99609,574,2,23.28759172
99824,2224,2,4.507685448
99558,104,2,137.6161356
99929,2484,2,18.41951664
99721,265,2,247.3592946
99679,415,2,34.66984044
99585,299,2,80.47640899
99604,1101,2,150.885223
99690,189,2,101.7009457
99829,800,2,35.49055158
99747,178,2,316.2674624
99783,170,2,111.0744893
99602,183,2,115.3628837
99540,284,2,10.86077725
99681,339,2,110.6584695
99923,15,2,76.5570479
99773,288,2,148.0810661
99643,249,2,53.20782217
99666,167,2,142.4222426
99644,187,2,9.208884908
99723,4452,2,1.799000539
99658,762,2,102.0902716
99678,768,2,60.28744951
99741,510,2,221.0702038
99784,186,2,60.80677748
99575,90,2,141.2975314
99670,41,2,60.59080315
99756,83,2,82.29974324
99580,80,2,44.77453648
99501,17058,2,0.332949795
99507,38424,2,1.088452912
99548,51,2,191.4295136
99549,78,2,142.9664767
99553,758,2,225.850228
99677,78,2,20.19790055
99692,215,2,222.4035215
99742,601,2,196.7544916
99749,299,2,58.93187147
99753,271,2,129.5735531
99624,52,2,59.37594823
99630,226,2,151.5357421
99632,828,2,110.4934041
99758,229,2,41.50606998
99763,597,2,42.62414286
99765,257,2,196.4889814
99767,60,2,71.97170516
99653,151,2,92.09870881
99647,20,2,84.19368517
99648,86,2,214.2629807
99651,13,2,112.975779
99659,468,2,122.5137093
99668,83,2,165.6235279
99669,16249,2,5.977409371
99633,464,2,60.40894815
99637,527,2,111.7938406
99655,796,2,71.0220713
99665,75,2,147.9111065
99621,653,2,11.97819718
99579,83,2,69.25163455
99583,78,2,268.6613094
99610,1899,2,27.63733511
99620,811,2,116.8687774
99571,126,2,287.1186103
99591,78,2,2.934036625
99825,63,2,49.29148374
99559,7888,2,8.502417944
99567,9181,2,18.54118375
99769,921,2,163.8642768
99776,141,2,13.49835055
99777,242,2,98.00777256
99836,97,2,61.87954574
99921,1986,2,14.46588219
99722,153,2,230.7723113
99724,46,2,105.2169325
99736,154,2,56.6843381
99555,204,2,18.84688316
99720,174,2,174.1244294
99589,192,2,108.0551466
99680,566,2,38.3756829
99671,473,2,118.9673192
99702,3006,2,22.89135246
99502,24671,2,1.451419337
99761,422,2,49.62358597
99636,557,2,55.50396316
99506,7029,2,2.818030796
99508,35605,2,0.104584084
99734,1458,2,191.4373034
99759,251,2,179.7916226
99771,294,2,125.9525367
99788,115,2,167.5779655
99515,23402,2,1.967732906
99565,75,2,187.1657564
99573,540,2,35.67880162
99841,155,2,45.18273759
99587,2065,2,6.787938786
99505,6330,2,3.930531625
99503,13221,2,182.4270505
99732,13,2,58.80815842
99622,379,2,77.0814725
99703,8859,2,2.65135197
99840,1061,2,23.08179584
99835,8738,2,11.93685848
99919,689,2,23.82256186
99652,3183,2,11.1597103
99667,86,2,65.189016
99586,302,2,58.67233594
99683,447,2,81.91829796
99564,61,2,187.7035347
